00000001acf13974 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001acefff0c (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001acf00000 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001aceffff0 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001acefffe8 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001acf11d1c (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001acf11838 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00000001acf11bb4 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001acf10ad8 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001acf10ba0 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001acf10f54 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001acf10ffc (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001acf10e84 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001acf11bdc (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001acf11234 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00000001acf11a1c (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00000001acf16b28 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00000001acf1031c (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001acf11524 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001acf10df8 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001acf11bc4 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001acf117c4 (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00000001acf11754 (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00000001acf10cc8 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001acf10380 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001acf16888 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001acf16900 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001acf1696c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001acf169ac (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001acf169ec (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001acf16a58 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001acf10300 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001acf11bec (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001acf11aa8 (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00000001acf11bf4 (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00000001acf11c2c (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001acf11c74 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00000001acf1134c (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001acf11c14 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001acf111ec (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001acf11c1c (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001acf112bc (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001acf10a28 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001acf11bd4 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001acf11c6c (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001acf11bbc (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001acf11b9c (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001acf11bac (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001acf11c54 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001acf11304 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00000001acf11430 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001acf115bc (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00000001acf11c4c (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00000001acf11be4 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00000001acf11c64 (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00000001acf11c44 (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00000001acf11c3c (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00000001acf11bfc (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00000001acf11c34 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00000001acf11c7c (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00000001acf11c24 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00000001acf11c5c (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00000001acf11c8c (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00000001acf11c0c (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00000001acf11cd8 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00000001acf11144 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00000001acf10da8 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00000001acf10d00 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00000001acf1109c (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00000001acf1160c (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00000001acf11c84 (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00000001acf11c04 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00000001acf11b94 (__TEXT,__text) non-external -[PolicyScanTarget url]
00000001acf11cd0 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00000001acf11bcc (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00000001acf11ba4 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00000001acefca24 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00000001acefc418 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00000001acefc9d8 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00000001acefc98c (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00000001acefc660 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00000001acefc58c (__TEXT,__text) non-external -[ProvenanceEntry description]
00000001acefc810 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00000001acefc49c (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00000001acefc85c (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00000001acefc9e0 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00000001acefc994 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00000001acefc818 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00000001acefc864 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00000001acefc948 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00000001acefc8fc (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00000001acefc7cc (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00000001acefc8b0 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00000001acefc940 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00000001acefc8f4 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00000001acefc7c4 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00000001acefc8a8 (__TEXT,__text) non-external -[ProvenanceEntry url]
00000001acf13d40 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00000001acf13c0c (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00000001acf13b58 (__TEXT,__text) non-external -[SPBundleProtection init]
00000001acf13c58 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00000001acf0026c (__TEXT,__text) non-external -[SPCodeEvaluationProxy .cxx_destruct]
00000001acf00160 (__TEXT,__text) non-external -[SPCodeEvaluationProxy dealloc]
00000001acf000ac (__TEXT,__text) non-external -[SPCodeEvaluationProxy init]
00000001acf001ac (__TEXT,__text) non-external -[SPCodeEvaluationProxy showXProtectBlockedPrompt:forUser:error:]
00000001acf145c4 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00000001acf14550 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00000001acf14418 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00000001acf14364 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00000001acf14464 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00000001acf14538 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00000001acf145b4 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00000001acf145ac (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00000001acf14480 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00000001acf145bc (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00000001acf06fd8 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00000001acf06fb8 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00000001acf06fc8 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00000001acf06dd0 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00000001acf06f98 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00000001acf06bbc (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00000001acf068c4 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001acf068a8 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00000001acf06fd0 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00000001acf06fa0 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00000001acf06fc0 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00000001acf06fa8 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00000001acf06fb0 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00000001acf0aac4 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00000001acf09808 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00000001acf09714 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperOverrideForPersistentIdentifier:error:]
00000001acf09620 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00000001acf0a318 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00000001acf095b4 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00000001acf09344 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00000001acf09098 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00000001acf09248 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00000001acf099fc (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00000001acf09eec (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00000001acf0a1d4 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00000001acf09cbc (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00000001acf08ff4 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00000001acf09af0 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00000001acf09fbc (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00000001acf0a248 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00000001acf095a8 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00000001acf0a010 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00000001acf090ec (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00000001acf090e4 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00000001acf098fc (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00000001acf0a3e8 (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00000001acf09fb0 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00000001acf09d8c (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00000001acf0a104 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00000001acf09118 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00000001acf09be4 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00000001acf05f20 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00000001acf05780 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00000001acf15870 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00000001acf158e0 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00000001acf15958 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00000001acf15998 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00000001acf15a28 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00000001acf15a94 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00000001acf15b24 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00000001acf0626c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00000001acf06018 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00000001acf08fec (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00000001acf08f5c (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00000001acf08eec (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00000001acf08fb4 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00000001acf08fe0 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00000001acf05718 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00000001acf05710 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00000001acf056f0 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
