0000000268919888 (__TEXT,__text) non-external _Done_iODBC
0000000268922728 (__TEXT,__text) external _SQLDescribeColA
0000000268922904 (__TEXT,__text) external _SQLDescribeColW
00000002689222a0 (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000268916b54 (__TEXT,__text) external _SQLDescribeParam
0000000268914dd4 (__TEXT,__text) external _SQLDisconnect
0000000268914030 (__TEXT,__text) external _SQLDriverConnect
00000002689141ac (__TEXT,__text) external _SQLDriverConnectA
0000000268914328 (__TEXT,__text) external _SQLDriverConnectW
0000000268912848 (__TEXT,__text) non-external _SQLDriverConnect_Internal
0000000268938464 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
0000000268938490 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000026891e6c0 (__TEXT,__text) external _SQLDrivers
000000026891e808 (__TEXT,__text) external _SQLDriversA
000000026891e950 (__TEXT,__text) external _SQLDriversW
000000026891e2cc (__TEXT,__text) non-external _SQLDrivers_Internal
0000000281260484 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00000002812604b0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00000002812604b8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
0000000268928ed0 (__TEXT,__text) external _SQLEndTran
000000026891a054 (__TEXT,__text) external _SQLError
000000026891a17c (__TEXT,__text) external _SQLErrorA
000000026891a2a4 (__TEXT,__text) external _SQLErrorW
000000026891601c (__TEXT,__text) external _SQLExecDirect
000000026891616c (__TEXT,__text) external _SQLExecDirectA
00000002689162bc (__TEXT,__text) external _SQLExecDirectW
0000000268915db0 (__TEXT,__text) non-external _SQLExecDirect_Internal
0000000268915acc (__TEXT,__text) external _SQLExecute
0000000268917268 (__TEXT,__text) external _SQLExtendedFetch
0000000268916f9c (__TEXT,__text) external _SQLFetch
0000000268929184 (__TEXT,__text) external _SQLFetchScroll
0000000268916dc8 (__TEXT,__text) non-external _SQLFetch_Internal
000000026890ea34 (__TEXT,__text) external _SQLForeignKeys
000000026890ed00 (__TEXT,__text) external _SQLForeignKeysA
000000026890efcc (__TEXT,__text) external _SQLForeignKeysW
000000026890e6e4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
0000000268917f48 (__TEXT,__text) external _SQLFreeConnect
0000000268917ea0 (__TEXT,__text) non-external _SQLFreeConnect_Internal
00000002689197dc (__TEXT,__text) external _SQLFreeEnv
0000000268919744 (__TEXT,__text) non-external _SQLFreeEnv_Internal
0000000268923930 (__TEXT,__text) external _SQLFreeHandle
000000026891c810 (__TEXT,__text) external _SQLFreeStmt
000000026891c608 (__TEXT,__text) non-external _SQLFreeStmt_Internal
0000000268934fa0 (__TEXT,__text) non-external _SQLGetConfigMode
000000026892623c (__TEXT,__text) external _SQLGetConnectAttr
0000000268926704 (__TEXT,__text) external _SQLGetConnectAttrA
0000000268926858 (__TEXT,__text) external _SQLGetConnectAttrW
0000000268926390 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
0000000268918d70 (__TEXT,__text) external _SQLGetConnectOption
0000000268918e9c (__TEXT,__text) external _SQLGetConnectOptionA
0000000268918fc8 (__TEXT,__text) external _SQLGetConnectOptionW
000000026892195c (__TEXT,__text) external _SQLGetCursorName
0000000268921ac4 (__TEXT,__text) external _SQLGetCursorNameA
0000000268921c2c (__TEXT,__text) external _SQLGetCursorNameW
0000000268921748 (__TEXT,__text) non-external _SQLGetCursorName_Internal
00000002689173ec (__TEXT,__text) external _SQLGetData
0000000268926c40 (__TEXT,__text) external _SQLGetDescField
0000000268926db4 (__TEXT,__text) external _SQLGetDescFieldA
0000000268926f28 (__TEXT,__text) external _SQLGetDescFieldW
00000002689269ac (__TEXT,__text) non-external _SQLGetDescField_Internal
0000000268927880 (__TEXT,__text) external _SQLGetDescRec
0000000268927ad8 (__TEXT,__text) external _SQLGetDescRecA
0000000268927d30 (__TEXT,__text) external _SQLGetDescRecW
000000026892764c (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000026891bb48 (__TEXT,__text) external _SQLGetDiagField
000000026891bc54 (__TEXT,__text) external _SQLGetDiagFieldA
000000026891bd60 (__TEXT,__text) external _SQLGetDiagFieldW
000000026891ad6c (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000026891aa0c (__TEXT,__text) external _SQLGetDiagRec
000000026891ab2c (__TEXT,__text) external _SQLGetDiagRecA
000000026891ac4c (__TEXT,__text) external _SQLGetDiagRecW
000000026891a3cc (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000026892404c (__TEXT,__text) external _SQLGetEnvAttr
000000026891f5c8 (__TEXT,__text) external _SQLGetFunctions
000000026891f1cc (__TEXT,__text) external _SQLGetInfo
000000026891f320 (__TEXT,__text) external _SQLGetInfoA
000000026891f474 (__TEXT,__text) external _SQLGetInfoW
000000026891eb8c (__TEXT,__text) non-external _SQLGetInfo_Internal
0000000268937e80 (__TEXT,__text) non-external _SQLGetKeywordValue
0000000268937ecc (__TEXT,__text) non-external _SQLGetKeywordValueW
0000000268937998 (__TEXT,__text) non-external _SQLGetPrivateProfileString
0000000268937b98 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00000002689248c0 (__TEXT,__text) external _SQLGetStmtAttr
0000000268924a38 (__TEXT,__text) external _SQLGetStmtAttrA
0000000268924bb0 (__TEXT,__text) external _SQLGetStmtAttrW
0000000268924230 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000026891d058 (__TEXT,__text) external _SQLGetStmtOption
000000026891d1a4 (__TEXT,__text) external _SQLGetStmtOptionA
000000026891ce78 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000026890b978 (__TEXT,__text) external _SQLGetTypeInfo
000000026890bab8 (__TEXT,__text) external _SQLGetTypeInfoA
000000026890bbf8 (__TEXT,__text) external _SQLGetTypeInfoW
000000026890b7b8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
0000000268917770 (__TEXT,__text) external _SQLMoreResults
00000002689151d4 (__TEXT,__text) external _SQLNativeSql
0000000268915340 (__TEXT,__text) external _SQLNativeSqlA
00000002689154ac (__TEXT,__text) external _SQLNativeSqlW
0000000268914f5c (__TEXT,__text) non-external _SQLNativeSql_Internal
0000000268916958 (__TEXT,__text) external _SQLNumParams
000000026892208c (__TEXT,__text) external _SQLNumResultCols
00000002689166a0 (__TEXT,__text) external _SQLParamData
0000000268920ce0 (__TEXT,__text) external _SQLParamOptions
000000026891ff5c (__TEXT,__text) external _SQLPrepare
00000002689200ac (__TEXT,__text) external _SQLPrepareA
00000002689201fc (__TEXT,__text) external _SQLPrepareW
000000026891fd34 (__TEXT,__text) non-external _SQLPrepare_Internal
000000026890f4c4 (__TEXT,__text) external _SQLPrimaryKeys
000000026890f66c (__TEXT,__text) external _SQLPrimaryKeysA
000000026890f814 (__TEXT,__text) external _SQLPrimaryKeysW
000000026890f298 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000026890fc4c (__TEXT,__text) external _SQLProcedureColumns
000000026890fe28 (__TEXT,__text) external _SQLProcedureColumnsA
0000000268910004 (__TEXT,__text) external _SQLProcedureColumnsW
000000026890f9bc (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000026891040c (__TEXT,__text) external _SQLProcedures
00000002689105b4 (__TEXT,__text) external _SQLProceduresA
000000026891075c (__TEXT,__text) external _SQLProceduresW
00000002689101e0 (__TEXT,__text) non-external _SQLProcedures_Internal
000000026891640c (__TEXT,__text) external _SQLPutData
0000000268934648 (__TEXT,__text) non-external _SQLReadFileDSN
00000002689347d8 (__TEXT,__text) non-external _SQLReadFileDSNW
0000000268921d94 (__TEXT,__text) external _SQLRowCount
0000000268937f18 (__TEXT,__text) non-external _SQLSetConfigMode
0000000268925c38 (__TEXT,__text) external _SQLSetConnectAttr
0000000268925fb4 (__TEXT,__text) external _SQLSetConnectAttrA
00000002689260f8 (__TEXT,__text) external _SQLSetConnectAttrW
0000000268925d7c (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00000002689185ec (__TEXT,__text) external _SQLSetConnectOption
0000000268918718 (__TEXT,__text) external _SQLSetConnectOptionA
0000000268918844 (__TEXT,__text) external _SQLSetConnectOptionW
00000002689204f8 (__TEXT,__text) external _SQLSetCursorName
0000000268920648 (__TEXT,__text) external _SQLSetCursorNameA
0000000268920798 (__TEXT,__text) external _SQLSetCursorNameW
000000026892034c (__TEXT,__text) non-external _SQLSetCursorName_Internal
0000000268927238 (__TEXT,__text) external _SQLSetDescField
0000000268927394 (__TEXT,__text) external _SQLSetDescFieldA
00000002689274f0 (__TEXT,__text) external _SQLSetDescFieldW
000000026892709c (__TEXT,__text) non-external _SQLSetDescField_Internal
0000000268927f88 (__TEXT,__text) external _SQLSetDescRec
0000000268923e38 (__TEXT,__text) external _SQLSetEnvAttr
0000000268923f58 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00000002689383f4 (__TEXT,__text) non-external _SQLSetKeywordValue
0000000268938400 (__TEXT,__text) non-external _SQLSetKeywordValueW
00000002689213c4 (__TEXT,__text) external _SQLSetParam
0000000268917b78 (__TEXT,__text) external _SQLSetPos
0000000268920f90 (__TEXT,__text) external _SQLSetScrollOptions
0000000268925800 (__TEXT,__text) external _SQLSetStmtAttr
0000000268925968 (__TEXT,__text) external _SQLSetStmtAttrA
0000000268925ad0 (__TEXT,__text) external _SQLSetStmtAttrW
0000000268924d28 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000026891c95c (__TEXT,__text) external _SQLSetStmtOption
000000026891cd2c (__TEXT,__text) external _SQLSetStmtOptionA
000000026891caa8 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000026890bfc4 (__TEXT,__text) external _SQLSpecialColumns
000000026890c200 (__TEXT,__text) external _SQLSpecialColumnsA
000000026890c43c (__TEXT,__text) external _SQLSpecialColumnsW
000000026890bd38 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000026890c8e4 (__TEXT,__text) external _SQLStatistics
000000026890cac0 (__TEXT,__text) external _SQLStatisticsA
000000026890cc9c (__TEXT,__text) external _SQLStatisticsW
000000026890c678 (__TEXT,__text) non-external _SQLStatistics_Internal
0000000268910b30 (__TEXT,__text) external _SQLTablePrivileges
0000000268910cd8 (__TEXT,__text) external _SQLTablePrivilegesA
0000000268910e80 (__TEXT,__text) external _SQLTablePrivilegesW
0000000268910904 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000026890d108 (__TEXT,__text) external _SQLTables
000000026890d2e4 (__TEXT,__text) external _SQLTablesA
000000026890d4c0 (__TEXT,__text) external _SQLTablesW
000000026890ce78 (__TEXT,__text) non-external _SQLTables_Internal
0000000268919400 (__TEXT,__text) external _SQLTransact
00000002689190f4 (__TEXT,__text) non-external _SQLTransact_Internal
00000002689350b4 (__TEXT,__text) non-external _SQLValidDSN
000000026893513c (__TEXT,__text) non-external _SQLValidDSNW
00000002689343e0 (__TEXT,__text) non-external _SQLWriteFileDSN
000000026893449c (__TEXT,__text) non-external _SQLWriteFileDSNW
00000002689380b0 (__TEXT,__text) non-external _SQLWritePrivateProfileString
0000000268938248 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000026891dd94 (__TEXT,__text) non-external _SectSorter
0000000268934ff4 (__TEXT,__text) non-external _ValidDSN
0000000268935058 (__TEXT,__text) non-external _ValidDSNW
0000000268937f78 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000268923cfc (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000268936280 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
00000002689376d0 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00000002812604f0 (__DATA,__common) non-external __iodbc_env_counter
00000002689349c4 (__TEXT,__text) non-external __iodbcadm_getinifile
000000026891d750 (__TEXT,__text) non-external __iodbcdm_BindColumn
000000026891d868 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00000002689170d0 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000026891c5b4 (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
0000000268918970 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
0000000268921f50 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000026891c7d4 (__TEXT,__text) non-external __iodbcdm_RemoveBind
0000000268918030 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
0000000268911278 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
0000000268917a00 (__TEXT,__text) non-external __iodbcdm_SetPos
000000026891d7fc (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000026891d500 (__TEXT,__text) non-external __iodbcdm_alloc_param
00000002812604f8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000026891d928 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000026890b8a0 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000026890b914 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000026893692c (__TEXT,__text) non-external __iodbcdm_cfg_commit
0000000268935c54 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000026893642c (__TEXT,__text) non-external __iodbcdm_cfg_find
00000002689360b0 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
0000000268935b8c (__TEXT,__text) non-external __iodbcdm_cfg_init
000000026891fae8 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
0000000268936bb0 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
0000000268936360 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000026891fb7c (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000026891f9b8 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
0000000268935c98 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
0000000268936334 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
0000000268913cd8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
0000000268936bf8 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
0000000268936190 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000026891fbf4 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000026893652c (__TEXT,__text) non-external __iodbcdm_cfg_write
0000000268934c34 (__TEXT,__text) non-external __iodbcdm_check_for_string
0000000268913a7c (__TEXT,__text) non-external __iodbcdm_con_settracing
000000026891d598 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000026891d674 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
0000000268913ba0 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00000002689159b0 (__TEXT,__text) non-external __iodbcdm_dllclose
0000000268915a24 (__TEXT,__text) non-external __iodbcdm_dllerror
00000002689158e8 (__TEXT,__text) non-external __iodbcdm_dllopen
00000002689158e4 (__TEXT,__text) non-external __iodbcdm_dllproc
0000000268915a58 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00000002689114f0 (__TEXT,__text) non-external __iodbcdm_driverload
0000000268911b58 (__TEXT,__text) non-external __iodbcdm_driverunload
000000026891c490 (__TEXT,__text) non-external __iodbcdm_dropstmt
0000000268918568 (__TEXT,__text) non-external __iodbcdm_drvopt_store
0000000268911098 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000026891988c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00000002689157ac (__TEXT,__text) non-external __iodbcdm_getInfo_init
0000000268934d0c (__TEXT,__text) non-external __iodbcdm_getdsnfile
0000000268915880 (__TEXT,__text) non-external __iodbcdm_getproc
0000000281260498 (__DATA,__bss) non-external __iodbcdm_initialized
0000000268936e10 (__TEXT,__text) non-external __iodbcdm_list_entries
0000000268936d44 (__TEXT,__text) non-external __iodbcdm_list_sections
0000000268922234 (__TEXT,__text) non-external __iodbcdm_map_c_type
00000002689221c8 (__TEXT,__text) non-external __iodbcdm_map_sql_type
0000000268915618 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
0000000268911028 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000026893840c (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
0000000268913840 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
0000000268913f10 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
0000000268911164 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
0000000268913e54 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00000002689198c0 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
0000000268934c98 (__TEXT,__text) non-external __iodbcdm_remove_quotes
0000000268915a28 (__TEXT,__text) non-external __iodbcdm_safe_unload
0000000268919948 (__TEXT,__text) non-external __iodbcdm_sqlerror
0000000268934f04 (__TEXT,__text) non-external __iodbcdm_strlcat
0000000268934eb8 (__TEXT,__text) non-external __iodbcdm_strlcpy
00000002689191f4 (__TEXT,__text) non-external __iodbcdm_transact
000000027c1160f0 (__DATA_CONST,__const) non-external __mask_CONVERT
000000027c116cc8 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
000000027c116d70 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
000000027c1161b0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
000000027c116240 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
000000027c116878 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
000000027c1168b0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
000000027c1165b0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
000000027c116900 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
000000027c116918 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
000000027c116938 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
000000027c116658 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
000000027c116960 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
000000027c116978 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
000000027c1160c8 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
000000027c1160d8 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
000000027c116588 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
000000027c1169a8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
000000027c1169f0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
000000027c116a10 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
000000027c116a20 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
000000027c116a70 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
000000027c116a90 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
000000027c116b08 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
000000027c116b18 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
000000027c116b40 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
000000027c116b58 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
000000027c116bd8 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
000000027c116c08 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
000000027c116c18 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
000000027c116c28 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
000000027c116c38 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
000000027c116c58 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
000000027c116c78 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
000000027c116c98 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
000000027c116ca8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
000000027c116bf0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
000000027c1161f8 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
000000027c1166e0 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
000000027c116698 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
000000027c1166c0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
000000027c116e00 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
000000027c116e18 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
000000027c116ed8 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
000000027c1166f8 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
000000027c1165a0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
000000027c116718 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
000000027c116268 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
000000027c116330 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
000000027c116ef8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
000000027c116348 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
000000027c116358 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
000000027c116730 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
000000027c116f18 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
000000027c116f30 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
000000027c1167a0 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
000000027c116770 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
000000027c116f50 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
000000027c116370 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
000000027c116398 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
000000027c116fa8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
000000027c116fc8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
000000027c116ff0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
000000027c117018 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
000000027c117088 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
000000027c1170c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
000000027c117138 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000027c117190 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
000000027c117210 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
000000027c117238 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
000000027c117280 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
000000027c116f80 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000027c1172a8 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
000000027c1167c0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
000000027c1163c8 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
000000027c1167e0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
000000027c116490 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
000000027c1164b0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
