00000001acbe2258 (__TEXT,__text) non-external +[Caller current]
00000001acbe4970 (__TEXT,__text) non-external +[DaemonUtils dfrStatus]
00000001acbe549c (__TEXT,__text) non-external +[DaemonUtils dispatchOnServer:]
00000001acbe52c4 (__TEXT,__text) non-external +[DaemonUtils dispatchReallyAfter:tolerance:queue:block:]
00000001acbe5428 (__TEXT,__text) non-external +[DaemonUtils dispatchSyncOnMain:]
00000001acbe4360 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:]
00000001acc042d4 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.1
00000001acc04340 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.2
00000001acc043ac (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.3
00000001acc043e0 (__TEXT,__text) non-external +[DaemonUtils isAppleSigned:].cold.4
00000001acbe4260 (__TEXT,__text) non-external +[DaemonUtils isClosedLidPreventingUseOfTouchID]
00000001acbe402c (__TEXT,__text) non-external +[DaemonUtils isLidClosed]
00000001acc04224 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.1
00000001acc04258 (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.2
00000001acc0428c (__TEXT,__text) non-external +[DaemonUtils isLidClosed].cold.3
00000001acbe3c98 (__TEXT,__text) non-external +[DaemonUtils queue]
00000001acbe3bfc (__TEXT,__text) non-external +[DaemonUtils sharedInstance]
00000001acc041fc (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00000001acbe0d20 (__TEXT,__text) non-external +[EvaluationRequest current]
00000001acbe18e8 (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00000001acbdf7c0 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00000001acc03f98 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00000001acbd9720 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00000001acc038b4 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00000001acbd8f64 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00000001acbfd02c (__TEXT,__text) non-external +[LASIORemoteCall call]
00000001acc00068 (__TEXT,__text) non-external +[LASecureIO secureIO]
00000001acbee878 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00000001acbee334 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00000001acbeec38 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00000001acbeed0c (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00000001acbeede0 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00000001acbeeeb4 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00000001acbeef88 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
00000001acbecc08 (__TEXT,__text) non-external +[LASecureIOAsset asset]
00000001acbec9a0 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:]
00000001acbed310 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetButtonAction:].cold.1
00000001acbecad4 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:]
00000001acbed324 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetFormat:].cold.1
00000001acbec844 (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:]
00000001acbed2fc (__TEXT,__text) non-external +[LASecureIOAsset stringFromLASIOAssetType:].cold.1
00000001acbed9fc (__TEXT,__text) non-external +[LASecureIODisplay displayWidth]
00000001acbedafc (__TEXT,__text) non-external +[LASecureIODisplay display]
00000001acbed948 (__TEXT,__text) non-external +[LASecureIODisplay hasPhysicalESCKey]
00000001acbed854 (__TEXT,__text) non-external +[LASecureIODisplay isDFRSupported]
00000001acbdc798 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00000001acc03c58 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00000001acc03788 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00000001acc0375c (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00000001acc036f0 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00000001acc03714 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00000001acc03738 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
00000001acbef0cc (__TEXT,__text) non-external +[LASecureIOScene scene]
00000001acbef0f4 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:]
00000001acbef568 (__TEXT,__text) non-external +[LASecureIOScene stringFromLASIOSceneSecureIOType:].cold.1
00000001acbf5838 (__TEXT,__text) non-external +[LASecureIOServer getBootArgs]
00000001acbf562c (__TEXT,__text) non-external +[LASecureIOServer ignoreSceneDescriptionsSignature]
00000001acbf5620 (__TEXT,__text) non-external +[LASecureIOServer ignoreWarsawInstructionSignature]
00000001acbf5638 (__TEXT,__text) non-external +[LASecureIOServer isBootArgSet:]
00000001acbf5614 (__TEXT,__text) non-external +[LASecureIOServer isTestingEnabled]
00000001acbef91c (__TEXT,__text) non-external +[LASecureIOServer server]
00000001acbed338 (__TEXT,__text) non-external +[LASecureIOUtils dataFromHexString:]
00000001acbed570 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:]
00000001acbed770 (__TEXT,__text) non-external +[LASecureIOUtils getSHA256FromData:].cold.1
00000001acbed438 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:]
00000001acbed684 (__TEXT,__text) non-external +[LASecureIOUtils hexStringFromData:].cold.1
00000001acbd9988 (__TEXT,__text) non-external +[NSDictionary(Merge) dictionaryByMerging:with:]
00000001acbd9c7c (__TEXT,__text) non-external +[PreflightCache sharedInstance]
00000001acc038c8 (__TEXT,__text) non-external +[PreflightCache sharedInstance].cold.1
00000001acbdfab0 (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource]
00000001acc03fac (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource].cold.1
00000001acbddee4 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance]
00000001acc03d54 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance].cold.1
00000001acbe0a98 (__TEXT,__text) non-external +[Request current]
00000001acbe0a20 (__TEXT,__text) non-external +[Request localRequest]
00000001acbe08fc (__TEXT,__text) non-external +[Request requestFromCurrentConnection]
00000001acc04060 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.1
00000001acc04074 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.2
00000001acbe2990 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance]
00000001acc04184 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance].cold.1
00000001acbdb3b8 (__TEXT,__text) non-external +[WatchMonitor sharedInstance]
00000001acc03a40 (__TEXT,__text) non-external +[WatchMonitor sharedInstance].cold.1
00000001acbd8f1c (__TEXT,__text) non-external -[BiometryHelper _isTrustedAccessorySupported]
00000001acbe032c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource initWithPreflightCache:]
00000001acbe0428 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource invalidationReason]
00000001acbe036c (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource updateStatus]
00000001acbe2908 (__TEXT,__text) non-external -[Caller .cxx_destruct]
00000001acbe28c4 (__TEXT,__text) non-external -[Caller asid]
00000001acbe2650 (__TEXT,__text) non-external -[Caller auditTokenData]
00000001acbe28cc (__TEXT,__text) non-external -[Caller auditToken]
00000001acbe2300 (__TEXT,__text) non-external -[Caller clientInfo]
00000001acbe28dc (__TEXT,__text) non-external -[Caller connection]
00000001acbe25ac (__TEXT,__text) non-external -[Caller description]
00000001acbe28bc (__TEXT,__text) non-external -[Caller euid]
00000001acbe2748 (__TEXT,__text) non-external -[Caller hasEntitlement:]
00000001acbe242c (__TEXT,__text) non-external -[Caller hash]
00000001acbe2188 (__TEXT,__text) non-external -[Caller initWithConnection:]
00000001acbe2370 (__TEXT,__text) non-external -[Caller isEqual:]
00000001acbe246c (__TEXT,__text) non-external -[Caller isEqualToAuditToken:]
00000001acbe24c0 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:]
00000001acc0412c (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.1
00000001acc04140 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.2
00000001acbe26d0 (__TEXT,__text) non-external -[Caller path]
00000001acbe28b4 (__TEXT,__text) non-external -[Caller pid]
00000001acbe2648 (__TEXT,__text) non-external -[Caller processId]
00000001acbe2740 (__TEXT,__text) non-external -[Caller userId]
00000001acbe3c8c (__TEXT,__text) non-external -[DaemonUtils serverQueue]
00000001acbe0114 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource .cxx_destruct]
00000001acbe0034 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource dealloc]
00000001acbdfe04 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:]
00000001acc03fc0 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.1
00000001acc03fe8 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.2
00000001acbe008c (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource invalidationReason]
00000001acbe0104 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource notificationName]
00000001acbe20dc (__TEXT,__text) non-external -[DomainStateRequest .cxx_destruct]
00000001acbe2074 (__TEXT,__text) non-external -[DomainStateRequest client]
00000001acbe20bc (__TEXT,__text) non-external -[DomainStateRequest contextID]
00000001acbe1ea8 (__TEXT,__text) non-external -[DomainStateRequest initWithOptions:client:contextID:]
00000001acbe20cc (__TEXT,__text) non-external -[DomainStateRequest options]
00000001acbe20a8 (__TEXT,__text) non-external -[DomainStateRequest setClient:]
00000001acbe1fb8 (__TEXT,__text) non-external -[DomainStateRequest userID]
00000001acbe1b40 (__TEXT,__text) non-external -[EvaluationRequest .cxx_destruct]
00000001acbe19a0 (__TEXT,__text) non-external -[EvaluationRequest aclOperation]
00000001acbe197c (__TEXT,__text) non-external -[EvaluationRequest acl]
00000001acbe18f4 (__TEXT,__text) non-external -[EvaluationRequest analyticsData]
00000001acbe1af8 (__TEXT,__text) non-external -[EvaluationRequest analytics]
00000001acbe19e8 (__TEXT,__text) non-external -[EvaluationRequest client]
00000001acbe1938 (__TEXT,__text) non-external -[EvaluationRequest contextID]
00000001acbe1a98 (__TEXT,__text) non-external -[EvaluationRequest customUI]
00000001acbe1ab8 (__TEXT,__text) non-external -[EvaluationRequest evaluationUserId]
00000001acbe1a30 (__TEXT,__text) non-external -[EvaluationRequest externalizedContext]
00000001acbe1144 (__TEXT,__text) non-external -[EvaluationRequest initSimulatedForBiolockoutPreflight]
00000001acbe1138 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:contextID:]
00000001acbe0f3c (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:uiDelegate:contextID:]
00000001acbe112c (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:contextID:]
00000001acbe0da0 (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:uiDelegate:contextID:]
00000001acbe1918 (__TEXT,__text) non-external -[EvaluationRequest isImmediateSuccess]
00000001acbe17b4 (__TEXT,__text) non-external -[EvaluationRequest isInteractive]
00000001acbe1808 (__TEXT,__text) non-external -[EvaluationRequest isPurposeApplePay]
00000001acbe185c (__TEXT,__text) non-external -[EvaluationRequest isPurposeInAppPayment]
00000001acbe1840 (__TEXT,__text) non-external -[EvaluationRequest isPurposeSecureUIRecording]
00000001acbe1824 (__TEXT,__text) non-external -[EvaluationRequest isPurposeUnlock]
00000001acbe1894 (__TEXT,__text) non-external -[EvaluationRequest isRecoveringFromBiolockout]
00000001acbe19c4 (__TEXT,__text) non-external -[EvaluationRequest options]
00000001acbe1b1c (__TEXT,__text) non-external -[EvaluationRequest payload]
00000001acbe195c (__TEXT,__text) non-external -[EvaluationRequest policy]
00000001acbe1a54 (__TEXT,__text) non-external -[EvaluationRequest purpose]
00000001acbe1a74 (__TEXT,__text) non-external -[EvaluationRequest retryingForError]
00000001acbe1ad8 (__TEXT,__text) non-external -[EvaluationRequest secureIntentRequested]
00000001acbe198c (__TEXT,__text) non-external -[EvaluationRequest setAcl:]
00000001acbe19b0 (__TEXT,__text) non-external -[EvaluationRequest setAclOperation:]
00000001acbe1b08 (__TEXT,__text) non-external -[EvaluationRequest setAnalytics:]
00000001acbe1904 (__TEXT,__text) non-external -[EvaluationRequest setAnalyticsData:]
00000001acbe1a1c (__TEXT,__text) non-external -[EvaluationRequest setClient:]
00000001acbe1948 (__TEXT,__text) non-external -[EvaluationRequest setContextID:]
00000001acbe1aa8 (__TEXT,__text) non-external -[EvaluationRequest setCustomUI:]
00000001acbe1ac8 (__TEXT,__text) non-external -[EvaluationRequest setEvaluationUserId:]
00000001acbe1a40 (__TEXT,__text) non-external -[EvaluationRequest setExternalizedContext:]
00000001acbe1928 (__TEXT,__text) non-external -[EvaluationRequest setImmediateSuccess:]
00000001acbe19d4 (__TEXT,__text) non-external -[EvaluationRequest setOptions:]
00000001acbe1b2c (__TEXT,__text) non-external -[EvaluationRequest setPayload:]
00000001acbe196c (__TEXT,__text) non-external -[EvaluationRequest setPolicy:]
00000001acbe1a64 (__TEXT,__text) non-external -[EvaluationRequest setPurpose:]
00000001acbe1a84 (__TEXT,__text) non-external -[EvaluationRequest setRetryingForError:]
00000001acbe1ae8 (__TEXT,__text) non-external -[EvaluationRequest setSecureIntentRequested:]
00000001acbe1460 (__TEXT,__text) non-external -[EvaluationRequest shallowCopy]
00000001acbe11c0 (__TEXT,__text) non-external -[EvaluationRequest updateOptions:]
00000001acbe1738 (__TEXT,__text) non-external -[EvaluationRequest updatePayload:]
00000001acbdf844 (__TEXT,__text) non-external -[InstalledAppsCache appNameForPid:bundleId:]
00000001acbdf9d0 (__TEXT,__text) non-external -[InstalledAppsCache binaryNameForPid:]
00000001acbdf958 (__TEXT,__text) non-external -[InstalledAppsCache bundlePathForPid:stripXPCService:]
00000001acbdf8f0 (__TEXT,__text) non-external -[InstalledAppsCache pathForPid:]
00000001acbdde60 (__TEXT,__text) non-external -[LAAnalytics .cxx_destruct]
00000001acbdda7c (__TEXT,__text) non-external -[LAAnalytics _collect]
00000001acc03d2c (__TEXT,__text) non-external -[LAAnalytics _collect].cold.1
00000001acbdde18 (__TEXT,__text) non-external -[LAAnalytics allowsMultipleCollections]
00000001acbddc74 (__TEXT,__text) non-external -[LAAnalytics buildPayload]
00000001acbdda0c (__TEXT,__text) non-external -[LAAnalytics collectIfNeeded]
00000001acbdde08 (__TEXT,__text) non-external -[LAAnalytics eventName]
00000001acbdd990 (__TEXT,__text) non-external -[LAAnalytics initWithEventName:]
00000001acbddc94 (__TEXT,__text) non-external -[LAAnalytics instanceToReplaceWithWhenRemovedFromStorage]
00000001acbddc88 (__TEXT,__text) non-external -[LAAnalytics logLevel]
00000001acbddc9c (__TEXT,__text) non-external -[LAAnalytics persistInStorage:]
00000001acbddd38 (__TEXT,__text) non-external -[LAAnalytics removeFromStorage]
00000001acbdde20 (__TEXT,__text) non-external -[LAAnalytics setAllowsMultipleCollections:]
00000001acbdde54 (__TEXT,__text) non-external -[LAAnalytics setStorage:]
00000001acbddc80 (__TEXT,__text) non-external -[LAAnalytics shouldCollect]
00000001acbdde28 (__TEXT,__text) non-external -[LAAnalytics storage]
00000001acbdde10 (__TEXT,__text) non-external -[LAAnalytics wasSent]
00000001acbdb3a8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation .cxx_destruct]
00000001acbdae3c (__TEXT,__text) non-external -[LAAnalyticsEvaluation _authenticationStartedForEvent:continuity:]
00000001acbdb0d4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _biometryAttempt:]
00000001acbdb264 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _passcodeAccepted:]
00000001acbdafec (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationAttempt:event:]
00000001acbdadd0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationHasEvent:]
00000001acbdb080 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationResult:event:]
00000001acbdae2c (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationStartedForEvent:]
00000001acbdb388 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationTypes]
00000001acbdb308 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryAttempts]
00000001acbdb318 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryFailures]
00000001acbdb328 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryNoMatches]
00000001acbdb338 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryResult]
00000001acbdb2f8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryStarted]
00000001acbdb0c4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType:]
00000001acbdb2d8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType]
00000001acbda8a8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation buildPayload]
00000001acbdae34 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuityAuthenticationStartedForEvent:]
00000001acbdb398 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuity]
00000001acbdb0b4 (__TEXT,__text) non-external -[LAAnalyticsEvaluation evaluationResult:]
00000001acbda7d0 (__TEXT,__text) non-external -[LAAnalyticsEvaluation initWithEvaluationRequest:]
00000001acbdb358 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeAttempts]
00000001acbdb368 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeFailures]
00000001acbdb378 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeResult]
00000001acbdb348 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeStarted]
00000001acbdb2c8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation policy]
00000001acbdb294 (__TEXT,__text) non-external -[LAAnalyticsEvaluation request]
00000001acbdb2e8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation result]
00000001acbdadc8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation shouldCollect]
00000001acbd98f0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod .cxx_destruct]
00000001acbd98e0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometryAttempts]
00000001acbd9260 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:]
00000001acc0383c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:].cold.1
00000001acbd94a0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod buildPayload]
00000001acbd961c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod description]
00000001acbd9058 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod initWithPolicyGroup:]
00000001acbd96cc (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod instanceToReplaceWithWhenRemovedFromStorage]
00000001acbd98d0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodeCount]
00000001acbd90b4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:]
00000001acc037b0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:].cold.1
00000001acbd939c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policies]
00000001acbd93d4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroupName]
00000001acbd98c0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroup]
00000001acbd9498 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod shouldCollect]
00000001acbd940c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod timeInterval]
00000001acbdd83c (__TEXT,__text) non-external -[LADFROwnerToken dealloc]
00000001acbfd27c (__TEXT,__text) non-external -[LASIORemoteCall .cxx_destruct]
00000001acbfd1e8 (__TEXT,__text) non-external -[LASIORemoteCall callID]
00000001acbfd210 (__TEXT,__text) non-external -[LASIORemoteCall command]
00000001acbfd054 (__TEXT,__text) non-external -[LASIORemoteCall init]
00000001acbfd270 (__TEXT,__text) non-external -[LASIORemoteCall payload]
00000001acbfd234 (__TEXT,__text) non-external -[LASIORemoteCall requestData]
00000001acbfd0dc (__TEXT,__text) non-external -[LASIORemoteCall requestPayload]
00000001acbfd248 (__TEXT,__text) non-external -[LASIORemoteCall responseData]
00000001acbfd25c (__TEXT,__text) non-external -[LASIORemoteCall responseError]
00000001acbfd1fc (__TEXT,__text) non-external -[LASIORemoteCall semaphore]
00000001acbfd1f4 (__TEXT,__text) non-external -[LASIORemoteCall setCallID:]
00000001acbfd218 (__TEXT,__text) non-external -[LASIORemoteCall setCommand:]
00000001acbfd240 (__TEXT,__text) non-external -[LASIORemoteCall setRequestData:]
00000001acbfd254 (__TEXT,__text) non-external -[LASIORemoteCall setResponseData:]
00000001acbfd268 (__TEXT,__text) non-external -[LASIORemoteCall setResponseError:]
00000001acbfd208 (__TEXT,__text) non-external -[LASIORemoteCall setSemaphore:]
00000001acbfd22c (__TEXT,__text) non-external -[LASIORemoteCall setVersion:]
00000001acbfd220 (__TEXT,__text) non-external -[LASIORemoteCall version]
00000001acc01ae8 (__TEXT,__text) non-external -[LASecureIO .cxx_destruct]
00000001acc01ab0 (__TEXT,__text) non-external -[LASecureIO delegate]
00000001acc018f0 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage]
00000001acc03200 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage].cold.1
00000001acc016d4 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:]
00000001acc02f98 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.1
00000001acc03068 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.2
00000001acc03134 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.3
00000001acc01aa0 (__TEXT,__text) non-external -[LASecureIO getSceneCountForOperation:]
00000001acc015d0 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion]
00000001acc02d30 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.1
00000001acc02e00 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.2
00000001acc02ecc (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.3
00000001acc00d98 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:]
00000001acc02474 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.1
00000001acc02540 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.2
00000001acc0260c (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.3
00000001acc026d8 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.4
00000001acc027a4 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.5
00000001acc001d0 (__TEXT,__text) non-external -[LASecureIO init]
00000001acc00fd8 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:]
00000001acc0284c (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.1
00000001acc02920 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.2
00000001acc00b6c (__TEXT,__text) non-external -[LASecureIO postNotification:]
00000001acc023a0 (__TEXT,__text) non-external -[LASecureIO postNotification:].cold.1
00000001acc014dc (__TEXT,__text) non-external -[LASecureIO readSceneDescriptionFromFile:]
00000001acc01adc (__TEXT,__text) non-external -[LASecureIO setDelegate:]
00000001acc00348 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:]
00000001acc01b4c (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.1
00000001acc01c38 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.2
00000001acc01d14 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.3
00000001acc01de0 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.4
00000001acc01eac (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.5
00000001acc013d8 (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:]
00000001acc02c5c (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:].cold.1
