00007ffb437cb5d0 (__DATA,__common) external _AfterColour
00007ffb15d43a6d (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffb16795746 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00007ffb16795690 (__TEXT,__text) external _LLVMAddCoroEarlyPass
00007ffb1679570a (__TEXT,__text) external _LLVMAddCoroElidePass
00007ffb167956cc (__TEXT,__text) external _LLVMAddCoroSplitPass
00007ffb162f616b (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffb162f5c0f (__TEXT,__text) external _LLVMAddDCEPass
00007ffb15d43a90 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffb162f5d22 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffb162f6120 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffb159b5606 (__TEXT,__text) external _LLVMAddDestination
00007ffb162f61ca (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007ffb162f618e (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffb159b3018 (__TEXT,__text) external _LLVMAddFunction
00007ffb15d43ab3 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffb15d43ad6 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffb162f5d68 (__TEXT,__text) external _LLVMAddGVNPass
00007ffb159b2b1e (__TEXT,__text) external _LLVMAddGlobal
00007ffb15d43b21 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffb159b385c (__TEXT,__text) external _LLVMAddGlobalIFunc
00007ffb159b2bb7 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffb15d43b44 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffb159b567a (__TEXT,__text) external _LLVMAddHandler
00007ffb15d43b8a (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffb159b4846 (__TEXT,__text) external _LLVMAddIncoming
00007ffb162f5dd7 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffb15df1620 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffb162f5dfa (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00007ffb15d43bd0 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffb15d43c5a (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00007ffb162f5e1d (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffb162f5e6a (__TEXT,__text) external _LLVMAddLICMPass
00007ffb162f5e8d (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffb162f5ed3 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffb162f5f20 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffb162f5ef6 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffb162f5f90 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00007ffb162f5f43 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffb162f5fb8 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffb16817ea0 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffb162f5fdf (__TEXT,__text) external _LLVMAddLowerAtomicPass
00007ffb162f6292 (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00007ffb162f62b5 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffb16717f3e (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffb162f6002 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffb15d43bad (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00007ffb162f5db2 (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffb159b4de5 (__TEXT,__text) external _LLVMAddMetadataToInst
00007ffb159ae7c8 (__TEXT,__text) external _LLVMAddModuleFlag
00007ffb159b0b8e (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffb162f5d8f (__TEXT,__text) external _LLVMAddNewGVNPass
00007ffb162f6025 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffb16717f61 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffb15d43b67 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffb162f6048 (__TEXT,__text) external _LLVMAddReassociatePass
00007ffb162f606b (__TEXT,__text) external _LLVMAddSCCPPass
00007ffb16817ec3 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffb162f608e (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffb162f60b1 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffb162f60d4 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffb162f5d45 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffb162f624c (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffb162f60f7 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffb15d43ce9 (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffb15d43d0c (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffb1659e0bb (__TEXT,__text) external _LLVMAddSymbol
00007ffb162f60fd (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffb159b358b (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffb165abce9 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffb162f6229 (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffb162f62d8 (__TEXT,__text) external _LLVMAddUnifyFunctionExitNodesPass
00007ffb162f6143 (__TEXT,__text) external _LLVMAddVerifierPass
00007ffb15a86df6 (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007ffb159b3004 (__TEXT,__text) external _LLVMAliasGetAliasee
00007ffb159b300e (__TEXT,__text) external _LLVMAliasSetAliasee
00007ffb159b192c (__TEXT,__text) external _LLVMAlignOf
00007ffb159b3de0 (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffb159b3d1a (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffb159b3cdb (__TEXT,__text) external _LLVMAppendExistingBasicBlock
00007ffb159aea74 (__TEXT,__text) external _LLVMAppendModuleInlineAsm
00007ffb159af352 (__TEXT,__text) external _LLVMArrayType
00007ffb159aef41 (__TEXT,__text) external _LLVMBFloatType
00007ffb159aee96 (__TEXT,__text) external _LLVMBFloatTypeInContext
00007ffb159b3a0a (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffb160b067b (__TEXT,__text) external _LLVMBinaryCopyMemoryBuffer
00007ffb160b06e0 (__TEXT,__text) external _LLVMBinaryGetType
00007ffb159b22c0 (__TEXT,__text) external _LLVMBlockAddress
00007ffb159b5eaa (__TEXT,__text) external _LLVMBuildAShr
00007ffb159b577c (__TEXT,__text) external _LLVMBuildAdd
00007ffb159b7561 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffb159b4ef4 (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffb159b66e0 (__TEXT,__text) external _LLVMBuildAlloca
00007ffb159b5eda (__TEXT,__text) external _LLVMBuildAnd
00007ffb159b670f (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffb159b64fd (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffb159b7e4d (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffb159b7e23 (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffb159b5f61 (__TEXT,__text) external _LLVMBuildBinOp
00007ffb159b7525 (__TEXT,__text) external _LLVMBuildBitCast
00007ffb159b5007 (__TEXT,__text) external _LLVMBuildBr
00007ffb159b7a94 (__TEXT,__text) external _LLVMBuildCall
00007ffb159b7ae2 (__TEXT,__text) external _LLVMBuildCall2
00007ffb159b77fc (__TEXT,__text) external _LLVMBuildCast
00007ffb159b5393 (__TEXT,__text) external _LLVMBuildCatchPad
00007ffb159b555e (__TEXT,__text) external _LLVMBuildCatchRet
00007ffb159b549d (__TEXT,__text) external _LLVMBuildCatchSwitch
00007ffb159b53c2 (__TEXT,__text) external _LLVMBuildCleanupPad
00007ffb159b55e8 (__TEXT,__text) external _LLVMBuildCleanupRet
00007ffb159b50b8 (__TEXT,__text) external _LLVMBuildCondBr
00007ffb159b5cf0 (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffb159b5ba6 (__TEXT,__text) external _LLVMBuildExactUDiv
00007ffb159b7b7a (__TEXT,__text) external _LLVMBuildExtractElement
00007ffb159b7c03 (__TEXT,__text) external _LLVMBuildExtractValue
00007ffb159b58c2 (__TEXT,__text) external _LLVMBuildFAdd
00007ffb159b7a2c (__TEXT,__text) external _LLVMBuildFCmp
00007ffb159b5d23 (__TEXT,__text) external _LLVMBuildFDiv
00007ffb159b5a60 (__TEXT,__text) external _LLVMBuildFMul
00007ffb159b63b4 (__TEXT,__text) external _LLVMBuildFNeg
00007ffb159b78f0 (__TEXT,__text) external _LLVMBuildFPCast
00007ffb159b7480 (__TEXT,__text) external _LLVMBuildFPExt
00007ffb159b734e (__TEXT,__text) external _LLVMBuildFPToSI
00007ffb159b72e3 (__TEXT,__text) external _LLVMBuildFPToUI
00007ffb159b7414 (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffb159b5e19 (__TEXT,__text) external _LLVMBuildFRem
00007ffb159b5991 (__TEXT,__text) external _LLVMBuildFSub
00007ffb159b6c02 (__TEXT,__text) external _LLVMBuildFence
00007ffb159b673c (__TEXT,__text) external _LLVMBuildFree
00007ffb159b7c79 (__TEXT,__text) external _LLVMBuildFreeze
00007ffb159b6c8f (__TEXT,__text) external _LLVMBuildGEP
00007ffb159b6cec (__TEXT,__text) external _LLVMBuildGEP2
00007ffb159b70a8 (__TEXT,__text) external _LLVMBuildGlobalString
00007ffb159b7107 (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffb159b79fd (__TEXT,__text) external _LLVMBuildICmp
00007ffb159b6d1e (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffb159b6fec (__TEXT,__text) external _LLVMBuildInBoundsGEP2
00007ffb159b51e8 (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffb159b7ba7 (__TEXT,__text) external _LLVMBuildInsertElement
00007ffb159b7c3d (__TEXT,__text) external _LLVMBuildInsertValue
00007ffb159b78bd (__TEXT,__text) external _LLVMBuildIntCast
00007ffb159b7883 (__TEXT,__text) external _LLVMBuildIntCast2
00007ffb159b74e9 (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffb159b5256 (__TEXT,__text) external _LLVMBuildInvoke
00007ffb159b52b3 (__TEXT,__text) external _LLVMBuildInvoke2
00007ffb159b7d5e (__TEXT,__text) external _LLVMBuildIsNotNull
00007ffb159b7d07 (__TEXT,__text) external _LLVMBuildIsNull
00007ffb159b5e7a (__TEXT,__text) external _LLVMBuildLShr
00007ffb159b5303 (__TEXT,__text) external _LLVMBuildLandingPad
00007ffb159b67bb (__TEXT,__text) external _LLVMBuildLoad
00007ffb159b68f0 (__TEXT,__text) external _LLVMBuildLoad2
00007ffb159b6410 (__TEXT,__text) external _LLVMBuildMalloc
00007ffb159b662a (__TEXT,__text) external _LLVMBuildMemCpy
00007ffb159b6690 (__TEXT,__text) external _LLVMBuildMemMove
00007ffb159b65f1 (__TEXT,__text) external _LLVMBuildMemSet
00007ffb159b59c1 (__TEXT,__text) external _LLVMBuildMul
00007ffb159b57f9 (__TEXT,__text) external _LLVMBuildNSWAdd
00007ffb159b59f4 (__TEXT,__text) external _LLVMBuildNSWMul
00007ffb159b634a (__TEXT,__text) external _LLVMBuildNSWNeg
00007ffb159b5925 (__TEXT,__text) external _LLVMBuildNSWSub
00007ffb159b5894 (__TEXT,__text) external _LLVMBuildNUWAdd
00007ffb159b5a2a (__TEXT,__text) external _LLVMBuildNUWMul
00007ffb159b637f (__TEXT,__text) external _LLVMBuildNUWNeg
00007ffb159b595b (__TEXT,__text) external _LLVMBuildNUWSub
00007ffb159b6318 (__TEXT,__text) external _LLVMBuildNeg
00007ffb159b63e3 (__TEXT,__text) external _LLVMBuildNot
00007ffb159b5f07 (__TEXT,__text) external _LLVMBuildOr
00007ffb159b7a65 (__TEXT,__text) external _LLVMBuildPhi
00007ffb159b7856 (__TEXT,__text) external _LLVMBuildPointerCast
00007ffb159b7db5 (__TEXT,__text) external _LLVMBuildPtrDiff
00007ffb159b7df6 (__TEXT,__text) external _LLVMBuildPtrDiff2
00007ffb159b74ad (__TEXT,__text) external _LLVMBuildPtrToInt
00007ffb159b542c (__TEXT,__text) external _LLVMBuildResume
00007ffb159b4e46 (__TEXT,__text) external _LLVMBuildRet
00007ffb159b4e3c (__TEXT,__text) external _LLVMBuildRetVoid
00007ffb159b5bd9 (__TEXT,__text) external _LLVMBuildSDiv
00007ffb159b72a7 (__TEXT,__text) external _LLVMBuildSExt
00007ffb159b75ca (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007ffb159b73e7 (__TEXT,__text) external _LLVMBuildSIToFP
00007ffb159b5deb (__TEXT,__text) external _LLVMBuildSRem
00007ffb159b7b1c (__TEXT,__text) external _LLVMBuildSelect
00007ffb159b5e47 (__TEXT,__text) external _LLVMBuildShl
00007ffb159b7bd6 (__TEXT,__text) external _LLVMBuildShuffleVector
00007ffb159b6a27 (__TEXT,__text) external _LLVMBuildStore
00007ffb159b701e (__TEXT,__text) external _LLVMBuildStructGEP
00007ffb159b7072 (__TEXT,__text) external _LLVMBuildStructGEP2
00007ffb159b58f2 (__TEXT,__text) external _LLVMBuildSub
00007ffb159b514a (__TEXT,__text) external _LLVMBuildSwitch
00007ffb159b722f (__TEXT,__text) external _LLVMBuildTrunc
00007ffb159b76d7 (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007ffb159b5a90 (__TEXT,__text) external _LLVMBuildUDiv
00007ffb159b73ba (__TEXT,__text) external _LLVMBuildUIToFP
00007ffb159b5d53 (__TEXT,__text) external _LLVMBuildURem
00007ffb159b55f2 (__TEXT,__text) external _LLVMBuildUnreachable
00007ffb159b7b4e (__TEXT,__text) external _LLVMBuildVAArg
00007ffb159b5f34 (__TEXT,__text) external _LLVMBuildXor
00007ffb159b726b (__TEXT,__text) external _LLVMBuildZExt
00007ffb159b759d (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007ffb159b4e32 (__TEXT,__text) external _LLVMBuilderGetDefaultFPMathTag
00007ffb159b4e28 (__TEXT,__text) external _LLVMBuilderSetDefaultFPMathTag
00007ffb165abdb1 (__TEXT,__text) external _LLVMByteOrder
00007ffb165abfb1 (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007ffb159b4b21 (__TEXT,__text) external _LLVMClearInsertionPosition
00007ffb166092e8 (__TEXT,__text) external _LLVMCloneModule
00007ffb159b1e2f (__TEXT,__text) external _LLVMConstAShr
00007ffb159b1cbd (__TEXT,__text) external _LLVMConstAdd
00007ffb159b2045 (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007ffb159b06a6 (__TEXT,__text) external _LLVMConstAllOnes
00007ffb159b1dd9 (__TEXT,__text) external _LLVMConstAnd
00007ffb159b17de (__TEXT,__text) external _LLVMConstArray
00007ffb159b2024 (__TEXT,__text) external _LLVMConstBitCast
00007ffb159b1d92 (__TEXT,__text) external _LLVMConstExactSDiv
00007ffb159b1d77 (__TEXT,__text) external _LLVMConstExactUDiv
00007ffb159b20a2 (__TEXT,__text) external _LLVMConstExtractElement
00007ffb159b220b (__TEXT,__text) external _LLVMConstExtractValue
00007ffb159b1ced (__TEXT,__text) external _LLVMConstFAdd
00007ffb159b1e06 (__TEXT,__text) external _LLVMConstFCmp
00007ffb159b1da1 (__TEXT,__text) external _LLVMConstFDiv
00007ffb159b1d61 (__TEXT,__text) external _LLVMConstFMul
00007ffb159b1c9d (__TEXT,__text) external _LLVMConstFNeg
00007ffb159b208c (__TEXT,__text) external _LLVMConstFPCast
00007ffb159b1f83 (__TEXT,__text) external _LLVMConstFPExt
00007ffb159b1fdf (__TEXT,__text) external _LLVMConstFPToSI
00007ffb159b1fc8 (__TEXT,__text) external _LLVMConstFPToUI
00007ffb159b1f6c (__TEXT,__text) external _LLVMConstFPTrunc
00007ffb159b1dbf (__TEXT,__text) external _LLVMConstFRem
00007ffb159b1d27 (__TEXT,__text) external _LLVMConstFSub
00007ffb159b1e49 (__TEXT,__text) external _LLVMConstGEP
00007ffb159b1e92 (__TEXT,__text) external _LLVMConstGEP2
00007ffb159b1df7 (__TEXT,__text) external _LLVMConstICmp
00007ffb159b1eb5 (__TEXT,__text) external _LLVMConstInBoundsGEP
00007ffb159b1f01 (__TEXT,__text) external _LLVMConstInBoundsGEP2
00007ffb159b2228 (__TEXT,__text) external _LLVMConstInlineAsm
00007ffb159b216b (__TEXT,__text) external _LLVMConstInsertElement
00007ffb159b2219 (__TEXT,__text) external _LLVMConstInsertValue
00007ffb159b1391 (__TEXT,__text) external _LLVMConstInt
00007ffb159b2079 (__TEXT,__text) external _LLVMConstIntCast
00007ffb159b152f (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007ffb159b1519 (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007ffb159b1422 (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007ffb159b1487 (__TEXT,__text) external _LLVMConstIntOfString
00007ffb159b14c7 (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007ffb159b200d (__TEXT,__text) external _LLVMConstIntToPtr
00007ffb159b1e23 (__TEXT,__text) external _LLVMConstLShr
00007ffb159b1d31 (__TEXT,__text) external _LLVMConstMul
00007ffb159b1ccb (__TEXT,__text) external _LLVMConstNSWAdd
00007ffb159b1d3f (__TEXT,__text) external _LLVMConstNSWMul
00007ffb159b1a5f (__TEXT,__text) external _LLVMConstNSWNeg
00007ffb159b1d05 (__TEXT,__text) external _LLVMConstNSWSub
00007ffb159b1cdc (__TEXT,__text) external _LLVMConstNUWAdd
00007ffb159b1d50 (__TEXT,__text) external _LLVMConstNUWMul
00007ffb159b1b7e (__TEXT,__text) external _LLVMConstNUWNeg
00007ffb159b1d16 (__TEXT,__text) external _LLVMConstNUWSub
00007ffb159b18a3 (__TEXT,__text) external _LLVMConstNamedStruct
00007ffb159b1940 (__TEXT,__text) external _LLVMConstNeg
00007ffb159b1cb3 (__TEXT,__text) external _LLVMConstNot
00007ffb159b069c (__TEXT,__text) external _LLVMConstNull
00007ffb159b1de3 (__TEXT,__text) external _LLVMConstOr
00007ffb159b206f (__TEXT,__text) external _LLVMConstPointerCast
00007ffb159b0711 (__TEXT,__text) external _LLVMConstPointerNull
00007ffb159b1ff6 (__TEXT,__text) external _LLVMConstPtrToInt
00007ffb159b14d3 (__TEXT,__text) external _LLVMConstReal
00007ffb159b1553 (__TEXT,__text) external _LLVMConstRealGetDouble
00007ffb159b14dd (__TEXT,__text) external _LLVMConstRealOfString
00007ffb159b150d (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007ffb159b1d86 (__TEXT,__text) external _LLVMConstSDiv
00007ffb159b1f3e (__TEXT,__text) external _LLVMConstSExt
00007ffb159b205b (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007ffb159b1fb1 (__TEXT,__text) external _LLVMConstSIToFP
00007ffb159b1db5 (__TEXT,__text) external _LLVMConstSRem
00007ffb159b2096 (__TEXT,__text) external _LLVMConstSelect
00007ffb159b1e15 (__TEXT,__text) external _LLVMConstShl
00007ffb159b2177 (__TEXT,__text) external _LLVMConstShuffleVector
00007ffb159b173e (__TEXT,__text) external _LLVMConstString
00007ffb159b1729 (__TEXT,__text) external _LLVMConstStringInContext
00007ffb159b1835 (__TEXT,__text) external _LLVMConstStruct
00007ffb159b1805 (__TEXT,__text) external _LLVMConstStructInContext
00007ffb159b1cf7 (__TEXT,__text) external _LLVMConstSub
00007ffb159b1f27 (__TEXT,__text) external _LLVMConstTrunc
00007ffb159b2065 (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007ffb159b1d6b (__TEXT,__text) external _LLVMConstUDiv
00007ffb159b1f9a (__TEXT,__text) external _LLVMConstUIToFP
00007ffb159b1dab (__TEXT,__text) external _LLVMConstURem
00007ffb159b18af (__TEXT,__text) external _LLVMConstVector
00007ffb159b1ded (__TEXT,__text) external _LLVMConstXor
00007ffb159b1f55 (__TEXT,__text) external _LLVMConstZExt
00007ffb159b2051 (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007ffb16512710 (__TEXT,__text) external _LLVMConsumeError
00007ffb159adeb8 (__TEXT,__text) external _LLVMContextCreate
00007ffb159adf92 (__TEXT,__text) external _LLVMContextDispose
00007ffb159adf48 (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007ffb159adf37 (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007ffb159adf1a (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007ffb159adf80 (__TEXT,__text) external _LLVMContextSetDiscardValueNames
00007ffb159adf59 (__TEXT,__text) external _LLVMContextSetYieldCallback
00007ffb159adf70 (__TEXT,__text) external _LLVMContextShouldDiscardValueNames
00007ffb159ae556 (__TEXT,__text) external _LLVMCopyModuleFlagsMetadata
00007ffb165abd34 (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007ffb159b3b00 (__TEXT,__text) external _LLVMCountBasicBlocks
00007ffb159b488e (__TEXT,__text) external _LLVMCountIncoming
00007ffb159af14d (__TEXT,__text) external _LLVMCountParamTypes
00007ffb159b360d (__TEXT,__text) external _LLVMCountParams
00007ffb159af25a (__TEXT,__text) external _LLVMCountStructElementTypes
00007ffb159b3bff (__TEXT,__text) external _LLVMCreateBasicBlockInContext
00007ffb160b0566 (__TEXT,__text) external _LLVMCreateBinary
00007ffb159b4a15 (__TEXT,__text) external _LLVMCreateBuilder
00007ffb159b4980 (__TEXT,__text) external _LLVMCreateBuilderInContext
00007ffb15a86c1d (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007ffb15a86c74 (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007ffb15a869ee (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007ffb15a86a82 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007ffb15a8736b (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007ffb15a8710e (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007ffb15a86d13 (__TEXT,__text) external _LLVMCreateCoverageIterator
00007ffb15a864f5 (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007ffb15a864e5 (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007ffb15a8648d (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007ffb15a84373 (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007ffb159c13a2 (__TEXT,__text) external _LLVMCreateDIBuilder
00007ffb159c136a (__TEXT,__text) external _LLVMCreateDIBuilderDisallowUnresolved
00007ffb160226b5 (__TEXT,__text) external _LLVMCreateDisasm
00007ffb1602268b (__TEXT,__text) external _LLVMCreateDisasmCPU
00007ffb16021e76 (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007ffb159ae028 (__TEXT,__text) external _LLVMCreateEnumAttribute
00007ffb159b8299 (__TEXT,__text) external _LLVMCreateFunctionPassManager
00007ffb159b8265 (__TEXT,__text) external _LLVMCreateFunctionPassManagerForModule
00007ffb159b7f34 (__TEXT,__text) external _LLVMCreateMemoryBufferWithContentsOfFile
00007ffb159b80e7 (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRange
00007ffb159b8150 (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRangeCopy
00007ffb159b8031 (__TEXT,__text) external _LLVMCreateMemoryBufferWithSTDIN
00007ffb159adea4 (__TEXT,__text) external _LLVMCreateMessage
00007ffb159b7eff (__TEXT,__text) external _LLVMCreateModuleProviderForExistingModule
00007ffb160b0895 (__TEXT,__text) external _LLVMCreateObjectFile
00007ffb16109fad (__TEXT,__text) external _LLVMCreatePassBuilderOptions
00007ffb159b8236 (__TEXT,__text) external _LLVMCreatePassManager
00007ffb159ae099 (__TEXT,__text) external _LLVMCreateStringAttribute
00007ffb16512815 (__TEXT,__text) external _LLVMCreateStringError
00007ffb165abbf0 (__TEXT,__text) external _LLVMCreateTargetData
00007ffb165ae9b9 (__TEXT,__text) external _LLVMCreateTargetDataLayout
