000000027ed60888 (__TEXT,__text) non-external _Done_iODBC
000000027ed5eea0 (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000027ed607dc (__TEXT,__text) external _SQLFreeEnv
000000027ed60744 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000027ed6a928 (__TEXT,__text) external _SQLFreeHandle
000000027ed63808 (__TEXT,__text) external _SQLFreeStmt
000000027ed63600 (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000027ed7bf98 (__TEXT,__text) non-external _SQLGetConfigMode
000000027ed6d234 (__TEXT,__text) external _SQLGetConnectAttr
000000027ed6d6fc (__TEXT,__text) external _SQLGetConnectAttrA
000000027ed6d850 (__TEXT,__text) external _SQLGetConnectAttrW
000000027ed6d388 (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000027ed5fd70 (__TEXT,__text) external _SQLGetConnectOption
000000027ed5fe9c (__TEXT,__text) external _SQLGetConnectOptionA
000000027ed5ffc8 (__TEXT,__text) external _SQLGetConnectOptionW
000000027ed68954 (__TEXT,__text) external _SQLGetCursorName
000000027ed68abc (__TEXT,__text) external _SQLGetCursorNameA
000000027ed68c24 (__TEXT,__text) external _SQLGetCursorNameW
000000027ed68740 (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000027ed5e3ec (__TEXT,__text) external _SQLGetData
000000027ed6dc38 (__TEXT,__text) external _SQLGetDescField
000000027ed6ddac (__TEXT,__text) external _SQLGetDescFieldA
000000027ed6df20 (__TEXT,__text) external _SQLGetDescFieldW
000000027ed6d9a4 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000027ed6e878 (__TEXT,__text) external _SQLGetDescRec
000000027ed6ead0 (__TEXT,__text) external _SQLGetDescRecA
000000027ed6ed28 (__TEXT,__text) external _SQLGetDescRecW
000000027ed6e644 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000027ed62b40 (__TEXT,__text) external _SQLGetDiagField
000000027ed62c4c (__TEXT,__text) external _SQLGetDiagFieldA
000000027ed62d58 (__TEXT,__text) external _SQLGetDiagFieldW
000000027ed61d64 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000027ed61a04 (__TEXT,__text) external _SQLGetDiagRec
000000027ed61b24 (__TEXT,__text) external _SQLGetDiagRecA
000000027ed61c44 (__TEXT,__text) external _SQLGetDiagRecW
000000027ed613c0 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000027ed6b044 (__TEXT,__text) external _SQLGetEnvAttr
000000027ed665c0 (__TEXT,__text) external _SQLGetFunctions
000000027ed661c4 (__TEXT,__text) external _SQLGetInfo
000000027ed66318 (__TEXT,__text) external _SQLGetInfoA
000000027ed6646c (__TEXT,__text) external _SQLGetInfoW
000000027ed65b84 (__TEXT,__text) non-external _SQLGetInfo_Internal
000000027ed7ee78 (__TEXT,__text) non-external _SQLGetKeywordValue
000000027ed7eec4 (__TEXT,__text) non-external _SQLGetKeywordValueW
000000027ed7e990 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000027ed7eb90 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000027ed6b8b8 (__TEXT,__text) external _SQLGetStmtAttr
000000027ed6ba30 (__TEXT,__text) external _SQLGetStmtAttrA
000000027ed6bba8 (__TEXT,__text) external _SQLGetStmtAttrW
000000027ed6b228 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000027ed64050 (__TEXT,__text) external _SQLGetStmtOption
000000027ed6419c (__TEXT,__text) external _SQLGetStmtOptionA
000000027ed63e70 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000027ed52978 (__TEXT,__text) external _SQLGetTypeInfo
000000027ed52ab8 (__TEXT,__text) external _SQLGetTypeInfoA
000000027ed52bf8 (__TEXT,__text) external _SQLGetTypeInfoW
000000027ed527b8 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000027ed5e770 (__TEXT,__text) external _SQLMoreResults
000000027ed5c1d4 (__TEXT,__text) external _SQLNativeSql
000000027ed5c340 (__TEXT,__text) external _SQLNativeSqlA
000000027ed5c4ac (__TEXT,__text) external _SQLNativeSqlW
000000027ed5bf5c (__TEXT,__text) non-external _SQLNativeSql_Internal
000000027ed5d958 (__TEXT,__text) external _SQLNumParams
000000027ed69084 (__TEXT,__text) external _SQLNumResultCols
000000027ed5d6a0 (__TEXT,__text) external _SQLParamData
000000027ed67cd8 (__TEXT,__text) external _SQLParamOptions
000000027ed66f54 (__TEXT,__text) external _SQLPrepare
000000027ed670a4 (__TEXT,__text) external _SQLPrepareA
000000027ed671f4 (__TEXT,__text) external _SQLPrepareW
000000027ed66d2c (__TEXT,__text) non-external _SQLPrepare_Internal
000000027ed564c4 (__TEXT,__text) external _SQLPrimaryKeys
000000027ed5666c (__TEXT,__text) external _SQLPrimaryKeysA
000000027ed56814 (__TEXT,__text) external _SQLPrimaryKeysW
000000027ed56298 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000027ed56c4c (__TEXT,__text) external _SQLProcedureColumns
000000027ed56e28 (__TEXT,__text) external _SQLProcedureColumnsA
000000027ed57004 (__TEXT,__text) external _SQLProcedureColumnsW
000000027ed569bc (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000027ed5740c (__TEXT,__text) external _SQLProcedures
000000027ed575b4 (__TEXT,__text) external _SQLProceduresA
000000027ed5775c (__TEXT,__text) external _SQLProceduresW
000000027ed571e0 (__TEXT,__text) non-external _SQLProcedures_Internal
000000027ed5d40c (__TEXT,__text) external _SQLPutData
000000027ed7b640 (__TEXT,__text) non-external _SQLReadFileDSN
000000027ed7b7d0 (__TEXT,__text) non-external _SQLReadFileDSNW
000000027ed68d8c (__TEXT,__text) external _SQLRowCount
000000027ed7ef10 (__TEXT,__text) non-external _SQLSetConfigMode
000000027ed6cc30 (__TEXT,__text) external _SQLSetConnectAttr
000000027ed6cfac (__TEXT,__text) external _SQLSetConnectAttrA
000000027ed6d0f0 (__TEXT,__text) external _SQLSetConnectAttrW
000000027ed6cd74 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000027ed5f5ec (__TEXT,__text) external _SQLSetConnectOption
000000027ed5f718 (__TEXT,__text) external _SQLSetConnectOptionA
000000027ed5f844 (__TEXT,__text) external _SQLSetConnectOptionW
000000027ed674f0 (__TEXT,__text) external _SQLSetCursorName
000000027ed67640 (__TEXT,__text) external _SQLSetCursorNameA
000000027ed67790 (__TEXT,__text) external _SQLSetCursorNameW
000000027ed67344 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000027ed6e230 (__TEXT,__text) external _SQLSetDescField
000000027ed6e38c (__TEXT,__text) external _SQLSetDescFieldA
000000027ed6e4e8 (__TEXT,__text) external _SQLSetDescFieldW
000000027ed6e094 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000027ed6ef80 (__TEXT,__text) external _SQLSetDescRec
000000027ed6ae30 (__TEXT,__text) external _SQLSetEnvAttr
000000027ed6af50 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000027ed7f3ec (__TEXT,__text) non-external _SQLSetKeywordValue
000000027ed7f3f8 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000027ed683bc (__TEXT,__text) external _SQLSetParam
000000027ed5eb78 (__TEXT,__text) external _SQLSetPos
000000027ed67f88 (__TEXT,__text) external _SQLSetScrollOptions
000000027ed6c7f8 (__TEXT,__text) external _SQLSetStmtAttr
000000027ed6c960 (__TEXT,__text) external _SQLSetStmtAttrA
000000027ed6cac8 (__TEXT,__text) external _SQLSetStmtAttrW
000000027ed6bd20 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000027ed63954 (__TEXT,__text) external _SQLSetStmtOption
000000027ed63d24 (__TEXT,__text) external _SQLSetStmtOptionA
000000027ed63aa0 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000027ed52fc4 (__TEXT,__text) external _SQLSpecialColumns
000000027ed53200 (__TEXT,__text) external _SQLSpecialColumnsA
000000027ed5343c (__TEXT,__text) external _SQLSpecialColumnsW
000000027ed52d38 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000027ed538e4 (__TEXT,__text) external _SQLStatistics
000000027ed53ac0 (__TEXT,__text) external _SQLStatisticsA
000000027ed53c9c (__TEXT,__text) external _SQLStatisticsW
000000027ed53678 (__TEXT,__text) non-external _SQLStatistics_Internal
000000027ed57b30 (__TEXT,__text) external _SQLTablePrivileges
000000027ed57cd8 (__TEXT,__text) external _SQLTablePrivilegesA
000000027ed57e80 (__TEXT,__text) external _SQLTablePrivilegesW
000000027ed57904 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000027ed54108 (__TEXT,__text) external _SQLTables
000000027ed542e4 (__TEXT,__text) external _SQLTablesA
000000027ed544c0 (__TEXT,__text) external _SQLTablesW
000000027ed53e78 (__TEXT,__text) non-external _SQLTables_Internal
000000027ed60400 (__TEXT,__text) external _SQLTransact
000000027ed600f4 (__TEXT,__text) non-external _SQLTransact_Internal
000000027ed7c0ac (__TEXT,__text) non-external _SQLValidDSN
000000027ed7c134 (__TEXT,__text) non-external _SQLValidDSNW
000000027ed7b3d8 (__TEXT,__text) non-external _SQLWriteFileDSN
000000027ed7b494 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000027ed7f0a8 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000027ed7f240 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000027ed64d8c (__TEXT,__text) non-external _SectSorter
000000027ed7bfec (__TEXT,__text) non-external _ValidDSN
000000027ed7c050 (__TEXT,__text) non-external _ValidDSNW
000000027ed7ef70 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000027ed6acf4 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000027ed7d278 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
000000027ed7e6c8 (__TEXT,__text) non-external ___iodbcdm_cfg_skipwhite
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00000002983146d8 (__DATA,__common) non-external __iodbc_env_counter
000000027ed7b9bc (__TEXT,__text) non-external __iodbcadm_getinifile
000000027ed64748 (__TEXT,__text) non-external __iodbcdm_BindColumn
000000027ed64860 (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000027ed5e0d0 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000027ed635ac (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000027ed5f970 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000027ed68f48 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000027ed637cc (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000027ed5f030 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000027ed58278 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000027ed5ea00 (__TEXT,__text) non-external __iodbcdm_SetPos
000000027ed647f4 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000027ed644f8 (__TEXT,__text) non-external __iodbcdm_alloc_param
00000002983146e0 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000027ed64920 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000027ed528a0 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000027ed52914 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000027ed7d924 (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000027ed7cc4c (__TEXT,__text) non-external __iodbcdm_cfg_done
000000027ed7d424 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000027ed7d0a8 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000027ed7cb84 (__TEXT,__text) non-external __iodbcdm_cfg_init
000000027ed66ae0 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000027ed7dba8 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000027ed7d358 (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000027ed66b74 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000027ed669b0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000027ed7cc90 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000027ed7d32c (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000027ed5acd8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000027ed7dbf0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000027ed7d188 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000027ed66bec (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000027ed7d524 (__TEXT,__text) non-external __iodbcdm_cfg_write
000000027ed7bc2c (__TEXT,__text) non-external __iodbcdm_check_for_string
000000027ed5aa7c (__TEXT,__text) non-external __iodbcdm_con_settracing
000000027ed64590 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000027ed6466c (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000027ed5aba0 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000027ed5c9b0 (__TEXT,__text) non-external __iodbcdm_dllclose
000000027ed5ca24 (__TEXT,__text) non-external __iodbcdm_dllerror
000000027ed5c8e8 (__TEXT,__text) non-external __iodbcdm_dllopen
000000027ed5c8e4 (__TEXT,__text) non-external __iodbcdm_dllproc
000000027ed5ca58 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000027ed584f0 (__TEXT,__text) non-external __iodbcdm_driverload
000000027ed58b58 (__TEXT,__text) non-external __iodbcdm_driverunload
000000027ed63488 (__TEXT,__text) non-external __iodbcdm_dropstmt
000000027ed5f568 (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000027ed58098 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000027ed6088c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000027ed5c7ac (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000027ed7bd04 (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000027ed5c880 (__TEXT,__text) non-external __iodbcdm_getproc
0000000298314680 (__DATA,__bss) non-external __iodbcdm_initialized
000000027ed7de08 (__TEXT,__text) non-external __iodbcdm_list_entries
000000027ed7dd3c (__TEXT,__text) non-external __iodbcdm_list_sections
000000027ed6922c (__TEXT,__text) non-external __iodbcdm_map_c_type
000000027ed691c0 (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000027ed5c618 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000027ed58028 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000027ed7f404 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000027ed5a840 (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000027ed5af10 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000027ed58164 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000027ed5ae54 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000027ed608c0 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000027ed7bc90 (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000027ed5ca28 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000027ed60948 (__TEXT,__text) non-external __iodbcdm_sqlerror
000000027ed7befc (__TEXT,__text) non-external __iodbcdm_strlcat
000000027ed7beb0 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000027ed601f4 (__TEXT,__text) non-external __iodbcdm_transact
0000000292218f60 (__DATA_CONST,__const) non-external __mask_CONVERT
0000000292219b38 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
0000000292219be0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
0000000292219020 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00000002922190b0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00000002922196e8 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
0000000292219720 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
0000000292219420 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
0000000292219770 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
0000000292219788 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00000002922197a8 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00000002922194c8 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00000002922197d0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00000002922197e8 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
0000000292218f38 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
0000000292218f48 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00000002922193f8 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
0000000292219818 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
0000000292219860 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
0000000292219880 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
0000000292219890 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00000002922198e0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
0000000292219900 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
0000000292219978 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
0000000292219988 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00000002922199b0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00000002922199c8 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
0000000292219a48 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
0000000292219a78 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
0000000292219a88 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
0000000292219a98 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
0000000292219aa8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
0000000292219ac8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
0000000292219ae8 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
0000000292219b08 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
0000000292219b18 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
0000000292219a60 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
0000000292219068 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
0000000292219550 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
0000000292219508 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
0000000292219530 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
0000000292219c70 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
0000000292219c88 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
0000000292219d48 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
0000000292219568 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
0000000292219410 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
0000000292219588 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00000002922190d8 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00000002922191a0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
0000000292219d68 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00000002922191b8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00000002922191c8 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00000002922195a0 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
0000000292219d88 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
0000000292219da0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
0000000292219610 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00000002922195e0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
0000000292219dc0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00000002922191e0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
0000000292219208 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
0000000292219e18 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
0000000292219e38 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
0000000292219e60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
0000000292219e88 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
0000000292219ef8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
0000000292219f30 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
0000000292219fa8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
000000029221a000 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
