
/System/Library/PrivateFrameworks/AssistantServices.framework/Versions/Current/Support/assistantd (for architecture x86_64):
00000001002edc8c (__TEXT,__text) external _ADAMOSIdentifierCreate
00000001003345a2 (__TEXT,__text) external _ADDeviceCapabilitiesGetLocalCapabilitiesV2
0000000100272de2 (__TEXT,__text) external _ADDeviceCircleArePeerInfoSameDevice
00000001002696c6 (__TEXT,__text) external _ADDeviceCircleCreateRemotePeerInfoFromRapportDevice
00000001002733ae (__TEXT,__text) external _ADDeviceCircleGetAssistantIdentifierFromRapportDevice
000000010027383b (__TEXT,__text) external _ADDeviceCircleGetAssistantIdentifierFromSiriInfo
0000000100273ca1 (__TEXT,__text) external _ADDeviceCircleGetBestAssistantIdentifierForPeerInfo
0000000100273d4d (__TEXT,__text) external _ADDeviceCircleGetBestIDSDeviceUniqueIdentifierForPeerInfo
00000001002731db (__TEXT,__text) external _ADDeviceCircleGetBestPeerInfo
0000000100273bae (__TEXT,__text) external _ADDeviceCircleGetBestPeerInfoForAssistantIdentifier
0000000100273abb (__TEXT,__text) external _ADDeviceCircleGetBestPeerInfoForIDSDeviceUniqueIdentifier
000000010036fb7c (__TEXT,__text) external _ADDeviceContextDeduplicateTuples
0000000100370d70 (__TEXT,__text) external _ADDeviceContextGetArrayFromTuples
00000001003715f7 (__TEXT,__text) external _ADDeviceContextGetBargeInOptions
0000000100370228 (__TEXT,__text) external _ADDeviceContextTupleGetAssistantIdentifier
000000010037034e (__TEXT,__text) external _ADDeviceContextTupleGetIDSDeviceUniqueIdentifier
0000000100370f7c (__TEXT,__text) external _ADDeviceContextTuplesAdjustedForDate
00000001003708f2 (__TEXT,__text) external _ADDeviceProximityGetMapByAssistantIdentifierFromTuples
0000000100370474 (__TEXT,__text) external _ADDeviceProximityGetMapByIDSDeviceUniqueIdentifierFromTuples
0000000100370df4 (__TEXT,__text) external _ADDeviceProximityMapGetProximityForPeerInfo
00000001005e8330 (__DATA_CONST,__const) external _ADDeviceSyncDataType
00000001001ea703 (__TEXT,__text) external _ADDeviceSyncItemCreateFromClockTimer
00000001001ea081 (__TEXT,__text) external _ADDeviceSyncItemCreateOrModifyClockTimer
00000001003a1833 (__TEXT,__text) external _ADDeviceSyncMessageHandleRequests
00000001003a1a34 (__TEXT,__text) external _ADDeviceSyncMessageHandleResponses
00000001003a1812 (__TEXT,__text) external _ADDeviceSyncMessageTypeGetName
00000001005e54e8 (__DATA_CONST,__const) external _ADDeviceSyncMessagingChannel
00000001003a6da9 (__TEXT,__text) external _ADDictationSessionGetSessionsWithAnyTransactionStartingOrStarted
00000001003a6d77 (__TEXT,__text) external _ADDictationSessionGetSessionsWithAudioFileIOTransactionStopping
00000001003a6d45 (__TEXT,__text) external _ADDictationSessionGetSessionsWithSpeechRecognitionTransactionStopping
00000001003a6e13 (__TEXT,__text) external _ADDictationSessionShouldHandleAudioFileIO
00000001002ef4de (__TEXT,__text) external _ADDispatchCreateRootQueueWithPriority
00000001002ef5b8 (__TEXT,__text) external _ADDispatchGetHighPriorityQueue
00000001002ef58b (__TEXT,__text) external _ADDispatchInitHighPriorityQueue
0000000100227c22 (__TEXT,__text) external _ADEmitOptInInconsistentStateDetectedEvent
                 (undefined) external _ADEmitRequestLinkEventMessage (from AssistantServices)
00000001005df158 (__DATA_CONST,__const) external _ADExtensionServiceIdentifier
00000001002f7ef4 (__TEXT,__text) external _ADExternalNotificationRequestHandlerStateGetName
00000001003a484a (__TEXT,__text) external _ADFetchSyncKeysThatNeedToBeSynced
00000001005dcb50 (__DATA_CONST,__const) external _ADFirstUnlockNotification
00000001002ee924 (__TEXT,__text) external _ADForced24HourTimeSetting
00000001002ee9d3 (__TEXT,__text) external _ADFullyQualifiedCommand
00000001002ee8e0 (__TEXT,__text) external _ADGetDescriptionOfApplicationState
00000001002f15a8 (__TEXT,__text) external _ADGetPairedBluetoothDevices
00000001002ee7fa (__TEXT,__text) external _ADHandsFreeAddObserver
00000001002ee86d (__TEXT,__text) external _ADHandsFreeRemoveObserver
00000001002ee903 (__TEXT,__text) external _ADHideNetworkActivityIndicatorForApplicationIdentifier
00000001005e2538 (__DATA_CONST,__const) external _ADHomeInfoForThisDeviceDidChangeNotification
00000001005e2530 (__DATA_CONST,__const) external _ADHomeInfoHomeContextDidChangeNotification
00000001005e2508 (__DATA_CONST,__const) external _ADHomeInfoManagerAllowExplicitContentKey
00000001005e2500 (__DATA_CONST,__const) external _ADHomeInfoManagerMultiUserIdentifyUserVoiceKey
00000001005e24f8 (__DATA_CONST,__const) external _ADHomeInfoManagerPersonalDomainsAuthKey
00000001005e24f0 (__DATA_CONST,__const) external _ADHomeInfoManagerPersonalDomainsKey
00000001005e24d0 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeHomePod
00000001005e24e0 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeRemoraAccessory
00000001005e24e8 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeRemoraOtherDevice
00000001005e24d8 (__DATA_CONST,__const) external _ADHomeKitAccessoryCategoryTypeRemoraSpeaker
00000001002ef348 (__TEXT,__text) external _ADIsCarryDevice
0000000100227ab3 (__TEXT,__text) external _ADIsCurrentOptInStatusConsistent
00000001003a47e2 (__TEXT,__text) external _ADIsDictationSyncKey
00000001002ef1e5 (__TEXT,__text) external _ADIsFirstUnlockNotification
00000001002ef468 (__TEXT,__text) external _ADIsInStoreDemoMode
0000000100312be4 (__TEXT,__text) external _ADIsMorphunAssetAvailableFromUodStatus
0000000100312c30 (__TEXT,__text) external _ADIsNLAssetAvailableFromUodStatus
00000001003a5f85 (__TEXT,__text) external _ADIsSafetyNetSyncNeeded
0000000100312b98 (__TEXT,__text) external _ADIsSpeechAssetAvailableFromUodStatus
00000001003a477a (__TEXT,__text) external _ADIsSyncKeyAllowedToSync
00000001003a503b (__TEXT,__text) external _ADIsSyncNotification
00000001002f2420 (__TEXT,__text) external _ADIsVoiceTriggerEnabledSettingAvailableForUSBCDisplay
00000001002ee91a (__TEXT,__text) external _ADLanguageCodeIsSupported
00000001002f1dbb (__TEXT,__text) external _ADLastTimestampForFileName
00000001005e7a40 (__DATA_CONST,__const) external _ADLocationInUseEndedReasonClientConnectionInvalidated
00000001005e7a38 (__DATA_CONST,__const) external _ADLocationInUseReasonHorsemanConnected
00000001005dfd78 (__DATA_CONST,__const) external _ADLocationRestrictionDidChangeNotification
00000001002ef455 (__TEXT,__text) external _ADLogToPowerLog
00000001002ef74b (__TEXT,__text) external _ADMapSANavStatusValueFromNavigationStateValue
000000010036f842 (__TEXT,__text) external _ADMostRelevantFlowContextFromDeviceContexts
00000001005e4ae8 (__DATA_CONST,__const) external _ADMultiUserDidReceiveScoresNotification
000000010036c357 (__TEXT,__text) external _ADMultiUserServiceDonatedScoresFromDeviceContextTuples
00000001005e3778 (__DATA_CONST,__const) external _ADMultiUserVoiceIdentificationDidChangeNotification
00000001005e4ae0 (__DATA_CONST,__const) external _ADMultiUsersDidChangeNotification
00000001005e2690 (__DATA_CONST,__const) external _ADMuteModeDidChangeNotification
00000001003aadda (__TEXT,__text) external _ADNetworkSnapshotEventGetName
00000001003b16c2 (__TEXT,__text) external _ADNotifyAndPushContextSetupListener
000000010020be19 (__TEXT,__text) external _ADObserveCurrentHomeKitHomeChanges
00000001002ef355 (__TEXT,__text) external _ADOpenURL
000000010034a37a (__TEXT,__text) external _ADOpportuneSpeakingModuleRecommendedActionGetDescription
0000000100227bfa (__TEXT,__text) external _ADOptInStateInconsistencyConditionToString
0000000100264fb7 (__TEXT,__text) external _ADParsePeerHeaderData
00000001001a9792 (__TEXT,__text) external _ADPeerConnectionPreheatIfNecessary
00000001001a9724 (__TEXT,__text) external _ADPeerConnectionSetPrefersBTClassic
00000001001a980f (__TEXT,__text) external _ADPeerConnectionaGetAnalyticsContext
00000001001a98f6 (__TEXT,__text) external _ADPeerDestinationsForRemoteBugCapture
0000000100264ee1 (__TEXT,__text) external _ADPeerHeaderDataWithURL
00000001005e7e80 (__DATA_CONST,__const) external _ADPeerInfoIDSDeviceScheme
00000001001a9891 (__TEXT,__text) external _ADPeerIsNearby
00000001005daee0 (__DATA_CONST,__const) external _ADPeerStreamConnectionErrorDomain
00000001005df388 (__DATA_CONST,__const) external _ADPeerStreamServiceIdentifier
00000001002ee909 (__TEXT,__text) external _ADPostSyncNeededNotification
00000001002ef45b (__TEXT,__text) external _ADPowerLogEventString
00000001005e3770 (__DATA_CONST,__const) external _ADPreferencesCompanionIdentifierDidChangeNotification
00000001005e3780 (__DATA_CONST,__const) external _ADPreferencesEnabledBitsDidChangeNotification
00000001005e3758 (__DATA_CONST,__const) external _ADPreferencesLanguageCodeDidChangeNotification
00000001005e3760 (__DATA_CONST,__const) external _ADPreferencesOutputVoiceDidChangeNotification
00000001005e3768 (__DATA_CONST,__const) external _ADPreferencesSharedUserIdentifierDidChangeNotification
000000010029eea1 (__TEXT,__text) external _ADProximityObservationForHistoricalProximityObservations
000000010029e177 (__TEXT,__text) external _ADProximityTuplesForProximitySignals
00000001002eea59 (__TEXT,__text) external _ADPushesSharedCloudData
00000001005ddee8 (__DATA_CONST,__const) external _ADRapportLinkAggregateContextFetchType
00000001005ddeb0 (__DATA_CONST,__const) external _ADRapportLinkAssistantIdentifierKey
00000001005ddee0 (__DATA_CONST,__const) external _ADRapportLinkContextPushType
00000001005ddf40 (__DATA_CONST,__const) external _ADRapportLinkContextSnapshotByAssistantIdentifierKey
00000001005ddf38 (__DATA_CONST,__const) external _ADRapportLinkContextSnapshotByIDSDeviceUniqueIdentifierKey
00000001005ddef0 (__DATA_CONST,__const) external _ADRapportLinkContextSnapshotPushType
00000001005ddf48 (__DATA_CONST,__const) external _ADRapportLinkDeviceCapabilitiesFetchType
00000001005dde88 (__DATA_CONST,__const) external _ADRapportLinkDeviceCircleManagerRequestID
00000001005ddf88 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityFetchType
00000001005dde90 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityManagerRequestID
00000001005ddf98 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityObservationsKey
00000001005ddf90 (__DATA_CONST,__const) external _ADRapportLinkDeviceProximityPushType
00000001005ddf18 (__DATA_CONST,__const) external _ADRapportLinkExcludedContextInRequestKey
00000001005ddf28 (__DATA_CONST,__const) external _ADRapportLinkExcludedContextInResponseKey
00000001005ddf70 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandExecutionContextKey
00000001005ddf58 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandRequestType
00000001005ddf60 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandResponse
00000001005ddf68 (__DATA_CONST,__const) external _ADRapportLinkExecuteCommandSerializedCommandKey
00000001005ddf00 (__DATA_CONST,__const) external _ADRapportLinkForceFetchAssistantIdentifiersKey
00000001005ddef8 (__DATA_CONST,__const) external _ADRapportLinkForceFetchIDSDeviceUniqueIdentifiersKey
00000001005dde80 (__DATA_CONST,__const) external _ADRapportLinkGenericRequestID
00000001005ddf80 (__DATA_CONST,__const) external _ADRapportLinkGetCapabilitiesForAssistantIdsListKey
00000001005ddf78 (__DATA_CONST,__const) external _ADRapportLinkGetCapabilitiesForDeviceIDSIdentifierListKey
00000001005ddea8 (__DATA_CONST,__const) external _ADRapportLinkHomeKitAccessoryIdentifierKey
00000001005dde98 (__DATA_CONST,__const) external _ADRapportLinkIDSUniqueDeviceIdentifierKey
00000001005ddf10 (__DATA_CONST,__const) external _ADRapportLinkIncludedContextInRequestKey
00000001005ddf20 (__DATA_CONST,__const) external _ADRapportLinkIncludedContextInResponseKey
00000001005ddeb8 (__DATA_CONST,__const) external _ADRapportLinkMessageIDKey
00000001005ddec8 (__DATA_CONST,__const) external _ADRapportLinkMessagePayloadTypeKey
00000001005ddec0 (__DATA_CONST,__const) external _ADRapportLinkMessageTypeKey
00000001005dded0 (__DATA_CONST,__const) external _ADRapportLinkPairedPhoneRapportEffectiveIdentifier
00000001005dded8 (__DATA_CONST,__const) external _ADRapportLinkPairedWatchRapportEffectiveIdentifier
00000001005ddf08 (__DATA_CONST,__const) external _ADRapportLinkPrefersAssistantIdentifiersKey
00000001005ddfa0 (__DATA_CONST,__const) external _ADRapportLinkPublishArbitrationInfoKey
00000001005ddea0 (__DATA_CONST,__const) external _ADRapportLinkRapportEffectiveIdentifierKey
00000001005ddf30 (__DATA_CONST,__const) external _ADRapportLinkRequestIDKey
00000001005ddf50 (__DATA_CONST,__const) external _ADRapportLinkSVDCapabilitiesFetchType
00000001005ddfa8 (__DATA_CONST,__const) external _ADRapportLinkSiriInfoSharedDataKey
00000001005dde78 (__DATA_CONST,__const) external _ADRapportLinkWakeUpServiceType
00000001005ddfd0 (__DATA_CONST,__const) external _ADRapportMUXSyncEventTimestamp
00000001005ddfc0 (__DATA_CONST,__const) external _ADRapportMUXSyncToken
00000001005ddfc8 (__DATA_CONST,__const) external _ADRapportMUXSyncTokenHost
00000001005ddfd8 (__DATA_CONST,__const) external _ADRapportMUXSyncTokenTransferReason
00000001005ddfb8 (__DATA_CONST,__const) external _ADRapportMuxTokenExchangeMessageType
00000001005ddfb0 (__DATA_CONST,__const) external _ADRapportMuxTokenExchangeRequestId
00000001002ef775 (__TEXT,__text) external _ADRecordCoreDuetEventForServiceCommandIfNeeded
00000001002ef1fc (__TEXT,__text) external _ADRefreshDeviceExperimentGroup
00000001003394fc (__TEXT,__text) external _ADRegisterSyncNowActivity
000000010033984b (__TEXT,__text) external _ADRegisterSyncUrgentActivity
0000000100339aad (__TEXT,__text) external _ADRegisterXPCActivities
00000001005da9c8 (__DATA_CONST,__const) external _ADRemoteConnectionErrorDomain
0000000100306e3b (__TEXT,__text) external _ADRequestDelayTypeGetName
000000010040cf15 (__TEXT,__text) external _ADSAInputOriginForSpeechEvent
00000001002f1a82 (__TEXT,__text) external _ADSHAAnchorForData
0000000100334852 (__TEXT,__text) external _ADSerializedSVDCapabilities
000000010022474a (__TEXT,__text) external _ADSessionGetDataSharingOptInStatus
00000001003a5ffa (__TEXT,__text) external _ADSetSessionDidFinishTimestamp
00000001003a4b3d (__TEXT,__text) external _ADSetSyncNeededFlagForKeys
00000001003a4942 (__TEXT,__text) external _ADSetSyncNeededFlagForReason
00000001003a5fe9 (__TEXT,__text) external _ADSetSyncTimestamp
00000001002f1f36 (__TEXT,__text) external _ADSetTimestampForFileName
00000001002eea2d (__TEXT,__text) external _ADSharedCloudDataRecipientDeviceClasses
00000001005e3210 (__DATA_CONST,__const) external _ADSharedDataDidChangeNotification
00000001005e3228 (__DATA_CONST,__const) external _ADSharedDataDidChangePeerSetKey
00000001005e3218 (__DATA_CONST,__const) external _ADSharedDataDidChangePreviousLanguageCodeKey
00000001005e3220 (__DATA_CONST,__const) external _ADSharedDataDidChangePreviousOutputVoiceKey
00000001002eeacf (__TEXT,__text) external _ADSharesGizmoData
00000001002eeb86 (__TEXT,__text) external _ADShouldAllowDictationOnlySync
00000001002eef9f (__TEXT,__text) external _ADShouldAllowSync
00000001002ee9a5 (__TEXT,__text) external _ADShouldCensorSpeech
00000001005e21c8 (__DATA_CONST,__const) external _ADShouldCensorSpeechDidChangeNotification
00000001002ee0f6 (__TEXT,__text) external _ADShouldSpeak
00000001003a5f0a (__TEXT,__text) external _ADShouldSyncUponDataChangedNotification
00000001002ee8fd (__TEXT,__text) external _ADShowNetworkActivityIndicatorForApplicationIdentifier
0000000100339fff (__TEXT,__text) external _ADSiriDestroyActivitySchedule
000000010033a0d3 (__TEXT,__text) external _ADSiriDestroyActivityUnschedule
00000001005dea50 (__DATA_CONST,__const) external _ADSiriUserNotificationRequestUUIDKey
00000001003a54a7 (__TEXT,__text) external _ADSiriVocabularyNotificationForAddressBookSyncEnabled
00000001005e7090 (__DATA_CONST,__const) external _ADSpeechManagerModelInfo
0000000100327e6a (__TEXT,__text) external _ADSpeechSamplingDeleteOldData
00000001005e3440 (__DATA_CONST,__const) external _ADSpeechSamplingDictationApplicationName
0000000100328f90 (__TEXT,__text) external _ADSpeechSamplingSendSampledAudioDataToServer
00000001005e5088 (__DATA_CONST,__const) external _ADSynapseServiceBundleIdentifier
00000001003a4bb0 (__TEXT,__text) external _ADSyncClearFlagsForKeys
00000001005da4c0 (__DATA_CONST,__const) external _ADSyncFinishedNotification
00000001005e60c0 (__DATA_CONST,__const) external _ADSyncKeyApplications
00000001005e60d0 (__DATA_CONST,__const) external _ADSyncKeyContacts
00000001005e60d8 (__DATA_CONST,__const) external _ADSyncKeyDynamiteClientState
00000001005e60b8 (__DATA_CONST,__const) external _ADSyncKeyHomeKit
00000001005e60c8 (__DATA_CONST,__const) external _ADSyncKeyIntentPolicy
00000001005e60e0 (__DATA_CONST,__const) external _ADSyncKeyMusic
00000001005e60e8 (__DATA_CONST,__const) external _ADSyncKeyNanoIntentPolicy
00000001005e60f0 (__DATA_CONST,__const) external _ADSyncKeyThirdPartyUserVocabulary
00000001003a49b6 (__TEXT,__text) external _ADSyncKeysForReason
00000001005da4d0 (__DATA_CONST,__const) external _ADSyncMetadataSyncGeneration
00000001005da4d8 (__DATA_CONST,__const) external _ADSyncMetadataSyncTimestamp
00000001003a5543 (__TEXT,__text) external _ADSyncNotificationShouldBeFilteredForReason
00000001003a5411 (__TEXT,__text) external _ADSyncReasonForNotificationName
00000001005da4c8 (__DATA_CONST,__const) external _ADSyncVerificationFinishedNotification
00000001002ef5c9 (__TEXT,__text) external _ADSystemGetBootSessionUUID
00000001002f2292 (__TEXT,__text) external _ADSystemLanguagePreferencesHasChangedSinceDaemonStartUp
0000000100233f1a (__TEXT,__text) external _ADTimerStoreGetSystemTimerStore
0000000100197c96 (__TEXT,__text) external _ADTrialActiveExperimentsGet
0000000100197b3e (__TEXT,__text) external _ADTrialActiveExperimentsUpdate
00000001002edda0 (__TEXT,__text) external _ADUserSupportBaseURL
00000001002ef1db (__TEXT,__text) external _ADUsesCompanionRouting
00000001002ee99b (__TEXT,__text) external _ADUsesExplicitContentAllowedForCensorSetting
00000001002ee991 (__TEXT,__text) external _ADUsesMirroredCensorSetting
00000001002eea79 (__TEXT,__text) external _ADUsesOneSiriSettingsSync
00000001002eeaa7 (__TEXT,__text) external _ADUsesPeerAccountInformation
00000001002eeac5 (__TEXT,__text) external _ADUsesPeerLocation
00000001002ee9fb (__TEXT,__text) external _ADUsesProxyConnection
00000001002eea0f (__TEXT,__text) external _ADUsesSharedCloudData
00000001002eea05 (__TEXT,__text) external _ADUsesSharedPeerData
00000001002ee7d3 (__TEXT,__text) external _ADUsesTextToSpeech
000000010033a0f4 (__TEXT,__text) external _ADValidationRefreshActivitySchedule
00000001005dcb48 (__DATA_CONST,__const) external _ADVoiceAssetsUpdatedNotification
00000001002ee9c3 (__TEXT,__text) external _ADVoiceDialingDisabledWhileLocked
00000001002ef1ed (__TEXT,__text) external _ADVoiceOverIsEnabled
00000001002f22de (__TEXT,__text) external _ADVoiceTriggerGetEnabled
00000001002f2478 (__TEXT,__text) external _ADVoiceTriggerSetEnabled
0000000100403a39 (__TEXT,__text) external _ADVolumeServiceSupportsSmartSiriVolume
                 (undefined) external _AFAnalyticsContextCreateForCrossDeviceCommandHandled (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithCommand (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithError (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithRequestInfo (from AssistantServices)
                 (undefined) external _AFAnalyticsContextCreateWithSpeechRequestOptions (from AssistantServices)
                 (undefined) external _AFAnalyticsContextKey (from AssistantServices)
                 (undefined) external _AFAnalyticsContextsMerge (from AssistantServices)
                 (undefined) external _AFAnalyticsEventTypeGetLegacyName (from AssistantServices)
                 (undefined) external _AFAnalyticsEventTypeGetName (from AssistantServices)
                 (undefined) external _AFAnalyticsEventTypeIsValid (from AssistantServices)
                 (undefined) external _AFAnalyticsLogsDirectory (from AssistantServices)
                 (undefined) external _AFAnalyticsObservationServiceGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAnalyticsObserverGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAnalyticsServiceDelegateGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAnalyticsServiceGetXPCInterface (from AssistantServices)
                 (undefined) external _AFAppleAudioDeviceConnectedInLast24Hours (from AssistantServices)
                 (undefined) external _AFApplicationClientIdentifierForApp (from AssistantServices)
                 (undefined) external _AFApplicationStateUnknown (from AssistantServices)
                 (undefined) external _AFApplicationWorkspaceEnumerateInstalledUserVisibleApplications (from AssistantServices)
                 (undefined) external _AFAssertionGetContexts (from AssistantServices)
                 (undefined) external _AFAssertionGetCurrentOrUpNextDateIntervalFromContexts (from AssistantServices)
                 (undefined) external _AFAssertionGetEffectiveDateAndExpirationDurationFromDateInterval (from AssistantServices)
                 (undefined) external _AFAssertionRelinquishmentOptionsGetNames (from AssistantServices)
                 (undefined) external _AFAssistantEnablementDidChangeDarwinNotification (from AssistantServices)
                 (undefined) external _AFAudioPlaybackOptionsGetNames (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionGetConnectionWorkloop (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionGetCurrentAcquisitionService (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionServiceXPCInterface (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionSetLocalAcquisitionServiceProvider (from AssistantServices)
                 (undefined) external _AFAudioSessionAssertionUserInfoKey (from AssistantServices)
                 (undefined) external _AFBackedUpPreferencesSynchronize (from AssistantServices)
                 (undefined) external _AFBluetoothPairedDeviceInfoUpdated (from AssistantServices)
                 (undefined) external _AFBluetoothWirelessSplitterSessionStateChanged (from AssistantServices)
                 (undefined) external _AFBluetoothWirelessSplitterSessionStateUnknown (from AssistantServices)
                 (undefined) external _AFBuildVersion (from AssistantServices)
                 (undefined) external _AFBundleServicesCachePath (from AssistantServices)
                 (undefined) external _AFCachedFusePersonalizationTokenChanged (from AssistantServices)
                 (undefined) external _AFCallStateGetNames (from AssistantServices)
                 (undefined) external _AFCanProxyTelephony (from AssistantServices)
                 (undefined) external _AFClearInternalLogFiles (from AssistantServices)
                 (undefined) external _AFClientLiteClientObjectInterface (from AssistantServices)
                 (undefined) external _AFClientLiteEntitlement (from AssistantServices)
                 (undefined) external _AFClientLiteRemoteObjectInterface (from AssistantServices)
                 (undefined) external _AFClientLiteServiceName (from AssistantServices)
                 (undefined) external _AFClientServiceDelegateXPCInterface (from AssistantServices)
                 (undefined) external _AFClientServiceXPCInterface (from AssistantServices)
                 (undefined) external _AFClockAlarmSnapshotKey (from AssistantServices)
                 (undefined) external _AFClockTimerSnapshotKey (from AssistantServices)
                 (undefined) external _AFCommandOutcomeFromMediaRemoteStatuses (from AssistantServices)
                 (undefined) external _AFConnectionHasEntitlement (from AssistantServices)
                 (undefined) external _AFContextManagerXPCListenerName (from AssistantServices)
                 (undefined) external _AFContextProviderEntitlement (from AssistantServices)
