00007ffd419f6408 (__DATA,__bss) non-external _A
00007ffd04aa626a (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffd04aa58ff (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffd04aa6575 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffd04ab4940 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffd04aa33ac (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffd04ab3e40 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffd04aa3eb6 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffd04ab3f40 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffd04aa4278 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffd04ab4040 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffd04aa45d3 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffd04ab4140 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffd04aa4859 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffd04ab4240 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffd04aa18de (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffd04aa2dbc (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffd04ab3d40 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffd04aa169f (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffd04ab3c40 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffd04aa11f8 (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffd04ab3940 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffd04aa15a8 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffd04ab3b40 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffd04aa134d (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffd04ab3a40 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffd04aa09af (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffd04ab3740 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffd04aa0f7f (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffd04ab3840 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffd04aa4c1b (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffd04ab4340 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffd04aa54a8 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffd04ab4740 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffd04a9ca00 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffd04aa535b (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffd04ab4640 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffd04aa521c (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffd04ab4440 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffd04a9ae01 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffd04ab3200 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffd04a9b068 (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffd04a9b08c (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffd04ab3300 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffd04a9abfc (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffd04ab3100 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffd04a9b113 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffd04ab3400 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffd04aa8f39 (__TEXT,__text) non-external _add_child
00007ffd04ab24c4 (__TEXT,__text) non-external _add_child.cold.1
00007ffd04aa963a (__TEXT,__text) non-external _add_line
00007ffd04ab252d (__TEXT,__text) non-external _add_line.cold.1
00007ffd04aaeb73 (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffd04ab1d8f (__TEXT,__text) non-external _alloc_arena_chunk
00007ffd04ab1ed9 (__TEXT,__text) non-external _arena_calloc
00007ffd04ab1fe8 (__TEXT,__text) non-external _arena_free
00007ffd419f63c8 (__DATA,__bss) non-external _arena_lock
00007ffd419f61c0 (__DATA,__data) non-external _arena_once
00007ffd04ab1fa0 (__TEXT,__text) non-external _arena_realloc
00007ffd04a9a24a (__TEXT,__text) non-external _autolink_delim
00007ffd403f8b70 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
00007ffd04a98b1c (__TEXT,__text) non-external _can_contain
00007ffd04a9b58a (__TEXT,__text) non-external _can_contain
00007ffd04ab094e (__TEXT,__text) non-external _can_contain
00007ffd04a9a141 (__TEXT,__text) non-external _check_domain
00007ffd04aaeea3 (__TEXT,__text) non-external _chunk_clone
00007ffd04ab1df5 (__TEXT,__text) external _cmark_arena_pop
00007ffd04ab1d3e (__TEXT,__text) external _cmark_arena_push
00007ffd04ab1e73 (__TEXT,__text) external _cmark_arena_reset
00007ffd04aafe30 (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffd04aab0ad (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffd04aab020 (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffd04aaaf4d (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffd04ab259d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffd04ab25be (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffd04a9b9f0 (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffd04ab3000 (__TEXT,__const) non-external _cmark_ctype_class
00007ffd04aa971c (__TEXT,__text) external _cmark_enable_safety_checks
00007ffd403f06a0 (__DATA_CONST,__const) non-external _cmark_entities
00007ffd04a9a55e (__TEXT,__text) external _cmark_find_syntax_extension
00007ffd04aa6676 (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffd04ab2320 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffd04aa66e7 (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffd04ab1fee (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffd04a97621 (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffd04aa675d (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffd04ab16ae (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffd04ab179d (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffd04ab17ce (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffd04ab168b (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffd04ab1750 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffd04a9892b (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffd04ab16f7 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffd04ab1800 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffd04ab182c (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffd04ab16cf (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffd04ab1773 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffd04a988d9 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffd04aa97c4 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffd04aaea34 (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffd04aaea62 (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffd04aaea4f (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffd04aaeae6 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffd04aaeaf0 (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffd04aaea3d (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffd04aaea6c (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffd04aae747 (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffd04aae736 (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffd04aae70e (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffd04ab2b78 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffd04aae7fc (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffd04aae87f (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffd04aae889 (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffd04ab2bbe (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffd04aaea46 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffd04aae758 (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffd04ab2b9b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffd04aab0e0 (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffd04aab102 (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffd04a98886 (__TEXT,__text) external _cmark_isalnum
00007ffd04a988bf (__TEXT,__text) external _cmark_isalpha
00007ffd04a988a5 (__TEXT,__text) external _cmark_isdigit
00007ffd04a9886c (__TEXT,__text) external _cmark_ispunct
00007ffd04a98852 (__TEXT,__text) external _cmark_isspace
00007ffd04a9b910 (__TEXT,__text) external _cmark_iter_free
00007ffd04a9b9dd (__TEXT,__text) external _cmark_iter_get_event_type
00007ffd04a9b9d3 (__TEXT,__text) external _cmark_iter_get_node
00007ffd04a9b9e6 (__TEXT,__text) external _cmark_iter_get_root
00007ffd04a9b8c8 (__TEXT,__text) external _cmark_iter_new
00007ffd04a9b91b (__TEXT,__text) external _cmark_iter_next
00007ffd04ab22dc (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffd04a9b9c2 (__TEXT,__text) external _cmark_iter_reset
00007ffd04a9a4f2 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffd04a9c905 (__TEXT,__text) external _cmark_llist_append
00007ffd04a9c991 (__TEXT,__text) external _cmark_llist_free
00007ffd04a9c94f (__TEXT,__text) external _cmark_llist_free_full
00007ffd04aa7519 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffd04aa69cd (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffd04aa6865 (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffd04aa6a12 (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffd04a9762e (__TEXT,__text) external _cmark_markdown_to_html
00007ffd04aaad3f (__TEXT,__text) external _cmark_node_append_child
00007ffd04aa97ca (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffd04aaad95 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffd04aa9e02 (__TEXT,__text) external _cmark_node_first_child
00007ffd04aa995d (__TEXT,__text) external _cmark_node_free
00007ffd04aaa739 (__TEXT,__text) external _cmark_node_get_attributes
00007ffd04aa9fd7 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffd04aaab81 (__TEXT,__text) external _cmark_node_get_end_column
00007ffd04aaab70 (__TEXT,__text) external _cmark_node_get_end_line
00007ffd04aaa2df (__TEXT,__text) external _cmark_node_get_fence_info
00007ffd04aaa427 (__TEXT,__text) external _cmark_node_get_fenced
00007ffd04aaa128 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffd04aaa298 (__TEXT,__text) external _cmark_node_get_item_index
00007ffd04aaa1be (__TEXT,__text) external _cmark_node_get_list_delim
00007ffd04aaa209 (__TEXT,__text) external _cmark_node_get_list_start
00007ffd04aaa250 (__TEXT,__text) external _cmark_node_get_list_tight
00007ffd04aaa173 (__TEXT,__text) external _cmark_node_get_list_type
00007ffd04aa9ead (__TEXT,__text) external _cmark_node_get_literal
00007ffd04aaa881 (__TEXT,__text) external _cmark_node_get_on_enter
00007ffd04aaa9d3 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffd04aaab5f (__TEXT,__text) external _cmark_node_get_start_column
00007ffd04aaab4e (__TEXT,__text) external _cmark_node_get_start_line
00007ffd04aaa10e (__TEXT,__text) external _cmark_node_get_string_content
00007ffd04aaab25 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffd04aaa5eb (__TEXT,__text) external _cmark_node_get_title
00007ffd04aa9a3b (__TEXT,__text) external _cmark_node_get_type
00007ffd04aa9c1c (__TEXT,__text) external _cmark_node_get_type_string
00007ffd04aaa49d (__TEXT,__text) external _cmark_node_get_url
00007ffd04aa9e6d (__TEXT,__text) external _cmark_node_get_user_data
00007ffd04aaac33 (__TEXT,__text) external _cmark_node_insert_after
00007ffd04aaabb6 (__TEXT,__text) external _cmark_node_insert_before
00007ffd04aa9e14 (__TEXT,__text) external _cmark_node_last_child
00007ffd04aa994a (__TEXT,__text) external _cmark_node_new
00007ffd04aa992a (__TEXT,__text) external _cmark_node_new_with_ext
00007ffd04aa993e (__TEXT,__text) external _cmark_node_new_with_mem
00007ffd04aa988c (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffd04aa9dcc (__TEXT,__text) external _cmark_node_next
00007ffd04aa9e26 (__TEXT,__text) external _cmark_node_nth_child
00007ffd04a9bb89 (__TEXT,__text) external _cmark_node_own
00007ffd04aa9df0 (__TEXT,__text) external _cmark_node_parent
00007ffd04aa9e58 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffd04aaace9 (__TEXT,__text) external _cmark_node_prepend_child
00007ffd04aa9dde (__TEXT,__text) external _cmark_node_previous
00007ffd04aaacb0 (__TEXT,__text) external _cmark_node_replace
00007ffd04aaa7c1 (__TEXT,__text) external _cmark_node_set_attributes
00007ffd04aaa367 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffd04aaa463 (__TEXT,__text) external _cmark_node_set_fenced
00007ffd04aaa147 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffd04aaa2b7 (__TEXT,__text) external _cmark_node_set_item_index
00007ffd04aaa1dd (__TEXT,__text) external _cmark_node_set_list_delim
00007ffd04aaa228 (__TEXT,__text) external _cmark_node_set_list_start
00007ffd04aaa270 (__TEXT,__text) external _cmark_node_set_list_tight
00007ffd04aaa192 (__TEXT,__text) external _cmark_node_set_list_type
00007ffd04aa9fe0 (__TEXT,__text) external _cmark_node_set_literal
00007ffd04aaa910 (__TEXT,__text) external _cmark_node_set_on_enter
00007ffd04aaaa62 (__TEXT,__text) external _cmark_node_set_on_exit
00007ffd04aaa118 (__TEXT,__text) external _cmark_node_set_string_content
00007ffd04aaab37 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffd04aaa676 (__TEXT,__text) external _cmark_node_set_title
00007ffd04aa9a4d (__TEXT,__text) external _cmark_node_set_type
00007ffd04aaa528 (__TEXT,__text) external _cmark_node_set_url
00007ffd04aa9e7f (__TEXT,__text) external _cmark_node_set_user_data
00007ffd04aa9e96 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffd04aaab92 (__TEXT,__text) external _cmark_node_unlink
00007ffd04aaea9d (__TEXT,__text) external _cmark_node_unput
00007ffd04aa7ca1 (__TEXT,__text) external _cmark_parse_document
00007ffd04aa7585 (__TEXT,__text) external _cmark_parse_file
00007ffd04aab124 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffd04ab25df (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffd04ab271a (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffd04ab273d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffd04ab2760 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffd04ab2783 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffd04ab27a6 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffd04ab27c9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffd04ab27ec (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffd04ab280f (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffd04ab2832 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffd04ab2855 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffd04ab2602 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffd04ab2625 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffd04ab2648 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffd04ab266b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffd04ab268e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffd04ab26b1 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffd04ab26d4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffd04ab26f7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffd04aae50c (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffd04ab2ac9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffd04ab2aec (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffd04ab2b0f (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffd04ab2b32 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffd04ab2b55 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffd04aade11 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffd04ab289b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffd04ab28be (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffd04ab28e1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffd04ab2904 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffd04ab2927 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffd04ab294a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffd04ab296d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffd04aa8f2f (__TEXT,__text) external _cmark_parser_add_child
00007ffd04aa9007 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffd04aa7240 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffd04aa74eb (__TEXT,__text) non-external _cmark_parser_dispose
00007ffd04aa7cf6 (__TEXT,__text) external _cmark_parser_feed
00007ffd04aa7d02 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffd04aa77e6 (__TEXT,__text) external _cmark_parser_finish
00007ffd04aa746d (__TEXT,__text) external _cmark_parser_free
00007ffd04aa8eee (__TEXT,__text) external _cmark_parser_get_column
00007ffd04aa8ef7 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffd04aa8f00 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffd04aa8f09 (__TEXT,__text) external _cmark_parser_get_indent
00007ffd04aa8f26 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffd04aa8edc (__TEXT,__text) external _cmark_parser_get_line_number
00007ffd04aa8ee5 (__TEXT,__text) external _cmark_parser_get_offset
00007ffd04aa90f8 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffd04aa8f1c (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffd04aa8f12 (__TEXT,__text) external _cmark_parser_is_blank
00007ffd04aa745c (__TEXT,__text) external _cmark_parser_new
00007ffd04aa72f1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffd04aa7349 (__TEXT,__text) non-external _cmark_parser_reset
00007ffd04aa90eb (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffd04a9b446 (__TEXT,__text) external _cmark_plugin_free
00007ffd04a9b426 (__TEXT,__text) external _cmark_plugin_new
00007ffd04a9b3fc (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffd04a9b476 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffd04aa703c (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffd04ab23ca (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffd04aa7103 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffd04ab23eb (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffd04aa71a3 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffd04aa9759 (__TEXT,__text) external _cmark_register_node_flag
00007ffd04ab2552 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffd04ab2577 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffd419f60b0 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffd04a9a3ed (__TEXT,__text) external _cmark_register_plugin
00007ffd04a9a498 (__TEXT,__text) external _cmark_release_plugins
00007ffd04a9a628 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffd04a9a5df (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffd04a9a608 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffd04a964e4 (__TEXT,__text) external _cmark_render_commonmark
00007ffd04a9650d (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffd04a97660 (__TEXT,__text) external _cmark_render_html
00007ffd04a9766d (__TEXT,__text) external _cmark_render_html_with_mem
00007ffd04ab222a (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffd04a9bda4 (__TEXT,__text) external _cmark_render_latex
00007ffd04a9bdc6 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffd04a98d10 (__TEXT,__text) external _cmark_render_man
00007ffd04a98d32 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffd04aaf8ac (__TEXT,__text) external _cmark_render_plaintext
00007ffd04aaf8d5 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffd04aaeefc (__TEXT,__text) external _cmark_render_xml
00007ffd04aaef09 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffd04aaaf24 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffd419f62c0 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffd04aab0b7 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffd419f60c0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffd419f6414 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffd04aa6b36 (__TEXT,__text) external _cmark_strbuf_clear
00007ffd04aa6d68 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffd04aa6cad (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffd04ab23a9 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffd04aa6d32 (__TEXT,__text) external _cmark_strbuf_detach
00007ffd04aa6e47 (__TEXT,__text) external _cmark_strbuf_drop
00007ffd04aa6b00 (__TEXT,__text) external _cmark_strbuf_free
00007ffd04aa6a96 (__TEXT,__text) external _cmark_strbuf_grow
00007ffd04ab2362 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffd04ab2383 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffd04aa6a6b (__TEXT,__text) external _cmark_strbuf_init
