                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8145d3942 (__TEXT,__text) non-external _alone_decode
00007ff8145d8c0e (__TEXT,__text) non-external _lz_decode
00007ff8145d8dac (__TEXT,__text) non-external _lz_decoder_end
00007ff8145ccc4f (__TEXT,__text) non-external _lz_encode
00007ff8145d14a7 (__TEXT,__text) non-external _lz_encoder_end
00007ff8145cbc3a (__TEXT,__text) non-external _lz_encoder_prepare
00007ff8145d6dc4 (__TEXT,__text) non-external _lz_encoder_set_out_limit
00007ff8145d6d69 (__TEXT,__text) non-external _lz_encoder_update
00007ff8145d680a (__TEXT,__text) non-external _lzip_decode
00007ff8145d6c40 (__TEXT,__text) non-external _lzip_decoder_end
00007ff8145d6c68 (__TEXT,__text) non-external _lzip_decoder_get_check
00007ff8145d6c73 (__TEXT,__text) non-external _lzip_decoder_memconfig
00007ff8145e68d0 (__TEXT,__const) non-external _lzma12_mf_map
00007ff8145e68a0 (__TEXT,__const) non-external _lzma12_mode_map
00007ff8416dc630 (__DATA_CONST,__const) non-external _lzma12_optmap
00007ff8145ddfb8 (__TEXT,__text) non-external _lzma2_decode
00007ff8145de2c4 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff8145dde91 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff8145cce5c (__TEXT,__text) non-external _lzma2_encode
00007ff8145d150c (__TEXT,__text) non-external _lzma2_encoder_end
00007ff8145cb4b1 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff8145ddcd9 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff8145e26f8 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff8145e26d0 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff8145ca7f0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff8145d16aa (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00007ff8145d3c49 (__TEXT,__text) external _lzma_alone_decoder
00007ff8145d3858 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff8145d230b (__TEXT,__text) external _lzma_alone_encoder
00007ff8145d3ca8 (__TEXT,__text) external _lzma_auto_decoder
00007ff8145d2609 (__TEXT,__text) external _lzma_block_buffer_bound
00007ff8145d25c5 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00007ff8145d3fac (__TEXT,__text) external _lzma_block_buffer_decode
00007ff8145d264d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff8145d1850 (__TEXT,__text) external _lzma_block_compressed_size
00007ff8145d4538 (__TEXT,__text) external _lzma_block_decoder
00007ff8145d40f1 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff8145d2c1e (__TEXT,__text) external _lzma_block_encoder
00007ff8145cae57 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff8145d4592 (__TEXT,__text) external _lzma_block_header_decode
00007ff8145cc67d (__TEXT,__text) external _lzma_block_header_encode
00007ff8145cacae (__TEXT,__text) external _lzma_block_header_size
00007ff8145d18ad (__TEXT,__text) external _lzma_block_total_size
00007ff8145d28fe (__TEXT,__text) external _lzma_block_uncomp_encode
00007ff8145cc79f (__TEXT,__text) external _lzma_block_unpadded_size
00007ff8145cc61c (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff8145d65cf (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff8145cafc2 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff8145cafa4 (__TEXT,__text) external _lzma_check_is_supported
00007ff8145e2870 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff8145d0906 (__TEXT,__text) external _lzma_check_size
00007ff8145e2880 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff8145cdb50 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff8145cc06c (__TEXT,__text) external _lzma_code
00007ff8145d327a (__TEXT,__text) external _lzma_cputhreads
00007ff8145ca9f4 (__TEXT,__text) external _lzma_crc32
00007ff8145e2890 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff8145d65fc (__TEXT,__text) external _lzma_crc64
00007ff8145e4890 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff8145da29e (__TEXT,__text) non-external _lzma_decode
00007ff8145e89e0 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff8145dda92 (__TEXT,__text) non-external _lzma_decoder_init
00007ff8145dd7d8 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff8145dda6e (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff8145dfe4b (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff8145dff9d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff8145e0146 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff8145dffcd (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff8145e01d0 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff8145e0118 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff8145d2c7a (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff8145d4768 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff8145ca528 (__TEXT,__text) external _lzma_easy_encoder
00007ff8145d2ced (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff8145ca56f (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff8145e25f6 (__TEXT,__text) non-external _lzma_encode
00007ff8145d8f26 (__TEXT,__text) non-external _lzma_encoder_init
00007ff8145d13dc (__TEXT,__text) external _lzma_end
00007ff8145e69e0 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff8145d97c4 (__TEXT,__text) external _lzma_file_info_decoder
00007ff8145d9836 (__TEXT,__text) non-external _lzma_file_info_decoder_init
00007ff8145d4912 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff8145d307b (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff8145d4a51 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff8145cc825 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff8145cad98 (__TEXT,__text) external _lzma_filter_flags_size
00007ff8145cbe8c (__TEXT,__text) external _lzma_filters_copy
00007ff8145d18c8 (__TEXT,__text) external _lzma_filters_free
00007ff8145d30aa (__TEXT,__text) external _lzma_filters_update
00007ff8145e2836 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff8145cbe64 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff8145d1764 (__TEXT,__text) external _lzma_get_check
00007ff8145d173d (__TEXT,__text) external _lzma_get_progress
00007ff8145e2830 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff8145d0923 (__TEXT,__text) external _lzma_index_append
00007ff8145d0f1c (__TEXT,__text) external _lzma_index_block_count
00007ff8145d4f98 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff8145d32e0 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff8145d1ce5 (__TEXT,__text) external _lzma_index_cat
00007ff8145d1c07 (__TEXT,__text) external _lzma_index_checks
00007ff8145d4f39 (__TEXT,__text) external _lzma_index_decoder
00007ff8145d4ae4 (__TEXT,__text) non-external (was a private external) _lzma_index_decoder_init
00007ff8145d1f4d (__TEXT,__text) external _lzma_index_dup
00007ff8145d3286 (__TEXT,__text) external _lzma_index_encoder
00007ff8145d0bd0 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff8145ca826 (__TEXT,__text) external _lzma_index_end
00007ff8145d1b85 (__TEXT,__text) external _lzma_index_file_size
00007ff8145d515e (__TEXT,__text) external _lzma_index_hash_append
00007ff8145d52b8 (__TEXT,__text) external _lzma_index_hash_decode
00007ff8145d512a (__TEXT,__text) external _lzma_index_hash_end
00007ff8145d50b0 (__TEXT,__text) external _lzma_index_hash_init
00007ff8145d5134 (__TEXT,__text) external _lzma_index_hash_size
00007ff8145ca85f (__TEXT,__text) external _lzma_index_init
00007ff8145d0c79 (__TEXT,__text) external _lzma_index_iter_init
00007ff8145d21c2 (__TEXT,__text) external _lzma_index_iter_locate
00007ff8145d0f26 (__TEXT,__text) external _lzma_index_iter_next
00007ff8145d21ab (__TEXT,__text) external _lzma_index_iter_rewind
00007ff8145d1a79 (__TEXT,__text) external _lzma_index_memusage
00007ff8145d1add (__TEXT,__text) external _lzma_index_memused
00007ff8145d1302 (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff8145d1a5e (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff8145d132c (__TEXT,__text) external _lzma_index_size
00007ff8145d1b3e (__TEXT,__text) external _lzma_index_stream_count
00007ff8145d1c20 (__TEXT,__text) external _lzma_index_stream_flags
00007ff8145d1c7e (__TEXT,__text) external _lzma_index_stream_padding
00007ff8145d1b51 (__TEXT,__text) external _lzma_index_stream_size
00007ff8145d1b47 (__TEXT,__text) external _lzma_index_total_size
00007ff8145d1bfd (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff8145d8a5c (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff8145d8df5 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff8145cb26d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff8145d6cfe (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff8145d6c9f (__TEXT,__text) external _lzma_lzip_decoder
00007ff8145d66e8 (__TEXT,__text) non-external (was a private external) _lzma_lzip_decoder_init
00007ff8145ddcbd (__TEXT,__text) non-external (was a private external) _lzma_lzma2_block_size
00007ff8145dde80 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff8145ddf3c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff8145cb25c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff8145ddca1 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff8145ddf4d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff8145cc9b7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff8145da228 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff8145dda81 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff8145ddbaa (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff8145ddb97 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff8145cd214 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff8145cb5dc (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff8145d8f15 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff8145d8f46 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff8145cb74c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff8145ddb4c (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff8145d08c1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff8145d9433 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff8145ce064 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff8145ca5a6 (__TEXT,__text) external _lzma_lzma_preset
00007ff8145e69ba (__TEXT,__const) non-external _lzma_lzma_preset.depths
00007ff8145e69b0 (__TEXT,__const) non-external _lzma_lzma_preset.dict_pow2
00007ff8145ddbec (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff8145d8fca (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff8145d902f (__TEXT,__text) non-external _lzma_lzma_set_out_limit
00007ff8145d17c6 (__TEXT,__text) external _lzma_memlimit_get
00007ff8145d180d (__TEXT,__text) external _lzma_memlimit_set
00007ff8145d177f (__TEXT,__text) external _lzma_memusage
00007ff8145d739b (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff8145d742f (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff8145d74b1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff8145d7629 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff8145d00f6 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff8145cdc0c (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff8145d0059 (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff8145d6e06 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff8145d7055 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff8145d70e8 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff8145d72e9 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff8145d6de8 (__TEXT,__text) external _lzma_mf_is_supported
00007ff8145d57dd (__TEXT,__text) external _lzma_microlzma_decoder
00007ff8145d2d26 (__TEXT,__text) external _lzma_microlzma_encoder
00007ff8145d901f (__TEXT,__text) external _lzma_mode_is_supported
00007ff8145d31e3 (__TEXT,__text) non-external (was a private external) _lzma_mt_block_size
00007ff8145ca77f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff8145cb1fd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff8145d170c (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff8145d9088 (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache
00007ff8145d90cf (__TEXT,__text) non-external (was a private external) _lzma_outq_clear_cache2
00007ff8145d93ff (__TEXT,__text) non-external (was a private external) _lzma_outq_enable_partial_output
00007ff8145d923a (__TEXT,__text) non-external (was a private external) _lzma_outq_end
00007ff8145d92ec (__TEXT,__text) non-external (was a private external) _lzma_outq_get_buf
00007ff8145d915a (__TEXT,__text) non-external (was a private external) _lzma_outq_init
00007ff8145d9346 (__TEXT,__text) non-external (was a private external) _lzma_outq_is_readable
00007ff8145d9057 (__TEXT,__text) non-external (was a private external) _lzma_outq_memusage
00007ff8145d926d (__TEXT,__text) non-external (was a private external) _lzma_outq_prealloc_buf
00007ff8145d9366 (__TEXT,__text) non-external (was a private external) _lzma_outq_read
00007ff8145d1a54 (__TEXT,__text) external _lzma_physmem
00007ff8145d49fc (__TEXT,__text) external _lzma_properties_decode
00007ff8145cc976 (__TEXT,__text) external _lzma_properties_encode
00007ff8145cadeb (__TEXT,__text) external _lzma_properties_size
00007ff8145d47a1 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff8145d2f7a (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff8145cb009 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff8145d19cc (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff8145d4981 (__TEXT,__text) external _lzma_raw_decoder
00007ff8145d496d (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff8145d49e8 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff8145d317a (__TEXT,__text) external _lzma_raw_encoder
00007ff8145caff2 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff8145d3166 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff8145e8a20 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff8145ddd71 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_decoder_init
00007ff8145ddd4e (__TEXT,__text) non-external (was a private external) _lzma_simple_arm64_encoder_init
00007ff8145e0d56 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff8145e0d33 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff8145e0e29 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff8145e0e06 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff8145e0217 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff8145e0b27 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff8145e0b04 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff8145e0a24 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff8145e0a01 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff8145e079c (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff8145e0787 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff8145e076d (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff8145e24ed (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff8145e24ca (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff8145e0857 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff8145e07ff (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff8145d7c67 (__TEXT,__text) external _lzma_str_from_filters
00007ff8145d810d (__TEXT,__text) external _lzma_str_list_filters
00007ff8145d7749 (__TEXT,__text) external _lzma_str_to_filters
00007ff8145d33a7 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff8145d5640 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff8145d33d0 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff8145d6314 (__TEXT,__text) external _lzma_stream_decoder
00007ff8145d5bb0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff8145de2ec (__TEXT,__text) external _lzma_stream_decoder_mt
00007ff8145ca698 (__TEXT,__text) external _lzma_stream_encoder
00007ff8145e0f18 (__TEXT,__text) external _lzma_stream_encoder_mt
00007ff8145e12ba (__TEXT,__text) external _lzma_stream_encoder_mt_memusage
00007ff8145d227e (__TEXT,__text) external _lzma_stream_flags_compare
00007ff8145d63f9 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff8145d1356 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff8145d6373 (__TEXT,__text) external _lzma_stream_header_decode
00007ff8145ca995 (__TEXT,__text) external _lzma_stream_header_encode
00007ff8145ca6fb (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff8145d1924 (__TEXT,__text) non-external (was a private external) _lzma_validate_chain
00007ff8145d1690 (__TEXT,__text) external _lzma_version_number
00007ff8145d169b (__TEXT,__text) external _lzma_version_string
00007ff8145d6472 (__TEXT,__text) external _lzma_vli_decode
00007ff8145cc8c6 (__TEXT,__text) external _lzma_vli_encode
00007ff8145cae38 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
00007ff8145d0557 (__TEXT,__text) non-external _match
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff8145d592b (__TEXT,__text) non-external _microlzma_decode
00007ff8145d5b8d (__TEXT,__text) non-external _microlzma_decoder_end
00007ff8145d585a (__TEXT,__text) non-external _microlzma_decoder_init
00007ff8145d2e9d (__TEXT,__text) non-external _microlzma_encode
00007ff8145d2f59 (__TEXT,__text) non-external _microlzma_encoder_end
00007ff8145d2d7c (__TEXT,__text) non-external _microlzma_encoder_init
00007ff8145d91d8 (__TEXT,__text) non-external _move_head_to_cache
00007ff8145cde22 (__TEXT,__text) non-external _move_pos
00007ff8145d76e9 (__TEXT,__text) non-external _normalize
00007ff8145d86a0 (__TEXT,__text) non-external _parse_bcj
00007ff8145d86b7 (__TEXT,__text) non-external _parse_delta
00007ff8145d863f (__TEXT,__text) non-external _parse_lzma12
00007ff8145d86db (__TEXT,__text) non-external _parse_options
00007ff8145e0a47 (__TEXT,__text) non-external _powerpc_code
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_sigmask (from libSystem)
00007ff8145cde50 (__TEXT,__text) non-external _rc_encode
00007ff8145df724 (__TEXT,__text) non-external _read_output_and_wait
00007ff8145da1a9 (__TEXT,__text) non-external _reverse_seek
00007ff8145e0388 (__TEXT,__text) non-external _simple_code
00007ff8145e06a8 (__TEXT,__text) non-external _simple_coder_end
00007ff8145e06d5 (__TEXT,__text) non-external _simple_coder_update
00007ff8145e2510 (__TEXT,__text) non-external _sparc_code
00007ff8145d80c4 (__TEXT,__text) non-external _str_append_str
00007ff8145d856c (__TEXT,__text) non-external _str_append_u32
00007ff8145e6970 (__TEXT,__const) non-external _str_append_u32.suffixes
00007ff8145d5d2d (__TEXT,__text) non-external _stream_decode
00007ff8145de632 (__TEXT,__text) non-external _stream_decode_mt
00007ff8145d629c (__TEXT,__text) non-external _stream_decoder_end
00007ff8145d62d0 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff8145d62dc (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff8145df42c (__TEXT,__text) non-external _stream_decoder_mt_end
00007ff8145df486 (__TEXT,__text) non-external _stream_decoder_mt_get_check
00007ff8145df526 (__TEXT,__text) non-external _stream_decoder_mt_get_progress
00007ff8145de346 (__TEXT,__text) non-external _stream_decoder_mt_init
00007ff8145df492 (__TEXT,__text) non-external _stream_decoder_mt_memconfig
00007ff8145cc322 (__TEXT,__text) non-external _stream_encode
00007ff8145e2840 (__TEXT,__const) non-external _stream_encode.convert
00007ff8145e142c (__TEXT,__text) non-external _stream_encode_mt
00007ff8145d1434 (__TEXT,__text) non-external _stream_encoder_end
00007ff8145d36ae (__TEXT,__text) non-external _stream_encoder_init
00007ff8145e1c98 (__TEXT,__text) non-external _stream_encoder_mt_end
00007ff8145e0f78 (__TEXT,__text) non-external _stream_encoder_mt_init
00007ff8145e1dcc (__TEXT,__text) non-external _stream_encoder_mt_update
00007ff8145cab32 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysconf (from libSystem)
                 (undefined) external _sysctl (from libSystem)
00007ff8145df5dc (__TEXT,__text) non-external _threads_end
00007ff8145e1ea4 (__TEXT,__text) non-external _threads_end
00007ff8145df6bb (__TEXT,__text) non-external _threads_stop
00007ff8145e1f69 (__TEXT,__text) non-external _threads_stop
00007ff8145d1602 (__TEXT,__text) non-external (was a private external) _tuklib_cpucores
