00000001900cc998 (__TEXT,__const) non-external _KW_ANY
00000001900bdb8c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00000001900bfba0 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00000001900bfb50 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00000001900bfa94 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00000001900bf9e8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00000001900b852c (__TEXT,__text) non-external _accountingDiffTolerated
00000001900cc6a8 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00000001900b9d74 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00000001900cc700 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00000001900b9dc0 (__TEXT,__text) non-external _accountingReportStats
00000001900bc3a0 (__TEXT,__text) non-external _addBinding
00000001900cde0b (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00000001900cde30 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00000001900bc73c (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001f0733780 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001f0734090 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
00000001900c867c (__TEXT,__text) non-external _ascii_toUtf8
00000001900be1b8 (__TEXT,__text) non-external _attlist0
00000001900beb80 (__TEXT,__text) non-external _attlist1
00000001900bec24 (__TEXT,__text) non-external _attlist2
00000001e8746580 (__DATA_CONST,__const) non-external _attlist2.types
00000001900beee4 (__TEXT,__text) non-external _attlist3
00000001900bf06c (__TEXT,__text) non-external _attlist4
00000001900bee90 (__TEXT,__text) non-external _attlist5
00000001900befa8 (__TEXT,__text) non-external _attlist6
00000001900bf004 (__TEXT,__text) non-external _attlist7
00000001900bed50 (__TEXT,__text) non-external _attlist8
00000001900bef4c (__TEXT,__text) non-external _attlist9
00000001900c9d94 (__TEXT,__text) non-external _big2_attributeValueTok
00000001900c992c (__TEXT,__text) non-external _big2_cdataSectionTok
00000001900ca5c0 (__TEXT,__text) non-external _big2_charRefNumber
00000001900cb804 (__TEXT,__text) non-external _big2_checkPiTarget
00000001900c8e44 (__TEXT,__text) non-external _big2_contentTok
00000001f07333e0 (__AUTH_CONST,__const) non-external _big2_encoding
00000001f0733cf0 (__AUTH_CONST,__const) non-external _big2_encoding_ns
00000001900c9ef8 (__TEXT,__text) non-external _big2_entityValueTok
00000001900ca1a4 (__TEXT,__text) non-external _big2_getAtts
00000001900c9bcc (__TEXT,__text) non-external _big2_ignoreSectionTok
00000001900ca8e0 (__TEXT,__text) non-external _big2_isPublicId
00000001900ca0c0 (__TEXT,__text) non-external _big2_nameLength
00000001900ca074 (__TEXT,__text) non-external _big2_nameMatchesAscii
00000001900ca6a0 (__TEXT,__text) non-external _big2_predefinedEntityName
00000001900c86c8 (__TEXT,__text) non-external _big2_prologTok
00000001900cbba8 (__TEXT,__text) non-external _big2_scanAtts
00000001900cd0db (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00000001900cb68c (__TEXT,__text) non-external _big2_scanComment
00000001900cad00 (__TEXT,__text) non-external _big2_scanDecl
00000001900cabac (__TEXT,__text) non-external _big2_scanLit
00000001900cb26c (__TEXT,__text) non-external _big2_scanPercent
00000001900cae3c (__TEXT,__text) non-external _big2_scanPi
00000001900cb480 (__TEXT,__text) non-external _big2_scanPoundName
00000001900cb8a0 (__TEXT,__text) non-external _big2_scanRef
00000001900ca160 (__TEXT,__text) non-external _big2_skipS
00000001900cab24 (__TEXT,__text) non-external _big2_toUtf16
00000001900ca990 (__TEXT,__text) non-external _big2_toUtf8
00000001900ca7f4 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
00000001900b627c (__TEXT,__text) non-external _callProcessor
00000001900bc1ac (__TEXT,__text) non-external _cdataSectionProcessor
00000001900bfe30 (__TEXT,__text) non-external _checkCharRefNumber
00000001900be7e0 (__TEXT,__text) non-external _condSect0
00000001900be8bc (__TEXT,__text) non-external _condSect1
00000001900be92c (__TEXT,__text) non-external _condSect2
00000001900b8ebc (__TEXT,__text) non-external _contentProcessor
00000001900bd89c (__TEXT,__text) non-external _copyEntityTable
00000001900b4e5c (__TEXT,__text) non-external _copyString
00000001900be664 (__TEXT,__text) non-external _declClose
00000001900b9250 (__TEXT,__text) non-external _defineAttribute
00000001900bbeb4 (__TEXT,__text) non-external _doCdataSection
00000001900ba17c (__TEXT,__text) non-external _doContent
00000001900b9710 (__TEXT,__text) non-external _doIgnoreSection
00000001900c02d8 (__TEXT,__text) non-external _doParseXmlDecl
00000001900b6c34 (__TEXT,__text) non-external _doProlog
00000001900cc893 (__TEXT,__const) non-external _doProlog.atypeCDATA
00000001900cc8b0 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00000001900cc8a9 (__TEXT,__const) non-external _doProlog.atypeENTITY
00000001900cc899 (__TEXT,__const) non-external _doProlog.atypeID
00000001900cc89c (__TEXT,__const) non-external _doProlog.atypeIDREF
00000001900cc8a2 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00000001900cc8b9 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00000001900cc8c1 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00000001900cc650 (__TEXT,__text) non-external _doProlog.cold.1
00000001900cc67c (__TEXT,__text) non-external _doProlog.cold.2
00000001900cdd00 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00000001900cdd02 (__TEXT,__cstring) non-external _doProlog.enumValueStart
00000001900cdcf6 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00000001900bdcb8 (__TEXT,__text) non-external _doctype0
00000001900bdd24 (__TEXT,__text) non-external _doctype1
00000001900be0f0 (__TEXT,__text) non-external _doctype2
00000001900be094 (__TEXT,__text) non-external _doctype3
00000001900bf970 (__TEXT,__text) non-external _doctype4
00000001900be2dc (__TEXT,__text) non-external _doctype5
00000001900be21c (__TEXT,__text) non-external _element0
00000001900bf0d4 (__TEXT,__text) non-external _element1
00000001900bf1f8 (__TEXT,__text) non-external _element2
00000001900bf334 (__TEXT,__text) non-external _element3
00000001900bf648 (__TEXT,__text) non-external _element4
00000001900bf6ac (__TEXT,__text) non-external _element5
00000001900bf3e4 (__TEXT,__text) non-external _element6
00000001900bf4d8 (__TEXT,__text) non-external _element7
00000001e87465f0 (__DATA_CONST,__const) non-external _encodings
00000001e8746628 (__DATA_CONST,__const) non-external _encodingsNS
00000001900be14c (__TEXT,__text) non-external _entity0
00000001900be338 (__TEXT,__text) non-external _entity1
00000001900be6d8 (__TEXT,__text) non-external _entity10
00000001900be394 (__TEXT,__text) non-external _entity2
00000001900be9e4 (__TEXT,__text) non-external _entity3
00000001900be988 (__TEXT,__text) non-external _entity4
00000001900bea40 (__TEXT,__text) non-external _entity5
00000001900beb18 (__TEXT,__text) non-external _entity6
00000001900be4a0 (__TEXT,__text) non-external _entity7
00000001900be608 (__TEXT,__text) non-external _entity8
00000001900be5ac (__TEXT,__text) non-external _entity9
00000001900b9b44 (__TEXT,__text) non-external _entityTrackingOnOpen
00000001900bd14c (__TEXT,__text) non-external _entityTrackingReportStats
00000001900cc758 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00000001900bd47c (__TEXT,__text) non-external _entityValueInitProcessor
00000001900bd764 (__TEXT,__text) non-external _entityValueProcessor
00000001900bbc90 (__TEXT,__text) non-external _epilogProcessor
00000001900bdd1c (__TEXT,__text) non-external _error
00000001900b639c (__TEXT,__text) non-external _errorProcessor
00000001900bc6d8 (__TEXT,__text) non-external _externalEntityContentProcessor
00000001900b5860 (__TEXT,__text) non-external _externalEntityInitProcessor
00000001900bd248 (__TEXT,__text) non-external _externalEntityInitProcessor2
00000001900bd354 (__TEXT,__text) non-external _externalEntityInitProcessor3
00000001900b58dc (__TEXT,__text) non-external _externalParEntInitProcessor
00000001900bd630 (__TEXT,__text) non-external _externalParEntProcessor
00000001900bdba4 (__TEXT,__text) non-external _externalSubset0
00000001900be750 (__TEXT,__text) non-external _externalSubset1
00000001900c05cc (__TEXT,__text) non-external _findEncoding
00000001900c07fc (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00000001900bbc2c (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00000001900cc890 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00000001900b8fb8 (__TEXT,__text) non-external _getAttributeId
00000001900baeac (__TEXT,__text) non-external _getContext
00000001900b6990 (__TEXT,__text) non-external _getDebugLevel
00000001900b8f28 (__TEXT,__text) non-external _getElementType
00000001900c01cc (__TEXT,__text) non-external _getEncodingIndex
00000001e87465c0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00000001900b6b28 (__TEXT,__text) non-external _handleUnknownEncoding
00000001900b9e38 (__TEXT,__text) non-external _hash
00000001900bd830 (__TEXT,__text) non-external _hashTableDestroy
00000001900b9898 (__TEXT,__text) non-external _ignoreSectionProcessor
00000001900cc8ca (__TEXT,__const) non-external _implicitContext
00000001900c848c (__TEXT,__text) non-external _initScan
00000001900c0250 (__TEXT,__text) non-external _initScanContent
00000001900c0780 (__TEXT,__text) non-external _initScanContentNS
00000001900c0230 (__TEXT,__text) non-external _initScanProlog
00000001900c0760 (__TEXT,__text) non-external _initScanPrologNS
00000001900c0270 (__TEXT,__text) non-external _initUpdatePosition
00000001900b6a1c (__TEXT,__text) non-external _initializeEncoding
00000001900bcf84 (__TEXT,__text) non-external _internalEntityProcessor
00000001900cc72c (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00000001900bde3c (__TEXT,__text) non-external _internalSubset
00000001f0732ca0 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001f0733040 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001f0732ad0 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001f0732e70 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
00000001900c4750 (__TEXT,__text) non-external _isNever
00000001f0732900 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001f0733950 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
00000001900c2c44 (__TEXT,__text) non-external _latin1_toUtf16
00000001900c2bb0 (__TEXT,__text) non-external _latin1_toUtf8
00000001900c5f9c (__TEXT,__text) non-external _little2_attributeValueTok
00000001900c5b34 (__TEXT,__text) non-external _little2_cdataSectionTok
00000001900c67d4 (__TEXT,__text) non-external _little2_charRefNumber
00000001900c7a14 (__TEXT,__text) non-external _little2_checkPiTarget
00000001900c5084 (__TEXT,__text) non-external _little2_contentTok
00000001f07335b0 (__AUTH_CONST,__const) non-external _little2_encoding
00000001f0733ec0 (__AUTH_CONST,__const) non-external _little2_encoding_ns
00000001900c6100 (__TEXT,__text) non-external _little2_entityValueTok
00000001900c63b8 (__TEXT,__text) non-external _little2_getAtts
00000001900c5dd4 (__TEXT,__text) non-external _little2_ignoreSectionTok
00000001900c6af4 (__TEXT,__text) non-external _little2_isPublicId
00000001900c62c8 (__TEXT,__text) non-external _little2_nameLength
00000001900c627c (__TEXT,__text) non-external _little2_nameMatchesAscii
00000001900c68b4 (__TEXT,__text) non-external _little2_predefinedEntityName
00000001900c4908 (__TEXT,__text) non-external _little2_prologTok
00000001900c7db4 (__TEXT,__text) non-external _little2_scanAtts
00000001900c789c (__TEXT,__text) non-external _little2_scanComment
00000001900c6f10 (__TEXT,__text) non-external _little2_scanDecl
00000001900c6dbc (__TEXT,__text) non-external _little2_scanLit
00000001900c7478 (__TEXT,__text) non-external _little2_scanPercent
00000001900c704c (__TEXT,__text) non-external _little2_scanPi
00000001900c7690 (__TEXT,__text) non-external _little2_scanPoundName
00000001900c7ab0 (__TEXT,__text) non-external _little2_scanRef
00000001900c6368 (__TEXT,__text) non-external _little2_skipS
00000001900c6d38 (__TEXT,__text) non-external _little2_toUtf16
00000001900c6ba4 (__TEXT,__text) non-external _little2_toUtf8
00000001900c6a08 (__TEXT,__text) non-external _little2_updatePosition
00000001900b8ae0 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001900ccfa8 (__TEXT,__const) non-external _namePages
00000001900cc9a8 (__TEXT,__const) non-external _namingBitmap
00000001900b9948 (__TEXT,__text) non-external _nextScaffoldPart
00000001900ccea8 (__TEXT,__const) non-external _nmstrtPages
00000001900c21e0 (__TEXT,__text) non-external _normal_attributeValueTok
00000001900c1d58 (__TEXT,__text) non-external _normal_cdataSectionTok
00000001900c2880 (__TEXT,__text) non-external _normal_charRefNumber
00000001900c3a0c (__TEXT,__text) non-external _normal_checkPiTarget
00000001900c1198 (__TEXT,__text) non-external _normal_contentTok
00000001900c2320 (__TEXT,__text) non-external _normal_entityValueTok
00000001900c2544 (__TEXT,__text) non-external _normal_getAtts
00000001900c2000 (__TEXT,__text) non-external _normal_ignoreSectionTok
00000001900c2b08 (__TEXT,__text) non-external _normal_isPublicId
00000001900c24bc (__TEXT,__text) non-external _normal_nameLength
00000001900c2478 (__TEXT,__text) non-external _normal_nameMatchesAscii
00000001900c294c (__TEXT,__text) non-external _normal_predefinedEntityName
00000001900c0920 (__TEXT,__text) non-external _normal_prologTok
00000001900c3df0 (__TEXT,__text) non-external _normal_scanAtts
00000001900c3870 (__TEXT,__text) non-external _normal_scanComment
00000001900c2e30 (__TEXT,__text) non-external _normal_scanDecl
00000001900c2c98 (__TEXT,__text) non-external _normal_scanLit
00000001900c335c (__TEXT,__text) non-external _normal_scanPercent
00000001900c2f50 (__TEXT,__text) non-external _normal_scanPi
00000001900c35e8 (__TEXT,__text) non-external _normal_scanPoundName
00000001900c3a90 (__TEXT,__text) non-external _normal_scanRef
00000001900c2508 (__TEXT,__text) non-external _normal_skipS
00000001900c2a34 (__TEXT,__text) non-external _normal_updatePosition
00000001900bd1f0 (__TEXT,__text) non-external _normalizeLines
00000001900b8e38 (__TEXT,__text) non-external _normalizePublicId
00000001900be280 (__TEXT,__text) non-external _notation0
00000001900bf72c (__TEXT,__text) non-external _notation1
00000001900bf870 (__TEXT,__text) non-external _notation2
00000001900bf808 (__TEXT,__text) non-external _notation3
00000001900bf8cc (__TEXT,__text) non-external _notation4
00000001900cc200 (__TEXT,__text) non-external _parsePseudoAttribute
00000001900b463c (__TEXT,__text) non-external _parserCreate
00000001900b4c9c (__TEXT,__text) non-external _parserInit
00000001900b91cc (__TEXT,__text) non-external _poolAppend
00000001900b5adc (__TEXT,__text) non-external _poolCopyString
00000001900b59ac (__TEXT,__text) non-external _poolDestroy
00000001900b9380 (__TEXT,__text) non-external _poolGrow
00000001900b8a84 (__TEXT,__text) non-external _poolStoreString
00000001900b9a44 (__TEXT,__text) non-external _processEntity
00000001900b8758 (__TEXT,__text) non-external _processXmlDecl
00000001900bda7c (__TEXT,__text) non-external _prolog0
00000001900bdbc8 (__TEXT,__text) non-external _prolog1
00000001900be008 (__TEXT,__text) non-external _prolog2
00000001900b6914 (__TEXT,__text) non-external _prologInitProcessor
00000001900b6aa0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00000001900b9cbc (__TEXT,__text) non-external _reportComment
00000001900b6730 (__TEXT,__text) non-external _reportDefault
00000001900b9b90 (__TEXT,__text) non-external _reportProcessingInstruction
00000001900b535c (__TEXT,__text) non-external _setContext
00000001900bc2a8 (__TEXT,__text) non-external _setElementTypePrefix
00000001900ba01c (__TEXT,__text) non-external _sip24_final
00000001900b9f28 (__TEXT,__text) non-external _sip24_update
00000001900ba130 (__TEXT,__text) non-external _sip_round
00000001900b5e30 (__TEXT,__text) non-external _startParsing
00000001900b9534 (__TEXT,__text) non-external _storeAttributeValue
00000001900cc6d4 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00000001900bb1e8 (__TEXT,__text) non-external _storeAtts
00000001900bcb80 (__TEXT,__text) non-external _storeEntityValue
00000001900badc0 (__TEXT,__text) non-external _storeRawNames
00000001900c8434 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00000001900b68e8 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00000001900b68f4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00000001900bff3c (__TEXT,__text) non-external _unknown_isInvalid
00000001900bfe7c (__TEXT,__text) non-external _unknown_isName
00000001900bfedc (__TEXT,__text) non-external _unknown_isNmstrt
00000001900c0070 (__TEXT,__text) non-external _unknown_toUtf16
00000001900bff70 (__TEXT,__text) non-external _unknown_toUtf8
00000001900b6900 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001f0733210 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001f0733b20 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
00000001900c47e0 (__TEXT,__text) non-external _utf8_isInvalid2
00000001900c4814 (__TEXT,__text) non-external _utf8_isInvalid3
00000001900c48a0 (__TEXT,__text) non-external _utf8_isInvalid4
00000001900c46c8 (__TEXT,__text) non-external _utf8_isName2
00000001900c4708 (__TEXT,__text) non-external _utf8_isName3
00000001900c4758 (__TEXT,__text) non-external _utf8_isNmstrt2
00000001900c4798 (__TEXT,__text) non-external _utf8_isNmstrt3
00000001900c458c (__TEXT,__text) non-external _utf8_toUtf16
00000001900c44d0 (__TEXT,__text) non-external _utf8_toUtf8
