00007ffa42c6f970 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa0fff68c8 (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffa0fff6674 (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffa0fff654a (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffa0fff6a04 (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffa0fff6b2b (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffa0fff6940 (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffa0fff66f4 (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffa0fff65ca (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffa0fff6a81 (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffa0fff6bbd (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffa0fff681e (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffa0fff69f5 (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffa0fff679e (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffa0fff69e6 (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffa0fff41fd (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa0fff2da9 (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa0fff3a0a (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa0fffe260 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa0fffe30e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa0fffe3a9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa0fffe457 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa0fffe505 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa0fffe5a0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa0fffe63b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa0fff4d17 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa0ffff80d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa0ffff8bb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa0ffff969 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa0ffffa17 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa0ffffac5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa0ffffb73 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa0fff5063 (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa0fff9af3 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa0fff71ab (__TEXT,__text) external __newrpclib_xdr_array
00007ffa10000c3a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa0ffed614 (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa0fff8a17 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa0fff8b2c (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa10000fa0 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa0fff2862 (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa0fff211a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa0fff89b7 (__TEXT,__text) external __newrpclib_xdr_char
00007ffa0fff27ed (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa0fff737f (__TEXT,__text) external __newrpclib_xdr_double
00007ffa0fff8a84 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa0fff732c (__TEXT,__text) external __newrpclib_xdr_float
00007ffa0fff8607 (__TEXT,__text) external __newrpclib_xdr_free
00007ffa0fff9035 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa0fff900d (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa0fff863d (__TEXT,__text) external __newrpclib_xdr_int
00007ffa0fff88ef (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa0fff8765 (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa0fff8eb7 (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffa0fff86ff (__TEXT,__text) external __newrpclib_xdr_long
00007ffa0fff9021 (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffa0fffb9c6 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffa0fff8d10 (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffa0fff8a8e (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffa42c6f980 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffa0fff27b4 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffa0fffa30c (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffa0fffa4db (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffa0fffa546 (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffa0fffa38e (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffa0fffa36e (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffa0fff82ac (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffa0fff81f6 (__TEXT,__text) external __newrpclib_xdr_reference
00007ffa10000ef2 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffa0fff27fc (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffa0fff123b (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffa0fff1319 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffa0fffaf65 (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffa0fffaee4 (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffa0fffb182 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffa0fffb208 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffa0fffb355 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffa0fffb0d2 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffa0fffb13d (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffa0fffb906 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffa0fffb9a1 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffa0fffb0b2 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffa0fffb375 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffa0fffb8c6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffa0fffb8a1 (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffa0fffb5cf (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffa0fffb8e6 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffa0fff8827 (__TEXT,__text) external __newrpclib_xdr_short
00007ffa0fff8316 (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffa0fff8da6 (__TEXT,__text) external __newrpclib_xdr_string
00007ffa100010fc (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffa0fff89e7 (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffa0fff9017 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffa0fff869e (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffa0fff8732 (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffa0fff902b (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffa0fff888b (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffa0fff8953 (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffa0fff87c6 (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffa0fff8f62 (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffa0fff8d26 (__TEXT,__text) external __newrpclib_xdr_union
00007ffa0fff72d9 (__TEXT,__text) external __newrpclib_xdr_vector
00007ffa0fff8632 (__TEXT,__text) external __newrpclib_xdr_void
00007ffa0fff8ea8 (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffa0fff7419 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffa0fff7985 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffa10000ce8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffa10000d96 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffa10000e44 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffa0fff7f0f (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffa0fff7eb3 (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffa0fff7c66 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffa0fff84b8 (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffa0fff5b62 (__TEXT,__text) external __newrpclib_xprt_register
00007ffa0fff5dab (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffa0fff2d79 (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffa0fff2c1b (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffa0fff2a91 (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffa0fff3275 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffa0fffdc3d (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffa0fffdcc6 (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffa40ad5680 (__DATA_CONST,__const) non-external _auth_errlist
00007ffa42c6f3d8 (__DATA,__data) non-external _auth_unix_ops
00007ffa0ffecf04 (__TEXT,__text) non-external _authnone_destroy
00007ffa0ffecdf3 (__TEXT,__text) non-external _authnone_init
00007ffa0ffecec5 (__TEXT,__text) non-external _authnone_marshal
00007ffa42c6f3a0 (__DATA,__data) non-external _authnone_once_init
00007ffa42c6f928 (__DATA,__bss) non-external _authnone_private
00007ffa0ffecefc (__TEXT,__text) non-external _authnone_refresh
00007ffa0ffecef1 (__TEXT,__text) non-external _authnone_validate
00007ffa0ffecebf (__TEXT,__text) non-external _authnone_verf
00007ffa0ffed5cc (__TEXT,__text) non-external _authunix_destroy
00007ffa0ffed3c5 (__TEXT,__text) non-external _authunix_marshal
00007ffa0ffed3bf (__TEXT,__text) non-external _authunix_nextverf
00007ffa0ffed4a9 (__TEXT,__text) non-external _authunix_refresh
00007ffa0ffed3e8 (__TEXT,__text) non-external _authunix_validate
00007ffa42c6f4d8 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffa42c6f938 (__DATA,__bss) non-external _buf
00007ffa0ffeed70 (__TEXT,__text) non-external _bufdestroy
00007ffa0fff16d4 (__TEXT,__text) non-external _build_callit_rpc
00007ffa42c6f860 (__DATA,__data) non-external _cache_control_init
00007ffa0fffa0f0 (__TEXT,__text) non-external _cache_init
00007ffa1000125a (__TEXT,__text) non-external _cache_init.cold.1
00007ffa42c6f9c0 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffa42c6f920 (__DATA,__bss) non-external _callrpc_private
00007ffa0ffefc0e (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffa42c6f428 (__DATA,__data) non-external _client_ops
00007ffa0ffed95d (__TEXT,__text) external _clnt_auth_set
00007ffa42c6f418 (__DATA,__data) non-external _clnt_perror_once
00007ffa0ffee76a (__TEXT,__text) non-external _clnt_sperror_r
00007ffa0ffef0a6 (__TEXT,__text) non-external _clntraw_abort
00007ffa0ffeeea4 (__TEXT,__text) non-external _clntraw_call
00007ffa0ffef0e3 (__TEXT,__text) non-external _clntraw_control
00007ffa0ffef0dd (__TEXT,__text) non-external _clntraw_destroy
00007ffa0ffef0b2 (__TEXT,__text) non-external _clntraw_freeres
00007ffa0ffef0ac (__TEXT,__text) non-external _clntraw_geterr
00007ffa42c6f940 (__DATA,__bss) non-external _clntraw_private
00007ffa0fff021b (__TEXT,__text) non-external _clntstrm_abort
00007ffa0ffefeec (__TEXT,__text) non-external _clntstrm_call
00007ffa0fff02b1 (__TEXT,__text) non-external _clntstrm_control
00007ffa0ffef0eb (__TEXT,__text) external _clntstrm_create_timeout
00007ffa0fffd1ca (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffa0fffd265 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffa0fffd2fd (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffa0fffd39b (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffa0fffd433 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffa0fffd4ce (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffa0fffd57c (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffa0fff0260 (__TEXT,__text) non-external _clntstrm_destroy
00007ffa0fff023e (__TEXT,__text) non-external _clntstrm_freeres
00007ffa0fff0221 (__TEXT,__text) non-external _clntstrm_geterr
00007ffa0ffefc3f (__TEXT,__text) external _clntticots_create
00007ffa0fffd6ab (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffa0ffefee2 (__TEXT,__text) external _clntticots_create_timeout
00007ffa0ffefb90 (__TEXT,__text) external _clntticotsord_create
00007ffa0fffd610 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffa0ffefe5d (__TEXT,__text) external _clntticotsord_create_timeout
00007ffa0fffd917 (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffa0fff0cef (__TEXT,__text) non-external _clntudp_abort
00007ffa0fff080e (__TEXT,__text) non-external _clntudp_call
00007ffa0fff0d7c (__TEXT,__text) non-external _clntudp_control
00007ffa0fff0d34 (__TEXT,__text) non-external _clntudp_destroy
00007ffa0fff0d12 (__TEXT,__text) non-external _clntudp_freeres
00007ffa0fff0cf5 (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffa0fffa1d4 (__TEXT,__text) non-external _compare_sa
00007ffa100016f0 (__TEXT,__const) non-external _compare_sa.allones
00007ffa42c6fa90 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffa42c6f848 (__DATA,__data) non-external _create_key_init
00007ffa0fff6244 (__TEXT,__text) non-external _create_svc_req_key
00007ffa0fff90f0 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffa0fff90a0 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffa100016d0 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffa0fff819b (__TEXT,__text) non-external _fill_input_buf
00007ffa0fff7f68 (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa0ffee566 (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffa0fff9efa (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa0fff807e (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffa0fff9127 (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffa0fff9f31 (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffa0fffbcb3 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffa0fffc046 (__TEXT,__text) non-external _handle_callerror
00007ffa0fff84b0 (__TEXT,__text) non-external _harmless
00007ffa42c6f990 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffa42c6f760 (__DATA,__data) non-external (was a private external) _kq
