                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000020ce95f80 (__TEXT,__text) external _apr__SHA256_Data
000000020ce81c4c (__TEXT,__text) external _apr_collapse_spaces
000000020ce81904 (__TEXT,__text) external _apr_cpystrn
000000020ce96010 (__TEXT,__text) external _apr_crypto_sha256_new
000000020ce98444 (__TEXT,__text) external _apr_ctime
000000020ce99b38 (__TEXT,__const) external _apr_day_snames
000000020ce88758 (__TEXT,__text) external _apr_dir_close
000000020ce88994 (__TEXT,__text) external _apr_dir_make
000000020ce889d4 (__TEXT,__text) external _apr_dir_make_recursive
000000020ce8868c (__TEXT,__text) external _apr_dir_open
000000020ce88798 (__TEXT,__text) external _apr_dir_read
000000020ce88ad4 (__TEXT,__text) external _apr_dir_remove
000000020ce88974 (__TEXT,__text) external _apr_dir_rewind
000000020ce883a4 (__TEXT,__text) external _apr_dso_error
000000020ce88248 (__TEXT,__text) external _apr_dso_load
000000020ce88354 (__TEXT,__text) external _apr_dso_sym
000000020ce88338 (__TEXT,__text) external _apr_dso_unload
000000020ce8e8fc (__TEXT,__text) external _apr_env_delete
000000020ce8e898 (__TEXT,__text) external _apr_env_get
000000020ce8e8d8 (__TEXT,__text) external _apr_env_set
000000020ce811fc (__TEXT,__text) external _apr_escape_echo
000000020ce80abc (__TEXT,__text) external _apr_escape_entity
000000020ce814d0 (__TEXT,__text) external _apr_escape_hex
000000020ce806f0 (__TEXT,__text) external _apr_escape_path
000000020ce8055c (__TEXT,__text) external _apr_escape_path_segment
000000020ce7ff54 (__TEXT,__text) external _apr_escape_shell
000000020ce80904 (__TEXT,__text) external _apr_escape_urlencoded
000000020ce88654 (__TEXT,__text) external _apr_file_append
000000020ce89908 (__TEXT,__text) external _apr_file_attrs_set
000000020ce883e8 (__TEXT,__text) external _apr_file_buffer_set
000000020ce88484 (__TEXT,__text) external _apr_file_buffer_size_get
000000020ce8a37c (__TEXT,__text) external _apr_file_close
000000020ce8848c (__TEXT,__text) external _apr_file_copy
000000020ce88c40 (__TEXT,__text) external _apr_file_data_get
000000020ce88c48 (__TEXT,__text) external _apr_file_data_set
000000020ce8b618 (__TEXT,__text) external _apr_file_datasync
000000020ce88c60 (__TEXT,__text) external _apr_file_dup
000000020ce88e58 (__TEXT,__text) external _apr_file_dup2
000000020ce8a4d0 (__TEXT,__text) external _apr_file_eof
000000020ce88b88 (__TEXT,__text) external _apr_file_flags_get
000000020ce8b54c (__TEXT,__text) external _apr_file_flush
000000020ce8b26c (__TEXT,__text) external _apr_file_flush_locked
000000020ce8b4cc (__TEXT,__text) external _apr_file_getc
000000020ce8b68c (__TEXT,__text) external _apr_file_gets
000000020ce8980c (__TEXT,__text) external _apr_file_info_get
000000020ce896b4 (__TEXT,__text) external _apr_file_info_get_locked
000000020ce8a6fc (__TEXT,__text) external _apr_file_inherit_set
000000020ce8a7b0 (__TEXT,__text) external _apr_file_inherit_unset
000000020ce8a86c (__TEXT,__text) external _apr_file_link
000000020ce89b6c (__TEXT,__text) external _apr_file_lock
000000020ce89f34 (__TEXT,__text) external _apr_file_mktemp
000000020ce89a78 (__TEXT,__text) external _apr_file_mtime_set
000000020ce88b78 (__TEXT,__text) external _apr_file_name_get
000000020ce8ad4c (__TEXT,__text) external _apr_file_namedpipe_create
000000020ce8a10c (__TEXT,__text) external _apr_file_open
000000020ce8a4e8 (__TEXT,__text) external _apr_file_open_flags_stderr
000000020ce8a550 (__TEXT,__text) external _apr_file_open_flags_stdin
000000020ce8a51c (__TEXT,__text) external _apr_file_open_flags_stdout
000000020ce8a580 (__TEXT,__text) external _apr_file_open_stderr
000000020ce8a680 (__TEXT,__text) external _apr_file_open_stdin
000000020ce8a600 (__TEXT,__text) external _apr_file_open_stdout
000000020ce898bc (__TEXT,__text) external _apr_file_perms_set
000000020ce8ab20 (__TEXT,__text) external _apr_file_pipe_create
000000020ce8acd0 (__TEXT,__text) external _apr_file_pipe_create_ex
000000020ce8a978 (__TEXT,__text) external _apr_file_pipe_timeout_get
000000020ce8a89c (__TEXT,__text) external _apr_file_pipe_timeout_set
000000020ce8a864 (__TEXT,__text) external _apr_file_pool_get
000000020ce8b854 (__TEXT,__text) external _apr_file_printf
000000020ce8b480 (__TEXT,__text) external _apr_file_putc
000000020ce8b504 (__TEXT,__text) external _apr_file_puts
000000020ce8ad98 (__TEXT,__text) external _apr_file_read
000000020ce89ca4 (__TEXT,__text) external _apr_file_read_full
000000020ce8a398 (__TEXT,__text) external _apr_file_remove
000000020ce8a3bc (__TEXT,__text) external _apr_file_rename
000000020ce8b950 (__TEXT,__text) external _apr_file_seek
000000020ce88e84 (__TEXT,__text) external _apr_file_setaside
000000020ce8b5a4 (__TEXT,__text) external _apr_file_sync
000000020ce8bb34 (__TEXT,__text) external _apr_file_trunc
000000020ce8b4bc (__TEXT,__text) external _apr_file_ungetc
000000020ce89c20 (__TEXT,__text) external _apr_file_unlock
000000020ce8b06c (__TEXT,__text) external _apr_file_write
000000020ce89d20 (__TEXT,__text) external _apr_file_write_full
000000020ce8b39c (__TEXT,__text) external _apr_file_writev
000000020ce89d9c (__TEXT,__text) external _apr_file_writev_full
000000020ce89498 (__TEXT,__text) external _apr_filepath_encoding
000000020ce88fc4 (__TEXT,__text) external _apr_filepath_get
000000020ce8948c (__TEXT,__text) external _apr_filepath_list_merge
000000020ce89570 (__TEXT,__text) external _apr_filepath_list_merge_impl
000000020ce89480 (__TEXT,__text) external _apr_filepath_list_split
000000020ce894a8 (__TEXT,__text) external _apr_filepath_list_split_impl
000000020ce89100 (__TEXT,__text) external _apr_filepath_merge
000000020ce81c1c (__TEXT,__text) external _apr_filepath_name_get
000000020ce89094 (__TEXT,__text) external _apr_filepath_root
000000020ce89070 (__TEXT,__text) external _apr_filepath_set
000000020ce81cc8 (__TEXT,__text) external _apr_fnmatch
000000020ce824fc (__TEXT,__text) external _apr_fnmatch_test
000000020ce8f9b0 (__TEXT,__text) external _apr_generate_random_bytes
000000020ce932e4 (__TEXT,__text) external _apr_gethostname
000000020ce91630 (__TEXT,__text) external _apr_getnameinfo
000000020ce8ee20 (__TEXT,__text) external _apr_getopt
000000020ce8ed40 (__TEXT,__text) external _apr_getopt_init
000000020ce8f088 (__TEXT,__text) external _apr_getopt_long
000000020ce91770 (__TEXT,__text) external _apr_getservbyname
000000020ce98760 (__TEXT,__text) external _apr_gid_get
000000020ce98694 (__TEXT,__text) external _apr_gid_name_get
000000020ce8bf04 (__TEXT,__text) external _apr_global_mutex_child_init
000000020ce8bdd0 (__TEXT,__text) external _apr_global_mutex_create
000000020ce8c014 (__TEXT,__text) external _apr_global_mutex_destroy
000000020ce8bf10 (__TEXT,__text) external _apr_global_mutex_lock
000000020ce8c030 (__TEXT,__text) external _apr_global_mutex_lockfile
000000020ce8c038 (__TEXT,__text) external _apr_global_mutex_name
000000020ce8c040 (__TEXT,__text) external _apr_global_mutex_pool_get
000000020ce8bf64 (__TEXT,__text) external _apr_global_mutex_trylock
000000020ce8bfb8 (__TEXT,__text) external _apr_global_mutex_unlock
000000020ce85398 (__TEXT,__text) external _apr_hash_clear
000000020ce85080 (__TEXT,__text) external _apr_hash_copy
000000020ce85390 (__TEXT,__text) external _apr_hash_count
000000020ce85688 (__TEXT,__text) external _apr_hash_do
000000020ce84f74 (__TEXT,__text) external _apr_hash_first
000000020ce85170 (__TEXT,__text) external _apr_hash_get
000000020ce84e54 (__TEXT,__text) external _apr_hash_make
000000020ce84f00 (__TEXT,__text) external _apr_hash_make_custom
000000020ce85404 (__TEXT,__text) external _apr_hash_merge
000000020ce84f28 (__TEXT,__text) external _apr_hash_next
000000020ce853f8 (__TEXT,__text) external _apr_hash_overlay
000000020ce85744 (__TEXT,__text) external _apr_hash_pool_get
000000020ce852bc (__TEXT,__text) external _apr_hash_set
000000020ce84fc4 (__TEXT,__text) external _apr_hash_this
000000020ce84ff8 (__TEXT,__text) external _apr_hash_this_key
000000020ce85004 (__TEXT,__text) external _apr_hash_this_key_len
000000020ce85010 (__TEXT,__text) external _apr_hash_this_val
000000020ce8501c (__TEXT,__text) external _apr_hashfunc_default
000000020ce8fdcc (__TEXT,__text) external _apr_inet_ntop
000000020ce90178 (__TEXT,__text) external _apr_inet_pton
000000020ce8fa84 (__TEXT,__text) external _apr_initialize
000000020ce9195c (__TEXT,__text) external _apr_ipsubnet_create
000000020ce91ca0 (__TEXT,__text) external _apr_ipsubnet_test
000000020ce865d0 (__TEXT,__text) external _apr_is_empty_array
000000020ce86aa0 (__TEXT,__text) external _apr_is_empty_table
000000020ce848b4 (__TEXT,__text) external _apr_itoa
000000020ce84938 (__TEXT,__text) external _apr_ltoa
000000020ce82570 (__TEXT,__text) external _apr_match_glob
000000020ce90640 (__TEXT,__text) external _apr_mcast_hops
000000020ce90710 (__TEXT,__text) external _apr_mcast_interface
000000020ce90514 (__TEXT,__text) external _apr_mcast_join
000000020ce90628 (__TEXT,__text) external _apr_mcast_leave
000000020ce90700 (__TEXT,__text) external _apr_mcast_loopback
000000020ce8fb8c (__TEXT,__text) external _apr_mmap_create
000000020ce8fdb0 (__TEXT,__text) external _apr_mmap_delete
000000020ce8fd14 (__TEXT,__text) external _apr_mmap_dup
000000020ce8fb5c (__TEXT,__text) external _apr_mmap_offset
000000020ce99b08 (__TEXT,__const) external _apr_month_snames
000000020ce849b8 (__TEXT,__text) external _apr_off_t_toa
000000020ce8e82c (__TEXT,__text) external _apr_os_default_encoding
000000020ce88af8 (__TEXT,__text) external _apr_os_dir_get
000000020ce88b18 (__TEXT,__text) external _apr_os_dir_put
000000020ce88238 (__TEXT,__text) external _apr_os_dso_handle_get
000000020ce881e0 (__TEXT,__text) external _apr_os_dso_handle_put
000000020ce98164 (__TEXT,__text) external _apr_os_exp_time_get
000000020ce981b4 (__TEXT,__text) external _apr_os_exp_time_put
000000020ce8a3e0 (__TEXT,__text) external _apr_os_file_get
000000020ce8a3f0 (__TEXT,__text) external _apr_os_file_put
000000020ce8bffc (__TEXT,__text) external _apr_os_global_mutex_get
000000020ce98124 (__TEXT,__text) external _apr_os_imp_time_get
000000020ce98190 (__TEXT,__text) external _apr_os_imp_time_put
000000020ce8e838 (__TEXT,__text) external _apr_os_locale_encoding
000000020ce8aa80 (__TEXT,__text) external _apr_os_pipe_put
000000020ce8a9a0 (__TEXT,__text) external _apr_os_pipe_put_ex
000000020ce8c214 (__TEXT,__text) external _apr_os_proc_mutex_get
000000020ce8c234 (__TEXT,__text) external _apr_os_proc_mutex_put
000000020ce96694 (__TEXT,__text) external _apr_os_shm_get
000000020ce966a0 (__TEXT,__text) external _apr_os_shm_put
000000020ce92954 (__TEXT,__text) external _apr_os_sock_get
000000020ce92964 (__TEXT,__text) external _apr_os_sock_make
000000020ce92a84 (__TEXT,__text) external _apr_os_sock_put
000000020ce97bdc (__TEXT,__text) external _apr_os_thread_current
000000020ce97be0 (__TEXT,__text) external _apr_os_thread_equal
000000020ce97c70 (__TEXT,__text) external _apr_os_thread_get
000000020ce97c80 (__TEXT,__text) external _apr_os_thread_put
000000020ce97e00 (__TEXT,__text) external _apr_os_threadkey_get
000000020ce97e10 (__TEXT,__text) external _apr_os_threadkey_put
000000020ce8f944 (__TEXT,__text) external _apr_os_uuid_get
000000020ce8da04 (__TEXT,__text) external _apr_palloc
000000020ce8e810 (__TEXT,__text) external _apr_palloc_debug
000000020ce91330 (__TEXT,__text) external _apr_parse_addr_port
000000020ce8188c (__TEXT,__text) external _apr_password_get
000000020ce8db2c (__TEXT,__text) external _apr_pcalloc
000000020ce8e814 (__TEXT,__text) external _apr_pcalloc_debug
000000020ce81450 (__TEXT,__text) external _apr_pescape_echo
000000020ce80d78 (__TEXT,__text) external _apr_pescape_entity
000000020ce8156c (__TEXT,__text) external _apr_pescape_hex
000000020ce80884 (__TEXT,__text) external _apr_pescape_path
000000020ce80684 (__TEXT,__text) external _apr_pescape_path_segment
000000020ce80054 (__TEXT,__text) external _apr_pescape_shell
000000020ce80a50 (__TEXT,__text) external _apr_pescape_urlencoded
000000020ce844d8 (__TEXT,__text) external _apr_pmemdup
000000020ce93df4 (__TEXT,__text) external _apr_poll
000000020ce949e0 (__TEXT,__text) external _apr_poll_method_defname
000000020ce94678 (__TEXT,__text) external _apr_pollcb_add
000000020ce94670 (__TEXT,__text) external _apr_pollcb_create
000000020ce94544 (__TEXT,__text) external _apr_pollcb_create_ex
000000020ce94690 (__TEXT,__text) external _apr_pollcb_poll
000000021ba85548 (__DATA,__data) external _apr_pollcb_provider_kqueue
000000021ba85558 (__DATA,__data) external _apr_pollcb_provider_poll
000000020ce94684 (__TEXT,__text) external _apr_pollcb_remove
000000020ce94a64 (__TEXT,__text) external _apr_pollset_add
000000020ce94a04 (__TEXT,__text) external _apr_pollset_create
000000020ce94718 (__TEXT,__text) external _apr_pollset_create_ex
000000020ce94a0c (__TEXT,__text) external _apr_pollset_destroy
000000020ce9469c (__TEXT,__text) external _apr_pollset_drain_wakeup_pipe
000000020ce949d4 (__TEXT,__text) external _apr_pollset_method_name
000000020ce94a7c (__TEXT,__text) external _apr_pollset_poll
000000021ba85540 (__DATA,__data) external _apr_pollset_provider_kqueue
000000021ba85550 (__DATA,__data) external _apr_pollset_provider_poll
000000021ba85560 (__DATA,__data) external _apr_pollset_provider_select
000000020ce94a70 (__TEXT,__text) external _apr_pollset_remove
000000020ce94a44 (__TEXT,__text) external _apr_pollset_wakeup
000000020ce8e3a4 (__TEXT,__text) external _apr_pool_abort_get
000000020ce8e39c (__TEXT,__text) external _apr_pool_abort_set
000000020ce8e3b4 (__TEXT,__text) external _apr_pool_allocator_get
000000020ce8e6d4 (__TEXT,__text) external _apr_pool_child_cleanup_set
000000020ce8e754 (__TEXT,__text) external _apr_pool_cleanup_for_exec
000000020ce8e63c (__TEXT,__text) external _apr_pool_cleanup_kill
000000020ce8e7bc (__TEXT,__text) external _apr_pool_cleanup_null
000000020ce8e4a0 (__TEXT,__text) external _apr_pool_cleanup_register
000000020ce8e70c (__TEXT,__text) external _apr_pool_cleanup_run
000000020ce8db68 (__TEXT,__text) external _apr_pool_clear
000000020ce8e818 (__TEXT,__text) external _apr_pool_clear_debug
000000020ce8de58 (__TEXT,__text) external _apr_pool_create_core_ex
000000020ce8e824 (__TEXT,__text) external _apr_pool_create_core_ex_debug
000000020ce8d6ec (__TEXT,__text) external _apr_pool_create_ex
000000020ce8e820 (__TEXT,__text) external _apr_pool_create_ex_debug
000000020ce8de5c (__TEXT,__text) external _apr_pool_create_unmanaged_ex
000000020ce8e828 (__TEXT,__text) external _apr_pool_create_unmanaged_ex_debug
000000020ce8d848 (__TEXT,__text) external _apr_pool_destroy
000000020ce8e81c (__TEXT,__text) external _apr_pool_destroy_debug
000000020ce8d5e0 (__TEXT,__text) external _apr_pool_initialize
000000020ce8e3bc (__TEXT,__text) external _apr_pool_is_ancestor
000000020ce8e7c4 (__TEXT,__text) external _apr_pool_note_subprocess
000000020ce8e3ac (__TEXT,__text) external _apr_pool_parent_get
000000020ce8e5d4 (__TEXT,__text) external _apr_pool_pre_cleanup_register
000000020ce8d7f0 (__TEXT,__text) external _apr_pool_tag
000000020ce8d7f8 (__TEXT,__text) external _apr_pool_terminate
000000020ce8e59c (__TEXT,__text) external _apr_pool_userdata_get
000000020ce8e3e4 (__TEXT,__text) external _apr_pool_userdata_set
000000020ce8e50c (__TEXT,__text) external _apr_pool_userdata_setn
000000020ce96e10 (__TEXT,__text) external _apr_proc_create
000000020ce976e4 (__TEXT,__text) external _apr_proc_detach
000000020ce96ce8 (__TEXT,__text) external _apr_proc_fork
000000020ce977cc (__TEXT,__text) external _apr_proc_kill
000000020ce8c19c (__TEXT,__text) external _apr_proc_mutex_child_init
000000020ce8c064 (__TEXT,__text) external _apr_proc_mutex_cleanup
000000020ce8c0f4 (__TEXT,__text) external _apr_proc_mutex_create
000000020ce8c0dc (__TEXT,__text) external _apr_proc_mutex_defname
000000020ce8c048 (__TEXT,__text) external _apr_proc_mutex_destroy
000000020ce8c1b8 (__TEXT,__text) external _apr_proc_mutex_lock
000000020ce8c1dc (__TEXT,__text) external _apr_proc_mutex_lockfile
000000020ce8c0e8 (__TEXT,__text) external _apr_proc_mutex_name
000000020ce8c20c (__TEXT,__text) external _apr_proc_mutex_pool_get
000000020ce8c1c4 (__TEXT,__text) external _apr_proc_mutex_trylock
000000020ce8c070 (__TEXT,__text) external _apr_proc_mutex_unix_setup_lock
000000020ce8c1d0 (__TEXT,__text) external _apr_proc_mutex_unlock
000000020ce8f810 (__TEXT,__text) external _apr_proc_other_child_alert
000000020ce8f86c (__TEXT,__text) external _apr_proc_other_child_refresh
000000020ce8f904 (__TEXT,__text) external _apr_proc_other_child_refresh_all
000000020ce8f628 (__TEXT,__text) external _apr_proc_other_child_register
000000020ce8f758 (__TEXT,__text) external _apr_proc_other_child_unregister
000000020ce973bc (__TEXT,__text) external _apr_proc_spawn
000000020ce97598 (__TEXT,__text) external _apr_proc_wait
000000020ce9758c (__TEXT,__text) external _apr_proc_wait_all_procs
000000020ce96d68 (__TEXT,__text) external _apr_procattr_addrspace_set
000000020ce96b6c (__TEXT,__text) external _apr_procattr_child_err_set
000000020ce96d50 (__TEXT,__text) external _apr_procattr_child_errfn_set
000000020ce96914 (__TEXT,__text) external _apr_procattr_child_in_set
000000020ce96a40 (__TEXT,__text) external _apr_procattr_child_out_set
000000020ce96cd0 (__TEXT,__text) external _apr_procattr_cmdtype_set
000000020ce96780 (__TEXT,__text) external _apr_procattr_create
000000020ce96cdc (__TEXT,__text) external _apr_procattr_detach_set
000000020ce96c98 (__TEXT,__text) external _apr_procattr_dir_set
000000020ce96d5c (__TEXT,__text) external _apr_procattr_error_check_set
000000020ce96dd8 (__TEXT,__text) external _apr_procattr_group_set
000000020ce967f4 (__TEXT,__text) external _apr_procattr_io_set
000000020ce97680 (__TEXT,__text) external _apr_procattr_limit_set
000000020ce96d70 (__TEXT,__text) external _apr_procattr_user_set
000000020ce8e370 (__TEXT,__text) external _apr_psprintf
000000020ce845fc (__TEXT,__text) external _apr_pstrcat
000000020ce84730 (__TEXT,__text) external _apr_pstrcatv
000000020ce84474 (__TEXT,__text) external _apr_pstrdup
000000020ce845a4 (__TEXT,__text) external _apr_pstrmemdup
000000020ce8452c (__TEXT,__text) external _apr_pstrndup
000000020ce81190 (__TEXT,__text) external _apr_punescape_entity
000000020ce81800 (__TEXT,__text) external _apr_punescape_hex
000000020ce804a0 (__TEXT,__text) external _apr_punescape_url
000000020ce8df48 (__TEXT,__text) external _apr_pvsprintf
000000020ce9552c (__TEXT,__text) external _apr_random_add_entropy
000000020ce95420 (__TEXT,__text) external _apr_random_after_fork
000000020ce95980 (__TEXT,__text) external _apr_random_barrier
000000020ce95274 (__TEXT,__text) external _apr_random_init
000000020ce95954 (__TEXT,__text) external _apr_random_insecure_bytes
000000020ce959ac (__TEXT,__text) external _apr_random_insecure_ready
000000020ce95824 (__TEXT,__text) external _apr_random_secure_bytes
000000020ce95998 (__TEXT,__text) external _apr_random_secure_ready
000000020ce954bc (__TEXT,__text) external _apr_random_standard_new
000000020ce98248 (__TEXT,__text) external _apr_rfc822_date
000000020ce97910 (__TEXT,__text) external _apr_setup_signal_thread
000000020ce964ac (__TEXT,__text) external _apr_shm_attach
000000020ce96630 (__TEXT,__text) external _apr_shm_attach_ex
000000020ce9667c (__TEXT,__text) external _apr_shm_baseaddr_get
000000020ce960a4 (__TEXT,__text) external _apr_shm_create
000000020ce963c4 (__TEXT,__text) external _apr_shm_create_ex
000000020ce96490 (__TEXT,__text) external _apr_shm_destroy
000000020ce96634 (__TEXT,__text) external _apr_shm_detach
000000020ce9668c (__TEXT,__text) external _apr_shm_pool_get
000000020ce963c8 (__TEXT,__text) external _apr_shm_remove
000000020ce96684 (__TEXT,__text) external _apr_shm_size_get
000000020ce97800 (__TEXT,__text) external _apr_signal
000000020ce97954 (__TEXT,__text) external _apr_signal_block
000000020ce97898 (__TEXT,__text) external _apr_signal_description_get
000000020ce97894 (__TEXT,__text) external _apr_signal_init
000000020ce978b8 (__TEXT,__text) external _apr_signal_thread
000000020ce979a4 (__TEXT,__text) external _apr_signal_unblock
000000020ce85a84 (__TEXT,__text) external _apr_skiplist_add_index
000000020ce8574c (__TEXT,__text) external _apr_skiplist_alloc
000000020ce863ec (__TEXT,__text) external _apr_skiplist_destroy
000000020ce85bb4 (__TEXT,__text) external _apr_skiplist_find
000000020ce85c00 (__TEXT,__text) external _apr_skiplist_find_compare
000000020ce8589c (__TEXT,__text) external _apr_skiplist_free
000000020ce85bc4 (__TEXT,__text) external _apr_skiplist_getlist
000000020ce85910 (__TEXT,__text) external _apr_skiplist_init
000000020ce85bbc (__TEXT,__text) external _apr_skiplist_insert
000000020ce85d58 (__TEXT,__text) external _apr_skiplist_insert_compare
000000020ce864b4 (__TEXT,__text) external _apr_skiplist_merge
000000020ce85bdc (__TEXT,__text) external _apr_skiplist_next
000000020ce863cc (__TEXT,__text) external _apr_skiplist_peek
000000020ce86388 (__TEXT,__text) external _apr_skiplist_pop
000000020ce85d34 (__TEXT,__text) external _apr_skiplist_previous
000000020ce862f4 (__TEXT,__text) external _apr_skiplist_remove
000000020ce862fc (__TEXT,__text) external _apr_skiplist_remove_all
000000020ce86134 (__TEXT,__text) external _apr_skiplist_remove_compare
000000020ce85a3c (__TEXT,__text) external _apr_skiplist_set_compare
000000020ce981dc (__TEXT,__text) external _apr_sleep
000000020ce840fc (__TEXT,__text) external _apr_snprintf
000000020ce917f4 (__TEXT,__text) external _apr_sockaddr_equal
000000020ce91560 (__TEXT,__text) external _apr_sockaddr_info_get
000000020ce91188 (__TEXT,__text) external _apr_sockaddr_ip_get
000000020ce910dc (__TEXT,__text) external _apr_sockaddr_ip_getbuf
000000020ce918d8 (__TEXT,__text) external _apr_sockaddr_is_wildcard
000000020ce911d4 (__TEXT,__text) external _apr_sockaddr_vars_set
000000020ce92424 (__TEXT,__text) external _apr_socket_accept
000000020ce9123c (__TEXT,__text) external _apr_socket_addr_get
000000020ce9327c (__TEXT,__text) external _apr_socket_atmark
000000020ce91f7c (__TEXT,__text) external _apr_socket_atreadeof
000000020ce92388 (__TEXT,__text) external _apr_socket_bind
000000020ce9236c (__TEXT,__text) external _apr_socket_close
000000020ce926cc (__TEXT,__text) external _apr_socket_connect
000000020ce920bc (__TEXT,__text) external _apr_socket_create
000000020ce92870 (__TEXT,__text) external _apr_socket_data_get
000000020ce928d0 (__TEXT,__text) external _apr_socket_data_set
000000020ce92b24 (__TEXT,__text) external _apr_socket_inherit_set
000000020ce92bd8 (__TEXT,__text) external _apr_socket_inherit_unset
000000020ce923f0 (__TEXT,__text) external _apr_socket_listen
000000020ce93264 (__TEXT,__text) external _apr_socket_opt_get
000000020ce92dd0 (__TEXT,__text) external _apr_socket_opt_set
000000020ce92b1c (__TEXT,__text) external _apr_socket_pool_get
000000020ce920ac (__TEXT,__text) external _apr_socket_protocol_get
000000020ce90998 (__TEXT,__text) external _apr_socket_recv
000000020ce90bfc (__TEXT,__text) external _apr_socket_recvfrom
000000020ce90868 (__TEXT,__text) external _apr_socket_send
000000020ce90ed0 (__TEXT,__text) external _apr_socket_sendfile
000000020ce90ad4 (__TEXT,__text) external _apr_socket_sendto
000000020ce90d70 (__TEXT,__text) external _apr_socket_sendv
000000020ce92338 (__TEXT,__text) external _apr_socket_shutdown
000000020ce93254 (__TEXT,__text) external _apr_socket_timeout_get
000000020ce92c80 (__TEXT,__text) external _apr_socket_timeout_set
000000020ce92860 (__TEXT,__text) external _apr_socket_type_get
000000020ce899d0 (__TEXT,__text) external _apr_stat
000000020ce8e918 (__TEXT,__text) external _apr_strerror
000000020ce84a38 (__TEXT,__text) external _apr_strfsize
