00007ffb043a35c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb043a22ee (__TEXT,__text) external _glBlendColorEXT
00007ffb0439bc85 (__TEXT,__text) external _glBlendEquation
00007ffb043a2308 (__TEXT,__text) external _glBlendEquationEXT
00007ffb0439dc3c (__TEXT,__text) external _glBlendEquationSeparate
00007ffb043a3439 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffb043a2324 (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffb0439f60a (__TEXT,__text) external _glBlendEquationSeparatei
00007ffb043a1c90 (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffb0439f5ec (__TEXT,__text) external _glBlendEquationi
00007ffb043a1c72 (__TEXT,__text) external _glBlendEquationiARB
00007ffb0439950c (__TEXT,__text) external _glBlendFunc
00007ffb0439cbc6 (__TEXT,__text) external _glBlendFuncSeparate
00007ffb043a227c (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffb0439f64c (__TEXT,__text) external _glBlendFuncSeparatei
00007ffb043a1cd2 (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffb0439f62b (__TEXT,__text) external _glBlendFunci
00007ffb043a1cb1 (__TEXT,__text) external _glBlendFunciARB
00007ffb0439df6a (__TEXT,__text) external _glBlitFramebuffer
00007ffb043a257a (__TEXT,__text) external _glBlitFramebufferEXT
00007ffb0439cf78 (__TEXT,__text) external _glBufferData
00007ffb043a1543 (__TEXT,__text) external _glBufferDataARB
00007ffb043a32e2 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffb0439cf9e (__TEXT,__text) external _glBufferSubData
00007ffb043a1569 (__TEXT,__text) external _glBufferSubDataARB
00007ffb04399527 (__TEXT,__text) external _glCallList
00007ffb04399540 (__TEXT,__text) external _glCallLists
00007ffb0439de68 (__TEXT,__text) external _glCheckFramebufferStatus
00007ffb043a2478 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffb0439e25e (__TEXT,__text) external _glClampColor
00007ffb043a1bd1 (__TEXT,__text) external _glClampColorARB
00007ffb0439955e (__TEXT,__text) external _glClear
00007ffb04399577 (__TEXT,__text) external _glClearAccum
00007ffb0439e807 (__TEXT,__text) external _glClearBufferfi
00007ffb0439e7e5 (__TEXT,__text) external _glClearBufferfv
00007ffb0439e7a1 (__TEXT,__text) external _glClearBufferiv
00007ffb0439e7c3 (__TEXT,__text) external _glClearBufferuiv
00007ffb0439958e (__TEXT,__text) external _glClearColor
00007ffb043a2c83 (__TEXT,__text) external _glClearColorIiEXT
00007ffb043a2ca7 (__TEXT,__text) external _glClearColorIuiEXT
00007ffb043995a5 (__TEXT,__text) external _glClearDepth
00007ffb0439f6f1 (__TEXT,__text) external _glClearDepthf
00007ffb043995bc (__TEXT,__text) external _glClearIndex
00007ffb043995d3 (__TEXT,__text) external _glClearStencil
00007ffb0439c283 (__TEXT,__text) external _glClientActiveTexture
00007ffb043a0b93 (__TEXT,__text) external _glClientActiveTextureARB
00007ffb0439eb2c (__TEXT,__text) external _glClientWaitSync
00007ffb043995ef (__TEXT,__text) external _glClipPlane
00007ffb0439960e (__TEXT,__text) external _glColor3b
00007ffb0439962e (__TEXT,__text) external _glColor3bv
00007ffb0439964b (__TEXT,__text) external _glColor3d
00007ffb04399665 (__TEXT,__text) external _glColor3dv
00007ffb04399682 (__TEXT,__text) external _glColor3f
00007ffb0439969c (__TEXT,__text) external _glColor3fv
00007ffb043996b9 (__TEXT,__text) external _glColor3i
00007ffb043996d9 (__TEXT,__text) external _glColor3iv
00007ffb043996f6 (__TEXT,__text) external _glColor3s
00007ffb04399716 (__TEXT,__text) external _glColor3sv
00007ffb04399733 (__TEXT,__text) external _glColor3ub
00007ffb04399753 (__TEXT,__text) external _glColor3ubv
00007ffb04399770 (__TEXT,__text) external _glColor3ui
00007ffb04399790 (__TEXT,__text) external _glColor3uiv
00007ffb043997ad (__TEXT,__text) external _glColor3us
00007ffb043997cd (__TEXT,__text) external _glColor3usv
00007ffb043997ea (__TEXT,__text) external _glColor4b
00007ffb0439980d (__TEXT,__text) external _glColor4bv
00007ffb0439982a (__TEXT,__text) external _glColor4d
00007ffb04399844 (__TEXT,__text) external _glColor4dv
00007ffb04399861 (__TEXT,__text) external _glColor4f
00007ffb0439987b (__TEXT,__text) external _glColor4fv
00007ffb04399898 (__TEXT,__text) external _glColor4i
00007ffb043998bb (__TEXT,__text) external _glColor4iv
00007ffb043998d8 (__TEXT,__text) external _glColor4s
00007ffb043998fb (__TEXT,__text) external _glColor4sv
00007ffb04399918 (__TEXT,__text) external _glColor4ub
00007ffb0439993b (__TEXT,__text) external _glColor4ubv
00007ffb04399958 (__TEXT,__text) external _glColor4ui
00007ffb0439997b (__TEXT,__text) external _glColor4uiv
00007ffb04399998 (__TEXT,__text) external _glColor4us
00007ffb043999bb (__TEXT,__text) external _glColor4usv
00007ffb043999d8 (__TEXT,__text) external _glColorMask
00007ffb043a2d53 (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffb0439e0c9 (__TEXT,__text) external _glColorMaski
00007ffb043999fb (__TEXT,__text) external _glColorMaterial
00007ffb04399a19 (__TEXT,__text) external _glColorPointer
00007ffb0439beba (__TEXT,__text) external _glColorSubTable
00007ffb043a1f16 (__TEXT,__text) external _glColorSubTableEXT
00007ffb0439bdb3 (__TEXT,__text) external _glColorTable
00007ffb043a1ee2 (__TEXT,__text) external _glColorTableEXT
00007ffb0439bde7 (__TEXT,__text) external _glColorTableParameterfv
00007ffb0439be09 (__TEXT,__text) external _glColorTableParameteriv
00007ffb043a3558 (__TEXT,__text) external _glCombinerInputNV
00007ffb043a355e (__TEXT,__text) external _glCombinerOutputNV
00007ffb043a3546 (__TEXT,__text) external _glCombinerParameterfNV
00007ffb043a3540 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffb043a3552 (__TEXT,__text) external _glCombinerParameteriNV
00007ffb043a354c (__TEXT,__text) external _glCombinerParameterivNV
00007ffb043a358e (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffb0439d65d (__TEXT,__text) external _glCompileShader
00007ffb043a16ce (__TEXT,__text) external _glCompileShaderARB
00007ffb043a1d40 (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffb0439c78b (__TEXT,__text) external _glCompressedTexImage1D
00007ffb043a109b (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffb0439c751 (__TEXT,__text) external _glCompressedTexImage2D
00007ffb043a1061 (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffb0439c713 (__TEXT,__text) external _glCompressedTexImage3D
00007ffb043a1023 (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffb0439c84a (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffb043a115a (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffb0439c80c (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffb043a111c (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffb0439c7bb (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffb043a10cb (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffb0439bf15 (__TEXT,__text) external _glConvolutionFilter1D
00007ffb0439bf49 (__TEXT,__text) external _glConvolutionFilter2D
00007ffb0439bf79 (__TEXT,__text) external _glConvolutionParameterf
00007ffb0439bf97 (__TEXT,__text) external _glConvolutionParameterfv
00007ffb0439bfb9 (__TEXT,__text) external _glConvolutionParameteri
00007ffb0439bfda (__TEXT,__text) external _glConvolutionParameteriv
00007ffb0439e846 (__TEXT,__text) external _glCopyBufferSubData
00007ffb0439beee (__TEXT,__text) external _glCopyColorSubTable
00007ffb0439be2b (__TEXT,__text) external _glCopyColorTable
00007ffb0439bffc (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffb0439c023 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffb04399a3c (__TEXT,__text) external _glCopyPixels
00007ffb04399a62 (__TEXT,__text) external _glCopyTexImage1D
00007ffb04399a95 (__TEXT,__text) external _glCopyTexImage2D
00007ffb04399ad4 (__TEXT,__text) external _glCopyTexSubImage1D
00007ffb04399b08 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffb0439bd70 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffb0439d67c (__TEXT,__text) external _glCreateProgram
00007ffb043a16eb (__TEXT,__text) external _glCreateProgramObjectARB
00007ffb0439d619 (__TEXT,__text) external _glCreateShader
00007ffb043a168c (__TEXT,__text) external _glCreateShaderObjectARB
00007ffb0439f7b8 (__TEXT,__text) external _glCreateShaderProgramv
00007ffb04399b47 (__TEXT,__text) external _glCullFace
00007ffb0439cf1e (__TEXT,__text) external _glDeleteBuffers
00007ffb043a14e9 (__TEXT,__text) external _glDeleteBuffersARB
00007ffb043a303f (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffb0439de2a (__TEXT,__text) external _glDeleteFramebuffers
00007ffb043a243a (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffb04399b63 (__TEXT,__text) external _glDeleteLists
00007ffb043a1d21 (__TEXT,__text) external _glDeleteNamedStringARB
00007ffb043a1633 (__TEXT,__text) external _glDeleteObjectARB
00007ffb0439d6f6 (__TEXT,__text) external _glDeleteProgram
00007ffb0439f7f6 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffb043a027b (__TEXT,__text) external _glDeleteProgramsARB
00007ffb0439ce25 (__TEXT,__text) external _glDeleteQueries
00007ffb043a13f0 (__TEXT,__text) external _glDeleteQueriesARB
00007ffb0439dd6c (__TEXT,__text) external _glDeleteRenderbuffers
00007ffb043a237c (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffb0439ed2b (__TEXT,__text) external _glDeleteSamplers
00007ffb0439d5d5 (__TEXT,__text) external _glDeleteShader
00007ffb0439eb0f (__TEXT,__text) external _glDeleteSync
00007ffb04399b81 (__TEXT,__text) external _glDeleteTextures
00007ffb0439f4a8 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffb0439e06f (__TEXT,__text) external _glDeleteVertexArrays
00007ffb043a3182 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffb043a1ec8 (__TEXT,__text) external _glDepthBoundsEXT
00007ffb04399ba0 (__TEXT,__text) external _glDepthFunc
00007ffb04399bbc (__TEXT,__text) external _glDepthMask
00007ffb04399bd8 (__TEXT,__text) external _glDepthRange
00007ffb043a01db (__TEXT,__text) external _glDepthRangeArrayv
00007ffb043a01fd (__TEXT,__text) external _glDepthRangeIndexed
00007ffb0439f6d7 (__TEXT,__text) external _glDepthRangef
00007ffb043a166c (__TEXT,__text) external _glDetachObjectARB
00007ffb0439d5f4 (__TEXT,__text) external _glDetachShader
00007ffb04399bf2 (__TEXT,__text) external _glDisable
00007ffb04399c0e (__TEXT,__text) external _glDisableClientState
00007ffb043a2d98 (__TEXT,__text) external _glDisableIndexedEXT
00007ffb043a2ef2 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffb0439d531 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffb043a077f (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffb0439e152 (__TEXT,__text) external _glDisablei
00007ffb04399c2a (__TEXT,__text) external _glDrawArrays
00007ffb0439f073 (__TEXT,__text) external _glDrawArraysIndirect
00007ffb0439e96d (__TEXT,__text) external _glDrawArraysInstanced
00007ffb043a1c0d (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffb04399c4b (__TEXT,__text) external _glDrawBuffer
00007ffb0439d068 (__TEXT,__text) external _glDrawBuffers
00007ffb043a1bb2 (__TEXT,__text) external _glDrawBuffersARB
00007ffb043a31fb (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffb04399c67 (__TEXT,__text) external _glDrawElements
00007ffb0439e9f5 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffb0439f092 (__TEXT,__text) external _glDrawElementsIndirect
00007ffb0439e991 (__TEXT,__text) external _glDrawElementsInstanced
00007ffb043a1c31 (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffb0439ea4f (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffb04399c8b (__TEXT,__text) external _glDrawPixels
00007ffb043a321c (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffb0439bca1 (__TEXT,__text) external _glDrawRangeElements
00007ffb0439ea1c (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffb043a2248 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffb0439f530 (__TEXT,__text) external _glDrawTransformFeedback
00007ffb0439f54e (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffb04399cb2 (__TEXT,__text) external _glEdgeFlag
00007ffb04399cce (__TEXT,__text) external _glEdgeFlagPointer
00007ffb04399ced (__TEXT,__text) external _glEdgeFlagv
00007ffb043a31dc (__TEXT,__text) external _glElementPointerAPPLE
00007ffb04399d0a (__TEXT,__text) external _glEnable
00007ffb04399d26 (__TEXT,__text) external _glEnableClientState
00007ffb043a2d7a (__TEXT,__text) external _glEnableIndexedEXT
00007ffb043a2ed4 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffb0439d515 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffb043a0763 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffb0439e134 (__TEXT,__text) external _glEnablei
00007ffb04399d42 (__TEXT,__text) external _glEnd
00007ffb0439e29a (__TEXT,__text) external _glEndConditionalRender
00007ffb043a34d5 (__TEXT,__text) external _glEndConditionalRenderNV
00007ffb04399d59 (__TEXT,__text) external _glEndList
00007ffb0439ce7e (__TEXT,__text) external _glEndQuery
00007ffb043a1449 (__TEXT,__text) external _glEndQueryARB
00007ffb0439f590 (__TEXT,__text) external _glEndQueryIndexed
00007ffb0439e1aa (__TEXT,__text) external _glEndTransformFeedback
00007ffb043a270e (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffb04399d70 (__TEXT,__text) external _glEvalCoord1d
00007ffb04399d8a (__TEXT,__text) external _glEvalCoord1dv
00007ffb04399da7 (__TEXT,__text) external _glEvalCoord1f
00007ffb04399dc1 (__TEXT,__text) external _glEvalCoord1fv
00007ffb04399dde (__TEXT,__text) external _glEvalCoord2d
00007ffb04399df8 (__TEXT,__text) external _glEvalCoord2dv
00007ffb04399e15 (__TEXT,__text) external _glEvalCoord2f
00007ffb04399e2f (__TEXT,__text) external _glEvalCoord2fv
00007ffb04399e4c (__TEXT,__text) external _glEvalMesh1
00007ffb04399e6d (__TEXT,__text) external _glEvalMesh2
00007ffb04399e94 (__TEXT,__text) external _glEvalPoint1
00007ffb04399eb0 (__TEXT,__text) external _glEvalPoint2
00007ffb04399ece (__TEXT,__text) external _glFeedbackBuffer
00007ffb0439ead4 (__TEXT,__text) external _glFenceSync
00007ffb043a3564 (__TEXT,__text) external _glFinalCombinerInputNV
00007ffb04399ef0 (__TEXT,__text) external _glFinish
00007ffb043a30b2 (__TEXT,__text) external _glFinishFenceAPPLE
00007ffb043a30ec (__TEXT,__text) external _glFinishObjectAPPLE
00007ffb043a32b4 (__TEXT,__text) external _glFinishRenderAPPLE
00007ffb04399f07 (__TEXT,__text) external _glFlush
00007ffb0439e030 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffb043a3303 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffb043a329d (__TEXT,__text) external _glFlushRenderAPPLE
00007ffb043a3129 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffb0439c926 (__TEXT,__text) external _glFogCoordPointer
00007ffb043a2226 (__TEXT,__text) external _glFogCoordPointerEXT
00007ffb0439c8ef (__TEXT,__text) external _glFogCoordd
00007ffb043a21ef (__TEXT,__text) external _glFogCoorddEXT
00007ffb0439c909 (__TEXT,__text) external _glFogCoorddv
00007ffb043a2209 (__TEXT,__text) external _glFogCoorddvEXT
00007ffb0439c8b8 (__TEXT,__text) external _glFogCoordf
00007ffb043a21b8 (__TEXT,__text) external _glFogCoordfEXT
00007ffb0439c8d2 (__TEXT,__text) external _glFogCoordfv
00007ffb043a21d2 (__TEXT,__text) external _glFogCoordfvEXT
00007ffb04399f1e (__TEXT,__text) external _glFogf
00007ffb04399f3a (__TEXT,__text) external _glFogfv
00007ffb04399f59 (__TEXT,__text) external _glFogi
00007ffb04399f77 (__TEXT,__text) external _glFogiv
00007ffb0439df06 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffb043a2516 (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffb0439eca5 (__TEXT,__text) external _glFramebufferTexture
00007ffb0439de84 (__TEXT,__text) external _glFramebufferTexture1D
00007ffb043a2494 (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffb0439deab (__TEXT,__text) external _glFramebufferTexture2D
00007ffb043a24bb (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffb0439ded2 (__TEXT,__text) external _glFramebufferTexture3D
00007ffb043a24e2 (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffb043a2614 (__TEXT,__text) external _glFramebufferTextureEXT
00007ffb043a265f (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffb0439dfe3 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffb043a2638 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffb04399f96 (__TEXT,__text) external _glFrontFace
00007ffb04399fb2 (__TEXT,__text) external _glFrustum
00007ffb0439cf3d (__TEXT,__text) external _glGenBuffers
00007ffb043a1508 (__TEXT,__text) external _glGenBuffersARB
00007ffb043a3020 (__TEXT,__text) external _glGenFencesAPPLE
00007ffb0439de49 (__TEXT,__text) external _glGenFramebuffers
00007ffb043a2459 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffb04399fcc (__TEXT,__text) external _glGenLists
00007ffb0439f815 (__TEXT,__text) external _glGenProgramPipelines
00007ffb043a029a (__TEXT,__text) external _glGenProgramsARB
00007ffb0439ce06 (__TEXT,__text) external _glGenQueries
00007ffb043a13d1 (__TEXT,__text) external _glGenQueriesARB
00007ffb0439dd8b (__TEXT,__text) external _glGenRenderbuffers
00007ffb043a239b (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffb0439ed0c (__TEXT,__text) external _glGenSamplers
00007ffb04399fe8 (__TEXT,__text) external _glGenTextures
00007ffb0439f4c7 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffb0439e08e (__TEXT,__text) external _glGenVertexArrays
00007ffb043a31a1 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffb0439df4e (__TEXT,__text) external _glGenerateMipmap
00007ffb043a255e (__TEXT,__text) external _glGenerateMipmapEXT
00007ffb0439db81 (__TEXT,__text) external _glGetActiveAttrib
00007ffb043a1b61 (__TEXT,__text) external _glGetActiveAttribARB
00007ffb0439f3b1 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffb0439f37d (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffb0439f356 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffb0439dab7 (__TEXT,__text) external _glGetActiveUniform
00007ffb043a1aa1 (__TEXT,__text) external _glGetActiveUniformARB
00007ffb0439e925 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffb0439e901 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffb0439e8bb (__TEXT,__text) external _glGetActiveUniformName
00007ffb0439e893 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffb043a1a5b (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffb0439da26 (__TEXT,__text) external _glGetAttachedShaders
00007ffb0439dbb4 (__TEXT,__text) external _glGetAttribLocation
00007ffb043a1b92 (__TEXT,__text) external _glGetAttribLocationARB
00007ffb043a279c (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffb0439e0f0 (__TEXT,__text) external _glGetBooleani_v
00007ffb0439a007 (__TEXT,__text) external _glGetBooleanv
00007ffb0439ec83 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffb0439d024 (__TEXT,__text) external _glGetBufferParameteriv
00007ffb043a15ef (__TEXT,__text) external _glGetBufferParameterivARB
00007ffb0439d046 (__TEXT,__text) external _glGetBufferPointerv
00007ffb043a1611 (__TEXT,__text) external _glGetBufferPointervARB
00007ffb0439cfc4 (__TEXT,__text) external _glGetBufferSubData
00007ffb043a158f (__TEXT,__text) external _glGetBufferSubDataARB
00007ffb0439a026 (__TEXT,__text) external _glGetClipPlane
00007ffb0439be52 (__TEXT,__text) external _glGetColorTable
00007ffb043a1f4a (__TEXT,__text) external _glGetColorTableEXT
00007ffb0439be76 (__TEXT,__text) external _glGetColorTableParameterfv
00007ffb043a1f6e (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffb0439be98 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffb043a1f90 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffb043a356a (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffb043a3570 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffb043a3576 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffb043a357c (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffb043a3594 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffb0439c87a (__TEXT,__text) external _glGetCompressedTexImage
00007ffb043a118a (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffb0439c057 (__TEXT,__text) external _glGetConvolutionFilter
00007ffb0439c07b (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffb0439c09d (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffb043a023b (__TEXT,__text) external _glGetDoublei_v
00007ffb0439a045 (__TEXT,__text) external _glGetDoublev
00007ffb0439a064 (__TEXT,__text) external _glGetError
00007ffb043a3582 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffb043a3588 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffb043a0219 (__TEXT,__text) external _glGetFloati_v
00007ffb0439a07b (__TEXT,__text) external _glGetFloatv
00007ffb0439eced (__TEXT,__text) external _glGetFragDataIndex
00007ffb0439e5e8 (__TEXT,__text) external _glGetFragDataLocation
00007ffb043a2c64 (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffb0439df2a (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffb043a253a (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffb043a1650 (__TEXT,__text) external _glGetHandleARB
00007ffb0439c130 (__TEXT,__text) external _glGetHistogram
00007ffb0439c157 (__TEXT,__text) external _glGetHistogramParameterfv
00007ffb0439c179 (__TEXT,__text) external _glGetHistogramParameteriv
00007ffb043a1a35 (__TEXT,__text) external _glGetInfoLogARB
00007ffb0439ec61 (__TEXT,__text) external _glGetInteger64i_v
00007ffb0439eb72 (__TEXT,__text) external _glGetInteger64v
00007ffb043a277a (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffb0439e112 (__TEXT,__text) external _glGetIntegeri_v
00007ffb0439a09a (__TEXT,__text) external _glGetIntegerv
00007ffb043a1dd1 (__TEXT,__text) external _glGetInternalformativ
00007ffb0439a0b9 (__TEXT,__text) external _glGetLightfv
00007ffb0439a0db (__TEXT,__text) external _glGetLightiv
00007ffb0439a0fd (__TEXT,__text) external _glGetMapdv
00007ffb0439a11f (__TEXT,__text) external _glGetMapfv
00007ffb0439a141 (__TEXT,__text) external _glGetMapiv
00007ffb0439a163 (__TEXT,__text) external _glGetMaterialfv
00007ffb0439a185 (__TEXT,__text) external _glGetMaterialiv
00007ffb0439c19b (__TEXT,__text) external _glGetMinmax
00007ffb0439c1c2 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffb0439c1e4 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffb0439ec21 (__TEXT,__text) external _glGetMultisamplefv
00007ffb043a1d84 (__TEXT,__text) external _glGetNamedStringARB
00007ffb043a1dac (__TEXT,__text) external _glGetNamedStringivARB
00007ffb043a2e58 (__TEXT,__text) external _glGetObjectLabelEXT
00007ffb043a19ef (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffb043a3368 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffb043a1a12 (__TEXT,__text) external _glGetObjectParameterivARB
00007ffb0439a1a7 (__TEXT,__text) external _glGetPixelMapfv
00007ffb0439a1c6 (__TEXT,__text) external _glGetPixelMapuiv
00007ffb0439a1e5 (__TEXT,__text) external _glGetPixelMapusv
00007ffb0439a204 (__TEXT,__text) external _glGetPointerv
00007ffb0439a223 (__TEXT,__text) external _glGetPolygonStipple
00007ffb0439f70b (__TEXT,__text) external _glGetProgramBinary
00007ffb043a096b (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00007ffb043a098d (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00007ffb0439da70 (__TEXT,__text) external _glGetProgramInfoLog
