00000001e6fca860 (__DATA,__data) external _NDR_record
0000000180414d3c (__TEXT,__text) external ___getlogin
000000018040d4b4 (__TEXT,__text) external ___getpeername
000000018040932c (__TEXT,__text) external ___getpid
000000018040b17c (__TEXT,__text) external ___getrlimit
0000000180415ed4 (__TEXT,__text) external ___getsgroups
00000001804109e4 (__TEXT,__text) external ___getsockname
000000018040a930 (__TEXT,__text) external ___gettid
000000018040cc34 (__TEXT,__text) external ___gettimeofday
000000018040cc08 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180415f00 (__TEXT,__text) external ___getwgroups
0000000180415f2c (__TEXT,__text) external ___guarded_open_dprotected_np
000000018040c66c (__TEXT,__text) external ___guarded_open_np
0000000180415f58 (__TEXT,__text) external ___identitysvc
000000018040c990 (__TEXT,__text) external ___inc_remove_counter
0000000180414d10 (__TEXT,__text) external ___initgroups
000000018040d2f4 (__TEXT,__text) external ___ioctl
000000018040d664 (__TEXT,__text) external ___iopolicysys
0000000180415f84 (__TEXT,__text) external ___kdebug_trace
000000018040b9d4 (__TEXT,__text) external ___kdebug_trace64
0000000180415fb0 (__TEXT,__text) external ___kdebug_trace_string
000000018040e9b4 (__TEXT,__text) external ___kdebug_typefilter
000000018043c968 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000018043c930 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180411004 (__TEXT,__text) external ___kill
000000018040f3c8 (__TEXT,__text) external ___kqueue_workloop_ctl
000000018040e8f0 (__TEXT,__text) external ___lchown
000000018040e9e0 (__TEXT,__text) external ___libkernel_init
0000000180418614 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
0000000180418524 (__TEXT,__text) external ___libkernel_init_late
000000018040ec84 (__TEXT,__text) external ___libkernel_platform_init
000000018040931c (__TEXT,__text) external ___libkernel_voucher_init
00000001804116a0 (__TEXT,__text) external ___listen
0000000180415fdc (__TEXT,__text) external ___log_data
000000018040a6d0 (__TEXT,__text) external ___lseek
000000018041759c (__TEXT,__text) external ___lstat
000000018040e760 (__TEXT,__text) external ___lstat64_extended
0000000180416008 (__TEXT,__text) external ___lstat_extended
0000000180416034 (__TEXT,__text) external ___mac_execve
0000000180416060 (__TEXT,__text) external ___mac_get_fd
000000018041608c (__TEXT,__text) external ___mac_get_file
00000001804160b8 (__TEXT,__text) external ___mac_get_link
00000001804160e4 (__TEXT,__text) external ___mac_get_mount
0000000180416110 (__TEXT,__text) external ___mac_get_pid
000000018041613c (__TEXT,__text) external ___mac_get_proc
0000000180416168 (__TEXT,__text) external ___mac_getfsstat
0000000180416194 (__TEXT,__text) external ___mac_mount
00000001804161c0 (__TEXT,__text) external ___mac_set_fd
00000001804161ec (__TEXT,__text) external ___mac_set_file
0000000180416218 (__TEXT,__text) external ___mac_set_link
0000000180411640 (__TEXT,__text) external ___mac_set_proc
000000018040a7dc (__TEXT,__text) external ___mac_syscall
0000000180416244 (__TEXT,__text) external ___mach_bridge_remote_time
0000000180416270 (__TEXT,__text) external ___mach_eventlink_signal
000000018041629c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001804162c8 (__TEXT,__text) external ___mach_eventlink_wait_until
00000001804162f4 (__TEXT,__text) external ___map_with_linking_np
0000000180416320 (__TEXT,__text) external ___memorystatus_available_memory
000000018041634c (__TEXT,__text) external ___microstackshot
0000000180416378 (__TEXT,__text) external ___mkdir_extended
00000001804163a4 (__TEXT,__text) external ___mkfifo_extended
0000000180409aa8 (__TEXT,__text) external ___mmap
000000018040cbdc (__TEXT,__text) external ___mprotect
00000001804163d0 (__TEXT,__text) external ___msgctl
00000001804163fc (__TEXT,__text) external ___msgrcv_nocancel
0000000180416428 (__TEXT,__text) external ___msgsnd_nocancel
0000000180416454 (__TEXT,__text) external ___msgsys
000000018040f338 (__TEXT,__text) external ___msync
0000000180416480 (__TEXT,__text) external ___msync_nocancel
000000018040c800 (__TEXT,__text) external ___munmap
00000001804164ac (__TEXT,__text) external ___nexus_create
00000001804164d8 (__TEXT,__text) external ___nexus_deregister
0000000180416504 (__TEXT,__text) external ___nexus_destroy
0000000180416530 (__TEXT,__text) external ___nexus_get_opt
000000018041655c (__TEXT,__text) external ___nexus_open
0000000180416588 (__TEXT,__text) external ___nexus_register
00000001804165b4 (__TEXT,__text) external ___nexus_set_opt
0000000180409848 (__TEXT,__text) external ___open
000000018040e7e8 (__TEXT,__text) external ___open_dprotected_np
000000018041534c (__TEXT,__text) external ___open_extended
00000001804099d8 (__TEXT,__text) external ___open_nocancel
000000018040a65c (__TEXT,__text) external ___openat
00000001804165e0 (__TEXT,__text) external ___openat_dprotected_np
000000018040e948 (__TEXT,__text) external ___openat_nocancel
00000001e6fca908 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180424894 (__TEXT,__text) external ___os_nexus_flow_add
000000018042491c (__TEXT,__text) external ___os_nexus_flow_del
0000000180424a6c (__TEXT,__text) external ___os_nexus_get_llink_info
00000001804246b4 (__TEXT,__text) external ___os_nexus_ifattach
00000001804247d4 (__TEXT,__text) external ___os_nexus_ifdetach
000000018040cd2c (__TEXT,__text) external ___persona
000000018040f364 (__TEXT,__text) external ___pipe
000000018041660c (__TEXT,__text) external ___poll_nocancel
00000001804100b0 (__TEXT,__text) external ___posix_spawn
0000000180416638 (__TEXT,__text) external ___pread_nocancel
0000000180416664 (__TEXT,__text) external ___preadv_nocancel
000000018040a1a4 (__TEXT,__text) external ___proc_info
0000000180416690 (__TEXT,__text) external ___proc_info_extended_id
0000000180410a5c (__TEXT,__text) external ___process_policy
000000018040f0c4 (__TEXT,__text) external ___pselect
00000001804166bc (__TEXT,__text) external ___pselect_nocancel
000000018040c610 (__TEXT,__text) external ___psynch_cvbroad
000000018040cc90 (__TEXT,__text) external ___psynch_cvclrprepost
000000018040da40 (__TEXT,__text) external ___psynch_cvsignal
000000018040c5e4 (__TEXT,__text) external ___psynch_cvwait
000000018040bc6c (__TEXT,__text) external ___psynch_mutexdrop
000000018040ba9c (__TEXT,__text) external ___psynch_mutexwait
00000001804166e8 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180416714 (__TEXT,__text) external ___psynch_rw_longrdlock
000000018040e264 (__TEXT,__text) external ___psynch_rw_rdlock
000000018040e238 (__TEXT,__text) external ___psynch_rw_unlock
0000000180416740 (__TEXT,__text) external ___psynch_rw_unlock2
000000018041676c (__TEXT,__text) external ___psynch_rw_upgrade
000000018040e20c (__TEXT,__text) external ___psynch_rw_wrlock
0000000180416798 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180415028 (__TEXT,__text) external ___pthread_canceled
000000018040fe30 (__TEXT,__text) external ___pthread_chdir
000000018040fe04 (__TEXT,__text) external ___pthread_fchdir
00000001804115e8 (__TEXT,__text) external ___pthread_kill
00000001804167c4 (__TEXT,__text) external ___pthread_markcancel
00000001804104d8 (__TEXT,__text) external ___pthread_sigmask
0000000180411a6c (__TEXT,__text) external ___ptrace
00000001804167f0 (__TEXT,__text) external ___pwrite_nocancel
000000018041681c (__TEXT,__text) external ___pwritev_nocancel
000000018040ad58 (__TEXT,__text) external ___read_nocancel
0000000180416848 (__TEXT,__text) external ___readv_nocancel
0000000180416874 (__TEXT,__text) external ___reboot
00000001804168a0 (__TEXT,__text) external ___record_system_event
000000018040d378 (__TEXT,__text) external ___recvfrom
000000018040d240 (__TEXT,__text) external ___recvfrom_nocancel
000000018040d7a8 (__TEXT,__text) external ___recvmsg
00000001804168cc (__TEXT,__text) external ___recvmsg_nocancel
00000001e82a3c98 (__DATA_DIRTY,__bss) non-external ___remove_counter
000000018040c964 (__TEXT,__text) external ___rename
00000001804168f8 (__TEXT,__text) external ___renameat
0000000180416924 (__TEXT,__text) external ___renameatx_np
000000018040c9d0 (__TEXT,__text) external ___rmdir
0000000180416034 (__TEXT,__text) external ___sandbox_me
0000000180416194 (__TEXT,__text) external ___sandbox_mm
000000018040a7dc (__TEXT,__text) external ___sandbox_ms
0000000180411640 (__TEXT,__text) external ___sandbox_msp
0000000180413ee0 (__TEXT,__text) external ___select
000000018040d214 (__TEXT,__text) external ___select_nocancel
0000000180412768 (__TEXT,__text) external ___sem_open
0000000180416950 (__TEXT,__text) external ___sem_wait_nocancel
000000018041697c (__TEXT,__text) external ___semctl
00000001804169a8 (__TEXT,__text) external ___semsys
000000018040c3e0 (__TEXT,__text) external ___semwait_signal
0000000180410504 (__TEXT,__text) external ___semwait_signal_nocancel
000000018040e974 (__TEXT,__text) external ___sendmsg
000000018040d298 (__TEXT,__text) external ___sendmsg_nocancel
000000018040d34c (__TEXT,__text) external ___sendto
000000018040d1b4 (__TEXT,__text) external ___sendto_nocancel
000000018040c560 (__TEXT,__text) external ___setattrlist
0000000180414ce4 (__TEXT,__text) external ___setlogin
0000000180411118 (__TEXT,__text) external ___setpriority
00000001804169d4 (__TEXT,__text) external ___setregid
0000000180416a00 (__TEXT,__text) external ___setreuid
000000018040bad0 (__TEXT,__text) external ___setrlimit
0000000180416a2c (__TEXT,__text) external ___setsgroups
00000001804124ec (__TEXT,__text) external ___settid
0000000180416a58 (__TEXT,__text) external ___settid_with_pid
0000000180416a84 (__TEXT,__text) external ___settimeofday
0000000180416ab0 (__TEXT,__text) external ___setwgroups
0000000180412800 (__TEXT,__text) external ___sfi_ctl
0000000180416adc (__TEXT,__text) external ___sfi_pidctl
0000000180416b08 (__TEXT,__text) external ___shared_region_check_np
0000000180416b34 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018040a604 (__TEXT,__text) external ___shm_open
0000000180416b60 (__TEXT,__text) external ___shmctl
0000000180416b8c (__TEXT,__text) external ___shmsys
000000018040f3f4 (__TEXT,__text) external ___sigaction
000000018040c4dc (__TEXT,__text) external ___sigaltstack
0000000180414830 (__TEXT,__text) external ___sigreturn
0000000180416bb8 (__TEXT,__text) external ___sigsuspend
000000018041053c (__TEXT,__text) external ___sigsuspend_nocancel
0000000180414888 (__TEXT,__text) external ___sigwait
000000018040d26c (__TEXT,__text) external ___socketpair
0000000180416be4 (__TEXT,__text) external ___stack_snapshot_with_config
0000000180417fec (__TEXT,__text) external ___stat
000000018040e708 (__TEXT,__text) external ___stat64_extended
0000000180416c10 (__TEXT,__text) external ___stat_extended
0000000180418018 (__TEXT,__text) external ___statfs
000000018040b1d4 (__TEXT,__text) external ___syscall
00000001e6fca8d8 (__DATA,__common) external ___syscall_logger
000000018040a504 (__TEXT,__text) external ___sysctl
000000018040a738 (__TEXT,__text) external ___sysctlbyname
0000000180416c3c (__TEXT,__text) external ___telemetry
000000018041365c (__TEXT,__text) external ___terminate_with_payload
000000018040ab78 (__TEXT,__text) external ___thread_selfid
0000000180416c68 (__TEXT,__text) external ___thread_selfusage
000000018040aba4 (__TEXT,__text) external ___ulock_wait
0000000180416c94 (__TEXT,__text) external ___ulock_wait2
000000018040ac78 (__TEXT,__text) external ___ulock_wake
0000000180416cc0 (__TEXT,__text) external ___umask_extended
000000018040cd84 (__TEXT,__text) external ___unlink
0000000180412b40 (__TEXT,__text) external ___unlinkat
0000000180416cec (__TEXT,__text) external ___vfork
0000000180410458 (__TEXT,__text) external ___wait4
0000000180415320 (__TEXT,__text) external ___wait4_nocancel
0000000180416d5c (__TEXT,__text) external ___waitid_nocancel
0000000180411c4c (__TEXT,__text) external ___work_interval_ctl
000000018040aa9c (__TEXT,__text) external ___workq_kernreturn
000000018040aac8 (__TEXT,__text) external ___workq_open
000000018040ccbc (__TEXT,__text) external ___write_nocancel
0000000180416d88 (__TEXT,__text) external ___writev_nocancel
00000001e6fca8cc (__DATA,__common) external __cpu_capabilities
00000001e6fca8d0 (__DATA,__common) external __cpu_has_altivec
00000001e82a35c8 (__DATA_DIRTY,__data) external __current_pid
00000001e82a3c70 (__DATA_DIRTY,__bss) non-external __dlsym
0000000180408ea0 (__TEXT,__text) external __exclaves_ctl_trap
0000000180419288 (__TEXT,__text) non-external __execve_with_filter
0000000180410568 (__TEXT,__text) external __exit
000000018040ec48 (__TEXT,__text) external __get_cpu_capabilities
00000001e6fca8f0 (__DATA,__bss) non-external __gethostuuid_callback
000000018041d288 (__TEXT,__text) external __getprivatesystemidentifier
000000018042a170 (__TEXT,__text) external __host_page_size
000000018040ec44 (__TEXT,__text) external __init_cpu_capabilities
000000018042b34c (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
000000018042c724 (__TEXT,__text) external __kernelrpc_mach_port_allocate
000000018042d3f8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000018042c604 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
000000018042d284 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180408c90 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018042efbc (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000018042e07c (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180408ce4 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
000000018042c99c (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180408c9c (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
000000018042c87c (__TEXT,__text) external __kernelrpc_mach_port_destroy
000000018042e1f0 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180408cf0 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
000000018042d9fc (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
000000018042ddec (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180408cd8 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180413070 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180413aa8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180408d98 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
000000018040e2fc (__TEXT,__text) external __kernelrpc_mach_port_get_context
000000018040c28c (__TEXT,__text) external __kernelrpc_mach_port_get_refs
000000018042ede0 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180414e90 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
000000018042d6a4 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
000000018042e310 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180408da4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000018042e800 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
000000018042dccc (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180408ccc (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018042d034 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180408cc0 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
000000018042ec88 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
000000018042db64 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
000000018042df0c (__TEXT,__text) external __kernelrpc_mach_port_kobject
000000018042ea48 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
000000018042cabc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180408ca8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
000000018042cf14 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180408cb4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
000000018042c320 (__TEXT,__text) external __kernelrpc_mach_port_names
000000018042cbdc (__TEXT,__text) external __kernelrpc_mach_port_peek
000000018042c4e4 (__TEXT,__text) external __kernelrpc_mach_port_rename
000000018040cddc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180408e94 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
000000018040b7c0 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180414d6c (__TEXT,__text) external __kernelrpc_mach_port_set_context
000000018042cdf4 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
000000018042d164 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
000000018042e554 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
000000018042d7fc (__TEXT,__text) external __kernelrpc_mach_port_space_info
000000018042e6a8 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
000000018042e924 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180411d4c (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180408e88 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
000000018042e434 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180408db0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180433364 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180433230 (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180436f3c (__TEXT,__text) external __kernelrpc_mach_task_is_self
000000018042f128 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180408c48 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018042f284 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180408c60 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
000000018040a1d0 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180408c84 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
000000018042f3a4 (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180408c78 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180430280 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180408c54 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
000000018042f5ec (__TEXT,__text) external __kernelrpc_mach_vm_read
000000018042fde0 (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180430720 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
000000018043b6e0 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
000000018042d584 (__TEXT,__text) external __kernelrpc_task_set_port_space
000000018040e04c (__TEXT,__text) external __kernelrpc_thread_policy
000000018040f1d8 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180439544 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001804150f8 (__TEXT,__text) external __kernelrpc_vm_map
000000018043aa94 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001804125dc (__TEXT,__text) external __kernelrpc_vm_read
000000018040b3c0 (__TEXT,__text) external __kernelrpc_vm_remap
000000018043abec (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180418688 (__TEXT,__text) non-external __libkernel_bzero
00000001e82a3c68 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001ed1dc938 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
000000018041871c (__TEXT,__text) non-external __libkernel_memmove
0000000180418694 (__TEXT,__text) non-external __libkernel_memset
0000000180418650 (__TEXT,__text) non-external __libkernel_strchr
000000018040ec5c (__TEXT,__text) non-external __libkernel_strcmp
0000000180418af4 (__TEXT,__text) non-external __libkernel_strcpy
00000001e82a35d0 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001804193cc (__TEXT,__text) non-external __libkernel_strlcpy
000000018041840c (__TEXT,__text) non-external __libkernel_strlen
00000001e82a35d8 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
000000018043c900 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000018041aaa0 (__TEXT,__text) non-external __mach_continuous_time
00000001e4d3d130 (__DATA_CONST,__const) external __mach_errors
000000018041affc (__TEXT,__text) external __mach_fork_child
000000018041ba78 (__TEXT,__text) external __mach_snprintf
000000018041b904 (__TEXT,__text) external __mach_vsnprintf
00000001e82a3620 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001e6fca8c4 (__DATA,__common) external __os_xbs_chrooted
000000018040f964 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180418b3c (__TEXT,__text) non-external __posix_spawn_with_filter
000000018041d28c (__TEXT,__text) external __register_gethostuuid_callback
0000000180418834 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00000001804188e0 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001e82a3c7c (__DATA_DIRTY,__bss) non-external __task_reply_port
0000000180418304 (__TEXT,__text) external __thread_set_tsd_base
000000018043bddc (__TEXT,__text) non-external _abort
000000018043be00 (__TEXT,__text) non-external _abort.561
000000018043be24 (__TEXT,__text) non-external _abort.563
000000018043be48 (__TEXT,__text) non-external _abort.580
000000018043bf18 (__TEXT,__text) external _abort_with_payload
000000018043be8c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
000000018043be6c (__TEXT,__text) external _abort_with_reason
00000001804116cc (__TEXT,__text) external _accept
0000000180415b90 (__TEXT,__text) external _accept$NOCANCEL
000000018040981c (__TEXT,__text) external _access
0000000180415bbc (__TEXT,__text) external _accessx_np
0000000180416db4 (__TEXT,__text) external _acct
0000000180437e78 (__TEXT,__text) external _act_get_state
00000001804380c4 (__TEXT,__text) external _act_set_state
0000000180416de0 (__TEXT,__text) external _adjtime
0000000180416e0c (__TEXT,__text) external _aio_cancel
0000000180416e38 (__TEXT,__text) external _aio_error
0000000180416e64 (__TEXT,__text) external _aio_fsync
0000000180416e90 (__TEXT,__text) external _aio_read
0000000180416ebc (__TEXT,__text) external _aio_return
0000000180416ee8 (__TEXT,__text) external _aio_suspend
0000000180415be8 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180416f14 (__TEXT,__text) external _aio_write
0000000180416f40 (__TEXT,__text) external _audit
000000018041485c (__TEXT,__text) external _audit_session_join
000000018041464c (__TEXT,__text) external _audit_session_port
000000018040d054 (__TEXT,__text) external _audit_session_self
0000000180416f6c (__TEXT,__text) external _auditctl
00000001804127c0 (__TEXT,__text) external _auditon
0000000180410b1c (__TEXT,__text) external _bind
00000001e82a35e4 (__DATA_DIRTY,__common) external _bootstrap_port
00000001804183ec (__TEXT,__text) non-external _bzero
000000018040a688 (__TEXT,__text) external _cerror
00000001804097b0 (__TEXT,__text) external _cerror_nocancel
000000018040cf90 (__TEXT,__text) external _change_fdguard_np
000000018040a808 (__TEXT,__text) external _chdir
0000000180411030 (__TEXT,__text) external _chflags
000000018040c9fc (__TEXT,__text) external _chmod
0000000180410af0 (__TEXT,__text) external _chown
0000000180416f98 (__TEXT,__text) external _chroot
0000000180426dd8 (__TEXT,__text) external _clock_alarm
0000000180426ba4 (__TEXT,__text) external _clock_alarm_reply
0000000180426c0c (__TEXT,__text) external _clock_get_attributes
000000018040e508 (__TEXT,__text) external _clock_get_time
0000000180426a4c (__TEXT,__text) external _clock_set_attributes
0000000180426930 (__TEXT,__text) external _clock_set_time
0000000180415054 (__TEXT,__text) external _clock_sleep
0000000180408e64 (__TEXT,__text) external _clock_sleep_trap
0000000180412f1c (__TEXT,__text) external _clonefile
000000018040dcfc (__TEXT,__text) external _clonefileat
0000000180409980 (__TEXT,__text) external _close
000000018040a630 (__TEXT,__text) external _close$NOCANCEL
0000000180423038 (__TEXT,__text) external _coalition_create
00000001804230e0 (__TEXT,__text) external _coalition_info_debug_info
00000001804230a8 (__TEXT,__text) external _coalition_info_resource_usage
0000000180423150 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180423118 (__TEXT,__text) external _coalition_info_set_name
000000018042318c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180423078 (__TEXT,__text) external _coalition_reap
0000000180423048 (__TEXT,__text) external _coalition_terminate
000000018040d320 (__TEXT,__text) external _connect
000000018040d188 (__TEXT,__text) external _connect$NOCANCEL
000000018040d3a4 (__TEXT,__text) external _connectx
000000018040a988 (__TEXT,__text) external _csops
0000000180409784 (__TEXT,__text) external _csops_audittoken
0000000180409874 (__TEXT,__text) external _csr_check
0000000180411a5c (__TEXT,__text) external _csr_get_active_config
0000000180408f00 (__TEXT,__text) external _debug_control_port_for_pid
000000018042337c (__TEXT,__text) external _debug_syscall_reject
000000018042326c (__TEXT,__text) external _debug_syscall_reject_config
00000001e6fca858 (__DATA,__data) external _denap_boost_assertion_token
0000000180416fc4 (__TEXT,__text) external _disconnectx
000000018040f730 (__TEXT,__text) non-external _do_compat
000000018040d454 (__TEXT,__text) external _dup
00000001804117bc (__TEXT,__text) external _dup2
00000001e4d3c5d0 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e4d3c460 (__DATA_CONST,__const) non-external _err_codes_env_mgr
