000000018246f8a8 (__DATA,__data) external _NDR_record
0000000180378b94 (__TEXT,__text) external ___getpeername
0000000180378bc0 (__TEXT,__text) external ___getpid
0000000180378c10 (__TEXT,__text) external ___getrlimit
0000000180378c3c (__TEXT,__text) external ___getsgroups
0000000180378c68 (__TEXT,__text) external ___getsockname
0000000180378c94 (__TEXT,__text) external ___gettid
0000000180378cec (__TEXT,__text) external ___gettimeofday
0000000180378cc0 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
0000000180378d1c (__TEXT,__text) external ___getwgroups
0000000180378d48 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000180378d74 (__TEXT,__text) external ___guarded_open_np
0000000180378da0 (__TEXT,__text) external ___identitysvc
000000018038c304 (__TEXT,__text) external ___inc_remove_counter
0000000180378dcc (__TEXT,__text) external ___initgroups
0000000180378df8 (__TEXT,__text) external ___ioctl
0000000180378e24 (__TEXT,__text) external ___iopolicysys
0000000180378e50 (__TEXT,__text) external ___kdebug_trace
0000000180378e7c (__TEXT,__text) external ___kdebug_trace64
0000000180378ea8 (__TEXT,__text) external ___kdebug_trace_string
0000000180378ed4 (__TEXT,__text) external ___kdebug_typefilter
00000001803a9a38 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001803a9a00 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
0000000180378f00 (__TEXT,__text) external ___kill
0000000180378f2c (__TEXT,__text) external ___kqueue_workloop_ctl
0000000180378f58 (__TEXT,__text) external ___lchown
000000018037d3c4 (__TEXT,__text) external ___libkernel_init
000000018037d478 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
000000018037d474 (__TEXT,__text) external ___libkernel_init_late
000000018037d200 (__TEXT,__text) external ___libkernel_platform_init
000000018037d224 (__TEXT,__text) external ___libkernel_voucher_init
0000000180378f84 (__TEXT,__text) external ___listen
0000000180378fb0 (__TEXT,__text) external ___log_data
0000000180378fdc (__TEXT,__text) external ___lseek
0000000180379008 (__TEXT,__text) external ___lstat64_extended
0000000180379034 (__TEXT,__text) external ___lstat_extended
0000000180379060 (__TEXT,__text) external ___mac_execve
000000018037908c (__TEXT,__text) external ___mac_get_fd
00000001803790b8 (__TEXT,__text) external ___mac_get_file
00000001803790e4 (__TEXT,__text) external ___mac_get_link
0000000180379110 (__TEXT,__text) external ___mac_get_mount
000000018037913c (__TEXT,__text) external ___mac_get_pid
0000000180379168 (__TEXT,__text) external ___mac_get_proc
0000000180379194 (__TEXT,__text) external ___mac_getfsstat
00000001803791c0 (__TEXT,__text) external ___mac_mount
00000001803791ec (__TEXT,__text) external ___mac_set_fd
0000000180379218 (__TEXT,__text) external ___mac_set_file
0000000180379244 (__TEXT,__text) external ___mac_set_link
0000000180379270 (__TEXT,__text) external ___mac_set_proc
000000018037929c (__TEXT,__text) external ___mac_syscall
00000001803792c8 (__TEXT,__text) external ___mach_bridge_remote_time
00000001803792f4 (__TEXT,__text) external ___mach_eventlink_signal
0000000180379320 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018037934c (__TEXT,__text) external ___mach_eventlink_wait_until
0000000180379378 (__TEXT,__text) external ___map_with_linking_np
00000001803793a4 (__TEXT,__text) external ___memorystatus_available_memory
00000001803793d0 (__TEXT,__text) external ___microstackshot
00000001803793fc (__TEXT,__text) external ___mkdir_extended
0000000180379428 (__TEXT,__text) external ___mkfifo_extended
0000000180379454 (__TEXT,__text) external ___mmap
0000000180379480 (__TEXT,__text) external ___mprotect
00000001803794ac (__TEXT,__text) external ___msgctl
00000001803794d8 (__TEXT,__text) external ___msgrcv_nocancel
0000000180379504 (__TEXT,__text) external ___msgsnd_nocancel
0000000180379530 (__TEXT,__text) external ___msgsys
000000018037955c (__TEXT,__text) external ___msync
0000000180379588 (__TEXT,__text) external ___msync_nocancel
00000001803795b4 (__TEXT,__text) external ___munmap
00000001803795e0 (__TEXT,__text) external ___nexus_create
000000018037960c (__TEXT,__text) external ___nexus_deregister
0000000180379638 (__TEXT,__text) external ___nexus_destroy
0000000180379664 (__TEXT,__text) external ___nexus_get_opt
0000000180379690 (__TEXT,__text) external ___nexus_open
00000001803796bc (__TEXT,__text) external ___nexus_register
00000001803796e8 (__TEXT,__text) external ___nexus_set_opt
0000000180379714 (__TEXT,__text) external ___open
0000000180379740 (__TEXT,__text) external ___open_dprotected_np
000000018037976c (__TEXT,__text) external ___open_extended
0000000180379798 (__TEXT,__text) external ___open_nocancel
00000001803797c4 (__TEXT,__text) external ___openat
00000001803797f0 (__TEXT,__text) external ___openat_dprotected_np
000000018037981c (__TEXT,__text) external ___openat_nocancel
000000018246ffc8 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
000000018038b87c (__TEXT,__text) external ___os_nexus_flow_add
000000018038b908 (__TEXT,__text) external ___os_nexus_flow_del
000000018038b994 (__TEXT,__text) external ___os_nexus_get_llink_info
000000018038b688 (__TEXT,__text) external ___os_nexus_ifattach
000000018038b7b4 (__TEXT,__text) external ___os_nexus_ifdetach
0000000180379848 (__TEXT,__text) external ___persona
0000000180379874 (__TEXT,__text) external ___pipe
00000001803798ac (__TEXT,__text) external ___poll_nocancel
00000001803798d8 (__TEXT,__text) external ___posix_spawn
0000000180379904 (__TEXT,__text) external ___pread_nocancel
0000000180379930 (__TEXT,__text) external ___preadv_nocancel
000000018037995c (__TEXT,__text) external ___proc_info
0000000180379988 (__TEXT,__text) external ___proc_info_extended_id
00000001803799b4 (__TEXT,__text) external ___process_policy
00000001803799e0 (__TEXT,__text) external ___pselect
0000000180379a0c (__TEXT,__text) external ___pselect_nocancel
0000000180379a38 (__TEXT,__text) external ___psynch_cvbroad
0000000180379a64 (__TEXT,__text) external ___psynch_cvclrprepost
0000000180379a90 (__TEXT,__text) external ___psynch_cvsignal
0000000180379abc (__TEXT,__text) external ___psynch_cvwait
0000000180379ae8 (__TEXT,__text) external ___psynch_mutexdrop
0000000180379b14 (__TEXT,__text) external ___psynch_mutexwait
0000000180379b40 (__TEXT,__text) external ___psynch_rw_downgrade
0000000180379b6c (__TEXT,__text) external ___psynch_rw_longrdlock
0000000180379b98 (__TEXT,__text) external ___psynch_rw_rdlock
0000000180379bc4 (__TEXT,__text) external ___psynch_rw_unlock
0000000180379bf0 (__TEXT,__text) external ___psynch_rw_unlock2
0000000180379c1c (__TEXT,__text) external ___psynch_rw_upgrade
0000000180379c48 (__TEXT,__text) external ___psynch_rw_wrlock
0000000180379c74 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180379ca0 (__TEXT,__text) external ___pthread_canceled
0000000180379ccc (__TEXT,__text) external ___pthread_chdir
0000000180379cf8 (__TEXT,__text) external ___pthread_fchdir
0000000180379d24 (__TEXT,__text) external ___pthread_kill
0000000180379d50 (__TEXT,__text) external ___pthread_markcancel
0000000180379d7c (__TEXT,__text) external ___pthread_sigmask
0000000180379da8 (__TEXT,__text) external ___ptrace
0000000180379de0 (__TEXT,__text) external ___pwrite_nocancel
0000000180379e0c (__TEXT,__text) external ___pwritev_nocancel
0000000180379e38 (__TEXT,__text) external ___read_nocancel
0000000180379e64 (__TEXT,__text) external ___readv_nocancel
0000000180379e90 (__TEXT,__text) external ___reboot
0000000180379ebc (__TEXT,__text) external ___record_system_event
0000000180379ee8 (__TEXT,__text) external ___recvfrom
0000000180379f14 (__TEXT,__text) external ___recvfrom_nocancel
0000000180379f40 (__TEXT,__text) external ___recvmsg
0000000180379f6c (__TEXT,__text) external ___recvmsg_nocancel
000000018246ffe8 (__DATA,__bss) non-external ___remove_counter
0000000180379f98 (__TEXT,__text) external ___rename
0000000180379fc4 (__TEXT,__text) external ___renameat
0000000180379ff0 (__TEXT,__text) external ___renameatx_np
000000018037a01c (__TEXT,__text) external ___rmdir
0000000180379060 (__TEXT,__text) external ___sandbox_me
00000001803791c0 (__TEXT,__text) external ___sandbox_mm
000000018037929c (__TEXT,__text) external ___sandbox_ms
0000000180379270 (__TEXT,__text) external ___sandbox_msp
000000018037a048 (__TEXT,__text) external ___select
000000018037a074 (__TEXT,__text) external ___select_nocancel
000000018037a0a0 (__TEXT,__text) external ___sem_open
000000018037a0cc (__TEXT,__text) external ___sem_wait_nocancel
000000018037a0f8 (__TEXT,__text) external ___semctl
000000018037a124 (__TEXT,__text) external ___semsys
000000018037a150 (__TEXT,__text) external ___semwait_signal
000000018037a17c (__TEXT,__text) external ___semwait_signal_nocancel
000000018037a1a8 (__TEXT,__text) external ___sendmsg
000000018037a1d4 (__TEXT,__text) external ___sendmsg_nocancel
000000018037a200 (__TEXT,__text) external ___sendto
000000018037a22c (__TEXT,__text) external ___sendto_nocancel
000000018037a258 (__TEXT,__text) external ___setattrlist
000000018037a284 (__TEXT,__text) external ___setlogin
000000018037a2b0 (__TEXT,__text) external ___setpriority
000000018037a2dc (__TEXT,__text) external ___setregid
000000018037a308 (__TEXT,__text) external ___setreuid
000000018037a334 (__TEXT,__text) external ___setrlimit
000000018037a360 (__TEXT,__text) external ___setsgroups
000000018037a38c (__TEXT,__text) external ___settid
000000018037a3b8 (__TEXT,__text) external ___settid_with_pid
000000018037a3e4 (__TEXT,__text) external ___settimeofday
000000018037a410 (__TEXT,__text) external ___setwgroups
000000018037a43c (__TEXT,__text) external ___sfi_ctl
000000018037a468 (__TEXT,__text) external ___sfi_pidctl
000000018037a494 (__TEXT,__text) external ___shared_region_check_np
000000018037a4c0 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018037a4ec (__TEXT,__text) external ___shm_open
000000018037a518 (__TEXT,__text) external ___shmctl
000000018037a544 (__TEXT,__text) external ___shmsys
000000018037a570 (__TEXT,__text) external ___sigaction
000000018037a59c (__TEXT,__text) external ___sigaltstack
000000018037a5c8 (__TEXT,__text) external ___sigreturn
000000018037a5f4 (__TEXT,__text) external ___sigsuspend
000000018037a620 (__TEXT,__text) external ___sigsuspend_nocancel
000000018037a64c (__TEXT,__text) external ___sigwait
000000018037a678 (__TEXT,__text) external ___socketpair
000000018037a6a4 (__TEXT,__text) external ___stack_snapshot_with_config
000000018037a6d0 (__TEXT,__text) external ___stat64_extended
000000018037a6fc (__TEXT,__text) external ___stat_extended
000000018037a728 (__TEXT,__text) external ___syscall
000000018246ff88 (__DATA,__common) external ___syscall_logger
000000018037a764 (__TEXT,__text) external ___sysctl
000000018037a790 (__TEXT,__text) external ___sysctlbyname
000000018037a7bc (__TEXT,__text) external ___telemetry
000000018037a7e8 (__TEXT,__text) external ___terminate_with_payload
000000018037a814 (__TEXT,__text) external ___thread_selfid
000000018037a840 (__TEXT,__text) external ___thread_selfusage
000000018037a86c (__TEXT,__text) external ___ulock_wait
000000018037a898 (__TEXT,__text) external ___ulock_wait2
000000018037a8c4 (__TEXT,__text) external ___ulock_wake
000000018037a8f0 (__TEXT,__text) external ___umask_extended
000000018037a91c (__TEXT,__text) external ___unlink
000000018037a948 (__TEXT,__text) external ___unlinkat
000000018037a974 (__TEXT,__text) external ___vfork
000000018037a9e4 (__TEXT,__text) external ___wait4
000000018037aa10 (__TEXT,__text) external ___wait4_nocancel
000000018037aa3c (__TEXT,__text) external ___waitid_nocancel
000000018037aa68 (__TEXT,__text) external ___work_interval_ctl
000000018037aa94 (__TEXT,__text) external ___workq_kernreturn
000000018037aac0 (__TEXT,__text) external ___workq_open
000000018037aaec (__TEXT,__text) external ___write_nocancel
000000018037ab18 (__TEXT,__text) external ___writev_nocancel
000000018246f940 (__DATA,__common) external __cpu_capabilities
000000018246f944 (__DATA,__common) external __cpu_has_altivec
000000018246f6d8 (__DATA,__data) external __current_pid
000000018246ffa0 (__DATA,__bss) non-external __dlsym
000000018037890c (__TEXT,__text) external __exit
00000001803782b0 (__TEXT,__text) external __get_cpu_capabilities
000000018246ffc0 (__DATA,__bss) non-external __gethostuuid_callback
0000000180382e10 (__TEXT,__text) external __getprivatesystemidentifier
0000000180392774 (__TEXT,__text) external __host_page_size
000000018038c478 (__TEXT,__text) external __init_cpu_capabilities
0000000180394054 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180395580 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180396b9c (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180395460 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180396a28 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180377de4 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001803989d4 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180397a98 (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180377e38 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001803957f8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180377df0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001803956d8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180397c0c (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180377e44 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001803971a0 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180397590 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180377e2c (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180396430 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001803966cc (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180377eec (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001803976b0 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180395918 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001803987f8 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180395ec0 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180396e48 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180397d2c (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180377ef8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
000000018039821c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180397470 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180377e20 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180396300 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180377e14 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001803986a0 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180397308 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180397928 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180398464 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180395a6c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180377dfc (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180396058 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180377e08 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180395024 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180395b8c (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180395340 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180396178 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180377fe8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001803968bc (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180397808 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180395da0 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001803965ac (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180397f70 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180396fa0 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001803980c4 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180398340 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001803951e8 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180377fdc (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180397e50 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180377f04 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001803a1fbc (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180398b40 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180377d9c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180398c9c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180377db4 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180399910 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180377dd8 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180398dbc (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180377dcc (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018039a4ec (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180377da8 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180399004 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180399c00 (__TEXT,__text) external __kernelrpc_mach_vm_remap
000000018039a98c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001803a8570 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180396d28 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001803a4840 (__TEXT,__text) external __kernelrpc_thread_policy
00000001803a49b4 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001803a52fc (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001803a6834 (__TEXT,__text) external __kernelrpc_vm_map
00000001803a7410 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001803a5f28 (__TEXT,__text) external __kernelrpc_vm_read
00000001803a6b24 (__TEXT,__text) external __kernelrpc_vm_remap
00000001803a7568 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000018037d4dc (__TEXT,__text) non-external __libkernel_bzero
000000018246ff98 (__DATA,__bss) non-external __libkernel_functions
00000001824adf28 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
000000018037d570 (__TEXT,__text) non-external __libkernel_memmove
000000018037d4e8 (__TEXT,__text) non-external __libkernel_memset
000000018037d47c (__TEXT,__text) non-external __libkernel_strchr
000000018037d4b4 (__TEXT,__text) non-external __libkernel_strcmp
000000018037d688 (__TEXT,__text) non-external __libkernel_strcpy
000000018246f6e0 (__DATA,__data) non-external __libkernel_string_functions
000000018037d6d0 (__TEXT,__text) non-external __libkernel_strlcpy
000000018037d2ac (__TEXT,__text) non-external __libkernel_strlen
000000018246f6e8 (__DATA,__data) non-external __libkernel_voucher_functions
00000001803a99d0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000018037ee40 (__TEXT,__text) non-external __mach_continuous_time
000000018044b988 (__DATA_CONST,__const) external __mach_errors
000000018037f974 (__TEXT,__text) external __mach_fork_child
0000000180380d94 (__TEXT,__text) external __mach_snprintf
0000000180380c18 (__TEXT,__text) external __mach_vsnprintf
000000018246f948 (__DATA,__common) external __os_alloc_once_table
000000018038472c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180382e14 (__TEXT,__text) external __register_gethostuuid_callback
000000018246ffac (__DATA,__bss) non-external __task_reply_port
000000018037d0bc (__TEXT,__text) external __thread_set_tsd_base
00000001803a8ec0 (__TEXT,__text) non-external _abort
00000001803a8ee4 (__TEXT,__text) non-external _abort.380
00000001803a8f08 (__TEXT,__text) non-external _abort.382
00000001803a8f2c (__TEXT,__text) non-external _abort.393
00000001803a8ffc (__TEXT,__text) external _abort_with_payload
00000001803a8f70 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001803a8f50 (__TEXT,__text) external _abort_with_reason
00000001803783e4 (__TEXT,__text) external _accept
0000000180378410 (__TEXT,__text) external _accept$NOCANCEL
000000018037ab44 (__TEXT,__text) external _access
000000018037843c (__TEXT,__text) external _accessx_np
000000018037ab70 (__TEXT,__text) external _acct
00000001803a2ef8 (__TEXT,__text) external _act_get_state
00000001803a3144 (__TEXT,__text) external _act_set_state
000000018037ab9c (__TEXT,__text) external _adjtime
000000018037abc8 (__TEXT,__text) external _aio_cancel
000000018037abf4 (__TEXT,__text) external _aio_error
000000018037ac20 (__TEXT,__text) external _aio_fsync
000000018037ac4c (__TEXT,__text) external _aio_read
000000018037ac78 (__TEXT,__text) external _aio_return
000000018037aca4 (__TEXT,__text) external _aio_suspend
0000000180378468 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018037acd0 (__TEXT,__text) external _aio_write
000000018037acfc (__TEXT,__text) external _audit
000000018037ad28 (__TEXT,__text) external _audit_session_join
000000018037ad54 (__TEXT,__text) external _audit_session_port
000000018037ad80 (__TEXT,__text) external _audit_session_self
000000018037adac (__TEXT,__text) external _auditctl
000000018037add8 (__TEXT,__text) external _auditon
0000000180378494 (__TEXT,__text) external _bind
000000018246f8fc (__DATA,__common) external _bootstrap_port
0000000180381060 (__TEXT,__text) external _cerror
000000018038103c (__TEXT,__text) external _cerror_nocancel
000000018037ae04 (__TEXT,__text) external _change_fdguard_np
000000018037ae30 (__TEXT,__text) external _chdir
000000018037ae5c (__TEXT,__text) external _chflags
0000000180383730 (__TEXT,__text) external _chmod
000000018037ae88 (__TEXT,__text) external _chown
000000018037aeb4 (__TEXT,__text) external _chroot
000000018038f040 (__TEXT,__text) external _clock_alarm
000000018038ecc8 (__TEXT,__text) external _clock_alarm_reply
000000018038ee7c (__TEXT,__text) external _clock_get_attributes
000000018038ed30 (__TEXT,__text) external _clock_get_time
000000018038eb70 (__TEXT,__text) external _clock_set_attributes
000000018038ea54 (__TEXT,__text) external _clock_set_time
000000018037efc8 (__TEXT,__text) external _clock_sleep
0000000180377fb8 (__TEXT,__text) external _clock_sleep_trap
000000018037ee1c (__TEXT,__text) external _clonefile
000000018037aee0 (__TEXT,__text) external _clonefileat
000000018037af0c (__TEXT,__text) external _close
00000001803786a4 (__TEXT,__text) external _close$NOCANCEL
0000000180389b20 (__TEXT,__text) external _coalition_create
0000000180389b90 (__TEXT,__text) external _coalition_info_resource_usage
0000000180389c00 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180389bc8 (__TEXT,__text) external _coalition_info_set_name
0000000180389c3c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180389b60 (__TEXT,__text) external _coalition_reap
0000000180389b30 (__TEXT,__text) external _coalition_terminate
0000000180378754 (__TEXT,__text) external _connect
0000000180378780 (__TEXT,__text) external _connect$NOCANCEL
000000018037af38 (__TEXT,__text) external _connectx
000000018037af64 (__TEXT,__text) external _csops
000000018037af90 (__TEXT,__text) external _csops_audittoken
0000000180389d20 (__TEXT,__text) external _csr_check
0000000180389d50 (__TEXT,__text) external _csr_get_active_config
0000000180378048 (__TEXT,__text) external _debug_control_port_for_pid
0000000180389f48 (__TEXT,__text) external _debug_syscall_reject
0000000180389e38 (__TEXT,__text) external _debug_syscall_reject_config
000000018246f8a0 (__DATA,__data) external _denap_boost_assertion_token
000000018037afbc (__TEXT,__text) external _disconnectx
000000018037f5a0 (__TEXT,__text) non-external _do_compat
000000018037afe8 (__TEXT,__text) external _dup
000000018037b014 (__TEXT,__text) external _dup2
000000018044b388 (__DATA_CONST,__const) non-external _err_codes_auth
000000018044b218 (__DATA_CONST,__const) non-external _err_codes_env_mgr
000000018044b580 (__DATA_CONST,__const) non-external _err_codes_exception
000000018044b258 (__DATA_CONST,__const) non-external _err_codes_execd
000000018044b358 (__DATA_CONST,__const) non-external _err_codes_io
000000018044ae00 (__DATA_CONST,__const) non-external _err_codes_kern
000000018044b550 (__DATA_CONST,__const) non-external _err_codes_loader
000000018044b938 (__DATA_CONST,__const) non-external _err_codes_mach_mig
000000018044b8b0 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
000000018044b7f8 (__DATA_CONST,__const) non-external _err_codes_mach_send
000000018044b520 (__DATA_CONST,__const) non-external _err_codes_machobj
000000018044b7b8 (__DATA_CONST,__const) non-external _err_codes_mig
000000018044b278 (__DATA_CONST,__const) non-external _err_codes_netmemory
000000018044b1f8 (__DATA_CONST,__const) non-external _err_codes_netname
000000018044b2c8 (__DATA_CONST,__const) non-external _err_codes_ns
000000018044b770 (__DATA_CONST,__const) non-external _err_codes_rcv
000000018044b710 (__DATA_CONST,__const) non-external _err_codes_send
000000018044b490 (__DATA_CONST,__const) non-external _err_codes_sunrpc
000000018044b298 (__DATA_CONST,__const) non-external _err_codes_task_master
