00007ff8400b8e00 (__DATA,__data) external _NDR_record
00007ff800bc5670 (__TEXT,__text) external ___ptrace
00007ff800bc5694 (__TEXT,__text) external ___pwrite_nocancel
00007ff800bc56ac (__TEXT,__text) external ___pwritev_nocancel
00007ff800bc56c4 (__TEXT,__text) external ___read_nocancel
00007ff800bc56dc (__TEXT,__text) external ___readv_nocancel
00007ff800bc56f4 (__TEXT,__text) external ___reboot
00007ff800bc570c (__TEXT,__text) external ___record_system_event
00007ff800bc5724 (__TEXT,__text) external ___recvfrom
00007ff800bc573c (__TEXT,__text) external ___recvfrom_nocancel
00007ff800bc5754 (__TEXT,__text) external ___recvmsg
00007ff800bc576c (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400b8e98 (__DATA,__bss) non-external ___remove_counter
00007ff800bc5784 (__TEXT,__text) external ___rename
00007ff800bc579c (__TEXT,__text) external ___renameat
00007ff800bc57b4 (__TEXT,__text) external ___renameatx_np
00007ff800bc57cc (__TEXT,__text) external ___rmdir
00007ff800bc4f34 (__TEXT,__text) external ___sandbox_me
00007ff800bc4ff4 (__TEXT,__text) external ___sandbox_mm
00007ff800bc506c (__TEXT,__text) external ___sandbox_ms
00007ff800bc5054 (__TEXT,__text) external ___sandbox_msp
00007ff800bc57e4 (__TEXT,__text) external ___select
00007ff800bc57fc (__TEXT,__text) external ___select_nocancel
00007ff800bc5814 (__TEXT,__text) external ___sem_open
00007ff800bc582c (__TEXT,__text) external ___sem_wait_nocancel
00007ff800bc5844 (__TEXT,__text) external ___semctl
00007ff800bc585c (__TEXT,__text) external ___semsys
00007ff800bc5874 (__TEXT,__text) external ___semwait_signal
00007ff800bc588c (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800bc58a4 (__TEXT,__text) external ___sendmsg
00007ff800bc58bc (__TEXT,__text) external ___sendmsg_nocancel
00007ff800bc58d4 (__TEXT,__text) external ___sendto
00007ff800bc58ec (__TEXT,__text) external ___sendto_nocancel
00007ff800bc5904 (__TEXT,__text) external ___setattrlist
00007ff800bc591c (__TEXT,__text) external ___setlogin
00007ff800bc5934 (__TEXT,__text) external ___setpriority
00007ff800bc594c (__TEXT,__text) external ___setregid
00007ff800bc5964 (__TEXT,__text) external ___setreuid
00007ff800bc597c (__TEXT,__text) external ___setrlimit
00007ff800bc5994 (__TEXT,__text) external ___setsgroups
00007ff800bc59ac (__TEXT,__text) external ___settid
00007ff800bc59c4 (__TEXT,__text) external ___settid_with_pid
00007ff800bc59dc (__TEXT,__text) external ___settimeofday
00007ff800bc59f4 (__TEXT,__text) external ___setwgroups
00007ff800bc5a0c (__TEXT,__text) external ___sfi_ctl
00007ff800bc5a24 (__TEXT,__text) external ___sfi_pidctl
00007ff800bc5a3c (__TEXT,__text) external ___shared_region_check_np
00007ff800bc5a54 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800bc5a6c (__TEXT,__text) external ___shm_open
00007ff800bc5a84 (__TEXT,__text) external ___shmctl
00007ff800bc5a9c (__TEXT,__text) external ___shmsys
00007ff800bc5ab4 (__TEXT,__text) external ___sigaction
00007ff800bc5acc (__TEXT,__text) external ___sigaltstack
00007ff800bc5ae4 (__TEXT,__text) external ___sigreturn
00007ff800bc5afc (__TEXT,__text) external ___sigsuspend
00007ff800bc5b14 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800bc5b2c (__TEXT,__text) external ___sigwait
00007ff800bc5b44 (__TEXT,__text) external ___socketpair
00007ff800bc5b5c (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800bc5b74 (__TEXT,__text) external ___stat64_extended
00007ff800bc5b8c (__TEXT,__text) external ___stat_extended
00007ff800bc5ba4 (__TEXT,__text) external ___syscall
00007ff8400b9540 (__DATA,__common) external ___syscall_logger
00007ff800bc5bbc (__TEXT,__text) external ___sysctl
00007ff800bc5bd4 (__TEXT,__text) external ___sysctlbyname
00007ff800bc5bec (__TEXT,__text) external ___telemetry
00007ff800bc5c04 (__TEXT,__text) external ___terminate_with_payload
00007ff800bc5c1c (__TEXT,__text) external ___thread_selfid
00007ff800bc5c34 (__TEXT,__text) external ___thread_selfusage
00007ff800bc5c4c (__TEXT,__text) external ___ulock_wait
00007ff800bc5c64 (__TEXT,__text) external ___ulock_wait2
00007ff800bc5c7c (__TEXT,__text) external ___ulock_wake
00007ff800bc5c94 (__TEXT,__text) external ___umask_extended
00007ff800bc5cac (__TEXT,__text) external ___unlink
00007ff800bc5cc4 (__TEXT,__text) external ___unlinkat
00007ff800bc5cdc (__TEXT,__text) external ___vfork
00007ff800bc5d34 (__TEXT,__text) external ___wait4
00007ff800bc5d4c (__TEXT,__text) external ___wait4_nocancel
00007ff800bc5d64 (__TEXT,__text) external ___waitid_nocancel
00007ff800bc5d7c (__TEXT,__text) external ___work_interval_ctl
00007ff800bc5d94 (__TEXT,__text) external ___workq_kernreturn
00007ff800bc5dac (__TEXT,__text) external ___workq_open
00007ff800bc5dc4 (__TEXT,__text) external ___write_nocancel
00007ff800bc5ddc (__TEXT,__text) external ___writev_nocancel
00007ff8400b8ef4 (__DATA,__common) external __cpu_capabilities
00007ff8400b8ef0 (__DATA,__common) external __cpu_has_altivec
00007ff8400b8c20 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400b8e50 (__DATA,__bss) non-external __dlsym
00007ff800bc42a4 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800bc4b10 (__TEXT,__text) external __exit
00007ff800bc4800 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400b8e70 (__DATA,__bss) non-external __gethostuuid_callback
00007ff800bcc6cd (__TEXT,__text) external __getprivatesystemidentifier
00007ff800bda194 (__TEXT,__text) external __host_page_size
00007ff800bd4a99 (__TEXT,__text) external __init_cpu_capabilities
00007ff800bdb650 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800bdc945 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800bddca8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800bdc856 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800bddb57 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff800bc4094 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff800bdf664 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800bde9b7 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff800bc40e8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800bdcb65 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff800bc40a0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800bdca77 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff800bdeaf1 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff800bc40f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800bde20a (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800bde571 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff800bc40dc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800bdd5db (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800bdd814 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff800bc419c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800bde660 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800bdcc53 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800bdf4f2 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800bdd169 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800bddef8 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff800bdebdc (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff800bc41a8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800bdf00c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800bde482 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff800bc40d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800bdd4de (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff800bc40c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff800bdf3ba (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800bde346 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff800bde870 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800bdf1e2 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800bdcd81 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff800bc40ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800bdd2b3 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff800bc40b8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800bdc4bd (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800bdce6c (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800bdc767 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff800bdd3a2 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff800bc4298 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800bdd9e9 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800bde789 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800bdd07a (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800bdd725 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff800bdedae (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800bde02a (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800bdeeda (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800bdf0f7 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800bdc635 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff800bc428c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff800bdecc7 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff800bc41b4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff800be3b88 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff800be3a81 (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff800be7b84 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800bdf7d2 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff800bc404c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800bdf8fe (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff800bc4064 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff800be036d (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff800bc4088 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800bdf9e5 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff800bc407c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff800be0e70 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff800bc4058 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800bdfbbf (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800be0618 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff800be12ce (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff800bed5a6 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800bdde0a (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800be9f02 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800bea04c (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800bea8a5 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800bebbf6 (__TEXT,__text) external __kernelrpc_vm_map
00007ff800bec6f9 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800beb448 (__TEXT,__text) external __kernelrpc_vm_read
00007ff800bebea1 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800bec822 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800bc74c3 (__TEXT,__text) non-external __libkernel_bzero
00007ff8400b8e48 (__DATA,__bss) non-external __libkernel_functions
00007ff840077650 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800bc754c (__TEXT,__text) non-external __libkernel_memmove
00007ff800bc74cd (__TEXT,__text) non-external __libkernel_memset
00007ff800bc748a (__TEXT,__text) non-external __libkernel_strchr
00007ff800bc74a8 (__TEXT,__text) non-external __libkernel_strcmp
00007ff800bc7695 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400b8c30 (__DATA,__data) non-external __libkernel_string_functions
00007ff800bc76bd (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800bc736a (__TEXT,__text) non-external __libkernel_strlen
00007ff8400b8c38 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff800bedea0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800bc8a5a (__TEXT,__text) non-external __mach_continuous_time
00007ff840078860 (__DATA_CONST,__const) external __mach_errors
00007ff800bc91fd (__TEXT,__text) external __mach_fork_child
00007ff800bca945 (__TEXT,__text) external __mach_snprintf
00007ff800bca7b2 (__TEXT,__text) external __mach_vsnprintf
00007ff8400b8f00 (__DATA,__common) external __os_alloc_once_table
00007ff800bcdcfa (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800bce823 (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff800bcc6d2 (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400b8e5c (__DATA,__bss) non-external __task_reply_port
00007ff800bc72d4 (__TEXT,__text) external __thread_set_tsd_base
00007ff800bedd80 (__TEXT,__text) non-external _abort
00007ff800bedd80 (__TEXT,__text) non-external _abort.380
00007ff800bedd80 (__TEXT,__text) non-external _abort.382
00007ff800bedd80 (__TEXT,__text) non-external _abort.393
00007ff800bede30 (__TEXT,__text) external _abort_with_payload
00007ff800beddb5 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800bedda2 (__TEXT,__text) external _abort_with_reason
00007ff800bc4840 (__TEXT,__text) external _accept
00007ff800bc4858 (__TEXT,__text) external _accept$NOCANCEL
00007ff800bc5df4 (__TEXT,__text) external _access
00007ff800bc4870 (__TEXT,__text) external _accessx_np
00007ff800bc5e0c (__TEXT,__text) external _acct
00007ff800be8971 (__TEXT,__text) external _act_get_state
00007ff800be8b5a (__TEXT,__text) external _act_set_state
00007ff800bc5e24 (__TEXT,__text) external _adjtime
00007ff800bc5e3c (__TEXT,__text) external _aio_cancel
00007ff800bc5e54 (__TEXT,__text) external _aio_error
00007ff800bc5e6c (__TEXT,__text) external _aio_fsync
00007ff800bc5e84 (__TEXT,__text) external _aio_read
00007ff800bc5e9c (__TEXT,__text) external _aio_return
00007ff800bc5eb4 (__TEXT,__text) external _aio_suspend
00007ff800bc4888 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800bc5ecc (__TEXT,__text) external _aio_write
00007ff800bc5ee4 (__TEXT,__text) external _audit
00007ff800bc5efc (__TEXT,__text) external _audit_session_join
00007ff800bc5f14 (__TEXT,__text) external _audit_session_port
00007ff800bc5f2c (__TEXT,__text) external _audit_session_self
00007ff800bc5f44 (__TEXT,__text) external _auditctl
00007ff800bc5f5c (__TEXT,__text) external _auditon
00007ff800bc48a0 (__TEXT,__text) external _bind
00007ff8400b8eac (__DATA,__common) external _bootstrap_port
00007ff800bcabe3 (__TEXT,__text) external _cerror
00007ff800bcabbe (__TEXT,__text) external _cerror_nocancel
00007ff800bc5f74 (__TEXT,__text) external _change_fdguard_np
00007ff800bc5f8c (__TEXT,__text) external _chdir
00007ff800bc5fa4 (__TEXT,__text) external _chflags
00007ff800bcd098 (__TEXT,__text) external _chmod
00007ff800bc5fbc (__TEXT,__text) external _chown
00007ff800bc5fd4 (__TEXT,__text) external _chroot
00007ff800bd72ab (__TEXT,__text) external _clock_alarm
00007ff800bd6fa4 (__TEXT,__text) external _clock_alarm_reply
00007ff800bd711c (__TEXT,__text) external _clock_get_attributes
00007ff800bd700b (__TEXT,__text) external _clock_get_time
00007ff800bd6e78 (__TEXT,__text) external _clock_set_attributes
00007ff800bd6d8d (__TEXT,__text) external _clock_set_time
00007ff800bc8b47 (__TEXT,__text) external _clock_sleep
00007ff800bc4268 (__TEXT,__text) external _clock_sleep_trap
00007ff800bc8a36 (__TEXT,__text) external _clonefile
00007ff800bc5fec (__TEXT,__text) external _clonefileat
