00007ff8400c5e10 (__DATA,__data) external _NDR_record
00007ff800d110dc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800d110f4 (__TEXT,__text) external ___map_with_linking_np
00007ff800d1110c (__TEXT,__text) external ___memorystatus_available_memory
00007ff800d11124 (__TEXT,__text) external ___microstackshot
00007ff800d1113c (__TEXT,__text) external ___mkdir_extended
00007ff800d11154 (__TEXT,__text) external ___mkfifo_extended
00007ff800d1116c (__TEXT,__text) external ___mmap
00007ff800d11184 (__TEXT,__text) external ___mprotect
00007ff800d1119c (__TEXT,__text) external ___msgctl
00007ff800d111b4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800d111cc (__TEXT,__text) external ___msgsnd_nocancel
00007ff800d111e4 (__TEXT,__text) external ___msgsys
00007ff800d111fc (__TEXT,__text) external ___msync
00007ff800d11214 (__TEXT,__text) external ___msync_nocancel
00007ff800d1122c (__TEXT,__text) external ___munmap
00007ff800d11244 (__TEXT,__text) external ___nexus_create
00007ff800d1125c (__TEXT,__text) external ___nexus_deregister
00007ff800d11274 (__TEXT,__text) external ___nexus_destroy
00007ff800d1128c (__TEXT,__text) external ___nexus_get_opt
00007ff800d112a4 (__TEXT,__text) external ___nexus_open
00007ff800d112bc (__TEXT,__text) external ___nexus_register
00007ff800d112d4 (__TEXT,__text) external ___nexus_set_opt
00007ff800d112ec (__TEXT,__text) external ___open
00007ff800d11304 (__TEXT,__text) external ___open_dprotected_np
00007ff800d1131c (__TEXT,__text) external ___open_extended
00007ff800d11334 (__TEXT,__text) external ___open_nocancel
00007ff800d1134c (__TEXT,__text) external ___openat
00007ff800d11364 (__TEXT,__text) external ___openat_dprotected_np
00007ff800d1137c (__TEXT,__text) external ___openat_nocancel
00007ff8400c5f88 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800d20383 (__TEXT,__text) non-external ___os_nexus_config_flow
00007ff800d20225 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800d20298 (__TEXT,__text) external ___os_nexus_flow_del
00007ff800d203f1 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800d2004b (__TEXT,__text) external ___os_nexus_ifattach
00007ff800d2015c (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800d11394 (__TEXT,__text) external ___oslog_coproc
00007ff800d113ac (__TEXT,__text) external ___oslog_coproc_reg
00007ff800d113c4 (__TEXT,__text) external ___persona
00007ff800d113dc (__TEXT,__text) external ___pipe
00007ff800d113f8 (__TEXT,__text) external ___poll_nocancel
00007ff800d11410 (__TEXT,__text) external ___posix_spawn
00007ff800d11428 (__TEXT,__text) external ___pread_nocancel
00007ff800d11440 (__TEXT,__text) external ___preadv_nocancel
00007ff800d11458 (__TEXT,__text) external ___proc_info
00007ff800d11470 (__TEXT,__text) external ___proc_info_extended_id
00007ff800d11488 (__TEXT,__text) external ___process_policy
00007ff800d114a0 (__TEXT,__text) external ___pselect
00007ff800d114b8 (__TEXT,__text) external ___pselect_nocancel
00007ff800d114d0 (__TEXT,__text) external ___psynch_cvbroad
00007ff800d114e8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800d11500 (__TEXT,__text) external ___psynch_cvsignal
00007ff800d11518 (__TEXT,__text) external ___psynch_cvwait
00007ff800d11530 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800d11548 (__TEXT,__text) external ___psynch_mutexwait
00007ff800d11560 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800d11578 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800d11590 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800d115a8 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800d115c0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800d115d8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800d115f0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800d11608 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800d11620 (__TEXT,__text) external ___pthread_canceled
00007ff800d11638 (__TEXT,__text) external ___pthread_chdir
00007ff800d11650 (__TEXT,__text) external ___pthread_fchdir
00007ff800d11668 (__TEXT,__text) external ___pthread_kill
00007ff800d11680 (__TEXT,__text) external ___pthread_markcancel
00007ff800d11698 (__TEXT,__text) external ___pthread_sigmask
00007ff800d116b0 (__TEXT,__text) external ___ptrace
00007ff800d116d4 (__TEXT,__text) external ___pwrite_nocancel
00007ff800d116ec (__TEXT,__text) external ___pwritev_nocancel
00007ff800d11704 (__TEXT,__text) external ___read_nocancel
00007ff800d1171c (__TEXT,__text) external ___readv_nocancel
00007ff800d11734 (__TEXT,__text) external ___reboot
00007ff800d1174c (__TEXT,__text) external ___record_system_event
00007ff800d11764 (__TEXT,__text) external ___recvfrom
00007ff800d1177c (__TEXT,__text) external ___recvfrom_nocancel
00007ff800d11794 (__TEXT,__text) external ___recvmsg
00007ff800d117ac (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400c5fa8 (__DATA,__bss) non-external ___remove_counter
00007ff800d117c4 (__TEXT,__text) external ___rename
00007ff800d117dc (__TEXT,__text) external ___renameat
00007ff800d117f4 (__TEXT,__text) external ___renameatx_np
00007ff800d1180c (__TEXT,__text) external ___rmdir
00007ff800d10f44 (__TEXT,__text) external ___sandbox_me
00007ff800d11004 (__TEXT,__text) external ___sandbox_mm
00007ff800d1107c (__TEXT,__text) external ___sandbox_ms
00007ff800d11064 (__TEXT,__text) external ___sandbox_msp
00007ff800d11824 (__TEXT,__text) external ___select
00007ff800d1183c (__TEXT,__text) external ___select_nocancel
00007ff800d11854 (__TEXT,__text) external ___sem_open
00007ff800d1186c (__TEXT,__text) external ___sem_wait_nocancel
00007ff800d11884 (__TEXT,__text) external ___semctl
00007ff800d1189c (__TEXT,__text) external ___semsys
00007ff800d118b4 (__TEXT,__text) external ___semwait_signal
00007ff800d118cc (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800d118e4 (__TEXT,__text) external ___sendmsg
00007ff800d118fc (__TEXT,__text) external ___sendmsg_nocancel
00007ff800d11914 (__TEXT,__text) external ___sendto
00007ff800d1192c (__TEXT,__text) external ___sendto_nocancel
00007ff800d11944 (__TEXT,__text) external ___setattrlist
00007ff800d1195c (__TEXT,__text) external ___setlogin
00007ff800d11974 (__TEXT,__text) external ___setpriority
00007ff800d1198c (__TEXT,__text) external ___setregid
00007ff800d119a4 (__TEXT,__text) external ___setreuid
00007ff800d119bc (__TEXT,__text) external ___setrlimit
00007ff800d119d4 (__TEXT,__text) external ___setsgroups
00007ff800d119ec (__TEXT,__text) external ___settid
00007ff800d11a04 (__TEXT,__text) external ___settid_with_pid
00007ff800d11a1c (__TEXT,__text) external ___settimeofday
00007ff800d11a34 (__TEXT,__text) external ___setwgroups
00007ff800d11a4c (__TEXT,__text) external ___sfi_ctl
00007ff800d11a64 (__TEXT,__text) external ___sfi_pidctl
00007ff800d11a7c (__TEXT,__text) external ___shared_region_check_np
00007ff800d11a94 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800d11aac (__TEXT,__text) external ___shm_open
00007ff800d11ac4 (__TEXT,__text) external ___shmctl
00007ff800d11adc (__TEXT,__text) external ___shmsys
00007ff800d11af4 (__TEXT,__text) external ___sigaction
00007ff800d11b0c (__TEXT,__text) external ___sigaltstack
00007ff800d11b24 (__TEXT,__text) external ___sigreturn
00007ff800d11b3c (__TEXT,__text) external ___sigsuspend
00007ff800d11b54 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800d11b6c (__TEXT,__text) external ___sigwait
00007ff800d11b84 (__TEXT,__text) external ___socketpair
00007ff800d11b9c (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800d11bb4 (__TEXT,__text) external ___stat64_extended
00007ff800d11bcc (__TEXT,__text) external ___stat_extended
00007ff800d1918b (__TEXT,__text) non-external ___statfs_ext_impl
00007ff800d11be4 (__TEXT,__text) external ___syscall
00007ff8400c6640 (__DATA,__common) external ___syscall_logger
00007ff800d11bfc (__TEXT,__text) external ___sysctl
00007ff800d11c14 (__TEXT,__text) external ___sysctlbyname
00007ff800d11c2c (__TEXT,__text) external ___telemetry
00007ff800d11c44 (__TEXT,__text) external ___terminate_with_payload
00007ff800d11c5c (__TEXT,__text) external ___thread_selfid
00007ff800d11c74 (__TEXT,__text) external ___thread_selfusage
00007ff800d11c8c (__TEXT,__text) external ___ulock_wait
00007ff800d11ca4 (__TEXT,__text) external ___ulock_wait2
00007ff800d11cbc (__TEXT,__text) external ___ulock_wake
00007ff800d11cd4 (__TEXT,__text) external ___umask_extended
00007ff800d11cec (__TEXT,__text) external ___unlink
00007ff800d11d04 (__TEXT,__text) external ___unlinkat
00007ff800d11d1c (__TEXT,__text) external ___vfork
00007ff800d11d74 (__TEXT,__text) external ___wait4
00007ff800d11d8c (__TEXT,__text) external ___wait4_nocancel
00007ff800d11da4 (__TEXT,__text) external ___waitid_nocancel
00007ff800d11dbc (__TEXT,__text) external ___work_interval_ctl
00007ff800d11dd4 (__TEXT,__text) external ___workq_kernreturn
00007ff800d11dec (__TEXT,__text) external ___workq_open
00007ff800d11e04 (__TEXT,__text) external ___write_nocancel
00007ff800d11e1c (__TEXT,__text) external ___writev_nocancel
00007ff8400c5ffc (__DATA,__common) external __cpu_capabilities
00007ff8400c5ff8 (__DATA,__common) external __cpu_has_altivec
00007ff8400c5c30 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400c5f68 (__DATA,__bss) non-external __dlsym
00007ff800d102b0 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800d10b20 (__TEXT,__text) external __exit
00007ff800d10810 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400c5f80 (__DATA,__bss) non-external __gethostuuid_callback
00007ff800d18745 (__TEXT,__text) external __getprivatesystemidentifier
00007ff800d26591 (__TEXT,__text) external __host_page_size
00007ff800d20e13 (__TEXT,__text) external __init_cpu_capabilities
00007ff800d27a4d (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800d28d26 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800d2a078 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800d28c37 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800d29f27 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff800d10094 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff800d2ba3f (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800d2ad87 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff800d100e8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800d28f46 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff800d100a0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800d28e58 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff800d2aec1 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff800d100f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800d2a5da (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800d2a941 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff800d100dc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800d299c8 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800d29c06 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff800d1019c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800d2aa30 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800d29034 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800d2b8cd (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800d29556 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800d2a2c8 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff800d2afac (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff800d101a8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800d2b3dc (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800d2a852 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff800d100d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800d298cb (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff800d100c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff800d2b795 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800d2a716 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff800d2ac40 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800d2b5b2 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800d29162 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff800d100ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800d296a0 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff800d100b8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800d2889e (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800d2924d (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800d28b48 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff800d2978f (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff800d102a4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800d29ddb (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800d2ab59 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800d29467 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800d29b17 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff800d2b17e (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800d2a3fa (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800d2b2aa (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800d2b4c7 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800d28a16 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff800d10298 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff800d2b097 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff800d101b4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff800d30332 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff800d3022b (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff800d342bf (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800d2bb8b (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff800d1004c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800d2bcb7 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff800d10064 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff800d2c726 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff800d10088 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800d2bd9e (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff800d1007c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff800d2d22a (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff800d10058 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800d2bf78 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800d2c9d1 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff800d2d688 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff800d2dd2d (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
00007ff800d39de9 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800d2a1da (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800d3661f (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800d36769 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800d36f9a (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800d382f8 (__TEXT,__text) external __kernelrpc_vm_map
00007ff800d38dfc (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800d37b4a (__TEXT,__text) external __kernelrpc_vm_read
00007ff800d385a3 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800d38f25 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800d1351b (__TEXT,__text) non-external __libkernel_bzero
00007ff8400c5f60 (__DATA,__bss) non-external __libkernel_functions
00007ff840081e20 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800d138e5 (__TEXT,__text) non-external __libkernel_memmove
00007ff800d13525 (__TEXT,__text) non-external __libkernel_memset
00007ff800d134e2 (__TEXT,__text) non-external __libkernel_strchr
00007ff800d13500 (__TEXT,__text) non-external __libkernel_strcmp
00007ff800d13a32 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8400c5c40 (__DATA,__data) non-external __libkernel_string_functions
00007ff800d13a5a (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800d133c2 (__TEXT,__text) non-external __libkernel_strlen
00007ff8400c5c48 (__DATA,__data) non-external __libkernel_voucher_functions
00007ff800d3a840 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800d1460b (__TEXT,__text) non-external __mach_continuous_time
00007ff8400830c0 (__DATA_CONST,__const) external __mach_errors
00007ff800d14de2 (__TEXT,__text) external __mach_fork_child
00007ff800d1650f (__TEXT,__text) external __mach_snprintf
00007ff800d1638a (__TEXT,__text) external __mach_vsnprintf
00007ff8400c6000 (__DATA,__common) external __os_alloc_once_table
00007ff800d1a0ce (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800d1abcd (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
00007ff800d1874a (__TEXT,__text) external __register_gethostuuid_callback
00007ff8400c5f74 (__DATA,__bss) non-external __task_reply_port
00007ff800d1332c (__TEXT,__text) external __thread_set_tsd_base
00007ff800d3a5fe (__TEXT,__text) non-external _abort
00007ff800d3a5fe (__TEXT,__text) non-external _abort.391
00007ff800d3a5fe (__TEXT,__text) non-external _abort.393
00007ff800d3a5fe (__TEXT,__text) non-external _abort.404
00007ff800d3a6b0 (__TEXT,__text) external _abort_with_payload
00007ff800d3a635 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff800d3a622 (__TEXT,__text) external _abort_with_reason
00007ff800d10850 (__TEXT,__text) external _accept
00007ff800d10868 (__TEXT,__text) external _accept$NOCANCEL
00007ff800d11e34 (__TEXT,__text) external _access
00007ff800d10880 (__TEXT,__text) external _accessx_np
00007ff800d11e4c (__TEXT,__text) external _acct
00007ff800d350b9 (__TEXT,__text) external _act_get_state
00007ff800d352a2 (__TEXT,__text) external _act_set_state
00007ff800d11e64 (__TEXT,__text) external _adjtime
00007ff800d11e7c (__TEXT,__text) external _aio_cancel
00007ff800d11e94 (__TEXT,__text) external _aio_error
00007ff800d11eac (__TEXT,__text) external _aio_fsync
00007ff800d11ec4 (__TEXT,__text) external _aio_read
00007ff800d11edc (__TEXT,__text) external _aio_return
00007ff800d11ef4 (__TEXT,__text) external _aio_suspend
00007ff800d10898 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800d11f0c (__TEXT,__text) external _aio_write
00007ff800d11f24 (__TEXT,__text) external _audit
00007ff800d11f3c (__TEXT,__text) external _audit_session_join
00007ff800d11f54 (__TEXT,__text) external _audit_session_port
00007ff800d11f6c (__TEXT,__text) external _audit_session_self
00007ff800d11f84 (__TEXT,__text) external _auditctl
00007ff800d11f9c (__TEXT,__text) external _auditon
00007ff800d108b0 (__TEXT,__text) external _bind
00007ff8400c5fbc (__DATA,__common) external _bootstrap_port
00007ff800d16793 (__TEXT,__text) external _cerror
00007ff800d1676e (__TEXT,__text) external _cerror_nocancel
00007ff800d11fb4 (__TEXT,__text) external _change_fdguard_np
00007ff800d11fcc (__TEXT,__text) external _chdir
00007ff800d11fe4 (__TEXT,__text) external _chflags
00007ff800d19456 (__TEXT,__text) external _chmod
00007ff800d11ffc (__TEXT,__text) external _chown
00007ff800d12014 (__TEXT,__text) external _chroot
00007ff800d2366a (__TEXT,__text) external _clock_alarm
00007ff800d23361 (__TEXT,__text) external _clock_alarm_reply
00007ff800d234d9 (__TEXT,__text) external _clock_get_attributes
00007ff800d233c8 (__TEXT,__text) external _clock_get_time
00007ff800d23235 (__TEXT,__text) external _clock_set_attributes
00007ff800d2314a (__TEXT,__text) external _clock_set_time
00007ff800d146f0 (__TEXT,__text) external _clock_sleep
00007ff800d10268 (__TEXT,__text) external _clock_sleep_trap
00007ff800d145e7 (__TEXT,__text) external _clonefile
00007ff800d1202c (__TEXT,__text) external _clonefileat
00007ff800d12044 (__TEXT,__text) external _close
00007ff800d109d0 (__TEXT,__text) external _close$NOCANCEL
00007ff800d1e7ee (__TEXT,__text) external _coalition_create
