00007ff94373b2a0 (__DATA,__bss) non-external _AGCPrinter
00007ff9092f70b2 (__TEXT,__text) non-external __Z37validateMaxTotalThreadsPerThreadgroupjjjRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERj
00007ff90946a494 (__TEXT,__text) non-external __Z45newObjectArrayWithIntersectionShadersIfNeededI27_AGCFragmentContextStateAGPEP17AGCLLVMObjectBaseP17AGCLLVMUserShaderR10AGCLLVMCtxPN4llvm6ModuleEPKT_
00007ff943738b98 (__DATA,__bss) non-external __ZGVZ12pixelTypeMapvE23localPixelFormatTypeMap
00007ff943738b78 (__DATA,__bss) non-external __ZGVZ13bufferTypeMapvE18localBufferTypeMap
00007ff94373a6f8 (__DATA,__bss) non-external __ZGVZ21agcStreamToken2StringjE15mapToken2String
00007ff94373b0e8 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG5TargetConfig13AGCTargetArchE5g5pC0
00007ff94373b178 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9gA0
00007ff94373b130 (__DATA,__bss) non-external __ZGVZ27AGCLLVMCreateG9TargetConfig13AGCTargetArchE5g9pA0
00007ff94373a750 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG10TargetConfig13AGCTargetArchE6g10pB0
00007ff94373a828 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11gA0
00007ff94373a7e0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mA0
00007ff94373a8b8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11mB0
00007ff94373a798 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pA0
00007ff94373a870 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG11TargetConfig13AGCTargetArchE6g11pB0
00007ff94373a900 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pA0
00007ff94373a948 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG12TargetConfig13AGCTargetArchE6g12pB0
00007ff943443178 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cA0
00007ff94373a9e0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13cB0
00007ff94373a990 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dA0
00007ff94373aa28 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13dB0
00007ff943443058 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gA0
00007ff9434430e8 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13gB0
00007ff943443010 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pA0
00007ff9434430a0 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13pB0
00007ff943443130 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sA0
00007ff9434431c8 (__DATA_DIRTY,__bss) non-external __ZGVZ28AGCLLVMCreateG13TargetConfig13AGCTargetArchE6g13sB0
00007ff94373ab00 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gA0
00007ff94373ab48 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14gB0
00007ff94373aa70 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pA0
00007ff94373aab8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG14TargetConfig13AGCTargetArchE6g14pB0
00007ff94373af38 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cA0
00007ff94373af80 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB0
00007ff94373afc8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15cB1
00007ff94373ad88 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gA0
00007ff94373add0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gB0
00007ff94373ae18 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15gC0
00007ff94373ad40 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15pB0
00007ff94373ae60 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sA0
00007ff94373aea8 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB0
00007ff94373aef0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG15TargetConfig13AGCTargetArchE6g15sB1
00007ff94373b010 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pA0
00007ff94373b058 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB0
00007ff94373b0a0 (__DATA,__bss) non-external __ZGVZ28AGCLLVMCreateG16TargetConfig13AGCTargetArchE6g16pB1
00007ff94373ac20 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cA0
00007ff94373ac68 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14cB0
00007ff94373acb0 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dA0
00007ff94373acf8 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14dB0
00007ff94373ab90 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sA0
00007ff94373abd8 (__DATA,__bss) non-external __ZGVZ29AGCLLVMCreateG14XTargetConfig13AGCTargetArchE6g14sB0
00007ff943737d78 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path
00007ff943737de0 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.132
00007ff94373b298 (__DATA,__bss) non-external __ZGVZL11getFilePathvE9file_path.6035
00007ff9434424c8 (__DATA_DIRTY,__bss) non-external __ZGVZL22pluginCreateLLVMObjectR10AGCLLVMCtx15_AGCStreamTokenRN4llvm11LLVMContextEPNS2_6ModuleER16CompilationStateE9computeCS
00007ff943442fc0 (__DATA_DIRTY,__bss) non-external __ZGVZN14AGCLLVMBuilder18getVariableTypeMapEvE17variable_type_map
00007ff94373b2b8 (__DATA,__bss) non-external __ZGVZN16AGCTargetContext13createLLVMCtxE13AGCTargetArchE21agx_extra_llvm_attrib
00007ff9434424b8 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCCodeGenServiceC1Ej3ApiRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_E21agx_extra_llvm_attrib
00007ff943739d28 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject15verifyLoweredIREvE3log
00007ff943442f98 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject16getBuiltinArgMapEvE15builtin_arg_map
00007ff943442ea0 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject20getSampleFunctionMapEvE19sample_function_map
00007ff943442f68 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject22getUniqueIDFunctionSetEvE21uniqueID_function_set
00007ff943739cf8 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject23createSamplerHeapGlobalEvE12bind_indices
00007ff943442ec8 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject23getDimensionFunctionMapEvE22dimension_function_map
00007ff943739d80 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject24getRaytracingFunctionMapEvE23raytracing_function_map
00007ff943442ef0 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject26getTextureFenceFunctionSetEvE25texturefence_function_set
00007ff943442f18 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject27getIsNullTextureFunctionSetEvE28is_null_texture_function_set
00007ff943739d50 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject27getTextureAtomicFunctionSetEvE27texture_atomic_function_set
00007ff943442f40 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject28getGetNullTextureFunctionSetEvE29get_null_texture_function_set
00007ff943442e70 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserObject33buildBindlessImageArgumentPointerEPN4llvm5ValueEN18ImageArgumentQuery4EnumEE12bind_indices
00007ff943739cd8 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject34getShaderDebuggerTLSBuiltinArgMapsEvE31shader_debugger_builtin_arg_map
00007ff943739d18 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject39replaceIndirectTextureWriteFunctionUsesEPN4llvm8FunctionEE20force_inline_env_var
00007ff943739d08 (__DATA,__bss) non-external __ZGVZN17AGCLLVMUserObject41createIntersectionFunctionTableHeapGlobalEvE12bind_indices
00007ff943442e08 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserShader17getVaryingModeMapEvE16varying_mode_map
00007ff943442e30 (__DATA_DIRTY,__bss) non-external __ZGVZN17AGCLLVMUserShader27getInterpolationLocationMapEvE26interpolation_location_map
00007ff943738bc0 (__DATA,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins19initializeAtomicMapEvE10atomic_map
00007ff943442748 (__DATA_DIRTY,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins23initializePackUnpackMapEvE15pack_unpack_map
00007ff943442720 (__DATA_DIRTY,__bss) non-external __ZGVZN18AGCLLVMAirBuiltins27initializeTypeConversionMapEvE11convert_map
00007ff943739db0 (__DATA,__bss) non-external __ZGVZN19AGCLLVMDriverShader20getTextureHeapGlobalEbE14buffer_indices
00007ff943739dc0 (__DATA,__bss) non-external __ZGVZN19AGCLLVMDriverShader23createGlobalSamplerHeapEvE12bind_indices
00007ff9437396c8 (__DATA,__bss) non-external __ZGVZN20AGCLLVMAirImageBlock24initializeImageBlockMapsEvE24image_block_function_map
00007ff943738170 (__DATA,__bss) non-external __ZGVZN21AGCLLVMUserMeshShader15replaceBuiltinsEvE18workitem_functions
00007ff943739cb0 (__DATA,__bss) non-external __ZGVZN21AGCLLVMUserTileShader24replaceWorkitemFunctionsEvE18workitem_functions
00007ff943738be8 (__DATA,__bss) non-external __ZGVZN22AGCLLVMAirBuiltinsGen319initializeReduceMapEvE10reduce_map
00007ff943738640 (__DATA,__bss) non-external __ZGVZN23AGCLLVMUserMeshShaderSW29replacePreRuntimeLinkBuiltinsEvE18workitem_functions
00007ff943442548 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMAGPFragmentShader35initializeInterpolationFunctionsMapEvE27interpolation_functions_map
00007ff943442770 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMAirTrigIdentities28initializeTrigReplacementMapEvE17trig_replacements
00007ff9434431d8 (__DATA_DIRTY,__bss) non-external __ZGVZN24AGCLLVMGen2TargetLowerer22setSharedRegisterSizesEvE22total_shared_registers
00007ff94373b238 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE13prefix_length
00007ff94373b228 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE6prefix
00007ff94373b258 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E21addYieldLoopParameterEPKcfE9ev_prefix
00007ff94373b1a8 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9order_map
00007ff94373b1d8 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9scope_map
00007ff94373b208 (__DATA,__bss) non-external __ZGVZN24AGCLLVMGen6TargetLowererI23RaytracingConstantsGen1E30buildSimdgroupAtomicWaitNotifyEPN4llvm8CallInstEE9volat_map
00007ff943739630 (__DATA,__bss) non-external __ZGVZN25AGCLLVMUserDynamicLibrary24replaceWorkitemFunctionsEvE18workitem_functions
00007ff9437396a0 (__DATA,__bss) non-external __ZGVZN25AGCLLVMUserDynamicLibrary25buildStageSpecificBuiltinEPN4llvm4TypeERKNSt3__15arrayINS3_8functionIFPNS0_5ValueEvEEELm4EEERKNS4_IiLm4EEEE10stage_name
00007ff943738fd0 (__DATA,__bss) non-external __ZGVZN26AGCLLVMDriverSparseShaders6createER10AGCLLVMCtxRN4llvm11LLVMContextEjE9computeCS
00007ff943442dc0 (__DATA_DIRTY,__bss) non-external __ZGVZN27AGCLLVMUserComputeKernelG1024replaceWorkitemFunctionsEvE18workitem_functions
00007ff943738a40 (__DATA,__bss) non-external __ZGVZN27AGCLLVMUserObjectShaderBase15replaceBuiltinsEvE18workitem_functions
00007ff9434426e0 (__DATA_DIRTY,__bss) non-external __ZGVZN28AGCLLVMAGPFragmentShaderGen320replaceTileFunctionsEvE18workitem_functions
00007ff943738ff0 (__DATA,__bss) non-external __ZGVZN29AGCLLVMDriverFastClearShaders6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK22_AGCBlitFastClearStateE9computeCS
00007ff943738f20 (__DATA,__bss) non-external __ZGVZN30AGCLLVMUserComputeKernelLegacy24replaceWorkitemFunctionsEvE18workitem_functions
00007ff943738a98 (__DATA,__bss) non-external __ZGVZN31AGCLLVMDriverTessellationShader12getDefaultCSEvE9defaultCS
00007ff943739070 (__DATA,__bss) non-external __ZGVZN32AGCLLVMDriverBlitBCComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEjbE9computeCS
00007ff943738af8 (__DATA,__bss) non-external __ZGVZN33AGCLLVMDriverVRRPatchVertexShader12getDefaultCSEvE9defaultCS
00007ff943738b18 (__DATA,__bss) non-external __ZGVZN34AGCLLVMDriverGPUGatherVertexShader12getDefaultCSEvE9defaultCS
00007ff94373b268 (__DATA,__bss) non-external __ZGVZN34AGCLLVMUserIntersectionShaderArrayI23RaytracingConstantsGen1EC1ER10AGCLLVMCtxPN4llvm6ModuleEPK25_AGCUserIntersectionStateE23disableParallelLeafLoop
00007ff94373b278 (__DATA,__bss) non-external __ZGVZN34AGCLLVMUserIntersectionShaderArrayI23RaytracingConstantsGen1EC1ER10AGCLLVMCtxPN4llvm6ModuleEPK25_AGCUserIntersectionStateE24disableParallelLeafTests
00007ff943738b38 (__DATA,__bss) non-external __ZGVZN35AGCLLVMDriverFastClearVertexShaders12getDefaultCSEvE9defaultCS
00007ff943738b58 (__DATA,__bss) non-external __ZGVZN35AGCLLVMDriverPDSPatchUpVertexShader12getDefaultCSEvE9defaultCS
00007ff9437391a0 (__DATA,__bss) non-external __ZGVZN36AGCLLVMDriverBVHBuilderComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK19_AGCBVHBuilderStateE17riaBvhGenOverride
00007ff9437391c0 (__DATA,__bss) non-external __ZGVZN36AGCLLVMDriverBVHBuilderComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEPK19_AGCBVHBuilderStateE9computeCS
00007ff943738a78 (__DATA,__bss) non-external __ZGVZN38AGCLLVMAGPVertexShaderPostTessellation15replaceBuiltinsEvE21tessellation_builtins
00007ff943739090 (__DATA,__bss) non-external __ZGVZN39AGCLLVMDriverGPUGatherComputeShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943738f40 (__DATA,__bss) non-external __ZGVZN41AGCLLVMDriverGPUGatherComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943738f60 (__DATA,__bss) non-external __ZGVZN42AGCLLVMDriverPDSPatchUpComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943739700 (__DATA,__bss) non-external __ZGVZN43AGCLLVMUserIntersectionShaderLoopShaderPass13runOnFunctionERN4llvm8FunctionEE9arguments
00007ff943739130 (__DATA,__bss) non-external __ZGVZN44AGCLLVMDriverComputeProgressMarkerShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943739110 (__DATA,__bss) non-external __ZGVZN44AGCLLVMDriverExecuteIndirectComputeShaderG106createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943442dd0 (__DATA_DIRTY,__bss) non-external __ZGVZN45AGCLLVMDriverExecuteIndirectComputeShaderGen56createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943739170 (__DATA,__bss) non-external __ZGVZN46AGCLLVMDriverComputeProgressMarkerShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943738f80 (__DATA,__bss) non-external __ZGVZN47AGCLLVMDriverExecuteIndirectComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff9434426e8 (__DATA_DIRTY,__bss) non-external __ZGVZN47AGCLLVMDriverExecuteIndirectESLGenerationShader12getDefaultCSEvE9defaultCS
00007ff943739150 (__DATA,__bss) non-external __ZGVZN50AGCLLVMDriverComputeControlFlowPredicateShaderGen36createER10AGCLLVMCtxRN4llvm11LLVMContextEjbbE9computeCS
00007ff943739190 (__DATA,__bss) non-external __ZGVZN52AGCLLVMDriverComputeControlFlowPredicateShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEjbbE9computeCS
00007ff9434426f8 (__DATA_DIRTY,__bss) non-external __ZGVZN54AGCLLVMDriverExecuteIndirectRangeExecutionVertexShader12getDefaultCSEvE9defaultCS
00007ff943442de0 (__DATA_DIRTY,__bss) non-external __ZGVZN55AGCLLVMDriverExecuteIndirectRangeExecutionComputeShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943739010 (__DATA,__bss) non-external __ZGVZN58AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderG106createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943738fa0 (__DATA,__bss) non-external __ZGVZN61AGCLLVMDriverExecuteIndirectRangeExecutionComputeShaderLegacy6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff9437390b0 (__DATA,__bss) non-external __ZGVZN61AGCLLVMDriverGeometryPipelineEmulationFWAllocationSetupShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff9437390f0 (__DATA,__bss) non-external __ZGVZN63AGCLLVMDriverGeometryPipelineEmulationFWAllocationPreMeshShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff9437390d0 (__DATA,__bss) non-external __ZGVZN66AGCLLVMDriverGeometryPipelineEmulationFWAllocationPostObjectShader6createER10AGCLLVMCtxRN4llvm11LLVMContextEE9computeCS
00007ff943442508 (__DATA_DIRTY,__bss) non-external __ZGVZN6AGCEnv12getEnvLookupEvE9envlookup
00007ff9434424e8 (__DATA_DIRTY,__bss) non-external __ZGVZN6AGCEnv18getStatusVariablesEvE11status_vars
00007ff943442518 (__DATA_DIRTY,__bss) non-external __ZGVZN6AGCEnv8getOSLogEvE3log
00007ff943739d90 (__DATA,__bss) non-external __ZGVZNK20AGCLLVMTargetLowerer10getRTZModeE18_AGCFPRoundingModeE12clamp_to_f16
00007ff943738648 (__DATA,__bss) non-external __ZL10default_cs
00007ff943738bf8 (__DATA,__bss) non-external __ZL10default_cs.1617
00007ff9437391c8 (__DATA,__bss) non-external __ZL10default_cs.1926
00007ff9437396d1 (__DATA,__bss) non-external __ZL10default_cs.2478
00007ff943739708 (__DATA,__bss) non-external __ZL10default_cs.2772
00007ff9092f2e2b (__TEXT,__text) non-external __ZL11getFilePathv
00007ff909422b3c (__TEXT,__text) non-external __ZL11halfToFloatt
00007ff90941df74 (__TEXT,__text) non-external __ZL11loadRuntimePKcPN4llvm6ModuleE
00007ff9094b7118 (__TEXT,__const) non-external __ZL11texFormatA8
00007ff9094bb3d8 (__TEXT,__const) non-external __ZL11texFormatA8.7039
00007ff9094bfdb8 (__TEXT,__const) non-external __ZL11texFormatA8.7263
