00007ffb0844b5c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb08448b93 (__TEXT,__text) external _glClientActiveTextureARB
00007ffb08446b2c (__TEXT,__text) external _glClientWaitSync
00007ffb084415ef (__TEXT,__text) external _glClipPlane
00007ffb0844160e (__TEXT,__text) external _glColor3b
00007ffb0844162e (__TEXT,__text) external _glColor3bv
00007ffb0844164b (__TEXT,__text) external _glColor3d
00007ffb08441665 (__TEXT,__text) external _glColor3dv
00007ffb08441682 (__TEXT,__text) external _glColor3f
00007ffb0844169c (__TEXT,__text) external _glColor3fv
00007ffb084416b9 (__TEXT,__text) external _glColor3i
00007ffb084416d9 (__TEXT,__text) external _glColor3iv
00007ffb084416f6 (__TEXT,__text) external _glColor3s
00007ffb08441716 (__TEXT,__text) external _glColor3sv
00007ffb08441733 (__TEXT,__text) external _glColor3ub
00007ffb08441753 (__TEXT,__text) external _glColor3ubv
00007ffb08441770 (__TEXT,__text) external _glColor3ui
00007ffb08441790 (__TEXT,__text) external _glColor3uiv
00007ffb084417ad (__TEXT,__text) external _glColor3us
00007ffb084417cd (__TEXT,__text) external _glColor3usv
00007ffb084417ea (__TEXT,__text) external _glColor4b
00007ffb0844180d (__TEXT,__text) external _glColor4bv
00007ffb0844182a (__TEXT,__text) external _glColor4d
00007ffb08441844 (__TEXT,__text) external _glColor4dv
00007ffb08441861 (__TEXT,__text) external _glColor4f
00007ffb0844187b (__TEXT,__text) external _glColor4fv
00007ffb08441898 (__TEXT,__text) external _glColor4i
00007ffb084418bb (__TEXT,__text) external _glColor4iv
00007ffb084418d8 (__TEXT,__text) external _glColor4s
00007ffb084418fb (__TEXT,__text) external _glColor4sv
00007ffb08441918 (__TEXT,__text) external _glColor4ub
00007ffb0844193b (__TEXT,__text) external _glColor4ubv
00007ffb08441958 (__TEXT,__text) external _glColor4ui
00007ffb0844197b (__TEXT,__text) external _glColor4uiv
00007ffb08441998 (__TEXT,__text) external _glColor4us
00007ffb084419bb (__TEXT,__text) external _glColor4usv
00007ffb084419d8 (__TEXT,__text) external _glColorMask
00007ffb0844ad53 (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffb084460c9 (__TEXT,__text) external _glColorMaski
00007ffb084419fb (__TEXT,__text) external _glColorMaterial
00007ffb08441a19 (__TEXT,__text) external _glColorPointer
00007ffb08443eba (__TEXT,__text) external _glColorSubTable
00007ffb08449f16 (__TEXT,__text) external _glColorSubTableEXT
00007ffb08443db3 (__TEXT,__text) external _glColorTable
00007ffb08449ee2 (__TEXT,__text) external _glColorTableEXT
00007ffb08443de7 (__TEXT,__text) external _glColorTableParameterfv
00007ffb08443e09 (__TEXT,__text) external _glColorTableParameteriv
00007ffb0844b558 (__TEXT,__text) external _glCombinerInputNV
00007ffb0844b55e (__TEXT,__text) external _glCombinerOutputNV
00007ffb0844b546 (__TEXT,__text) external _glCombinerParameterfNV
00007ffb0844b540 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffb0844b552 (__TEXT,__text) external _glCombinerParameteriNV
00007ffb0844b54c (__TEXT,__text) external _glCombinerParameterivNV
00007ffb0844b58e (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffb0844565d (__TEXT,__text) external _glCompileShader
00007ffb084496ce (__TEXT,__text) external _glCompileShaderARB
00007ffb08449d40 (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffb0844478b (__TEXT,__text) external _glCompressedTexImage1D
00007ffb0844909b (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffb08444751 (__TEXT,__text) external _glCompressedTexImage2D
00007ffb08449061 (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffb08444713 (__TEXT,__text) external _glCompressedTexImage3D
00007ffb08449023 (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffb0844484a (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffb0844915a (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffb0844480c (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffb0844911c (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffb084447bb (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffb084490cb (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffb08443f15 (__TEXT,__text) external _glConvolutionFilter1D
00007ffb08443f49 (__TEXT,__text) external _glConvolutionFilter2D
00007ffb08443f79 (__TEXT,__text) external _glConvolutionParameterf
00007ffb08443f97 (__TEXT,__text) external _glConvolutionParameterfv
00007ffb08443fb9 (__TEXT,__text) external _glConvolutionParameteri
00007ffb08443fda (__TEXT,__text) external _glConvolutionParameteriv
00007ffb08446846 (__TEXT,__text) external _glCopyBufferSubData
00007ffb08443eee (__TEXT,__text) external _glCopyColorSubTable
00007ffb08443e2b (__TEXT,__text) external _glCopyColorTable
00007ffb08443ffc (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffb08444023 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffb08441a3c (__TEXT,__text) external _glCopyPixels
00007ffb08441a62 (__TEXT,__text) external _glCopyTexImage1D
00007ffb08441a95 (__TEXT,__text) external _glCopyTexImage2D
00007ffb08441ad4 (__TEXT,__text) external _glCopyTexSubImage1D
00007ffb08441b08 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffb08443d70 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffb0844567c (__TEXT,__text) external _glCreateProgram
00007ffb084496eb (__TEXT,__text) external _glCreateProgramObjectARB
00007ffb08445619 (__TEXT,__text) external _glCreateShader
00007ffb0844968c (__TEXT,__text) external _glCreateShaderObjectARB
00007ffb084477b8 (__TEXT,__text) external _glCreateShaderProgramv
00007ffb08441b47 (__TEXT,__text) external _glCullFace
00007ffb08444f1e (__TEXT,__text) external _glDeleteBuffers
00007ffb084494e9 (__TEXT,__text) external _glDeleteBuffersARB
00007ffb0844b03f (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffb08445e2a (__TEXT,__text) external _glDeleteFramebuffers
00007ffb0844a43a (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffb08441b63 (__TEXT,__text) external _glDeleteLists
00007ffb08449d21 (__TEXT,__text) external _glDeleteNamedStringARB
00007ffb08449633 (__TEXT,__text) external _glDeleteObjectARB
00007ffb084456f6 (__TEXT,__text) external _glDeleteProgram
00007ffb084477f6 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffb0844827b (__TEXT,__text) external _glDeleteProgramsARB
00007ffb08444e25 (__TEXT,__text) external _glDeleteQueries
00007ffb084493f0 (__TEXT,__text) external _glDeleteQueriesARB
00007ffb08445d6c (__TEXT,__text) external _glDeleteRenderbuffers
00007ffb0844a37c (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffb08446d2b (__TEXT,__text) external _glDeleteSamplers
00007ffb084455d5 (__TEXT,__text) external _glDeleteShader
00007ffb08446b0f (__TEXT,__text) external _glDeleteSync
00007ffb08441b81 (__TEXT,__text) external _glDeleteTextures
00007ffb084474a8 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffb0844606f (__TEXT,__text) external _glDeleteVertexArrays
00007ffb0844b182 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffb08449ec8 (__TEXT,__text) external _glDepthBoundsEXT
00007ffb08441ba0 (__TEXT,__text) external _glDepthFunc
00007ffb08441bbc (__TEXT,__text) external _glDepthMask
00007ffb08441bd8 (__TEXT,__text) external _glDepthRange
00007ffb084481db (__TEXT,__text) external _glDepthRangeArrayv
00007ffb084481fd (__TEXT,__text) external _glDepthRangeIndexed
00007ffb084476d7 (__TEXT,__text) external _glDepthRangef
00007ffb0844966c (__TEXT,__text) external _glDetachObjectARB
00007ffb084455f4 (__TEXT,__text) external _glDetachShader
00007ffb08441bf2 (__TEXT,__text) external _glDisable
00007ffb08441c0e (__TEXT,__text) external _glDisableClientState
00007ffb0844ad98 (__TEXT,__text) external _glDisableIndexedEXT
00007ffb0844aef2 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffb08445531 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffb0844877f (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffb08446152 (__TEXT,__text) external _glDisablei
00007ffb08441c2a (__TEXT,__text) external _glDrawArrays
00007ffb08447073 (__TEXT,__text) external _glDrawArraysIndirect
00007ffb0844696d (__TEXT,__text) external _glDrawArraysInstanced
00007ffb08449c0d (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffb08441c4b (__TEXT,__text) external _glDrawBuffer
00007ffb08445068 (__TEXT,__text) external _glDrawBuffers
00007ffb08449bb2 (__TEXT,__text) external _glDrawBuffersARB
00007ffb0844b1fb (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffb08441c67 (__TEXT,__text) external _glDrawElements
00007ffb084469f5 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffb08447092 (__TEXT,__text) external _glDrawElementsIndirect
00007ffb08446991 (__TEXT,__text) external _glDrawElementsInstanced
00007ffb08449c31 (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffb08446a4f (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffb08441c8b (__TEXT,__text) external _glDrawPixels
00007ffb0844b21c (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffb08443ca1 (__TEXT,__text) external _glDrawRangeElements
00007ffb08446a1c (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffb0844a248 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffb08447530 (__TEXT,__text) external _glDrawTransformFeedback
00007ffb0844754e (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffb08441cb2 (__TEXT,__text) external _glEdgeFlag
00007ffb08441cce (__TEXT,__text) external _glEdgeFlagPointer
00007ffb08441ced (__TEXT,__text) external _glEdgeFlagv
00007ffb0844b1dc (__TEXT,__text) external _glElementPointerAPPLE
00007ffb08441d0a (__TEXT,__text) external _glEnable
00007ffb08441d26 (__TEXT,__text) external _glEnableClientState
00007ffb0844ad7a (__TEXT,__text) external _glEnableIndexedEXT
00007ffb0844aed4 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffb08445515 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffb08448763 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffb08446134 (__TEXT,__text) external _glEnablei
00007ffb08441d42 (__TEXT,__text) external _glEnd
00007ffb0844629a (__TEXT,__text) external _glEndConditionalRender
00007ffb0844b4d5 (__TEXT,__text) external _glEndConditionalRenderNV
00007ffb08441d59 (__TEXT,__text) external _glEndList
00007ffb08444e7e (__TEXT,__text) external _glEndQuery
00007ffb08449449 (__TEXT,__text) external _glEndQueryARB
00007ffb08447590 (__TEXT,__text) external _glEndQueryIndexed
00007ffb084461aa (__TEXT,__text) external _glEndTransformFeedback
00007ffb0844a70e (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffb08441d70 (__TEXT,__text) external _glEvalCoord1d
00007ffb08441d8a (__TEXT,__text) external _glEvalCoord1dv
00007ffb08441da7 (__TEXT,__text) external _glEvalCoord1f
00007ffb08441dc1 (__TEXT,__text) external _glEvalCoord1fv
00007ffb08441dde (__TEXT,__text) external _glEvalCoord2d
00007ffb08441df8 (__TEXT,__text) external _glEvalCoord2dv
00007ffb08441e15 (__TEXT,__text) external _glEvalCoord2f
00007ffb08441e2f (__TEXT,__text) external _glEvalCoord2fv
00007ffb08441e4c (__TEXT,__text) external _glEvalMesh1
00007ffb08441e6d (__TEXT,__text) external _glEvalMesh2
00007ffb08441e94 (__TEXT,__text) external _glEvalPoint1
00007ffb08441eb0 (__TEXT,__text) external _glEvalPoint2
00007ffb08441ece (__TEXT,__text) external _glFeedbackBuffer
00007ffb08446ad4 (__TEXT,__text) external _glFenceSync
00007ffb0844b564 (__TEXT,__text) external _glFinalCombinerInputNV
00007ffb08441ef0 (__TEXT,__text) external _glFinish
00007ffb0844b0b2 (__TEXT,__text) external _glFinishFenceAPPLE
00007ffb0844b0ec (__TEXT,__text) external _glFinishObjectAPPLE
00007ffb0844b2b4 (__TEXT,__text) external _glFinishRenderAPPLE
00007ffb08441f07 (__TEXT,__text) external _glFlush
00007ffb08446030 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffb0844b303 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffb0844b29d (__TEXT,__text) external _glFlushRenderAPPLE
00007ffb0844b129 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffb08444926 (__TEXT,__text) external _glFogCoordPointer
00007ffb0844a226 (__TEXT,__text) external _glFogCoordPointerEXT
00007ffb084448ef (__TEXT,__text) external _glFogCoordd
00007ffb0844a1ef (__TEXT,__text) external _glFogCoorddEXT
00007ffb08444909 (__TEXT,__text) external _glFogCoorddv
00007ffb0844a209 (__TEXT,__text) external _glFogCoorddvEXT
00007ffb084448b8 (__TEXT,__text) external _glFogCoordf
00007ffb0844a1b8 (__TEXT,__text) external _glFogCoordfEXT
00007ffb084448d2 (__TEXT,__text) external _glFogCoordfv
00007ffb0844a1d2 (__TEXT,__text) external _glFogCoordfvEXT
00007ffb08441f1e (__TEXT,__text) external _glFogf
00007ffb08441f3a (__TEXT,__text) external _glFogfv
00007ffb08441f59 (__TEXT,__text) external _glFogi
00007ffb08441f77 (__TEXT,__text) external _glFogiv
00007ffb08445f06 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffb0844a516 (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffb08446ca5 (__TEXT,__text) external _glFramebufferTexture
00007ffb08445e84 (__TEXT,__text) external _glFramebufferTexture1D
00007ffb0844a494 (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffb08445eab (__TEXT,__text) external _glFramebufferTexture2D
00007ffb0844a4bb (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffb08445ed2 (__TEXT,__text) external _glFramebufferTexture3D
00007ffb0844a4e2 (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffb0844a614 (__TEXT,__text) external _glFramebufferTextureEXT
00007ffb0844a65f (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffb08445fe3 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffb0844a638 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffb08441f96 (__TEXT,__text) external _glFrontFace
00007ffb08441fb2 (__TEXT,__text) external _glFrustum
00007ffb08444f3d (__TEXT,__text) external _glGenBuffers
00007ffb08449508 (__TEXT,__text) external _glGenBuffersARB
00007ffb0844b020 (__TEXT,__text) external _glGenFencesAPPLE
00007ffb08445e49 (__TEXT,__text) external _glGenFramebuffers
00007ffb0844a459 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffb08441fcc (__TEXT,__text) external _glGenLists
00007ffb08447815 (__TEXT,__text) external _glGenProgramPipelines
00007ffb0844829a (__TEXT,__text) external _glGenProgramsARB
00007ffb08444e06 (__TEXT,__text) external _glGenQueries
00007ffb084493d1 (__TEXT,__text) external _glGenQueriesARB
00007ffb08445d8b (__TEXT,__text) external _glGenRenderbuffers
00007ffb0844a39b (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffb08446d0c (__TEXT,__text) external _glGenSamplers
00007ffb08441fe8 (__TEXT,__text) external _glGenTextures
00007ffb084474c7 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffb0844608e (__TEXT,__text) external _glGenVertexArrays
00007ffb0844b1a1 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffb08445f4e (__TEXT,__text) external _glGenerateMipmap
00007ffb0844a55e (__TEXT,__text) external _glGenerateMipmapEXT
00007ffb08445b81 (__TEXT,__text) external _glGetActiveAttrib
00007ffb08449b61 (__TEXT,__text) external _glGetActiveAttribARB
00007ffb084473b1 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffb0844737d (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffb08447356 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffb08445ab7 (__TEXT,__text) external _glGetActiveUniform
00007ffb08449aa1 (__TEXT,__text) external _glGetActiveUniformARB
00007ffb08446925 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffb08446901 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffb084468bb (__TEXT,__text) external _glGetActiveUniformName
00007ffb08446893 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffb08449a5b (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffb08445a26 (__TEXT,__text) external _glGetAttachedShaders
00007ffb08445bb4 (__TEXT,__text) external _glGetAttribLocation
00007ffb08449b92 (__TEXT,__text) external _glGetAttribLocationARB
00007ffb0844a79c (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffb084460f0 (__TEXT,__text) external _glGetBooleani_v
00007ffb08442007 (__TEXT,__text) external _glGetBooleanv
00007ffb08446c83 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffb08445024 (__TEXT,__text) external _glGetBufferParameteriv
00007ffb084495ef (__TEXT,__text) external _glGetBufferParameterivARB
00007ffb08445046 (__TEXT,__text) external _glGetBufferPointerv
00007ffb08449611 (__TEXT,__text) external _glGetBufferPointervARB
00007ffb08444fc4 (__TEXT,__text) external _glGetBufferSubData
00007ffb0844958f (__TEXT,__text) external _glGetBufferSubDataARB
00007ffb08442026 (__TEXT,__text) external _glGetClipPlane
00007ffb08443e52 (__TEXT,__text) external _glGetColorTable
00007ffb08449f4a (__TEXT,__text) external _glGetColorTableEXT
00007ffb08443e76 (__TEXT,__text) external _glGetColorTableParameterfv
00007ffb08449f6e (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffb08443e98 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffb08449f90 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffb0844b56a (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffb0844b570 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffb0844b576 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffb0844b57c (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffb0844b594 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffb0844487a (__TEXT,__text) external _glGetCompressedTexImage
00007ffb0844918a (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffb08444057 (__TEXT,__text) external _glGetConvolutionFilter
00007ffb0844407b (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffb0844409d (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffb0844823b (__TEXT,__text) external _glGetDoublei_v
00007ffb08442045 (__TEXT,__text) external _glGetDoublev
00007ffb08442064 (__TEXT,__text) external _glGetError
00007ffb0844b582 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffb0844b588 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffb08448219 (__TEXT,__text) external _glGetFloati_v
00007ffb0844207b (__TEXT,__text) external _glGetFloatv
00007ffb08446ced (__TEXT,__text) external _glGetFragDataIndex
00007ffb084465e8 (__TEXT,__text) external _glGetFragDataLocation
00007ffb0844ac64 (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffb08445f2a (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffb0844a53a (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffb08449650 (__TEXT,__text) external _glGetHandleARB
00007ffb08444130 (__TEXT,__text) external _glGetHistogram
00007ffb08444157 (__TEXT,__text) external _glGetHistogramParameterfv
00007ffb08444179 (__TEXT,__text) external _glGetHistogramParameteriv
00007ffb08449a35 (__TEXT,__text) external _glGetInfoLogARB
00007ffb08446c61 (__TEXT,__text) external _glGetInteger64i_v
00007ffb08446b72 (__TEXT,__text) external _glGetInteger64v
00007ffb0844a77a (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffb08446112 (__TEXT,__text) external _glGetIntegeri_v
00007ffb0844209a (__TEXT,__text) external _glGetIntegerv
00007ffb08449dd1 (__TEXT,__text) external _glGetInternalformativ
00007ffb084420b9 (__TEXT,__text) external _glGetLightfv
00007ffb084420db (__TEXT,__text) external _glGetLightiv
00007ffb084420fd (__TEXT,__text) external _glGetMapdv
00007ffb0844211f (__TEXT,__text) external _glGetMapfv
00007ffb08442141 (__TEXT,__text) external _glGetMapiv
00007ffb08442163 (__TEXT,__text) external _glGetMaterialfv
00007ffb08442185 (__TEXT,__text) external _glGetMaterialiv
00007ffb0844419b (__TEXT,__text) external _glGetMinmax
00007ffb084441c2 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffb084441e4 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffb08446c21 (__TEXT,__text) external _glGetMultisamplefv
00007ffb08449d84 (__TEXT,__text) external _glGetNamedStringARB
00007ffb08449dac (__TEXT,__text) external _glGetNamedStringivARB
00007ffb0844ae58 (__TEXT,__text) external _glGetObjectLabelEXT
00007ffb084499ef (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffb0844b368 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffb08449a12 (__TEXT,__text) external _glGetObjectParameterivARB
00007ffb084421a7 (__TEXT,__text) external _glGetPixelMapfv
00007ffb084421c6 (__TEXT,__text) external _glGetPixelMapuiv
00007ffb084421e5 (__TEXT,__text) external _glGetPixelMapusv
00007ffb08442204 (__TEXT,__text) external _glGetPointerv
00007ffb08442223 (__TEXT,__text) external _glGetPolygonStipple
00007ffb0844770b (__TEXT,__text) external _glGetProgramBinary
00007ffb0844896b (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00007ffb0844898d (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00007ffb08445a70 (__TEXT,__text) external _glGetProgramInfoLog
00007ffb084489af (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00007ffb084489d1 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
00007ffb0844788e (__TEXT,__text) external _glGetProgramPipelineInfoLog
00007ffb08447850 (__TEXT,__text) external _glGetProgramPipelineiv
00007ffb08447429 (__TEXT,__text) external _glGetProgramStageiv
