00007fff6eafb5fa (__TEXT,__text) external _DriverExecutableMain
00007fff6eafb63c (__TEXT,__text) external _IOUserServerMain
00007fff6eb1510f (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007fff6eb15132 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007fff6eb15155 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007fff6eb15178 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007fff6eb1519b (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007fff6eb151be (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007fff6eb151e1 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007fff6eb15204 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007fff6eb15227 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007fff8d111b40 (__DATA_CONST,__const) external _IOUserServer_Class
00007fff80075840 (__DATA_DIRTY,__common) external _IOVMPageSize
                 (undefined) external _NDR_record (from libSystem)
00007fff8d111cf0 (__DATA_CONST,__const) external _OSAction_Class
00007fff8d111900 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007fff8d112a10 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007fff6eb00a0a (__TEXT,__text) external _OSArrayAppendValue
00007fff6eb00743 (__TEXT,__text) external _OSArrayApply
00007fff6eb0044a (__TEXT,__text) external _OSArrayCreate
00007fff6eaffc37 (__TEXT,__text) external _OSArrayGetCount
00007fff6eb00a98 (__TEXT,__text) external _OSArrayGetStringValue
00007fff6eb00b08 (__TEXT,__text) external _OSArrayGetUInt64Value
00007fff6eb00a3e (__TEXT,__text) external _OSArrayGetValue
00007fff6eb009fb (__TEXT,__text) external _OSArrayReplaceValue
00007fff6eb00ac3 (__TEXT,__text) external _OSArraySetStringValue
00007fff6eb00bce (__TEXT,__text) external _OSArraySetUInt64Value
00007fff6eb0086e (__TEXT,__text) external _OSArraySetValue
00007fff8d111ea0 (__DATA_CONST,__const) external _OSArray_Class
00007fff8d111f98 (__DATA_CONST,__const) external _OSBoolean_Class
00007fff6eaff396 (__TEXT,__text) external _OSCollectionTypeID
00007fff6eb15984 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007fff6eaff31c (__TEXT,__text) external _OSCollectionTypeName
00007fff6eb15940 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007fff8d112090 (__DATA_CONST,__const) external _OSCollection_Class
00007fff6eb02cd8 (__TEXT,__text) external _OSCollectionsInitialize
00007fff8d112188 (__DATA_CONST,__const) external _OSContainer_Class
00007fff6eaff3f7 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007fff6eb01394 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007fff6eb15cef (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007fff6eb01297 (__TEXT,__text) external _OSCreateSerializationFromObject
00007fff6eaffaaf (__TEXT,__text) external _OSDataAppendBytes
00007fff6eaffa25 (__TEXT,__text) external _OSDataCreate
00007fff6eaff9d6 (__TEXT,__text) external _OSDataGetBytes
00007fff6eaff990 (__TEXT,__text) external _OSDataGetBytesPtr
00007fff6eaff9c5 (__TEXT,__text) external _OSDataGetLength
00007fff8d1122e8 (__DATA_CONST,__const) external _OSData_Class
00007fff6eaffc44 (__TEXT,__text) external _OSDictionaryApply
00007fff6eaffbce (__TEXT,__text) external _OSDictionaryCreate
00007fff6eaffc2a (__TEXT,__text) external _OSDictionaryGetCount
00007fff6eb00258 (__TEXT,__text) external _OSDictionaryGetStringValue
00007fff6eb0036a (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007fff6eb001bb (__TEXT,__text) external _OSDictionaryGetValue
00007fff6eb00325 (__TEXT,__text) external _OSDictionarySetStringValue
00007fff6eb0040c (__TEXT,__text) external _OSDictionarySetUInt64Value
00007fff6eafff08 (__TEXT,__text) external _OSDictionarySetValue
00007fff8d1123e0 (__DATA_CONST,__const) external _OSDictionary_Class
00007fff6eaffb64 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007fff6eaffb43 (__TEXT,__text) external _OSNumberGetUInt64Value
00007fff8d1124d8 (__DATA_CONST,__const) external _OSNumber_Class
00007fff6eb01974 (__TEXT,__text) external _OSObjectLog
00007fff6eaff352 (__TEXT,__text) external _OSObjectRelease
00007fff6eaff347 (__TEXT,__text) external _OSObjectRetain
00007fff8d1125d0 (__DATA_CONST,__const) external _OSObject_Class
00007fff6eaf9331 (__TEXT,__text) external _OSReportWithBacktrace
00007fff6eb0146c (__TEXT,__text) external _OSSerializationGetBytes
00007fff8d112780 (__DATA_CONST,__const) external _OSSerialization_Class
00007fff6eaff6ac (__TEXT,__text) external _OSStringCreate
00007fff6eb15a56 (__TEXT,__text) non-external _OSStringCreate.cold.1
00007fff6eaff66b (__TEXT,__text) external _OSStringGetLength
00007fff6eb15a33 (__TEXT,__text) non-external _OSStringGetLength.cold.1
00007fff6eaff633 (__TEXT,__text) external _OSStringGetStringPtr
00007fff8d112878 (__DATA_CONST,__const) external _OSString_Class
00007fff6eaf8ddd (__TEXT,__text) external _OSSynchronizeIO
00007fff85d7e450 (__DATA,__bss) non-external _OSUniqueStrings
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007fff6eaf9614 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007fff8d112970 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007fff6eaf990a (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007fff6eb14a1a (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007fff6eb14a3d (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007fff6eafaca6 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007fff6eb14e65 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007fff6eb14e88 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007fff6eb14eab (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007fff6eb14ece (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007fff6eb14ef1 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007fff6eafa0f4 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007fff6eb14c39 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007fff6eb14c5c (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007fff6eb14c7f (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007fff6eb14ca2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007fff6eb14ce4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00007fff6eaf9b38 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007fff6eb14ac9 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007fff6eb00a20 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007fff6eb02c6e (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007fff6eaf9785 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007fff6eb149b1 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007fff6eb149d4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007fff6eb149f7 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007fff6eb00b33 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007fff6eb00ba3 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007fff6eb00b5e (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007fff6eaf9962 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007fff6eb14a60 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.1
00007fff6eb14a83 (__TEXT,__text) non-external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject.cold.2
00007fff6eb00ef8 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007fff6eb15ca9 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007fff6eb15ccc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007fff6eaf9e10 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007fff6eafb424 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007fff6eaf96fc (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007fff6eaf9667 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007fff6eb0148a (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007fff6eb15d12 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007fff6eaf9a80 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007fff6eb14aa6 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007fff6eaff3c4 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007fff6eb159a7 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007fff6eaff35d (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007fff6eb15961 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007fff6eaff947 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007fff6eb00c0c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007fff6eb15b05 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007fff6eb15b28 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007fff6eb15b4b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007fff6eb15b6e (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007fff6eaff916 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007fff6eb0050d (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayApplyP15OSSerialization17OSCollectionEntryU13block_pointerFbmS0_S1_E
00007fff6eb004a6 (__TEXT,__text) non-external (was a private external) __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry
00007fff6eb15a79 (__TEXT,__text) non-external __Z27OSCollectionEntryArrayCountP15OSSerialization17OSCollectionEntry.cold.1
00007fff6eaffb27 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007fff6eb00d38 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007fff6eb15b91 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007fff6eb15bb4 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007fff6eafada7 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00007fff6eb14f14 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00007fff6eb14f37 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00007fff6eafb3fc (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007fff6eafa9dc (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007fff6eb138ac (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007fff6eb1379e (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007fff6eb13222 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007fff6eb13948 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007fff6eb13990 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007fff6eaff8a2 (__TEXT,__text) non-external __ZL12OSStringFindjPKcm
00007fff6eb13f62 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007fff6eb0e9ca (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007fff6eb137f2 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007fff6eafc498 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007fff6eb15504 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007fff6eb15527 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007fff6eb1554a (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007fff6eb0e6de (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007fff6eb13864 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007fff6eafb0b6 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007fff6eb14f5a (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007fff6eb14f7d (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007fff6eb14fa0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007fff6eb14fc3 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007fff6eafbe0e (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007fff6eb15372 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007fff6eb15395 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007fff6eb153b8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007fff6eb153db (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007fff6eafecd3 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007fff6eb15802 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007fff6eb15825 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007fff6eb15848 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007fff6eb1586b (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007fff6eb1588e (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007fff6eb158b1 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00007fff6eb158d4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00007fff6eb0ad14 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00007fff6eb11eb2 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00007fff6eb12afe (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00007fff6eb1383a (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00007fff6eafb261 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00007fff6eafb2aa (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007fff6eb14fe6 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007fff6eb15009 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007fff6eb1502c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007fff6eb1504f (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007fff6eb15072 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.5
00007fff6eb15095 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.6
00007fff6eb138f4 (__TEXT,__text) non-external __ZL16OSDictionary_NewP11OSMetaClass
00007fff6eb0c7e2 (__TEXT,__text) non-external __ZL19IODispatchQueue_NewP11OSMetaClass
00007fff6eb007a0 (__TEXT,__text) non-external __ZL19OSArrayContainerizeP7OSArray
00007fff6eb00e14 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj
00007fff6eb15bd7 (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.1
00007fff6eb15bfa (__TEXT,__text) non-external __ZL19OSSerializationSizeP15OSSerializationj.cold.2
00007fff6eb00e54 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj
00007fff6eb15c1d (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.1
00007fff6eb15c40 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.2
00007fff6eb15c63 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.3
00007fff6eb15c86 (__TEXT,__text) non-external __ZL19OSSerializationSizePKjj.cold.4
00007fff6eb13f1a (__TEXT,__text) non-external __ZL19OSSerialization_NewP11OSMetaClass
00007fff85d7e440 (__DATA,__bss) non-external __ZL19OSUniqueStringsLock
00007fff85d7e430 (__DATA,__bss) non-external __ZL19gIODispatchQueueKey
00007fff6eb0cc8c (__TEXT,__text) non-external __ZL20IODispatchSource_NewP11OSMetaClass
00007fff6eb00698 (__TEXT,__text) non-external __ZL20OSArrayInternalApplyP7OSArrayjU13block_pointerFbmP15OSSerialization17OSCollectionEntryE
00007fff6eb00291 (__TEXT,__text) non-external __ZL20OSDictionaryGetEntryP12OSDictionaryP8OSObjectPKcPm
00007fff6eafb509 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64
00007fff6eb150b8 (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.1
00007fff6eb150db (__TEXT,__text) non-external __ZL20OSScanClassesInMachOP18IOUserServer_IVarsPK14mach_header_64.cold.2
00007fff6eb0249b (__TEXT,__text) non-external __ZL21OSArrayIterateObjectsP7OSArrayjU13block_pointerFbP8OSObjectE
00007fff6eb0dd90 (__TEXT,__text) non-external __ZL22IOMemoryDescriptor_NewP11OSMetaClass
00007fff6eb0087a (__TEXT,__text) non-external __ZL23OSArraySetValueInternalP7OSArraymP8OSObjectb
00007fff6eaffc9f (__TEXT,__text) non-external __ZL24OSDictionaryContainerizeP12OSDictionary
00007fff6eb115fa (__TEXT,__text) non-external __ZL25IOTimerDispatchSource_NewP11OSMetaClass
00007fff6eb190f8 (__TEXT,__const) non-external __ZL25OSClassDescription_OSData
00007fff6eaffd1a (__TEXT,__text) non-external __ZL25OSDictionaryInternalApplyP12OSDictionaryU13block_pointerFbmP15OSSerialization17OSCollectionEntryS3_E
00007fff6eb005a3 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE
00007fff6eb15a9c (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.1
00007fff6eb15abf (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.2
00007fff6eb15ae2 (__TEXT,__text) non-external __ZL25OSSerializationArrayApplyP15OSSerializationjjU13block_pointerFbmyE.cold.3
00007fff6eb13faa (__TEXT,__text) non-external __ZL25_IOBlockStorageDevice_NewP11OSMetaClass
00007fff6eb18b70 (__TEXT,__const) non-external __ZL26OSClassDescription_OSArray
00007fff6eb18a18 (__TEXT,__const) non-external __ZL27OSClassDescription_OSAction
00007fff6eb193a8 (__TEXT,__const) non-external __ZL27OSClassDescription_OSNumber
00007fff6eb19568 (__TEXT,__const) non-external __ZL27OSClassDescription_OSObject
00007fff6eb19820 (__TEXT,__const) non-external __ZL27OSClassDescription_OSString
00007fff6eaf8e72 (__TEXT,__text) non-external __ZL27PE_parse_boot_argn_internalPKcPvib
00007fff6eb0a8b0 (__TEXT,__text) non-external __ZL28IOBufferMemoryDescriptor_NewP11OSMetaClass
00007fff6eafc708 (__TEXT,__text) non-external __ZL28IODispatchQueueBlockFunctionPv
00007fff6eb17e30 (__TEXT,__const) non-external __ZL28OSClassDescription_IOService
00007fff6eb18cc8 (__TEXT,__const) non-external __ZL28OSClassDescription_OSBoolean
00007fff6eb001ca (__TEXT,__text) non-external __ZL28OSDictionaryGetValueInternalP12OSDictionaryP8OSObjectPKc
00007fff6eafff1a (__TEXT,__text) non-external __ZL28OSDictionarySetValueInternalP12OSDictionaryP8OSObjectPKcS2_
00007fff6eb0b850 (__TEXT,__text) non-external __ZL29IODataQueueDispatchSource_NewP11OSMetaClass
00007fff6eb0d572 (__TEXT,__text) non-external __ZL29IOInterruptDispatchSource_NewP11OSMetaClass
00007fff6eaffe70 (__TEXT,__text) non-external __ZL29OSCollectionEntryGetStringPtrP15OSSerialization17OSCollectionEntry
00007fff6eb17a98 (__TEXT,__const) non-external __ZL30OSClassDescription_IOMemoryMap
00007fff6eb18f78 (__TEXT,__const) non-external __ZL30OSClassDescription_OSContainer
00007fff6eb02e3f (__TEXT,__text) non-external __ZL30OSSerializationDictionaryApplyP15OSSerializationjU13block_pointerFbmyyE
