                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff815b8910b (__TEXT,__text) external __cg_jcopy_block_row
00007ff815bad190 (__TEXT,__const) non-external _base_dither_matrix
00007ff815bad0f0 (__TEXT,__const) non-external _bmask
00007ff815b87e81 (__TEXT,__text) non-external _build_ycc_rgb_table
00007ff815b85210 (__TEXT,__text) non-external _close_backing_store
00007ff815b7f233 (__TEXT,__text) non-external _cmyk_ycck_convert
00007ff815ba9fa5 (__TEXT,__text) non-external _color_quantize
00007ff815ba9f2a (__TEXT,__text) non-external _color_quantize3
00007ff815b8846a (__TEXT,__text) non-external _compress_data
00007ff815b886ee (__TEXT,__text) non-external _compress_first_pass
00007ff815b88ebe (__TEXT,__text) non-external _compress_output
00007ff815ba52b6 (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
00007ff815b93f8d (__TEXT,__text) non-external _consume_data
00007ff815b8a519 (__TEXT,__text) non-external _consume_markers
00007ff815ba9d86 (__TEXT,__text) non-external _create_colorindex
00007ff815b86103 (__TEXT,__text) non-external _decode_mcu
00007ff815ba4408 (__TEXT,__text) non-external _decode_mcu
00007ff815b85c18 (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff815ba3303 (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff815b85f16 (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff815ba3677 (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff815b859e6 (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff815ba30d5 (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff815b85e7a (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff815ba3573 (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff815ba3f93 (__TEXT,__text) non-external _decode_mcu_sub
00007ff815b94188 (__TEXT,__text) non-external _decompress_data
00007ff815b94348 (__TEXT,__text) non-external _decompress_onepass
00007ff815b9463c (__TEXT,__text) non-external _decompress_smooth_data
00007ff815bab750 (__TEXT,__text) non-external _do_barray_io
00007ff815bab68f (__TEXT,__text) non-external _do_sarray_io
00007ff815b94340 (__TEXT,__text) non-external _dummy_consume_data
00007ff815ba959f (__TEXT,__text) non-external _dump_buffer_e
00007ff815b84f64 (__TEXT,__text) non-external _emit_byte
00007ff815ba6017 (__TEXT,__text) non-external _emit_byte
00007ff815ba62da (__TEXT,__text) non-external _emit_dht
00007ff815ba605a (__TEXT,__text) non-external _emit_dqt
00007ff815ba8f0e (__TEXT,__text) non-external _emit_eobrun
00007ff815ba209d (__TEXT,__text) non-external _emit_message
00007ff815b84c79 (__TEXT,__text) non-external _emit_restart
00007ff815ba95e9 (__TEXT,__text) non-external _emit_restart_e
00007ff815ba61af (__TEXT,__text) non-external _emit_sof
00007ff815baa961 (__TEXT,__text) non-external _empty_mem_output_buffer
00007ff815baa774 (__TEXT,__text) non-external _empty_output_buffer
00007ff815b847b4 (__TEXT,__text) non-external _encode_mcu
00007ff815b8419c (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff815ba71c6 (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff815b84545 (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff815ba77fb (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff815b83f5e (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff815ba6eac (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff815b8449a (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff815ba766b (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff815ba7fae (__TEXT,__text) non-external _encode_mcu_gather
00007ff815ba81f5 (__TEXT,__text) non-external _encode_mcu_huff
00007ff815ba207c (__TEXT,__text) non-external _error_exit
00007ff815b83603 (__TEXT,__text) non-external _examine_app0
00007ff815b83851 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
00007ff815bad300 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ff815b93b87 (__TEXT,__text) non-external _fill_dc_scans
00007ff815b852d1 (__TEXT,__text) non-external _fill_input_buffer
00007ff815b809d5 (__TEXT,__text) non-external _fill_inverse_cmap
00007ff815b85445 (__TEXT,__text) non-external _fill_mem_input_buffer
00007ff815bac002 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
00007ff815b8af44 (__TEXT,__text) non-external _finish_input_pass
00007ff815b9668a (__TEXT,__text) non-external _finish_output_pass
00007ff815b83dd7 (__TEXT,__text) non-external _finish_pass
00007ff815b859e0 (__TEXT,__text) non-external _finish_pass
00007ff815b7fdbb (__TEXT,__text) non-external _finish_pass1
00007ff815b805ca (__TEXT,__text) non-external _finish_pass2
00007ff815ba9d6f (__TEXT,__text) non-external _finish_pass_1_quant
00007ff815ba6b2a (__TEXT,__text) non-external _finish_pass_gather
00007ff815ba30a9 (__TEXT,__text) non-external _finish_pass_huff
00007ff815ba6c65 (__TEXT,__text) non-external _finish_pass_huff
00007ff815b95afc (__TEXT,__text) non-external _finish_pass_master
00007ff815bad2f0 (__TEXT,__const) non-external _first_pool_slop
                 (undefined) external _fopen (from libSystem)
00007ff815ba2199 (__TEXT,__text) non-external _format_message
00007ff815b873bd (__TEXT,__text) non-external _forward_DCT
00007ff815b87523 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff815bab504 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
00007ff815ba1940 (__TEXT,__text) non-external _fullsize_downsample
00007ff815ba1780 (__TEXT,__text) non-external _fullsize_smooth_downsample
00007ff815b971ed (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
00007ff815b8679d (__TEXT,__text) non-external _get_byte
00007ff815b82c99 (__TEXT,__text) non-external _get_interesting_appn
00007ff815b8320d (__TEXT,__text) non-external _get_sof
00007ff815b87d22 (__TEXT,__text) non-external _gray_rgb_convert
00007ff815b7ee5a (__TEXT,__text) non-external _grayscale_convert
00007ff815b87bb6 (__TEXT,__text) non-external _grayscale_convert
00007ff815ba19d4 (__TEXT,__text) non-external _h2v1_downsample
00007ff815ba27b8 (__TEXT,__text) non-external _h2v1_merged_upsample
00007ff815b971f6 (__TEXT,__text) non-external _h2v1_upsample
00007ff815ba1d8a (__TEXT,__text) non-external _h2v2_downsample
00007ff815ba2567 (__TEXT,__text) non-external _h2v2_merged_upsample
00007ff815ba1abb (__TEXT,__text) non-external _h2v2_smooth_downsample
00007ff815b97254 (__TEXT,__text) non-external _h2v2_upsample
00007ff815baa744 (__TEXT,__text) non-external _init_destination
00007ff815b7fca9 (__TEXT,__text) non-external _init_error_limit
00007ff815baa95b (__TEXT,__text) non-external _init_mem_destination
00007ff815b8543f (__TEXT,__text) non-external _init_mem_source
00007ff815b852c0 (__TEXT,__text) non-external _init_source
00007ff815ba1e94 (__TEXT,__text) non-external _int_downsample
00007ff815b972f9 (__TEXT,__text) non-external _int_upsample
00007ff815b89088 (__TEXT,__text) non-external (was a private external) _jdiv_round_up
00007ff815b85482 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
00007ff815b83b1a (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
00007ff815bab8a0 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
00007ff815b7e558 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
00007ff815b89f21 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
00007ff815b93227 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
00007ff815b9975a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
00007ff815b9e417 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
00007ff815b99bdc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
00007ff815b9a2ee (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
00007ff815b9dda7 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
00007ff815b9a8ce (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
00007ff815b9b096 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
00007ff815b9d403 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
00007ff815b9b85d (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
00007ff815b9bffc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
00007ff815b9c934 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
00007ff815b99319 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
00007ff815ba108c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
00007ff815b9f0be (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
00007ff815b99268 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
00007ff815ba0f70 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
00007ff815b99134 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
00007ff815ba0d92 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
00007ff815b9ef4d (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
00007ff815b98e6a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
00007ff815ba062a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
00007ff815ba0292 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
00007ff815b98c37 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
00007ff815b9fe4a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
00007ff815b9ed9e (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
00007ff815b989e9 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
00007ff815b9f814 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
00007ff815b98694 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
00007ff815b9f142 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
00007ff815b9e994 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
00007ff815b9938c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
00007ff815ba48e8 (__TEXT,__text) non-external _jpeg_fill_bit_buffer
00007ff815ba9249 (__TEXT,__text) non-external _jpeg_gen_optimal_table
00007ff815ba4a44 (__TEXT,__text) non-external _jpeg_huff_decode
00007ff815b8c70f (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
00007ff815b908ca (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
00007ff815b8cbd3 (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
00007ff815b8d20d (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
00007ff815b903fa (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
00007ff815b8d804 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
00007ff815b8df41 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
00007ff815b8fe3c (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
00007ff815b8e652 (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
00007ff815b8edc5 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
00007ff815b8f665 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
00007ff815b92eaa (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
00007ff815b91388 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
00007ff815b92d50 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
00007ff815b8c062 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
00007ff815b92b36 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
00007ff815b911ef (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
00007ff815b92752 (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
00007ff815b9236d (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
00007ff815b8bc12 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
00007ff815b91f2c (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
00007ff815b90fdb (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
00007ff815b8b936 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
00007ff815b91a02 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
00007ff815b8b53a (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
00007ff815b913ee (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
00007ff815b90cb1 (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
00007ff815b8c2c2 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
00007ff815ba8c2e (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
00007ff815ba3c70 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
00007ff815baa852 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
00007ff815b853a7 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
00007ff815bac670 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
00007ff815bac600 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
00007ff815bac580 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
00007ff815bac4d0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
00007ff815bac400 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
00007ff815bac2f0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
00007ff815bacff0 (__TEXT,__const) non-external _jpeg_zigzag_order
00007ff815bacda0 (__TEXT,__const) non-external _jpeg_zigzag_order2
00007ff815bacdb0 (__TEXT,__const) non-external _jpeg_zigzag_order3
00007ff815bacde0 (__TEXT,__const) non-external _jpeg_zigzag_order4
00007ff815bace20 (__TEXT,__const) non-external _jpeg_zigzag_order5
00007ff815bace90 (__TEXT,__const) non-external _jpeg_zigzag_order6
00007ff815bacf20 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff815ba278e (__TEXT,__text) non-external _merged_1v_upsample
00007ff815ba248c (__TEXT,__text) non-external _merged_2v_upsample
                 (undefined) external _mktemp (from libSystem)
00007ff815ba9d75 (__TEXT,__text) non-external _new_color_map_1_quant
00007ff815b7fc95 (__TEXT,__text) non-external _new_color_map_2_quant
00007ff815b81071 (__TEXT,__text) non-external _next_marker
00007ff815b971e0 (__TEXT,__text) non-external _noop_upsample
00007ff815b7f1c4 (__TEXT,__text) non-external _null_convert
00007ff815b881a7 (__TEXT,__text) non-external _null_convert
00007ff815b7ee54 (__TEXT,__text) non-external _null_method
00007ff815ba20ec (__TEXT,__text) non-external _output_message
00007ff815ba64f2 (__TEXT,__text) non-external _output_pass_setup
00007ff815b8017b (__TEXT,__text) non-external _pass2_fs_dither
00007ff815b804df (__TEXT,__text) non-external _pass2_no_dither
00007ff815b95ac8 (__TEXT,__text) non-external _pass_startup
00007ff815b95cf6 (__TEXT,__text) non-external _per_scan_setup
00007ff815b9756a (__TEXT,__text) non-external _post_process_1pass
00007ff815b976cc (__TEXT,__text) non-external _post_process_2pass
00007ff815b975ee (__TEXT,__text) non-external _post_process_prepass
00007ff815b89569 (__TEXT,__text) non-external _pre_process_context
00007ff815b897aa (__TEXT,__text) non-external _pre_process_data
00007ff815b9650b (__TEXT,__text) non-external _prepare_for_output_pass
00007ff815b9590c (__TEXT,__text) non-external _prepare_for_pass
00007ff815b7fd44 (__TEXT,__text) non-external _prescan_quantize
00007ff815b96a8a (__TEXT,__text) non-external _process_data_context_main
00007ff815b96e98 (__TEXT,__text) non-external _process_data_crank_post
00007ff815b89215 (__TEXT,__text) non-external _process_data_simple_main
00007ff815b96e19 (__TEXT,__text) non-external _process_data_simple_main
00007ff815b8650f (__TEXT,__text) non-external _process_restart
00007ff815ba485b (__TEXT,__text) non-external _process_restart
00007ff815baa038 (__TEXT,__text) non-external _quantize3_ord_dither
00007ff815baa24a (__TEXT,__text) non-external _quantize_fs_dither
00007ff815baa156 (__TEXT,__text) non-external _quantize_ord_dither
00007ff815b8512c (__TEXT,__text) non-external _read_backing_store
00007ff815b812a5 (__TEXT,__text) non-external _read_markers
00007ff815b82b34 (__TEXT,__text) non-external _read_restart_marker
00007ff815bab026 (__TEXT,__text) non-external _realize_virt_arrays
00007ff815baaf93 (__TEXT,__text) non-external _request_virt_barray
00007ff815baaf00 (__TEXT,__text) non-external _request_virt_sarray
00007ff815ba2270 (__TEXT,__text) non-external _reset_error_mgr
00007ff815b8aca6 (__TEXT,__text) non-external _reset_input_controller
00007ff815b81275 (__TEXT,__text) non-external _reset_marker_reader
00007ff815b87c71 (__TEXT,__text) non-external _rgb1_gray_convert
00007ff815b87fd1 (__TEXT,__text) non-external _rgb1_rgb_convert
00007ff815b7efe6 (__TEXT,__text) non-external _rgb_convert
00007ff815b87f60 (__TEXT,__text) non-external _rgb_convert
00007ff815b7ef69 (__TEXT,__text) non-external _rgb_gray_convert
00007ff815b87bd4 (__TEXT,__text) non-external _rgb_gray_convert
00007ff815b7f054 (__TEXT,__text) non-external _rgb_rgb1_convert
00007ff815b7f0d8 (__TEXT,__text) non-external _rgb_ycc_convert
00007ff815b7eea8 (__TEXT,__text) non-external _rgb_ycc_start
00007ff815b82f04 (__TEXT,__text) non-external _save_marker
00007ff815bad290 (__TEXT,__const) non-external _select_ncolors.RGB_order
00007ff815b95b64 (__TEXT,__text) non-external _select_scan_parameters
00007ff815bab649 (__TEXT,__text) non-external _self_destruct
00007ff815ba16e8 (__TEXT,__text) non-external _sep_downsample
00007ff815b970ad (__TEXT,__text) non-external _sep_upsample
00007ff815b85357 (__TEXT,__text) non-external _skip_input_data
00007ff815b82bc4 (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
00007ff815b88424 (__TEXT,__text) non-external _start_iMCU_row
00007ff815b945f3 (__TEXT,__text) non-external _start_iMCU_row
00007ff815b8aced (__TEXT,__text) non-external _start_input_pass
00007ff815b93e2d (__TEXT,__text) non-external _start_input_pass
00007ff815b93e41 (__TEXT,__text) non-external _start_output_pass
00007ff815b7f42a (__TEXT,__text) non-external _start_pass
00007ff815b83bca (__TEXT,__text) non-external _start_pass
00007ff815b855ea (__TEXT,__text) non-external _start_pass
00007ff815babce0 (__TEXT,__const) non-external _start_pass.aanscalefactor
00007ff815babc60 (__TEXT,__const) non-external _start_pass.aanscales
00007ff815ba9b6f (__TEXT,__text) non-external _start_pass_1_quant
00007ff815b7fb4b (__TEXT,__text) non-external _start_pass_2_quant
00007ff815b8836c (__TEXT,__text) non-external _start_pass_coef
00007ff815ba527d (__TEXT,__text) non-external _start_pass_coef
00007ff815b87bb0 (__TEXT,__text) non-external _start_pass_dcolor
00007ff815ba16e2 (__TEXT,__text) non-external _start_pass_downsample
