                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
00007ffb1a703d18 (__TEXT,__const) external _FMSampleRateUnknown
                 (undefined) external _OBJC_CLASS_$_NSPersistentContainer (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPersistentStoreDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
00007ffb44486258 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMClip
00007ffb44485830 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMDownloadOptions
00007ffb44485600 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMFetchOptions
00007ffb444857e0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMKeyFrame
00007ffb44485f60 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMMixParameters
00007ffb44485b50 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSong
00007ffb44485b00 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongAsset
00007ffb444858d0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongLibrary
00007ffb44485a10 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongMetadata
00007ffb44485880 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongRendition
00007ffb44486190 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMTimedMetadataItem
00007ffb44485bf0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMTrack
00007ffb444856f0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexCloudManager
00007ffb44486140 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexCloudSongAsset
00007ffb444862d0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLegacySongRendition
00007ffb44485d80 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBController
00007ffb44485f88 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBGenre
00007ffb44485b78 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBLastCloudUpdate
00007ffb44486078 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBRegion
00007ffb444860c8 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSong
00007ffb44485920 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSongData
00007ffb44485ce0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMLGainValue
00007ffb44485cb8 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMLSegment
00007ffb44485970 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMLSong
00007ffb44485d30 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMLSongRendition
00007ffb44485c90 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMLSummary
00007ffb444859c0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMLSummaryManager
00007ffb44485dd0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMarker
00007ffb44485e70 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexMobileAssetManagerV2
00007ffb444856a0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexReachability
00007ffb44486230 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexSegment
