00007ff81532dcd8 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff81532f63b (__TEXT,__text) non-external -[CalAttendee hash]
00007ff81532f5a9 (__TEXT,__text) non-external -[CalAttendee initWithEKParticipant:]
00007ff81532f651 (__TEXT,__text) non-external -[CalAttendee isEqual:]
00007ff81532f9aa (__TEXT,__text) non-external -[CalAttendee setEkParticipant:]
00007ff81532f3ec (__TEXT,__text) non-external -[CalAttendee status]
00007ff815333bd5 (__TEXT,__text) non-external -[CalCalendar .cxx_destruct]
00007ff81532ec16 (__TEXT,__text) non-external -[CalCalendar color]
00007ff815333b50 (__TEXT,__text) non-external -[CalCalendar copyWithZone:]
00007ff81532ea74 (__TEXT,__text) non-external -[CalCalendar description]
00007ff815333bba (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff81533368a (__TEXT,__text) non-external -[CalCalendar hash]
00007ff8153335f8 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff8153334fd (__TEXT,__text) non-external -[CalCalendar init]
00007ff81532cdd2 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff8153336a0 (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff81532ebcb (__TEXT,__text) non-external -[CalCalendar notes]
00007ff81532cdbc (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff815333bc4 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff81532cda6 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff81532cd90 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff81532ebb5 (__TEXT,__text) non-external -[CalCalendar title]
00007ff81532ec2c (__TEXT,__text) non-external -[CalCalendar type]
00007ff81532d3ce (__TEXT,__text) non-external -[CalCalendar uid]
00007ff815337f48 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff81532ddd3 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff815336f61 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff81532e75e (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff81532e6f4 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff815337ea8 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff81532e69c (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff81532e527 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff815337f12 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff815336f43 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff815337e92 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff815336df7 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff8153373d8 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff815336f59 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff81532e6c8 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81533708b (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff8153370db (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff815337205 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff81532dec7 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff815337f1c (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff81532d4cc (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff81532d3e4 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff815337f37 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff81532d4e2 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff815337ba0 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff81532e6b2 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff81532e686 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff815337f2d (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff81532e6de (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff8153334d4 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff8153317df (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff8153317f3 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff81532fc6b (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff81532ca5b (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff81532fc60 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff815330624 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff8153334b9 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff81532fd4a (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81532d14c (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff815331a1b (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff815330148 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff81532fa1a (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff81532f9df (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff8153321ed (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff815330c45 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff81533153e (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff815331b2f (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff815330641 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff81533105c (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff8153334c3 (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff815330069 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff81532fe47 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff815334fe4 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff81532f0c7 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff81532e2f4 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff81532e385 (__TEXT,__text) non-external -[CalEvent description]
00007ff8153345ad (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff81532ef86 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff815334504 (__TEXT,__text) non-external -[CalEvent init]
00007ff81532efd6 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff815334dc4 (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff8153345d1 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff81532ef36 (__TEXT,__text) non-external -[CalEvent location]
00007ff815334e09 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff81532ee7d (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81532f01b (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff8153345bf (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff815334fd0 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff81532d463 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff81532d561 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff81532d4f8 (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff81532d6bd (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff81532d3fa (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff815334c10 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff81532d5ab (__TEXT,__text) non-external -[CalEvent startDate]
00007ff815336814 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff815336705 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff8153367cd (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff815336577 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff8153367f9 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff815336632 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff8153364e5 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff815336648 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff815336803 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff8153367e3 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff81532f596 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff81532f4d2 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81532d08a (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff81532f528 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff81532f4be (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff81532f4a9 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff815336de7 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff815336b65 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff8153368e0 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff815336dcc (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff815336da0 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff815336a01 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff815336d0e (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff815336bc4 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff815336c72 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff815336a17 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff815336db6 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff815336dd6 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff8153368a7 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff8153364d5 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff81532d74d (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff81532da1d (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff81532d7f5 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81532f41d (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff8153364ba (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff8153364b2 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff8153356a4 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff81532d5fb (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff815335089 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff815335250 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81533514e (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff81532df17 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff81532e034 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff815334ff7 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff815335382 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff815335545 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff815335447 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff8153356ba (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff81532dc58 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff81532da33 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff81532dc6e (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff81532d7df (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff81532d7b7 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff8153364c4 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff815335cce (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff8153387dd (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff8153380e5 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff815338484 (__TEXT,__text) non-external -[CalTask description]
00007ff81533819e (__TEXT,__text) non-external -[CalTask dueDate]
00007ff815338032 (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff815337f89 (__TEXT,__text) non-external -[CalTask init]
00007ff815338056 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff815338585 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff8153382e7 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff815338257 (__TEXT,__text) non-external -[CalTask priority]
00007ff815338135 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff8153381ee (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff815338044 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff8153387c9 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81533809b (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81533829b (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff815339ce8 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff815339cfc (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff815339d10 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff840e8cbd0 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff840e8cbd8 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff840e8cbe0 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff840e8cbe8 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff840e8ca60 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff840e8ca80 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff840e8ca68 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff840e8ca78 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff840e8ca88 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff840e8ca58 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff840e8ca70 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff840e8cb28 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff840e8cb60 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff840e8cb68 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff840e8cb88 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff840e8cb70 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff840e8cb78 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff840e8cb80 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff840e8cb90 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff840e8cb98 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff840e8cae8 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff840e8cad0 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff815339f00 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff840e8cb10 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff840e8caf0 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff840e8cad8 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff840e8cb00 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff840e8cb18 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff840e8cc60 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff840e8caf8 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff840e8cae0 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff840e8cb08 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff840e8cb20 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff8428f45d8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff8428f44e8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff8428f4588 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff8428f4768 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff8428f4538 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff8428f4628 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff8428f46c8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff8428f4498 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
00007ff8428f4718 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff8428f4678 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff8428f47b8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff8428f4448 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff8428f4450 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff8428f4458 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff8428f4430 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff8428f4440 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff8428f4480 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff8428f4488 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff8428f4438 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff8428f4460 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff8428f4470 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff8428f4428 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff8428f4478 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00007ff8428f4468 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00007ff8428f4490 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00007ff8428f4600 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00007ff8428f4510 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00007ff8428f45b0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00007ff8428f4790 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
