                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc135cbec4 (__TEXT,__text) external __crypt_blowfish_rn
00007ffc135ce8e4 (__TEXT,__text) external _apr_dbd_mutex_lock
00007ffc135ce8f5 (__TEXT,__text) external _apr_dbd_mutex_unlock
00007ffc135ceb76 (__TEXT,__text) external _apr_dbd_name
00007ffc135ceb7f (__TEXT,__text) external _apr_dbd_native_handle
00007ffc135cebcf (__TEXT,__text) external _apr_dbd_num_cols
00007ffc135cebdd (__TEXT,__text) external _apr_dbd_num_tuples
00007ffc135cead0 (__TEXT,__text) external _apr_dbd_open
00007ffc135cea36 (__TEXT,__text) external _apr_dbd_open_ex
00007ffc135cf1d2 (__TEXT,__text) external _apr_dbd_pbquery
00007ffc135cf1ef (__TEXT,__text) external _apr_dbd_pbselect
00007ffc135cf048 (__TEXT,__text) external _apr_dbd_pquery
00007ffc135cec3c (__TEXT,__text) external _apr_dbd_prepare
00007ffc135cf06a (__TEXT,__text) external _apr_dbd_pselect
00007ffc135cf214 (__TEXT,__text) external _apr_dbd_pvbquery
00007ffc135cf2b6 (__TEXT,__text) external _apr_dbd_pvbselect
00007ffc135cf08f (__TEXT,__text) external _apr_dbd_pvquery
00007ffc135cf131 (__TEXT,__text) external _apr_dbd_pvselect
00007ffc135ceba1 (__TEXT,__text) external _apr_dbd_query
00007ffc135cebb5 (__TEXT,__text) external _apr_dbd_select
00007ffc135ceb8d (__TEXT,__text) external _apr_dbd_set_dbname
00007ffc40281e60 (__DATA_CONST,__const) external _apr_dbd_sqlite3_driver
00007ffc135ceb29 (__TEXT,__text) external _apr_dbd_transaction_end
00007ffc135ceb52 (__TEXT,__text) external _apr_dbd_transaction_mode_get
00007ffc135ceb63 (__TEXT,__text) external _apr_dbd_transaction_mode_set
00007ffc135ceadd (__TEXT,__text) external _apr_dbd_transaction_start
00007ffc135cf4b7 (__TEXT,__text) external _apr_dbm_close
00007ffc135cf4e1 (__TEXT,__text) external _apr_dbm_delete
00007ffc135cf4f0 (__TEXT,__text) external _apr_dbm_exists
00007ffc135cf4c3 (__TEXT,__text) external _apr_dbm_fetch
00007ffc135cf4ff (__TEXT,__text) external _apr_dbm_firstkey
00007ffc135cf51d (__TEXT,__text) external _apr_dbm_freedatum
00007ffc135cf5b1 (__TEXT,__text) external _apr_dbm_get_usednames
00007ffc135cf562 (__TEXT,__text) external _apr_dbm_get_usednames_ex
00007ffc135cf52c (__TEXT,__text) external _apr_dbm_geterror
00007ffc135cf50e (__TEXT,__text) external _apr_dbm_nextkey
00007ffc135cf449 (__TEXT,__text) external _apr_dbm_open
00007ffc135cf36f (__TEXT,__text) external _apr_dbm_open_ex
00007ffc135cf4d2 (__TEXT,__text) external _apr_dbm_store
00007ffc40281cb0 (__DATA_CONST,__const) external _apr_dbm_type_sdbm
00007ffc4182cb08 (__DATA,__common) external _apr_debug_module_hooks
00007ffc135d13ff (__TEXT,__text) external _apr_dynamic_fn_register
00007ffc135d13cb (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get$INODE64 (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00007ffc4182cb00 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00007ffc4182caf8 (__DATA,__common) external _apr_hook_debug_current
00007ffc4182caf0 (__DATA,__common) external _apr_hook_debug_enabled
00007ffc135d1176 (__TEXT,__text) external _apr_hook_debug_show
00007ffc135d1127 (__TEXT,__text) external _apr_hook_deregister_all
00007ffc4182cae8 (__DATA,__common) external _apr_hook_global_pool
00007ffc135d0c0e (__TEXT,__text) external _apr_hook_sort_all
00007ffc135d0bc4 (__TEXT,__text) external _apr_hook_sort_register
00007ffc135da124 (__TEXT,__text) external _apr_ldap_get_option
00007ffc135da0f3 (__TEXT,__text) external _apr_ldap_info
00007ffc135da04e (__TEXT,__text) external _apr_ldap_init
00007ffc135d1460 (__TEXT,__text) external _apr_ldap_is_ldap_url
00007ffc135d15a1 (__TEXT,__text) external _apr_ldap_is_ldapi_url
00007ffc135d155f (__TEXT,__text) external _apr_ldap_is_ldaps_url
00007ffc135da474 (__TEXT,__text) external _apr_ldap_rebind_add
00007ffc135da418 (__TEXT,__text) external _apr_ldap_rebind_init
00007ffc135da550 (__TEXT,__text) external _apr_ldap_rebind_remove
00007ffc135da1ac (__TEXT,__text) external _apr_ldap_set_option
00007ffc135da046 (__TEXT,__text) external _apr_ldap_ssl_deinit
00007ffc135d9f9c (__TEXT,__text) external _apr_ldap_ssl_init
00007ffc135d1cc7 (__TEXT,__text) external _apr_ldap_url_parse
00007ffc135d15e3 (__TEXT,__text) external _apr_ldap_url_parse_ext
00007ffc135c993f (__TEXT,__text) external _apr_md4
00007ffc135c9880 (__TEXT,__text) external _apr_md4_final
00007ffc135c9022 (__TEXT,__text) external _apr_md4_init
00007ffc135c903e (__TEXT,__text) external _apr_md4_set_xlate
00007ffc135c907b (__TEXT,__text) external _apr_md4_update
00007ffc135c9c9b (__TEXT,__text) external _apr_md5
00007ffc135c9d05 (__TEXT,__text) external _apr_md5_encode
00007ffc135c9bd2 (__TEXT,__text) external _apr_md5_final
00007ffc135c99a7 (__TEXT,__text) external _apr_md5_init
00007ffc135c99c3 (__TEXT,__text) external _apr_md5_set_xlate
00007ffc135c9a00 (__TEXT,__text) external _apr_md5_update
00007ffc135d257f (__TEXT,__text) external _apr_memcache_add
00007ffc135d2eb6 (__TEXT,__text) external _apr_memcache_add_multget_key
00007ffc135d1d08 (__TEXT,__text) external _apr_memcache_add_server
00007ffc135d2217 (__TEXT,__text) external _apr_memcache_create
00007ffc135d2d73 (__TEXT,__text) external _apr_memcache_decr
00007ffc135d29e8 (__TEXT,__text) external _apr_memcache_delete
00007ffc135d1f52 (__TEXT,__text) external _apr_memcache_disable_server
00007ffc135d1f3d (__TEXT,__text) external _apr_memcache_enable_server
00007ffc135d1ede (__TEXT,__text) external _apr_memcache_find_server
00007ffc135d1d35 (__TEXT,__text) external _apr_memcache_find_server_hash
00007ffc135d1d54 (__TEXT,__text) external _apr_memcache_find_server_hash_default
00007ffc135d25d9 (__TEXT,__text) external _apr_memcache_getp
00007ffc135d22f4 (__TEXT,__text) external _apr_memcache_hash
00007ffc135d2278 (__TEXT,__text) external _apr_memcache_hash_crc32
00007ffc135d22b2 (__TEXT,__text) external _apr_memcache_hash_default
00007ffc135d2b90 (__TEXT,__text) external _apr_memcache_incr
00007ffc135d2f3f (__TEXT,__text) external _apr_memcache_multgetp
00007ffc135d25ac (__TEXT,__text) external _apr_memcache_replace
00007ffc135d1f86 (__TEXT,__text) external _apr_memcache_server_create
00007ffc135d2347 (__TEXT,__text) external _apr_memcache_set
00007ffc135d37fc (__TEXT,__text) external _apr_memcache_stats
00007ffc135d2d8c (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
00007ffc135d12b1 (__TEXT,__text) external _apr_optional_hook_add
00007ffc135d1277 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
00007ffc135cac97 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
00007ffc135cf60f (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
00007ffc135d4c88 (__TEXT,__text) external _apr_queue_create
00007ffc135d50a6 (__TEXT,__text) external _apr_queue_interrupt_all
00007ffc135d4f16 (__TEXT,__text) external _apr_queue_pop
00007ffc135d4d83 (__TEXT,__text) external _apr_queue_push
00007ffc135d4f0d (__TEXT,__text) external _apr_queue_size
00007ffc135d50e4 (__TEXT,__text) external _apr_queue_term
00007ffc135d5000 (__TEXT,__text) external _apr_queue_trypop
00007ffc135d4e68 (__TEXT,__text) external _apr_queue_trypush
00007ffc135d54d3 (__TEXT,__text) external _apr_reslist_acquire
00007ffc135d5724 (__TEXT,__text) external _apr_reslist_acquired_count
00007ffc135d5793 (__TEXT,__text) external _apr_reslist_cleanup_order_set
00007ffc135d52a6 (__TEXT,__text) external _apr_reslist_create
00007ffc135d54bc (__TEXT,__text) external _apr_reslist_destroy
00007ffc135d5750 (__TEXT,__text) external _apr_reslist_invalidate
00007ffc135d5123 (__TEXT,__text) external _apr_reslist_maintain
00007ffc135d565f (__TEXT,__text) external _apr_reslist_release
00007ffc135d571a (__TEXT,__text) external _apr_reslist_timeout_set
00007ffc135d5f93 (__TEXT,__text) external _apr_rmm_addr_get
00007ffc135d5a94 (__TEXT,__text) external _apr_rmm_attach
00007ffc135d5df7 (__TEXT,__text) external _apr_rmm_calloc
00007ffc135d5964 (__TEXT,__text) external _apr_rmm_destroy
00007ffc135d5b0f (__TEXT,__text) external _apr_rmm_detach
00007ffc135d5fa0 (__TEXT,__text) external _apr_rmm_free
00007ffc135d57e4 (__TEXT,__text) external _apr_rmm_init
00007ffc135d5b17 (__TEXT,__text) external _apr_rmm_malloc
00007ffc135d5f86 (__TEXT,__text) external _apr_rmm_offset_get
00007ffc135d6118 (__TEXT,__text) external _apr_rmm_overhead_get
00007ffc135d5eec (__TEXT,__text) external _apr_rmm_realloc
00007ffc135cfab8 (__TEXT,__text) external _apr_sdbm_close
00007ffc135cfd29 (__TEXT,__text) external _apr_sdbm_delete
00007ffc135cfb0a (__TEXT,__text) external _apr_sdbm_fetch
00007ffc135d01ce (__TEXT,__text) external _apr_sdbm_firstkey
00007ffc135d0438 (__TEXT,__text) external _apr_sdbm_lock
00007ffc135d02a5 (__TEXT,__text) external _apr_sdbm_nextkey
00007ffc135cf91f (__TEXT,__text) external _apr_sdbm_open
00007ffc135cfddb (__TEXT,__text) external _apr_sdbm_rdonly
00007ffc135cfe31 (__TEXT,__text) external _apr_sdbm_store
00007ffc135d0503 (__TEXT,__text) external _apr_sdbm_unlock
00007ffc135cbde9 (__TEXT,__text) external _apr_sha1_base64
00007ffc135cbcf5 (__TEXT,__text) external _apr_sha1_final
00007ffc135cae6b (__TEXT,__text) external _apr_sha1_init
00007ffc135cbceb (__TEXT,__text) external _apr_sha1_update
00007ffc135cae8c (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
00007ffc135d70ed (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
00007ffc135d85d2 (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
00007ffc135d6c39 (__TEXT,__text) external _apr_thread_pool_busy_count
00007ffc135d6129 (__TEXT,__text) external _apr_thread_pool_create
00007ffc135d6746 (__TEXT,__text) external _apr_thread_pool_destroy
00007ffc135d6c47 (__TEXT,__text) external _apr_thread_pool_idle_count
00007ffc135d6c79 (__TEXT,__text) external _apr_thread_pool_idle_max_get
00007ffc135d6c8d (__TEXT,__text) external _apr_thread_pool_idle_max_set
00007ffc135d6c83 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
00007ffc135d6d6b (__TEXT,__text) external _apr_thread_pool_idle_wait_set
00007ffc135d6756 (__TEXT,__text) external _apr_thread_pool_push
00007ffc135d6981 (__TEXT,__text) external _apr_thread_pool_schedule
00007ffc135d6c25 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00007ffc135d6e06 (__TEXT,__text) external _apr_thread_pool_task_owner_get
00007ffc135d6a94 (__TEXT,__text) external _apr_thread_pool_tasks_cancel
00007ffc135d6c1b (__TEXT,__text) external _apr_thread_pool_tasks_count
00007ffc135d6c5b (__TEXT,__text) external _apr_thread_pool_tasks_high_count
00007ffc135d6c51 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
00007ffc135d6d79 (__TEXT,__text) external _apr_thread_pool_thread_max_get
00007ffc135d6d83 (__TEXT,__text) external _apr_thread_pool_thread_max_set
00007ffc135d6c2f (__TEXT,__text) external _apr_thread_pool_threads_count
00007ffc135d6c65 (__TEXT,__text) external _apr_thread_pool_threads_high_count
00007ffc135d6c6f (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00007ffc135d6dee (__TEXT,__text) external _apr_thread_pool_threshold_get
00007ffc135d6df8 (__TEXT,__text) external _apr_thread_pool_threshold_set
00007ffc135d6a84 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
00007ffc135d75cf (__TEXT,__text) external _apr_uri_parse
00007ffc135d79da (__TEXT,__text) external _apr_uri_parse_hostinfo
00007ffc135d7337 (__TEXT,__text) external _apr_uri_port_of_scheme
00007ffc135d737d (__TEXT,__text) external _apr_uri_unparse
00007ffc135ce528 (__TEXT,__text) external _apr_uuid_format
00007ffc135ce3ce (__TEXT,__text) external _apr_uuid_get
00007ffc135ce5d0 (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
00007ffc135d7e5a (__TEXT,__text) external _apr_xlate_close
00007ffc135d7d88 (__TEXT,__text) external _apr_xlate_conv_buffer
00007ffc135d7e3c (__TEXT,__text) external _apr_xlate_conv_byte
00007ffc135d7ad3 (__TEXT,__text) external _apr_xlate_open
00007ffc135d7d74 (__TEXT,__text) external _apr_xlate_sb_get
00007ffc135d8e21 (__TEXT,__text) external _apr_xml_empty_elem
00007ffc135d7f5f (__TEXT,__text) external _apr_xml_insert_uri
00007ffc135d8532 (__TEXT,__text) external _apr_xml_parse_file
00007ffc135d7e71 (__TEXT,__text) external _apr_xml_parser_create
00007ffc135d843a (__TEXT,__text) external _apr_xml_parser_done
00007ffc135d83e3 (__TEXT,__text) external _apr_xml_parser_feed
00007ffc135d848e (__TEXT,__text) external _apr_xml_parser_geterror
00007ffc135d86f1 (__TEXT,__text) external _apr_xml_quote_elem
00007ffc135d8618 (__TEXT,__text) external _apr_xml_quote_string
00007ffc135d8788 (__TEXT,__text) external _apr_xml_to_text
00007ffc135d08d1 (__TEXT,__text) external _apu__sdbm_chkpage
00007ffc135d070a (__TEXT,__text) external _apu__sdbm_delpair
00007ffc135d069d (__TEXT,__text) external _apu__sdbm_duppair
00007ffc135d053c (__TEXT,__text) external _apu__sdbm_fitpair
00007ffc135d06c2 (__TEXT,__text) external _apu__sdbm_getnkey
00007ffc135d05da (__TEXT,__text) external _apu__sdbm_getpair
00007ffc135d0358 (__TEXT,__text) external _apu__sdbm_hash
00007ffc135dd360 (__TEXT,__const) external _apu__sdbm_nullitem
00007ffc135d0567 (__TEXT,__text) external _apu__sdbm_putpair
00007ffc135d07a7 (__TEXT,__text) external _apu__sdbm_splpage
