                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
00007ffc0204ddb8 (__TEXT,__const) external _FMSampleRateUnknown
00007ffc4034b5c8 (__DATA_CONST,__const) external _FMSongLibraryInitOption_NetworkingDisabled
00007ffc4034b5b8 (__DATA_CONST,__const) external _FMSongLibraryReconnectedToNetwork
00007ffc4034b5a8 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressChanged
00007ffc4034b5b0 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressState
00007ffc0204df28 (__TEXT,__const) external _FMSongPlaylistTimeQuantaInSamples
00007ffc4034c068 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_128
00007ffc4034c070 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_192
00007ffc4034c078 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_256
00007ffc4034c058 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_80
00007ffc4034c060 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_96
00007ffc4034c040 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_48
00007ffc4034c050 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_64
00007ffc4034c048 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v2_48
00007ffc4034c030 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM
00007ffc4034c038 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM_LEF32
00007ffc4034c090 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_128
00007ffc4034c080 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_64
00007ffc4034c088 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_96
00007ffc4034c0b0 (__DATA_CONST,__const) external _FMSong_Option_DefaultEarlyFadeStartFromStinger
00007ffc4034c0c8 (__DATA_CONST,__const) external _FMSong_Option_IgnoreEarlyFadeMarker
00007ffc4034c0c0 (__DATA_CONST,__const) external _FMSong_Option_IgnoreStingerMarkerForShortening
00007ffc4034c0d8 (__DATA_CONST,__const) external _FMSong_Option_LoopSongForLongDurations
00007ffc4034c0d0 (__DATA_CONST,__const) external _FMSong_Option_MaxOutroLengthToReserve
00007ffc4034c0b8 (__DATA_CONST,__const) external _FMSong_Option_MinLengthForEarlyFade
00007ffc4034c0a8 (__DATA_CONST,__const) external _FMSong_Option_OutroCanBeShortened
00007ffc4034c0a0 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroEarlyFade
00007ffc4034c098 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroStinger
00007ffc4034b998 (__DATA_CONST,__const) external _FMTagID_Arousal_Prefix
00007ffc4034b988 (__DATA_CONST,__const) external _FMTagID_Genre_Prefix
00007ffc4034b980 (__DATA_CONST,__const) external _FMTagID_MoodAlt_Prefix
00007ffc4034b970 (__DATA_CONST,__const) external _FMTagID_Mood_Prefix
00007ffc4034b9b0 (__DATA_CONST,__const) external _FMTagID_Region_Prefix
00007ffc4034b978 (__DATA_CONST,__const) external _FMTagID_SongPace_Prefix
00007ffc4034b990 (__DATA_CONST,__const) external _FMTagID_Style_Prefix
00007ffc4034b9a0 (__DATA_CONST,__const) external _FMTagID_Valence_Prefix
00007ffc4034b9a8 (__DATA_CONST,__const) external _FMTagID_VisualTempo_Prefix
00007ffc4034c538 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBar
00007ffc4034c540 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBarIndex
00007ffc4034c548 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBeatsPerBar
00007ffc4034c550 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeat
00007ffc4034c558 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBarIndex
00007ffc4034c560 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBeatIndex
00007ffc4034c570 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierLoopPoints
00007ffc4034c568 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierOnset
00007ffc4034c4a8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSection
00007ffc4034c4b8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyBodyNumber
00007ffc4034c4d0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyFadeToBlackTime
00007ffc4034c4c8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroEarlyFade
00007ffc4034c4c0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroStinger
00007ffc4034c4b0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyType
00007ffc4034c4d8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegment
00007ffc4034c500 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBarsUsed
00007ffc4034c4f8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyLetter
00007ffc4034c4f0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyNumber
00007ffc4034c508 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyEnergy
00007ffc4034c530 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyFadeToBlackTime
00007ffc4034c528 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyLoudness
00007ffc4034c518 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroEarlyFade
00007ffc4034c510 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroStinger
00007ffc4034c520 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPeakValue
00007ffc4034c4e8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPriority
00007ffc4034c4e0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyType
00007ffc0201a822 (__TEXT,__text) external _FlexCheckedDynamicCast
00007ffc4034c498 (__DATA_CONST,__const) external _FlexDBGenreEntityName
00007ffc4034c4a0 (__DATA_CONST,__const) external _FlexDBRegionEntityName
00007ffc4034c490 (__DATA_CONST,__const) external _FlexDBSongEntityName
00007ffc0201a7d2 (__TEXT,__text) external _FlexDynamicCast
00007ffc4034b680 (__DATA_CONST,__const) external _FlexLocalDBArousalField
00007ffc4034b630 (__DATA_CONST,__const) external _FlexLocalDBArtistNameField
00007ffc4034b660 (__DATA_CONST,__const) external _FlexLocalDBArtworkLocalURLField
00007ffc4034b640 (__DATA_CONST,__const) external _FlexLocalDBArtworkVersionField
00007ffc4034b6b8 (__DATA_CONST,__const) external _FlexLocalDBAudioEncoderPresetNameField
00007ffc4034b650 (__DATA_CONST,__const) external _FlexLocalDBCKRecordIDField
00007ffc4034b648 (__DATA_CONST,__const) external _FlexLocalDBCompatibilityVersionField
00007ffc4034b6b0 (__DATA_CONST,__const) external _FlexLocalDBFormatField
00007ffc4034b6a0 (__DATA_CONST,__const) external _FlexLocalDBGenreStringsField
00007ffc4034b6c0 (__DATA_CONST,__const) external _FlexLocalDBHiddenField
00007ffc4034b670 (__DATA_CONST,__const) external _FlexLocalDBMoodAltField
00007ffc4034b668 (__DATA_CONST,__const) external _FlexLocalDBMoodField
00007ffc4034b678 (__DATA_CONST,__const) external _FlexLocalDBPaceField
00007ffc4034b6c8 (__DATA_CONST,__const) external _FlexLocalDBRecalledField
00007ffc4034b6a8 (__DATA_CONST,__const) external _FlexLocalDBRegionsField
00007ffc4034b658 (__DATA_CONST,__const) external _FlexLocalDBSongBundleLocalURLField
00007ffc4034b628 (__DATA_CONST,__const) external _FlexLocalDBSongNameField
00007ffc4034b638 (__DATA_CONST,__const) external _FlexLocalDBSongVersionField
00007ffc4034b698 (__DATA_CONST,__const) external _FlexLocalDBStyleField
00007ffc4034b688 (__DATA_CONST,__const) external _FlexLocalDBValenceField
00007ffc4034b690 (__DATA_CONST,__const) external _FlexLocalDBVisualTempoField
00007ffc0201a392 (__TEXT,__text) external _FlexLogForCategory
00007ffc4034b730 (__DATA_CONST,__const) external _FlexMLArtistNameKey
00007ffc4034b748 (__DATA_CONST,__const) external _FlexMLAudioEncoderPresetKey
00007ffc4034b788 (__DATA_CONST,__const) external _FlexMLAudioFileExtensionKey
00007ffc4034b7e8 (__DATA_CONST,__const) external _FlexMLBarTimesKey
00007ffc4034b7e0 (__DATA_CONST,__const) external _FlexMLBeatTimesKey
00007ffc4034b768 (__DATA_CONST,__const) external _FlexMLCompatibilityVersionKey
00007ffc4034b760 (__DATA_CONST,__const) external _FlexMLContentVersionKey
00007ffc4034b750 (__DATA_CONST,__const) external _FlexMLCustomOptionsKey
00007ffc4034b808 (__DATA_CONST,__const) external _FlexMLGainFunctionGainKey
00007ffc4034b800 (__DATA_CONST,__const) external _FlexMLGainFunctionKey
00007ffc4034b810 (__DATA_CONST,__const) external _FlexMLLoopTimesKey
00007ffc4034b7f0 (__DATA_CONST,__const) external _FlexMLLoudnessKey
00007ffc4034b7f8 (__DATA_CONST,__const) external _FlexMLPeakKey
00007ffc4034b818 (__DATA_CONST,__const) external _FlexMLPlistRuntimeVersionKey
00007ffc4034b7b0 (__DATA_CONST,__const) external _FlexMLSampleRateKey
00007ffc4034b798 (__DATA_CONST,__const) external _FlexMLSegmentDurationKey
00007ffc4034b778 (__DATA_CONST,__const) external _FlexMLSegmentTimeKey
00007ffc4034b7a8 (__DATA_CONST,__const) external _FlexMLSegmentsKey
00007ffc4034b7b8 (__DATA_CONST,__const) external _FlexMLSongBeatsKey
00007ffc4034b740 (__DATA_CONST,__const) external _FlexMLSongFileKey
00007ffc4034b738 (__DATA_CONST,__const) external _FlexMLSongIDKey
00007ffc4034b710 (__DATA_CONST,__const) external _FlexMLSongMetadataFileExtension
00007ffc4034b728 (__DATA_CONST,__const) external _FlexMLSongNameKey
00007ffc4034b720 (__DATA_CONST,__const) external _FlexMLSongSummariesFolderName
00007ffc4034b718 (__DATA_CONST,__const) external _FlexMLSongSummaryFileExtension
00007ffc4034b790 (__DATA_CONST,__const) external _FlexMLSummaryDurationKey
00007ffc4034b758 (__DATA_CONST,__const) external _FlexMLSummaryMappingKey
00007ffc4034b770 (__DATA_CONST,__const) external _FlexMLSummaryTimeKey
00007ffc4034b780 (__DATA_CONST,__const) external _FlexMLTagIDs
00007ffc4034b7a0 (__DATA_CONST,__const) external _FlexMLTrackTimeKey
00007ffc4034b7d8 (__DATA_CONST,__const) external _FlexMLVideoCuesFadeToBlackKey
00007ffc4034b7d0 (__DATA_CONST,__const) external _FlexMLVideoCuesGoodCuesKey
00007ffc4034b7c8 (__DATA_CONST,__const) external _FlexMLVideoCuesGreatCuesKey
00007ffc4034b7c0 (__DATA_CONST,__const) external _FlexMLVideoCuesKey
00007ffc4034b8f0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeArtistName
00007ffc4034b8c0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAssetType
00007ffc4034b928 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAudioEncoderPresetName
00007ffc4034b910 (__DATA_CONST,__const) external _FlexMobileAssetAttributeClientIDs
00007ffc4034b918 (__DATA_CONST,__const) external _FlexMobileAssetAttributeHiddenIDs
00007ffc4034b900 (__DATA_CONST,__const) external _FlexMobileAssetAttributeKeywords
00007ffc4034b920 (__DATA_CONST,__const) external _FlexMobileAssetAttributeRecalled
00007ffc4034b930 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongBundleFormat
00007ffc4034b8e8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongName
00007ffc4034b8f8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongTags
00007ffc4034b8e0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeUUID
00007ffc4034b908 (__DATA_CONST,__const) external _FlexMobileAssetAttributeWeightedKeywords
00007ffc4034b940 (__DATA_CONST,__const) external _FlexMobileAssetCompatibilityVersion
00007ffc4034b938 (__DATA_CONST,__const) external _FlexMobileAssetContentVersion
00007ffc4034b8b0 (__DATA_CONST,__const) external _FlexMobileAssetJettyClientID
00007ffc4034b8a8 (__DATA_CONST,__const) external _FlexMobileAssetMiroClientID
00007ffc4034b8d0 (__DATA_CONST,__const) external _FlexMobileAssetPropertyArtwork
00007ffc4034b8d8 (__DATA_CONST,__const) external _FlexMobileAssetPropertyMetadata
00007ffc4034b8c8 (__DATA_CONST,__const) external _FlexMobileAssetPropertySongBundle
00007ffc4034b8b8 (__DATA_CONST,__const) external _FlexMobileAssetiMovieClientID
00007ffc0204df3c (__TEXT,__const) external _FlexSegment_MaxBodySegmentPriority
00007ffc0204df38 (__TEXT,__const) external _FlexSegment_MinBodySegmentPriority
00007ffc0204df30 (__TEXT,__const) external _FlexSegment_UseCustomBarMarkers
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLNameKey (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMix (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMixInputParameters (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableComposition (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVURLAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_CKRecordID (from CloudKit)
00007ffc42b60a98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMClip
00007ffc42b60340 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMDownloadOptions
00007ffc42b60160 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMFetchOptions
00007ffc42b602f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMKeyFrame
00007ffc42b608e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMMixParameters
00007ffc42b60570 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSong
00007ffc42b60520 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongAsset
00007ffc42b603e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongLibrary
00007ffc431169b8 (__DATA,__objc_data) external _OBJC_CLASS_$_FMSongMetadata
00007ffc42b60390 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongRendition
00007ffc42b609d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMTimedMetadataItem
00007ffc42b605c0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMTrack
00007ffc42b60250 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexCloudManager
00007ffc42b60980 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexCloudSongAsset
00007ffc42b60ac0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexLegacySongRendition
00007ffc43116aa8 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBController
00007ffc43116b20 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBGenre
00007ffc43116a80 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBLastCloudUpdate
00007ffc43116bc0 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBRegion
00007ffc43116c10 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSong
00007ffc43116968 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSongData
00007ffc42b60638 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLGainValue
00007ffc42b60660 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSegment
00007ffc42b60430 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSong
00007ffc42b60700 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSongRendition
00007ffc42b60610 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSummary
00007ffc42b60480 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSummaryManager
00007ffc42b60750 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMarker
00007ffc42b607c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMobileAssetManagerV2
00007ffc42b60200 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexReachability
00007ffc42b60a20 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSegment
00007ffc42b601d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSegmentAssemblyInfo
00007ffc43116c60 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSegmentAudioFileInfo
00007ffc42b60890 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSong
00007ffc43116a08 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V1
00007ffc42b604d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V2
00007ffc42b600c0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongBackend
00007ffc42b602c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongMetaDataReader_V2
00007ffc43116940 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexSongMetadataReaderUtils
00007ffc42b60840 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongProxy
00007ffc43116b48 (__DATA,__objc_data) external _OBJC_CLASS_$_FlexTestingContext
00007ffc42b60110 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexTransition
00007ffc42b60930 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexUtilities
                 (undefined) external _OBJC_CLASS_$_MAAsset (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MAAssetQuery (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MADownloadOptions (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCountedSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSEntityDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFetchRequest (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSManagedObject (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSManagedObjectModel (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableIndexSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPersistentContainer (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPersistentStoreDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
00007ffc42b60a70 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMClip
00007ffc42b60368 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMDownloadOptions
00007ffc42b60188 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMFetchOptions
00007ffc42b60318 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMKeyFrame
00007ffc42b60908 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMMixParameters
00007ffc42b60598 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSong
00007ffc42b60548 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongAsset
00007ffc42b60408 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongLibrary
00007ffc431169e0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FMSongMetadata
00007ffc42b603b8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongRendition
00007ffc42b609f8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMTimedMetadataItem
00007ffc42b605e8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMTrack
00007ffc42b60278 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexCloudManager
00007ffc42b609a8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexCloudSongAsset
00007ffc42b60ae8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexLegacySongRendition
00007ffc43116ad0 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBController
00007ffc43116af8 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBGenre
00007ffc43116a58 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBLastCloudUpdate
00007ffc43116b98 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBRegion
00007ffc43116be8 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSong
00007ffc43116990 (__DATA,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSongData
00007ffc42b606d8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLGainValue
00007ffc42b606b0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSegment
00007ffc42b60458 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSong
