0000000000003db4 (__TEXT,__text) external _OSAtomicAdd32
0000000000005c64 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
000000000000407c (__TEXT,__text) external _OSAtomicTestAndClear
0000000000004a94 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000000004a50 (__TEXT,__text) external _OSAtomicTestAndSet
0000000000003f94 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000000005c6c (__TEXT,__text) external _OSAtomicXor32
0000000000003e64 (__TEXT,__text) external _OSAtomicXor32Barrier
0000000000005c78 (__TEXT,__text) external _OSAtomicXor32Orig
0000000000005c80 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000000003e14 (__TEXT,__text) external _OSMemoryBarrier
0000000000003c18 (__TEXT,__text) external _OSSpinLockLock
0000000000003f5c (__TEXT,__text) external _OSSpinLockTry
0000000000003c34 (__TEXT,__text) external _OSSpinLockUnlock
0000000000006678 (__TEXT,__const) non-external _UUID_NULL
00000000000066b6 (__TEXT,__const) non-external __0x
00000000000067b5 (__TEXT,__cstring) non-external __H
0000000000005cb0 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000000005c88 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000000003eec (__TEXT,__text) external __OSSpinLockLockSlow
0000000000005a20 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000000003490 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000000010010 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000000000032d4 (__TEXT,__text) external ___libplatform_init
0000000000004b10 (__TEXT,__text) external ___os_log_simple_offset
0000000000005c48 (__TEXT,__text) external ___os_once_reset
0000000000003310 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000000006668 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000000006628 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000000002e84 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
000000000000412c (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000000005ea8 (__TEXT,__text) external __ctx_done
00000000000060dc (__TEXT,__text) non-external (was a private external) __ctx_start
0000000000005380 (__TEXT,__text) non-external __enlarge
00000000000061a0 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
00000000000052dc (__TEXT,__text) non-external __flush
00000000000052b4 (__TEXT,__text) non-external __flush_reset
00000000000067c6 (__TEXT,__cstring) non-external __h
0000000000001d68 (__TEXT,__text) external __longjmp
000000000000137c (__TEXT,__text) non-external __os_alloc
00000000000063ac (__TEXT,__text) non-external __os_alloc.cold.1
0000000000010008 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
000000000000133c (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000000000369c (__TEXT,__text) non-external __os_alloc_slow
00000000000061c8 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000000003ca4 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000000003ce0 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000000003fe4 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000000003cd4 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000000005be4 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000000005c08 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000000005c28 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000000006314 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000000003de8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000000005b00 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000000003e08 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000000000066c0 (__TEXT,__const) non-external __os_lock_type_base
00000000000081b0 (__DATA_CONST,__const) external __os_lock_type_eliding
00000000000081d0 (__DATA_CONST,__const) external __os_lock_type_handoff
0000000000008210 (__DATA_CONST,__const) external __os_lock_type_nospin
00000000000081b0 (__DATA_CONST,__const) external __os_lock_type_spin
00000000000081b0 (__DATA_CONST,__const) external __os_lock_type_transactional
00000000000081f0 (__DATA_CONST,__const) external __os_lock_type_unfair
0000000000003dc0 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000000005ba4 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000000005bc4 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000000004d9c (__TEXT,__text) external __os_log_simple
0000000000004f8c (__TEXT,__text) external __os_log_simple_parse
0000000000004f5c (__TEXT,__text) external __os_log_simple_parse_identifiers
0000000000004ef0 (__TEXT,__text) external __os_log_simple_parse_message
0000000000004eb4 (__TEXT,__text) external __os_log_simple_parse_subsystem
0000000000004f24 (__TEXT,__text) external __os_log_simple_parse_timestamp
0000000000004e7c (__TEXT,__text) external __os_log_simple_parse_type
00000000000050c4 (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000000006178 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
0000000000004c28 (__TEXT,__text) external __os_log_simple_send
0000000000004e54 (__TEXT,__text) external __os_log_simple_shim
0000000000001c48 (__TEXT,__text) external __os_nospin_lock_lock
0000000000003110 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000000001c84 (__TEXT,__text) external __os_nospin_lock_trylock
0000000000001c68 (__TEXT,__text) external __os_nospin_lock_unlock
0000000000003208 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000000000011e0 (__TEXT,__text) external __os_once
0000000000001240 (__TEXT,__text) non-external __os_once_callout
0000000000003068 (__TEXT,__text) non-external __os_once_gate_broadcast
00000000000062ec (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
000000000000629c (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000000000062c4 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000000002eec (__TEXT,__text) non-external __os_once_gate_wait
0000000000002e0c (__TEXT,__text) external __os_semaphore_create
00000000000063d4 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000000000063fc (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000000002e58 (__TEXT,__text) external __os_semaphore_dispose
0000000000006424 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000000003e7c (__TEXT,__text) external __os_semaphore_signal
000000000000644c (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000000003e98 (__TEXT,__text) external __os_semaphore_wait
0000000000006474 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000000006240 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000000001918 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
00000000000061f0 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000000001a84 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000000006218 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000000003490 (__TEXT,__text) external __platform_bzero
0000000000005cd8 (__TEXT,__text) external __platform_memccpy
0000000000001480 (__TEXT,__text) external __platform_memchr
0000000000001590 (__TEXT,__text) external __platform_memcmp
0000000000005d60 (__TEXT,__text) external __platform_memcmp_zero_aligned8
00000000000037e0 (__TEXT,__text) external __platform_memmove
0000000000003500 (__TEXT,__text) external __platform_memset
0000000000001720 (__TEXT,__text) external __platform_memset_pattern16
00000000000016e0 (__TEXT,__text) external __platform_memset_pattern4
0000000000001700 (__TEXT,__text) external __platform_memset_pattern8
0000000000003ba0 (__TEXT,__text) external __platform_strchr
0000000000000e70 (__TEXT,__text) external __platform_strcmp
0000000000001420 (__TEXT,__text) external __platform_strcpy
0000000000008128 (__DATA_CONST,__const) non-external __platform_string_functions
0000000000001e50 (__TEXT,__text) external __platform_strlcat
0000000000001668 (__TEXT,__text) external __platform_strlcpy
0000000000001180 (__TEXT,__text) external __platform_strlen
0000000000000fb0 (__TEXT,__text) external __platform_strncmp
0000000000001bb0 (__TEXT,__text) external __platform_strncpy
00000000000010e0 (__TEXT,__text) external __platform_strnlen
0000000000001b2c (__TEXT,__text) external __platform_strstr
0000000000006088 (__TEXT,__text) non-external (was a private external) __setcontext
0000000000001d1c (__TEXT,__text) external __setjmp
0000000000003c4c (__TEXT,__text) non-external (was a private external) __sigtramp
00000000000040dc (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000000005130 (__TEXT,__text) non-external __simple_asl_connect
0000000000002b8c (__TEXT,__text) non-external __simple_asl_connect_once
0000000000002888 (__TEXT,__text) non-external __simple_asl_escape_key
00000000000028fc (__TEXT,__text) non-external __simple_asl_escape_val
00000000000051dc (__TEXT,__text) external __simple_asl_get_fd
0000000000003600 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000000000037c8 (__TEXT,__text) non-external __simple_asl_init_context
0000000000002660 (__TEXT,__text) external __simple_asl_log
00000000000026c8 (__TEXT,__text) external __simple_asl_log_prog
00000000000026f4 (__TEXT,__text) external __simple_asl_msg_new
000000000000273c (__TEXT,__text) external __simple_asl_msg_set
00000000000029f0 (__TEXT,__text) external __simple_asl_send
0000000000005358 (__TEXT,__text) external __simple_dprintf
0000000000004984 (__TEXT,__text) external __simple_esappend
000000000000285c (__TEXT,__text) external __simple_esprintf
00000000000033e4 (__TEXT,__text) external __simple_getenv
00000000000054bc (__TEXT,__text) external __simple_put
00000000000054c4 (__TEXT,__text) external __simple_putline
0000000000001ee8 (__TEXT,__text) external __simple_salloc
000000000000295c (__TEXT,__text) external __simple_sappend
00000000000022f4 (__TEXT,__text) external __simple_sfree
0000000000001f88 (__TEXT,__text) external __simple_sprintf
00000000000029c0 (__TEXT,__text) external __simple_sresize
00000000000022e4 (__TEXT,__text) external __simple_string
0000000000005260 (__TEXT,__text) external __simple_vdprintf
0000000000004114 (__TEXT,__text) external __simple_vesprintf
0000000000001f64 (__TEXT,__text) external __simple_vsprintf
0000000000003c18 (__TEXT,__text) external __spin_lock
0000000000005ae8 (__TEXT,__text) external __spin_lock_try
0000000000003c34 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
0000000000010000 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
0000000000005a04 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000000002374 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000000000012ec (__TEXT,__text) external _ffs
0000000000001304 (__TEXT,__text) external _ffsl
0000000000001304 (__TEXT,__text) external _ffsll
000000000000131c (__TEXT,__text) external _fls
000000000000132c (__TEXT,__text) external _flsl
000000000000132c (__TEXT,__text) external _flsll
000000000000c000 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000000000610c (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000000001fbc (__TEXT,__text) non-external _hex
0000000000001e14 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000000005ecc (__TEXT,__text) external _makecontext
0000000000005cd4 (__TEXT,__text) non-external (was a private external) _memset
0000000000005508 (__TEXT,__text) non-external _oct
0000000000003c98 (__TEXT,__text) external _os_lock_lock
0000000000003fd8 (__TEXT,__text) external _os_lock_trylock
0000000000003cc8 (__TEXT,__text) external _os_lock_unlock
0000000000004ae8 (__TEXT,__text) external _os_log_simple_now
0000000000004aec (__TEXT,__text) external _os_log_simple_type_from_asl
0000000000006670 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000000000018a0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000000006364 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000000000012c0 (__TEXT,__text) external _os_unfair_lock_assert_owner
000000000000633c (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
000000000000129c (__TEXT,__text) external _os_unfair_lock_lock
0000000000005b1c (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000000000de0 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000000001c2c (__TEXT,__text) external _os_unfair_lock_trylock
0000000000000e00 (__TEXT,__text) external _os_unfair_lock_unlock
0000000000005b34 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000000000e1c (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000000005b48 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000000002dc8 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000000001ca0 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000000000f48 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000000005b64 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
000000000000638c (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000000005f9c (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000000006034 (__TEXT,__text) external _setcontext
0000000000001dc8 (__TEXT,__text) external _setjmp
0000000000001e08 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000000001dbc (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
0000000000003c18 (__TEXT,__text) external _spin_lock
0000000000005ae8 (__TEXT,__text) external _spin_lock_try
0000000000003c34 (__TEXT,__text) external _spin_unlock
0000000000005e18 (__TEXT,__text) external _swapcontext
0000000000005910 (__TEXT,__text) external _sys_cache_control
0000000000005a18 (__TEXT,__text) external _sys_dcache_flush
0000000000005958 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000000002bec (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000000000056c0 (__TEXT,__text) non-external _ydec
