000000021a47911c (__TEXT,__text) non-external +[CBOR cborFalse]
000000021a477518 (__TEXT,__text) non-external -[CBOR hash]
000000021a47746c (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
000000021a4773ac (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
000000021a478200 (__TEXT,__text) non-external -[CBOR isBoolean]
000000021a478214 (__TEXT,__text) non-external -[CBOR isDate]
000000021a4782ac (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
000000021a4777b0 (__TEXT,__text) non-external -[CBOR isEqual:]
000000021a4781ec (__TEXT,__text) non-external -[CBOR isFloatNumber]
000000021a4781d0 (__TEXT,__text) non-external -[CBOR isWholeNumber]
000000021a47786c (__TEXT,__text) non-external -[CBOR longLongValue]
000000021a4779d8 (__TEXT,__text) non-external -[CBOR numeric]
000000021a4792d8 (__TEXT,__text) non-external -[CBOR orderedKeys]
000000021a4792e0 (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
000000021a4792a8 (__TEXT,__text) non-external -[CBOR setTag:]
000000021a4792bc (__TEXT,__text) non-external -[CBOR setValue:]
000000021a4792d0 (__TEXT,__text) non-external -[CBOR setValueSize:]
000000021a477adc (__TEXT,__text) non-external -[CBOR string]
000000021a4792a0 (__TEXT,__text) non-external -[CBOR tag]
000000021a479298 (__TEXT,__text) non-external -[CBOR type]
000000021a4778e0 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
000000021a4792c8 (__TEXT,__text) non-external -[CBOR valueSize]
000000021a4792b4 (__TEXT,__text) non-external -[CBOR value]
000000021a47702c (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
000000021a47a878 (__TEXT,__text) non-external -[COSE .cxx_destruct]
000000021a479c60 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
000000021a47a2d8 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
000000021a47a848 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
000000021a47a858 (__TEXT,__text) non-external -[COSE contentType]
000000021a47a840 (__TEXT,__text) non-external -[COSE content]
000000021a47a850 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
000000021a4794bc (__TEXT,__text) non-external -[COSE initWithCBOR:]
000000021a47933c (__TEXT,__text) non-external -[COSE initWithData:]
000000021a479390 (__TEXT,__text) non-external -[COSE initWithData:type:]
000000021a4798e4 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
000000021a47a868 (__TEXT,__text) non-external -[COSE initializationVector]
000000021a47a860 (__TEXT,__text) non-external -[COSE keyIdentifier]
000000021a47a870 (__TEXT,__text) non-external -[COSE partialInitializationVector]
000000021a479b28 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
000000021a47a838 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
000000021a47a904 (__TEXT,__text) non-external -[COSE setType:]
000000021a47a988 (__TEXT,__text) non-external -[COSE sourceObject]
000000021a479c28 (__TEXT,__text) non-external -[COSE tag]
000000021a47a830 (__TEXT,__text) non-external -[COSE type]
000000021a479ba8 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
000000021a47d6ac (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
000000021a47ca24 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
000000021a47d684 (__TEXT,__text) non-external -[COSEKey algorithm]
000000021a47d69c (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
000000021a47d57c (__TEXT,__text) non-external -[COSEKey ecCurveD]
000000021a47d4bc (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
000000021a47d4fc (__TEXT,__text) non-external -[COSEKey ecCurveX]
000000021a47d53c (__TEXT,__text) non-external -[COSEKey ecCurveY]
000000021a47d48c (__TEXT,__text) non-external -[COSEKey getSource]
000000021a47d68c (__TEXT,__text) non-external -[COSEKey identifier]
000000021a47d00c (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
000000021a47d1ac (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
000000021a47d330 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
000000021a47bc88 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
000000021a47bc34 (__TEXT,__text) non-external -[COSEKey initWithData:]
000000021a47d63c (__TEXT,__text) non-external -[COSEKey okpCurveD]
000000021a47d5bc (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
000000021a47d5fc (__TEXT,__text) non-external -[COSEKey okpCurveX]
000000021a47d694 (__TEXT,__text) non-external -[COSEKey operations]
000000021a47d6a4 (__TEXT,__text) non-external -[COSEKey symmetricKey]
000000021a47d67c (__TEXT,__text) non-external -[COSEKey type]
000000021a47bbb4 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
000000021a47bb00 (__TEXT,__text) non-external -[COSE_Mac0 description]
000000021a47b920 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
000000021a47b5dc (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
000000021a47b7f4 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
000000021a47bba4 (__TEXT,__text) non-external -[COSE_Mac0 mac]
000000021a47b4f8 (__TEXT,__text) non-external -[COSE_Sign1 description]
000000021a47aaf8 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
000000021a47a9c0 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
000000021a47b444 (__TEXT,__text) non-external -[COSE_Sign1 signature]
000000021a47ace0 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
000000021a47aeec (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
000000021a47b1b8 (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
000000021a47b31c (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
000000021a47b114 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
000000021a481c40 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
000000021a47fc58 (__TEXT,__const) external _CBORLibraryVersionNumber
000000021a47fc28 (__TEXT,__const) external _CBORLibraryVersionString
000000021a47fc80 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
000000021a47fc81 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
000000025743f138 (__DATA,__data) external _COSEHeaderX509Bag
000000025743f140 (__DATA,__data) external _COSEHeaderX509Chain
000000025743f150 (__DATA,__data) external _COSEHeaderX509Hash
000000025743f158 (__DATA,__data) external _COSEHeaderX509HashSender
000000025743f160 (__DATA,__data) external _COSEHeaderX509Uri
000000025743f168 (__DATA,__data) external _COSEHeaderX509UriSender
000000025743f148 (__DATA,__data) external _COSEHeaderx509ChainSender
00000002585573a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CBOR
00000002585573f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE
00000002585574e0 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSEKey
0000000258557490 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
0000000258557440 (__AUTH,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000025743ecb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
000000025743eca4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
000000025743eca0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
000000025743eca8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
000000025743ecac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
000000025743ecc4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
000000025743ecb4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
000000025743ecc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._content
000000025743eccc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
000000025743ecc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
000000025743ecd4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
000000025743ecd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
000000025743ecd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
000000025743ecbc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
000000025743ecb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
000000025743ecf8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
000000025743ed04 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
000000025743ece0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
000000025743ece4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
000000025743ecfc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
000000025743ed00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
000000025743ecf0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
000000025743ece8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
000000025743ecec (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
000000025743ed08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
000000025743ecf4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
000000025743ecdc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00000002585573c8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CBOR
0000000258557418 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE
0000000258557508 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSEKey
00000002585574b8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
0000000258557468 (__AUTH,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
0000000258557708 (__AUTH,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
000000025a0501d0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
000000025a050470 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
000000025a050588 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
0000000258557290 (__AUTH,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000025a050660 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000025a0502c8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
000000025a0501a8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
000000025a050408 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
000000025a050500 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000025a050358 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000025a050618 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000025a050260 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
000000025a050160 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
000000025a0503c0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
000000025a0504b8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
000000025a050310 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000025a0505d0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
000000025a050218 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
000000025a0528a8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
000000021a47e5b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|COSE|COSEKey)
000000021a47e578 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
000000021a47e6a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|COSE|COSEKey)
000000021a47e840 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
000000021a47e9d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
000000021a47e908 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
000000021a47e958 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
000000021a47e558 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
000000025a0509c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
000000025a050bf8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
000000025a050f88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
000000025a050f00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
000000025a050a68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
000000025a050d40 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
000000025a0510f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
000000025a050f28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
000000025a050e50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
000000025a050898 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
000000025a050980 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
000000025a0506a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
000000025a050878 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
000000025a0509a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
000000025a0508e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
000000025a0509a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
000000025a052930 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
000000025a052978 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
000000025a052a50 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
000000025a052a08 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
000000025a0529c0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
000000025a050150 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
000000025a050148 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
000000025a0528e8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
000000025a050bb0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
000000025a050f40 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
000000025a050eb8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
000000025a050e08 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
000000025743f0d8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
000000025743f078 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
000000025a051700 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
000000021a47a54c (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
000000021a47a710 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.62
000000021a474364 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
000000021a47a534 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000021a47a544 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___assert_rtn (from libSystem)
000000025a0500c8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
000000025a052858 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40r48r_e27_v32?0"CBOR"8"CBOR"16^B24l
                 (undefined) external ___chkstk_darwin (from libSystem)
000000021a47a66c (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
000000021a47a6c4 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
000000021a4613bc (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
000000021a46bae0 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
000000021a461324 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
000000021a4633bc (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
000000021a461500 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000021a472264 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
000000021a456220 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
000000021a462d28 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
000000021a462d70 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
000000021a471e58 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
000000021a469c3c (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
000000021a46172c (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
000000021a46a46c (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
000000021a471f68 (__TEXT,__text) non-external (was a private external) ___swift_memcpy2_1
000000021a461968 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
000000021a462c44 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
000000021a469c48 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
000000021a47255c (__TEXT,__text) non-external ___swift_project_boxed_opaque_existential_0Tm
000000021a461378 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
000000021a47fb70 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
000000021a47f858 (__TEXT,__const) non-external ___unnamed_22
000000021a47ecc8 (__TEXT,__const) non-external ___unnamed_5
000000021a478100 (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftCoreFoundation (from libswiftCoreFoundation)
000000025a050070 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftCoreFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDarwin (from libswiftDarwin)
000000025a050068 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDarwin_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftDispatch (from libswiftDispatch)
000000025a050078 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftDispatch_$_CBORLibrary
                 (undefined) weak external automatically hidden __swift_FORCE_LOAD_$_swiftFoundation (from Foundation)
000000025a050058 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftFoundation_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftIOKit (from libswiftIOKit)
000000025a050088 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftIOKit_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftObjectiveC (from libswiftObjectiveC)
000000025a050060 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftObjectiveC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftXPC (from libswiftXPC)
000000025a050080 (__DATA_CONST,__const) non-external (was a private external) __swift_FORCE_LOAD_$_swiftXPC_$_CBORLibrary
                 (undefined) weak external __swift_FORCE_LOAD_$_swiftos (from libswiftos)
