00007ffc14505473 (__TEXT,__text) non-external _Done_iODBC
00007ffc14522ea6 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffc14522ec9 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffc1450a74a (__TEXT,__text) external _SQLDrivers
00007ffc1450a872 (__TEXT,__text) external _SQLDriversA
00007ffc1450a99a (__TEXT,__text) external _SQLDriversW
00007ffc1450a330 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffc419acb84 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffc419acbb0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffc419acbb8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffc1451535c (__TEXT,__text) external _SQLEndTran
00007ffc14505e23 (__TEXT,__text) external _SQLError
00007ffc14505f08 (__TEXT,__text) external _SQLErrorA
00007ffc14505fed (__TEXT,__text) external _SQLErrorW
00007ffc14501ca4 (__TEXT,__text) external _SQLExecDirect
00007ffc14501de0 (__TEXT,__text) external _SQLExecDirectA
00007ffc14501f1c (__TEXT,__text) external _SQLExecDirectW
00007ffc14501a6c (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffc145017d0 (__TEXT,__text) external _SQLExecute
00007ffc14502ea6 (__TEXT,__text) external _SQLExtendedFetch
00007ffc14502c0c (__TEXT,__text) external _SQLFetch
00007ffc14515620 (__TEXT,__text) external _SQLFetchScroll
00007ffc14502a54 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffc144f9e53 (__TEXT,__text) external _SQLForeignKeys
00007ffc144fa075 (__TEXT,__text) external _SQLForeignKeysA
00007ffc144fa297 (__TEXT,__text) external _SQLForeignKeysW
00007ffc144f9ab2 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffc14503b6b (__TEXT,__text) external _SQLFreeConnect
00007ffc14503acb (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffc145053f3 (__TEXT,__text) external _SQLFreeEnv
00007ffc14505382 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffc1450fb85 (__TEXT,__text) external _SQLFreeHandle
00007ffc14508922 (__TEXT,__text) external _SQLFreeStmt
00007ffc145086f1 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffc1451fa09 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffc145127c9 (__TEXT,__text) external _SQLGetConnectAttr
00007ffc14512cc2 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffc14512e13 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffc1451291a (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffc14504a32 (__TEXT,__text) external _SQLGetConnectOption
00007ffc14504b58 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffc14504c7e (__TEXT,__text) external _SQLGetConnectOptionW
00007ffc1450db95 (__TEXT,__text) external _SQLGetCursorName
00007ffc1450dcf6 (__TEXT,__text) external _SQLGetCursorNameA
00007ffc1450de57 (__TEXT,__text) external _SQLGetCursorNameW
00007ffc1450d95d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffc1450302f (__TEXT,__text) external _SQLGetData
00007ffc145131e6 (__TEXT,__text) external _SQLGetDescField
00007ffc14513366 (__TEXT,__text) external _SQLGetDescFieldA
00007ffc145134e6 (__TEXT,__text) external _SQLGetDescFieldW
00007ffc14512f64 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffc14513df6 (__TEXT,__text) external _SQLGetDescRec
00007ffc14513fa8 (__TEXT,__text) external _SQLGetDescRecA
00007ffc1451415a (__TEXT,__text) external _SQLGetDescRecW
00007ffc14513bf9 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffc14507c9c (__TEXT,__text) external _SQLGetDiagField
00007ffc14507d84 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffc14507e6c (__TEXT,__text) external _SQLGetDiagFieldW
00007ffc14506b8d (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffc145068c0 (__TEXT,__text) external _SQLGetDiagRec
00007ffc145069af (__TEXT,__text) external _SQLGetDiagRecA
00007ffc14506a9e (__TEXT,__text) external _SQLGetDiagRecW
00007ffc145060d2 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffc14510297 (__TEXT,__text) external _SQLGetEnvAttr
00007ffc1450b6d6 (__TEXT,__text) external _SQLGetFunctions
00007ffc1450b2d1 (__TEXT,__text) external _SQLGetInfo
00007ffc1450b428 (__TEXT,__text) external _SQLGetInfoA
00007ffc1450b57f (__TEXT,__text) external _SQLGetInfoW
00007ffc1450abe9 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffc14522891 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffc145228ca (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffc14522314 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffc14522580 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffc14510c38 (__TEXT,__text) external _SQLGetStmtAttr
00007ffc14510dae (__TEXT,__text) external _SQLGetStmtAttrA
00007ffc14510f24 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffc14510455 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffc14509144 (__TEXT,__text) external _SQLGetStmtOption
00007ffc14509281 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffc14508f45 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffc144f6c38 (__TEXT,__text) external _SQLGetTypeInfo
00007ffc144f6d62 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffc144f6e8c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffc144f6aa0 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffc145033da (__TEXT,__text) external _SQLMoreResults
00007ffc14500ed8 (__TEXT,__text) external _SQLNativeSql
00007ffc14501054 (__TEXT,__text) external _SQLNativeSqlA
00007ffc145011d0 (__TEXT,__text) external _SQLNativeSqlW
00007ffc14500c54 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffc14502574 (__TEXT,__text) external _SQLNumParams
00007ffc1450e2a4 (__TEXT,__text) external _SQLNumResultCols
00007ffc145022e5 (__TEXT,__text) external _SQLParamData
00007ffc1450cd09 (__TEXT,__text) external _SQLParamOptions
00007ffc1450bf80 (__TEXT,__text) external _SQLPrepare
00007ffc1450c0bc (__TEXT,__text) external _SQLPrepareA
00007ffc1450c1f8 (__TEXT,__text) external _SQLPrepareW
00007ffc1450bd88 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffc144fa717 (__TEXT,__text) external _SQLPrimaryKeys
00007ffc144fa8e7 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffc144faab7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffc144fa4b9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffc144faf43 (__TEXT,__text) external _SQLProcedureColumns
00007ffc144fb13a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffc144fb331 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffc144fac87 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffc144fb786 (__TEXT,__text) external _SQLProcedures
00007ffc144fb956 (__TEXT,__text) external _SQLProceduresA
00007ffc144fbb26 (__TEXT,__text) external _SQLProceduresW
00007ffc144fb528 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffc14502058 (__TEXT,__text) external _SQLPutData
00007ffc1451f180 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffc1451f2e8 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffc1450dfb8 (__TEXT,__text) external _SQLRowCount
00007ffc14522903 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffc145121f7 (__TEXT,__text) external _SQLSetConnectAttr
00007ffc14512549 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffc14512689 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffc14512337 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffc14504293 (__TEXT,__text) external _SQLSetConnectOption
00007ffc145043b9 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffc145044df (__TEXT,__text) external _SQLSetConnectOptionW
00007ffc1450c4e3 (__TEXT,__text) external _SQLSetCursorName
00007ffc1450c625 (__TEXT,__text) external _SQLSetCursorNameA
00007ffc1450c767 (__TEXT,__text) external _SQLSetCursorNameW
00007ffc1450c334 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffc145137fa (__TEXT,__text) external _SQLSetDescField
00007ffc1451394f (__TEXT,__text) external _SQLSetDescFieldA
00007ffc14513aa4 (__TEXT,__text) external _SQLSetDescFieldW
00007ffc14513666 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffc1451430c (__TEXT,__text) external _SQLSetDescRec
00007ffc145100a7 (__TEXT,__text) external _SQLSetEnvAttr
00007ffc145101c4 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffc14522e2f (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffc14522e40 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffc1450d550 (__TEXT,__text) external _SQLSetParam
00007ffc145037ba (__TEXT,__text) external _SQLSetPos
00007ffc1450d017 (__TEXT,__text) external _SQLSetScrollOptions
00007ffc14511dc8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffc14511f2d (__TEXT,__text) external _SQLSetStmtAttrA
00007ffc14512092 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffc1451109a (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffc14508a5a (__TEXT,__text) external _SQLSetStmtOption
00007ffc14508e09 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffc14508b96 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffc144f726a (__TEXT,__text) external _SQLSpecialColumns
00007ffc144f7457 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffc144f7644 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffc144f6fb6 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffc144f7ac6 (__TEXT,__text) external _SQLStatistics
00007ffc144f7cc9 (__TEXT,__text) external _SQLStatisticsA
00007ffc144f7ecc (__TEXT,__text) external _SQLStatisticsW
00007ffc144f7831 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffc144fbf54 (__TEXT,__text) external _SQLTablePrivileges
00007ffc144fc124 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffc144fc2f4 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffc144fbcf6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffc144f838b (__TEXT,__text) external _SQLTables
00007ffc144f8582 (__TEXT,__text) external _SQLTablesA
00007ffc144f8779 (__TEXT,__text) external _SQLTablesW
00007ffc144f80cf (__TEXT,__text) non-external _SQLTables_Internal
00007ffc14505099 (__TEXT,__text) external _SQLTransact
00007ffc14504da4 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffc1451faf4 (__TEXT,__text) non-external _SQLValidDSN
00007ffc1451fb53 (__TEXT,__text) non-external _SQLValidDSNW
00007ffc1451ef2b (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffc1451efd6 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffc14522a64 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffc14522c85 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffc14509e3f (__TEXT,__text) non-external _SectSorter
00007ffc1451fa56 (__TEXT,__text) non-external _ValidDSN
00007ffc1451faa8 (__TEXT,__text) non-external _ValidDSNW
00007ffc1452295a (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffc1450ff6c (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc145015d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc145015f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffc14520c25 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffc419acbf0 (__DATA,__common) non-external __iodbc_env_counter
00007ffc1451f4d7 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffc14509852 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffc14509920 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffc14502d29 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffc1450869e (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffc14504605 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffc1450e183 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffc145088ec (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffc14503c4a (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffc144fc72c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffc14503664 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffc145098d5 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffc145095b9 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffc419acbf8 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffc145099da (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffc144f6b9d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffc144f6bf0 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffc1452135d (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffc14520594 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffc14520dcb (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffc14520a54 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffc145204ec (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffc1450bbba (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffc1452163c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffc14520cfa (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffc1450bc2d (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffc1450bab0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffc145205c5 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffc14520cd4 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffc144ff881 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffc1452166e (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffc14520b1e (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffc1450bc79 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffc14520ec9 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffc1451f723 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffc144ff619 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffc14509667 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffc14509763 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffc144ff743 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffc14501713 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffc1450175a (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffc14501673 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffc14501669 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffc1450178c (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffc144fc99e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffc144fd160 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffc145085b5 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffc14504228 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffc144fc529 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffc1450547c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffc145014e3 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffc1451f7c9 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffc1450161a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffc419acb98 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffc1452184c (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffc1452178c (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffc1450e42c (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffc1450e3d0 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffc1450134c (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffc144fc4d0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffc14522e60 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffc144ff3bc (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffc144ffa75 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffc144fc603 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffc144ff9d3 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffc1450549f (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffc1451f76d (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffc14501764 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffc14505502 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffc1451f98b (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffc1451f93b (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffc14504e83 (__TEXT,__text) non-external __iodbcdm_transact
00007ffc4032bfe0 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffc4032cc80 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffc4032cd30 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffc4032c0a0 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffc4032c140 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffc4032c7e0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffc4032c820 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffc4032c4f0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffc4032c870 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffc4032c890 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffc4032c8b0 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffc4032c5a0 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffc4032c8e0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffc4032c900 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffc4032bfb0 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffc4032bfc0 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffc4032c4c0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffc4032c930 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffc4032c980 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffc4032c9a0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffc4032c9b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffc4032ca00 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffc4032ca20 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffc4032caa0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffc4032cab0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffc4032cae0 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffc4032cb00 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffc4032cb80 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffc4032cbc0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffc4032cbd0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffc4032cbe0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffc4032cbf0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffc4032cc10 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffc4032cc30 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffc4032cc50 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffc4032cc60 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffc4032cba0 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffc4032c0f0 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffc4032c630 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffc4032c5e0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffc4032c610 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffc4032cdc0 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffc4032cde0 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffc4032cea0 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffc4032c650 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffc4032c4e0 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffc4032c670 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffc4032c170 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffc4032c240 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffc4032cec0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffc4032c260 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffc4032c270 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffc4032c690 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
00007ffc4032cee0 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffc4032cf00 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffc4032c700 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffc4032c6d0 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
