                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018c1afe40 (__TEXT,__text) non-external _au_assemble
000000018c1bbdd4 (__TEXT,__text) external _au_to_header64_tm
000000018c1bc0d0 (__TEXT,__text) external _au_to_header_ex
000000018c1bb9cc (__TEXT,__text) external _au_to_identity
000000018c1b9d24 (__TEXT,__text) external _au_to_in_addr
000000018c1b9d90 (__TEXT,__text) external _au_to_in_addr_ex
000000018c1b9e04 (__TEXT,__text) external _au_to_ip
000000018c1b9e78 (__TEXT,__text) external _au_to_ipc
000000018c1b9f08 (__TEXT,__text) external _au_to_ipc_perm
000000018c1b9fdc (__TEXT,__text) external _au_to_iport
000000018c1bc15c (__TEXT,__text) external _au_to_kevent
000000018c1bb918 (__TEXT,__text) external _au_to_krb5_principal
000000018c1bb740 (__TEXT,__text) external _au_to_me
000000018c1b9c70 (__TEXT,__text) external _au_to_newgroups
000000018c1ba04c (__TEXT,__text) external _au_to_opaque
000000018c1ba2a8 (__TEXT,__text) external _au_to_path
000000018c1ba67c (__TEXT,__text) external _au_to_process
000000018c1ba354 (__TEXT,__text) external _au_to_process32
000000018c1ba680 (__TEXT,__text) external _au_to_process32_ex
000000018c1ba4c8 (__TEXT,__text) external _au_to_process64
000000018c1ba884 (__TEXT,__text) external _au_to_process64_ex
000000018c1baac8 (__TEXT,__text) external _au_to_process_ex
000000018c1bac0c (__TEXT,__text) external _au_to_return
000000018c1baacc (__TEXT,__text) external _au_to_return32
000000018c1bab5c (__TEXT,__text) external _au_to_return64
000000018c1bac10 (__TEXT,__text) external _au_to_seq
000000018c1bafbc (__TEXT,__text) external _au_to_sock_inet
000000018c1baf38 (__TEXT,__text) external _au_to_sock_inet128
000000018c1baebc (__TEXT,__text) external _au_to_sock_inet32
000000018c1bae0c (__TEXT,__text) external _au_to_sock_unix
000000018c1bac90 (__TEXT,__text) external _au_to_socket_ex
000000018c1bb7f0 (__TEXT,__text) non-external _au_to_strings
000000018c1bb2e8 (__TEXT,__text) external _au_to_subject
000000018c1bafc0 (__TEXT,__text) external _au_to_subject32
000000018c1bb2ec (__TEXT,__text) external _au_to_subject32_ex
000000018c1bb134 (__TEXT,__text) external _au_to_subject64
000000018c1bb4f4 (__TEXT,__text) external _au_to_subject64_ex
000000018c1bb73c (__TEXT,__text) external _au_to_subject_ex
000000018c1ba1fc (__TEXT,__text) external _au_to_text
000000018c1bc0d4 (__TEXT,__text) external _au_to_trailer
000000018c1bb920 (__TEXT,__text) external _au_to_zonename
000000018c1bc4c4 (__TEXT,__text) external _au_user_mask
000000018c1afcb8 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00000001d67329f8 (__DATA,__bss) non-external _audit_free_q
000000018c1bdafc (__TEXT,__text) external _audit_get_car
000000018c1bd7a8 (__TEXT,__text) external _audit_get_class
000000018c1bc990 (__TEXT,__text) external _audit_get_cond
000000018c1bdb0c (__TEXT,__text) external _audit_get_ctlmode
000000018c1bdaec (__TEXT,__text) external _audit_get_cwd
000000018c1bdb58 (__TEXT,__text) external _audit_get_expire_after
000000018c1bd8d8 (__TEXT,__text) external _audit_get_fsize
000000018c1bd710 (__TEXT,__text) external _audit_get_kaudit
000000018c1bd840 (__TEXT,__text) external _audit_get_kmask
000000018c1bd9bc (__TEXT,__text) external _audit_get_pinfo
000000018c1bda08 (__TEXT,__text) external _audit_get_pinfo_addr
000000018c1bd420 (__TEXT,__text) external _audit_get_policy
000000018c1bd598 (__TEXT,__text) external _audit_get_qctrl
000000018c1bd510 (__TEXT,__text) external _audit_get_sflags
000000018c1bd550 (__TEXT,__text) external _audit_get_sflags_mask
000000018c1afae4 (__TEXT,__text) external _audit_get_sinfo_addr
000000018c1bda54 (__TEXT,__text) external _audit_get_stat
00000001d67329f0 (__DATA,__bss) non-external _audit_rec_count
000000018c1bd700 (__TEXT,__text) external _audit_send_trigger
000000018c1bd7f4 (__TEXT,__text) external _audit_set_class
000000018c1bd3a8 (__TEXT,__text) external _audit_set_cond
000000018c1bd924 (__TEXT,__text) external _audit_set_fsize
000000018c1bd75c (__TEXT,__text) external _audit_set_kaudit
000000018c1bd88c (__TEXT,__text) external _audit_set_kmask
000000018c1bd970 (__TEXT,__text) external _audit_set_pmask
000000018c1bd498 (__TEXT,__text) external _audit_set_policy
000000018c1bd64c (__TEXT,__text) external _audit_set_qctrl
000000018c1bd520 (__TEXT,__text) external _audit_set_sflags
000000018c1bd574 (__TEXT,__text) external _audit_set_sflags_mask
000000018c1bdaa0 (__TEXT,__text) external _audit_set_stat
000000018c1bcb38 (__TEXT,__text) non-external _audit_set_terminal_host
000000018c1bca08 (__TEXT,__text) external _audit_set_terminal_id
000000018c1bcbfc (__TEXT,__text) external _audit_set_terminal_id_ex
000000018c1bca5c (__TEXT,__text) non-external _audit_set_terminal_port
000000018c1bc660 (__TEXT,__text) external _audit_submit
000000018c1af3cc (__TEXT,__text) external _audit_token_to_asid
000000018c1af40c (__TEXT,__text) external _audit_token_to_au32
000000018c1af3ec (__TEXT,__text) external _audit_token_to_auid
000000018c1af3f4 (__TEXT,__text) external _audit_token_to_egid
000000018c1af3dc (__TEXT,__text) external _audit_token_to_euid
000000018c1af3d4 (__TEXT,__text) external _audit_token_to_pid
000000018c1af404 (__TEXT,__text) external _audit_token_to_pidversion
000000018c1af3fc (__TEXT,__text) external _audit_token_to_rgid
000000018c1af3e4 (__TEXT,__text) external _audit_token_to_ruid
000000018c1bcc50 (__TEXT,__text) external _audit_write
000000018c1bd024 (__TEXT,__text) external _audit_write_failure
000000018c1bd130 (__TEXT,__text) external _audit_write_failure_ex
000000018c1bd320 (__TEXT,__text) external _audit_write_failure_na
000000018c1bd364 (__TEXT,__text) external _audit_write_failure_na_ex
000000018c1bd23c (__TEXT,__text) external _audit_write_failure_self
000000018c1bce30 (__TEXT,__text) external _audit_write_success
000000018c1bcee4 (__TEXT,__text) external _audit_write_success_ex
000000018c1bcf98 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018c1b875c (__TEXT,__text) non-external _be64dec
000000018c1be108 (__TEXT,__const) non-external _bsm_domains
00000001d44b4500 (__DATA_CONST,__const) non-external _bsm_errnos
000000018c1be390 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018c1be330 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018c1b9898 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018c1b8ca0 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018c1b0b94 (__TEXT,__text) external _endac
000000018c1b06ec (__TEXT,__text) external _endauclass
000000018c1b16cc (__TEXT,__text) external _endauevent
000000018c1bc1b4 (__TEXT,__text) external _endauuser
00000001d67330d8 (__DATA,__bss) non-external _ev_cache
000000018c1b1b18 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018c1b3bf0 (__TEXT,__text) non-external _fetch_arb_tok
000000018c1b25c4 (__TEXT,__text) non-external _fetch_arg32_tok
000000018c1b2648 (__TEXT,__text) non-external _fetch_arg64_tok
000000018c1b26cc (__TEXT,__text) non-external _fetch_attr32_tok
000000018c1b2790 (__TEXT,__text) non-external _fetch_attr64_tok
000000018c1b3c80 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018c1b28cc (__TEXT,__text) non-external _fetch_execarg_tok
000000018c1b2964 (__TEXT,__text) non-external _fetch_execenv_tok
000000018c1b2878 (__TEXT,__text) non-external _fetch_exit_tok
000000018c1b29fc (__TEXT,__text) non-external _fetch_file_tok
000000018c1b2190 (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018c1b20c8 (__TEXT,__text) non-external _fetch_header32_tok
000000018c1b23f0 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018c1b2304 (__TEXT,__text) non-external _fetch_header64_tok
000000018c1b3db0 (__TEXT,__text) non-external _fetch_identity_tok
000000018c1b2af4 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018c1b2b6c (__TEXT,__text) non-external _fetch_ip_tok
000000018c1b2c78 (__TEXT,__text) non-external _fetch_ipc_tok
000000018c1b2cc8 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018c1b3d18 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018c1b2a84 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018c1b2da8 (__TEXT,__text) non-external _fetch_process32_tok
000000018c1b2ebc (__TEXT,__text) non-external _fetch_process32ex_tok
000000018c1b3014 (__TEXT,__text) non-external _fetch_process64_tok
000000018c1b3158 (__TEXT,__text) non-external _fetch_process64ex_tok
000000018c1b32dc (__TEXT,__text) non-external _fetch_return32_tok
000000018c1b332c (__TEXT,__text) non-external _fetch_return64_tok
000000018c1b352c (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018c1b3418 (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018c1b3484 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018c1b337c (__TEXT,__text) non-external _fetch_socket_tok
000000018c1b3acc (__TEXT,__text) non-external _fetch_socketex32_tok
000000018c1b3598 (__TEXT,__text) non-external _fetch_subject32_tok
000000018c1b36ac (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018c1b3804 (__TEXT,__text) non-external _fetch_subject64_tok
000000018c1b3948 (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018c1b256c (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001d67330d0 (__DATA,__bss) non-external _firsttime
000000018c1b9678 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001d6732be0 (__DATA,__bss) non-external _fp
00000001d6732ce8 (__DATA,__bss) non-external _fp
00000001d6732df8 (__DATA,__bss) non-external _fp
00000001d67330e8 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018c1b0be8 (__TEXT,__text) external _getacdir
000000018c1b1314 (__TEXT,__text) external _getacexpire
000000018c1b0e84 (__TEXT,__text) external _getacfilesz
000000018c1b1030 (__TEXT,__text) external _getacflg
000000018c1b1264 (__TEXT,__text) external _getachost
000000018c1b0e00 (__TEXT,__text) external _getacmin
000000018c1b10e0 (__TEXT,__text) external _getacna
000000018c1b1190 (__TEXT,__text) external _getacpol
000000018c1b1240 (__TEXT,__text) external _getacsflagsmask
000000018c1b049c (__TEXT,__text) external _getauclassent
00000001d6732af0 (__DATA,__bss) non-external _getauclassent.c
00000001d6732aa8 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001d6732aa0 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001d6732b08 (__DATA,__bss) non-external _getauclassent.cp
000000018c1b02fc (__TEXT,__text) external _getauclassent_r
000000018c1b0344 (__TEXT,__text) non-external _getauclassent_r_locked
000000018c1b05f4 (__TEXT,__text) external _getauclassnam
00000001d6732b60 (__DATA,__bss) non-external _getauclassnam.c
00000001d6732b18 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001d6732b10 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018c1b0568 (__TEXT,__text) external _getauclassnam_r
000000018c1b06b0 (__TEXT,__text) external _getauclassnum
00000001d6732bc8 (__DATA,__bss) non-external _getauclassnum.c
00000001d6732b80 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001d6732b78 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018c1b0630 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018c1b1c4c (__TEXT,__text) external _getauditflagsbin
000000018c1b1db8 (__TEXT,__text) external _getauditflagschar
000000018c1b17e4 (__TEXT,__text) external _getauevent
00000001d6732e50 (__DATA,__bss) non-external _getauevent.e
00000001d6732e1e (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001d6732e00 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018c1b1720 (__TEXT,__text) external _getauevent_r
000000018c1b1914 (__TEXT,__text) external _getauevnam
00000001d6732ec0 (__DATA,__bss) non-external _getauevnam.e
00000001d6732e8e (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001d6732e70 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018c1b1824 (__TEXT,__text) external _getauevnam_r
000000018c1b1b08 (__TEXT,__text) external _getauevnonam
00000001d6732fc8 (__DATA,__bss) non-external _getauevnonam.event
000000018c1b1a84 (__TEXT,__text) external _getauevnonam_r
00000001d6732fa0 (__DATA,__bss) non-external _getauevnonam_r.e
00000001d6732fc0 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001d6732f6e (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001d6732f50 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018c1b1a40 (__TEXT,__text) external _getauevnum
00000001d6732f30 (__DATA,__bss) non-external _getauevnum.e
00000001d6732efe (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001d6732ee0 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018c1b1958 (__TEXT,__text) external _getauevnum_r
000000018c1bc3a0 (__TEXT,__text) external _getauuserent
00000001d6733128 (__DATA,__bss) non-external _getauuserent.u
00000001d67330f0 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018c1bc208 (__TEXT,__text) external _getauuserent_r
000000018c1bc250 (__TEXT,__text) non-external _getauuserent_r_locked
000000018c1bc494 (__TEXT,__text) external _getauusernam
00000001d6733178 (__DATA,__bss) non-external _getauusernam.u
00000001d6733140 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018c1bc40c (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018c1bc588 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018c1b0c94 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001d6732be8 (__DATA,__bss) non-external _linestr
00000001d6732cf8 (__DATA,__bss) non-external _linestr
00000001d6732fca (__DATA,__bss) non-external _linestr
00000001d6733190 (__DATA,__bss) non-external _linestr
000000018c1b95c0 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001d6732870 (__DATA,__data) non-external _mutex
00000001d67328b0 (__DATA,__data) non-external _mutex
00000001d67328f0 (__DATA,__data) non-external _mutex
00000001d6732930 (__DATA,__data) non-external _mutex
00000001d6732970 (__DATA,__data) non-external _mutex
00000001d67329b0 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001d6732a00 (__DATA,__bss) non-external _open_desc_table
000000018c1b8b38 (__TEXT,__text) non-external _print_event
000000018c1b9250 (__TEXT,__text) non-external _print_group
000000018c1b8f44 (__TEXT,__text) non-external _print_ip_ex_address
000000018c1b935c (__TEXT,__text) non-external _print_ipctype
000000018c1b92d4 (__TEXT,__text) non-external _print_mem
000000018c1b93fc (__TEXT,__text) non-external _print_retval
000000018c1b8c0c (__TEXT,__text) non-external _print_sec32
000000018c1b9030 (__TEXT,__text) non-external _print_sec64
000000018c1b90c0 (__TEXT,__text) non-external _print_string
000000018c1b8768 (__TEXT,__text) non-external _print_tok_type
000000018c1b91cc (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018c1b0ac0 (__TEXT,__text) external _setac
000000018c1b0b04 (__TEXT,__text) non-external _setac_locked
00000001d6732cf0 (__DATA,__bss) non-external _setac_locked.lastctime
000000018c1b0518 (__TEXT,__text) external _setauclass
000000018c1b167c (__TEXT,__text) external _setauevent
000000018c1bc164 (__TEXT,__text) external _setauuser
000000018c1b14f8 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001d67330e0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
