00000001917f4968 (__TEXT,__const) non-external _KW_ANY
00000001917ddc68 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00000001917ddc38 (__TEXT,__text) external _XML_SetNotationDeclHandler
00000001917ddce0 (__TEXT,__text) external _XML_SetParamEntityParsing
00000001917ddba8 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00000001917de8c8 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00000001917dda4c (__TEXT,__text) external _XML_SetReturnNSTriplet
00000001917ddc94 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00000001917ddbcc (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00000001917ddc14 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00000001917ddb84 (__TEXT,__text) external _XML_SetStartElementHandler
00000001917ddc50 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00000001917ddca0 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00000001917ddc2c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00000001917dda70 (__TEXT,__text) external _XML_SetUserData
00000001917ddcd4 (__TEXT,__text) external _XML_SetXmlDeclHandler
00000001917de3a4 (__TEXT,__text) external _XML_StopParser
00000001917f45d4 (__TEXT,__text) non-external _XML_StopParser.cold.1
00000001917dda18 (__TEXT,__text) external _XML_UseForeignDTD
00000001917dda0c (__TEXT,__text) external _XML_UseParserAsHandlerArg
00000001917e8150 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00000001917e86e4 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00000001917e8144 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00000001917e86d8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00000001917e815c (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00000001917e86f0 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00000001917e7bb4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00000001917e8908 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00000001917e8288 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00000001917e87ac (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00000001917e5a64 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00000001917e5b98 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00000001917e7bac (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00000001917e7b5c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00000001917e7aa0 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00000001917e79f4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00000001917e0530 (__TEXT,__text) non-external _accountingDiffTolerated
00000001917f4684 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00000001917e1d78 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00000001917f46dc (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00000001917e1dc4 (__TEXT,__text) non-external _accountingReportStats
00000001917e43ac (__TEXT,__text) non-external _addBinding
00000001917f5ddb (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00000001917f5e00 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00000001917e4748 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001ef3b7f58 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001ef3b8868 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
00000001917f0674 (__TEXT,__text) non-external _ascii_toUtf8
00000001917e61c4 (__TEXT,__text) non-external _attlist0
00000001917e6b8c (__TEXT,__text) non-external _attlist1
00000001917e6c30 (__TEXT,__text) non-external _attlist2
00000001e74c1ca0 (__DATA_CONST,__const) non-external _attlist2.types
00000001917e6ef0 (__TEXT,__text) non-external _attlist3
00000001917e7078 (__TEXT,__text) non-external _attlist4
00000001917e6e9c (__TEXT,__text) non-external _attlist5
00000001917e6fb4 (__TEXT,__text) non-external _attlist6
00000001917e7010 (__TEXT,__text) non-external _attlist7
00000001917e6d5c (__TEXT,__text) non-external _attlist8
00000001917e6f58 (__TEXT,__text) non-external _attlist9
00000001917f1d88 (__TEXT,__text) non-external _big2_attributeValueTok
00000001917f1920 (__TEXT,__text) non-external _big2_cdataSectionTok
00000001917f25b4 (__TEXT,__text) non-external _big2_charRefNumber
00000001917f37f8 (__TEXT,__text) non-external _big2_checkPiTarget
00000001917f0e38 (__TEXT,__text) non-external _big2_contentTok
00000001ef3b7bb8 (__AUTH_CONST,__const) non-external _big2_encoding
00000001ef3b84c8 (__AUTH_CONST,__const) non-external _big2_encoding_ns
00000001917f1eec (__TEXT,__text) non-external _big2_entityValueTok
00000001917f2198 (__TEXT,__text) non-external _big2_getAtts
00000001917f1bc0 (__TEXT,__text) non-external _big2_ignoreSectionTok
00000001917f28d4 (__TEXT,__text) non-external _big2_isPublicId
00000001917f20b4 (__TEXT,__text) non-external _big2_nameLength
00000001917f2068 (__TEXT,__text) non-external _big2_nameMatchesAscii
00000001917f2694 (__TEXT,__text) non-external _big2_predefinedEntityName
00000001917f06c0 (__TEXT,__text) non-external _big2_prologTok
00000001917f3b9c (__TEXT,__text) non-external _big2_scanAtts
00000001917f50ab (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00000001917f3680 (__TEXT,__text) non-external _big2_scanComment
00000001917f2cfc (__TEXT,__text) non-external _big2_scanDecl
00000001917f2ba8 (__TEXT,__text) non-external _big2_scanLit
00000001917f3260 (__TEXT,__text) non-external _big2_scanPercent
00000001917f2e38 (__TEXT,__text) non-external _big2_scanPi
00000001917f3474 (__TEXT,__text) non-external _big2_scanPoundName
00000001917f3894 (__TEXT,__text) non-external _big2_scanRef
00000001917f2154 (__TEXT,__text) non-external _big2_skipS
00000001917f2b20 (__TEXT,__text) non-external _big2_toUtf16
00000001917f298c (__TEXT,__text) non-external _big2_toUtf8
00000001917f27e8 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
00000001917de27c (__TEXT,__text) non-external _callProcessor
00000001917e41b8 (__TEXT,__text) non-external _cdataSectionProcessor
00000001917e7e3c (__TEXT,__text) non-external _checkCharRefNumber
00000001917e67ec (__TEXT,__text) non-external _condSect0
00000001917e68c8 (__TEXT,__text) non-external _condSect1
00000001917e6938 (__TEXT,__text) non-external _condSect2
00000001917e0ec0 (__TEXT,__text) non-external _contentProcessor
00000001917e58a8 (__TEXT,__text) non-external _copyEntityTable
00000001917dce5c (__TEXT,__text) non-external _copyString
00000001917e6670 (__TEXT,__text) non-external _declClose
00000001917e1254 (__TEXT,__text) non-external _defineAttribute
00000001917e3ec0 (__TEXT,__text) non-external _doCdataSection
00000001917e2180 (__TEXT,__text) non-external _doContent
00000001917e1714 (__TEXT,__text) non-external _doIgnoreSection
00000001917e82e4 (__TEXT,__text) non-external _doParseXmlDecl
00000001917dec34 (__TEXT,__text) non-external _doProlog
00000001917f4863 (__TEXT,__const) non-external _doProlog.atypeCDATA
00000001917f4880 (__TEXT,__const) non-external _doProlog.atypeENTITIES
00000001917f4879 (__TEXT,__const) non-external _doProlog.atypeENTITY
00000001917f4869 (__TEXT,__const) non-external _doProlog.atypeID
00000001917f486c (__TEXT,__const) non-external _doProlog.atypeIDREF
00000001917f4872 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00000001917f4889 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00000001917f4891 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00000001917f462c (__TEXT,__text) non-external _doProlog.cold.1
00000001917f4658 (__TEXT,__text) non-external _doProlog.cold.2
00000001917f5cd0 (__TEXT,__cstring) non-external _doProlog.enumValueSep
00000001917f5cd2 (__TEXT,__cstring) non-external _doProlog.enumValueStart
00000001917f5cc6 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00000001917e5cc4 (__TEXT,__text) non-external _doctype0
00000001917e5d30 (__TEXT,__text) non-external _doctype1
00000001917e60fc (__TEXT,__text) non-external _doctype2
00000001917e60a0 (__TEXT,__text) non-external _doctype3
00000001917e797c (__TEXT,__text) non-external _doctype4
00000001917e62e8 (__TEXT,__text) non-external _doctype5
00000001917e6228 (__TEXT,__text) non-external _element0
00000001917e70e0 (__TEXT,__text) non-external _element1
00000001917e7204 (__TEXT,__text) non-external _element2
00000001917e7340 (__TEXT,__text) non-external _element3
00000001917e7654 (__TEXT,__text) non-external _element4
00000001917e76b8 (__TEXT,__text) non-external _element5
00000001917e73f0 (__TEXT,__text) non-external _element6
00000001917e74e4 (__TEXT,__text) non-external _element7
00000001e74c1d10 (__DATA_CONST,__const) non-external _encodings
00000001e74c1d48 (__DATA_CONST,__const) non-external _encodingsNS
00000001917e6158 (__TEXT,__text) non-external _entity0
00000001917e6344 (__TEXT,__text) non-external _entity1
00000001917e66e4 (__TEXT,__text) non-external _entity10
00000001917e63a0 (__TEXT,__text) non-external _entity2
00000001917e69f0 (__TEXT,__text) non-external _entity3
00000001917e6994 (__TEXT,__text) non-external _entity4
00000001917e6a4c (__TEXT,__text) non-external _entity5
00000001917e6b24 (__TEXT,__text) non-external _entity6
00000001917e64ac (__TEXT,__text) non-external _entity7
00000001917e6614 (__TEXT,__text) non-external _entity8
00000001917e65b8 (__TEXT,__text) non-external _entity9
00000001917e1b48 (__TEXT,__text) non-external _entityTrackingOnOpen
00000001917e5158 (__TEXT,__text) non-external _entityTrackingReportStats
00000001917f4734 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00000001917e5488 (__TEXT,__text) non-external _entityValueInitProcessor
00000001917e5770 (__TEXT,__text) non-external _entityValueProcessor
00000001917e3c9c (__TEXT,__text) non-external _epilogProcessor
00000001917e5d28 (__TEXT,__text) non-external _error
00000001917de39c (__TEXT,__text) non-external _errorProcessor
00000001917e46e4 (__TEXT,__text) non-external _externalEntityContentProcessor
00000001917dd860 (__TEXT,__text) non-external _externalEntityInitProcessor
00000001917e5254 (__TEXT,__text) non-external _externalEntityInitProcessor2
00000001917e5360 (__TEXT,__text) non-external _externalEntityInitProcessor3
00000001917dd8dc (__TEXT,__text) non-external _externalParEntInitProcessor
00000001917e563c (__TEXT,__text) non-external _externalParEntProcessor
00000001917e5bb0 (__TEXT,__text) non-external _externalSubset0
00000001917e675c (__TEXT,__text) non-external _externalSubset1
00000001917e85d8 (__TEXT,__text) non-external _findEncoding
00000001917e8808 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00000001917e3c38 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00000001917f4860 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
00000001917e0fbc (__TEXT,__text) non-external _getAttributeId
00000001917e2eb0 (__TEXT,__text) non-external _getContext
00000001917de990 (__TEXT,__text) non-external _getDebugLevel
00000001917e0f2c (__TEXT,__text) non-external _getElementType
00000001917e81d8 (__TEXT,__text) non-external _getEncodingIndex
00000001e74c1ce0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00000001917deb28 (__TEXT,__text) non-external _handleUnknownEncoding
00000001917e1e3c (__TEXT,__text) non-external _hash
00000001917e583c (__TEXT,__text) non-external _hashTableDestroy
00000001917e189c (__TEXT,__text) non-external _ignoreSectionProcessor
00000001917f489a (__TEXT,__const) non-external _implicitContext
00000001917f0484 (__TEXT,__text) non-external _initScan
00000001917e825c (__TEXT,__text) non-external _initScanContent
00000001917e878c (__TEXT,__text) non-external _initScanContentNS
00000001917e823c (__TEXT,__text) non-external _initScanProlog
00000001917e876c (__TEXT,__text) non-external _initScanPrologNS
00000001917e827c (__TEXT,__text) non-external _initUpdatePosition
00000001917dea1c (__TEXT,__text) non-external _initializeEncoding
00000001917e4f90 (__TEXT,__text) non-external _internalEntityProcessor
00000001917f4708 (__TEXT,__text) non-external _internalEntityProcessor.cold.1
00000001917e5e48 (__TEXT,__text) non-external _internalSubset
00000001ef3b7478 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001ef3b7818 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001ef3b72a8 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001ef3b7648 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
00000001917ec75c (__TEXT,__text) non-external _isNever
00000001ef3b70d8 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001ef3b8128 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
00000001917eac50 (__TEXT,__text) non-external _latin1_toUtf16
00000001917eabbc (__TEXT,__text) non-external _latin1_toUtf8
00000001917edfa4 (__TEXT,__text) non-external _little2_attributeValueTok
00000001917edb3c (__TEXT,__text) non-external _little2_cdataSectionTok
00000001917ee7dc (__TEXT,__text) non-external _little2_charRefNumber
00000001917efa14 (__TEXT,__text) non-external _little2_checkPiTarget
00000001917ed08c (__TEXT,__text) non-external _little2_contentTok
00000001ef3b7d88 (__AUTH_CONST,__const) non-external _little2_encoding
00000001ef3b8698 (__AUTH_CONST,__const) non-external _little2_encoding_ns
00000001917ee108 (__TEXT,__text) non-external _little2_entityValueTok
00000001917ee3c0 (__TEXT,__text) non-external _little2_getAtts
00000001917edddc (__TEXT,__text) non-external _little2_ignoreSectionTok
00000001917eeafc (__TEXT,__text) non-external _little2_isPublicId
00000001917ee2d0 (__TEXT,__text) non-external _little2_nameLength
00000001917ee284 (__TEXT,__text) non-external _little2_nameMatchesAscii
00000001917ee8bc (__TEXT,__text) non-external _little2_predefinedEntityName
00000001917ec914 (__TEXT,__text) non-external _little2_prologTok
00000001917efdb4 (__TEXT,__text) non-external _little2_scanAtts
00000001917ef89c (__TEXT,__text) non-external _little2_scanComment
00000001917eef18 (__TEXT,__text) non-external _little2_scanDecl
00000001917eedc4 (__TEXT,__text) non-external _little2_scanLit
00000001917ef478 (__TEXT,__text) non-external _little2_scanPercent
00000001917ef054 (__TEXT,__text) non-external _little2_scanPi
00000001917ef690 (__TEXT,__text) non-external _little2_scanPoundName
00000001917efab0 (__TEXT,__text) non-external _little2_scanRef
00000001917ee370 (__TEXT,__text) non-external _little2_skipS
00000001917eed40 (__TEXT,__text) non-external _little2_toUtf16
00000001917eebac (__TEXT,__text) non-external _little2_toUtf8
00000001917eea10 (__TEXT,__text) non-external _little2_updatePosition
00000001917e0ae4 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001917f4f78 (__TEXT,__const) non-external _namePages
00000001917f4978 (__TEXT,__const) non-external _namingBitmap
00000001917e194c (__TEXT,__text) non-external _nextScaffoldPart
00000001917f4e78 (__TEXT,__const) non-external _nmstrtPages
00000001917ea1ec (__TEXT,__text) non-external _normal_attributeValueTok
00000001917e9d64 (__TEXT,__text) non-external _normal_cdataSectionTok
00000001917ea88c (__TEXT,__text) non-external _normal_charRefNumber
00000001917eba18 (__TEXT,__text) non-external _normal_checkPiTarget
00000001917e91a4 (__TEXT,__text) non-external _normal_contentTok
00000001917ea32c (__TEXT,__text) non-external _normal_entityValueTok
00000001917ea550 (__TEXT,__text) non-external _normal_getAtts
00000001917ea00c (__TEXT,__text) non-external _normal_ignoreSectionTok
00000001917eab14 (__TEXT,__text) non-external _normal_isPublicId
00000001917ea4c8 (__TEXT,__text) non-external _normal_nameLength
00000001917ea484 (__TEXT,__text) non-external _normal_nameMatchesAscii
00000001917ea958 (__TEXT,__text) non-external _normal_predefinedEntityName
00000001917e892c (__TEXT,__text) non-external _normal_prologTok
00000001917ebdfc (__TEXT,__text) non-external _normal_scanAtts
00000001917eb87c (__TEXT,__text) non-external _normal_scanComment
00000001917eae3c (__TEXT,__text) non-external _normal_scanDecl
00000001917eaca4 (__TEXT,__text) non-external _normal_scanLit
00000001917eb368 (__TEXT,__text) non-external _normal_scanPercent
00000001917eaf5c (__TEXT,__text) non-external _normal_scanPi
00000001917eb5f4 (__TEXT,__text) non-external _normal_scanPoundName
00000001917eba9c (__TEXT,__text) non-external _normal_scanRef
00000001917ea514 (__TEXT,__text) non-external _normal_skipS
00000001917eaa40 (__TEXT,__text) non-external _normal_updatePosition
00000001917e51fc (__TEXT,__text) non-external _normalizeLines
00000001917e0e3c (__TEXT,__text) non-external _normalizePublicId
00000001917e628c (__TEXT,__text) non-external _notation0
00000001917e7738 (__TEXT,__text) non-external _notation1
00000001917e787c (__TEXT,__text) non-external _notation2
00000001917e7814 (__TEXT,__text) non-external _notation3
00000001917e78d8 (__TEXT,__text) non-external _notation4
00000001917f41dc (__TEXT,__text) non-external _parsePseudoAttribute
00000001917dc63c (__TEXT,__text) non-external _parserCreate
00000001917dcc9c (__TEXT,__text) non-external _parserInit
00000001917e11d0 (__TEXT,__text) non-external _poolAppend
00000001917ddadc (__TEXT,__text) non-external _poolCopyString
00000001917dd9ac (__TEXT,__text) non-external _poolDestroy
00000001917e1384 (__TEXT,__text) non-external _poolGrow
00000001917e0a88 (__TEXT,__text) non-external _poolStoreString
00000001917e1a48 (__TEXT,__text) non-external _processEntity
00000001917e075c (__TEXT,__text) non-external _processXmlDecl
00000001917e5a88 (__TEXT,__text) non-external _prolog0
00000001917e5bd4 (__TEXT,__text) non-external _prolog1
00000001917e6014 (__TEXT,__text) non-external _prolog2
00000001917de914 (__TEXT,__text) non-external _prologInitProcessor
00000001917deaa0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00000001917e1cc0 (__TEXT,__text) non-external _reportComment
00000001917de730 (__TEXT,__text) non-external _reportDefault
00000001917e1b94 (__TEXT,__text) non-external _reportProcessingInstruction
00000001917dd35c (__TEXT,__text) non-external _setContext
00000001917e42b4 (__TEXT,__text) non-external _setElementTypePrefix
00000001917e2020 (__TEXT,__text) non-external _sip24_final
00000001917e1f2c (__TEXT,__text) non-external _sip24_update
00000001917e2134 (__TEXT,__text) non-external _sip_round
00000001917dde30 (__TEXT,__text) non-external _startParsing
00000001917e1538 (__TEXT,__text) non-external _storeAttributeValue
00000001917f46b0 (__TEXT,__text) non-external _storeAttributeValue.cold.1
00000001917e31ec (__TEXT,__text) non-external _storeAtts
00000001917e4b8c (__TEXT,__text) non-external _storeEntityValue
00000001917e2dc4 (__TEXT,__text) non-external _storeRawNames
00000001917f042c (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00000001917de8e8 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00000001917de8f4 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00000001917e7f48 (__TEXT,__text) non-external _unknown_isInvalid
00000001917e7e88 (__TEXT,__text) non-external _unknown_isName
00000001917e7ee8 (__TEXT,__text) non-external _unknown_isNmstrt
00000001917e807c (__TEXT,__text) non-external _unknown_toUtf16
00000001917e7f7c (__TEXT,__text) non-external _unknown_toUtf8
00000001917de900 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001ef3b79e8 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001ef3b82f8 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
00000001917ec7ec (__TEXT,__text) non-external _utf8_isInvalid2
00000001917ec820 (__TEXT,__text) non-external _utf8_isInvalid3
00000001917ec8ac (__TEXT,__text) non-external _utf8_isInvalid4
00000001917ec6d4 (__TEXT,__text) non-external _utf8_isName2
00000001917ec714 (__TEXT,__text) non-external _utf8_isName3
00000001917ec764 (__TEXT,__text) non-external _utf8_isNmstrt2
00000001917ec7a4 (__TEXT,__text) non-external _utf8_isNmstrt3
00000001917ec598 (__TEXT,__text) non-external _utf8_toUtf16
00000001917ec4dc (__TEXT,__text) non-external _utf8_toUtf8
