00007ff81263e65c (__TEXT,__text) non-external _CCGCMSymmInit
00007ff81263cc90 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff8126426b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ff81264386c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ff812643883 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
                 (undefined) external ___error (from libSystem)
00007ff81264377d (__TEXT,__text) non-external ___getanalytics_send_event_lazySymbolLoc_block_invoke
                 (undefined) external ___memset_chk (from libSystem)
00007ff8126406a7 (__TEXT,__text) non-external ___process_identifier_block_invoke
00007ff81263c977 (__TEXT,__text) non-external ___security_debug_init
00007ff812647c9c (__TEXT,__text) non-external (was a private external) ___ssl_add_debug_logger
00007ff81264057c (__TEXT,__text) non-external (was a private external) ___ssl_debug
00007ff843c7a360 (__DATA,__common) non-external (was a private external) ___ssl_debug_all
00007ff81263c92c (__TEXT,__text) non-external (was a private external) ___ssl_debug_enabled
00007ff8437715d0 (__DATA_DIRTY,__data) non-external ___ssl_debug_enabled.__security_debug_once
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strncpy_chk (from libSystem)
00007ff81264374a (__TEXT,__text) non-external ___tls_metric_calling_library_block_invoke
00007ff812643717 (__TEXT,__text) non-external ___tls_metric_insecure_dh_param_block_invoke
                 (undefined) external __sl_dlopen (from SoftLinking)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _abort_report_np (from libSystem)
00007ff812649450 (__TEXT,__const) non-external _all_ciphersuites
                 (undefined) external _arc4random_uniform (from libSystem)
                 (undefined) external _asl_free (from libSystem)
                 (undefined) external _asl_log (from libSystem)
                 (undefined) external _asl_new (from libSystem)
                 (undefined) external _asl_set (from libSystem)
00007ff812640983 (__TEXT,__text) non-external _asl_set_bool_with_format
00007ff81264088c (__TEXT,__text) non-external _asl_set_string_with_format
00007ff81264da30 (__TEXT,__dlopen_cstrs) non-external _audit_stringCoreAnalytics
00007ff81264bf30 (__TEXT,__cstring) non-external _base64_chars
                 (undefined) external _ccDRBGGetRngState (from libSystem)
                 (undefined) external _cc_clear (from libSystem)
                 (undefined) external _cc_cmp_safe (from libSystem)
                 (undefined) external _ccaes_cbc_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libSystem)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libSystem)
                 (undefined) external _cccbc_init (from libSystem)
                 (undefined) external _cccbc_set_iv (from libSystem)
                 (undefined) external _cccbc_update (from libSystem)
                 (undefined) external _ccder_decode_dhparam_n (from libSystem)
                 (undefined) external _ccder_decode_dhparams (from libSystem)
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libSystem)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libSystem)
                 (undefined) external _ccdh_ccn_size (from libSystem)
                 (undefined) external _ccdh_compute_shared_secret (from libSystem)
                 (undefined) external _ccdh_ctx_public (from libSystem)
                 (undefined) external _ccdh_export_pub (from libSystem)
                 (undefined) external _ccdh_export_pub_size (from libSystem)
                 (undefined) external _ccdh_generate_key (from libSystem)
                 (undefined) external _ccdh_gp_g (from libSystem)
                 (undefined) external _ccdh_gp_n (from libSystem)
                 (undefined) external _ccdh_gp_prime (from libSystem)
                 (undefined) external _ccdh_gp_rfc5114_MODP_2048_256 (from libSystem)
                 (undefined) external _ccdh_gp_size (from libSystem)
                 (undefined) external _ccdh_import_pub (from libSystem)
                 (undefined) external _ccdh_init_gp_from_bytes (from libSystem)
                 (undefined) external _ccdigest_init (from libSystem)
                 (undefined) external _ccdigest_update (from libSystem)
                 (undefined) external _ccec_cp_256 (from libSystem)
                 (undefined) external _ccec_cp_384 (from libSystem)
                 (undefined) external _ccec_cp_521 (from libSystem)
                 (undefined) external _ccec_export_pub (from libSystem)
                 (undefined) external _ccec_generate_key (from libSystem)
                 (undefined) external _ccec_import_pub (from libSystem)
                 (undefined) external _ccec_verify (from libSystem)
                 (undefined) external _ccecdh_compute_shared_secret (from libSystem)
                 (undefined) external _ccgcm_finalize (from libSystem)
                 (undefined) external _ccgcm_gmac (from libSystem)
                 (undefined) external _ccgcm_inc_iv (from libSystem)
                 (undefined) external _ccgcm_init_with_iv (from libSystem)
                 (undefined) external _ccgcm_reset (from libSystem)
                 (undefined) external _ccgcm_update (from libSystem)
                 (undefined) external _ccmd5_di (from libSystem)
                 (undefined) external _ccn_bitlen (from libSystem)
                 (undefined) external _ccn_read_uint (from libSystem)
                 (undefined) external _ccn_swap (from libSystem)
                 (undefined) external _ccn_write_uint (from libSystem)
                 (undefined) external _ccn_write_uint_padded (from libSystem)
                 (undefined) external _ccn_write_uint_size (from libSystem)
                 (undefined) external _ccrsa_init_pub (from libSystem)
                 (undefined) external _ccrsa_pub_crypt (from libSystem)
                 (undefined) external _ccrsa_verify_pkcs1v15 (from libSystem)
                 (undefined) external _ccsha1_di (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
                 (undefined) external _ccsha384_di (from libSystem)
                 (undefined) external _ccsha512_di (from libSystem)
                 (undefined) external _cczp_bitlen (from libSystem)
00007ff81263fa8a (__TEXT,__text) non-external (was a private external) _cipherSuiteInSet
                 (undefined) external _close (from libSystem)
00007ff812647c10 (__TEXT,__text) non-external (was a private external) _copyHexString
00007ff8126493e0 (__TEXT,__const) non-external (was a private external) _coretlsVersionNumber
00007ff8126493b0 (__TEXT,__const) non-external (was a private external) _coretlsVersionString
                 (undefined) external _csops (from libSystem)
00007ff8126427d2 (__TEXT,__text) non-external _debug_log_chain
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
00007ff843c7a350 (__DATA,__bss) non-external _gDebugLoggers
00007ff843c7a358 (__DATA,__bss) non-external _gDebugScope
00007ff843c7a340 (__DATA,__bss) non-external _getanalytics_send_event_lazySymbolLoc.ptr
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff812649400 (__TEXT,__const) non-external _null_di
                 (undefined) external _open (from libSystem)
00007ff8437715e8 (__DATA_DIRTY,__bss) non-external _process_identifier.__csops_once
00007ff8437715e0 (__DATA_DIRTY,__bss) non-external _process_identifier_data
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _puts (from libSystem)
                 (undefined) external _read (from libSystem)
00007ff81264366e (__TEXT,__text) non-external _soft_analytics_send_event_lazy
00007ff812648448 (__TEXT,__text) non-external _soft_analytics_send_event_lazy.cold.1
00007ff8126470d6 (__TEXT,__text) non-external _ssl3CalculateFinishedMessage
00007ff812647029 (__TEXT,__text) non-external _ssl3ComputeCertVfyMac
00007ff812646f6e (__TEXT,__text) non-external _ssl3ComputeFinishedMac
00007ff81264696e (__TEXT,__text) non-external _ssl3GenerateKeyMaterial
00007ff812646c78 (__TEXT,__text) non-external _ssl3GenerateMasterSecret
00007ff812638143 (__TEXT,__text) non-external (was a private external) _sslAllocCopy
00007ff812637a24 (__TEXT,__text) non-external (was a private external) _sslAnalyzeCipherSpecs
00007ff812637d80 (__TEXT,__text) non-external _sslCipherSuiteGetDigestInfo
00007ff812637188 (__TEXT,__text) external _sslCipherSuiteGetKeyExchangeMethod
00007ff812641c18 (__TEXT,__text) external _sslCipherSuiteGetKeydataSize
00007ff812636df0 (__TEXT,__text) external _sslCipherSuiteGetMacAlgorithm
00007ff812636958 (__TEXT,__text) external _sslCipherSuiteGetMacSize
00007ff812641a08 (__TEXT,__text) external _sslCipherSuiteGetMinSupportedTLSVersion
00007ff812637e24 (__TEXT,__text) non-external _sslCipherSuiteGetSymmetricCipher
00007ff812636997 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherAlgorithm
00007ff812637170 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherBlockIvSize
00007ff812637158 (__TEXT,__text) external _sslCipherSuiteGetSymmetricCipherKeySize
00007ff812641e9b (__TEXT,__text) non-external (was a private external) _sslDhCreateKey
00007ff81264836f (__TEXT,__text) non-external (was a private external) _sslDhExportPub
00007ff812641f10 (__TEXT,__text) non-external (was a private external) _sslDhKeyExchange
00007ff81263d74d (__TEXT,__text) non-external (was a private external) _sslEcdhCreateKey
00007ff81263d83d (__TEXT,__text) non-external (was a private external) _sslEcdhExportPub
00007ff81263d7ba (__TEXT,__text) non-external (was a private external) _sslEcdhKeyExchange
00007ff81264213c (__TEXT,__text) non-external (was a private external) _sslEcdsaSign
00007ff812641d81 (__TEXT,__text) non-external (was a private external) _sslEncodeDhParams
00007ff812637a04 (__TEXT,__text) non-external (was a private external) _sslFree
00007ff81263cae5 (__TEXT,__text) non-external (was a private external) _sslFreePubKey
00007ff81263d688 (__TEXT,__text) non-external (was a private external) _sslGetEcPubKeyFromBits
00007ff81263a1eb (__TEXT,__text) non-external (was a private external) _sslGetMaxProtVersion
00007ff812642683 (__TEXT,__text) non-external (was a private external) _sslGetMaxSigSize
00007ff81263cb19 (__TEXT,__text) non-external (was a private external) _sslGetPubKeyFromBits
00007ff8126483f9 (__TEXT,__text) non-external _sslGetPubKeyFromBits.cold.1
00007ff812637a15 (__TEXT,__text) non-external (was a private external) _sslMalloc
00007ff812642664 (__TEXT,__text) non-external (was a private external) _sslPrivKeyLengthInBytes
00007ff81264266e (__TEXT,__text) non-external (was a private external) _sslPubKeyLengthInBytes
00007ff81263a371 (__TEXT,__text) non-external (was a private external) _sslRand
00007ff812642056 (__TEXT,__text) non-external (was a private external) _sslRawSign
00007ff81264223e (__TEXT,__text) non-external (was a private external) _sslRawVerify
00007ff812642600 (__TEXT,__text) non-external (was a private external) _sslRsaDecrypt
00007ff8126423d6 (__TEXT,__text) non-external (was a private external) _sslRsaEncrypt
00007ff8126483cb (__TEXT,__text) non-external _sslRsaEncrypt.cold.1
00007ff8126421a2 (__TEXT,__text) non-external (was a private external) _sslRsaSign
00007ff81263d050 (__TEXT,__text) non-external (was a private external) _sslRsaVerify
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
                 (undefined) external _time (from libSystem)
00007ff8126451a5 (__TEXT,__text) non-external _tls12ComputeCertVfyMac
00007ff81263e836 (__TEXT,__text) non-external _tls12ComputeFinishedMac
00007ff81263d88a (__TEXT,__text) non-external _tls12GenerateMasterSecret
00007ff8126450b0 (__TEXT,__text) non-external _tls1ComputeCertVfyMac
00007ff812644f29 (__TEXT,__text) non-external _tls1ComputeFinishedMac
00007ff81263e39e (__TEXT,__text) non-external _tls1GenerateKeyMaterial
00007ff812644d1b (__TEXT,__text) non-external _tls1GenerateMasterSecret
00007ff81263dc33 (__TEXT,__text) non-external _tlsPHash
00007ff812640e22 (__TEXT,__text) external _tls_add_debug_logger
00007ff8126400bf (__TEXT,__text) external _tls_cache_cleanup
00007ff812637c3c (__TEXT,__text) external _tls_cache_create
00007ff812640ed4 (__TEXT,__text) external _tls_cache_delete_session_data
00007ff812640e84 (__TEXT,__text) external _tls_cache_destroy
00007ff812640ea4 (__TEXT,__text) external _tls_cache_empty
00007ff81263804c (__TEXT,__text) external _tls_cache_load_session_data
00007ff81263f890 (__TEXT,__text) external _tls_cache_save_session_data
00007ff812640ece (__TEXT,__text) external _tls_cache_set_default_ttls
00007ff812640f75 (__TEXT,__text) non-external (was a private external) _tls_copy_buffer_list
00007ff81263c5a7 (__TEXT,__text) non-external (was a private external) _tls_free_buffer_list
00007ff812637844 (__TEXT,__text) non-external (was a private external) _tls_handshake_ciphersuite_is_allowed
00007ff8126377d7 (__TEXT,__text) non-external (was a private external) _tls_handshake_ciphersuite_is_supported
00007ff81263a140 (__TEXT,__text) non-external (was a private external) _tls_handshake_ciphersuite_is_valid
00007ff812640154 (__TEXT,__text) external _tls_handshake_close
00007ff81263b0d0 (__TEXT,__text) external _tls_handshake_continue
00007ff8126368d0 (__TEXT,__text) external _tls_handshake_create
