                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
000000024228b4e0 (__TEXT,__const) external _FMSampleRateUnknown
000000029049c730 (__DATA_CONST,__const) external _FMTagID_Genre_Prefix
000000029049c728 (__DATA_CONST,__const) external _FMTagID_MoodAlt_Prefix
000000029049c718 (__DATA_CONST,__const) external _FMTagID_Mood_Prefix
000000029049c758 (__DATA_CONST,__const) external _FMTagID_Region_Prefix
000000029049c720 (__DATA_CONST,__const) external _FMTagID_SongPace_Prefix
000000029049c738 (__DATA_CONST,__const) external _FMTagID_Style_Prefix
000000029049c748 (__DATA_CONST,__const) external _FMTagID_Valence_Prefix
000000029049c750 (__DATA_CONST,__const) external _FMTagID_VisualTempo_Prefix
000000029049cbe0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBar
000000029049cbe8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBarIndex
000000029049cbf0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBeatsPerBar
000000029049cbf8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeat
000000029049cc00 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBarIndex
000000029049cc08 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBeatIndex
000000029049cc18 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierLoopPoints
000000029049cc10 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierOnset
000000029049cb50 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSection
000000029049cb60 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyBodyNumber
000000029049cb78 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyFadeToBlackTime
000000029049cb70 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroEarlyFade
000000029049cb68 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroStinger
000000029049cb58 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyType
000000029049cb80 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegment
000000029049cba8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBarsUsed
000000029049cba0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyLetter
000000029049cb98 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyNumber
000000029049cbb0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyEnergy
000000029049cbd8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyFadeToBlackTime
000000029049cbd0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyLoudness
000000029049cbc0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroEarlyFade
000000029049cbb8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroStinger
000000029049cbc8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPeakValue
000000029049cb90 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPriority
000000029049cb88 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyType
0000000242263808 (__TEXT,__text) external _FlexCheckedDynamicCast
000000029049cb40 (__DATA_CONST,__const) external _FlexDBGenreEntityName
000000029049cb48 (__DATA_CONST,__const) external _FlexDBRegionEntityName
000000029049cb38 (__DATA_CONST,__const) external _FlexDBSongEntityName
0000000242263798 (__TEXT,__text) external _FlexDynamicCast
000000029049c4a8 (__DATA_CONST,__const) external _FlexLocalDBArousalField
000000029049c458 (__DATA_CONST,__const) external _FlexLocalDBArtistNameField
000000029049c488 (__DATA_CONST,__const) external _FlexLocalDBArtworkLocalURLField
000000029049c468 (__DATA_CONST,__const) external _FlexLocalDBArtworkVersionField
000000029049c4e0 (__DATA_CONST,__const) external _FlexLocalDBAudioEncoderPresetNameField
000000029049c478 (__DATA_CONST,__const) external _FlexLocalDBCKRecordIDField
000000029049c470 (__DATA_CONST,__const) external _FlexLocalDBCompatibilityVersionField
000000029049c4d8 (__DATA_CONST,__const) external _FlexLocalDBFormatField
000000029049c4c8 (__DATA_CONST,__const) external _FlexLocalDBGenreStringsField
000000029049c4e8 (__DATA_CONST,__const) external _FlexLocalDBHiddenField
000000029049c498 (__DATA_CONST,__const) external _FlexLocalDBMoodAltField
000000029049c490 (__DATA_CONST,__const) external _FlexLocalDBMoodField
000000029049c4a0 (__DATA_CONST,__const) external _FlexLocalDBPaceField
000000029049c4f0 (__DATA_CONST,__const) external _FlexLocalDBRecalledField
000000029049c4d0 (__DATA_CONST,__const) external _FlexLocalDBRegionsField
000000029049c480 (__DATA_CONST,__const) external _FlexLocalDBSongBundleLocalURLField
000000029049c450 (__DATA_CONST,__const) external _FlexLocalDBSongNameField
000000029049c460 (__DATA_CONST,__const) external _FlexLocalDBSongVersionField
000000029049c4c0 (__DATA_CONST,__const) external _FlexLocalDBStyleField
000000029049c4b0 (__DATA_CONST,__const) external _FlexLocalDBValenceField
000000029049c4b8 (__DATA_CONST,__const) external _FlexLocalDBVisualTempoField
0000000242263380 (__TEXT,__text) external _FlexLogForCategory
000000029049c538 (__DATA_CONST,__const) external _FlexMLArtistNameKey
000000029049c550 (__DATA_CONST,__const) external _FlexMLAudioEncoderPresetKey
000000029049c590 (__DATA_CONST,__const) external _FlexMLAudioFileExtensionKey
000000029049c5f0 (__DATA_CONST,__const) external _FlexMLBarTimesKey
000000029049c5e8 (__DATA_CONST,__const) external _FlexMLBeatTimesKey
000000029049c570 (__DATA_CONST,__const) external _FlexMLCompatibilityVersionKey
000000029049c568 (__DATA_CONST,__const) external _FlexMLContentVersionKey
000000029049c558 (__DATA_CONST,__const) external _FlexMLCustomOptionsKey
000000029049c610 (__DATA_CONST,__const) external _FlexMLGainFunctionGainKey
000000029049c608 (__DATA_CONST,__const) external _FlexMLGainFunctionKey
000000029049c618 (__DATA_CONST,__const) external _FlexMLLoopTimesKey
000000029049c5f8 (__DATA_CONST,__const) external _FlexMLLoudnessKey
000000029049c600 (__DATA_CONST,__const) external _FlexMLPeakKey
000000029049c620 (__DATA_CONST,__const) external _FlexMLPlistRuntimeVersionKey
000000029049c5b8 (__DATA_CONST,__const) external _FlexMLSampleRateKey
000000029049c5a0 (__DATA_CONST,__const) external _FlexMLSegmentDurationKey
000000029049c580 (__DATA_CONST,__const) external _FlexMLSegmentTimeKey
000000029049c5b0 (__DATA_CONST,__const) external _FlexMLSegmentsKey
000000029049c5c0 (__DATA_CONST,__const) external _FlexMLSongBeatsKey
000000029049c548 (__DATA_CONST,__const) external _FlexMLSongFileKey
000000029049c540 (__DATA_CONST,__const) external _FlexMLSongIDKey
000000029049c518 (__DATA_CONST,__const) external _FlexMLSongMetadataFileExtension
000000029049c530 (__DATA_CONST,__const) external _FlexMLSongNameKey
000000029049c528 (__DATA_CONST,__const) external _FlexMLSongSummariesFolderName
000000029049c520 (__DATA_CONST,__const) external _FlexMLSongSummaryFileExtension
000000029049c598 (__DATA_CONST,__const) external _FlexMLSummaryDurationKey
000000029049c560 (__DATA_CONST,__const) external _FlexMLSummaryMappingKey
000000029049c578 (__DATA_CONST,__const) external _FlexMLSummaryTimeKey
000000029049c588 (__DATA_CONST,__const) external _FlexMLTagIDs
000000029049c5a8 (__DATA_CONST,__const) external _FlexMLTrackTimeKey
000000029049c5e0 (__DATA_CONST,__const) external _FlexMLVideoCuesFadeToBlackKey
000000029049c5d8 (__DATA_CONST,__const) external _FlexMLVideoCuesGoodCuesKey
000000029049c5d0 (__DATA_CONST,__const) external _FlexMLVideoCuesGreatCuesKey
000000029049c5c8 (__DATA_CONST,__const) external _FlexMLVideoCuesKey
000000029049c698 (__DATA_CONST,__const) external _FlexMobileAssetAttributeArtistName
000000029049c668 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAssetType
000000029049c6d0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeAudioEncoderPresetName
000000029049c6b8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeClientIDs
000000029049c6c0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeHiddenIDs
000000029049c6a8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeKeywords
000000029049c6c8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeRecalled
000000029049c6d8 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongBundleFormat
000000029049c690 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongName
000000029049c6a0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeSongTags
000000029049c688 (__DATA_CONST,__const) external _FlexMobileAssetAttributeUUID
000000029049c6b0 (__DATA_CONST,__const) external _FlexMobileAssetAttributeWeightedKeywords
000000029049c6e8 (__DATA_CONST,__const) external _FlexMobileAssetCompatibilityVersion
000000029049c6e0 (__DATA_CONST,__const) external _FlexMobileAssetContentVersion
000000029049c658 (__DATA_CONST,__const) external _FlexMobileAssetJettyClientID
000000029049c650 (__DATA_CONST,__const) external _FlexMobileAssetMiroClientID
000000029049c678 (__DATA_CONST,__const) external _FlexMobileAssetPropertyArtwork
000000029049c680 (__DATA_CONST,__const) external _FlexMobileAssetPropertyMetadata
000000029049c670 (__DATA_CONST,__const) external _FlexMobileAssetPropertySongBundle
000000029049c660 (__DATA_CONST,__const) external _FlexMobileAssetiMovieClientID
000000024228b65c (__TEXT,__const) external _FlexSegment_MaxBodySegmentPriority
000000024228b658 (__TEXT,__const) external _FlexSegment_MinBodySegmentPriority
000000024228b650 (__TEXT,__const) external _FlexSegment_UseCustomBarMarkers
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedFailureReasonErrorKey (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
                 (undefined) external _NSURLNameKey (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMix (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableAudioMixInputParameters (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVMutableComposition (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_AVURLAsset (from AVFoundation)
                 (undefined) external _OBJC_CLASS_$_CKRecordID (from CloudKit)
0000000299288760 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMClip
0000000299288008 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMDownloadOptions
0000000299287e28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMFetchOptions
0000000299287fb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMKeyFrame
00000002992885a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMMixParameters
0000000299288238 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSong
00000002992881e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongAsset
00000002992880a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongLibrary
000000029a057468 (__AUTH,__objc_data) external _OBJC_CLASS_$_FMSongMetadata
0000000299288058 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMSongRendition
0000000299288698 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMTimedMetadataItem
0000000299288288 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FMTrack
0000000299287f18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexCloudManager
0000000299288648 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexCloudSongAsset
0000000299288788 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexLegacySongRendition
000000029a057558 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBController
000000029a0575d0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBGenre
000000029a057530 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBLastCloudUpdate
000000029a057670 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBRegion
000000029a0576c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSong
000000029a057418 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexLocalDBSongData
0000000299288300 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLGainValue
0000000299288328 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSegment
00000002992880f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSong
00000002992883c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSongRendition
00000002992882d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSummary
0000000299288148 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMLSummaryManager
0000000299288418 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMarker
0000000299288490 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexMobileAssetManagerV2
0000000299287ec8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexReachability
00000002992886e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSegment
0000000299287ea0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSegmentAssemblyInfo
000000029a057710 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSegmentAudioFileInfo
0000000299288558 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSong
000000029a0574b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V1
0000000299288198 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongAssetProvider_V2
0000000299287d88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongBackend
0000000299287f90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongMetaDataReader_V2
000000029a0573f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexSongMetadataReaderUtils
0000000299288508 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexSongProxy
000000029a0575f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_FlexTestingContext
0000000299287dd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexTransition
00000002992885f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_FlexUtilities
                 (undefined) external _OBJC_CLASS_$_MAAsset (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MAAssetQuery (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_MADownloadOptions (from MobileAsset)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCountedSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSEntityDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFetchRequest (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSManagedObject (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSManagedObjectModel (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableIndexSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPersistentContainer (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPersistentStoreDescription (from CoreData)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
0000000299288738 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMClip
0000000299288030 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMDownloadOptions
0000000299287e50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMFetchOptions
0000000299287fe0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMKeyFrame
00000002992885d0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMMixParameters
0000000299288260 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSong
0000000299288210 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongAsset
00000002992880d0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongLibrary
000000029a057490 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FMSongMetadata
0000000299288080 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMSongRendition
00000002992886c0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMTimedMetadataItem
00000002992882b0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FMTrack
0000000299287f40 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexCloudManager
0000000299288670 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexCloudSongAsset
00000002992887b0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexLegacySongRendition
000000029a057580 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBController
000000029a0575a8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBGenre
000000029a057508 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBLastCloudUpdate
000000029a057648 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBRegion
000000029a057698 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSong
000000029a057440 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexLocalDBSongData
00000002992883a0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLGainValue
0000000299288378 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSegment
0000000299288120 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSong
00000002992883f0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSongRendition
0000000299288350 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSummary
0000000299288170 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMLSummaryManager
0000000299288440 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMarker
00000002992884e0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexMobileAssetManagerV2
0000000299287ef0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexReachability
0000000299288710 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexSegment
0000000299287e78 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexSegmentAssemblyInfo
000000029a0576e8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexSegmentAudioFileInfo
0000000299288580 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexSong
000000029a0574e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_FlexSongAssetProvider_V1
00000002992881c0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexSongAssetProvider_V2
0000000299287db0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_FlexSongBackend
