00000001db33d14c (__TEXT,__text) non-external +[Cube initialize]
00000001db349dc4 (__TEXT,__text) non-external +[DDXMLNode recursiveStripDocPointersFromNode:]
00000001db349f9c (__TEXT,__text) non-external +[DDXMLNode removeAllAttributesFromNode:]
00000001db34a20c (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromDoc:]
00000001db34a1c0 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromNode:]
00000001db34a0b4 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00000001db349f50 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00000001db34a17c (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00000001db34a068 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00000001db349da8 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00000001db3485dc (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001db281020 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001db27fb9c (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001db281d6c (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001db283a8c (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001db2841f4 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001db2841fc (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001db2851f8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001db285200 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001db284520 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001db285b84 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001db285bbc (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001db286068 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001db287644 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001db287928 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001db2878ac (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001db288388 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001db281978 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001db289618 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001db2808bc (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001db280908 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001db28b4ac (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001db290658 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001db291bec (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001db283758 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001db282be8 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001db2833d0 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001db283148 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001db297094 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001db296e18 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001db296bf0 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001db296a9c (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001db2969f4 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001db296b54 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001db296978 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001db2967e4 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001db296fe4 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001db297b64 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001db29a308 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001db29e9fc (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001db29f27c (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001db2a4028 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001db28205c (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001db282914 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001db2823bc (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001db282640 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001db2ad378 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001db2adb98 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001db2ac0d4 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001db2ac16c (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001db2abfcc (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001db2ad1b4 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001db2ac148 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001db2ac0b0 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001db2abe80 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001db2ac03c (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001db2ac334 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001db2ac554 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001db2ac634 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001db2acca8 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001db2ac408 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001db2abf24 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001db281408 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001db31069c (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001db310400 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001db3113e8 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001db311734 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001db310178 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001db2a556c (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001db2a5744 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001db2a5eb4 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001db2a5f8c (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001db2a5fa4 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001db2a5d84 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001db2a6100 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001db2a6408 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001db2a6398 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001db304b4c (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001db304ae8 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001db304a74 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001db2a7184 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001db2a7108 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001db2f53d8 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001db2f535c (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001db35f07c (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001db35efe4 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001db360f18 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001db360e80 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001db1447a4 (__TEXT,__text) non-external +[MPAction action]
00000001db14479c (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001db146fa0 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001db146fd0 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001db145adc (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001db145ad4 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001db147c68 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001db14a4bc (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001db14a980 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001db14a9c8 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001db14a978 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001db14ade8 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001db14ae40 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001db14ade0 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001db14c20c (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001db14c1b4 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001db14c1ac (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001db14bcf8 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001db14bd48 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001db14bcf0 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001db14cf8c (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001db14cf18 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001db14d068 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001db14d3fc (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001db14d3f4 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001db14d660 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001db14d658 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001db14dea4 (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001db14de9c (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001db1455bc (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001db1455b4 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001db15067c (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001db150670 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001db1348fc (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001db151064 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001db15135c (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001db151224 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001db15152c (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001db1514fc (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001db151524 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001db152f1c (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001db152eb0 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001db179b5c (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001db17bff8 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001db17a5a8 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001db17c7a0 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001db1793e4 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001db17939c (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001db17942c (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001db179dc0 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001db17c48c (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001db17c500 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001db179d70 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001db17c3a4 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001db17bdb8 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001db17baa4 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001db17a06c (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001db17a1b4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001db17a714 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001db17b934 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001db179bf0 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001db1794fc (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001db179470 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001db17c268 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001db17c9c0 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001db179f38 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001db1798cc (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001db17b890 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001db17a5e8 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001db17a110 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001db17b1f4 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001db17b308 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001db17b29c (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001db17bf68 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001db17c27c (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001db17a4e8 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001db17c78c (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001db17ae08 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001db1790dc (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001db17a804 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001db17a96c (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001db17ac70 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001db17c708 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001db17c8ec (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001db1797c4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001db179848 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001db179750 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001db179950 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001db179564 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001db1799e0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001db17964c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001db1796dc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001db17a680 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001db17b004 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001db179a68 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001db17b378 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001db17b4c0 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001db179358 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001db179fe4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001db179cd8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001db17c0b8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001db179c34 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001db17b230 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001db17c684 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001db179e94 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001db179610 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001db17ac28 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001db17b678 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001db17b724 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001db17abe4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001db17b5d0 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001db17b854 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001db17c9dc (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001db17bb84 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001db17b568 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001db17aa98 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001db17a8b0 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001db17b810 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001db17c1ec (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001db17bc9c (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001db17bbec (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001db17c418 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001db17c03c (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001db17ae7c (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001db17a52c (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001db17c128 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001db17c8bc (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001db17c170 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001db17b9ec (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001db17a75c (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001db179d78 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001db17be70 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001db17c304 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001db17ab40 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001db17c574 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001db17aee4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001db17b14c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001db17b0a0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001db17af54 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001db17bfb0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001db179320 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001db17c254 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001db17ad0c (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001db17a25c (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001db17a818 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00000001db17920c (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00000001db17a324 (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00000001db17a4a0 (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00000001db17a45c (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
00000001db17aa14 (__TEXT,__text) non-external +[MPAuthoringUtilities useIntroTransition:]
00000001db17c600 (__TEXT,__text) non-external +[MPAuthoringUtilities useLargestEffectsFromOptions:]
