00007ff90dd3f9af (__TEXT,__text) non-external +[Caller current]
00007ff90dd50e83 (__TEXT,__text) non-external +[DaemonUtils sharedInstance].cold.1
00007ff90dd3e459 (__TEXT,__text) non-external +[EvaluationRequest current]
00007ff90dd3f103 (__TEXT,__text) non-external +[EvaluationRequest isApplePayPolicy:]
00007ff90dd3d09b (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance]
00007ff90dd50c72 (__TEXT,__text) non-external +[InstalledAppsCache sharedInstance].cold.1
00007ff90dd37223 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage]
00007ff90dd5061e (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod _persistedInstancesStorage].cold.1
00007ff90dd36a72 (__TEXT,__text) non-external +[LAAnalyticsPasscodeFallbackPeriod activePersistentInstances]
00007ff90dd49d05 (__TEXT,__text) non-external +[LASIORemoteCall call]
00007ff90dd4cff5 (__TEXT,__text) non-external +[LASecureIO secureIO]
00007ff90dd49456 (__TEXT,__text) non-external +[LASecureIOArchive createArchiveFromPath:]
00007ff90dd48d90 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:]
00007ff90dd4989f (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.1
00007ff90dd4997e (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.2
00007ff90dd49a60 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.3
00007ff90dd49b42 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.4
00007ff90dd49c24 (__TEXT,__text) non-external +[LASecureIOArchive extractArchive:toPath:].cold.5
00007ff90dd3a35a (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance]
00007ff90dd50992 (__TEXT,__text) non-external +[LASecureIOHelper sharedInstance].cold.1
00007ff90dd5052f (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromCredentialType:]
00007ff90dd50505 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromNotification:]
00007ff90dd504a5 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromOperation:]
00007ff90dd504c5 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromScene:]
00007ff90dd504e5 (__TEXT,__text) non-external +[LASecureIOLoggingHelper stringFromUserInput:]
00007ff90dd3749a (__TEXT,__text) non-external +[NSDictionary(Merge) dictionaryByMerging:with:]
00007ff90dd37735 (__TEXT,__text) non-external +[PreflightCache sharedInstance]
00007ff90dd50636 (__TEXT,__text) non-external +[PreflightCache sharedInstance].cold.1
00007ff90dd3d33b (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource]
00007ff90dd50c8a (__TEXT,__text) non-external +[PreflightCacheInvalidationSource voidInvalidationSource].cold.1
00007ff90dd3b96d (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance]
00007ff90dd50a68 (__TEXT,__text) non-external +[PushButtonMonitor sharedInstance].cold.1
00007ff90dd3e1fe (__TEXT,__text) non-external +[Request current]
00007ff90dd3e19f (__TEXT,__text) non-external +[Request localRequest]
00007ff90dd3e073 (__TEXT,__text) non-external +[Request requestFromCurrentConnection]
00007ff90dd50d15 (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.1
00007ff90dd50d2d (__TEXT,__text) non-external +[Request requestFromCurrentConnection].cold.2
00007ff90dd400a1 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance]
00007ff90dd50e21 (__TEXT,__text) non-external +[TrustedAccessoryHelper sharedInstance].cold.1
00007ff90dd39065 (__TEXT,__text) non-external +[WatchMonitor sharedInstance]
00007ff90dd507ec (__TEXT,__text) non-external +[WatchMonitor sharedInstance].cold.1
00007ff90dd36a26 (__TEXT,__text) non-external -[BiometryHelper _isTrustedAccessorySupported]
00007ff90dd3daf3 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource initWithPreflightCache:]
00007ff90dd3dbee (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource invalidationReason]
00007ff90dd3db29 (__TEXT,__text) non-external -[BiometryLockoutInvalidationSource updateStatus]
00007ff90dd4004f (__TEXT,__text) non-external -[Caller .cxx_destruct]
00007ff90dd40018 (__TEXT,__text) non-external -[Caller asid]
00007ff90dd3fdb6 (__TEXT,__text) non-external -[Caller auditTokenData]
00007ff90dd40021 (__TEXT,__text) non-external -[Caller auditToken]
00007ff90dd3fa60 (__TEXT,__text) non-external -[Caller clientInfo]
00007ff90dd40039 (__TEXT,__text) non-external -[Caller connection]
00007ff90dd3fd13 (__TEXT,__text) non-external -[Caller description]
00007ff90dd4000f (__TEXT,__text) non-external -[Caller euid]
00007ff90dd3feb9 (__TEXT,__text) non-external -[Caller hasEntitlement:]
00007ff90dd3fb8a (__TEXT,__text) non-external -[Caller hash]
00007ff90dd3f8b2 (__TEXT,__text) non-external -[Caller initWithConnection:]
00007ff90dd3fac9 (__TEXT,__text) non-external -[Caller isEqual:]
00007ff90dd3fbd3 (__TEXT,__text) non-external -[Caller isEqualToAuditToken:]
00007ff90dd3fc2f (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:]
00007ff90dd50dd5 (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.1
00007ff90dd50ded (__TEXT,__text) non-external -[Caller isEqualToAuditTokenData:].cold.2
00007ff90dd3fe47 (__TEXT,__text) non-external -[Caller path]
00007ff90dd40006 (__TEXT,__text) non-external -[Caller pid]
00007ff90dd3fdad (__TEXT,__text) non-external -[Caller processId]
00007ff90dd3feb0 (__TEXT,__text) non-external -[Caller userId]
00007ff90dd41247 (__TEXT,__text) non-external -[DaemonUtils serverQueue]
00007ff90dd3d8da (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource .cxx_destruct]
00007ff90dd3d819 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource dealloc]
00007ff90dd3d5ff (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:]
00007ff90dd50ca2 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.1
00007ff90dd50cbb (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource initWithPreflightCache:notificationName:].cold.2
00007ff90dd3d85d (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource invalidationReason]
00007ff90dd3d8c9 (__TEXT,__text) non-external -[DarwinNotificationInvalidationSource notificationName]
00007ff90dd3f846 (__TEXT,__text) non-external -[DomainStateRequest .cxx_destruct]
00007ff90dd3f7f7 (__TEXT,__text) non-external -[DomainStateRequest client]
00007ff90dd3f824 (__TEXT,__text) non-external -[DomainStateRequest contextID]
00007ff90dd3f64e (__TEXT,__text) non-external -[DomainStateRequest initWithOptions:client:contextID:]
00007ff90dd3f835 (__TEXT,__text) non-external -[DomainStateRequest options]
00007ff90dd3f810 (__TEXT,__text) non-external -[DomainStateRequest setClient:]
00007ff90dd3f743 (__TEXT,__text) non-external -[DomainStateRequest userID]
00007ff90dd3f35d (__TEXT,__text) non-external -[EvaluationRequest .cxx_destruct]
00007ff90dd3f1ce (__TEXT,__text) non-external -[EvaluationRequest aclOperation]
00007ff90dd3f1a9 (__TEXT,__text) non-external -[EvaluationRequest acl]
00007ff90dd3f11c (__TEXT,__text) non-external -[EvaluationRequest analyticsData]
00007ff90dd3f313 (__TEXT,__text) non-external -[EvaluationRequest analytics]
00007ff90dd3f218 (__TEXT,__text) non-external -[EvaluationRequest client]
00007ff90dd3f162 (__TEXT,__text) non-external -[EvaluationRequest contextID]
00007ff90dd3f2b1 (__TEXT,__text) non-external -[EvaluationRequest customUI]
00007ff90dd3f2d2 (__TEXT,__text) non-external -[EvaluationRequest evaluationUserId]
00007ff90dd3f245 (__TEXT,__text) non-external -[EvaluationRequest externalizedContext]
00007ff90dd3e89b (__TEXT,__text) non-external -[EvaluationRequest initSimulatedForBiolockoutPreflight]
00007ff90dd3e879 (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:contextID:]
00007ff90dd3e67f (__TEXT,__text) non-external -[EvaluationRequest initWithAcl:operation:options:uiDelegate:contextID:]
00007ff90dd3e861 (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:contextID:]
00007ff90dd3e4cc (__TEXT,__text) non-external -[EvaluationRequest initWithPolicy:options:uiDelegate:contextID:]
00007ff90dd3f141 (__TEXT,__text) non-external -[EvaluationRequest isImmediateSuccess]
00007ff90dd3efc7 (__TEXT,__text) non-external -[EvaluationRequest isInteractive]
00007ff90dd3f023 (__TEXT,__text) non-external -[EvaluationRequest isPurposeApplePay]
00007ff90dd3f065 (__TEXT,__text) non-external -[EvaluationRequest isPurposeInAppPayment]
00007ff90dd3f04f (__TEXT,__text) non-external -[EvaluationRequest isPurposeSecureUIRecording]
00007ff90dd3f039 (__TEXT,__text) non-external -[EvaluationRequest isPurposeUnlock]
00007ff90dd3f0a6 (__TEXT,__text) non-external -[EvaluationRequest isRecoveringFromBiolockout]
00007ff90dd3f1f3 (__TEXT,__text) non-external -[EvaluationRequest options]
00007ff90dd3f338 (__TEXT,__text) non-external -[EvaluationRequest payload]
00007ff90dd3f187 (__TEXT,__text) non-external -[EvaluationRequest policy]
00007ff90dd3f26a (__TEXT,__text) non-external -[EvaluationRequest purpose]
00007ff90dd3f28c (__TEXT,__text) non-external -[EvaluationRequest retryingForError]
00007ff90dd3f2f2 (__TEXT,__text) non-external -[EvaluationRequest secureIntentRequested]
00007ff90dd3f1ba (__TEXT,__text) non-external -[EvaluationRequest setAcl:]
00007ff90dd3f1df (__TEXT,__text) non-external -[EvaluationRequest setAclOperation:]
00007ff90dd3f324 (__TEXT,__text) non-external -[EvaluationRequest setAnalytics:]
00007ff90dd3f12d (__TEXT,__text) non-external -[EvaluationRequest setAnalyticsData:]
00007ff90dd3f231 (__TEXT,__text) non-external -[EvaluationRequest setClient:]
00007ff90dd3f173 (__TEXT,__text) non-external -[EvaluationRequest setContextID:]
00007ff90dd3f2c2 (__TEXT,__text) non-external -[EvaluationRequest setCustomUI:]
00007ff90dd3f2e2 (__TEXT,__text) non-external -[EvaluationRequest setEvaluationUserId:]
00007ff90dd3f256 (__TEXT,__text) non-external -[EvaluationRequest setExternalizedContext:]
00007ff90dd3f152 (__TEXT,__text) non-external -[EvaluationRequest setImmediateSuccess:]
00007ff90dd3f204 (__TEXT,__text) non-external -[EvaluationRequest setOptions:]
00007ff90dd3f349 (__TEXT,__text) non-external -[EvaluationRequest setPayload:]
00007ff90dd3f198 (__TEXT,__text) non-external -[EvaluationRequest setPolicy:]
00007ff90dd3f27b (__TEXT,__text) non-external -[EvaluationRequest setPurpose:]
00007ff90dd3f29d (__TEXT,__text) non-external -[EvaluationRequest setRetryingForError:]
00007ff90dd3f303 (__TEXT,__text) non-external -[EvaluationRequest setSecureIntentRequested:]
00007ff90dd3ebd3 (__TEXT,__text) non-external -[EvaluationRequest shallowCopy]
00007ff90dd3e905 (__TEXT,__text) non-external -[EvaluationRequest updateOptions:]
00007ff90dd3ef46 (__TEXT,__text) non-external -[EvaluationRequest updatePayload:]
00007ff90dd3d0e2 (__TEXT,__text) non-external -[InstalledAppsCache appNameForPid:bundleId:]
00007ff90dd3d263 (__TEXT,__text) non-external -[InstalledAppsCache binaryNameForPid:]
00007ff90dd3d1fa (__TEXT,__text) non-external -[InstalledAppsCache bundlePathForPid:stripXPCService:]
00007ff90dd3d196 (__TEXT,__text) non-external -[InstalledAppsCache pathForPid:]
00007ff90dd3b91c (__TEXT,__text) non-external -[LAAnalytics .cxx_destruct]
00007ff90dd3b50f (__TEXT,__text) non-external -[LAAnalytics _collect]
00007ff90dd50a4f (__TEXT,__text) non-external -[LAAnalytics _collect].cold.1
00007ff90dd3b8e2 (__TEXT,__text) non-external -[LAAnalytics allowsMultipleCollections]
00007ff90dd3b703 (__TEXT,__text) non-external -[LAAnalytics buildPayload]
00007ff90dd3b49c (__TEXT,__text) non-external -[LAAnalytics collectIfNeeded]
00007ff90dd3b8ce (__TEXT,__text) non-external -[LAAnalytics eventName]
00007ff90dd3b431 (__TEXT,__text) non-external -[LAAnalytics initWithEventName:]
00007ff90dd3b728 (__TEXT,__text) non-external -[LAAnalytics instanceToReplaceWithWhenRemovedFromStorage]
00007ff90dd3b71b (__TEXT,__text) non-external -[LAAnalytics logLevel]
00007ff90dd3b730 (__TEXT,__text) non-external -[LAAnalytics persistInStorage:]
00007ff90dd3b7df (__TEXT,__text) non-external -[LAAnalytics removeFromStorage]
00007ff90dd3b8ec (__TEXT,__text) non-external -[LAAnalytics setAllowsMultipleCollections:]
00007ff90dd3b90b (__TEXT,__text) non-external -[LAAnalytics setStorage:]
00007ff90dd3b710 (__TEXT,__text) non-external -[LAAnalytics shouldCollect]
00007ff90dd3b8f5 (__TEXT,__text) non-external -[LAAnalytics storage]
00007ff90dd3b8d8 (__TEXT,__text) non-external -[LAAnalytics wasSent]
00007ff90dd39054 (__TEXT,__text) non-external -[LAAnalyticsEvaluation .cxx_destruct]
00007ff90dd38a08 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _authenticationStartedForEvent:continuity:]
00007ff90dd38d41 (__TEXT,__text) non-external -[LAAnalyticsEvaluation _biometryAttempt:]
00007ff90dd38f2d (__TEXT,__text) non-external -[LAAnalyticsEvaluation _passcodeAccepted:]
00007ff90dd38c74 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationAttempt:event:]
00007ff90dd38992 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationHasEvent:]
00007ff90dd38cf2 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationResult:event:]
00007ff90dd389dd (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationStartedForEvent:]
00007ff90dd39032 (__TEXT,__text) non-external -[LAAnalyticsEvaluation authenticationTypes]
00007ff90dd38faa (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryAttempts]
00007ff90dd38fbb (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryFailures]
00007ff90dd38fcc (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryNoMatches]
00007ff90dd38fdd (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryResult]
00007ff90dd38f99 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryStarted]
00007ff90dd38d30 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType:]
00007ff90dd38f77 (__TEXT,__text) non-external -[LAAnalyticsEvaluation biometryType]
00007ff90dd382d8 (__TEXT,__text) non-external -[LAAnalyticsEvaluation buildPayload]
00007ff90dd389f1 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuityAuthenticationStartedForEvent:]
00007ff90dd39043 (__TEXT,__text) non-external -[LAAnalyticsEvaluation continuity]
00007ff90dd38d1f (__TEXT,__text) non-external -[LAAnalyticsEvaluation evaluationResult:]
00007ff90dd381f7 (__TEXT,__text) non-external -[LAAnalyticsEvaluation initWithEvaluationRequest:]
00007ff90dd38fff (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeAttempts]
00007ff90dd39010 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeFailures]
00007ff90dd39021 (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeResult]
00007ff90dd38fee (__TEXT,__text) non-external -[LAAnalyticsEvaluation passcodeStarted]
00007ff90dd38f66 (__TEXT,__text) non-external -[LAAnalyticsEvaluation policy]
00007ff90dd38f4d (__TEXT,__text) non-external -[LAAnalyticsEvaluation request]
00007ff90dd38f88 (__TEXT,__text) non-external -[LAAnalyticsEvaluation result]
00007ff90dd3898a (__TEXT,__text) non-external -[LAAnalyticsEvaluation shouldCollect]
00007ff90dd3743e (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod .cxx_destruct]
00007ff90dd3742d (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometryAttempts]
00007ff90dd36d2e (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:]
00007ff90dd505c4 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod biometrySucceededWithEvaluationRequest:].cold.1
00007ff90dd36f88 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod buildPayload]
00007ff90dd3711c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod description]
00007ff90dd36b55 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod initWithPolicyGroup:]
00007ff90dd371d1 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod instanceToReplaceWithWhenRemovedFromStorage]
00007ff90dd3741c (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodeCount]
00007ff90dd36ba0 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:]
00007ff90dd50552 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod passcodePresentedWithEvaluationRequest:biometryAttempts:].cold.1
00007ff90dd36e91 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policies]
00007ff90dd36ebf (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroupName]
00007ff90dd3740b (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod policyGroup]
00007ff90dd36f80 (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod shouldCollect]
00007ff90dd36eec (__TEXT,__text) non-external -[LAAnalyticsPasscodeFallbackPeriod timeInterval]
00007ff90dd3b2ef (__TEXT,__text) non-external -[LADFROwnerToken dealloc]
00007ff90dd49fad (__TEXT,__text) non-external -[LASIORemoteCall .cxx_destruct]
00007ff90dd49eb5 (__TEXT,__text) non-external -[LASIORemoteCall callID]
00007ff90dd49efb (__TEXT,__text) non-external -[LASIORemoteCall command]
00007ff90dd49d17 (__TEXT,__text) non-external -[LASIORemoteCall init]
00007ff90dd49f99 (__TEXT,__text) non-external -[LASIORemoteCall payload]
00007ff90dd49f30 (__TEXT,__text) non-external -[LASIORemoteCall requestData]
00007ff90dd49d97 (__TEXT,__text) non-external -[LASIORemoteCall requestPayload]
00007ff90dd49f53 (__TEXT,__text) non-external -[LASIORemoteCall responseData]
00007ff90dd49f76 (__TEXT,__text) non-external -[LASIORemoteCall responseError]
00007ff90dd49ed8 (__TEXT,__text) non-external -[LASIORemoteCall semaphore]
00007ff90dd49ec9 (__TEXT,__text) non-external -[LASIORemoteCall setCallID:]
00007ff90dd49f04 (__TEXT,__text) non-external -[LASIORemoteCall setCommand:]
00007ff90dd49f44 (__TEXT,__text) non-external -[LASIORemoteCall setRequestData:]
00007ff90dd49f67 (__TEXT,__text) non-external -[LASIORemoteCall setResponseData:]
00007ff90dd49f8a (__TEXT,__text) non-external -[LASIORemoteCall setResponseError:]
00007ff90dd49eec (__TEXT,__text) non-external -[LASIORemoteCall setSemaphore:]
00007ff90dd49f21 (__TEXT,__text) non-external -[LASIORemoteCall setVersion:]
00007ff90dd49f0d (__TEXT,__text) non-external -[LASIORemoteCall version]
00007ff90dd4eaf7 (__TEXT,__text) non-external -[LASecureIO .cxx_destruct]
00007ff90dd4ead0 (__TEXT,__text) non-external -[LASecureIO delegate]
00007ff90dd4e925 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage]
00007ff90dd503d2 (__TEXT,__text) non-external -[LASecureIO getCurrentLanguage].cold.1
00007ff90dd4e6ca (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:]
00007ff90dd50138 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.1
00007ff90dd5021a (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.2
00007ff90dd502f6 (__TEXT,__text) non-external -[LASecureIO getLoadedSceneCountForOperation:andLanguage:].cold.3
00007ff90dd4eabe (__TEXT,__text) non-external -[LASecureIO getSceneCountForOperation:]
00007ff90dd4e5a3 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion]
00007ff90dd4fe9e (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.1
00007ff90dd4ff80 (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.2
00007ff90dd5005c (__TEXT,__text) non-external -[LASecureIO getServerSupportedVersion].cold.3
00007ff90dd4dd27 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:]
00007ff90dd4f532 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.1
00007ff90dd4f611 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.2
00007ff90dd4f6f0 (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.3
00007ff90dd4f7cf (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.4
00007ff90dd4f8ae (__TEXT,__text) non-external -[LASecureIO handleRequestCommand:version:withData:andResponse:].cold.5
00007ff90dd4d0ec (__TEXT,__text) non-external -[LASecureIO init]
00007ff90dd4dfcc (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:]
00007ff90dd4f965 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.1
00007ff90dd4fa46 (__TEXT,__text) non-external -[LASecureIO loadSceneDescriptionsForOperation:].cold.2
00007ff90dd4db08 (__TEXT,__text) non-external -[LASecureIO postNotification:]
00007ff90dd4f45b (__TEXT,__text) non-external -[LASecureIO postNotification:].cold.1
00007ff90dd4e4d9 (__TEXT,__text) non-external -[LASecureIO readSceneDescriptionFromFile:]
00007ff90dd4eae6 (__TEXT,__text) non-external -[LASecureIO setDelegate:]
00007ff90dd4d252 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:]
00007ff90dd4eb1d (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.1
00007ff90dd4ec09 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.2
00007ff90dd4ecfb (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.3
00007ff90dd4ede5 (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.4
00007ff90dd4eecf (__TEXT,__text) non-external -[LASecureIO setInstructions:forOperation:withCredentialSet:].cold.5
00007ff90dd4e3cd (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:]
00007ff90dd4fdc7 (__TEXT,__text) non-external -[LASecureIO setSceneDescription:withSignature:].cold.1
00007ff90dd4e127 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:]
00007ff90dd4fb28 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:].cold.1
00007ff90dd4fc09 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:].cold.2
00007ff90dd4fce8 (__TEXT,__text) non-external -[LASecureIO setSceneDescriptionsforOperation:andLanguage:].cold.3
00007ff90dd4d5a3 (__TEXT,__text) non-external -[LASecureIO showScene:forOperation:]
00007ff90dd4efb9 (__TEXT,__text) non-external -[LASecureIO showScene:forOperation:].cold.1
00007ff90dd4f0ab (__TEXT,__text) non-external -[LASecureIO showScene:forOperation:].cold.2
00007ff90dd4f195 (__TEXT,__text) non-external -[LASecureIO showScene:forOperation:].cold.3
00007ff90dd4d8f4 (__TEXT,__text) non-external -[LASecureIO updateKextBlacklistFromPath:]
00007ff90dd4f27f (__TEXT,__text) non-external -[LASecureIO updateKextBlacklistFromPath:].cold.1
00007ff90dd4f371 (__TEXT,__text) non-external -[LASecureIO updateKextBlacklistFromPath:].cold.2
