00000001df32cbe8 (__DATA,__data) external _NDR_record
00000001802b56dc (__TEXT,__text) external ___iopolicysys
00000001802da3b4 (__TEXT,__text) external ___kdebug_trace
00000001802b3978 (__TEXT,__text) external ___kdebug_trace64
00000001802da3e0 (__TEXT,__text) external ___kdebug_trace_string
00000001802b6844 (__TEXT,__text) external ___kdebug_typefilter
00000001802dd3b0 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001802dd378 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001802b8904 (__TEXT,__text) external ___kill
00000001802b7154 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001802b677c (__TEXT,__text) external ___lchown
00000001802b6870 (__TEXT,__text) external ___libkernel_init
00000001802bc9c0 (__TEXT,__text) external ___libkernel_init_late
00000001802b6ac8 (__TEXT,__text) external ___libkernel_platform_init
00000001802b1384 (__TEXT,__text) external ___libkernel_voucher_init
00000001802b8f20 (__TEXT,__text) external ___listen
00000001802da40c (__TEXT,__text) external ___log_data
00000001802b26d0 (__TEXT,__text) external ___lseek
00000001802db948 (__TEXT,__text) external ___lstat
00000001802b6618 (__TEXT,__text) external ___lstat64_extended
00000001802da438 (__TEXT,__text) external ___lstat_extended
00000001802da464 (__TEXT,__text) external ___mac_execve
00000001802da490 (__TEXT,__text) external ___mac_get_fd
00000001802da4bc (__TEXT,__text) external ___mac_get_file
00000001802da4e8 (__TEXT,__text) external ___mac_get_link
00000001802da514 (__TEXT,__text) external ___mac_get_mount
00000001802da540 (__TEXT,__text) external ___mac_get_pid
00000001802da56c (__TEXT,__text) external ___mac_get_proc
00000001802da598 (__TEXT,__text) external ___mac_getfsstat
00000001802da5c4 (__TEXT,__text) external ___mac_mount
00000001802da5f0 (__TEXT,__text) external ___mac_set_fd
00000001802da61c (__TEXT,__text) external ___mac_set_file
00000001802da648 (__TEXT,__text) external ___mac_set_link
00000001802b8eb8 (__TEXT,__text) external ___mac_set_proc
00000001802b27e0 (__TEXT,__text) external ___mac_syscall
00000001802da674 (__TEXT,__text) external ___mach_bridge_remote_time
00000001802da6a0 (__TEXT,__text) external ___mach_eventlink_signal
00000001802da6cc (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00000001802da6f8 (__TEXT,__text) external ___mach_eventlink_wait_until
00000001802da724 (__TEXT,__text) external ___memorystatus_available_memory
00000001802da750 (__TEXT,__text) external ___microstackshot
00000001802da77c (__TEXT,__text) external ___mkdir_extended
00000001802da7a8 (__TEXT,__text) external ___mkfifo_extended
00000001802b1aac (__TEXT,__text) external ___mmap
00000001802b4c74 (__TEXT,__text) external ___mprotect
00000001802da7d4 (__TEXT,__text) external ___msgctl
00000001802da800 (__TEXT,__text) external ___msgrcv_nocancel
00000001802da82c (__TEXT,__text) external ___msgsnd_nocancel
00000001802da858 (__TEXT,__text) external ___msgsys
00000001802b70c4 (__TEXT,__text) external ___msync
00000001802da884 (__TEXT,__text) external ___msync_nocancel
00000001802b4764 (__TEXT,__text) external ___munmap
00000001802da8b0 (__TEXT,__text) external ___nexus_create
00000001802da8dc (__TEXT,__text) external ___nexus_deregister
00000001802da908 (__TEXT,__text) external ___nexus_destroy
00000001802da934 (__TEXT,__text) external ___nexus_get_opt
00000001802da960 (__TEXT,__text) external ___nexus_open
00000001802da98c (__TEXT,__text) external ___nexus_register
00000001802da9b8 (__TEXT,__text) external ___nexus_set_opt
00000001802da9e4 (__TEXT,__text) external ___old_semwait_signal
00000001802b1850 (__TEXT,__text) external ___open
00000001802b6674 (__TEXT,__text) external ___open_dprotected_np
00000001802bc5c4 (__TEXT,__text) external ___open_extended
00000001802b19e0 (__TEXT,__text) external ___open_nocancel
00000001802b265c (__TEXT,__text) external ___openat
00000001802b67d4 (__TEXT,__text) external ___openat_nocancel
00000001df32cc70 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00000001802c50f0 (__TEXT,__text) external ___os_nexus_flow_add
00000001802c516c (__TEXT,__text) external ___os_nexus_flow_del
00000001802c4f50 (__TEXT,__text) external ___os_nexus_ifattach
00000001802c5054 (__TEXT,__text) external ___os_nexus_ifdetach
00000001802b4dc4 (__TEXT,__text) external ___persona
00000001802b70f0 (__TEXT,__text) external ___pipe
00000001802daa10 (__TEXT,__text) external ___poll_nocancel
00000001802b7c88 (__TEXT,__text) external ___posix_spawn
00000001802daa3c (__TEXT,__text) external ___pread_nocancel
00000001802daa68 (__TEXT,__text) external ___preadv_nocancel
00000001802b21cc (__TEXT,__text) external ___proc_info
00000001802daa94 (__TEXT,__text) external ___proc_info_extended_id
00000001802b83a4 (__TEXT,__text) external ___process_policy
00000001802b6ea4 (__TEXT,__text) external ___pselect
00000001802daac0 (__TEXT,__text) external ___pselect_nocancel
00000001802b456c (__TEXT,__text) external ___psynch_cvbroad
00000001802b4d28 (__TEXT,__text) external ___psynch_cvclrprepost
00000001802b5a44 (__TEXT,__text) external ___psynch_cvsignal
00000001802b4540 (__TEXT,__text) external ___psynch_cvwait
00000001802b3c08 (__TEXT,__text) external ___psynch_mutexdrop
00000001802b3a40 (__TEXT,__text) external ___psynch_mutexwait
00000001802daaec (__TEXT,__text) external ___psynch_rw_downgrade
00000001802dab18 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001802b617c (__TEXT,__text) external ___psynch_rw_rdlock
00000001802b6150 (__TEXT,__text) external ___psynch_rw_unlock
00000001802dab44 (__TEXT,__text) external ___psynch_rw_unlock2
00000001802dab70 (__TEXT,__text) external ___psynch_rw_upgrade
00000001802b6124 (__TEXT,__text) external ___psynch_rw_wrlock
00000001802dab9c (__TEXT,__text) external ___psynch_rw_yieldwrlock
00000001802bc2e4 (__TEXT,__text) external ___pthread_canceled
00000001802b7a54 (__TEXT,__text) external ___pthread_chdir
00000001802b7a28 (__TEXT,__text) external ___pthread_fchdir
00000001802b8e60 (__TEXT,__text) external ___pthread_kill
00000001802dabc8 (__TEXT,__text) external ___pthread_markcancel
00000001802b7e40 (__TEXT,__text) external ___pthread_sigmask
00000001802b91a4 (__TEXT,__text) external ___ptrace
00000001802dabf4 (__TEXT,__text) external ___pwrite_nocancel
00000001802dac20 (__TEXT,__text) external ___pwritev_nocancel
00000001802b2d44 (__TEXT,__text) external ___read_nocancel
00000001802dac4c (__TEXT,__text) external ___readv_nocancel
00000001802dac78 (__TEXT,__text) external ___reboot
00000001802b5414 (__TEXT,__text) external ___recvfrom
00000001802b52dc (__TEXT,__text) external ___recvfrom_nocancel
00000001802b57bc (__TEXT,__text) external ___recvmsg
00000001802daca4 (__TEXT,__text) external ___recvmsg_nocancel
00000001eb744f30 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001802b4a18 (__TEXT,__text) external ___rename
00000001802dacd0 (__TEXT,__text) external ___renameat
00000001802dacfc (__TEXT,__text) external ___renameatx_np
00000001802b4a88 (__TEXT,__text) external ___rmdir
00000001802da464 (__TEXT,__text) external ___sandbox_me
00000001802da5c4 (__TEXT,__text) external ___sandbox_mm
00000001802b27e0 (__TEXT,__text) external ___sandbox_ms
00000001802b8eb8 (__TEXT,__text) external ___sandbox_msp
00000001802bb1e4 (__TEXT,__text) external ___select
00000001802b52b0 (__TEXT,__text) external ___select_nocancel
00000001802b9cf8 (__TEXT,__text) external ___sem_open
00000001802dad28 (__TEXT,__text) external ___sem_wait_nocancel
00000001802dad54 (__TEXT,__text) external ___semctl
00000001802dad80 (__TEXT,__text) external ___semsys
00000001802b433c (__TEXT,__text) external ___semwait_signal
00000001802b7e6c (__TEXT,__text) external ___semwait_signal_nocancel
00000001802b6800 (__TEXT,__text) external ___sendmsg
00000001802b5334 (__TEXT,__text) external ___sendmsg_nocancel
00000001802b53e8 (__TEXT,__text) external ___sendto
00000001802b5248 (__TEXT,__text) external ___sendto_nocancel
00000001802b44bc (__TEXT,__text) external ___setattrlist
00000001802bbfb0 (__TEXT,__text) external ___setlogin
00000001802b89c8 (__TEXT,__text) external ___setpriority
00000001802dadac (__TEXT,__text) external ___setregid
00000001802dadd8 (__TEXT,__text) external ___setreuid
00000001802b3a74 (__TEXT,__text) external ___setrlimit
00000001802dae04 (__TEXT,__text) external ___setsgroups
00000001802b9a80 (__TEXT,__text) external ___settid
00000001802dae30 (__TEXT,__text) external ___settid_with_pid
00000001802dae5c (__TEXT,__text) external ___settimeofday
00000001802dae88 (__TEXT,__text) external ___setwgroups
00000001802b9d90 (__TEXT,__text) external ___sfi_ctl
00000001802daeb4 (__TEXT,__text) external ___sfi_pidctl
00000001802daee0 (__TEXT,__text) external ___shared_region_check_np
00000001802daf0c (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00000001802daf38 (__TEXT,__text) external ___shared_region_map_and_slide_np
00000001802b2604 (__TEXT,__text) external ___shm_open
00000001802daf64 (__TEXT,__text) external ___shmctl
00000001802daf90 (__TEXT,__text) external ___shmsys
00000001802b7180 (__TEXT,__text) external ___sigaction
00000001802b4438 (__TEXT,__text) external ___sigaltstack
00000001802bba5c (__TEXT,__text) external ___sigreturn
00000001802dafbc (__TEXT,__text) external ___sigsuspend
00000001802b7ea4 (__TEXT,__text) external ___sigsuspend_nocancel
00000001802bbab4 (__TEXT,__text) external ___sigwait
00000001802b5308 (__TEXT,__text) external ___socketpair
00000001802dafe8 (__TEXT,__text) external ___stack_snapshot_with_config
00000001802dc314 (__TEXT,__text) external ___stat
00000001802b65c0 (__TEXT,__text) external ___stat64_extended
00000001802db014 (__TEXT,__text) external ___stat_extended
00000001802dc340 (__TEXT,__text) external ___statfs
00000001802b31cc (__TEXT,__text) external ___syscall
00000001df32cc58 (__DATA,__common) external ___syscall_logger
00000001802b2500 (__TEXT,__text) external ___sysctl
00000001802b273c (__TEXT,__text) external ___sysctlbyname
00000001802db040 (__TEXT,__text) external ___telemetry
00000001802baa78 (__TEXT,__text) external ___terminate_with_payload
00000001802b2b60 (__TEXT,__text) external ___thread_selfid
00000001802db06c (__TEXT,__text) external ___thread_selfusage
00000001802b2b8c (__TEXT,__text) external ___ulock_wait
00000001802db098 (__TEXT,__text) external ___ulock_wait2
00000001802b2c60 (__TEXT,__text) external ___ulock_wake
00000001802db0c4 (__TEXT,__text) external ___umask_extended
00000001802b4e20 (__TEXT,__text) external ___unlink
00000001802ba074 (__TEXT,__text) external ___unlinkat
00000001802db0f0 (__TEXT,__text) external ___vfork
00000001802b7dd4 (__TEXT,__text) external ___wait4
00000001802bc598 (__TEXT,__text) external ___wait4_nocancel
00000001802db160 (__TEXT,__text) external ___waitid_nocancel
00000001802b9318 (__TEXT,__text) external ___work_interval_ctl
00000001802b2a84 (__TEXT,__text) external ___workq_kernreturn
00000001802b2ab0 (__TEXT,__text) external ___workq_open
00000001802b4d54 (__TEXT,__text) external ___write_nocancel
00000001802db18c (__TEXT,__text) external ___writev_nocancel
00000001df32cc50 (__DATA,__common) external __cpu_capabilities
00000001df32cc54 (__DATA,__common) external __cpu_has_altivec
00000001eb744880 (__DATA_DIRTY,__data) external __current_pid
00000001eb744890 (__DATA_DIRTY,__common) non-external (was a private external) __dlsym
00000001802b7ed0 (__TEXT,__text) external __exit
00000001802b6a78 (__TEXT,__text) external __get_cpu_capabilities
00000001df32cc68 (__DATA,__bss) non-external __gethostuuid_callback
00000001802bfe18 (__TEXT,__text) external __getprivatesystemidentifier
00000001802ca678 (__TEXT,__text) external __host_page_size
00000001802b6a74 (__TEXT,__text) external __init_cpu_capabilities
00000001802cb614 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00000001802cc8bc (__TEXT,__text) external __kernelrpc_mach_port_allocate
00000001802cd52c (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00000001802cc79c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001802cd3d8 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00000001802b0d30 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00000001802ce0f0 (__TEXT,__text) external __kernelrpc_mach_port_construct
00000001802b0d84 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00000001802ccb14 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00000001802b0d3c (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001802cc9f4 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001802ce248 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00000001802b0d90 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00000001802cdacc (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00000001802cde84 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00000001802b0d78 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00000001802ba508 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00000001802badf8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00000001802b0e38 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001802b6210 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00000001802b4204 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00000001802bc160 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001802cd7b8 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00000001802ce36c (__TEXT,__text) external __kernelrpc_mach_port_guard
00000001802b0e44 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001802ce81c (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00000001802cdd64 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00000001802b0d6c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00000001802cd188 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00000001802b0d60 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00000001802cdc18 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00000001802cdfa4 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00000001802cea6c (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00000001802ccc34 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00000001802b0d48 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00000001802cd068 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00000001802b0d54 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00000001802cc4d0 (__TEXT,__text) external __kernelrpc_mach_port_names
00000001802ccd58 (__TEXT,__text) external __kernelrpc_mach_port_peek
00000001802cc67c (__TEXT,__text) external __kernelrpc_mach_port_rename
00000001802b4e78 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00000001802b0f28 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001802b3788 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00000001802bc038 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00000001802ccf48 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00000001802cd2b8 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001802ce5b8 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001802cd8f0 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001802ce6e4 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001802ce944 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00000001802b93c0 (__TEXT,__text) external __kernelrpc_mach_port_type
00000001802b0f1c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001802ce494 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00000001802b0e50 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001802d5c94 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001802cec0c (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00000001802b0ce8 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001802ced50 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00000001802b0d00 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00000001802b21f8 (__TEXT,__text) external __kernelrpc_mach_vm_map
00000001802b0d24 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001802cee74 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00000001802b0d18 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001802cfcf4 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00000001802b0cf4 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001802cf0c8 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001802cf898 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001802d0144 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001802d9a7c (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001802cd698 (__TEXT,__text) external __kernelrpc_task_set_port_space
00000001802b5f3c (__TEXT,__text) external __kernelrpc_thread_policy
00000001802b6f64 (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001802d7ac4 (__TEXT,__text) external __kernelrpc_thread_set_policy
00000001802bc3b0 (__TEXT,__text) external __kernelrpc_vm_map
00000001802d8ed0 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001802b9b70 (__TEXT,__text) external __kernelrpc_vm_read
00000001802b33a4 (__TEXT,__text) external __kernelrpc_vm_remap
00000001802d9010 (__TEXT,__text) external __kernelrpc_vm_remap_new
00000001802bcacc (__TEXT,__text) non-external (was a private external) __libkernel_bzero
00000001eb744888 (__DATA_DIRTY,__common) non-external (was a private external) __libkernel_functions
00000001eed72c58 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
00000001802bcb64 (__TEXT,__text) non-external (was a private external) __libkernel_memmove
00000001802bcad8 (__TEXT,__text) non-external (was a private external) __libkernel_memset
00000001802bca94 (__TEXT,__text) non-external (was a private external) __libkernel_strchr
00000001802b6aa0 (__TEXT,__text) non-external (was a private external) __libkernel_strcmp
00000001802bcea4 (__TEXT,__text) non-external (was a private external) __libkernel_strcpy
00000001eb744870 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00000001802bcee4 (__TEXT,__text) non-external (was a private external) __libkernel_strlcpy
00000001802bc8d0 (__TEXT,__text) non-external (was a private external) __libkernel_strlen
00000001eb744878 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001802dd350 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00000001802be58c (__TEXT,__text) non-external (was a private external) __mach_continuous_time
00000001802b2e5c (__TEXT,__text) non-external (was a private external) __mach_continuous_time_base
00000001e5918240 (__DATA_CONST,__const) external __mach_errors
00000001802beafc (__TEXT,__text) external __mach_fork_child
00000001802beed4 (__TEXT,__text) external __mach_snprintf
00000001802bed5c (__TEXT,__text) external __mach_vsnprintf
00000001eb7448d8 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001df32cc18 (__DATA,__common) external __os_xbs_chrooted
00000001802b767c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00000001802b60b0 (__TEXT,__text) non-external (was a private external) __pthread_clear_qos_tsd
00000001802b26bc (__TEXT,__text) non-external (was a private external) __pthread_exit_if_canceled
00000001802b6a8c (__TEXT,__text) non-external (was a private external) __pthread_set_self
00000001802bfe1c (__TEXT,__text) external __register_gethostuuid_callback
00000001802bcc74 (__TEXT,__text) non-external (was a private external) __system_version_compat_check_path_suffix
00000001802bcd08 (__TEXT,__text) non-external (was a private external) __system_version_compat_open_shim
00000001eb7448cc (__DATA_DIRTY,__common) non-external (was a private external) __task_reply_port
00000001802dc5d4 (__TEXT,__text) external __thread_set_tsd_base
00000001802dc6a0 (__TEXT,__text) non-external _abort
00000001802dc6c4 (__TEXT,__text) non-external _abort
00000001802dc6e8 (__TEXT,__text) non-external _abort
00000001802dc70c (__TEXT,__text) non-external _abort
00000001802dc96c (__TEXT,__text) external _abort_with_payload
00000001802dc8e0 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001802dc8c0 (__TEXT,__text) external _abort_with_reason
00000001802b8f4c (__TEXT,__text) external _accept
00000001802da070 (__TEXT,__text) external _accept$NOCANCEL
00000001802b1824 (__TEXT,__text) external _access
00000001802da09c (__TEXT,__text) external _accessx_np
00000001802db1b8 (__TEXT,__text) external _acct
00000001802d661c (__TEXT,__text) external _act_get_state
00000001802d67ec (__TEXT,__text) external _act_set_state
00000001802db1e4 (__TEXT,__text) external _adjtime
00000001802db210 (__TEXT,__text) external _aio_cancel
00000001802db23c (__TEXT,__text) external _aio_error
00000001802db268 (__TEXT,__text) external _aio_fsync
00000001802db294 (__TEXT,__text) external _aio_read
00000001802db2c0 (__TEXT,__text) external _aio_return
00000001802db2ec (__TEXT,__text) external _aio_suspend
00000001802da0c8 (__TEXT,__text) external _aio_suspend$NOCANCEL
00000001802db318 (__TEXT,__text) external _aio_write
00000001802db344 (__TEXT,__text) external _audit
00000001802bba88 (__TEXT,__text) external _audit_session_join
00000001802bb8f4 (__TEXT,__text) external _audit_session_port
00000001802b50e8 (__TEXT,__text) external _audit_session_self
00000001802db370 (__TEXT,__text) external _auditctl
00000001802b9d50 (__TEXT,__text) external _auditon
00000001802b6d10 (__TEXT,__text) non-external (was a private external) _bcopy
00000001802b8464 (__TEXT,__text) external _bind
00000001eb744898 (__DATA_DIRTY,__common) external _bootstrap_port
00000001802bc880 (__TEXT,__text) non-external (was a private external) _bzero
00000001802b2688 (__TEXT,__text) external _cerror
00000001802b17b0 (__TEXT,__text) external _cerror_nocancel
00000001802b5024 (__TEXT,__text) external _change_fdguard_np
00000001802b280c (__TEXT,__text) external _chdir
00000001802b8930 (__TEXT,__text) external _chflags
00000001802b4ab4 (__TEXT,__text) external _chmod
00000001802b8438 (__TEXT,__text) external _chown
00000001802db39c (__TEXT,__text) external _chroot
00000001802c7024 (__TEXT,__text) external _clock_alarm
00000001802c6e00 (__TEXT,__text) external _clock_alarm_reply
00000001802c6e6c (__TEXT,__text) external _clock_get_attributes
00000001802b63fc (__TEXT,__text) external _clock_get_time
00000001802c6ca0 (__TEXT,__text) external _clock_set_attributes
00000001802c6b84 (__TEXT,__text) external _clock_set_time
00000001802bc310 (__TEXT,__text) external _clock_sleep
00000001802b0ef8 (__TEXT,__text) external _clock_sleep_trap
00000001802ba3d4 (__TEXT,__text) external _clonefile
00000001802b5ca0 (__TEXT,__text) external _clonefileat
00000001802b1988 (__TEXT,__text) external _close
00000001802b2630 (__TEXT,__text) external _close$NOCANCEL
00000001802c4114 (__TEXT,__text) external _coalition_create
00000001802c4184 (__TEXT,__text) external _coalition_info_resource_usage
00000001802c41f4 (__TEXT,__text) external _coalition_info_set_efficiency
00000001802c41bc (__TEXT,__text) external _coalition_info_set_name
00000001802c4230 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001802c4154 (__TEXT,__text) external _coalition_reap
