00000001d71797d8 (__DATA,__common) external _BC
00000001a44f87e0 (__TEXT,__text) external __nc_err_abort
00000001a450e3cc (__TEXT,__text) external __nc_expand_try
00000001a45167f8 (__TEXT,__text) external __nc_expanded
00000001a44fb158 (__TEXT,__text) external __nc_fallback
00000001a44f8d04 (__TEXT,__text) external __nc_find_entry
00000001a44f8df4 (__TEXT,__text) external __nc_find_type_entry
00000001a44faf78 (__TEXT,__text) external __nc_first_db
00000001a450bae8 (__TEXT,__text) external __nc_first_name
00000001a450997c (__TEXT,__text) external __nc_flush
00000001a44ffd20 (__TEXT,__text) external __nc_free_and_exit
00000001a44fb124 (__TEXT,__text) external __nc_free_entries
00000001a44fb07c (__TEXT,__text) external __nc_free_entry
00000001a44fb160 (__TEXT,__text) external __nc_free_termtype
00000001a44ffd1c (__TEXT,__text) external __nc_freeall
00000001a4504538 (__TEXT,__text) external __nc_freewin
00000001a44f84d4 (__TEXT,__text) external __nc_get_alias_table
00000001a44f84b8 (__TEXT,__text) external __nc_get_hash_table
00000001a4507c38 (__TEXT,__text) external __nc_get_locale
00000001a44f3994 (__TEXT,__text) external __nc_get_screensize
00000001a44f85e0 (__TEXT,__text) external __nc_get_source
00000001a44f83d8 (__TEXT,__text) external __nc_get_table
00000001a44f9d84 (__TEXT,__text) external __nc_get_token
00000001a450a080 (__TEXT,__text) external __nc_get_tty_mode
00000001a44f8658 (__TEXT,__text) external __nc_get_type
00000001a44f3b74 (__TEXT,__text) external __nc_getenv_num
00000001d7178df0 (__DATA,__data) external __nc_globals
00000001a4507b6c (__TEXT,__text) external __nc_handle_sigwinch
00000001a45023e0 (__TEXT,__text) external __nc_has_mouse
00000001a44fb3d0 (__TEXT,__text) external __nc_hash_map
00000001d7179468 (__DATA,__common) external __nc_head
00000001a44f2e3c (__TEXT,__text) external __nc_home_terminfo
00000001a44f7bd0 (__TEXT,__text) external __nc_infotocap
00000001a44fc3e4 (__TEXT,__text) external __nc_init_acs
00000001a44f59c0 (__TEXT,__text) external __nc_init_entry
00000001a44fc054 (__TEXT,__text) external __nc_init_keytry
00000001a450b434 (__TEXT,__text) external __nc_init_wacs
00000001a45016e4 (__TEXT,__text) external __nc_insert_ch
00000001a44f5814 (__TEXT,__text) external __nc_is_abs_path
00000001a44f83a4 (__TEXT,__text) external __nc_is_charable
00000001a44f2eb8 (__TEXT,__text) external __nc_is_dir_path
00000001a44f5828 (__TEXT,__text) external __nc_is_file_path
00000001a44fae3c (__TEXT,__text) external __nc_keep_tic_dir
00000001a4513cf0 (__TEXT,__text) external __nc_keyname
00000001a4504c64 (__TEXT,__text) external __nc_keypad
00000001a44f38a4 (__TEXT,__text) external __nc_last_db
00000001a44fb154 (__TEXT,__text) external __nc_leaks_tinfo
00000001a4507c74 (__TEXT,__text) external __nc_locale_breaks_acs
00000001a44fbd20 (__TEXT,__text) external __nc_make_oldhash
00000001a45047bc (__TEXT,__text) external __nc_makenew
00000001a44f5f18 (__TEXT,__text) external __nc_merge_entry
00000001a4502b4c (__TEXT,__text) external __nc_msec_cost
00000001a4502d74 (__TEXT,__text) external __nc_mvcur_init
00000001a4502cc0 (__TEXT,__text) external __nc_mvcur_resume
00000001a450330c (__TEXT,__text) external __nc_mvcur_wrap
00000001a450bb5c (__TEXT,__text) external __nc_name_match
00000001a44f2c0c (__TEXT,__text) external __nc_next_db
00000001d71797e8 (__DATA,__common) external __nc_nulls_sent
00000001d7179478 (__DATA,__common) external __nc_oldnums
00000001a44f3958 (__TEXT,__text) external __nc_ospeed
00000001a45099a4 (__TEXT,__text) external __nc_outch
00000001a450bc24 (__TEXT,__text) external __nc_panelhook
00000001a44fa914 (__TEXT,__text) external __nc_panic_mode
00000001a450bc40 (__TEXT,__text) external __nc_parse_entry
00000001a44f2bd8 (__TEXT,__text) external __nc_pathlast
00000001d7178f20 (__DATA,__data) external __nc_prescreen
00000001a450e0dc (__TEXT,__text) external __nc_printf_string
00000001d71796b8 (__DATA,__common) external __nc_progname
00000001a44fad94 (__TEXT,__text) external __nc_push_token
00000001a44f2a8c (__TEXT,__text) external __nc_read_entry
00000001a44f9728 (__TEXT,__text) external __nc_read_entry_source
00000001a44f2f10 (__TEXT,__text) external __nc_read_file_entry
00000001a450d688 (__TEXT,__text) external __nc_read_termcap_entry
00000001a44f30ec (__TEXT,__text) external __nc_read_termtype
00000001a450e480 (__TEXT,__text) external __nc_remove_key
00000001a450e504 (__TEXT,__text) external __nc_remove_string
00000001a44fc878 (__TEXT,__text) external __nc_render
00000001a44fea94 (__TEXT,__text) external __nc_reset_colors
00000001a44f9d28 (__TEXT,__text) external __nc_reset_input
00000001a44f9d20 (__TEXT,__text) external __nc_resolve_uses
00000001a44f98c0 (__TEXT,__text) external __nc_resolve_uses2
00000001a4507aac (__TEXT,__text) external __nc_ripoffline
00000001a44f5718 (__TEXT,__text) external __nc_rootname
00000001a450e2d8 (__TEXT,__text) external __nc_safe_strcat
00000001a450e350 (__TEXT,__text) external __nc_safe_strcpy
00000001a44f5b1c (__TEXT,__text) external __nc_save_str
00000001d71796a8 (__DATA,__common) external __nc_screen_chain
00000001a4511614 (__TEXT,__text) external __nc_screen_init
00000001a4504a98 (__TEXT,__text) external __nc_screen_of
00000001a450ee50 (__TEXT,__text) external __nc_screen_resume
00000001a4511618 (__TEXT,__text) external __nc_screen_wrap
00000001a44fbd90 (__TEXT,__text) external __nc_scroll_oldhash
00000001a44fb20c (__TEXT,__text) external __nc_scroll_optimize
00000001a4506e68 (__TEXT,__text) external __nc_scroll_window
00000001a45104b8 (__TEXT,__text) external __nc_scrolln
00000001a450e1c8 (__TEXT,__text) external __nc_set_buffer
00000001a44f5614 (__TEXT,__text) external __nc_set_no_padding
00000001a44f85f0 (__TEXT,__text) external __nc_set_source
00000001a450a0f0 (__TEXT,__text) external __nc_set_tty_mode
00000001a44f8600 (__TEXT,__text) external __nc_set_type
00000001a4512c04 (__TEXT,__text) external __nc_set_writedir
00000001a45074c4 (__TEXT,__text) external __nc_setupscreen
00000001a44f2684 (__TEXT,__text) external __nc_setupterm
00000001a4509cbc (__TEXT,__text) external __nc_signal_handler
00000001a4507d98 (__TEXT,__text) external __nc_slk_initialize
00000001d7179440 (__DATA,__common) external __nc_start_line
00000001a450e2cc (__TEXT,__text) external __nc_str_copy
00000001a450e29c (__TEXT,__text) external __nc_str_init
00000001a450e2b8 (__TEXT,__text) external __nc_str_null
00000001d7179410 (__DATA,__common) external __nc_suppress_warnings
00000001a450b5b4 (__TEXT,__text) external __nc_synchook
00000001d7179420 (__DATA,__common) external __nc_syntax
00000001a44f8834 (__TEXT,__text) external __nc_syserr_abort
00000001d7179470 (__DATA,__common) external __nc_tail
00000001a44fade0 (__TEXT,__text) external __nc_tic_dir
00000001a44f8888 (__TEXT,__text) external __nc_tic_expand
00000001a4513bcc (__TEXT,__text) external __nc_tic_written
00000001a450a3f8 (__TEXT,__text) external __nc_timed_wait
00000001a451bf04 (__TEXT,__const) external __nc_tinfo_fkeys
00000001a44f83d0 (__TEXT,__text) external __nc_to_char
00000001a44f83d4 (__TEXT,__text) external __nc_to_widechar
00000001a44f52fc (__TEXT,__text) external __nc_tparm_analyze
00000001d71797e0 (__DATA,__common) external __nc_tparm_err
00000001d71797f8 (__DATA,__common) external __nc_tracing
00000001a44fa948 (__TEXT,__text) external __nc_trans_string
00000001a44f3bd8 (__TEXT,__text) external __nc_trim_sgr0
00000001a451237c (__TEXT,__text) external __nc_unctrl
00000001a450a85c (__TEXT,__text) external __nc_ungetch
00000001a4507c44 (__TEXT,__text) external __nc_unicode_locale
00000001a4507bbc (__TEXT,__text) external __nc_update_screensize
00000001d7178ded (__DATA,__data) external __nc_user_definable
00000001a45126d4 (__TEXT,__text) external __nc_visbuf
00000001a45124bc (__TEXT,__text) external __nc_visbuf2
00000001a45126e4 (__TEXT,__text) external __nc_visbufn
00000001d71797f0 (__DATA,__common) external __nc_wacs
00000001a44fca74 (__TEXT,__text) external __nc_waddch_nosync
00000001a44f8694 (__TEXT,__text) external __nc_warning
00000001a44fd67c (__TEXT,__text) external __nc_wchstrlen
00000001a450a6b0 (__TEXT,__text) external __nc_wcrtomb
00000001a4500408 (__TEXT,__text) external __nc_wgetch
00000001a44f5bb8 (__TEXT,__text) external __nc_wrap_entry
00000001a4512e3c (__TEXT,__text) external __nc_write_entry
                 (undefined) external _access (from libSystem)
00000001d7179480 (__DATA,__common) external _acs_map
00000001a45156bc (__TEXT,__text) external _add_wch
00000001a45156d0 (__TEXT,__text) external _add_wchnstr
00000001a45156e8 (__TEXT,__text) external _add_wchstr
00000001a4513fac (__TEXT,__text) external _addch
00000001a4513fc0 (__TEXT,__text) external _addchnstr
00000001a4513fd8 (__TEXT,__text) external _addchstr
00000001a4513ff0 (__TEXT,__text) external _addnstr
00000001a4515700 (__TEXT,__text) external _addnwstr
00000001a4514008 (__TEXT,__text) external _addstr
00000001a4515718 (__TEXT,__text) external _addwstr
00000001a44ff9b0 (__TEXT,__text) external _assume_default_colors
                 (undefined) external _atoi (from libSystem)
00000001a4514064 (__TEXT,__text) external _attr_get
00000001a4514094 (__TEXT,__text) external _attr_off
00000001a45140ac (__TEXT,__text) external _attr_on
00000001a45140c4 (__TEXT,__text) external _attr_set
00000001a4514020 (__TEXT,__text) external _attroff
00000001a4514038 (__TEXT,__text) external _attron
00000001a4514050 (__TEXT,__text) external _attrset
00000001a44f5660 (__TEXT,__text) external _baudrate
00000001a44fdae0 (__TEXT,__text) external _beep
00000001a45140e4 (__TEXT,__text) external _bkgd
00000001a45140f8 (__TEXT,__text) external _bkgdset
00000001a4515730 (__TEXT,__text) external _bkgrnd
00000001a4515744 (__TEXT,__text) external _bkgrndset
00000001d2ebcd90 (__DATA_CONST,__const) external _boolcodes
00000001d2ebde98 (__DATA_CONST,__const) external _boolfnames
00000001d2ebdd30 (__DATA_CONST,__const) external _boolnames
00000001a451410c (__TEXT,__text) external _border
00000001a4515758 (__TEXT,__text) external _border_set
00000001a451415c (__TEXT,__text) external _box
00000001a45157a8 (__TEXT,__text) external _box_set
                 (undefined) external _btowc (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001a44ff37c (__TEXT,__text) external _can_change_color
00000001a4505c2c (__TEXT,__text) external _cbreak
                 (undefined) external _cfgetospeed (from libSystem)
                 (undefined) external _chdir (from libSystem)
00000001a4514198 (__TEXT,__text) external _chgat
00000001a45141b8 (__TEXT,__text) external _clear
                 (undefined) external _clearerr (from libSystem)
00000001a44fe8c0 (__TEXT,__text) external _clearok
                 (undefined) external _close (from libSystem)
00000001a45141c8 (__TEXT,__text) external _clrtobot
00000001a45141d8 (__TEXT,__text) external _clrtoeol
00000001a44ff400 (__TEXT,__text) external _color_content
00000001a45141e8 (__TEXT,__text) external _color_set
00000001a4504f90 (__TEXT,__text) external _copywin
00000001d7179688 (__DATA,__common) external _cur_term
00000001a4504d40 (__TEXT,__text) external _curs_set
00000001d7179698 (__DATA,__common) external _curscr
00000001a45124b0 (__TEXT,__text) external _curses_version
00000001a450a1ec (__TEXT,__text) external _def_prog_mode
00000001a450a180 (__TEXT,__text) external _def_shell_mode
00000001a44faf84 (__TEXT,__text) external _define_key
00000001a44ff78c (__TEXT,__text) external _del_curterm
00000001a450985c (__TEXT,__text) external _delay_output
00000001a4514208 (__TEXT,__text) external _delch
00000001a4514218 (__TEXT,__text) external _deleteln
00000001a4507274 (__TEXT,__text) external _delscreen
00000001a44ff8cc (__TEXT,__text) external _delwin
00000001a4504974 (__TEXT,__text) external _derwin
00000001a450e844 (__TEXT,__text) external _doupdate
00000001a450b8c8 (__TEXT,__text) external _dupwin
00000001a44ffaac (__TEXT,__text) external _echo
00000001a45157e4 (__TEXT,__text) external _echo_wchar
00000001a451422c (__TEXT,__text) external _echochar
00000001a44ffae0 (__TEXT,__text) external _endwin
00000001a4514240 (__TEXT,__text) external _erase
00000001a4501e48 (__TEXT,__text) external _erasechar
00000001a44ffc58 (__TEXT,__text) external _erasewchar
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001a4504200 (__TEXT,__text) external _filter
00000001a44ffcc8 (__TEXT,__text) external _flash
00000001a4501e90 (__TEXT,__text) external _flushinp
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001a45157f8 (__TEXT,__text) external _get_wch
00000001a451580c (__TEXT,__text) external _get_wstr
00000001a451557c (__TEXT,__text) external _getattrs
00000001a45155b0 (__TEXT,__text) external _getbegx
00000001a45155c4 (__TEXT,__text) external _getbegy
00000001a4514250 (__TEXT,__text) external _getbkgd
00000001a4515824 (__TEXT,__text) external _getbkgrnd
00000001a44fe71c (__TEXT,__text) external _getcchar
00000001a4514258 (__TEXT,__text) external _getch
00000001a4515588 (__TEXT,__text) external _getcurx
00000001a451559c (__TEXT,__text) external _getcury
                 (undefined) external _getcwd (from libSystem)
                 (undefined) external _getenv (from libSystem)
00000001a45155d8 (__TEXT,__text) external _getmaxx
00000001a45155f0 (__TEXT,__text) external _getmaxy
00000001a4501fe8 (__TEXT,__text) external _getmouse
00000001a4515848 (__TEXT,__text) external _getn_wstr
00000001a4514268 (__TEXT,__text) external _getnstr
00000001a4515608 (__TEXT,__text) external _getparx
00000001a451561c (__TEXT,__text) external _getpary
                 (undefined) external _getpgrp (from libSystem)
                 (undefined) external _getpid (from libSystem)
00000001a4514280 (__TEXT,__text) external _getstr
                 (undefined) external _gettimeofday (from libSystem)
00000001a45069e0 (__TEXT,__text) external _getwin
00000001a4504ba4 (__TEXT,__text) external _halfdelay
00000001a44ff39c (__TEXT,__text) external _has_colors
00000001a4500ed8 (__TEXT,__text) external _has_ic
00000001a4500f34 (__TEXT,__text) external _has_il
00000001a4504e04 (__TEXT,__text) external _has_key
00000001a4514298 (__TEXT,__text) external _hline
00000001a4515860 (__TEXT,__text) external _hline_set
00000001a4504b58 (__TEXT,__text) external _idcok
00000001a4504ad8 (__TEXT,__text) external _idlok
00000001a4501204 (__TEXT,__text) external _immedok
00000001a4515878 (__TEXT,__text) external _in_wch
00000001a451588c (__TEXT,__text) external _in_wchnstr
00000001a45158a4 (__TEXT,__text) external _in_wchstr
00000001a45142b0 (__TEXT,__text) external _inch
00000001a45142c0 (__TEXT,__text) external _inchnstr
00000001a45142d8 (__TEXT,__text) external _inchstr
00000001a44ff168 (__TEXT,__text) external _init_color
00000001a44fee44 (__TEXT,__text) external _init_pair
00000001a4501380 (__TEXT,__text) external _initscr
00000001a45142f0 (__TEXT,__text) external _innstr
00000001a45158bc (__TEXT,__text) external _innwstr
00000001a45158d4 (__TEXT,__text) external _ins_nwstr
00000001a45158ec (__TEXT,__text) external _ins_wch
00000001a4515900 (__TEXT,__text) external _ins_wstr
00000001a4514308 (__TEXT,__text) external _insch
00000001a451431c (__TEXT,__text) external _insdelln
00000001a4514330 (__TEXT,__text) external _insertln
00000001a4514344 (__TEXT,__text) external _insnstr
00000001a451435c (__TEXT,__text) external _insstr
00000001a4514374 (__TEXT,__text) external _instr
00000001a4506094 (__TEXT,__text) external _intrflush
00000001a4515918 (__TEXT,__text) external _inwstr
                 (undefined) external _ioctl (from libSystem)
00000001a451563c (__TEXT,__text) external _is_cleared
00000001a4515644 (__TEXT,__text) external _is_idcok
00000001a451564c (__TEXT,__text) external _is_idlok
00000001a4515654 (__TEXT,__text) external _is_immedok
00000001a451565c (__TEXT,__text) external _is_keypad
00000001a4515664 (__TEXT,__text) external _is_leaveok
00000001a45095f0 (__TEXT,__text) external _is_linetouched
00000001a451566c (__TEXT,__text) external _is_nodelay
00000001a451567c (__TEXT,__text) external _is_notimeout
00000001a4515684 (__TEXT,__text) external _is_scrollok
00000001a451568c (__TEXT,__text) external _is_syncok
00000001a450db94 (__TEXT,__text) external _is_term_resized
00000001a450962c (__TEXT,__text) external _is_wintouched
                 (undefined) external _isatty (from libSystem)
00000001a4501e20 (__TEXT,__text) external _isendwin
00000001a44fc138 (__TEXT,__text) external _key_defined
00000001a4501ef0 (__TEXT,__text) external _key_name
00000001a44fc1f4 (__TEXT,__text) external _keybound
00000001a4513f98 (__TEXT,__text) external _keyname
00000001a44fc244 (__TEXT,__text) external _keyok
00000001a4504c44 (__TEXT,__text) external _keypad
                 (undefined) external _kill (from libSystem)
00000001a4501e6c (__TEXT,__text) external _killchar
00000001a44ffc90 (__TEXT,__text) external _killwchar
00000001a4501f70 (__TEXT,__text) external _leaveok
                 (undefined) external _link (from libSystem)
00000001a4501f8c (__TEXT,__text) external _longname
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mblen (from libSystem)
                 (undefined) external _mbrtowc (from libSystem)
                 (undefined) external _mbtowc (from libSystem)
00000001a450585c (__TEXT,__text) external _mcprint
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001a4504ce8 (__TEXT,__text) external _meta
                 (undefined) external _mkdir (from libSystem)
00000001a45167dc (__TEXT,__text) external _mouse_trafo
00000001a45023b4 (__TEXT,__text) external _mouseinterval
00000001a45020a0 (__TEXT,__text) external _mousemask
00000001a451438c (__TEXT,__text) external _move
00000001a451592c (__TEXT,__text) external _mvadd_wch
00000001a4515990 (__TEXT,__text) external _mvadd_wchnstr
00000001a4515a08 (__TEXT,__text) external _mvadd_wchstr
00000001a45143a4 (__TEXT,__text) external _mvaddch
00000001a4514408 (__TEXT,__text) external _mvaddchnstr
00000001a4514480 (__TEXT,__text) external _mvaddchstr
00000001a45144e8 (__TEXT,__text) external _mvaddnstr
00000001a4515a70 (__TEXT,__text) external _mvaddnwstr
00000001a4514560 (__TEXT,__text) external _mvaddstr
00000001a4515ae8 (__TEXT,__text) external _mvaddwstr
00000001a45145c8 (__TEXT,__text) external _mvchgat
00000001a450339c (__TEXT,__text) external _mvcur
00000001a451465c (__TEXT,__text) external _mvdelch
00000001a450b6ac (__TEXT,__text) external _mvderwin
00000001a4515b50 (__TEXT,__text) external _mvget_wch
00000001a4515bb4 (__TEXT,__text) external _mvget_wstr
00000001a45146b8 (__TEXT,__text) external _mvgetch
00000001a4515c1c (__TEXT,__text) external _mvgetn_wstr
00000001a4514714 (__TEXT,__text) external _mvgetnstr
00000001a451478c (__TEXT,__text) external _mvgetstr
00000001a45147f4 (__TEXT,__text) external _mvhline
00000001a4515c94 (__TEXT,__text) external _mvhline_set
00000001a4515d0c (__TEXT,__text) external _mvin_wch
00000001a4515d70 (__TEXT,__text) external _mvin_wchnstr
00000001a4515de8 (__TEXT,__text) external _mvin_wchstr
00000001a451486c (__TEXT,__text) external _mvinch
00000001a45148c8 (__TEXT,__text) external _mvinchnstr
00000001a4514940 (__TEXT,__text) external _mvinchstr
00000001a45149a8 (__TEXT,__text) external _mvinnstr
00000001a4515e50 (__TEXT,__text) external _mvinnwstr
00000001a4515ec8 (__TEXT,__text) external _mvins_nwstr
00000001a4515f40 (__TEXT,__text) external _mvins_wch
00000001a4515fa4 (__TEXT,__text) external _mvins_wstr
00000001a4514a20 (__TEXT,__text) external _mvinsch
00000001a4514a84 (__TEXT,__text) external _mvinsnstr
00000001a4514afc (__TEXT,__text) external _mvinsstr
00000001a4514b64 (__TEXT,__text) external _mvinstr
00000001a451600c (__TEXT,__text) external _mvinwstr
00000001a4505a70 (__TEXT,__text) external _mvprintw
00000001a4506928 (__TEXT,__text) external _mvscanw
00000001a4514bcc (__TEXT,__text) external _mvvline
00000001a4516070 (__TEXT,__text) external _mvvline_set
00000001a45160e8 (__TEXT,__text) external _mvwadd_wch
00000001a451613c (__TEXT,__text) external _mvwadd_wchnstr
00000001a45161a4 (__TEXT,__text) external _mvwadd_wchstr
00000001a4514c44 (__TEXT,__text) external _mvwaddch
00000001a4514c98 (__TEXT,__text) external _mvwaddchnstr
00000001a4514d00 (__TEXT,__text) external _mvwaddchstr
00000001a4514d58 (__TEXT,__text) external _mvwaddnstr
00000001a45161fc (__TEXT,__text) external _mvwaddnwstr
00000001a4514dc0 (__TEXT,__text) external _mvwaddstr
00000001a4516264 (__TEXT,__text) external _mvwaddwstr
00000001a4514e18 (__TEXT,__text) external _mvwchgat
00000001a4514e9c (__TEXT,__text) external _mvwdelch
00000001a45162bc (__TEXT,__text) external _mvwget_wch
00000001a4516310 (__TEXT,__text) external _mvwget_wstr
00000001a4514ee8 (__TEXT,__text) external _mvwgetch
00000001a4516368 (__TEXT,__text) external _mvwgetn_wstr
00000001a4514f34 (__TEXT,__text) external _mvwgetnstr
00000001a4514f9c (__TEXT,__text) external _mvwgetstr
00000001a4514ff4 (__TEXT,__text) external _mvwhline
00000001a45163d0 (__TEXT,__text) external _mvwhline_set
00000001a450410c (__TEXT,__text) external _mvwin
00000001a4516438 (__TEXT,__text) external _mvwin_wch
00000001a451648c (__TEXT,__text) external _mvwin_wchnstr
00000001a45164f4 (__TEXT,__text) external _mvwin_wchstr
00000001a451505c (__TEXT,__text) external _mvwinch
00000001a45150a8 (__TEXT,__text) external _mvwinchnstr
00000001a4515110 (__TEXT,__text) external _mvwinchstr
00000001a4515168 (__TEXT,__text) external _mvwinnstr
00000001a451654c (__TEXT,__text) external _mvwinnwstr
00000001a45165b4 (__TEXT,__text) external _mvwins_nwstr
00000001a451661c (__TEXT,__text) external _mvwins_wch
00000001a4516670 (__TEXT,__text) external _mvwins_wstr
00000001a45151d0 (__TEXT,__text) external _mvwinsch
00000001a4515224 (__TEXT,__text) external _mvwinsnstr
00000001a451528c (__TEXT,__text) external _mvwinsstr
00000001a45152e4 (__TEXT,__text) external _mvwinstr
00000001a45166c8 (__TEXT,__text) external _mvwinwstr
00000001a4505ad4 (__TEXT,__text) external _mvwprintw
00000001a450698c (__TEXT,__text) external _mvwscanw
00000001a451533c (__TEXT,__text) external _mvwvline
00000001a451671c (__TEXT,__text) external _mvwvline_set
                 (undefined) external _nanosleep (from libSystem)
00000001a4504174 (__TEXT,__text) external _napms
00000001a45052c4 (__TEXT,__text) external _newpad
00000001d71796a0 (__DATA,__common) external _newscr
00000001a4504224 (__TEXT,__text) external _newterm
00000001a4504690 (__TEXT,__text) external _newwin
00000001a4504aa4 (__TEXT,__text) external _nl
                 (undefined) external _nl_langinfo (from libSystem)
00000001a4505eec (__TEXT,__text) external _nocbreak
00000001a4504bfc (__TEXT,__text) external _nodelay
00000001a44ffac8 (__TEXT,__text) external _noecho
00000001a4504214 (__TEXT,__text) external _nofilter
00000001a4504ac0 (__TEXT,__text) external _nonl
00000001a4505fd8 (__TEXT,__text) external _noqiflush
00000001a4505de8 (__TEXT,__text) external _noraw
00000001a4504c1c (__TEXT,__text) external _notimeout
00000001d2ebcef8 (__DATA_CONST,__const) external _numcodes
00000001d2ebe140 (__DATA_CONST,__const) external _numfnames
00000001d2ebe000 (__DATA_CONST,__const) external _numnames
                 (undefined) external _open (from libSystem)
00000001d71797e6 (__DATA,__common) external _ospeed
00000001a4504ecc (__TEXT,__text) external _overlay
00000001a4504f88 (__TEXT,__text) external _overwrite
00000001a44ff48c (__TEXT,__text) external _pair_content
00000001a45057dc (__TEXT,__text) external _pecho_wchar
00000001a450575c (__TEXT,__text) external _pechochar
                 (undefined) external _perror (from libSystem)
00000001a4505414 (__TEXT,__text) external _pnoutrefresh
00000001a45053dc (__TEXT,__text) external _prefresh
00000001a45059ac (__TEXT,__text) external _printw
                 (undefined) external _putc (from libSystem)
00000001a4509a14 (__TEXT,__text) external _putp
00000001a4506b98 (__TEXT,__text) external _putwin
00000001a4505d2c (__TEXT,__text) external _qiflush
00000001a4505b28 (__TEXT,__text) external _raw
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001a45153ac (__TEXT,__text) external _redrawwin
00000001a45153bc (__TEXT,__text) external _refresh
                 (undefined) external _remove (from libSystem)
00000001a450a23c (__TEXT,__text) external _reset_prog_mode
00000001a450a2b0 (__TEXT,__text) external _reset_shell_mode
00000001a450a394 (__TEXT,__text) external _resetty
00000001a450dbdc (__TEXT,__text) external _resize_term
00000001a450de70 (__TEXT,__text) external _resizeterm
00000001a450679c (__TEXT,__text) external _restartterm
00000001a4507b00 (__TEXT,__text) external _ripoffline
00000001a450a330 (__TEXT,__text) external _savetty
00000001a45068c0 (__TEXT,__text) external _scanw
00000001a4506cec (__TEXT,__text) external _scr_dump
00000001a4506d58 (__TEXT,__text) external _scr_init
00000001a4506c68 (__TEXT,__text) external _scr_restore
00000001a4506e04 (__TEXT,__text) external _scr_set
00000001a45153cc (__TEXT,__text) external _scrl
00000001a45153e0 (__TEXT,__text) external _scroll
00000001a450714c (__TEXT,__text) external _scrollok
                 (undefined) external _select (from libSystem)
