0000000182cbeea8 (__DATA,__data) non-external _C
0000000180b71ac4 (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180b71b3c (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180b71d34 (__TEXT,__text) non-external __UTF2_mbsinit
0000000180b71d50 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180b71c8c (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180b71ef0 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180b513c0 (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180b51438 (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180b516f4 (__TEXT,__text) non-external __UTF8_mbsinit
0000000180b51710 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180b51628 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180b518b0 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180b40230 (__TEXT,__text) external ___Balloc_D2A
0000000180b403cc (__TEXT,__text) external ___Bfree_D2A
0000000180b31040 (__TEXT,__text) external ____mb_cur_max
0000000180b3106c (__TEXT,__text) external ____mb_cur_max_l
0000000180b503c8 (__TEXT,__text) external ____runetype
0000000180b50330 (__TEXT,__text) external ____runetype_l
0000000180b512dc (__TEXT,__text) external ____tolower
0000000180b51240 (__TEXT,__text) external ____tolower_l
0000000180b5139c (__TEXT,__text) external ____toupper
0000000180b51300 (__TEXT,__text) external ____toupper_l
0000000180b8fc30 (__TEXT,__text) non-external (was a private external) ___abort
0000000180b3b00c (__TEXT,__text) external ___add_ovflpage
0000000180b3ad10 (__TEXT,__text) external ___addel
0000000180b40fc4 (__TEXT,__text) external ___any_on_D2A
0000000180b8ef24 (__TEXT,__text) external ___assert_rtn
0000000182ccb820 (__DATA,__bss) non-external ___atexit
0000000180b72328 (__TEXT,__text) non-external (was a private external) ___atexit_init
0000000182ccb828 (__DATA,__bss) non-external ___atexit_new_registration
0000000180b40b3c (__TEXT,__text) external ___b2d_D2A
0000000180b39648 (__TEXT,__text) external ___big_delete
0000000180b393ac (__TEXT,__text) external ___big_insert
0000000180b39ce4 (__TEXT,__text) external ___big_keydata
0000000180b3997c (__TEXT,__text) external ___big_return
0000000180b39e74 (__TEXT,__text) external ___big_split
0000000180b91668 (__TEXT,__const) external ___bigtens_D2A
0000000180b34144 (__TEXT,__text) external ___bt_close
0000000180b37ef8 (__TEXT,__text) external ___bt_cmp
0000000180b37fb4 (__TEXT,__text) external ___bt_defcmp
0000000180b37ff8 (__TEXT,__text) external ___bt_defpfx
0000000180b345d0 (__TEXT,__text) external ___bt_delete
0000000180b34c40 (__TEXT,__text) external ___bt_dleaf
0000000180b35a50 (__TEXT,__text) external ___bt_fd
0000000180b36aa8 (__TEXT,__text) non-external ___bt_first
0000000180b35e5c (__TEXT,__text) external ___bt_free
0000000180b352c0 (__TEXT,__text) external ___bt_get
0000000180b35e84 (__TEXT,__text) external ___bt_new
0000000180b353b4 (__TEXT,__text) external ___bt_open
0000000180b35018 (__TEXT,__text) non-external ___bt_pdelete
0000000180b342dc (__TEXT,__text) external ___bt_pgin
0000000180b34468 (__TEXT,__text) external ___bt_pgout
0000000180b35f00 (__TEXT,__text) external ___bt_put
0000000180b35230 (__TEXT,__text) non-external ___bt_relink
0000000180b37d54 (__TEXT,__text) external ___bt_ret
0000000180b36420 (__TEXT,__text) external ___bt_search
0000000180b36670 (__TEXT,__text) external ___bt_seq
0000000180b36a4c (__TEXT,__text) external ___bt_setcur
0000000180b36cc0 (__TEXT,__text) external ___bt_split
0000000180b348d0 (__TEXT,__text) non-external ___bt_stkacq
0000000180b34200 (__TEXT,__text) external ___bt_sync
0000000180b3a3e8 (__TEXT,__text) external ___buf_free
0000000180b3a3b8 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000182cbeeb0 (__DATA,__data) non-external ___c_locale
0000000180b81788 (__TEXT,__text) non-external ___calc_left_pad
0000000180b38f00 (__TEXT,__text) external ___call_hash
0000000182cbfd70 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180b8e014 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180b8e030 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180b41368 (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180b8e04c (__TEXT,__text) non-external (was a private external) ___chk_overlap
0000000182ccb990 (__DATA,__common) external ___cleanup
0000000180b40994 (__TEXT,__text) external ___cmp_D2A
0000000180b4c39c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180b4c56c (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180b4c6f0 (__TEXT,__text) external ___collate_equiv_match
0000000180b4d210 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180b4ca20 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
0000000180b8f690 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
0000000180b8f6bc (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
0000000180b4bb28 (__TEXT,__text) non-external (was a private external) ___collate_err
0000000182cbf568 (__DATA,__data) external ___collate_load_error
0000000180b4aeac (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000182cc0cb8 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180b4b330 (__TEXT,__text) non-external ___collate_load_tables_legacy
0000000180b4c0b8 (__TEXT,__text) external ___collate_lookup
0000000180b4bf0c (__TEXT,__text) external ___collate_lookup_l
0000000180b4c29c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180b4c198 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180b4cc4c (__TEXT,__text) non-external ___collate_pri_for
0000000180b8f6e8 (__TEXT,__text) non-external ___collate_pri_for.cold.1
0000000180b4d308 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000182cc0cc0 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000182cc0cc8 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180b296c8 (__TEXT,__text) non-external (was a private external) ___confstr_init
0000000180b33d68 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
0000000180b40f44 (__TEXT,__text) external ___copybits_D2A
0000000180b7ad6c (__TEXT,__text) non-external ___cvt
0000000182ccb898 (__DATA,__bss) non-external ___cvt.s
0000000180b72504 (__TEXT,__text) external ___cxa_atexit
0000000180b72818 (__TEXT,__text) external ___cxa_finalize
0000000180b72538 (__TEXT,__text) external ___cxa_finalize_ranges
0000000180b40c3c (__TEXT,__text) external ___d2b_D2A
0000000182ccb948 (__DATA,__common) non-external (was a private external) ___darwin_altzone
0000000180b38150 (__TEXT,__text) non-external ___dberr
0000000180b380f8 (__TEXT,__text) external ___dbpanic
0000000182ce5920 (__AUTH,__data) external ___default_hash
0000000180b3a5e8 (__TEXT,__text) external ___delpair
0000000180b50ac4 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
0000000180b409e4 (__TEXT,__text) external ___diff_D2A
0000000182cc0a10 (__DATA,__bss) non-external ___dirhelper_func
0000000180b3e200 (__TEXT,__text) external ___dtoa
0000000182ccb9b0 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180b72bc8 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
0000000182ccb82c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180b6f29c (__TEXT,__text) non-external (was a private external) ___errstr
0000000180b58fb4 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180b38d98 (__TEXT,__text) external ___expand_table
0000000182cc2748 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
0000000180b55548 (__TEXT,__text) external ___fflush
0000000180b55a90 (__TEXT,__text) external ___fgetwc
0000000180b59a28 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180b397b8 (__TEXT,__text) external ___find_bigpair
0000000180b398e4 (__TEXT,__text) external ___find_last_page
0000000180b5ab38 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180b72af4 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180b4d968 (__TEXT,__text) external ___fix_locale_grouping_str
0000000180b4da30 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180b569e8 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180b56fc8 (__TEXT,__text) external ___fread
0000000180b3b998 (__TEXT,__text) external ___free_ovflpage
0000000180b3e090 (__TEXT,__text) external ___freedtoa
0000000182cbfd74 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
0000000180b2a3f8 (__TEXT,__text) non-external ___fts_open
0000000180b3f020 (__TEXT,__text) external ___gdtoa
0000000182ccb8f8 (__DATA,__common) external ___gdtoa_locks
0000000180b3a014 (__TEXT,__text) external ___get_buf
0000000180b4e568 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180b4e9fc (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180b4ec70 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180b6e880 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180b508b0 (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180b3b400 (__TEXT,__text) external ___get_page
0000000180b4502c (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182cc2710 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000182cbe8e0 (__DATA,__data) non-external (was a private external) ___global_locale
0000000180b7206c (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180b38158 (__TEXT,__text) external ___hash_open
0000000180b3dc60 (__TEXT,__text) external ___hdtoa
0000000180b7b560 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180b405a8 (__TEXT,__text) external ___hi0bits_D2A
0000000180b3dfd8 (__TEXT,__text) external ___hldtoa
0000000180b40624 (__TEXT,__text) external ___i2b_D2A
0000000180b3b8c8 (__TEXT,__text) external ___ibitmap
0000000180b78768 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180b4fec0 (__TEXT,__text) external ___isctype
0000000180b4fe78 (__TEXT,__text) external ___istype
0000000180b50018 (__TEXT,__text) external ___istype_l
0000000182cbf4e1 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180b7b828 (__TEXT,__text) external ___ldtoa
0000000180b33318 (__TEXT,__text) external ___libc_init
0000000180b40444 (__TEXT,__text) external ___lo0bits_D2A
0000000180b59070 (__TEXT,__text) non-external ___loadevp
0000000182cbeea0 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180b3a5b8 (__TEXT,__text) external ___log2
0000000180b92390 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180b408a0 (__TEXT,__text) external ___lshift_D2A
0000000180b4fe14 (__TEXT,__text) external ___maskrune
0000000180b4ffac (__TEXT,__text) external ___maskrune_l
0000000180b40f00 (__TEXT,__text) external ___match_D2A
0000000182cbf63c (__DATA,__data) external ___mb_cur_max
0000000182cbf640 (__DATA,__data) external ___mb_sb_limit
0000000180b657e0 (__TEXT,__text) non-external ___mbsconv
0000000180b4f1a0 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
0000000180b8e280 (__TEXT,__text) external ___memccpy_chk
0000000180b8e5b0 (__TEXT,__text) external ___memcpy_chk
0000000180b8e1ec (__TEXT,__text) external ___memmove_chk
0000000180b8e090 (__TEXT,__text) external ___memset_chk
0000000180b4e34c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000182cc0cd0 (__DATA,__bss) non-external ___messages_load_locale.cache
0000000180b4e588 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182cc0ce0 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180b40654 (__TEXT,__text) external ___mult_D2A
0000000180b404f4 (__TEXT,__text) external ___multadd_D2A
0000000180b54cc8 (__TEXT,__text) non-external ___nls_free_resources
0000000180b91de9 (__TEXT,__const) non-external ___nogrouping
0000000180b3e038 (__TEXT,__text) external ___nrv_alloc_D2A
0000000180b30dc4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180b4ea1c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182cc0cf0 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180b50b6c (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180b45978 (__TEXT,__text) external ___opendir2
0000000180b45aa4 (__TEXT,__text) non-external ___opendir_common
0000000180b35d90 (__TEXT,__text) external ___ovfl_delete
0000000180b35ba8 (__TEXT,__text) external ___ovfl_get
0000000180b35c90 (__TEXT,__text) external ___ovfl_put
0000000180b62b64 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
0000000182cc2770 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
0000000182cc2768 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000182cbfa40 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180b4e09c (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
0000000182ccb918 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000182cbf4e8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
0000000180b40788 (__TEXT,__text) external ___pow5mult_D2A
0000000180b91658 (__TEXT,__const) non-external ___pow5mult_D2A.p05
0000000180b7e9f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180b8ffd0 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
0000000180b7ce0c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180b8fdf4 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
0000000180b7cf48 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
0000000180b8fe20 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
0000000180b7d94c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
0000000180b8fe78 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180b7dbfc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180b8fea4 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180b7f208 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
0000000180b90054 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180b7f1f0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
0000000180b7e3a0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
0000000180b8ff4c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
0000000180b7e45c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
0000000180b8ff78 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
0000000180b7e73c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180b8ffa4 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
0000000180b7eb88 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
0000000180b8fffc (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
0000000180b7ee84 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
0000000180b90028 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180b7f408 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180b7fb2c (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180b7efe4 (__TEXT,__text) non-external (was a private external) ___printf_flush
0000000180b5d93c (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180b7f13c (__TEXT,__text) non-external (was a private external) ___printf_out
0000000180b7f090 (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180b7f01c (__TEXT,__text) non-external (was a private external) ___printf_puts
0000000180b7ea3c (__TEXT,__text) non-external (was a private external) ___printf_render_chr
0000000180b7ce30 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
0000000180b7cf94 (__TEXT,__text) non-external (was a private external) ___printf_render_float
0000000180b8fe4c (__TEXT,__text) non-external ___printf_render_float.cold.1
0000000180b7d978 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180b7dc9c (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180b8fed0 (__TEXT,__text) non-external ___printf_render_int.cold.1
0000000180b8fefc (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180b7f22c (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180b7f1f8 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
0000000180b7e3d4 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
0000000180b7e480 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
0000000180b7e778 (__TEXT,__text) non-external (was a private external) ___printf_render_str
0000000180b7ebac (__TEXT,__text) non-external (was a private external) ___printf_render_time
0000000180b7eea8 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
0000000180b44b8c (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000182cc0b98 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180b3b5dc (__TEXT,__text) external ___put_page
0000000180b91eb8 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180b3e0a4 (__TEXT,__text) external ___quorem_D2A
0000000180b40e60 (__TEXT,__text) external ___ratio_D2A
0000000180b3c398 (__TEXT,__text) external ___rec_close
0000000180b3c694 (__TEXT,__text) external ___rec_delete
0000000180b3c7d8 (__TEXT,__text) external ___rec_dleaf
0000000180b3d1e0 (__TEXT,__text) external ___rec_fd
0000000180b3cc50 (__TEXT,__text) external ___rec_fmap
0000000180b3ca10 (__TEXT,__text) external ___rec_fpipe
0000000180b3c904 (__TEXT,__text) external ___rec_get
0000000180b3d4e4 (__TEXT,__text) external ___rec_iput
0000000180b3ce40 (__TEXT,__text) external ___rec_open
0000000180b3d238 (__TEXT,__text) external ___rec_put
0000000180b3daec (__TEXT,__text) external ___rec_ret
0000000180b3d734 (__TEXT,__text) external ___rec_search
0000000180b3d910 (__TEXT,__text) external ___rec_seq
0000000180b3c450 (__TEXT,__text) external ___rec_sync
0000000180b3cd64 (__TEXT,__text) external ___rec_vmap
0000000180b3cb28 (__TEXT,__text) external ___rec_vpipe
0000000180b3a4bc (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180b400f4 (__TEXT,__text) external ___rshift_D2A
0000000180b3dfdc (__TEXT,__text) external ___rv_alloc_D2A
0000000180b40d74 (__TEXT,__text) external ___s2b_D2A
0000000182ce5928 (__AUTH,__data) external ___sF
0000000182cbf730 (__DATA,__data) non-external ___sFX
0000000180b5c7e0 (__TEXT,__text) external ___sclose
0000000182cc0f18 (__DATA,__bss) non-external ___scounted
0000000182ccb930 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
0000000180b787e0 (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180b50c8c (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182cc0ec8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182cc0ed0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
0000000180b81844 (__TEXT,__text) non-external ___setup_vars
0000000180b56480 (__TEXT,__text) external ___sflags
0000000180b553d8 (__TEXT,__text) external ___sflush
0000000180b55f58 (__TEXT,__text) external ___sfp
0000000180b5631c (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180b57f74 (__TEXT,__text) external ___sfvwrite
0000000182cbf9d0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180b56150 (__TEXT,__text) external ___sinit
0000000180b555e0 (__TEXT,__text) external ___slbexpand
0000000180b58c34 (__TEXT,__text) external ___smakebuf
0000000180b8f828 (__TEXT,__text) non-external ___smakebuf.cold.1
0000000180b8e2e4 (__TEXT,__text) external ___snprintf_chk
0000000180b8e320 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180b3a758 (__TEXT,__text) external ___split_page
0000000180b65e6c (__TEXT,__text) non-external ___sprint
0000000180b8e4d4 (__TEXT,__text) external ___sprintf_chk
0000000180b8e544 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180b5c798 (__TEXT,__text) external ___sread
0000000180b5c0b8 (__TEXT,__text) external ___srefill
0000000180b5bea0 (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180b5c048 (__TEXT,__text) non-external (was a private external) ___srefill1
0000000180b5c208 (__TEXT,__text) external ___srget
0000000180b5c7d8 (__TEXT,__text) external ___sseek
0000000180b721d4 (__TEXT,__text) external ___stack_chk_fail
0000000182ccb950 (__DATA,__common) external ___stack_chk_guard
0000000182cc2738 (__DATA,__bss) non-external ___stderr_evp
0000000182cbf9b0 (__DATA,__data) external ___stderrp
0000000182cc2718 (__DATA,__bss) non-external ___stdin_evp
0000000182cbf9a0 (__DATA,__data) external ___stdinp
0000000180b41368 (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182cc2728 (__DATA,__bss) non-external ___stdout_evp
0000000182cbf9a8 (__DATA,__data) external ___stdoutp
0000000180b8e464 (__TEXT,__text) external ___stpcpy_chk
0000000180b8e5d8 (__TEXT,__text) external ___stpncpy_chk
0000000180b900fc (__TEXT,__text) non-external ___stpncpy_chk.cold.1
0000000180b8e364 (__TEXT,__text) external ___strcat_chk
0000000180b40d54 (__TEXT,__text) external ___strcp_D2A
0000000180b8e214 (__TEXT,__text) external ___strcpy_chk
0000000182ccb800 (__DATA,__bss) non-external ___strerror_ebuf
0000000180b8df3c (__TEXT,__text) external ___strlcat_chk
0000000180b8e0b8 (__TEXT,__text) external ___strlcpy_chk
0000000180b8e118 (__TEXT,__text) external ___strncat_chk
0000000180b8e1b8 (__TEXT,__text) external ___strncpy_chk
0000000180b90080 (__TEXT,__text) non-external ___strncpy_chk.cold.1
0000000180b41034 (__TEXT,__text) external ___sum_D2A
0000000180b62b38 (__TEXT,__text) external ___svfscanf
