00000001d85324a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d853191c (__TEXT,__text) non-external -[NFStateMachine state]
00000001d8531968 (__TEXT,__text) non-external -[NFStateMachine states]
00000001d85319a4 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001d853190c (__TEXT,__text) non-external -[NFStateMachine status]
00000001d85359ac (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001d8535798 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001d8535988 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001d853599c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001d8535888 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001d8535680 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001d85355ac (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001d85356c0 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001d8535964 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001d8535860 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001d8535990 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001d85359a4 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001d853596c (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001d853597c (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001d8535974 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001d8536710 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001d85366c0 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001d8536564 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001d8536700 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001d85366f0 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001d853644c (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001d85363d0 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001d853648c (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001d85366b0 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001d85365e8 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001d8536688 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001d8536638 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001d8536660 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001d8536610 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001d85366c8 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001d8536708 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001d85366f8 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001d85366b8 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001d85366e8 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001d85366d8 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001d85366e0 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001d85366d0 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001d8536784 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001d8536a68 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001d853698c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001d85368e0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001d8536834 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001d852f3c8 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001d852f3b4 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001d852f27c (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001d852f378 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001d852f38c (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001d852f158 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001d852f3bc (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001d852f380 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001d852f394 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001d852f36c (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001d852f3a8 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001d852f364 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001d852f3a0 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001d852f148 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001d852f150 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001d852f070 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001d852f0cc (__TEXT,__text) non-external -[NFUnfairLock init]
00000001d852f134 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001d852f0d4 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001d852f140 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001d85339e8 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001d853088c (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001d8531e00 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001d8534070 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001d8534170 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001d8531a18 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001d85375d8 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001d8537520 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001d853a120 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001d853a17c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001d853a198 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001d8530608 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001d85377e4 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d85381bc (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00000001ed788398 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001ed788390 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001d8537608 (__TEXT,__text) external _NFDeviceIsA7
00000001d8537610 (__TEXT,__text) external _NFDeviceIsA8
00000001d8537740 (__TEXT,__text) external _NFDeviceModelString
00000001d853770c (__TEXT,__text) external _NFDeviceOSVersion
00000001d8537618 (__TEXT,__text) external _NFDevicePlatform
00000001d85381a8 (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00000001ed788388 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001ed788380 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001d8537700 (__TEXT,__text) external _NFGeneralDeviceString
00000001d852ef80 (__TEXT,__text) external _NFInternalBuild
00000001d853782c (__TEXT,__text) non-external _NFInternalBuild.cold.1
00000001ed7883a8 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00000001ed7883a0 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001d8534e24 (__TEXT,__text) external _NFLockSync
00000001d8534244 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001d852efe0 (__TEXT,__text) external _NFSeedBuild
00000001e8a19060 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001d852efe8 (__TEXT,__text) external _NFStoreDemoMode
00000001d8537840 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00000001ed788378 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001ed7883a9 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001d8537774 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001d8539458 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001d8539418 (__TEXT,__const) external _NewsFoundationVersionString
00000001ed7882d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001ed788230 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001ed788208 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001ed7881e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001ed7882f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001ed7881b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001ed788258 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001ed788190 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001ed788168 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001ed788140 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001ed788118 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001ed7880f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001ed7880c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001ed7880a0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001ed788078 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001ed788050 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001ec527868 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001ec52786c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001ec527880 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001ec52787c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001ec527874 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001ec527870 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001ec527878 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001ec5278a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001ec5278a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001ec5278a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001ec527900 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001ec527904 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001ec527908 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._lock
00000001ec5278d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001ec52785c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001ec527864 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
