00007ffa445fc530 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa1ba7f548 (__TEXT,__text) external __newrpclib_svc_unregister
00007ffa1ba7fc6e (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffa1ba7fa16 (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffa1ba7f8ea (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffa1ba7fdad (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffa1ba7fed6 (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffa1ba7fce6 (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffa1ba7fa96 (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffa1ba7f96a (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffa1ba7fe2a (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffa1ba7ff68 (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffa1ba7fbc2 (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffa1ba7fd9e (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffa1ba7fb42 (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffa1ba7fd8f (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffa1ba7d58e (__TEXT,__text) external __newrpclib_svcfd_create
00007ffa1ba7c19c (__TEXT,__text) external __newrpclib_svcraw_create
00007ffa1ba7cdf5 (__TEXT,__text) external __newrpclib_svctcp_create
00007ffa1ba87660 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffa1ba8770e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffa1ba877a9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffa1ba87857 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffa1ba87905 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffa1ba879a0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffa1ba87a3b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffa1ba7e0b2 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffa1ba88c0d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffa1ba88cbb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffa1ba88d69 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffa1ba88e17 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffa1ba88ec5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffa1ba88f73 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffa1ba7e3f7 (__TEXT,__text) external __newrpclib_svcudp_create
00007ffa1ba82f22 (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffa1ba80562 (__TEXT,__text) external __newrpclib_xdr_array
00007ffa1ba8a03a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffa1ba769e0 (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffa1ba81dc3 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffa1ba81eeb (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffa1ba8a3a0 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffa1ba7bc4a (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffa1ba7b53a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffa1ba81d63 (__TEXT,__text) external __newrpclib_xdr_char
00007ffa1ba7bbd5 (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffa1ba80730 (__TEXT,__text) external __newrpclib_xdr_double
00007ffa1ba81e30 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffa1ba806dd (__TEXT,__text) external __newrpclib_xdr_float
00007ffa1ba819b3 (__TEXT,__text) external __newrpclib_xdr_free
00007ffa1ba82439 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffa1ba82411 (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffa1ba819e9 (__TEXT,__text) external __newrpclib_xdr_int
00007ffa1ba81c9b (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffa1ba81b11 (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffa1ba8226f (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffa1ba81aab (__TEXT,__text) external __newrpclib_xdr_long
00007ffa1ba82425 (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffa1ba84db3 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffa1ba820c1 (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffa1ba81e3a (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffa445fc540 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffa1ba7bb9c (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffa1ba83728 (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffa1ba838ed (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffa1ba83958 (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffa1ba837a6 (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffa1ba83786 (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffa1ba81656 (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffa1ba815a1 (__TEXT,__text) external __newrpclib_xdr_reference
00007ffa1ba8a2f2 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffa1ba7bbe4 (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffa1ba7a64c (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffa1ba7a72a (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffa1ba84377 (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffa1ba842fa (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffa1ba8458e (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffa1ba84610 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffa1ba84757 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffa1ba844de (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffa1ba84549 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffa1ba84cf3 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffa1ba84d8e (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffa1ba844be (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffa1ba84777 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffa1ba84cb3 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffa1ba84c8e (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffa1ba849cb (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffa1ba84cd3 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffa1ba81bd3 (__TEXT,__text) external __newrpclib_xdr_short
00007ffa1ba816bf (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffa1ba8215e (__TEXT,__text) external __newrpclib_xdr_string
00007ffa1ba8a4fc (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffa1ba81d93 (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffa1ba8241b (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffa1ba81a4a (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffa1ba81ade (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffa1ba8242f (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffa1ba81c37 (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffa1ba81cff (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffa1ba81b72 (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffa1ba82340 (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffa1ba820d7 (__TEXT,__text) external __newrpclib_xdr_union
00007ffa1ba8068b (__TEXT,__text) external __newrpclib_xdr_vector
00007ffa1ba819de (__TEXT,__text) external __newrpclib_xdr_void
00007ffa1ba82260 (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffa1ba807c6 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffa1ba80d32 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffa1ba8a0e8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffa1ba8a196 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffa1ba8a244 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffa1ba812b6 (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffa1ba8125a (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffa1ba81015 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffa1ba81864 (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffa1ba7ef02 (__TEXT,__text) external __newrpclib_xprt_register
00007ffa1ba7f14b (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffa1ba7c16c (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffa1ba7c00e (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffa1ba7be75 (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffa1ba7c669 (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffa1ba8702d (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffa1ba870b6 (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffa42584e10 (__DATA_CONST,__const) non-external _auth_errlist
00007ffa445fbf98 (__DATA,__data) non-external _auth_unix_ops
00007ffa1ba762da (__TEXT,__text) non-external _authnone_destroy
00007ffa1ba761c7 (__TEXT,__text) non-external _authnone_init
00007ffa1ba7629b (__TEXT,__text) non-external _authnone_marshal
00007ffa445fbf60 (__DATA,__data) non-external _authnone_once_init
00007ffa445fc4e8 (__DATA,__bss) non-external _authnone_private
00007ffa1ba762d2 (__TEXT,__text) non-external _authnone_refresh
00007ffa1ba762c7 (__TEXT,__text) non-external _authnone_validate
00007ffa1ba76295 (__TEXT,__text) non-external _authnone_verf
00007ffa1ba76998 (__TEXT,__text) non-external _authunix_destroy
00007ffa1ba767a1 (__TEXT,__text) non-external _authunix_marshal
00007ffa1ba7679b (__TEXT,__text) non-external _authunix_nextverf
00007ffa1ba76877 (__TEXT,__text) non-external _authunix_refresh
00007ffa1ba767c4 (__TEXT,__text) non-external _authunix_validate
00007ffa445fc098 (__DATA,__data) non-external _bcast
                 (undefined) external _bcmp (from libSystem)
                 (undefined) external _bind (from libSystem)
                 (undefined) external _bindresvport_sa (from libSystem)
00007ffa445fc4f8 (__DATA,__bss) non-external _buf
00007ffa1ba78154 (__TEXT,__text) non-external _bufdestroy
00007ffa1ba7aae4 (__TEXT,__text) non-external _build_callit_rpc
00007ffa445fc420 (__DATA,__data) non-external _cache_control_init
00007ffa1ba8350e (__TEXT,__text) non-external _cache_init
00007ffa1ba8a65a (__TEXT,__text) non-external _cache_init.cold.1
00007ffa445fc580 (__DATA,__bss) non-external _cache_rwlock
                 (undefined) external _calloc (from libSystem)
00007ffa445fc4e0 (__DATA,__bss) non-external _callrpc_private
00007ffa1ba79009 (__TEXT,__text) non-external _check_raddr
                 (undefined) external _chmod (from libSystem)
00007ffa445fbfe8 (__DATA,__data) non-external _client_ops
00007ffa1ba76d26 (__TEXT,__text) external _clnt_auth_set
00007ffa445fbfd8 (__DATA,__data) non-external _clnt_perror_once
00007ffa1ba77b5e (__TEXT,__text) non-external _clnt_sperror_r
00007ffa1ba78475 (__TEXT,__text) non-external _clntraw_abort
00007ffa1ba7828c (__TEXT,__text) non-external _clntraw_call
00007ffa1ba784b2 (__TEXT,__text) non-external _clntraw_control
00007ffa1ba784ac (__TEXT,__text) non-external _clntraw_destroy
00007ffa1ba78481 (__TEXT,__text) non-external _clntraw_freeres
00007ffa1ba7847b (__TEXT,__text) non-external _clntraw_geterr
00007ffa445fc500 (__DATA,__bss) non-external _clntraw_private
00007ffa1ba79627 (__TEXT,__text) non-external _clntstrm_abort
00007ffa1ba792ef (__TEXT,__text) non-external _clntstrm_call
00007ffa1ba796bf (__TEXT,__text) non-external _clntstrm_control
00007ffa1ba784ba (__TEXT,__text) external _clntstrm_create_timeout
00007ffa1ba865ba (__TEXT,__text) non-external _clntstrm_create_timeout.cold.1
00007ffa1ba86655 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.2
00007ffa1ba866ed (__TEXT,__text) non-external _clntstrm_create_timeout.cold.3
00007ffa1ba8678b (__TEXT,__text) non-external _clntstrm_create_timeout.cold.4
00007ffa1ba86823 (__TEXT,__text) non-external _clntstrm_create_timeout.cold.5
00007ffa1ba868be (__TEXT,__text) non-external _clntstrm_create_timeout.cold.6
00007ffa1ba8696c (__TEXT,__text) non-external _clntstrm_create_timeout.cold.7
00007ffa1ba7966c (__TEXT,__text) non-external _clntstrm_destroy
00007ffa1ba7964a (__TEXT,__text) non-external _clntstrm_freeres
00007ffa1ba7962d (__TEXT,__text) non-external _clntstrm_geterr
00007ffa1ba7903a (__TEXT,__text) external _clntticots_create
00007ffa1ba86a9b (__TEXT,__text) non-external _clntticots_create.cold.1
00007ffa1ba792e5 (__TEXT,__text) external _clntticots_create_timeout
00007ffa1ba78f89 (__TEXT,__text) external _clntticotsord_create
00007ffa1ba86a00 (__TEXT,__text) non-external _clntticotsord_create.cold.1
00007ffa1ba79260 (__TEXT,__text) external _clntticotsord_create_timeout
00007ffa1ba86d07 (__TEXT,__text) non-external _clntticotsord_create_timeout.cold.1
00007ffa1ba7a0f8 (__TEXT,__text) non-external _clntudp_abort
00007ffa1ba79c1e (__TEXT,__text) non-external _clntudp_call
00007ffa1ba7a187 (__TEXT,__text) non-external _clntudp_control
00007ffa1ba7a13d (__TEXT,__text) non-external _clntudp_destroy
00007ffa1ba7a11b (__TEXT,__text) non-external _clntudp_freeres
00007ffa1ba7a0fe (__TEXT,__text) non-external _clntudp_geterr
                 (undefined) external _close (from libSystem)
00007ffa1ba835ea (__TEXT,__text) non-external _compare_sa
00007ffa1ba8aad0 (__TEXT,__const) non-external _compare_sa.allones
00007ffa445fc668 (__DATA,__common) non-external (was a private external) _conncount
                 (undefined) external _connect (from libSystem)
00007ffa445fc408 (__DATA,__data) non-external _create_key_init
00007ffa1ba7f5e0 (__TEXT,__text) non-external _create_svc_req_key
00007ffa1ba824f4 (__TEXT,__text) non-external (was a private external) _cvt4to6
00007ffa1ba824a4 (__TEXT,__text) non-external (was a private external) _cvt6to4
00007ffa1ba8aab0 (__TEXT,__const) non-external _default_tottimeout
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ffa1ba81546 (__TEXT,__text) non-external _fill_input_buf
00007ffa1ba8130f (__TEXT,__text) non-external _flush_out
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa1ba7795a (__TEXT,__text) non-external _free_interface_list
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freehostent (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
00007ffa1ba83316 (__TEXT,__text) external _freenetconfigent
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ffa1ba8142c (__TEXT,__text) non-external _get_input_bytes
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getgroups (from libSystem)
00007ffa1ba8252b (__TEXT,__text) non-external (was a private external) _gethostaddr
                 (undefined) external _gethostbyname (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getipnodebyname (from libSystem)
00007ffa1ba8334d (__TEXT,__text) external _getnetconfigent
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid_r (from libSystem)
00007ffa1ba850b1 (__TEXT,__text) non-external _getrpcbind_handle
                 (undefined) external _getsockname (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
00007ffa1ba85440 (__TEXT,__text) non-external _handle_callerror
00007ffa1ba8185c (__TEXT,__text) non-external _harmless
00007ffa445fc550 (__DATA,__bss) non-external _if_addr_cache
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _in6addr_loopback (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
