0000000180482f1c (__TEXT,__text) external _OSAtomicAdd32
0000000180483188 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804831ac (__TEXT,__text) external _OSAtomicOr32
0000000180482fc4 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180483278 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804853d4 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180483200 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180483c24 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180483be4 (__TEXT,__text) external _OSAtomicTestAndSet
000000018048311c (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804853dc (__TEXT,__text) external _OSAtomicXor32
0000000180482fd0 (__TEXT,__text) external _OSAtomicXor32Barrier
00000001804853e8 (__TEXT,__text) external _OSAtomicXor32Orig
00000001804853f0 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180482f80 (__TEXT,__text) external _OSMemoryBarrier
0000000180482d78 (__TEXT,__text) external _OSSpinLockLock
00000001804830e4 (__TEXT,__text) external _OSSpinLockTry
0000000180482d94 (__TEXT,__text) external _OSSpinLockUnlock
0000000180486610 (__TEXT,__const) non-external _UUID_NULL
0000000180486620 (__TEXT,__const) non-external __0x
000000018048671d (__TEXT,__cstring) non-external __H
0000000180485420 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001804853f8 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180483060 (__TEXT,__text) external __OSSpinLockLockSlow
0000000180484d08 (__TEXT,__text) non-external __OSSpinLockLockYield
00000001804826e0 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001e9dcd878 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
00000001804824f0 (__TEXT,__text) external ___libplatform_init
0000000180483c98 (__TEXT,__text) external ___os_log_simple_offset
0000000180485080 (__TEXT,__text) external ___os_once_reset
0000000180482540 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180486600 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
00000001804865c8 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180482078 (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
00000001804832b0 (__TEXT,__text) non-external ___simple_bprintf
00000001804854d0 (__TEXT,__text) external ___sme_memchr
00000001804855a0 (__TEXT,__text) external ___sme_memcpy
0000000180485684 (__TEXT,__text) external ___sme_memmove
0000000180485a58 (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180485bb0 (__TEXT,__text) external __ctx_done
0000000180485e94 (__TEXT,__text) non-external (was a private external) __ctx_start
00000001804845ac (__TEXT,__text) non-external __enlarge
0000000180485f94 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180484504 (__TEXT,__text) non-external __flush
000000018048447c (__TEXT,__text) non-external __flush_reset
000000018048672e (__TEXT,__cstring) non-external __h
0000000180480e7c (__TEXT,__text) external __longjmp
0000000180480384 (__TEXT,__text) non-external __os_alloc
00000001804861c8 (__TEXT,__text) non-external __os_alloc.cold.1
00000001e9dcd870 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180480338 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804828bc (__TEXT,__text) non-external __os_alloc_slow
0000000180485fe4 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180482e08 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180482e44 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180483168 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180482e38 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
000000018048501c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180485040 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180485060 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180486130 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180482f54 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180484dec (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180482f74 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180486628 (__TEXT,__const) non-external __os_lock_type_base
00000001eacff2f0 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001eacff310 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001eacff350 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001eacff2f0 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001eacff2f0 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001eacff330 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180482f28 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180484fdc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180484ffc (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180483f2c (__TEXT,__text) external __os_log_simple
0000000180484124 (__TEXT,__text) external __os_log_simple_parse
00000001804840f4 (__TEXT,__text) external __os_log_simple_parse_identifiers
0000000180484088 (__TEXT,__text) external __os_log_simple_parse_message
000000018048404c (__TEXT,__text) external __os_log_simple_parse_subsystem
00000001804840b8 (__TEXT,__text) external __os_log_simple_parse_timestamp
0000000180484014 (__TEXT,__text) external __os_log_simple_parse_type
0000000180484260 (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000180485f6c (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
0000000180483db4 (__TEXT,__text) external __os_log_simple_send
0000000180483fec (__TEXT,__text) external __os_log_simple_shim
0000000180480d44 (__TEXT,__text) external __os_nospin_lock_lock
0000000180482324 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180480d80 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180480d64 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180482420 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
00000001804801c0 (__TEXT,__text) external __os_once
0000000180480220 (__TEXT,__text) non-external __os_once_callout
0000000180482278 (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180486108 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
00000001804860b8 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
00000001804860e0 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
00000001804820e8 (__TEXT,__text) non-external __os_once_gate_wait
0000000180481ff8 (__TEXT,__text) external __os_semaphore_create
00000001804861f0 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180486218 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180482048 (__TEXT,__text) external __os_semaphore_dispose
0000000180486240 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180482fe8 (__TEXT,__text) external __os_semaphore_signal
0000000180486268 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180483008 (__TEXT,__text) external __os_semaphore_wait
0000000180486290 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
000000018048605c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
00000001804809f8 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
000000018048600c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180484e2c (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180480b6c (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180486034 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
00000001804826e0 (__TEXT,__text) external __platform_bzero
0000000180485448 (__TEXT,__text) external __platform_memccpy
00000001804804a0 (__TEXT,__text) external __platform_memchr
00000001804805b0 (__TEXT,__text) external __platform_memcmp
00000001804859a0 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180482a10 (__TEXT,__text) external __platform_memmove
0000000180482740 (__TEXT,__text) external __platform_memset
0000000180480800 (__TEXT,__text) external __platform_memset_pattern16
00000001804807c0 (__TEXT,__text) external __platform_memset_pattern4
00000001804807e0 (__TEXT,__text) external __platform_memset_pattern8
0000000180482d00 (__TEXT,__text) external __platform_strchr
0000000180480000 (__TEXT,__text) external __platform_strcmp
0000000180485790 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
000000018048043c (__TEXT,__text) external __platform_strcpy
00000001eacff268 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180480f68 (__TEXT,__text) external __platform_strlcat
000000018048072c (__TEXT,__text) external __platform_strlcpy
0000000180480160 (__TEXT,__text) external __platform_strlen
0000000180480080 (__TEXT,__text) external __platform_strncmp
0000000180485890 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180480ca0 (__TEXT,__text) external __platform_strncpy
00000001804800c0 (__TEXT,__text) external __platform_strnlen
0000000180480c18 (__TEXT,__text) external __platform_strstr
0000000180485e00 (__TEXT,__text) non-external (was a private external) __setcontext
0000000180480e1c (__TEXT,__text) external __setjmp
0000000180482dac (__TEXT,__text) non-external (was a private external) __sigtramp
000000018048325c (__TEXT,__text) non-external (was a private external) __sigunaltstack
00000001804842d8 (__TEXT,__text) non-external __simple_asl_connect
0000000180481d68 (__TEXT,__text) non-external __simple_asl_connect_once
0000000180481a30 (__TEXT,__text) non-external __simple_asl_escape_key
0000000180481aa4 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180484388 (__TEXT,__text) external __simple_asl_get_fd
0000000180482814 (__TEXT,__text) non-external (was a private external) __simple_asl_init
00000001804829f4 (__TEXT,__text) non-external __simple_asl_init_context
00000001804817ac (__TEXT,__text) external __simple_asl_log
0000000180481830 (__TEXT,__text) external __simple_asl_log_prog
0000000180481870 (__TEXT,__text) external __simple_asl_msg_new
00000001804818bc (__TEXT,__text) external __simple_asl_msg_set
0000000180481ba0 (__TEXT,__text) external __simple_asl_send
0000000180484580 (__TEXT,__text) external __simple_dprintf
0000000180483b14 (__TEXT,__text) external __simple_esappend
0000000180481a00 (__TEXT,__text) external __simple_esprintf
000000018048262c (__TEXT,__text) external __simple_getenv
00000001804846ec (__TEXT,__text) external __simple_put
00000001804846f4 (__TEXT,__text) external __simple_putline
0000000180481000 (__TEXT,__text) external __simple_salloc
0000000180481b04 (__TEXT,__text) external __simple_sappend
0000000180481420 (__TEXT,__text) external __simple_sfree
00000001804810ac (__TEXT,__text) external __simple_sprintf
0000000180481b6c (__TEXT,__text) external __simple_sresize
0000000180481410 (__TEXT,__text) external __simple_string
0000000180484420 (__TEXT,__text) external __simple_vdprintf
0000000180483294 (__TEXT,__text) external __simple_vesprintf
0000000180481084 (__TEXT,__text) external __simple_vsprintf
0000000180482d78 (__TEXT,__text) external __spin_lock
0000000180484dd4 (__TEXT,__text) external __spin_lock_try
0000000180482d94 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001e9dcd868 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
0000000180484ce0 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804814b4 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
00000001804802e8 (__TEXT,__text) external _ffs
0000000180480300 (__TEXT,__text) external _ffsl
0000000180480300 (__TEXT,__text) external _ffsll
0000000180480318 (__TEXT,__text) external _fls
0000000180480328 (__TEXT,__text) external _flsl
0000000180480328 (__TEXT,__text) external _flsll
00000001e79851b8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180485ec4 (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
00000001804810e4 (__TEXT,__text) non-external _hex
0000000180480f2c (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180485bd8 (__TEXT,__text) external _makecontext
0000000180485444 (__TEXT,__text) non-external (was a private external) _memset
000000018048473c (__TEXT,__text) non-external _oct
0000000180482dfc (__TEXT,__text) external _os_lock_lock
000000018048315c (__TEXT,__text) external _os_lock_trylock
0000000180482e2c (__TEXT,__text) external _os_lock_unlock
0000000180483c74 (__TEXT,__text) external _os_log_simple_now
0000000180483c78 (__TEXT,__text) external _os_log_simple_type_from_asl
0000000180486608 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
0000000180485234 (__TEXT,__text) external _os_sync_wait_on_address
000000018048509c (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180485194 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
000000018048534c (__TEXT,__text) external _os_sync_wake_by_address_all
00000001804852c4 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180480980 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180486180 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
00000001804802b8 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180486158 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180480290 (__TEXT,__text) external _os_unfair_lock_lock
0000000180484f24 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180484f58 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
000000018047ff80 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180480d28 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180484e08 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
000000018047ffa4 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180484f44 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
000000018047ffc0 (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180484f7c (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180481fb4 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180480d9c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180480014 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180484f98 (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
00000001804861a8 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180485cfc (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180485d98 (__TEXT,__text) external _setcontext
0000000180480eec (__TEXT,__text) external _setjmp
0000000180480f20 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180480ee0 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
0000000180482d78 (__TEXT,__text) external _spin_lock
0000000180484dd4 (__TEXT,__text) external _spin_lock_try
0000000180482d94 (__TEXT,__text) external _spin_unlock
0000000180485b1c (__TEXT,__text) external _swapcontext
0000000180484c00 (__TEXT,__text) external _sys_cache_control
0000000180484d00 (__TEXT,__text) external _sys_dcache_flush
0000000180484c4c (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180485f4c (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180485f60 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180481dd4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
00000001804848f8 (__TEXT,__text) non-external _ydec
