00000001d7209858 (__DATA,__common) external _BC
00000001a4523920 (__TEXT,__text) external __nc_init_entry
00000001a4529fc4 (__TEXT,__text) external __nc_init_keytry
00000001a45393a4 (__TEXT,__text) external __nc_init_wacs
00000001a452f654 (__TEXT,__text) external __nc_insert_ch
00000001a4523774 (__TEXT,__text) external __nc_is_abs_path
00000001a4526314 (__TEXT,__text) external __nc_is_charable
00000001a4520e18 (__TEXT,__text) external __nc_is_dir_path
00000001a4523788 (__TEXT,__text) external __nc_is_file_path
00000001a4528dac (__TEXT,__text) external __nc_keep_tic_dir
00000001a4541cd0 (__TEXT,__text) external __nc_keyname
00000001a4532bd4 (__TEXT,__text) external __nc_keypad
00000001a4521804 (__TEXT,__text) external __nc_last_db
00000001a45290c4 (__TEXT,__text) external __nc_leaks_tinfo
00000001a4535be4 (__TEXT,__text) external __nc_locale_breaks_acs
00000001a4529c90 (__TEXT,__text) external __nc_make_oldhash
00000001a453272c (__TEXT,__text) external __nc_makenew
00000001a4523e78 (__TEXT,__text) external __nc_merge_entry
00000001a4530abc (__TEXT,__text) external __nc_msec_cost
00000001a4530ce4 (__TEXT,__text) external __nc_mvcur_init
00000001a4530c30 (__TEXT,__text) external __nc_mvcur_resume
00000001a453127c (__TEXT,__text) external __nc_mvcur_wrap
00000001a4539acc (__TEXT,__text) external __nc_name_match
00000001a4520b6c (__TEXT,__text) external __nc_next_db
00000001d7209868 (__DATA,__common) external __nc_nulls_sent
00000001d72094f8 (__DATA,__common) external __nc_oldnums
00000001a45218b8 (__TEXT,__text) external __nc_ospeed
00000001a4537914 (__TEXT,__text) external __nc_outch
00000001a4539b94 (__TEXT,__text) external __nc_panelhook
00000001a4528884 (__TEXT,__text) external __nc_panic_mode
00000001a4539bb0 (__TEXT,__text) external __nc_parse_entry
00000001a4520b38 (__TEXT,__text) external __nc_pathlast
00000001d7208fa0 (__DATA,__data) external __nc_prescreen
00000001a453c0bc (__TEXT,__text) external __nc_printf_string
00000001d7209738 (__DATA,__common) external __nc_progname
00000001a4528d04 (__TEXT,__text) external __nc_push_token
00000001a45209ec (__TEXT,__text) external __nc_read_entry
00000001a4527698 (__TEXT,__text) external __nc_read_entry_source
00000001a4520e70 (__TEXT,__text) external __nc_read_file_entry
00000001a453b668 (__TEXT,__text) external __nc_read_termcap_entry
00000001a452104c (__TEXT,__text) external __nc_read_termtype
00000001a453c460 (__TEXT,__text) external __nc_remove_key
00000001a453c4e4 (__TEXT,__text) external __nc_remove_string
00000001a452a7e8 (__TEXT,__text) external __nc_render
00000001a452ca04 (__TEXT,__text) external __nc_reset_colors
00000001a4527c98 (__TEXT,__text) external __nc_reset_input
00000001a4527c90 (__TEXT,__text) external __nc_resolve_uses
00000001a4527830 (__TEXT,__text) external __nc_resolve_uses2
00000001a4535a1c (__TEXT,__text) external __nc_ripoffline
00000001a4523678 (__TEXT,__text) external __nc_rootname
00000001a453c2b8 (__TEXT,__text) external __nc_safe_strcat
00000001a453c330 (__TEXT,__text) external __nc_safe_strcpy
00000001a4523a7c (__TEXT,__text) external __nc_save_str
00000001d7209728 (__DATA,__common) external __nc_screen_chain
00000001a453f5f4 (__TEXT,__text) external __nc_screen_init
00000001a4532a08 (__TEXT,__text) external __nc_screen_of
00000001a453ce30 (__TEXT,__text) external __nc_screen_resume
00000001a453f5f8 (__TEXT,__text) external __nc_screen_wrap
00000001a4529d00 (__TEXT,__text) external __nc_scroll_oldhash
00000001a452917c (__TEXT,__text) external __nc_scroll_optimize
00000001a4534dd8 (__TEXT,__text) external __nc_scroll_window
00000001a453e498 (__TEXT,__text) external __nc_scrolln
00000001a453c1a8 (__TEXT,__text) external __nc_set_buffer
00000001a4523574 (__TEXT,__text) external __nc_set_no_padding
00000001a4526560 (__TEXT,__text) external __nc_set_source
00000001a4538060 (__TEXT,__text) external __nc_set_tty_mode
00000001a4526570 (__TEXT,__text) external __nc_set_type
00000001a4540be4 (__TEXT,__text) external __nc_set_writedir
00000001a4535434 (__TEXT,__text) external __nc_setupscreen
00000001a45205e4 (__TEXT,__text) external __nc_setupterm
00000001a4537c2c (__TEXT,__text) external __nc_signal_handler
00000001a4535d08 (__TEXT,__text) external __nc_slk_initialize
00000001d72094c0 (__DATA,__common) external __nc_start_line
00000001a453c2ac (__TEXT,__text) external __nc_str_copy
00000001a453c27c (__TEXT,__text) external __nc_str_init
00000001a453c298 (__TEXT,__text) external __nc_str_null
00000001d7209490 (__DATA,__common) external __nc_suppress_warnings
00000001a4539524 (__TEXT,__text) external __nc_synchook
00000001d72094a0 (__DATA,__common) external __nc_syntax
00000001a45267a4 (__TEXT,__text) external __nc_syserr_abort
00000001d72094f0 (__DATA,__common) external __nc_tail
00000001a4528d50 (__TEXT,__text) external __nc_tic_dir
00000001a45267f8 (__TEXT,__text) external __nc_tic_expand
00000001a4541bac (__TEXT,__text) external __nc_tic_written
00000001a4538368 (__TEXT,__text) external __nc_timed_wait
00000001a4549eec (__TEXT,__const) external __nc_tinfo_fkeys
00000001a4526340 (__TEXT,__text) external __nc_to_char
00000001a4526344 (__TEXT,__text) external __nc_to_widechar
00000001a452325c (__TEXT,__text) external __nc_tparm_analyze
00000001d7209860 (__DATA,__common) external __nc_tparm_err
00000001d7209878 (__DATA,__common) external __nc_tracing
00000001a45288b8 (__TEXT,__text) external __nc_trans_string
00000001a4521b38 (__TEXT,__text) external __nc_trim_sgr0
00000001a454035c (__TEXT,__text) external __nc_unctrl
00000001a45387cc (__TEXT,__text) external __nc_ungetch
00000001a4535bb4 (__TEXT,__text) external __nc_unicode_locale
00000001a4535b2c (__TEXT,__text) external __nc_update_screensize
00000001d7208e6d (__DATA,__data) external __nc_user_definable
00000001a45406b4 (__TEXT,__text) external __nc_visbuf
00000001a454049c (__TEXT,__text) external __nc_visbuf2
00000001a45406c4 (__TEXT,__text) external __nc_visbufn
00000001d7209870 (__DATA,__common) external __nc_wacs
00000001a452a9e4 (__TEXT,__text) external __nc_waddch_nosync
00000001a4526604 (__TEXT,__text) external __nc_warning
00000001a452b5ec (__TEXT,__text) external __nc_wchstrlen
00000001a4538620 (__TEXT,__text) external __nc_wcrtomb
00000001a452e378 (__TEXT,__text) external __nc_wgetch
00000001a4523b18 (__TEXT,__text) external __nc_wrap_entry
00000001a4540e1c (__TEXT,__text) external __nc_write_entry
                 (undefined) external _access (from libSystem)
00000001d7209500 (__DATA,__common) external _acs_map
00000001a454369c (__TEXT,__text) external _add_wch
00000001a45436b0 (__TEXT,__text) external _add_wchnstr
00000001a45436c8 (__TEXT,__text) external _add_wchstr
00000001a4541f8c (__TEXT,__text) external _addch
00000001a4541fa0 (__TEXT,__text) external _addchnstr
00000001a4541fb8 (__TEXT,__text) external _addchstr
00000001a4541fd0 (__TEXT,__text) external _addnstr
00000001a45436e0 (__TEXT,__text) external _addnwstr
00000001a4541fe8 (__TEXT,__text) external _addstr
00000001a45436f8 (__TEXT,__text) external _addwstr
00000001a452d920 (__TEXT,__text) external _assume_default_colors
                 (undefined) external _atoi (from libSystem)
00000001a4542044 (__TEXT,__text) external _attr_get
00000001a4542074 (__TEXT,__text) external _attr_off
00000001a454208c (__TEXT,__text) external _attr_on
00000001a45420a4 (__TEXT,__text) external _attr_set
00000001a4542000 (__TEXT,__text) external _attroff
00000001a4542018 (__TEXT,__text) external _attron
00000001a4542030 (__TEXT,__text) external _attrset
00000001a45235c0 (__TEXT,__text) external _baudrate
00000001a452ba50 (__TEXT,__text) external _beep
00000001a45420c4 (__TEXT,__text) external _bkgd
00000001a45420d8 (__TEXT,__text) external _bkgdset
00000001a4543710 (__TEXT,__text) external _bkgrnd
00000001a4543724 (__TEXT,__text) external _bkgrndset
00000001d2f4a4f0 (__DATA_CONST,__const) external _boolcodes
00000001d2f4b5f8 (__DATA_CONST,__const) external _boolfnames
00000001d2f4b490 (__DATA_CONST,__const) external _boolnames
00000001a45420ec (__TEXT,__text) external _border
00000001a4543738 (__TEXT,__text) external _border_set
00000001a454213c (__TEXT,__text) external _box
00000001a4543788 (__TEXT,__text) external _box_set
                 (undefined) external _btowc (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001a452d2ec (__TEXT,__text) external _can_change_color
00000001a4533b9c (__TEXT,__text) external _cbreak
                 (undefined) external _cfgetospeed (from libSystem)
                 (undefined) external _chdir (from libSystem)
00000001a4542178 (__TEXT,__text) external _chgat
00000001a4542198 (__TEXT,__text) external _clear
                 (undefined) external _clearerr (from libSystem)
00000001a452c830 (__TEXT,__text) external _clearok
                 (undefined) external _close (from libSystem)
00000001a45421a8 (__TEXT,__text) external _clrtobot
00000001a45421b8 (__TEXT,__text) external _clrtoeol
00000001a452d370 (__TEXT,__text) external _color_content
00000001a45421c8 (__TEXT,__text) external _color_set
00000001a4532f00 (__TEXT,__text) external _copywin
00000001d7209708 (__DATA,__common) external _cur_term
00000001a4532cb0 (__TEXT,__text) external _curs_set
00000001d7209718 (__DATA,__common) external _curscr
00000001a4540490 (__TEXT,__text) external _curses_version
00000001a453815c (__TEXT,__text) external _def_prog_mode
00000001a45380f0 (__TEXT,__text) external _def_shell_mode
00000001a4528ef4 (__TEXT,__text) external _define_key
00000001a452d6fc (__TEXT,__text) external _del_curterm
00000001a45377cc (__TEXT,__text) external _delay_output
00000001a45421e8 (__TEXT,__text) external _delch
00000001a45421f8 (__TEXT,__text) external _deleteln
00000001a45351e4 (__TEXT,__text) external _delscreen
00000001a452d83c (__TEXT,__text) external _delwin
00000001a45328e4 (__TEXT,__text) external _derwin
00000001a453c824 (__TEXT,__text) external _doupdate
00000001a4539838 (__TEXT,__text) external _dupwin
00000001a452da1c (__TEXT,__text) external _echo
00000001a45437c4 (__TEXT,__text) external _echo_wchar
00000001a454220c (__TEXT,__text) external _echochar
00000001a452da50 (__TEXT,__text) external _endwin
00000001a4542220 (__TEXT,__text) external _erase
00000001a452fdb8 (__TEXT,__text) external _erasechar
00000001a452dbc8 (__TEXT,__text) external _erasewchar
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001a4532170 (__TEXT,__text) external _filter
00000001a452dc38 (__TEXT,__text) external _flash
00000001a452fe00 (__TEXT,__text) external _flushinp
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001a45437d8 (__TEXT,__text) external _get_wch
00000001a45437ec (__TEXT,__text) external _get_wstr
00000001a454355c (__TEXT,__text) external _getattrs
00000001a4543590 (__TEXT,__text) external _getbegx
00000001a45435a4 (__TEXT,__text) external _getbegy
00000001a4542230 (__TEXT,__text) external _getbkgd
00000001a4543804 (__TEXT,__text) external _getbkgrnd
00000001a452c68c (__TEXT,__text) external _getcchar
00000001a4542238 (__TEXT,__text) external _getch
00000001a4543568 (__TEXT,__text) external _getcurx
00000001a454357c (__TEXT,__text) external _getcury
                 (undefined) external _getcwd (from libSystem)
                 (undefined) external _getenv (from libSystem)
00000001a45435b8 (__TEXT,__text) external _getmaxx
00000001a45435d0 (__TEXT,__text) external _getmaxy
00000001a452ff58 (__TEXT,__text) external _getmouse
00000001a4543828 (__TEXT,__text) external _getn_wstr
00000001a4542248 (__TEXT,__text) external _getnstr
00000001a45435e8 (__TEXT,__text) external _getparx
00000001a45435fc (__TEXT,__text) external _getpary
                 (undefined) external _getpgrp (from libSystem)
                 (undefined) external _getpid (from libSystem)
00000001a4542260 (__TEXT,__text) external _getstr
                 (undefined) external _gettimeofday (from libSystem)
00000001a4534950 (__TEXT,__text) external _getwin
00000001a4532b14 (__TEXT,__text) external _halfdelay
00000001a452d30c (__TEXT,__text) external _has_colors
00000001a452ee48 (__TEXT,__text) external _has_ic
00000001a452eea4 (__TEXT,__text) external _has_il
00000001a4532d74 (__TEXT,__text) external _has_key
00000001a4542278 (__TEXT,__text) external _hline
00000001a4543840 (__TEXT,__text) external _hline_set
00000001a4532ac8 (__TEXT,__text) external _idcok
00000001a4532a48 (__TEXT,__text) external _idlok
00000001a452f174 (__TEXT,__text) external _immedok
00000001a4543858 (__TEXT,__text) external _in_wch
00000001a454386c (__TEXT,__text) external _in_wchnstr
00000001a4543884 (__TEXT,__text) external _in_wchstr
00000001a4542290 (__TEXT,__text) external _inch
00000001a45422a0 (__TEXT,__text) external _inchnstr
00000001a45422b8 (__TEXT,__text) external _inchstr
00000001a452d0d8 (__TEXT,__text) external _init_color
00000001a452cdb4 (__TEXT,__text) external _init_pair
00000001a452f2f0 (__TEXT,__text) external _initscr
00000001a45422d0 (__TEXT,__text) external _innstr
00000001a454389c (__TEXT,__text) external _innwstr
00000001a45438b4 (__TEXT,__text) external _ins_nwstr
00000001a45438cc (__TEXT,__text) external _ins_wch
00000001a45438e0 (__TEXT,__text) external _ins_wstr
00000001a45422e8 (__TEXT,__text) external _insch
00000001a45422fc (__TEXT,__text) external _insdelln
00000001a4542310 (__TEXT,__text) external _insertln
00000001a4542324 (__TEXT,__text) external _insnstr
00000001a454233c (__TEXT,__text) external _insstr
00000001a4542354 (__TEXT,__text) external _instr
00000001a4534004 (__TEXT,__text) external _intrflush
00000001a45438f8 (__TEXT,__text) external _inwstr
                 (undefined) external _ioctl (from libSystem)
00000001a454361c (__TEXT,__text) external _is_cleared
00000001a4543624 (__TEXT,__text) external _is_idcok
00000001a454362c (__TEXT,__text) external _is_idlok
00000001a4543634 (__TEXT,__text) external _is_immedok
00000001a454363c (__TEXT,__text) external _is_keypad
00000001a4543644 (__TEXT,__text) external _is_leaveok
00000001a4537560 (__TEXT,__text) external _is_linetouched
00000001a454364c (__TEXT,__text) external _is_nodelay
00000001a454365c (__TEXT,__text) external _is_notimeout
00000001a4543664 (__TEXT,__text) external _is_scrollok
00000001a454366c (__TEXT,__text) external _is_syncok
00000001a453bb74 (__TEXT,__text) external _is_term_resized
00000001a453759c (__TEXT,__text) external _is_wintouched
                 (undefined) external _isatty (from libSystem)
00000001a452fd90 (__TEXT,__text) external _isendwin
00000001a452a0a8 (__TEXT,__text) external _key_defined
00000001a452fe60 (__TEXT,__text) external _key_name
00000001a452a164 (__TEXT,__text) external _keybound
00000001a4541f78 (__TEXT,__text) external _keyname
00000001a452a1b4 (__TEXT,__text) external _keyok
00000001a4532bb4 (__TEXT,__text) external _keypad
                 (undefined) external _kill (from libSystem)
00000001a452fddc (__TEXT,__text) external _killchar
00000001a452dc00 (__TEXT,__text) external _killwchar
00000001a452fee0 (__TEXT,__text) external _leaveok
                 (undefined) external _link (from libSystem)
00000001a452fefc (__TEXT,__text) external _longname
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mblen (from libSystem)
                 (undefined) external _mbrtowc (from libSystem)
                 (undefined) external _mbtowc (from libSystem)
00000001a45337cc (__TEXT,__text) external _mcprint
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001a4532c58 (__TEXT,__text) external _meta
                 (undefined) external _mkdir (from libSystem)
00000001a45447bc (__TEXT,__text) external _mouse_trafo
00000001a4530324 (__TEXT,__text) external _mouseinterval
00000001a4530010 (__TEXT,__text) external _mousemask
00000001a454236c (__TEXT,__text) external _move
00000001a454390c (__TEXT,__text) external _mvadd_wch
00000001a4543970 (__TEXT,__text) external _mvadd_wchnstr
00000001a45439e8 (__TEXT,__text) external _mvadd_wchstr
00000001a4542384 (__TEXT,__text) external _mvaddch
00000001a45423e8 (__TEXT,__text) external _mvaddchnstr
00000001a4542460 (__TEXT,__text) external _mvaddchstr
00000001a45424c8 (__TEXT,__text) external _mvaddnstr
00000001a4543a50 (__TEXT,__text) external _mvaddnwstr
00000001a4542540 (__TEXT,__text) external _mvaddstr
00000001a4543ac8 (__TEXT,__text) external _mvaddwstr
00000001a45425a8 (__TEXT,__text) external _mvchgat
00000001a453130c (__TEXT,__text) external _mvcur
00000001a454263c (__TEXT,__text) external _mvdelch
00000001a453961c (__TEXT,__text) external _mvderwin
00000001a4543b30 (__TEXT,__text) external _mvget_wch
00000001a4543b94 (__TEXT,__text) external _mvget_wstr
00000001a4542698 (__TEXT,__text) external _mvgetch
00000001a4543bfc (__TEXT,__text) external _mvgetn_wstr
00000001a45426f4 (__TEXT,__text) external _mvgetnstr
00000001a454276c (__TEXT,__text) external _mvgetstr
00000001a45427d4 (__TEXT,__text) external _mvhline
00000001a4543c74 (__TEXT,__text) external _mvhline_set
00000001a4543cec (__TEXT,__text) external _mvin_wch
00000001a4543d50 (__TEXT,__text) external _mvin_wchnstr
00000001a4543dc8 (__TEXT,__text) external _mvin_wchstr
00000001a454284c (__TEXT,__text) external _mvinch
00000001a45428a8 (__TEXT,__text) external _mvinchnstr
00000001a4542920 (__TEXT,__text) external _mvinchstr
00000001a4542988 (__TEXT,__text) external _mvinnstr
00000001a4543e30 (__TEXT,__text) external _mvinnwstr
00000001a4543ea8 (__TEXT,__text) external _mvins_nwstr
00000001a4543f20 (__TEXT,__text) external _mvins_wch
00000001a4543f84 (__TEXT,__text) external _mvins_wstr
00000001a4542a00 (__TEXT,__text) external _mvinsch
00000001a4542a64 (__TEXT,__text) external _mvinsnstr
00000001a4542adc (__TEXT,__text) external _mvinsstr
00000001a4542b44 (__TEXT,__text) external _mvinstr
00000001a4543fec (__TEXT,__text) external _mvinwstr
00000001a45339e0 (__TEXT,__text) external _mvprintw
00000001a4534898 (__TEXT,__text) external _mvscanw
00000001a4542bac (__TEXT,__text) external _mvvline
00000001a4544050 (__TEXT,__text) external _mvvline_set
00000001a45440c8 (__TEXT,__text) external _mvwadd_wch
00000001a454411c (__TEXT,__text) external _mvwadd_wchnstr
00000001a4544184 (__TEXT,__text) external _mvwadd_wchstr
00000001a4542c24 (__TEXT,__text) external _mvwaddch
00000001a4542c78 (__TEXT,__text) external _mvwaddchnstr
00000001a4542ce0 (__TEXT,__text) external _mvwaddchstr
00000001a4542d38 (__TEXT,__text) external _mvwaddnstr
00000001a45441dc (__TEXT,__text) external _mvwaddnwstr
00000001a4542da0 (__TEXT,__text) external _mvwaddstr
00000001a4544244 (__TEXT,__text) external _mvwaddwstr
00000001a4542df8 (__TEXT,__text) external _mvwchgat
00000001a4542e7c (__TEXT,__text) external _mvwdelch
00000001a454429c (__TEXT,__text) external _mvwget_wch
00000001a45442f0 (__TEXT,__text) external _mvwget_wstr
00000001a4542ec8 (__TEXT,__text) external _mvwgetch
00000001a4544348 (__TEXT,__text) external _mvwgetn_wstr
00000001a4542f14 (__TEXT,__text) external _mvwgetnstr
00000001a4542f7c (__TEXT,__text) external _mvwgetstr
00000001a4542fd4 (__TEXT,__text) external _mvwhline
00000001a45443b0 (__TEXT,__text) external _mvwhline_set
00000001a453207c (__TEXT,__text) external _mvwin
00000001a4544418 (__TEXT,__text) external _mvwin_wch
00000001a454446c (__TEXT,__text) external _mvwin_wchnstr
00000001a45444d4 (__TEXT,__text) external _mvwin_wchstr
00000001a454303c (__TEXT,__text) external _mvwinch
00000001a4543088 (__TEXT,__text) external _mvwinchnstr
00000001a45430f0 (__TEXT,__text) external _mvwinchstr
00000001a4543148 (__TEXT,__text) external _mvwinnstr
00000001a454452c (__TEXT,__text) external _mvwinnwstr
00000001a4544594 (__TEXT,__text) external _mvwins_nwstr
00000001a45445fc (__TEXT,__text) external _mvwins_wch
00000001a4544650 (__TEXT,__text) external _mvwins_wstr
00000001a45431b0 (__TEXT,__text) external _mvwinsch
00000001a4543204 (__TEXT,__text) external _mvwinsnstr
00000001a454326c (__TEXT,__text) external _mvwinsstr
00000001a45432c4 (__TEXT,__text) external _mvwinstr
00000001a45446a8 (__TEXT,__text) external _mvwinwstr
00000001a4533a44 (__TEXT,__text) external _mvwprintw
00000001a45348fc (__TEXT,__text) external _mvwscanw
00000001a454331c (__TEXT,__text) external _mvwvline
00000001a45446fc (__TEXT,__text) external _mvwvline_set
                 (undefined) external _nanosleep (from libSystem)
00000001a45320e4 (__TEXT,__text) external _napms
00000001a4533234 (__TEXT,__text) external _newpad
00000001d7209720 (__DATA,__common) external _newscr
00000001a4532194 (__TEXT,__text) external _newterm
00000001a4532600 (__TEXT,__text) external _newwin
00000001a4532a14 (__TEXT,__text) external _nl
                 (undefined) external _nl_langinfo (from libSystem)
00000001a4533e5c (__TEXT,__text) external _nocbreak
00000001a4532b6c (__TEXT,__text) external _nodelay
00000001a452da38 (__TEXT,__text) external _noecho
00000001a4532184 (__TEXT,__text) external _nofilter
00000001a4532a30 (__TEXT,__text) external _nonl
00000001a4533f48 (__TEXT,__text) external _noqiflush
00000001a4533d58 (__TEXT,__text) external _noraw
00000001a4532b8c (__TEXT,__text) external _notimeout
00000001d2f4a658 (__DATA_CONST,__const) external _numcodes
00000001d2f4b8a0 (__DATA_CONST,__const) external _numfnames
00000001d2f4b760 (__DATA_CONST,__const) external _numnames
                 (undefined) external _open (from libSystem)
00000001d7209866 (__DATA,__common) external _ospeed
00000001a4532e3c (__TEXT,__text) external _overlay
00000001a4532ef8 (__TEXT,__text) external _overwrite
00000001a452d3fc (__TEXT,__text) external _pair_content
00000001a453374c (__TEXT,__text) external _pecho_wchar
00000001a45336cc (__TEXT,__text) external _pechochar
                 (undefined) external _perror (from libSystem)
00000001a4533384 (__TEXT,__text) external _pnoutrefresh
00000001a453334c (__TEXT,__text) external _prefresh
00000001a453391c (__TEXT,__text) external _printw
                 (undefined) external _putc (from libSystem)
00000001a4537984 (__TEXT,__text) external _putp
00000001a4534b08 (__TEXT,__text) external _putwin
00000001a4533c9c (__TEXT,__text) external _qiflush
00000001a4533a98 (__TEXT,__text) external _raw
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001a454338c (__TEXT,__text) external _redrawwin
00000001a454339c (__TEXT,__text) external _refresh
                 (undefined) external _remove (from libSystem)
00000001a45381ac (__TEXT,__text) external _reset_prog_mode
00000001a4538220 (__TEXT,__text) external _reset_shell_mode
00000001a4538304 (__TEXT,__text) external _resetty
00000001a453bbbc (__TEXT,__text) external _resize_term
00000001a453be50 (__TEXT,__text) external _resizeterm
00000001a453470c (__TEXT,__text) external _restartterm
00000001a4535a70 (__TEXT,__text) external _ripoffline
00000001a45382a0 (__TEXT,__text) external _savetty
00000001a4534830 (__TEXT,__text) external _scanw
00000001a4534c5c (__TEXT,__text) external _scr_dump
00000001a4534cc8 (__TEXT,__text) external _scr_init
00000001a4534bd8 (__TEXT,__text) external _scr_restore
00000001a4534d74 (__TEXT,__text) external _scr_set
00000001a45433ac (__TEXT,__text) external _scrl
00000001a45433c0 (__TEXT,__text) external _scroll
00000001a45350bc (__TEXT,__text) external _scrollok
                 (undefined) external _select (from libSystem)
00000001a452183c (__TEXT,__text) external _set_curterm
00000001a452e368 (__TEXT,__text) external _set_escdelay
00000001a4535acc (__TEXT,__text) external _set_tabsize
00000001a453511c (__TEXT,__text) external _set_term
00000001a452c5a4 (__TEXT,__text) external _setcchar
