00000001f7e76648 (__TEXT,__text) non-external +[MGDaemon daemon]
00000001f7e7b16c (__TEXT,__text) non-external -[MGServiceClient setTransaction:]
00000001f7e7b164 (__TEXT,__text) non-external -[MGServiceClient transaction]
00000001f7e7b884 (__TEXT,__text) non-external -[MGServiceClientSet .cxx_destruct]
00000001f7e7b234 (__TEXT,__text) non-external -[MGServiceClientSet _withLock:]
00000001f7e7b43c (__TEXT,__text) non-external -[MGServiceClientSet addClientService:]
00000001f7e7b874 (__TEXT,__text) non-external -[MGServiceClientSet clients]
00000001f7e7b664 (__TEXT,__text) non-external -[MGServiceClientSet enumerateClientsUsingBlock:]
00000001f7e7b1c8 (__TEXT,__text) non-external -[MGServiceClientSet init]
00000001f7e7b558 (__TEXT,__text) non-external -[MGServiceClientSet removeClientService:]
00000001f7e7b29c (__TEXT,__text) non-external -[MGServiceClientSet serviceClientForXPCConnection:]
00000001f7e7b87c (__TEXT,__text) non-external -[MGServiceClientSet setClients:]
00000001f7e71058 (__TEXT,__text) non-external -[MGServiceListenerProvider .cxx_destruct]
00000001f7e70e7c (__TEXT,__text) non-external -[MGServiceListenerProvider dispatchQueue]
00000001f7e71050 (__TEXT,__text) non-external -[MGServiceListenerProvider entitlement]
00000001f7e70dd4 (__TEXT,__text) non-external -[MGServiceListenerProvider initWithServiceName:entitlement:]
00000001f7e70f24 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceListener]
00000001f7e71048 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceName]
00000001f7e70f94 (__TEXT,__text) non-external -[MGServiceListenerProvider serviceShouldAcceptNewConnection:]
00000001f7e7c370 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f7e7c3ac (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00000001f7e7c25c (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f7e7c318 (__TEXT,__gcc_except_tab) non-external GCC_except_table12
00000001f7e7c3c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table15
00000001f7e7c26c (__TEXT,__gcc_except_tab) non-external GCC_except_table20
00000001f7e7c280 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00000001f7e7c294 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f7e7c3e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00000001f7e7c2a8 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00000001f7e7c32c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00000001f7e7c2c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f7e7c3f4 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00000001f7e7c2d8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001f7e7c394 (__TEXT,__gcc_except_tab) non-external GCC_except_table35
00000001f7e7c2f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00000001f7e7c348 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00000001f7e7c248 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00000001f7e7c304 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00000001f7e74b9c (__TEXT,__text) non-external (was a private external) _MGAccessoryCategoryTypeForAccessory
00000001f7e74bf4 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00000001f7e74f24 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00000001f7e74ff0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00000001f7e75404 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00000001f7e754ac (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeIdentifierInHome
00000001f7e7540c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00000001f7e757c0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemIdentifierInHome
00000001f7e75720 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00000001f7e75684 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomIdentifierInHome
00000001f7e75364 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00000001f7e755e8 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneIdentifierInHome
00000001f7e75548 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00000001f7e74b44 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00000001f7e75ad4 (__TEXT,__text) non-external (was a private external) _MGLogForCategory
00000002176a93a8 (__DATA_CONST,__const) non-external _MGLogForCategory.categories
000000021a768428 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
000000021a768400 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00000001f7e74b3c (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00000001f7e745e8 (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00000001f7e7c228 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00000001f7e7c1e8 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAppleTVAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
000000021c70a5f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
000000021c70a438 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
000000021c70a410 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
000000021c70a500 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
000000021c70a528 (__AUTH,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
000000021c70a5a0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
000000021c70a640 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
000000021c70a690 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
000000021c70a4b0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
000000021a768194 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
000000021a768190 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
000000021a768198 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
000000021a76818c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
000000021a768188 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
000000021a7681a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
000000021a76819c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._topologyRequestHandler
000000021a768134 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
000000021a768138 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
000000021a768130 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
000000021a768124 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
000000021a768120 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
000000021a768128 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
000000021a76812c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
000000021a768160 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
000000021a76815c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
000000021a76814c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
000000021a768158 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
000000021a768148 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
000000021a768154 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
000000021a768168 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
000000021a768150 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
000000021a768164 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
000000021a768180 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
000000021a768184 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
000000021a76817c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._requiresTopology
000000021a7681a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
000000021a7681a4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
000000021a7681ac (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
000000021a7681b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
000000021a7681b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
000000021a7681b4 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
000000021a76813c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
000000021a768144 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
000000021a768140 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
000000021c70a618 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MGDaemon
000000021c70a488 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
000000021c70a460 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
000000021c70a550 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
000000021c70a578 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
000000021c70a5c8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
000000021c70a668 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
000000021c70a6b8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
000000021c70a4d8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00000001f7e72954 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00000001f7e75154 (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
000000021a76816c (__DATA,__objc_ivar) non-external __MergedGlobals
000000021a768430 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00000001f7e7bf08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00000001f7e7bf20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00000001f7e7bb60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00000001f7e7bbb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00000001f7e7bd20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00000001f7e7be58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00000001f7e7beb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00000001f7e7c0c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00000001f7e7c180 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00000001f7e7bcc0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
00000002176aa4f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00000002176a9600 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00000002176a94d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00000002176a9b90 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
00000002176a9d88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
00000002176a9fd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00000002176aa6e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00000002176aa7e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00000002176a9a68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
00000002176aa5e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
00000002176a9648 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
00000002176a9580 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00000002176a9cb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
00000002176a9e10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
00000002176aa038 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
00000002176aa768 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
