                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffb0d587f09 (__TEXT,__text) external _PFCheckNATRule
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0d5862a8 (__TEXT,__text) non-external ___PFAddressCheck
00007ffb0d587523 (__TEXT,__text) non-external ___PFAllowOptsCheck
00007ffb0d5860e5 (__TEXT,__text) non-external ___PFDirCheck
00007ffb0d5877bd (__TEXT,__text) non-external ___PFDummyNetCheck
00007ffb0d587de7 (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00007ffb0d587588 (__TEXT,__text) non-external ___PFExtFilterCheck
00007ffb0d5875fc (__TEXT,__text) non-external ___PFExtMapCheck
00007ffb0d586216 (__TEXT,__text) non-external ___PFFamilyCheck
00007ffb0d5878e4 (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00007ffb0d584985 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00007ffb0d584a0b (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00007ffb0d584a7e (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00007ffb0d586908 (__TEXT,__text) non-external ___PFFlagsCheck
00007ffb0d586c93 (__TEXT,__text) non-external ___PFGroupCheck
00007ffb0d58705a (__TEXT,__text) non-external ___PFICMPCheck
00007ffb0d5880ae (__TEXT,__text) non-external ___PFIPAddressCheck
00007ffb0d588020 (__TEXT,__text) non-external ___PFInterfaceExists
00007ffb0d586ee3 (__TEXT,__text) non-external ___PFLogCheck
00007ffb405977a0 (__DATA_CONST,__const) non-external ___PFManagerClass
00007ffb0d585158 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00007ffb0d5851fa (__TEXT,__text) non-external ___PFManagerLogCreate
00007ffb0d5889f1 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00007ffb0d5854c0 (__TEXT,__text) non-external ___PFManagerQueueCreate
00007ffb0d58587c (__TEXT,__text) non-external ___PFManagerRegister
00007ffb0d585895 (__TEXT,__text) non-external ___PFManagerRelease
00007ffb0d588a29 (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00007ffb0d58775a (__TEXT,__text) non-external ___PFMaxStatesCheck
00007ffb0d5876f5 (__TEXT,__text) non-external ___PFNatPassCheck
00007ffb0d5882bd (__TEXT,__text) non-external ___PFNegatedCheck
00007ffb0d5881eb (__TEXT,__text) non-external ___PFOperatorCheck
00007ffb0d58831b (__TEXT,__text) non-external ___PFParseFlags
00007ffb0d588116 (__TEXT,__text) non-external ___PFPortCheck
00007ffb0d586153 (__TEXT,__text) non-external ___PFProtocolCheck
00007ffb0d587c5b (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00007ffb0d587670 (__TEXT,__text) non-external ___PFRTableCheck
00007ffb0d58838c (__TEXT,__text) non-external ___PFRuleStrToNum
00007ffb0d587316 (__TEXT,__text) non-external ___PFScrubOptionsCheck
00007ffb0d5874b5 (__TEXT,__text) non-external ___PFStateCheck
00007ffb0d587171 (__TEXT,__text) non-external ___PFTagCheck
00007ffb0d582c67 (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00007ffb0d5829d6 (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00007ffb0d586a43 (__TEXT,__text) non-external ___PFUserCheck
00007ffb405975d0 (__DATA_CONST,__const) non-external ___PFUserClass
00007ffb0d5831c8 (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00007ffb0d584236 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00007ffb0d584349 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00007ffb0d582e30 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00007ffb0d582f91 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00007ffb0d5840a2 (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00007ffb0d5827f2 (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00007ffb0d583bd8 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00007ffb0d583ced (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00007ffb0d583316 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00007ffb0d583429 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00007ffb0d583e46 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00007ffb0d583f1d (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00007ffb0d582cef (__TEXT,__text) non-external ___PFUserGetTransArray
00007ffb0d583a41 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00007ffb0d583753 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00007ffb0d58382f (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00007ffb0d5847dd (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00007ffb0d584511 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00007ffb0d5845ea (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00007ffb0d584d9f (__TEXT,__text) non-external ___PFUserRegister
00007ffb0d584db8 (__TEXT,__text) non-external ___PFUserRelease
00007ffb0d583574 (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00007ffb0d583031 (__TEXT,__text) non-external ___PFUserRemoveTransArray
00007ffb0d5827e5 (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00007ffb0d588859 (__TEXT,__text) non-external ___PFXPCResponseHandler
00007ffb0d584e67 (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00007ffb0d584f77 (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00007ffb0d584e7f (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00007ffb0d584f06 (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00007ffb0d584e95 (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00007ffb0d584f1c (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00007ffb0d584eab (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00007ffb0d584f8d (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00007ffb0d5887ea (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00007ffb0d5889c6 (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb40597130 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40597800 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40597840 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.115
00007ffb40597160 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ffb40597190 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
00007ffb405971c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffb405971f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ffb40597220 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ffb40597250 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ffb40597280 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ffb405972b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffb405972e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ffb40597310 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ffb40597340 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ffb40597370 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ffb405973a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ffb405973d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.43
00007ffb40597400 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffb40597430 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ffb40597460 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ffb40597490 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.48
00007ffb405974c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffb405974e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.53
00007ffb40597510 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ffb40597540 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.56
00007ffb40597570 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.57
00007ffb405975a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.58
00007ffb40597630 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.72
00007ffb40597650 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.78
00007ffb40597680 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.80
00007ffb405976b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.82
00007ffb405976e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.84
00007ffb40597710 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.86
00007ffb40597740 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.88
00007ffb40597770 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.90
00007ffb40597820 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb0d5889da (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffb0d58308f (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ffb0d582890 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffb0d582a88 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffb0d58301e (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffb0d5830c7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ffb0d5828a7 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffb0d582ac0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
00007ffb41c86bf0 (__DATA,__bss) non-external ___pfDictIdentifier
00007ffb41c86c08 (__DATA,__bss) non-external ___pfLog
00007ffb41c86c10 (__DATA,__bss) non-external ___pfLogError
00007ffb41c86860 (__DATA,__data) non-external ___pfLogInit
00007ffb41c86c00 (__DATA,__bss) non-external ___pfManager
00007ffb41c86c30 (__DATA,__bss) non-external ___pfManagerTypeID
00007ffb41c86880 (__DATA,__data) non-external ___pfManagerTypeInit
00007ffb41c86c18 (__DATA,__bss) non-external ___pfQueue
00007ffb41c86c20 (__DATA,__bss) non-external ___pfQueueError
00007ffb41c86870 (__DATA,__data) non-external ___pfQueueInit
00007ffb41c86bf8 (__DATA,__bss) non-external ___pfUserTypeID
00007ffb41c86850 (__DATA,__data) non-external ___pfUserTypeInit
00007ffb41c86c28 (__DATA,__bss) non-external ___pfXpcQueue
00007ffb41c86c40 (__DATA,__bss) non-external ___pfconnection
00007ffb41c86c38 (__DATA,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
00007ffb41c869e0 (__DATA,__data) external _kPFAction
00007ffb41c869c8 (__DATA,__data) external _kPFAdaptiveFirewall
00007ffb41c86950 (__DATA,__data) external _kPFAirDrop
00007ffb41c86a80 (__DATA,__data) external _kPFAllowOpts
00007ffb41c86be0 (__DATA,__data) external _kPFAny
00007ffb41c86958 (__DATA,__data) external _kPFApplicationFirewall
00007ffb41c86968 (__DATA,__data) external _kPFBase
00007ffb41c86988 (__DATA,__data) external _kPFBase_nat64
00007ffb41c86990 (__DATA,__data) external _kPFBase_nat66
00007ffb41c86978 (__DATA,__data) external _kPFBase_v4
00007ffb41c86980 (__DATA,__data) external _kPFBase_v6
00007ffb41c86ad0 (__DATA,__data) external _kPFBytesIn
00007ffb41c86ad8 (__DATA,__data) external _kPFBytesOut
00007ffb41c869d0 (__DATA,__data) external _kPFCustomFirewall
00007ffb41c869c0 (__DATA,__data) external _kPFDefaultFirewall
00007ffb41c869f0 (__DATA,__data) external _kPFDirection
00007ffb41c86a90 (__DATA,__data) external _kPFDummyNet
00007ffb41c86a98 (__DATA,__data) external _kPFExtFilter
00007ffb41c86aa0 (__DATA,__data) external _kPFExtMap
00007ffb41c86940 (__DATA,__data) external _kPFFTPProxy
00007ffb41c86a00 (__DATA,__data) external _kPFFamily
00007ffb41c86a48 (__DATA,__data) non-external (was a private external) _kPFFlagSet
00007ffb41c86a40 (__DATA,__data) external _kPFFlags
00007ffb41c86a18 (__DATA,__data) external _kPFFrom
00007ffb41c86a58 (__DATA,__data) external _kPFGroup
00007ffb41c869a8 (__DATA,__data) external _kPFHost_v4
00007ffb41c869b0 (__DATA,__data) external _kPFHost_v6
00007ffb41c86a68 (__DATA,__data) external _kPFICMP
00007ffb41c869f8 (__DATA,__data) external _kPFInterface
00007ffb41c86928 (__DATA,__data) external _kPFInternetSharing
00007ffb41c86a78 (__DATA,__data) external _kPFKeepState
00007ffb41c86a60 (__DATA,__data) external _kPFLog
00007ffb41c869b8 (__DATA,__data) external _kPFMDNS
00007ffb41c86ab8 (__DATA,__data) external _kPFMaxStates
00007ffb41c86a28 (__DATA,__data) external _kPFNATDest
00007ffb41c86ab0 (__DATA,__data) external _kPFNATPass
00007ffb41c86a38 (__DATA,__data) external _kPFNATRDRAddress
00007ffb41c86a20 (__DATA,__data) external _kPFNATSrc
00007ffb41c86930 (__DATA,__data) external _kPFNLC
00007ffb41c86ac0 (__DATA,__data) external _kPFPacketsIn
00007ffb41c86ac8 (__DATA,__data) external _kPFPacketsOut
00007ffb41c86970 (__DATA,__data) external _kPFPortMapping
00007ffb41c86a08 (__DATA,__data) external _kPFProtocol
00007ffb41c86a10 (__DATA,__data) external _kPFQuick
00007ffb41c86aa8 (__DATA,__data) external _kPFRTableID
00007ffb41c869e8 (__DATA,__data) external _kPFReturnOptions
00007ffb41c86ae0 (__DATA,__data) external _kPFRuleID
00007ffb41c86a70 (__DATA,__data) external _kPFScrubOptions
00007ffb41c86948 (__DATA,__data) external _kPFServerFirewall
00007ffb41c86998 (__DATA,__data) external _kPFShared_v4
00007ffb41c869a0 (__DATA,__data) external _kPFShared_v6
00007ffb41c86af0 (__DATA,__data) external _kPFSubAddress
00007ffb41c86ae8 (__DATA,__data) external _kPFSubAddressLabel
00007ffb41c86bd0 (__DATA,__data) external _kPFSubDummyNetPipe
00007ffb41c86bd8 (__DATA,__data) external _kPFSubDummyNetPipeType
00007ffb41c86af8 (__DATA,__data) external _kPFSubDynInterface
00007ffb41c86b40 (__DATA,__data) external _kPFSubGroupName
00007ffb41c86b58 (__DATA,__data) external _kPFSubGroupOperator
00007ffb41c86b50 (__DATA,__data) external _kPFSubHighGroupID
00007ffb41c86b10 (__DATA,__data) external _kPFSubHighPort
00007ffb41c86b30 (__DATA,__data) external _kPFSubHighUserID
00007ffb41c86b78 (__DATA,__data) external _kPFSubICMPCode
00007ffb41c86b70 (__DATA,__data) external _kPFSubICMPType
00007ffb41c86b60 (__DATA,__data) external _kPFSubLogFlags
00007ffb41c86b68 (__DATA,__data) external _kPFSubLogTo
00007ffb41c86b48 (__DATA,__data) external _kPFSubLowGroupID
00007ffb41c86b08 (__DATA,__data) external _kPFSubLowPort
00007ffb41c86b28 (__DATA,__data) external _kPFSubLowUserID
00007ffb41c86b00 (__DATA,__data) external _kPFSubNegated
00007ffb41c86bb0 (__DATA,__data) external _kPFSubNotTagged
00007ffb41c86b18 (__DATA,__data) external _kPFSubPortOperator
00007ffb41c86b98 (__DATA,__data) external _kPFSubReturnICMP6Code
00007ffb41c86b90 (__DATA,__data) external _kPFSubReturnICMPCode
00007ffb41c86b88 (__DATA,__data) external _kPFSubReturnTTL
00007ffb41c86b80 (__DATA,__data) external _kPFSubReturnType
00007ffb41c86bb8 (__DATA,__data) external _kPFSubScrubFlags
00007ffb41c86bc8 (__DATA,__data) external _kPFSubScrubMaxMSS
00007ffb41c86bc0 (__DATA,__data) external _kPFSubScrubMinTTL
00007ffb41c86ba0 (__DATA,__data) external _kPFSubTag
00007ffb41c86ba8 (__DATA,__data) external _kPFSubTagged
00007ffb41c86b20 (__DATA,__data) external _kPFSubUserName
00007ffb41c86b38 (__DATA,__data) external _kPFSubUserOperator
00007ffb41c86a88 (__DATA,__data) external _kPFTagDict
00007ffb41c86960 (__DATA,__data) external _kPFThreadBR
00007ffb41c869d8 (__DATA,__data) external _kPFThreadBR_nat64
00007ffb41c86a30 (__DATA,__data) external _kPFTo
00007ffb41c86be8 (__DATA,__data) external _kPFUnknown
00007ffb41c86a50 (__DATA,__data) external _kPFUser
00007ffb41c86938 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
00007ffb41c86890 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
00007ffb41c868b0 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
00007ffb41c868a8 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
00007ffb41c868e0 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
00007ffb41c868d0 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
00007ffb41c868c8 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
00007ffb41c868c0 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
00007ffb41c868b8 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
00007ffb41c868d8 (__DATA,__data) non-external (was a private external) _pfXPCKeyTrafficDescriptors
00007ffb41c868a0 (__DATA,__data) non-external (was a private external) _pfXPCKeyType
00007ffb41c86900 (__DATA,__data) non-external (was a private external) _pfXPCResponseArray
00007ffb41c86908 (__DATA,__data) non-external (was a private external) _pfXPCResponseDescriptorId
00007ffb41c86918 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountIn
00007ffb41c86920 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountOut
00007ffb41c86910 (__DATA,__data) non-external (was a private external) _pfXPCResponseStatesFound
00007ffb41c86898 (__DATA,__data) non-external (was a private external) _pfXPCService
00007ffb41c868f0 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptor
00007ffb41c868f8 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptorId
00007ffb41c868e8 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptors
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strndup (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strtol (from libSystem)
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _uuid_copy (from libSystem)
                 (undefined) external _xpc_array_append_value (from libSystem)
                 (undefined) external _xpc_array_create (from libSystem)
                 (undefined) external _xpc_array_create_empty (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_connection_cancel (from libSystem)
                 (undefined) external _xpc_connection_create_mach_service (from libSystem)
                 (undefined) external _xpc_connection_resume (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply (from libSystem)
                 (undefined) external _xpc_connection_send_message_with_reply_sync (from libSystem)
                 (undefined) external _xpc_connection_set_event_handler (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_bool (from libSystem)
                 (undefined) external _xpc_dictionary_get_string (from libSystem)
                 (undefined) external _xpc_dictionary_get_uint64 (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_bool (from libSystem)
                 (undefined) external _xpc_dictionary_set_data (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_dictionary_set_uint64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_uuid (from libSystem)
                 (undefined) external _xpc_dictionary_set_value (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
                 (undefined) external _xpc_string_get_string_ptr (from libSystem)
                 (undefined) external _xpc_type_get_name (from libSystem)
                 (undefined) external _xpc_uint64_get_value (from libSystem)
                 (undefined) external _xpc_uuid_get_bytes (from libSystem)
