00007ff812da8a6d (__TEXT,__text) external _CCAESCmac
00007ff812da8c16 (__TEXT,__text) external _CCCKGGetShareSize
00007ff812da8dc8 (__TEXT,__text) external _CCCKGOwnerCreate
00007ff812da8e5d (__TEXT,__text) external _CCCKGOwnerDestroy
00007ff812da916d (__TEXT,__text) external _CCCKGOwnerFinish
00007ff812da8ee4 (__TEXT,__text) external _CCCKGOwnerGenerateShare
00007ff812dab700 (__TEXT,__text) external _CCCalibratePBKDF
00007ff812da843c (__TEXT,__text) external _CCCreateBigNum
00007ff812da5ff6 (__TEXT,__text) external _CCCrypt
00007ff812da9ca4 (__TEXT,__text) external _CCCryptorAddParameter
00007ff812da78f1 (__TEXT,__text) external _CCCryptorChaCha20
00007ff812da79e7 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotDecrypt
00007ff812da7951 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotEncrypt
00007ff812da58fc (__TEXT,__text) external _CCCryptorCreate
00007ff812da987c (__TEXT,__text) external _CCCryptorCreateFromData
00007ff812da991c (__TEXT,__text) external _CCCryptorCreateFromDataWithMode
00007ff812da4820 (__TEXT,__text) external _CCCryptorCreateWithMode
00007ff812da9be4 (__TEXT,__text) external _CCCryptorDecryptDataBlock
00007ff812da9b24 (__TEXT,__text) external _CCCryptorEncryptDataBlock
00007ff812da61ad (__TEXT,__text) external _CCCryptorFinal
00007ff812da4767 (__TEXT,__text) external _CCCryptorGCM
00007ff812da5510 (__TEXT,__text) external _CCCryptorGCMAddAAD
00007ff812dab259 (__TEXT,__text) external _CCCryptorGCMAddADD
00007ff812da54b8 (__TEXT,__text) external _CCCryptorGCMAddIV
00007ff812da76e2 (__TEXT,__text) external _CCCryptorGCMDecrypt
00007ff812da7768 (__TEXT,__text) external _CCCryptorGCMEncrypt
00007ff812da55cd (__TEXT,__text) external _CCCryptorGCMFinal
00007ff812dab26d (__TEXT,__text) external _CCCryptorGCMFinalize
00007ff812dab471 (__TEXT,__text) external _CCCryptorGCMOneshotDecrypt
00007ff812dab385 (__TEXT,__text) external _CCCryptorGCMOneshotEncrypt
00007ff812dab342 (__TEXT,__text) external _CCCryptorGCMReset
00007ff812dab200 (__TEXT,__text) external _CCCryptorGCMSetIV
00007ff812dab263 (__TEXT,__text) external _CCCryptorGCMaddAAD
00007ff812da9a86 (__TEXT,__text) external _CCCryptorGetIV
00007ff812da60fe (__TEXT,__text) external _CCCryptorGetOutputLength
00007ff812da9e44 (__TEXT,__text) external _CCCryptorGetParameter
00007ff812da5620 (__TEXT,__text) external _CCCryptorRelease
00007ff812da5e6b (__TEXT,__text) external _CCCryptorReset
00007ff812da9997 (__TEXT,__text) external _CCCryptorReset_binary_compatibility
00007ff812da59b1 (__TEXT,__text) external _CCCryptorUpdate
00007ff812da9f3b (__TEXT,__text) external _CCDHComputeKey
00007ff812dad720 (__TEXT,__text) external _CCDHCreate
00007ff812da9eaf (__TEXT,__text) external _CCDHGenerateKey
00007ff812da9ea5 (__TEXT,__text) external _CCDHRelease
00007ff812da7e38 (__TEXT,__text) external _CCDeriveKey
00007ff812dad000 (__TEXT,__text) external _CCDesCBCCksum
00007ff812da7735 (__TEXT,__text) external _CCDesIsWeakKey
00007ff812da772b (__TEXT,__text) external _CCDesSetOddParity
00007ff812da40a6 (__TEXT,__text) external _CCDigest
00007ff812daa0b5 (__TEXT,__text) external _CCDigestBlockSize
00007ff812da5781 (__TEXT,__text) external _CCDigestCreate
00007ff812daa112 (__TEXT,__text) external _CCDigestCreateByOID
00007ff812da58d1 (__TEXT,__text) external _CCDigestDestroy
00007ff812da588e (__TEXT,__text) external _CCDigestFinal
00007ff812daa062 (__TEXT,__text) external _CCDigestGetBlockSize
00007ff812daa09b (__TEXT,__text) external _CCDigestGetBlockSizeFromRef
00007ff812da3a60 (__TEXT,__text) non-external (was a private external) _CCDigestGetDigestInfo
00007ff812dad775 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.1
00007ff812daa07f (__TEXT,__text) external _CCDigestGetOutputSize
00007ff812daa0d8 (__TEXT,__text) external _CCDigestGetOutputSizeFromRef
00007ff812da57d5 (__TEXT,__text) external _CCDigestInit
00007ff812daa0f8 (__TEXT,__text) external _CCDigestOID
00007ff812daa105 (__TEXT,__text) external _CCDigestOIDLen
00007ff812da582f (__TEXT,__text) external _CCDigestOutputSize
00007ff812daa176 (__TEXT,__text) external _CCDigestReset
00007ff812da5852 (__TEXT,__text) external _CCDigestUpdate
00007ff812dab146 (__TEXT,__text) external _CCECCryptorBlind
00007ff812dab118 (__TEXT,__text) external _CCECCryptorBlindingKeysRelease
00007ff812daae52 (__TEXT,__text) external _CCECCryptorComputeSharedSecret
00007ff812daa9ac (__TEXT,__text) external _CCECCryptorCreateFromData
00007ff812daac60 (__TEXT,__text) external _CCECCryptorExportKey
00007ff812daac38 (__TEXT,__text) external _CCECCryptorExportPublicKey
00007ff812dab06e (__TEXT,__text) external _CCECCryptorGenerateBlindingKeys
00007ff812daa6a0 (__TEXT,__text) external _CCECCryptorGeneratePair
00007ff812daa969 (__TEXT,__text) external _CCECCryptorGetKeyComponents
00007ff812dad8dd (__TEXT,__text) external _CCECCryptorGetPublicKeyFromPrivateKey
00007ff812daafc3 (__TEXT,__text) external _CCECCryptorH2C
00007ff812daaa8c (__TEXT,__text) external _CCECCryptorImportKey
00007ff812daaa75 (__TEXT,__text) external _CCECCryptorImportPublicKey
00007ff812daaa6b (__TEXT,__text) external _CCECCryptorRelease
00007ff812daad54 (__TEXT,__text) external _CCECCryptorSignHash
00007ff812daaeb6 (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
00007ff812daaeca (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
00007ff812dab19e (__TEXT,__text) external _CCECCryptorUnblind
00007ff812daae47 (__TEXT,__text) external _CCECCryptorUnwrapKey
00007ff812daadce (__TEXT,__text) external _CCECCryptorVerifyHash
00007ff812daae3c (__TEXT,__text) external _CCECCryptorWrapKey
00007ff812daaa56 (__TEXT,__text) external _CCECGetKeySize
00007ff812daaa36 (__TEXT,__text) external _CCECGetKeyType
00007ff812da806b (__TEXT,__text) external _CCHKDFExpand
00007ff812da7fe0 (__TEXT,__text) external _CCHKDFExtract
00007ff812da4133 (__TEXT,__text) external _CCHmac
00007ff812dab6c1 (__TEXT,__text) external _CCHmacClone
00007ff812dab600 (__TEXT,__text) external _CCHmacCreate
00007ff812dab5c6 (__TEXT,__text) external _CCHmacDestroy
00007ff812da76cb (__TEXT,__text) external _CCHmacFinal
00007ff812da762f (__TEXT,__text) external _CCHmacInit
00007ff812dab67a (__TEXT,__text) external _CCHmacOneShot
00007ff812dab5f6 (__TEXT,__text) external _CCHmacOutputSize
00007ff812dab5ea (__TEXT,__text) external _CCHmacOutputSizeFromRef
00007ff812da76b4 (__TEXT,__text) external _CCHmacUpdate
00007ff812da7c6a (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
00007ff812da7aec (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
00007ff812da7b78 (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
00007ff812da7bde (__TEXT,__text) external _CCKDFParametersCreateHkdf
00007ff812da7a7c (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
00007ff812da7cd0 (__TEXT,__text) external _CCKDFParametersDestroy
00007ff812da7cf4 (__TEXT,__text) external _CCKeyDerivationHMac
00007ff812da7772 (__TEXT,__text) external _CCKeyDerivationPBKDF
00007ff812dac0c9 (__TEXT,__text) external _CCRSACryptorCreateFromData
00007ff812dabc63 (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
00007ff812dada7e (__TEXT,__text) external _CCRSACryptorCrypt
00007ff812dac010 (__TEXT,__text) external _CCRSACryptorDecrypt
00007ff812dabf30 (__TEXT,__text) external _CCRSACryptorEncrypt
00007ff812dabe7e (__TEXT,__text) external _CCRSACryptorExport
00007ff812dad943 (__TEXT,__text) external _CCRSACryptorGeneratePair
00007ff812dabd20 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
00007ff812dabd5e (__TEXT,__text) external _CCRSACryptorImport
00007ff812dac2c9 (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
00007ff812dabd16 (__TEXT,__text) external _CCRSACryptorRelease
00007ff812dac5d9 (__TEXT,__text) external _CCRSACryptorSign
00007ff812dac704 (__TEXT,__text) external _CCRSACryptorVerify
00007ff812dadbbc (__TEXT,__text) external _CCRSAGetCRTComponents
00007ff812dac455 (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
00007ff812dac3d3 (__TEXT,__text) external _CCRSAGetKeyComponents
00007ff812dabd4a (__TEXT,__text) external _CCRSAGetKeySize
00007ff812dabd2a (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
00007ff812da5708 (__TEXT,__text) external _CCRandomCopyBytes
00007ff812da5718 (__TEXT,__text) external _CCRandomGenerateBytes
00007ff812dabbc0 (__TEXT,__text) external _CCRandomUniform
00007ff812dade3f (__TEXT,__text) external _CCSymmetricKeyUnwrap
00007ff812dac860 (__TEXT,__text) external _CCSymmetricKeyWrap
00007ff812dac9c3 (__TEXT,__text) external _CCSymmetricUnwrappedSize
00007ff812dac9b6 (__TEXT,__text) external _CCSymmetricWrappedSize
00007ff812da76fb (__TEXT,__text) external _CC_MD2
00007ff812daa406 (__TEXT,__text) external _CC_MD2_Final
00007ff812daa271 (__TEXT,__text) external _CC_MD2_Init
00007ff812daa31e (__TEXT,__text) external _CC_MD2_Update
00007ff812daa19f (__TEXT,__text) external _CC_MD4
00007ff812da751d (__TEXT,__text) external _CC_MD4_Final
00007ff812da733b (__TEXT,__text) external _CC_MD4_Init
00007ff812da73fe (__TEXT,__text) external _CC_MD4_Update
00007ff812da4103 (__TEXT,__text) external _CC_MD5
00007ff812da3f51 (__TEXT,__text) external _CC_MD5_Final
00007ff812da398f (__TEXT,__text) external _CC_MD5_Init
00007ff812da3e32 (__TEXT,__text) external _CC_MD5_Update
00007ff812da4067 (__TEXT,__text) external _CC_SHA1
00007ff812da4625 (__TEXT,__text) external _CC_SHA1_Final
00007ff812da4443 (__TEXT,__text) external _CC_SHA1_Init
00007ff812da4506 (__TEXT,__text) external _CC_SHA1_Update
00007ff812daa1d7 (__TEXT,__text) external _CC_SHA224
00007ff812daa567 (__TEXT,__text) external _CC_SHA224_Final
00007ff812daa4f7 (__TEXT,__text) external _CC_SHA224_Init
00007ff812daa557 (__TEXT,__text) external _CC_SHA224_Update
00007ff812da4737 (__TEXT,__text) external _CC_SHA256
00007ff812da432b (__TEXT,__text) external _CC_SHA256_Final
00007ff812da41aa (__TEXT,__text) external _CC_SHA256_Init
00007ff812da420a (__TEXT,__text) external _CC_SHA256_Update
00007ff812daa207 (__TEXT,__text) external _CC_SHA384
00007ff812daa631 (__TEXT,__text) external _CC_SHA384_Final
00007ff812daa5c2 (__TEXT,__text) external _CC_SHA384_Init
00007ff812daa621 (__TEXT,__text) external _CC_SHA384_Update
00007ff812daa237 (__TEXT,__text) external _CC_SHA512
00007ff812da6437 (__TEXT,__text) external _CC_SHA512_Final
00007ff812da636c (__TEXT,__text) external _CC_SHA512_Init
00007ff812da63cc (__TEXT,__text) external _CC_SHA512_Update
00007ff8416b8990 (__DATA_CONST,__const) non-external (was a private external) _CC_adler32
00007ff8416b8c50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16
00007ff8416b89d0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_a
00007ff8416b8a10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_b
00007ff8416b8a50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_false
00007ff8416b8a90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_true
00007ff8416b8ad0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_r
00007ff8416b8b10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_x
00007ff8416b8b50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_icode
00007ff8416b8b90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_usb
00007ff8416b8bd0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_verifone
00007ff8416b8c10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_xmodem
00007ff8416b8dd0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32
00007ff8416b8c90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_bzip2
00007ff8416b8cd0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_castagnoli
00007ff8416b8d10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_mpeg_2
00007ff8416b8d50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_posix
00007ff8416b8d90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_xfer
00007ff8416b8e10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc64_ecma_182
00007ff8416b8f50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8
00007ff8416b8e50 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_icode
00007ff8416b8e90 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_itu
00007ff8416b8ed0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_rohc
00007ff8416b8f10 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_wcdma
00007ff8416b9000 (__DATA_CONST,__const) external _CCrfc3394_iv
00007ff812daef50 (__TEXT,__const) external _CCrfc3394_ivLen
00007ff812da672f (__TEXT,__text) non-external (was a private external) _CNBufferCreate
00007ff812dad70a (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
00007ff812da6c9d (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
00007ff812da67ff (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
00007ff812da6d77 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
00007ff812da6dfd (__TEXT,__text) external _CNCRC
00007ff812dad148 (__TEXT,__text) external _CNCRCDumpTable
00007ff812dad0fd (__TEXT,__text) external _CNCRCFinal
00007ff812dad00a (__TEXT,__text) external _CNCRCInit
00007ff812dad09f (__TEXT,__text) external _CNCRCRelease
00007ff812dad0ac (__TEXT,__text) external _CNCRCUpdate
00007ff812dad19a (__TEXT,__text) external _CNCRCWeakTest
00007ff812da64b7 (__TEXT,__text) external _CNEncode
00007ff812dae238 (__TEXT,__text) external _CNEncoderBlocksize
00007ff812dae2c3 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff812da6561 (__TEXT,__text) external _CNEncoderCreate
00007ff812dae31d (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff812dad200 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff812da6ba8 (__TEXT,__text) external _CNEncoderFinal
00007ff812dae180 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff812dad4df (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff812da6d0d (__TEXT,__text) external _CNEncoderRelease
00007ff812da6785 (__TEXT,__text) external _CNEncoderUpdate
00007ff812daa267 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff812da3e10 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff812da9850 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff812da787c (__TEXT,__text) non-external _adler32_final
00007ff812da7818 (__TEXT,__text) non-external _adler32_implementation
00007ff812da7885 (__TEXT,__text) non-external _adler32_oneshot
00007ff812da78e9 (__TEXT,__text) non-external _adler32_setup
00007ff812da5651 (__TEXT,__text) non-external _ccClearCryptor
00007ff812da5766 (__TEXT,__text) external _ccDRBGGetRngState
00007ff812da773f (__TEXT,__text) external _ccDevRandomGetRngState
00007ff812daa8ef (__TEXT,__text) non-external _ccECCryptorFree
00007ff812daa833 (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff812daa776 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff812dabbfb (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff812dabcc2 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff812daef40 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff812da5d6c (__TEXT,__text) non-external _ccSimpleUpdate
00007ff812da89ea (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff812da8a4b (__TEXT,__text) non-external _cc_free
00007ff812dac9d8 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff812da89fc (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff812daca36 (__TEXT,__text) non-external _cccbc_getiv
00007ff8416b9450 (__DATA_CONST,__const) non-external (was a private external) _cccbc_mode
00007ff812da5e3e (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff812da5cd2 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff812da5955 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff812da596c (__TEXT,__text) non-external _cccbc_mode_setup
00007ff812da5fd9 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff8416b9680 (__DATA_CONST,__const) non-external (was a private external) _ccccm_mode
00007ff812dacdd1 (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff812dacdf7 (__TEXT,__text) non-external _ccccm_mode_done
00007ff812dacd96 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff812dacd88 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff812dacda0 (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8416b94f0 (__DATA_CONST,__const) non-external (was a private external) _cccfb8_mode
00007ff812dacae1 (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff812dacabb (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff812dacab2 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff812dacac5 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff8416b94a0 (__DATA_CONST,__const) non-external (was a private external) _cccfb_mode
00007ff812daca8e (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff812daca68 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff812daca5f (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff812daca72 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg2_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg2_init (from libcorecrypto)
                 (undefined) external _ccckg2_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg2_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg2_params_p224_sha256_v2 (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_share (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00007ff8416b8f90 (__DATA_CONST,__const) non-external (was a private external) _ccconversionTable
00007ff8416b9540 (__DATA_CONST,__const) non-external (was a private external) _ccctr_mode
