00007ffc1fe07ef6 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc1fda6326 (__TEXT,__text) external _AAByteRangeAdd
00007ffc1fda622e (__TEXT,__text) external _AAByteRangeClone
00007ffc1fda6192 (__TEXT,__text) external _AAByteRangeCreate
00007ffc1fda6208 (__TEXT,__text) external _AAByteRangeDestroy
00007ffc1fda64f4 (__TEXT,__text) external _AAByteRangeFirst
00007ffc1fda6601 (__TEXT,__text) external _AAByteRangeNext
00007ffc1fda6486 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffc1fda6414 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffc1fda63a2 (__TEXT,__text) external _AAByteRangeSub
00007ffc1fe0640b (__TEXT,__text) external _AAByteStreamCancel
00007ffc1fe06420 (__TEXT,__text) external _AAByteStreamClose
00007ffc1fe06457 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffc1fe064a0 (__TEXT,__text) external _AAByteStreamFlush
00007ffc1fe063d3 (__TEXT,__text) external _AAByteStreamPRead
00007ffc1fe064d4 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffc1fe0639b (__TEXT,__text) external _AAByteStreamPWrite
00007ffc1fddf6a1 (__TEXT,__text) external _AAByteStreamProcess
00007ffc1fe063b7 (__TEXT,__text) external _AAByteStreamRead
00007ffc1fe063ef (__TEXT,__text) external _AAByteStreamSeek
00007ffc1fe064ba (__TEXT,__text) external _AAByteStreamTruncate
00007ffc1fe062f0 (__TEXT,__text) external _AAByteStreamWrite
00007ffc1fdc4666 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffc1fdc3d69 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffc1fddc486 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffc1fe0acd8 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffc1fe0b63f (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffc1fdcdbb4 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffc1fd8f2b4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffc1fd8f32d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffc1fd8f323 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffc1fd8f31a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffc1fd8f355 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffc1fd8f34b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffc1fd8f341 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffc1fd8f337 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffc1fe07268 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffc1fe07302 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffc1fe072c6 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffc1fe072bd (__TEXT,__text) external _AACustomByteStreamSetData
00007ffc1fe072da (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffc1fe072ee (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffc1fe072d0 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffc1fe072f8 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffc1fe072e4 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffc1fe057dd (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffc1fe06c86 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffc1fe0e93d (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffc1fe039c3 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffc1fdfb979 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffc1fdfc6e0 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffc1fdfc6cf (__TEXT,__text) external _AAEntryACLBlobClear
00007ffc1fdfc57c (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffc1fdfc63c (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffc1fdfc683 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffc1fdfc5e2 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffc1fdfce04 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffc1fdfcdfa (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffc1fdfc82a (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffc1fdfc822 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffc1fdfcd32 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffc1fdfc9d8 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffc1fdf891b (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffc1fdf9139 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffc1fdf9128 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffc1fdf8fd5 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffc1fdf9095 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffc1fdf90dc (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffc1fdf903b (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffc1fdf976c (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffc1fdf9762 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffc1fdf9283 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffc1fdf927b (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffc1fdf969a (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffc1fdf93b6 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffc1fe03714 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffc1fe035d2 (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffc1fe03672 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffc1fe036b9 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffc1fe03638 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffc1fe039b9 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffc1fe039b0 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffc1fdefd40 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffc1fded477 (__TEXT,__text) external _AAFieldKeySetClear
00007ffc1fded358 (__TEXT,__text) external _AAFieldKeySetClone
00007ffc1fded485 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffc1fdecfa0 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffc1fded006 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffc1fded332 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffc1fdeda53 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffc1fdeda4b (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffc1fded529 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffc1fded7a0 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffc1fded6d9 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffc1fded954 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffc1fded9e7 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffc1fdeda62 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffc1fe064ee (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffc1fe0683b (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffc1fe0fdc1 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffc1fdf69dc (__TEXT,__text) external _AAHeaderAssign
00007ffc1fdf6fa2 (__TEXT,__text) external _AAHeaderClear
00007ffc1fdf6930 (__TEXT,__text) external _AAHeaderClone
00007ffc1fdf6843 (__TEXT,__text) external _AAHeaderCreate
00007ffc1fdf6b94 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffc1fdf6bdb (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffc1fdf68ea (__TEXT,__text) external _AAHeaderDestroy
00007ffc1fdf80b0 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffc1fdf80a6 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffc1fdf6733 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffc1fdf66d4 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffc1fdf7193 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffc1fdf67c0 (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffc1fdf7083 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffc1fdf729b (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffc1fdf66dc (__TEXT,__text) external _AAHeaderGetFieldType
00007ffc1fdf6ffe (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffc1fdf6fc7 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffc1fdf809c (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffc1fdf6c27 (__TEXT,__text) external _AAHeaderRemoveField
00007ffc1fdf7e90 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffc1fdf73bd (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffc1fdf7a4c (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffc1fdf7816 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffc1fdf7ca4 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffc1fdf760f (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffc1fe0d470 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamClose
00007ffc1fe0d392 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamOpen
00007ffc1fe0d4b2 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamRead
00007ffc1fe06c92 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffc1fdb7ce5 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffc1fdb8097 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffc1fdb7ed6 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffc1fd98acc (__TEXT,__text) external _AAPathFilterAddRule
00007ffc1fd98fd3 (__TEXT,__text) external _AAPathFilterApply
00007ffc1fe141f6 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffc1fe14293 (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffc1fd98974 (__TEXT,__text) external _AAPathFilterCreate
00007ffc1fd98a51 (__TEXT,__text) external _AAPathFilterDestroy
00007ffc1fdedad0 (__TEXT,__text) external _AAPathListCreate
00007ffc1fdedc66 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffc1fdef44e (__TEXT,__text) external _AAPathListCreateWithPath
00007ffc1fdedc37 (__TEXT,__text) external _AAPathListDestroy
00007ffc1fdef922 (__TEXT,__text) external _AAPathListGetNode
00007ffc1fdefa58 (__TEXT,__text) external _AAPathListMerge
00007ffc1fdefba2 (__TEXT,__text) external _AAPathListNodeFirst
00007ffc1fdef7ff (__TEXT,__text) external _AAPathListNodeGetPath
00007ffc1fdefbbe (__TEXT,__text) external _AAPathListNodeNext
00007ffc1fdad2b6 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffc1fde7f50 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffc1fdc115e (__TEXT,__text) external _AARangeInputStreamOpen
00007ffc1fdb2137 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffc1fe06b05 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffc1fe06f4d (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffc1fe068b7 (__TEXT,__text) external _AATempFileStreamOpen
00007ffc1fe068c3 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffc1fdd4dc4 (__TEXT,__text) external _AATempStreamOpen
00007ffc1fdd4dd0 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffc1fde6b5b (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffc1fde6b65 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffc1fd9c390 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffc1fd9774a (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffc1fd97e0f (__TEXT,__text) external _AEAAuthDataClear
00007ffc1fd97013 (__TEXT,__text) external _AEAAuthDataCreate
00007ffc1fd970d3 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffc1fd97079 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffc1fd97ef2 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffc1fd97ee8 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffc1fd97617 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffc1fd9760f (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffc1fd97e20 (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffc1fd97b2b (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffc1fdd988d (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffc1fdd97d4 (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffc1fdb1252 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffc1fdd9758 (__TEXT,__text) external _AEAContextDestroy
00007ffc1fdda3b9 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffc1fdda547 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffc1fdd9c88 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffc1fdd9bc8 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffc1fdda098 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffc1fdda4e7 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffc1fdd9eb8 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffc1fd9e9e7 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffc1fd9e53d (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffc1fd9e5b6 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffc1fd9e4a7 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffc1fd94d71 (__TEXT,__text) external _AEADecryptAndExtract
00007ffc1fde1f9c (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffc1fd947e8 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffc1fde39fd (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffc1fd8c988 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffc1fda9c98 (__TEXT,__text) external _AEADecryptInPlace
00007ffc1fdb379e (__TEXT,__text) external _AEADecryptToFile
00007ffc1fdd4024 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffc1fdb31fd (__TEXT,__text) external _AEADecryptToFileChunk
00007ffc1fdd4d46 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffc1fe129d5 (__TEXT,__text) external _AEADecryptToStream
00007ffc1fe1218b (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffc1fdadb68 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffc1fda00b9 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffc1fd9259a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffc1fdaa1e3 (__TEXT,__text) external _AEAEncryptInPlace
00007ffc1fda4ca6 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffc1fda3eff (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffc1fda4505 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffc1fdaa37f (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffc1fdaac94 (__TEXT,__text) external _AEAKeychainHasItem
00007ffc1fdaaad8 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffc1fdaad9d (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffc1fdaa62c (__TEXT,__text) external _AEAKeychainStoreItem
00007ffc1fd9bae4 (__TEXT,__text) external _AEAStreamSign
00007ffc1fdd6ebc (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffc1fdd3d79 (__TEXT,__text) non-external _BXDiff5Data_free
00007ffc1fda811d (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffc1fdd6ecb (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffc1fdbb61c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffc1fdbc888 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffc1fdbc8b7 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffc1fdbcb4a (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffc1fdbcb54 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffc1fdbcb5d (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffc1fdbcb67 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffc1fda8d5a (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffc1fda8fbc (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffc1fda8167 (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffc1fda8e75 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffc1fdb962c (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffc1fdb9593 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffc1fdb94f1 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffc1fdadd68 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffc1fdadd40 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffc1fdadd85 (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffc1fdae124 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffc1fdc461d (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffc1fdc45c0 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffc1fdc45d9 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffc1fdc6810 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffc1fdc67fc (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffc1fdc6806 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffc1fe27f00 (__TEXT,__const) non-external _CKSUMTable
00007ffc1fe0b18f (__TEXT,__text) non-external _CompressionConsumerProc
00007ffc1fe0afaf (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffc1fe0be85 (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffc1fe0b105 (__TEXT,__text) non-external _CompressionWorkerProc
00007ffc1fd9f34b (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffc1fd9efdf (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffc1fd9f89c (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffc1fd9fb10 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffc1fd9f6ad (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffc1fd9f846 (__TEXT,__text) non-external _Digest_SHA256
00007ffc1fdae4df (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffc1fdae137 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffc1fe27cc0 (__TEXT,__const) non-external _ECC65537_G
00007ffc1fdb9db5 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffc1fdb9432 (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffc1fdb9443 (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffc1fdb9112 (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffc1fdb849c (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffc1fddb927 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffc1fddaebb (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffc1fd9e2f8 (__TEXT,__text) non-external _HKDFDerive
00007ffc1fd9fea6 (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffc1fd9fe29 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffc1fd9fd63 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffc1fd9fde8 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffc1fd9fff4 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffc1fdaf575 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffc1fdaf320 (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffc1fdaf46f (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffc1fdaf55a (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffc1fdaf2e6 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffc1fdbde14 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffc1fdbdad0 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffc1fdbdddd (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffc1fdbdf3c (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffc1fdaf589 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffc1fdafb99 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffc1fdafb30 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffc1fdafc16 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffc1fdbeb32 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffc1fdbea73 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffc1fdbea69 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffc1fdbeae4 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffc1fdbd962 (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffc1fdd7ff1 (__TEXT,__text) non-external _InSituStreamCancel
00007ffc1fdd7b8c (__TEXT,__text) non-external _InSituStreamClose
00007ffc1fdd7d38 (__TEXT,__text) non-external _InSituStreamPRead
00007ffc1fdd7e7f (__TEXT,__text) non-external _InSituStreamPWrite
00007ffc1fdd800b (__TEXT,__text) non-external _InSituStreamSimulate
00007ffc1fdd7ffe (__TEXT,__text) non-external _InSituTruncate
00007ffc1fdd0ed1 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffc1fdd0ede (__TEXT,__text) non-external _IntervalStreamClose
00007ffc1fdd0e41 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffc1fdd0e33 (__TEXT,__text) non-external _IntervalStreamRead
00007ffc1fdd0e97 (__TEXT,__text) non-external _IntervalStreamSeek
00007ffc1fddadf2 (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
