                 (undefined) external _CC_MD5_Final (from libSystem)
                 (undefined) external _CC_MD5_Init (from libSystem)
                 (undefined) external _CC_MD5_Update (from libSystem)
00000001e890ad00 (__TEXT,__text) external _CONV_DuplicateName
00000001e8908c34 (__TEXT,__text) non-external _FAT_Access_M_SetClustersFatEntryContent
00000001e8909440 (__TEXT,__text) external _FAT_Access_M_TruncateLastClusters
00000001e89128ec (__TEXT,__text) non-external _FAT_Access_M_TruncateLastClusters.cold.1
00000001e8912918 (__TEXT,__text) non-external _FAT_Access_M_TruncateLastClusters.cold.2
00000001e8904214 (__TEXT,__text) external _FILEOPS_FreeUnusedPreAllocatedClusters
00000001e8907744 (__TEXT,__text) external _FILEOPS_PreAllocateClusters
00000001e8912868 (__TEXT,__text) non-external _FILEOPS_PreAllocateClusters.cold.1
00000001e8912894 (__TEXT,__text) non-external _FILEOPS_PreAllocateClusters.cold.2
00000001e89128c0 (__TEXT,__text) non-external _FILEOPS_PreAllocateClusters.cold.3
00000001e8903108 (__TEXT,__text) external _FILEOPS_UpdateLastModifiedTime
00000001e89020e4 (__TEXT,__text) non-external _FILERECORD_AddChainCacheEntryToMainList
00000001e8901848 (__TEXT,__text) external _FILERECORD_AllocateRecord
00000001e89030b8 (__TEXT,__text) non-external _FILERECORD_CompareRecordsLock
00000001e89030d4 (__TEXT,__text) non-external _FILERECORD_CompareRecordsRelease
00000001e8902458 (__TEXT,__text) external _FILERECORD_DeInitChainCache
00000001e8901e90 (__TEXT,__text) external _FILERECORD_EvictAllFileChainCacheEntriesFromGivenOffset
00000001e8912504 (__TEXT,__text) non-external _FILERECORD_EvictAllFileChainCacheEntriesFromGivenOffset.cold.1
00000001e8912530 (__TEXT,__text) non-external _FILERECORD_EvictAllFileChainCacheEntriesFromGivenOffset.cold.2
00000001e8902b04 (__TEXT,__text) non-external _FILERECORD_FindClusterToCreateChainCacheEntry
00000001e8901d8c (__TEXT,__text) external _FILERECORD_FreeRecord
00000001e89024ec (__TEXT,__text) external _FILERECORD_GetChainFromCache
00000001e89125e8 (__TEXT,__text) non-external _FILERECORD_GetChainFromCache.cold.1
00000001e8912684 (__TEXT,__text) non-external _FILERECORD_GetChainFromCache.cold.2
00000001e89126b0 (__TEXT,__text) non-external _FILERECORD_GetChainFromCache.cold.3
00000001e8902e5c (__TEXT,__text) non-external _FILERECORD_GetClusterFromChainArray
00000001e89126dc (__TEXT,__text) non-external _FILERECORD_GetClusterFromChainArray.cold.1
00000001e89022fc (__TEXT,__text) non-external _FILERECORD_GetLastElementNumInCacheEntry
00000001e891255c (__TEXT,__text) non-external _FILERECORD_GetLastElementNumInCacheEntry.cold.1
00000001e8902348 (__TEXT,__text) external _FILERECORD_InitChainCache
00000001e8902fe4 (__TEXT,__text) external _FILERECORD_MultiLock
00000001e8902494 (__TEXT,__text) non-external _FILERECORD_RemoveChainCacheEntry
00000001e8902220 (__TEXT,__text) non-external _FILERECORD_SetChainCacheEntryInFileLocations
00000001e8901f24 (__TEXT,__text) external _FILERECORD_UpdateNewAllocatedClustersInChain
00000001e8901334 (__TEXT,__text) non-external _FSOPS_CopyVolumeLabel
00000001e88fe440 (__TEXT,__text) external _FSOPS_FlushCacheAndFreeLck
00000001e890024c (__TEXT,__text) non-external _FSOPS_InitReadBootSectorAndSetFATType
00000001e88fe400 (__TEXT,__text) external _FSOPS_SetDirtyBitAndAcquireLck
00000001e8912fad (__TEXT,__const) non-external _FSOPS_generate_volume_uuid.kFSUUIDNamespaceSHA1
00000001e89056d0 (__TEXT,__text) external _MSDOS_Create
00000001e8912810 (__TEXT,__text) non-external _MSDOS_Create.cold.1
00000001e891283c (__TEXT,__text) non-external _MSDOS_Create.cold.2
00000001e88fe54c (__TEXT,__text) non-external _MSDOS_Fini
00000001e8903a98 (__TEXT,__text) external _MSDOS_GetAtrrFromDirEntry
00000001e8903d60 (__TEXT,__text) external _MSDOS_GetAttr
00000001e88ff238 (__TEXT,__text) non-external _MSDOS_GetFSAttr
00000001e8903a64 (__TEXT,__text) external _MSDOS_GetFileID
00000001e88fe474 (__TEXT,__text) non-external _MSDOS_Init
00000001e8906654 (__TEXT,__text) external _MSDOS_Link
00000001e89123b4 (__TEXT,__text) external _MSDOS_LoggerInit
00000001e8910938 (__TEXT,__text) external _MSDOS_Lookup
00000001e890d344 (__TEXT,__text) external _MSDOS_MkDir
00000001e88fe80c (__TEXT,__text) non-external _MSDOS_Mount
00000001e8904888 (__TEXT,__text) external _MSDOS_Read
00000001e890e518 (__TEXT,__text) external _MSDOS_ReadDir
00000001e890ef50 (__TEXT,__text) external _MSDOS_ReadDirAttr
00000001e8904458 (__TEXT,__text) external _MSDOS_ReadLink
00000001e89040dc (__TEXT,__text) external _MSDOS_Reclaim
00000001e8910b0c (__TEXT,__text) external _MSDOS_Remove
00000001e890665c (__TEXT,__text) external _MSDOS_Rename
00000001e8910f4c (__TEXT,__text) external _MSDOS_RmDir
00000001e8911970 (__TEXT,__text) external _MSDOS_ScanDir
00000001e88ffdd0 (__TEXT,__text) non-external _MSDOS_ScanVols
00000001e890322c (__TEXT,__text) non-external _MSDOS_SetAtrrToDirEntry
00000001e891278c (__TEXT,__text) non-external _MSDOS_SetAtrrToDirEntry.cold.1
00000001e89127b8 (__TEXT,__text) non-external _MSDOS_SetAtrrToDirEntry.cold.2
00000001e89127e4 (__TEXT,__text) non-external _MSDOS_SetAtrrToDirEntry.cold.3
00000001e8903f08 (__TEXT,__text) external _MSDOS_SetAttr
00000001e88ff7b0 (__TEXT,__text) non-external _MSDOS_SetFSAttr
00000001e8905c9c (__TEXT,__text) external _MSDOS_SymLink
00000001e88fedc8 (__TEXT,__text) non-external _MSDOS_Sync
00000001e88fe5d4 (__TEXT,__text) non-external _MSDOS_Taste
00000001e88ff06c (__TEXT,__text) non-external _MSDOS_Unmount
00000001e8904bd4 (__TEXT,__text) external _MSDOS_Write
00000001e88ff984 (__TEXT,__text) non-external _MSDOS_check
0000000206440960 (__AUTH,__data) external _MSDOS_fsOps
00000001e89013d8 (__TEXT,__text) external _MultiReadSingleWrite_DeInit
00000001e8912428 (__TEXT,__text) non-external _MultiReadSingleWrite_DeInit.cold.1
00000001e8901418 (__TEXT,__text) external _MultiReadSingleWrite_FreeRead
00000001e8912480 (__TEXT,__text) non-external _MultiReadSingleWrite_FreeRead.cold.1
00000001e8901478 (__TEXT,__text) external _MultiReadSingleWrite_FreeWrite
00000001e89124d8 (__TEXT,__text) non-external _MultiReadSingleWrite_FreeWrite.cold.1
00000001e89013b4 (__TEXT,__text) external _MultiReadSingleWrite_Init
00000001e89123fc (__TEXT,__text) non-external _MultiReadSingleWrite_Init.cold.1
00000001e89013f8 (__TEXT,__text) external _MultiReadSingleWrite_LockRead
00000001e8912454 (__TEXT,__text) non-external _MultiReadSingleWrite_LockRead.cold.1
00000001e8901438 (__TEXT,__text) external _MultiReadSingleWrite_LockWrite
00000001e89124ac (__TEXT,__text) non-external _MultiReadSingleWrite_LockWrite.cold.1
00000001e8901458 (__TEXT,__text) external _MultiReadSingleWrite_TryLockWrite
00000001e89030f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001e890ae48 (__TEXT,__text) external _RAWFILE_read
00000001e890b2e4 (__TEXT,__text) external _RAWFILE_write
00000001e89014fc (__TEXT,__text) external _ZeroFill_DeInit
00000001e89015e0 (__TEXT,__text) external _ZeroFill_Fill
00000001e890173c (__TEXT,__text) external _ZeroFill_FillClusterSuffixWithZeros
00000001e8901498 (__TEXT,__text) external _ZeroFill_Init
00000001e8913628 (__TEXT,__const) non-external ___CFUniCharBMPPrecompDestinationTable
00000001e89130fe (__TEXT,__const) non-external ___CFUniCharCombiningBitmap
00000001e891447c (__TEXT,__const) non-external ___CFUniCharCombiningPropertyBitmap
00000001e891597c (__TEXT,__const) non-external ___CFUniCharDecomposableBitmap
00000001e8915cbc (__TEXT,__const) non-external ___CFUniCharDecompositionTable
00000001e8916be4 (__TEXT,__const) non-external ___CFUniCharMultipleDecompositionTable
00000001e8913480 (__TEXT,__const) non-external ___CFUniCharPrecompSourceTable
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00000001e8912f28 (__TEXT,__const) non-external _ascii_case
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
                 (undefined) external _difftime (from libSystem)
0000000204be2088 (__DATA,__data) non-external (was a private external) _dos2unicode
                 (undefined) external _environ (from libSystem)
                 (undefined) external _free (from libSystem)
0000000204be21f8 (__DATA,__common) external _gbIsLoggerInit
                 (undefined) external _gmtime (from libSystem)
00000001e8917ad3 (__TEXT,__const) external _gpeMsDosToOsLevel
0000000204be2200 (__DATA,__common) external _gpsMsDosLog
0000000204be2208 (__DATA,__bss) non-external _gpvZeroBuf
00000001e8912fd8 (__TEXT,__const) external _guMaxLRU
00000001e8912fed (__TEXT,__const) external _hexdigits
00000001e8909bd8 (__TEXT,__text) external _ht_AllocateHashTable
00000001e890a130 (__TEXT,__text) external _ht_DeAllocateHashTable
00000001e8909c6c (__TEXT,__text) external _ht_LookupByEntry
00000001e8909c28 (__TEXT,__text) external _ht_LookupByName
00000001e890a0a8 (__TEXT,__text) external _ht_free_all
00000001e8909d48 (__TEXT,__text) external _ht_insert
00000001e8909ee0 (__TEXT,__text) external _ht_reached_low_bound
00000001e8909ecc (__TEXT,__text) external _ht_reached_max_bound
00000001e8909ef4 (__TEXT,__text) external _ht_remove
00000001e890a04c (__TEXT,__text) non-external _ht_remove_from_list
00000001e8912944 (__TEXT,__text) non-external _ht_remove_from_list.cold.1
                 (undefined) external _ioctl (from libSystem)
0000000204be20c8 (__DATA,__data) non-external (was a private external) _l2u
00000001e8912de0 (__TEXT,__const) non-external _leapyear
00000001e8900238 (__TEXT,__text) external _livefiles_plugin_init
00000001e8912ffe (__TEXT,__const) non-external _mac2sfm
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mktime (from libSystem)
                 (undefined) external _mmap (from libSystem)
0000000204be21f0 (__DATA,__common) non-external (was a private external) _msdos_secondsWest
00000001e88fdefc (__TEXT,__text) external _msdosfs_apply_generation_to_short_name
00000001e88fda40 (__TEXT,__text) external _msdosfs_dos2unicodefn
00000001e88fd820 (__TEXT,__text) external _msdosfs_dos2unixtime
00000001e88fe260 (__TEXT,__text) external _msdosfs_getunicodefn
00000001e88fd900 (__TEXT,__text) external _msdosfs_unicode2dos
00000001e88fdfac (__TEXT,__text) external _msdosfs_unicode2winfn
00000001e88fdb5c (__TEXT,__text) external _msdosfs_unicode_to_dos_name
00000001e88fd6b4 (__TEXT,__text) external _msdosfs_unix2dostime
00000001e88fe0a0 (__TEXT,__text) external _msdosfs_winChkName
00000001e88fe398 (__TEXT,__text) external _msdosfs_winChksum
00000001e88fe3c4 (__TEXT,__text) external _msdosfs_winSlotCnt
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _posix_spawn (from libSystem)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libSystem)
                 (undefined) external _posix_spawn_file_actions_destroy (from libSystem)
                 (undefined) external _posix_spawn_file_actions_init (from libSystem)
                 (undefined) external _posix_spawnattr_destroy (from libSystem)
                 (undefined) external _posix_spawnattr_init (from libSystem)
                 (undefined) external _posix_spawnattr_setflags (from libSystem)
                 (undefined) external _pread (from libSystem)
00000001e890a780 (__TEXT,__text) non-external _priortysort
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_rwlock_destroy (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_trywrlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
00000001e8912fe0 (__TEXT,__const) external _puLongNameOffset
0000000204be21e8 (__DATA,__data) external _puRecordId2FaType
                 (undefined) external _pwrite (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _rand (from libSystem)
00000001e890b890 (__TEXT,__text) non-external _registerUnAlignedCondTable
00000001e8912dc8 (__TEXT,__const) non-external _regyear
00000001e8917aa4 (__TEXT,__const) non-external _sfm2mac
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00000001e8912fd0 (__TEXT,__const) non-external _symlink_magic
00000001e8917ace (__TEXT,__const) non-external _symlink_magic
                 (undefined) external _time (from libSystem)
00000001e890a720 (__TEXT,__text) non-external _unicode_combinable
00000001e890ad4c (__TEXT,__text) non-external _unicode_recursive_decompose
00000001e8912df8 (__TEXT,__const) non-external _unilsb2dos
00000001e8912ef8 (__TEXT,__const) non-external _unipunct2dos
00000001e890b950 (__TEXT,__text) non-external _unregisterUnAlignedCondTable
00000001e8912970 (__TEXT,__text) non-external _unregisterUnAlignedCondTable.cold.1
                 (undefined) external _usleep (from libSystem)
0000000204be21c8 (__DATA,__data) external _utf_extrabytes
                 (undefined) external _waitpid (from libSystem)
