00007ffa1e97e082 (__TEXT,__text) non-external _DiToMD5
00007ffa1e966c23 (__TEXT,__text) external _IOLockLock
00007ffa1e966c2d (__TEXT,__text) external _IOLockTryLock
00007ffa1e966c37 (__TEXT,__text) external _IOLockUnlock
00007ffa1e963d56 (__TEXT,__text) external _IOLog
00007ffa1e963c16 (__TEXT,__text) external _IOLogBuffer
00007ffa1e963df4 (__TEXT,__text) external _IOLogv
00007ffa1e963efd (__TEXT,__text) external _IOMalloc
00007ffa1e963f34 (__TEXT,__text) external _IOMallocData
00007ffa1e963f18 (__TEXT,__text) external _IOMallocZero
00007ffa1e963f4f (__TEXT,__text) external _IOMallocZeroData
00007ffa41b415e0 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa41b41790 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1e96400e (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1e964478 (__TEXT,__text) external _IOParseBootArgString
00007ffa1e965e0d (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1e98eade (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1e98eb13 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1e966e40 (__TEXT,__text) external _IORWLockAlloc
00007ffa1e98ee5b (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa1e966e79 (__TEXT,__text) external _IORWLockFree
00007ffa1e966ea0 (__TEXT,__text) external _IORWLockRead
00007ffa1e98ee7e (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1e966ecc (__TEXT,__text) external _IORWLockUnlock
00007ffa1e98eec4 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1e966eb6 (__TEXT,__text) external _IORWLockWrite
00007ffa1e98eea1 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1e966cba (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1e966ce6 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1e966da8 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1e98edf2 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1e966cfc (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1e98ed66 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1e98ed89 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1e966ddc (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1e98ee15 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1e98ee38 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1e966d54 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1e98edac (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1e98edcf (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1e966c5e (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1e966c7a (__TEXT,__text) external _IORecursiveLockFree
00007ffa1e966ca6 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1e966c90 (__TEXT,__text) external _IORecursiveLockLock
00007ffa1e966cb0 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1e966c9c (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa41b41bc0 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa41b41940 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41b41fc8 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa41b42128 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa41b41e18 (__DATA_CONST,__const) external _IOService_Class
00007ffa41b419e0 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1e963f6b (__TEXT,__text) external _IOSleep
00007ffa41b41a80 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa1e966f47 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffa1e966ee2 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffa1e966f11 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffa1e966f26 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffa41b43d98 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41b42288 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa41b42438 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1e967584 (__TEXT,__text) external _IOUserServerMain
00007ffa1e98f16e (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1e98f2a9 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1e98f191 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1e98f1b4 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1e98f1d7 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffa1e98f1fa (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffa1e98f21d (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffa1e98f240 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffa1e98f263 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffa1e98f286 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffa41b42718 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffa43f935b8 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffa41b428c8 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffa1e97e1eb (__TEXT,__text) external _MD5Final
00007ffa1e97e000 (__TEXT,__text) external _MD5Init
00007ffa1e97e17f (__TEXT,__text) non-external _MD5ToDi
00007ffa1e97e0db (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffa41b42a28 (__DATA_CONST,__const) external _OSAction_Class
00007ffa41b424d8 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffa41b43b28 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffa1e970164 (__TEXT,__text) external _OSArrayAppendValue
00007ffa1e96fdd9 (__TEXT,__text) external _OSArrayApply
00007ffa1e96fd92 (__TEXT,__text) external _OSArrayCreate
00007ffa1e96f456 (__TEXT,__text) external _OSArrayGetCount
00007ffa1e9701f2 (__TEXT,__text) external _OSArrayGetStringValue
00007ffa1e970262 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffa1e970198 (__TEXT,__text) external _OSArrayGetValue
00007ffa1e970155 (__TEXT,__text) external _OSArrayReplaceValue
00007ffa1e97021d (__TEXT,__text) external _OSArraySetStringValue
00007ffa1e970328 (__TEXT,__text) external _OSArraySetUInt64Value
00007ffa1e96ffb5 (__TEXT,__text) external _OSArraySetValue
00007ffa41b42bd8 (__DATA_CONST,__const) external _OSArray_Class
00007ffa41b42cd0 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffa41b42dc8 (__DATA_CONST,__const) external _OSBundle_Class
00007ffa1e96e123 (__TEXT,__text) external _OSCollectionTypeID
00007ffa1e98fe06 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffa1e96e0a0 (__TEXT,__text) external _OSCollectionTypeName
00007ffa1e98fdc2 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffa41b42ec0 (__DATA_CONST,__const) external _OSCollection_Class
00007ffa1e97298e (__TEXT,__text) external _OSCollectionsInitialize
00007ffa41b42fb8 (__DATA_CONST,__const) external _OSContainer_Class
00007ffa1e96e187 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffa1e98fe4c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffa1e970c65 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffa1e99037a (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffa1e970b74 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffa1e96f2f3 (__TEXT,__text) external _OSDataAppendBytes
00007ffa1e96f25d (__TEXT,__text) external _OSDataCreate
00007ffa1e98ffec (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffa1e96f209 (__TEXT,__text) external _OSDataGetBytes
00007ffa1e96f1c0 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffa1e96f1f8 (__TEXT,__text) external _OSDataGetLength
00007ffa41b43118 (__DATA_CONST,__const) external _OSData_Class
00007ffa1e96f463 (__TEXT,__text) external _OSDictionaryApply
00007ffa1e96f402 (__TEXT,__text) external _OSDictionaryCreate
00007ffa1e96f449 (__TEXT,__text) external _OSDictionaryGetCount
00007ffa1e96fb11 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffa1e96fcb8 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffa1e96fa8c (__TEXT,__text) external _OSDictionaryGetValue
00007ffa1e96fc73 (__TEXT,__text) external _OSDictionarySetStringValue
00007ffa1e96fd54 (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffa1e96f71e (__TEXT,__text) external _OSDictionarySetValue
00007ffa41b43210 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffa41b43308 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffa1e96f3ac (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffa1e96f38b (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffa41b43400 (__DATA_CONST,__const) external _OSNumber_Class
00007ffa1e9711ea (__TEXT,__text) external _OSObjectLog
00007ffa1e96e0db (__TEXT,__text) external _OSObjectRelease
00007ffa1e96e0d0 (__TEXT,__text) external _OSObjectRetain
00007ffa41b434f8 (__DATA_CONST,__const) external _OSObject_Class
00007ffa41b436a8 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffa1e964487 (__TEXT,__text) external _OSReportWithBacktrace
00007ffa1e970d8a (__TEXT,__text) external _OSSerializationGetBytes
00007ffa41b437a0 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffa41b43898 (__DATA_CONST,__const) external _OSSet_Class
00007ffa1e96ec5a (__TEXT,__text) external _OSStringCreate
00007ffa1e98fefb (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffa1e98ff1e (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffa1e98ff3f (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffa1e96ec0f (__TEXT,__text) external _OSStringGetLength
00007ffa1e96ebd6 (__TEXT,__text) external _OSStringGetStringPtr
00007ffa41b43990 (__DATA_CONST,__const) external _OSString_Class
00007ffa1e963f85 (__TEXT,__text) external _OSSynchronizeIO
00007ffa42cef490 (__DATA,__bss) non-external _OSUniqueStrings
00007ffa1e9647b0 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffa1e97e46b (__TEXT,__text) external _SHA1Final
00007ffa1e97e280 (__TEXT,__text) external _SHA1Init
00007ffa1e97e408 (__TEXT,__text) non-external _SHA1ToDi
00007ffa1e97e363 (__TEXT,__text) external _SHA1Update
00007ffa1e97ec6e (__TEXT,__text) external _SHA256_Final
00007ffa1e97ebfb (__TEXT,__text) external _SHA256_Init
00007ffa1e990af0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffa1e97ec3b (__TEXT,__text) external _SHA256_Update
00007ffa1e97ed0c (__TEXT,__text) external _SHA384_Final
00007ffa1e97ec93 (__TEXT,__text) external _SHA384_Init
00007ffa1e990b09 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffa1e97ecd9 (__TEXT,__text) external _SHA384_Update
00007ffa1e97edaa (__TEXT,__text) external _SHA512_Final
00007ffa1e97ed31 (__TEXT,__text) external _SHA512_Init
00007ffa1e990b22 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffa1e97ed77 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffa1e9652ca (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffa1e97edcf (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffa41b43a88 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00007ffa1e96563a (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00007ffa1e98e898 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00007ffa1e98e8bb (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00007ffa1e966f51 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00007ffa1e98eee7 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00007ffa1e98ef0a (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00007ffa1e98ef2d (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00007ffa1e98ef50 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00007ffa1e98ef73 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00007ffa1e96604e (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00007ffa1e98ebc2 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00007ffa1e98ebe5 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00007ffa1e98ec08 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00007ffa1e98ec2b (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00007ffa1e9658e4 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00007ffa1e98e947 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00007ffa1e97017a (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00007ffa1e972938 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00007ffa1e965478 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00007ffa1e98e82f (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00007ffa1e98e852 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00007ffa1e98e875 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00007ffa1e97028d (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00007ffa1e9702fd (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00007ffa1e9702b8 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00007ffa1e96568f (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00007ffa1e970688 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00007ffa1e990262 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e990285 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e9902a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e9902cb (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00007ffa1e9902ee (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00007ffa1e990311 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00007ffa1e963ace (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00007ffa1e963bc6 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00007ffa1e965ba2 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00007ffa1e98e98b (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00007ffa1e965c98 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00007ffa1e967362 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00007ffa1e9653eb (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00007ffa1e965353 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00007ffa1e970da8 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00007ffa1e99039d (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00007ffa1e9657e5 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00007ffa1e98e901 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00007ffa1e98e924 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00007ffa1e96e150 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00007ffa1e98fe29 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00007ffa1e96e0e6 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00007ffa1e98fde3 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00007ffa1e962960 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00007ffa1e96f170 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00007ffa1e970366 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00007ffa1e990078 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00007ffa1e99009b (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00007ffa1e9900be (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00007ffa1e9900e1 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00007ffa1e990104 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00007ffa1e96f13c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00007ffa1e96f36f (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00007ffa1e97049d (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00007ffa1e990127 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00007ffa1e99014a (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00007ffa1e99016d (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00007ffa1e96733a (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00007ffa1e966a60 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00007ffa1e98d506 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00007ffa1e9639de (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00007ffa1e964bb3 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00007ffa1e98e7ab (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00007ffa1e96dc38 (__TEXT,__text) non-external __ZL10uiomessagePv
00007ffa1e98d41a (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00007ffa1e971e4e (__TEXT,__text) non-external __ZL11OSSetCreatev
00007ffa1e990ff0 (__TEXT,__const) non-external __ZL11yytranslate
00007ffa1e98e570 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00007ffa1e98ce3e (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00007ffa1e98d488 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00007ffa1e98d5a4 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00007ffa1e98d5d4 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00007ffa1e96ef27 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00007ffa1e96eee5 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00007ffa1e98ff62 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00007ffa1e98dc26 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00007ffa1e97f298 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00007ffa1e984640 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00007ffa1e96ca7d (__TEXT,__text) non-external __ZL13IOThreadStartPv
00007ffa1e98fb63 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00007ffa1e98fb86 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00007ffa1e98fba9 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00007ffa1e98d458 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00007ffa1e984550 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00007ffa1e968682 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00007ffa1e98f5ef (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00007ffa1e98f612 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00007ffa1e98f635 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00007ffa1e98f658 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00007ffa1e981a08 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00007ffa1e9842bc (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00007ffa1e98c7d0 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00007ffa1e98d4d6 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00007ffa1e9671ac (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00007ffa1e98f08b (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00007ffa1e98f0ae (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00007ffa1e98f0d1 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00007ffa1e98f0f4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00007ffa1e967dd9 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00007ffa1e98f3f4 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00007ffa1e98f417 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00007ffa1e98f43a (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00007ffa1e98f45d (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00007ffa1e96d653 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00007ffa1e98fc58 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00007ffa1e98fc7b (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00007ffa1e98fc9e (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00007ffa1e98fcc1 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00007ffa1e98fce4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00007ffa1e98fd07 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
