00000001d98fb4a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d98f9280 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001d98f8d44 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001d98f9270 (__TEXT,__text) non-external -[NFEventManager events]
00000001d98f86a8 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001d9900854 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001d98f90ac (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001d98f8ea4 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001d98f8624 (__TEXT,__text) non-external -[NFEventManager init]
00000001d98f8894 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001d99009cc (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001d98f8bf0 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001d9900c00 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001d98f8b34 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001d9900b44 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001d98f8744 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001d9900910 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001d98f89e4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001d9900a88 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001d98f9278 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001d98f93dc (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001d98f93c4 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001d98f93bc (__TEXT,__text) non-external -[NFEventTrigger events]
00000001d98f93d4 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001d98f93cc (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001d98f92c4 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001d98f93b4 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001d98fac9c (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001d98fac8c (__TEXT,__text) non-external -[NFLazy constructor]
00000001d98faac0 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001d98fac94 (__TEXT,__text) non-external -[NFLazy lock]
00000001d98fac18 (__TEXT,__text) non-external -[NFLazy reset]
00000001d98fab60 (__TEXT,__text) non-external -[NFLazy value]
00000001d9900364 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001d98ffc44 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001d9900340 (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001d98ffe1c (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001d9900348 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001d98ffc40 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001d99001d0 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001d98ffb44 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001d98ffb4c (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001d9900350 (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001d9900028 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001d98ffccc (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001d98ffd54 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001d98ffeb0 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001d9900358 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001d98fe4ec (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001d98fe44c (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001d98fe444 (__TEXT,__text) non-external -[NFMutexLock init]
00000001d98fe59c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001d98fe538 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001d98fe5a4 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001d98f85d4 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001d98f8430 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001d98f85a0 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001d98f85c4 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001d98f85b4 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001d98f85a8 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001d98f85cc (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001d98f85bc (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001d98fc9cc (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001d98fb5c4 (__TEXT,__text) non-external -[NFPromise always:]
00000001d98fbc5c (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001d98fb558 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001d98fc84c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001d98fc730 (__TEXT,__text) non-external -[NFPromise delay]
00000001d98fb5b4 (__TEXT,__text) non-external -[NFPromise error:]
00000001d98fbbd0 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001d98fc188 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001d98fc088 (__TEXT,__text) non-external -[NFPromise error]
00000001d98fb4d0 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001d98fb210 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001d98fb41c (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001d98fb0bc (__TEXT,__text) non-external -[NFPromise init]
00000001d98fbf34 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001d98fbdf0 (__TEXT,__text) non-external -[NFPromise pipe]
00000001d98fc4e4 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001d98fc214 (__TEXT,__text) non-external -[NFPromise resolve]
00000001d98fc9b8 (__TEXT,__text) non-external -[NFPromise seal]
00000001d98fc9c0 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001d98fb5a4 (__TEXT,__text) non-external -[NFPromise then:]
00000001d98fb5d4 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001d98fbd64 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001d98fbcdc (__TEXT,__text) non-external -[NFPromise then]
00000001d98fea08 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001d98fea7c (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001d98fddc8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001d98fd87c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001d98fd4a0 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001d9900f3c (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001d9901004 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001d98fdd88 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001d98fddac (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001d98fd41c (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001d98fd398 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001d98fd310 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001d98fddc0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001d98fd9e4 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001d98fd580 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001d98fd574 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001d98fd590 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001d98fdb28 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001d99010cc (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001d98fdd90 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001d98fddb4 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001d98fdda4 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001d98fdd7c (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001d98fdd9c (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001d98fdd74 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001d98fe3f4 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001d98fe224 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001d98fe11c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001d98fe3e0 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001d98fe3a8 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001d98fe0d0 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001d98fdf1c (__TEXT,__text) non-external -[NFReachability init]
00000001d98fe3cc (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001d98fe3b8 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001d98fe3e8 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001d98fe3b0 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001d98fe3d4 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001d98fe3c0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001d98fa9b4 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001d98f9c2c (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001d98f9bbc (__TEXT,__text) non-external -[NFStateMachine activate]
00000001d98f9e64 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001d9900d84 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001d98f9d58 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001d9900cbc (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001d98f9cfc (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001d98f9c88 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001d98f9ad0 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001d98f9a34 (__TEXT,__text) non-external -[NFStateMachine description]
00000001d98fa97c (__TEXT,__text) non-external -[NFStateMachine events]
00000001d98f9f70 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001d98f98fc (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001d98fa990 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001d98fa930 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001d98fa984 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001d98fa998 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001d98fa95c (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001d98fa924 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001d98fa970 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001d98fa914 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001d98fa9ac (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001d98fa91c (__TEXT,__text) non-external -[NFStateMachine state]
00000001d98fa968 (__TEXT,__text) non-external -[NFStateMachine states]
00000001d98fa9a4 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001d98fa90c (__TEXT,__text) non-external -[NFStateMachine status]
00000001d98fe9ac (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001d98fe798 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001d98fe988 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001d98fe99c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001d98fe888 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001d98fe680 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001d98fe5ac (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001d98fe6c0 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001d98fe964 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001d98fe860 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001d98fe990 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001d98fe9a4 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001d98fe96c (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001d98fe97c (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001d98fe974 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001d98ff710 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001d98ff6c0 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001d98ff564 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001d98ff700 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001d98ff6f0 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001d98ff44c (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001d98ff3d0 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001d98ff48c (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001d98ff6b0 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001d98ff5e8 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001d98ff688 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001d98ff638 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001d98ff660 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001d98ff610 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001d98ff6c8 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001d98ff708 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001d98ff6f8 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001d98ff6b8 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001d98ff6e8 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001d98ff6d8 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001d98ff6e0 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001d98ff6d0 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001d98ff784 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001d98ffa68 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001d98ff98c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001d98ff8e0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001d98ff834 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001d98f83c8 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001d98f83b4 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001d98f827c (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001d98f8378 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001d98f838c (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001d98f8158 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001d98f83bc (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001d98f8380 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001d98f8394 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001d98f836c (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001d98f83a8 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001d98f8364 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001d98f83a0 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001d98f8148 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001d98f8150 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001d98f8070 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001d98f80cc (__TEXT,__text) non-external -[NFUnfairLock init]
00000001d98f8134 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001d98f80d4 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001d98f8140 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001d98fc9e8 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001d98f988c (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001d98fae00 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001d98fd070 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001d98fd170 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001d98faa18 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001d99005d8 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001d9900520 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001d9903120 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001d990317c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001d9903198 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001d98f9608 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001d99007e4 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d99011bc (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00000001edcec310 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001edcec308 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001d9900608 (__TEXT,__text) external _NFDeviceIsA7
00000001d9900610 (__TEXT,__text) external _NFDeviceIsA8
00000001d9900740 (__TEXT,__text) external _NFDeviceModelString
00000001d990070c (__TEXT,__text) external _NFDeviceOSVersion
00000001d9900618 (__TEXT,__text) external _NFDevicePlatform
00000001d99011a8 (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00000001edcec300 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001edcec2f8 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001d9900700 (__TEXT,__text) external _NFGeneralDeviceString
00000001d98f7f80 (__TEXT,__text) external _NFInternalBuild
00000001d990082c (__TEXT,__text) non-external _NFInternalBuild.cold.1
00000001edcec320 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00000001edcec318 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001d98fde24 (__TEXT,__text) external _NFLockSync
00000001d98fd244 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001d98f7fe0 (__TEXT,__text) external _NFSeedBuild
00000001e86df200 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001d98f7fe8 (__TEXT,__text) external _NFStoreDemoMode
00000001d9900840 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00000001edcec2f0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001edcec321 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001d9900774 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001d9902458 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001d9902418 (__TEXT,__const) external _NewsFoundationVersionString
00000001edcec248 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001edcec1a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001edcec180 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001edcec158 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001edcec270 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001edcec130 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001edcec1d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001edcec108 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001edcec0e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001edcec0b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001edcec090 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001edcec068 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001edcec040 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001edcec018 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001edcebff0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001edcebfc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001ecb32328 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001ecb3232c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001ecb32340 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001ecb3233c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001ecb32334 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001ecb32330 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001ecb32338 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001ecb32364 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001ecb32368 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001ecb32360 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001ecb323c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
