00000001dab1e14c (__TEXT,__text) non-external +[Cube initialize]
00000001daa66200 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001daa65520 (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001daa66b84 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001daa66bbc (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001daa67068 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001daa68644 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001daa68928 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001daa688ac (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001daa69388 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001daa62978 (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001daa6a618 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001daa618bc (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001daa61908 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001daa6c4ac (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001daa71658 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001daa72bec (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001daa64758 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001daa63be8 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001daa643d0 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001daa64148 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001daa78094 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001daa77e18 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001daa77bf0 (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001daa77a9c (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001daa779f4 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001daa77b54 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001daa77978 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001daa777e4 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001daa77fe4 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001daa78b64 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001daa7b308 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001daa7f9fc (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001daa8027c (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001daa85028 (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001daa6305c (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001daa63914 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001daa633bc (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001daa63640 (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001daa8e378 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001daa8eb98 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001daa8d0d4 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001daa8d16c (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001daa8cfcc (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001daa8e1b4 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001daa8d148 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001daa8d0b0 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001daa8ce80 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001daa8d03c (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001daa8d334 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001daa8d554 (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001daa8d634 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001daa8dca8 (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001daa8d408 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001daa8cf24 (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001daa62408 (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001daaf169c (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001daaf1400 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001daaf23e8 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001daaf2734 (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001daaf1178 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001daa8656c (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001daa86744 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001daa86eb4 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001daa86f8c (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001daa86fa4 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001daa86d84 (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001daa87100 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001daa87408 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001daa87398 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001daae5b4c (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001daae5ae8 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001daae5a74 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001daa88184 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001daa88108 (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001daad63d8 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001daad635c (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001dab4007c (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001dab3ffe4 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001dab41f18 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001dab41e80 (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001da9257a4 (__TEXT,__text) non-external +[MPAction action]
00000001da92579c (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001da927fa0 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001da927fd0 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001da926adc (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001da926ad4 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001da928c68 (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001da92b4bc (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001da92b980 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001da92b9c8 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001da92b978 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001da92bde8 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001da92be40 (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001da92bde0 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001da92d20c (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001da92d1b4 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001da92d1ac (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001da92ccf8 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001da92cd48 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001da92ccf0 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001da92df8c (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001da92df18 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001da92e068 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001da92e3fc (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001da92e3f4 (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001da92e660 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001da92e658 (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001da92eea4 (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001da92ee9c (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001da9265bc (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001da9265b4 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001da93167c (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001da931670 (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001da9158fc (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001da932064 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001da93235c (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001da932224 (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001da93252c (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001da9324fc (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001da932524 (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001da933f1c (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001da933eb0 (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001da95ab5c (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001da95cff8 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001da95b5a8 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001da95d7a0 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001da95a3e4 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001da95a39c (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001da95a42c (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001da95adc0 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001da95d48c (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001da95d500 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001da95ad70 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001da95d3a4 (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001da95cdb8 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001da95caa4 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001da95b06c (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001da95b1b4 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001da95b714 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001da95c934 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001da95abf0 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001da95a4fc (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001da95a470 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001da95d268 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001da95d9c0 (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001da95af38 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001da95a8cc (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001da95c890 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001da95b5e8 (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001da95b110 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001da95c1f4 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001da95c308 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001da95c29c (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001da95cf68 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001da95d27c (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001da95b4e8 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001da95d78c (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001da95be08 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001da95a0dc (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001da95b804 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001da95b96c (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001da95bc70 (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001da95d708 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001da95d8ec (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001da95a7c4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001da95a848 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001da95a750 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001da95a950 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001da95a564 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001da95a9e0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001da95a64c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001da95a6dc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001da95b680 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001da95c004 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001da95aa68 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001da95c378 (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001da95c4c0 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001da95a358 (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001da95afe4 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001da95acd8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001da95d0b8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001da95ac34 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001da95c230 (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001da95d684 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001da95ae94 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001da95a610 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001da95bc28 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001da95c678 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001da95c724 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001da95bbe4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001da95c5d0 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001da95c854 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001da95d9dc (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001da95cb84 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001da95c568 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001da95ba98 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001da95b8b0 (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001da95c810 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001da95d1ec (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001da95cc9c (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001da95cbec (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001da95d418 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001da95d03c (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001da95be7c (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001da95b52c (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001da95d128 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001da95d8bc (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001da95d170 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001da95c9ec (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001da95b75c (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001da95ad78 (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001da95ce70 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001da95d304 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001da95bb40 (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001da95d574 (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001da95bee4 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001da95c14c (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001da95c0a0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001da95bf54 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001da95cfb0 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001da95a320 (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001da95d254 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001da95bd0c (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001da95b25c (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001da95b818 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00000001da95a20c (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
00000001da95b324 (__TEXT,__text) non-external +[MPAuthoringUtilities useBestAspectRatioFromOptions:]
00000001da95b4a0 (__TEXT,__text) non-external +[MPAuthoringUtilities useDefaultAudioFromOptions:]
00000001da95b45c (__TEXT,__text) non-external +[MPAuthoringUtilities useImageOnlyTitleEffectFromOptions:]
