00007ff815760cd8 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff815761a74 (__TEXT,__text) non-external -[CalCalendar description]
00007ff815766bba (__TEXT,__text) non-external -[CalCalendar ekCalendar]
00007ff81576668a (__TEXT,__text) non-external -[CalCalendar hash]
00007ff8157665f8 (__TEXT,__text) non-external -[CalCalendar initWithEKCalendar:]
00007ff8157664fd (__TEXT,__text) non-external -[CalCalendar init]
00007ff81575fdd2 (__TEXT,__text) non-external -[CalCalendar isEditable]
00007ff8157666a0 (__TEXT,__text) non-external -[CalCalendar isEqual:]
00007ff815761bcb (__TEXT,__text) non-external -[CalCalendar notes]
00007ff81575fdbc (__TEXT,__text) non-external -[CalCalendar setColor:]
00007ff815766bc4 (__TEXT,__text) non-external -[CalCalendar setEkCalendar:]
00007ff81575fda6 (__TEXT,__text) non-external -[CalCalendar setNotes:]
00007ff81575fd90 (__TEXT,__text) non-external -[CalCalendar setTitle:]
00007ff815761bb5 (__TEXT,__text) non-external -[CalCalendar title]
00007ff815761c2c (__TEXT,__text) non-external -[CalCalendar type]
00007ff8157603ce (__TEXT,__text) non-external -[CalCalendar uid]
00007ff81576af48 (__TEXT,__text) non-external -[CalCalendarItem .cxx_destruct]
00007ff815760dd3 (__TEXT,__text) non-external -[CalCalendarItem addAlarm:]
00007ff815769f61 (__TEXT,__text) non-external -[CalCalendarItem addAlarms:]
00007ff81576175e (__TEXT,__text) non-external -[CalCalendarItem alarms]
00007ff8157616f4 (__TEXT,__text) non-external -[CalCalendarItem calendar]
00007ff81576aea8 (__TEXT,__text) non-external -[CalCalendarItem copyWithZone:]
00007ff81576169c (__TEXT,__text) non-external -[CalCalendarItem dateStamp]
00007ff815761527 (__TEXT,__text) non-external -[CalCalendarItem description]
00007ff81576af12 (__TEXT,__text) non-external -[CalCalendarItem ekCalendarItem]
00007ff815769f43 (__TEXT,__text) non-external -[CalCalendarItem hasAlarm]
00007ff81576ae92 (__TEXT,__text) non-external -[CalCalendarItem hash]
00007ff815769df7 (__TEXT,__text) non-external -[CalCalendarItem initWithEKCalendarItem:]
00007ff81576a3d8 (__TEXT,__text) non-external -[CalCalendarItem isEqual:]
00007ff815769f59 (__TEXT,__text) non-external -[CalCalendarItem nextAlarmDate]
00007ff8157616c8 (__TEXT,__text) non-external -[CalCalendarItem notes]
00007ff81576a08b (__TEXT,__text) non-external -[CalCalendarItem removeAlarm:]
00007ff81576a0db (__TEXT,__text) non-external -[CalCalendarItem removeAlarms:]
00007ff81576a205 (__TEXT,__text) non-external -[CalCalendarItem setAlarms:]
00007ff815760ec7 (__TEXT,__text) non-external -[CalCalendarItem setCalendar:]
00007ff81576af1c (__TEXT,__text) non-external -[CalCalendarItem setEkCalendarItem:]
00007ff8157604cc (__TEXT,__text) non-external -[CalCalendarItem setNotes:]
00007ff8157603e4 (__TEXT,__text) non-external -[CalCalendarItem setTitle:]
00007ff81576af37 (__TEXT,__text) non-external -[CalCalendarItem setUnsavedRelateToDictionary:]
00007ff8157604e2 (__TEXT,__text) non-external -[CalCalendarItem setUrl:]
00007ff81576aba0 (__TEXT,__text) non-external -[CalCalendarItem sortedAlarms]
00007ff8157616b2 (__TEXT,__text) non-external -[CalCalendarItem title]
00007ff815761686 (__TEXT,__text) non-external -[CalCalendarItem uid]
00007ff81576af2d (__TEXT,__text) non-external -[CalCalendarItem unsavedRelateToDictionary]
00007ff8157616de (__TEXT,__text) non-external -[CalCalendarItem url]
00007ff8157664d4 (__TEXT,__text) non-external -[CalCalendarStore .cxx_destruct]
00007ff8157647df (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:]
00007ff8157647f3 (__TEXT,__text) non-external -[CalCalendarStore availableCalendarTitle:forCalendar:]
00007ff815762c6b (__TEXT,__text) non-external -[CalCalendarStore calendarWithUID:]
00007ff81575fa5b (__TEXT,__text) non-external -[CalCalendarStore calendars]
00007ff815762c60 (__TEXT,__text) non-external -[CalCalendarStore copyWithZone:]
00007ff815763624 (__TEXT,__text) non-external -[CalCalendarStore ekSpanFromCalSpan:]
00007ff8157664b9 (__TEXT,__text) non-external -[CalCalendarStore eventStore]
00007ff815762d4a (__TEXT,__text) non-external -[CalCalendarStore eventWithUID:occurrence:]
00007ff81576014c (__TEXT,__text) non-external -[CalCalendarStore eventsWithPredicate:]
00007ff815764a1b (__TEXT,__text) non-external -[CalCalendarStore generateUntitledTitle]
00007ff815763148 (__TEXT,__text) non-external -[CalCalendarStore handleUnsavedRelateToDictionaryWithCalendarItem:]
00007ff815762a1a (__TEXT,__text) non-external -[CalCalendarStore initWithEventStore:]
00007ff8157629df (__TEXT,__text) non-external -[CalCalendarStore init]
00007ff8157651ed (__TEXT,__text) non-external -[CalCalendarStore removeCalendar:error:]
00007ff815763c45 (__TEXT,__text) non-external -[CalCalendarStore removeEvent:span:error:]
00007ff81576453e (__TEXT,__text) non-external -[CalCalendarStore removeTask:error:]
00007ff815764b2f (__TEXT,__text) non-external -[CalCalendarStore saveCalendar:error:]
00007ff815763641 (__TEXT,__text) non-external -[CalCalendarStore saveEvent:span:error:]
00007ff81576405c (__TEXT,__text) non-external -[CalCalendarStore saveTask:error:]
00007ff8157664c3 (__TEXT,__text) non-external -[CalCalendarStore setEventStore:]
00007ff815763069 (__TEXT,__text) non-external -[CalCalendarStore taskWithUID:]
00007ff815762e47 (__TEXT,__text) non-external -[CalCalendarStore tasksWithPredicate:]
00007ff815767fe4 (__TEXT,__text) non-external -[CalEvent .cxx_destruct]
00007ff8157620c7 (__TEXT,__text) non-external -[CalEvent attendees]
00007ff8157612f4 (__TEXT,__text) non-external -[CalEvent compareStartDate:]
00007ff815761385 (__TEXT,__text) non-external -[CalEvent description]
00007ff8157675ad (__TEXT,__text) non-external -[CalEvent ekEvent]
00007ff815761f86 (__TEXT,__text) non-external -[CalEvent endDate]
00007ff815767504 (__TEXT,__text) non-external -[CalEvent init]
00007ff815761fd6 (__TEXT,__text) non-external -[CalEvent isAllDay]
00007ff815767dc4 (__TEXT,__text) non-external -[CalEvent isDetached]
00007ff8157675d1 (__TEXT,__text) non-external -[CalEvent isEqual:]
00007ff815761f36 (__TEXT,__text) non-external -[CalEvent location]
00007ff815767e09 (__TEXT,__text) non-external -[CalEvent nextAlarmDate]
00007ff815761e7d (__TEXT,__text) non-external -[CalEvent occurrence]
00007ff81576201b (__TEXT,__text) non-external -[CalEvent recurrenceRule]
00007ff8157675bf (__TEXT,__text) non-external -[CalEvent setEKEvent:]
00007ff815767fd0 (__TEXT,__text) non-external -[CalEvent setEkEvent:]
00007ff815760463 (__TEXT,__text) non-external -[CalEvent setEndDate:]
00007ff815760561 (__TEXT,__text) non-external -[CalEvent setIsAllDay:]
00007ff8157604f8 (__TEXT,__text) non-external -[CalEvent setLocation:]
00007ff8157606bd (__TEXT,__text) non-external -[CalEvent setRecurrenceRule:]
00007ff8157603fa (__TEXT,__text) non-external -[CalEvent setStartDate:]
00007ff815767c10 (__TEXT,__text) non-external -[CalEvent sortedAttendees]
00007ff8157605ab (__TEXT,__text) non-external -[CalEvent startDate]
00007ff815769814 (__TEXT,__text) non-external -[CalNthWeekDay .cxx_destruct]
00007ff815769705 (__TEXT,__text) non-external -[CalNthWeekDay copyWithZone:]
00007ff8157697cd (__TEXT,__text) non-external -[CalNthWeekDay dayOfTheWeek]
00007ff815769577 (__TEXT,__text) non-external -[CalNthWeekDay description]
00007ff8157697f9 (__TEXT,__text) non-external -[CalNthWeekDay ekRecurrenceDayOfWeek]
00007ff815769632 (__TEXT,__text) non-external -[CalNthWeekDay hash]
00007ff8157694e5 (__TEXT,__text) non-external -[CalNthWeekDay initWithEKRecurrenceDayOfWeek:]
00007ff815769648 (__TEXT,__text) non-external -[CalNthWeekDay isEqual:]
00007ff815769803 (__TEXT,__text) non-external -[CalNthWeekDay setEkRecurrenceDayOfWeek:]
00007ff8157697e3 (__TEXT,__text) non-external -[CalNthWeekDay weekNumber]
00007ff815762596 (__TEXT,__text) non-external -[CalPredicate .cxx_destruct]
00007ff8157624d2 (__TEXT,__text) non-external -[CalPredicate copyWithZone:]
00007ff81576008a (__TEXT,__text) non-external -[CalPredicate initWithPredicate:]
00007ff815762528 (__TEXT,__text) non-external -[CalPredicate predicate]
00007ff8157624be (__TEXT,__text) non-external -[CalPredicate setSubpredicate:]
00007ff8157624a9 (__TEXT,__text) non-external -[CalPredicate subpredicate]
00007ff815769de7 (__TEXT,__text) non-external -[CalRecurrenceEnd .cxx_destruct]
00007ff815769b65 (__TEXT,__text) non-external -[CalRecurrenceEnd copyWithZone:]
00007ff8157698e0 (__TEXT,__text) non-external -[CalRecurrenceEnd description]
00007ff815769dcc (__TEXT,__text) non-external -[CalRecurrenceEnd ekRecurrenceEnd]
00007ff815769da0 (__TEXT,__text) non-external -[CalRecurrenceEnd endDate]
00007ff815769a01 (__TEXT,__text) non-external -[CalRecurrenceEnd hash]
00007ff815769d0e (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEKRecurrenceEnd:]
00007ff815769bc4 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithEndDate:]
00007ff815769c72 (__TEXT,__text) non-external -[CalRecurrenceEnd initWithOccurrenceCount:]
00007ff815769a17 (__TEXT,__text) non-external -[CalRecurrenceEnd isEqual:]
00007ff815769db6 (__TEXT,__text) non-external -[CalRecurrenceEnd occurrenceCount]
00007ff815769dd6 (__TEXT,__text) non-external -[CalRecurrenceEnd setEkRecurrenceEnd:]
00007ff8157698a7 (__TEXT,__text) non-external -[CalRecurrenceEnd usesEndDate]
00007ff8157694d5 (__TEXT,__text) non-external -[CalRecurrenceRule .cxx_destruct]
00007ff81576074d (__TEXT,__text) non-external -[CalRecurrenceRule copyWithZone:]
00007ff815760a1d (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheMonth]
00007ff8157607f5 (__TEXT,__text) non-external -[CalRecurrenceRule daysOfTheWeek]
00007ff81576241d (__TEXT,__text) non-external -[CalRecurrenceRule description]
00007ff8157694ba (__TEXT,__text) non-external -[CalRecurrenceRule ekRecurrenceRule]
00007ff8157694b2 (__TEXT,__text) non-external -[CalRecurrenceRule firstDayOfTheWeek]
00007ff8157686a4 (__TEXT,__text) non-external -[CalRecurrenceRule hash]
00007ff8157605fb (__TEXT,__text) non-external -[CalRecurrenceRule initDailyRecurrenceWithInterval:end:]
00007ff815768089 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:end:]
00007ff815768250 (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:end:]
00007ff81576814e (__TEXT,__text) non-external -[CalRecurrenceRule initMonthlyRecurrenceWithInterval:forDaysOfTheMonth:end:]
00007ff815760f17 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:end:]
00007ff815761034 (__TEXT,__text) non-external -[CalRecurrenceRule initWeeklyRecurrenceWithInterval:forDaysOfTheWeek:end:]
00007ff815767ff7 (__TEXT,__text) non-external -[CalRecurrenceRule initWithEKRecurrenceRule:]
00007ff815768382 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:end:]
00007ff815768545 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forDayOfTheWeek:forWeekOfTheMonth:forMonthsOfTheYear:end:]
00007ff815768447 (__TEXT,__text) non-external -[CalRecurrenceRule initYearlyRecurrenceWithInterval:forMonthsOfTheYear:end:]
00007ff8157686ba (__TEXT,__text) non-external -[CalRecurrenceRule isEqual:]
00007ff815760c58 (__TEXT,__text) non-external -[CalRecurrenceRule monthsOfTheYear]
00007ff815760a33 (__TEXT,__text) non-external -[CalRecurrenceRule nthWeekDaysOfTheMonth]
00007ff815760c6e (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceEnd]
00007ff8157607df (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceInterval]
00007ff8157607b7 (__TEXT,__text) non-external -[CalRecurrenceRule recurrenceType]
00007ff8157694c4 (__TEXT,__text) non-external -[CalRecurrenceRule setEkRecurrenceRule:]
00007ff815768cce (__TEXT,__text) non-external -[CalRecurrenceRule stringValueAsDateOnly:isFloating:]
00007ff81576b7dd (__TEXT,__text) non-external -[CalTask .cxx_destruct]
00007ff81576b0e5 (__TEXT,__text) non-external -[CalTask completedDate]
00007ff81576b484 (__TEXT,__text) non-external -[CalTask description]
00007ff81576b19e (__TEXT,__text) non-external -[CalTask dueDate]
00007ff81576b032 (__TEXT,__text) non-external -[CalTask ekReminder]
00007ff81576af89 (__TEXT,__text) non-external -[CalTask init]
00007ff81576b056 (__TEXT,__text) non-external -[CalTask isCompleted]
00007ff81576b585 (__TEXT,__text) non-external -[CalTask isEqual:]
00007ff81576b2e7 (__TEXT,__text) non-external -[CalTask nextAlarmDate]
00007ff81576b257 (__TEXT,__text) non-external -[CalTask priority]
00007ff81576b135 (__TEXT,__text) non-external -[CalTask setCompletedDate:]
00007ff81576b1ee (__TEXT,__text) non-external -[CalTask setDueDate:]
00007ff81576b044 (__TEXT,__text) non-external -[CalTask setEKReminder:]
00007ff81576b7c9 (__TEXT,__text) non-external -[CalTask setEkReminder:]
00007ff81576b09b (__TEXT,__text) non-external -[CalTask setIsCompleted:]
00007ff81576b29b (__TEXT,__text) non-external -[CalTask setPriority:]
00007ff81576cce8 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00007ff81576ccfc (__TEXT,__gcc_except_tab) non-external GCC_except_table4
00007ff81576cd10 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ff840ec92b0 (__DATA_CONST,__const) external _CalAlarmActionDisplay
00007ff840ec92b8 (__DATA_CONST,__const) external _CalAlarmActionEmail
00007ff840ec92c0 (__DATA_CONST,__const) external _CalAlarmActionProcedure
00007ff840ec92c8 (__DATA_CONST,__const) external _CalAlarmActionSound
00007ff840ec9140 (__DATA_CONST,__const) external _CalAttendeeStatusAccepted
00007ff840ec9160 (__DATA_CONST,__const) external _CalAttendeeStatusCompleted
00007ff840ec9148 (__DATA_CONST,__const) external _CalAttendeeStatusDeclined
00007ff840ec9158 (__DATA_CONST,__const) external _CalAttendeeStatusDelegated
00007ff840ec9168 (__DATA_CONST,__const) external _CalAttendeeStatusInProcess
00007ff840ec9138 (__DATA_CONST,__const) external _CalAttendeeStatusNeedsAction
00007ff840ec9150 (__DATA_CONST,__const) external _CalAttendeeStatusTentative
00007ff840ec9208 (__DATA_CONST,__const) external _CalCalendarStoreErrorDomain
00007ff840ec9240 (__DATA_CONST,__const) external _CalCalendarTypeBirthday
00007ff840ec9248 (__DATA_CONST,__const) external _CalCalendarTypeCalDAV
00007ff840ec9268 (__DATA_CONST,__const) external _CalCalendarTypeExchange
00007ff840ec9250 (__DATA_CONST,__const) external _CalCalendarTypeIMAP
00007ff840ec9258 (__DATA_CONST,__const) external _CalCalendarTypeLocal
00007ff840ec9260 (__DATA_CONST,__const) external _CalCalendarTypeSubscription
00007ff840ec9270 (__DATA_CONST,__const) external _CalCalendarTypeSuggestions
00007ff840ec9278 (__DATA_CONST,__const) external _CalCalendarTypeUnknown
00007ff840ec91c8 (__DATA_CONST,__const) external _CalCalendarsChangedExternallyNotification
00007ff840ec91b0 (__DATA_CONST,__const) external _CalCalendarsChangedNotification
00007ff81576cf00 (__TEXT,__const) external _CalDefaultRecurrenceInterval
00007ff840ec91f0 (__DATA_CONST,__const) external _CalDeletedRecordsKey
00007ff840ec91d0 (__DATA_CONST,__const) external _CalEventsChangedExternallyNotification
00007ff840ec91b8 (__DATA_CONST,__const) external _CalEventsChangedNotification
00007ff840ec91e0 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00007ff840ec91f8 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00007ff840ec9340 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
00007ff840ec91d8 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00007ff840ec91c0 (__DATA_CONST,__const) external _CalTasksChangedNotification
00007ff840ec91e8 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00007ff840ec9200 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _EKErrorDomain (from EventKit)
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
00007ff8427fb520 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAlarm
00007ff8427fb430 (__DATA,__objc_data) external _OBJC_CLASS_$_CalAttendee
00007ff8427fb4d0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendar
00007ff8427fb6b0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00007ff8427fb480 (__DATA,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00007ff8427fb570 (__DATA,__objc_data) external _OBJC_CLASS_$_CalEvent
00007ff8427fb610 (__DATA,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00007ff8427fb3e0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalPredicate
00007ff8427fb660 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00007ff8427fb5c0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
00007ff8427fb700 (__DATA,__objc_data) external _OBJC_CLASS_$_CalTask
                 (undefined) external _OBJC_CLASS_$_EKAlarm (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKCalendar (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEvent (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKEventStore (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKPredicate (from CalendarDaemon)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceDayOfWeek (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceEnd (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKRecurrenceRule (from EventKit)
                 (undefined) external _OBJC_CLASS_$_EKReminder (from EventKit)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSortDescriptor (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
00007ff8427fb390 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._ekAlarm
00007ff8427fb398 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relatedToString
00007ff8427fb3a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._unsavedRelateToDictionary
00007ff8427fb378 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._ekParticipant
00007ff8427fb388 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._ekCalendar
00007ff8427fb3c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._ekCalendarItem
00007ff8427fb3d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarItem._unsavedRelateToDictionary
00007ff8427fb380 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._eventStore
00007ff8427fb3a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._ekEvent
00007ff8427fb3b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._ekRecurrenceDayOfWeek
00007ff8427fb370 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00007ff8427fb3c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._ekRecurrenceEnd
00007ff8427fb3b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._ekRecurrenceRule
00007ff8427fb3d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._ekReminder
00007ff8427fb548 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00007ff8427fb458 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00007ff8427fb4f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00007ff8427fb6d8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00007ff8427fb4a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00007ff8427fb598 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalEvent
