                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80e9d2f25 (__TEXT,__text) external ___absvdi2
00007ff80e9d5a20 (__TEXT,__text) external ___fixunsxfti
00007ff80e9d5ada (__TEXT,__text) external ___fixxfdi
00007ff80e9d5b74 (__TEXT,__text) external ___fixxfti
00007ff80e9d5c57 (__TEXT,__text) external ___floatdidf
00007ff80e9d5c5d (__TEXT,__text) external ___floatdisf
00007ff80e9d5c63 (__TEXT,__text) external ___floatdixf
00007ff80e9d5c6d (__TEXT,__text) external ___floattidf
00007ff80e9d5d84 (__TEXT,__text) external ___floattisf
00007ff80e9d5e86 (__TEXT,__text) external ___floattixf
00007ff80e9d5fb8 (__TEXT,__text) external ___floatundidf
00007ff80e9d5fe4 (__TEXT,__text) external ___floatundisf
00007ff80e9d6010 (__TEXT,__text) external ___floatundixf
00007ff80e9d6026 (__TEXT,__text) external ___floatuntidf
00007ff80e9d612e (__TEXT,__text) external ___floatuntisf
00007ff80e9d61f6 (__TEXT,__text) external ___floatuntixf
00007ff80e9d62fc (__TEXT,__text) external ___gcc_personality_v0
00007ff80e9d7bb7 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80e9d55f6 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80e9d65b0 (__TEXT,__text) external ___lshrdi3
00007ff80e9d65de (__TEXT,__text) external ___lshrti3
00007ff80e9d2e49 (__TEXT,__text) external ___moddi3
00007ff80e9d6606 (__TEXT,__text) external ___modti3
00007ff80e9d666e (__TEXT,__text) external ___muldc3
00007ff80e9d68bf (__TEXT,__text) external ___muldi3
00007ff80e9d6944 (__TEXT,__text) external ___mulodi4
00007ff80e9d69d2 (__TEXT,__text) external ___mulosi4
00007ff80e9d6a49 (__TEXT,__text) external ___muloti4
00007ff80e9d6b63 (__TEXT,__text) external ___mulsc3
00007ff80e9d6dc7 (__TEXT,__text) external ___multi3
00007ff80e9d6e26 (__TEXT,__text) external ___mulvdi3
00007ff80e9d6f25 (__TEXT,__text) external ___mulvsi3
00007ff80e9d7001 (__TEXT,__text) external ___mulvti3
00007ff80e9d7188 (__TEXT,__text) external ___mulxc3
00007ff80e9d7562 (__TEXT,__text) external ___negdi2
00007ff80e9d7569 (__TEXT,__text) external ___negti2
00007ff80e9d7575 (__TEXT,__text) external ___negvdi2
00007ff80e9d75a4 (__TEXT,__text) external ___negvsi2
00007ff80e9d75ca (__TEXT,__text) external ___negvti2
00007ff80e9d75fc (__TEXT,__text) external ___paritydi2
00007ff80e9d762b (__TEXT,__text) external ___paritysi2
00007ff80e9d7651 (__TEXT,__text) external ___parityti2
00007ff80e9d7683 (__TEXT,__text) external ___popcountdi2
00007ff80e9d76e5 (__TEXT,__text) external ___popcountsi2
00007ff80e9d771e (__TEXT,__text) external ___popcountti2
00007ff80e9d77ac (__TEXT,__text) external ___powidf2
00007ff80e9d7810 (__TEXT,__text) external ___powisf2
00007ff80e9d786f (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff80e9d78bf (__TEXT,__text) external ___subvdi3
00007ff80e9d7907 (__TEXT,__text) external ___subvsi3
00007ff80e9d794a (__TEXT,__text) external ___subvti3
00007ff80e9d799e (__TEXT,__text) external ___truncdfhf2
00007ff80e9d7acb (__TEXT,__text) external ___truncsfhf2
00007ff80e9d7bbc (__TEXT,__text) external ___ucmpdi2
00007ff80e9d7be8 (__TEXT,__text) external ___ucmpti2
00007ff80e9d2c98 (__TEXT,__text) external ___udivdi3
00007ff80e9d7c09 (__TEXT,__text) external ___udivmoddi4
00007ff80e9d2bd8 (__TEXT,__text) external ___udivmodti4
00007ff80e9d2bd0 (__TEXT,__text) external ___udivti3
00007ff80e9d2d14 (__TEXT,__text) external ___umoddi3
00007ff80e9d7e2c (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
00007ff80e9d41a8 (__TEXT,__text) external _atomic_flag_clear
00007ff80e9d41ad (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff80e9d41c0 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff80e9d41c8 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff80e9d41fc (__TEXT,__text) external _atomic_signal_fence
00007ff80e9d4228 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff8436e3d20 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _mprotect (from libsystem_kernel)
00007ff80e9d6499 (__TEXT,__text) non-external _readEncodedPointer
                 (undefined) external _scalbnl (from libsystem_m)
00007ff80e9d89a0 (__TEXT,__const) non-external two
00007ff80e9d8970 (__TEXT,__const) non-external twop52
00007ff80e9d89b0 (__TEXT,__const) non-external twop64
00007ff80e9d8990 (__TEXT,__const) non-external twop84
00007ff80e9d8980 (__TEXT,__const) non-external twop84_plus_twop52
