000000018f9346a0 (__TEXT,__const) non-external _KW_ANY
000000018f934e05 (__TEXT,__const) non-external _KW_yes
000000018f91d990 (__TEXT,__text) external _XML_DefaultCurrent
000000018f91dac0 (__TEXT,__text) external _XML_ErrorString
000000018f91dae4 (__TEXT,__text) external _XML_ExpatVersion
000000018f91daf0 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018f91c19c (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018f91d93c (__TEXT,__text) external _XML_FreeContentModel
000000018f91ce38 (__TEXT,__text) external _XML_GetBase
000000018f91d1cc (__TEXT,__text) external _XML_GetBuffer
000000018f91d820 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018f91d7fc (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018f91d8e4 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018f91d888 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018f91d7e8 (__TEXT,__text) external _XML_GetErrorCode
000000018f91db00 (__TEXT,__text) external _XML_GetFeatureList
00000001e4389b50 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018f91ce58 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018f91d848 (__TEXT,__text) external _XML_GetInputContext
000000018f91d7c0 (__TEXT,__text) external _XML_GetParsingStatus
000000018f9343cc (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018f91ce44 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018f91d97c (__TEXT,__text) external _XML_MemFree
000000018f91d950 (__TEXT,__text) external _XML_MemMalloc
000000018f91d964 (__TEXT,__text) external _XML_MemRealloc
000000018f91d030 (__TEXT,__text) external _XML_Parse
000000018f9343a0 (__TEXT,__text) non-external _XML_Parse.cold.1
000000018f91d404 (__TEXT,__text) external _XML_ParseBuffer
000000018f91b92c (__TEXT,__text) external _XML_ParserCreate
000000018f91b944 (__TEXT,__text) external _XML_ParserCreateNS
000000018f91b93c (__TEXT,__text) external _XML_ParserCreate_MM
000000018f91c8e8 (__TEXT,__text) external _XML_ParserFree
000000018f91bbdc (__TEXT,__text) external _XML_ParserReset
000000018f91d6d4 (__TEXT,__text) external _XML_ResumeParser
000000018f91cfb0 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018f91cd84 (__TEXT,__text) external _XML_SetBase
000000018f91db3c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018f91db0c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018f91ceb4 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018f91ce90 (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018f91cea8 (__TEXT,__text) external _XML_SetCommentHandler
000000018f91ced8 (__TEXT,__text) external _XML_SetDefaultHandler
000000018f91cee8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018f91cefc (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018f91cfa4 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018f91ce6c (__TEXT,__text) external _XML_SetElementHandler
000000018f91c0c8 (__TEXT,__text) external _XML_SetEncoding
000000018f91cecc (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018f91cf14 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018f91ce84 (__TEXT,__text) external _XML_SetEndElementHandler
000000018f91cf50 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018f91cfbc (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018f91cf68 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018f91cf74 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018f91cffc (__TEXT,__text) external _XML_SetHashSalt
000000018f91cf38 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018f91cf5c (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018f91cf2c (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018f91cfd4 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018f91ce9c (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018f91db5c (__TEXT,__text) external _XML_SetReparseDeferralEnabled
000000018f91cd3c (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018f91cf88 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018f91cec0 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018f91cf08 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018f91ce78 (__TEXT,__text) external _XML_SetStartElementHandler
000000018f91cf44 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018f91cf94 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018f91cf20 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018f91cd64 (__TEXT,__text) external _XML_SetUserData
000000018f91cfc8 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018f91d660 (__TEXT,__text) external _XML_StopParser
000000018f91cd08 (__TEXT,__text) external _XML_UseForeignDTD
000000018f91ccfc (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018f927624 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018f927bc8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018f927618 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018f927bbc (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018f927630 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018f927bd4 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018f927098 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018f927df8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018f92775c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018f927c90 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018f924e30 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018f924f70 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018f927090 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018f927040 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018f926f84 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018f926ed8 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018f91f6d0 (__TEXT,__text) non-external _accountingDiffTolerated
000000018f934424 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018f92135c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018f934450 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018f9213a8 (__TEXT,__text) non-external _accountingReportStats
000000018f92394c (__TEXT,__text) non-external _addBinding
000000018f935af1 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018f935b16 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018f923e38 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001ebd992a0 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001ebd99bb0 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018f93011c (__TEXT,__text) non-external _ascii_toUtf8
000000018f925604 (__TEXT,__text) non-external _attlist0
000000018f925ff0 (__TEXT,__text) non-external _attlist1
000000018f926094 (__TEXT,__text) non-external _attlist2
00000001e438a580 (__DATA_CONST,__const) non-external _attlist2.types
000000018f926354 (__TEXT,__text) non-external _attlist3
000000018f9264e8 (__TEXT,__text) non-external _attlist4
000000018f926300 (__TEXT,__text) non-external _attlist5
000000018f92641c (__TEXT,__text) non-external _attlist6
000000018f92647c (__TEXT,__text) non-external _attlist7
000000018f9261c0 (__TEXT,__text) non-external _attlist8
000000018f9263bc (__TEXT,__text) non-external _attlist9
000000018f93190c (__TEXT,__text) non-external _big2_attributeValueTok
000000018f93149c (__TEXT,__text) non-external _big2_cdataSectionTok
000000018f932150 (__TEXT,__text) non-external _big2_charRefNumber
000000018f933530 (__TEXT,__text) non-external _big2_checkPiTarget
000000018f930948 (__TEXT,__text) non-external _big2_contentTok
00000001ebd98f00 (__AUTH_CONST,__const) non-external _big2_encoding
00000001ebd99810 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018f931a78 (__TEXT,__text) non-external _big2_entityValueTok
000000018f931d2c (__TEXT,__text) non-external _big2_getAtts
000000018f93173c (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018f932484 (__TEXT,__text) non-external _big2_isPublicId
000000018f931c48 (__TEXT,__text) non-external _big2_nameLength
000000018f931bfc (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018f932228 (__TEXT,__text) non-external _big2_predefinedEntityName
000000018f930168 (__TEXT,__text) non-external _big2_prologTok
000000018f933900 (__TEXT,__text) non-external _big2_scanAtts
000000018f934de3 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018f933394 (__TEXT,__text) non-external _big2_scanComment
000000018f9328d0 (__TEXT,__text) non-external _big2_scanDecl
000000018f932754 (__TEXT,__text) non-external _big2_scanLit
000000018f932ec0 (__TEXT,__text) non-external _big2_scanPercent
000000018f932a5c (__TEXT,__text) non-external _big2_scanPi
000000018f933130 (__TEXT,__text) non-external _big2_scanPoundName
000000018f9335cc (__TEXT,__text) non-external _big2_scanRef
000000018f931ce8 (__TEXT,__text) non-external _big2_skipS
000000018f9326cc (__TEXT,__text) non-external _big2_toUtf16
000000018f932538 (__TEXT,__text) non-external _big2_toUtf8
000000018f932380 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018f91d570 (__TEXT,__text) non-external _callProcessor
000000018f923754 (__TEXT,__text) non-external _cdataSectionProcessor
000000018f927320 (__TEXT,__text) non-external _checkCharRefNumber
000000018f925c44 (__TEXT,__text) non-external _condSect0
000000018f925d20 (__TEXT,__text) non-external _condSect1
000000018f925d90 (__TEXT,__text) non-external _condSect2
000000018f920054 (__TEXT,__text) non-external _contentProcessor
000000018f924c74 (__TEXT,__text) non-external _copyEntityTable
000000018f91c13c (__TEXT,__text) non-external _copyString
000000018f925ac4 (__TEXT,__text) non-external _declClose
000000018f9203ec (__TEXT,__text) non-external _defineAttribute
000000018f923470 (__TEXT,__text) non-external _doCdataSection
000000018f92175c (__TEXT,__text) non-external _doContent
000000018f920bfc (__TEXT,__text) non-external _doIgnoreSection
000000018f9277b8 (__TEXT,__text) non-external _doParseXmlDecl
000000018f91dec8 (__TEXT,__text) non-external _doProlog
000000018f93459b (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018f9345b8 (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018f9345b1 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018f9345a1 (__TEXT,__const) non-external _doProlog.atypeID
000000018f9345a4 (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018f9345aa (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018f9345c1 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018f9345c9 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018f9343f8 (__TEXT,__text) non-external _doProlog.cold.1
000000018f9359e6 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018f9359e8 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018f9359dc (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018f9250b0 (__TEXT,__text) non-external _doctype0
000000018f92511c (__TEXT,__text) non-external _doctype1
000000018f925534 (__TEXT,__text) non-external _doctype2
000000018f9254d4 (__TEXT,__text) non-external _doctype3
000000018f926e5c (__TEXT,__text) non-external _doctype4
000000018f92572c (__TEXT,__text) non-external _doctype5
000000018f925668 (__TEXT,__text) non-external _element0
000000018f926554 (__TEXT,__text) non-external _element1
000000018f926678 (__TEXT,__text) non-external _element2
000000018f9267dc (__TEXT,__text) non-external _element3
000000018f926b30 (__TEXT,__text) non-external _element4
000000018f926b94 (__TEXT,__text) non-external _element5
000000018f92688c (__TEXT,__text) non-external _element6
000000018f9269ac (__TEXT,__text) non-external _element7
00000001e438a5f0 (__DATA_CONST,__const) non-external _encodings
00000001e438a628 (__DATA_CONST,__const) non-external _encodingsNS
000000018f925594 (__TEXT,__text) non-external _entity0
000000018f92578c (__TEXT,__text) non-external _entity1
000000018f925b38 (__TEXT,__text) non-external _entity10
000000018f9257ec (__TEXT,__text) non-external _entity2
000000018f925e50 (__TEXT,__text) non-external _entity3
000000018f925df0 (__TEXT,__text) non-external _entity4
000000018f925eb0 (__TEXT,__text) non-external _entity5
000000018f925f88 (__TEXT,__text) non-external _entity6
000000018f9258f8 (__TEXT,__text) non-external _entity7
000000018f925a64 (__TEXT,__text) non-external _entity8
000000018f925a04 (__TEXT,__text) non-external _entity9
000000018f921128 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018f924534 (__TEXT,__text) non-external _entityTrackingReportStats
000000018f93447c (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018f92485c (__TEXT,__text) non-external _entityValueInitProcessor
000000018f924b40 (__TEXT,__text) non-external _entityValueProcessor
000000018f92326c (__TEXT,__text) non-external _epilogProcessor
000000018f925114 (__TEXT,__text) non-external _error
000000018f91d658 (__TEXT,__text) non-external _errorProcessor
000000018f923dd4 (__TEXT,__text) non-external _externalEntityContentProcessor
000000018f91cb50 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018f924630 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018f92474c (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018f91cbcc (__TEXT,__text) non-external _externalParEntInitProcessor
000000018f924a0c (__TEXT,__text) non-external _externalParEntProcessor
000000018f924f88 (__TEXT,__text) non-external _externalSubset0
000000018f925bb4 (__TEXT,__text) non-external _externalSubset1
000000018f927ab0 (__TEXT,__text) non-external _findEncoding
000000018f927cec (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018f923208 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018f934598 (__TEXT,__const) non-external (was a private external) _g_reparseDeferralEnabledDefault
000000018f920148 (__TEXT,__text) non-external _getAttributeId
000000018f922464 (__TEXT,__text) non-external _getContext
000000018f91dc24 (__TEXT,__text) non-external _getDebugLevel
000000018f9200b8 (__TEXT,__text) non-external _getElementType
000000018f9276ac (__TEXT,__text) non-external _getEncodingIndex
00000001e438a5c0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018f91ddbc (__TEXT,__text) non-external _handleUnknownEncoding
000000018f921420 (__TEXT,__text) non-external _hash
000000018f924c08 (__TEXT,__text) non-external _hashTableDestroy
000000018f920da0 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018f9345d2 (__TEXT,__const) non-external _implicitContext
000000018f92ff24 (__TEXT,__text) non-external _initScan
000000018f927730 (__TEXT,__text) non-external _initScanContent
000000018f927c70 (__TEXT,__text) non-external _initScanContentNS
000000018f927710 (__TEXT,__text) non-external _initScanProlog
000000018f927c50 (__TEXT,__text) non-external _initScanPrologNS
000000018f927750 (__TEXT,__text) non-external _initUpdatePosition
000000018f91dcb0 (__TEXT,__text) non-external _initializeEncoding
000000018f9242d8 (__TEXT,__text) non-external _internalEntityProcessor
000000018f925234 (__TEXT,__text) non-external _internalSubset
00000001ebd987c0 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001ebd98b60 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001ebd985f0 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001ebd98990 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018f92bf28 (__TEXT,__text) non-external _isNever
00000001ebd98420 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001ebd99470 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018f92a540 (__TEXT,__text) non-external _latin1_toUtf16
000000018f92a4a8 (__TEXT,__text) non-external _latin1_toUtf8
000000018f92d848 (__TEXT,__text) non-external _little2_attributeValueTok
000000018f92d3d8 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018f92e09c (__TEXT,__text) non-external _little2_charRefNumber
000000018f92f474 (__TEXT,__text) non-external _little2_checkPiTarget
000000018f92c8c4 (__TEXT,__text) non-external _little2_contentTok
00000001ebd990d0 (__AUTH_CONST,__const) non-external _little2_encoding
00000001ebd999e0 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018f92d9b4 (__TEXT,__text) non-external _little2_entityValueTok
000000018f92dc78 (__TEXT,__text) non-external _little2_getAtts
000000018f92d678 (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018f92e3d0 (__TEXT,__text) non-external _little2_isPublicId
000000018f92db84 (__TEXT,__text) non-external _little2_nameLength
000000018f92db38 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018f92e174 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018f92c0e4 (__TEXT,__text) non-external _little2_prologTok
000000018f92f840 (__TEXT,__text) non-external _little2_scanAtts
000000018f92f2d8 (__TEXT,__text) non-external _little2_scanComment
000000018f92e818 (__TEXT,__text) non-external _little2_scanDecl
000000018f92e69c (__TEXT,__text) non-external _little2_scanLit
000000018f92ee00 (__TEXT,__text) non-external _little2_scanPercent
000000018f92e9a4 (__TEXT,__text) non-external _little2_scanPi
000000018f92f074 (__TEXT,__text) non-external _little2_scanPoundName
000000018f92f510 (__TEXT,__text) non-external _little2_scanRef
000000018f92dc24 (__TEXT,__text) non-external _little2_skipS
000000018f92e618 (__TEXT,__text) non-external _little2_toUtf16
000000018f92e484 (__TEXT,__text) non-external _little2_toUtf8
000000018f92e2cc (__TEXT,__text) non-external _little2_updatePosition
000000018f91fc74 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018f934cb0 (__TEXT,__const) non-external _namePages
000000018f9346b0 (__TEXT,__const) non-external _namingBitmap
000000018f920e50 (__TEXT,__text) non-external _nextScaffoldPart
000000018f934bb0 (__TEXT,__const) non-external _nmstrtPages
000000018f929a80 (__TEXT,__text) non-external _normal_attributeValueTok
000000018f9295dc (__TEXT,__text) non-external _normal_cdataSectionTok
000000018f92a150 (__TEXT,__text) non-external _normal_charRefNumber
000000018f92b1a4 (__TEXT,__text) non-external _normal_checkPiTarget
000000018f92894c (__TEXT,__text) non-external _normal_contentTok
000000018f929bec (__TEXT,__text) non-external _normal_entityValueTok
000000018f929e18 (__TEXT,__text) non-external _normal_getAtts
000000018f92989c (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018f92a3fc (__TEXT,__text) non-external _normal_isPublicId
000000018f929d90 (__TEXT,__text) non-external _normal_nameLength
000000018f929d4c (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018f92a224 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018f927e1c (__TEXT,__text) non-external _normal_prologTok
000000018f92b594 (__TEXT,__text) non-external _normal_scanAtts
000000018f92aff4 (__TEXT,__text) non-external _normal_scanComment
000000018f92a754 (__TEXT,__text) non-external _normal_scanDecl
000000018f92a594 (__TEXT,__text) non-external _normal_scanLit
000000018f92ad2c (__TEXT,__text) non-external _normal_scanPercent
000000018f92a8bc (__TEXT,__text) non-external _normal_scanPi
000000018f92b228 (__TEXT,__text) non-external _normal_scanRef
000000018f929ddc (__TEXT,__text) non-external _normal_skipS
000000018f92a30c (__TEXT,__text) non-external _normal_updatePosition
000000018f9245d8 (__TEXT,__text) non-external _normalizeLines
000000018f91ffcc (__TEXT,__text) non-external _normalizePublicId
000000018f9256cc (__TEXT,__text) non-external _notation0
000000018f926c14 (__TEXT,__text) non-external _notation1
000000018f926d58 (__TEXT,__text) non-external _notation2
000000018f926cf0 (__TEXT,__text) non-external _notation3
000000018f926db8 (__TEXT,__text) non-external _notation4
000000018f933fc0 (__TEXT,__text) non-external _parsePseudoAttribute
000000018f91b978 (__TEXT,__text) non-external _parserCreate
000000018f91bf88 (__TEXT,__text) non-external _parserInit
000000018f920368 (__TEXT,__text) non-external _poolAppend
000000018f91cdd0 (__TEXT,__text) non-external _poolCopyString
000000018f91cc9c (__TEXT,__text) non-external _poolDestroy
000000018f92051c (__TEXT,__text) non-external _poolGrow
000000018f91fc18 (__TEXT,__text) non-external _poolStoreString
000000018f920f58 (__TEXT,__text) non-external _processInternalEntity
000000018f91f8fc (__TEXT,__text) non-external _processXmlDecl
000000018f924e54 (__TEXT,__text) non-external _prolog0
000000018f924fac (__TEXT,__text) non-external _prolog1
000000018f92541c (__TEXT,__text) non-external _prolog2
000000018f91dba8 (__TEXT,__text) non-external _prologInitProcessor
000000018f91dd34 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018f9212a4 (__TEXT,__text) non-external _reportComment
000000018f91d9c4 (__TEXT,__text) non-external _reportDefault
000000018f921174 (__TEXT,__text) non-external _reportProcessingInstruction
000000018f91c684 (__TEXT,__text) non-external _setContext
000000018f923850 (__TEXT,__text) non-external _setElementTypePrefix
000000018f921604 (__TEXT,__text) non-external _sip24_final
000000018f921510 (__TEXT,__text) non-external _sip24_update
000000018f921710 (__TEXT,__text) non-external _sip_round
000000018f91d124 (__TEXT,__text) non-external _startParsing
000000018f9206d8 (__TEXT,__text) non-external _storeAttributeValue
000000018f9227a4 (__TEXT,__text) non-external _storeAtts
000000018f920768 (__TEXT,__text) non-external _storeEntityValue
000000018f922378 (__TEXT,__text) non-external _storeRawNames
000000018f92fecc (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018f91db7c (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018f91db88 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018f92742c (__TEXT,__text) non-external _unknown_isInvalid
000000018f92736c (__TEXT,__text) non-external _unknown_isName
000000018f9273cc (__TEXT,__text) non-external _unknown_isNmstrt
000000018f927558 (__TEXT,__text) non-external _unknown_toUtf16
000000018f927460 (__TEXT,__text) non-external _unknown_toUtf8
000000018f91db94 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001ebd98d30 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001ebd99640 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018f92bfb8 (__TEXT,__text) non-external _utf8_isInvalid2
000000018f92bfec (__TEXT,__text) non-external _utf8_isInvalid3
000000018f92c078 (__TEXT,__text) non-external _utf8_isInvalid4
000000018f92bea0 (__TEXT,__text) non-external _utf8_isName2
000000018f92bee0 (__TEXT,__text) non-external _utf8_isName3
000000018f92bf30 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018f92bf70 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018f92bd64 (__TEXT,__text) non-external _utf8_toUtf16
000000018f92bcb4 (__TEXT,__text) non-external _utf8_toUtf8
