00000001e3447b90 (__DATA,__data) external _NDR_record
000000018041b0f0 (__TEXT,__text) external ___mac_get_pid
000000018041b11c (__TEXT,__text) external ___mac_get_proc
000000018041b148 (__TEXT,__text) external ___mac_getfsstat
000000018041b174 (__TEXT,__text) external ___mac_mount
000000018041b1a0 (__TEXT,__text) external ___mac_set_fd
000000018041b1cc (__TEXT,__text) external ___mac_set_file
000000018041b1f8 (__TEXT,__text) external ___mac_set_link
0000000180416650 (__TEXT,__text) external ___mac_set_proc
000000018040f7bc (__TEXT,__text) external ___mac_syscall
000000018041b224 (__TEXT,__text) external ___mach_bridge_remote_time
000000018041b250 (__TEXT,__text) external ___mach_eventlink_signal
000000018041b27c (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018041b2a8 (__TEXT,__text) external ___mach_eventlink_wait_until
000000018041b2d4 (__TEXT,__text) external ___map_with_linking_np
000000018041b300 (__TEXT,__text) external ___memorystatus_available_memory
000000018041b32c (__TEXT,__text) external ___microstackshot
000000018041b358 (__TEXT,__text) external ___mkdir_extended
000000018041b384 (__TEXT,__text) external ___mkfifo_extended
000000018040eaa4 (__TEXT,__text) external ___mmap
0000000180411bbc (__TEXT,__text) external ___mprotect
000000018041b3b0 (__TEXT,__text) external ___msgctl
000000018041b3dc (__TEXT,__text) external ___msgrcv_nocancel
000000018041b408 (__TEXT,__text) external ___msgsnd_nocancel
000000018041b434 (__TEXT,__text) external ___msgsys
000000018041430c (__TEXT,__text) external ___msync
000000018041b460 (__TEXT,__text) external ___msync_nocancel
00000001804117e0 (__TEXT,__text) external ___munmap
000000018041b48c (__TEXT,__text) external ___nexus_create
000000018041b4b8 (__TEXT,__text) external ___nexus_deregister
000000018041b4e4 (__TEXT,__text) external ___nexus_destroy
000000018041b510 (__TEXT,__text) external ___nexus_get_opt
000000018041b53c (__TEXT,__text) external ___nexus_open
000000018041b568 (__TEXT,__text) external ___nexus_register
000000018041b594 (__TEXT,__text) external ___nexus_set_opt
000000018040e844 (__TEXT,__text) external ___open
00000001804137a8 (__TEXT,__text) external ___open_dprotected_np
000000018041a2fc (__TEXT,__text) external ___open_extended
000000018040e9d4 (__TEXT,__text) external ___open_nocancel
000000018040f63c (__TEXT,__text) external ___openat
000000018041b5c0 (__TEXT,__text) external ___openat_dprotected_np
0000000180413908 (__TEXT,__text) external ___openat_nocancel
00000001e3447c00 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180429b30 (__TEXT,__text) external ___os_nexus_flow_add
0000000180429bb8 (__TEXT,__text) external ___os_nexus_flow_del
0000000180429d08 (__TEXT,__text) external ___os_nexus_get_llink_info
0000000180429950 (__TEXT,__text) external ___os_nexus_ifattach
0000000180429a70 (__TEXT,__text) external ___os_nexus_ifdetach
0000000180411d0c (__TEXT,__text) external ___persona
0000000180414338 (__TEXT,__text) external ___pipe
000000018041b5ec (__TEXT,__text) external ___poll_nocancel
00000001804150b8 (__TEXT,__text) external ___posix_spawn
000000018041b618 (__TEXT,__text) external ___pread_nocancel
000000018041b644 (__TEXT,__text) external ___preadv_nocancel
000000018040f194 (__TEXT,__text) external ___proc_info
000000018041b670 (__TEXT,__text) external ___proc_info_extended_id
0000000180415a78 (__TEXT,__text) external ___process_policy
0000000180414080 (__TEXT,__text) external ___pselect
000000018041b69c (__TEXT,__text) external ___pselect_nocancel
00000001804115f0 (__TEXT,__text) external ___psynch_cvbroad
0000000180411c70 (__TEXT,__text) external ___psynch_cvclrprepost
0000000180412a14 (__TEXT,__text) external ___psynch_cvsignal
00000001804115c4 (__TEXT,__text) external ___psynch_cvwait
0000000180410c60 (__TEXT,__text) external ___psynch_mutexdrop
0000000180410a94 (__TEXT,__text) external ___psynch_mutexwait
000000018041b6c8 (__TEXT,__text) external ___psynch_rw_downgrade
000000018041b6f4 (__TEXT,__text) external ___psynch_rw_longrdlock
000000018041322c (__TEXT,__text) external ___psynch_rw_rdlock
0000000180413200 (__TEXT,__text) external ___psynch_rw_unlock
000000018041b720 (__TEXT,__text) external ___psynch_rw_unlock2
000000018041b74c (__TEXT,__text) external ___psynch_rw_upgrade
00000001804131d4 (__TEXT,__text) external ___psynch_rw_wrlock
000000018041b778 (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180419fe0 (__TEXT,__text) external ___pthread_canceled
0000000180414e48 (__TEXT,__text) external ___pthread_chdir
0000000180414e1c (__TEXT,__text) external ___pthread_fchdir
00000001804165f8 (__TEXT,__text) external ___pthread_kill
000000018041b7a4 (__TEXT,__text) external ___pthread_markcancel
00000001804154f8 (__TEXT,__text) external ___pthread_sigmask
0000000180416a80 (__TEXT,__text) external ___ptrace
000000018041b7d0 (__TEXT,__text) external ___pwrite_nocancel
000000018041b7fc (__TEXT,__text) external ___pwritev_nocancel
000000018040fd38 (__TEXT,__text) external ___read_nocancel
000000018041b828 (__TEXT,__text) external ___readv_nocancel
000000018041b854 (__TEXT,__text) external ___reboot
000000018041b880 (__TEXT,__text) external ___record_system_event
0000000180412350 (__TEXT,__text) external ___recvfrom
0000000180412218 (__TEXT,__text) external ___recvfrom_nocancel
0000000180412780 (__TEXT,__text) external ___recvmsg
000000018041b8ac (__TEXT,__text) external ___recvmsg_nocancel
00000001e556ded0 (__DATA_DIRTY,__bss) non-external ___remove_counter
0000000180411944 (__TEXT,__text) external ___rename
000000018041b8d8 (__TEXT,__text) external ___renameat
000000018041b904 (__TEXT,__text) external ___renameatx_np
00000001804119b0 (__TEXT,__text) external ___rmdir
000000018041b014 (__TEXT,__text) external ___sandbox_me
000000018041b174 (__TEXT,__text) external ___sandbox_mm
000000018040f7bc (__TEXT,__text) external ___sandbox_ms
0000000180416650 (__TEXT,__text) external ___sandbox_msp
0000000180418e94 (__TEXT,__text) external ___select
00000001804121ec (__TEXT,__text) external ___select_nocancel
0000000180417768 (__TEXT,__text) external ___sem_open
000000018041b930 (__TEXT,__text) external ___sem_wait_nocancel
000000018041b95c (__TEXT,__text) external ___semctl
000000018041b988 (__TEXT,__text) external ___semsys
00000001804113c0 (__TEXT,__text) external ___semwait_signal
0000000180415524 (__TEXT,__text) external ___semwait_signal_nocancel
0000000180413934 (__TEXT,__text) external ___sendmsg
0000000180412270 (__TEXT,__text) external ___sendmsg_nocancel
0000000180412324 (__TEXT,__text) external ___sendto
000000018041218c (__TEXT,__text) external ___sendto_nocancel
0000000180411540 (__TEXT,__text) external ___setattrlist
0000000180419ca4 (__TEXT,__text) external ___setlogin
0000000180416130 (__TEXT,__text) external ___setpriority
000000018041b9b4 (__TEXT,__text) external ___setregid
000000018041b9e0 (__TEXT,__text) external ___setreuid
0000000180410ac8 (__TEXT,__text) external ___setrlimit
000000018041ba0c (__TEXT,__text) external ___setsgroups
00000001804174f0 (__TEXT,__text) external ___settid
000000018041ba38 (__TEXT,__text) external ___settid_with_pid
000000018041ba64 (__TEXT,__text) external ___settimeofday
000000018041ba90 (__TEXT,__text) external ___setwgroups
0000000180417800 (__TEXT,__text) external ___sfi_ctl
000000018041babc (__TEXT,__text) external ___sfi_pidctl
000000018041bae8 (__TEXT,__text) external ___shared_region_check_np
000000018041bb14 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018040f5e4 (__TEXT,__text) external ___shm_open
000000018041bb40 (__TEXT,__text) external ___shmctl
000000018041bb6c (__TEXT,__text) external ___shmsys
00000001804143c8 (__TEXT,__text) external ___sigaction
00000001804114bc (__TEXT,__text) external ___sigaltstack
00000001804197e0 (__TEXT,__text) external ___sigreturn
000000018041bb98 (__TEXT,__text) external ___sigsuspend
000000018041555c (__TEXT,__text) external ___sigsuspend_nocancel
0000000180419838 (__TEXT,__text) external ___sigwait
0000000180412244 (__TEXT,__text) external ___socketpair
000000018041bbc4 (__TEXT,__text) external ___stack_snapshot_with_config
000000018041d024 (__TEXT,__text) external ___stat
00000001804136c8 (__TEXT,__text) external ___stat64_extended
000000018041bbf0 (__TEXT,__text) external ___stat_extended
000000018041d050 (__TEXT,__text) external ___statfs
00000001804101ac (__TEXT,__text) external ___syscall
00000001e3447c48 (__DATA,__common) external ___syscall_logger
000000018040f4e4 (__TEXT,__text) external ___sysctl
000000018040f718 (__TEXT,__text) external ___sysctlbyname
000000018041bc1c (__TEXT,__text) external ___telemetry
0000000180418648 (__TEXT,__text) external ___terminate_with_payload
000000018040fb58 (__TEXT,__text) external ___thread_selfid
000000018041bc48 (__TEXT,__text) external ___thread_selfusage
000000018040fb84 (__TEXT,__text) external ___ulock_wait
000000018041bc74 (__TEXT,__text) external ___ulock_wait2
000000018040fc58 (__TEXT,__text) external ___ulock_wake
000000018041bca0 (__TEXT,__text) external ___umask_extended
0000000180411d64 (__TEXT,__text) external ___unlink
0000000180417b3c (__TEXT,__text) external ___unlinkat
000000018041bccc (__TEXT,__text) external ___vfork
0000000180415478 (__TEXT,__text) external ___wait4
000000018041a2d0 (__TEXT,__text) external ___wait4_nocancel
000000018041bd3c (__TEXT,__text) external ___waitid_nocancel
0000000180416c60 (__TEXT,__text) external ___work_interval_ctl
000000018040fa7c (__TEXT,__text) external ___workq_kernreturn
000000018040faa8 (__TEXT,__text) external ___workq_open
0000000180411c9c (__TEXT,__text) external ___write_nocancel
000000018041bd68 (__TEXT,__text) external ___writev_nocancel
00000001e3447c3c (__DATA,__common) external __cpu_capabilities
00000001e3447c40 (__DATA,__common) external __cpu_has_altivec
00000001e556de88 (__DATA_DIRTY,__data) external __current_pid
00000001e556dea8 (__DATA_DIRTY,__bss) non-external __dlsym
000000018040dee0 (__TEXT,__text) external __exclaves_ctl_trap
000000018041e28c (__TEXT,__text) non-external __execve_with_filter
0000000180415588 (__TEXT,__text) external __exit
0000000180413c08 (__TEXT,__text) external __get_cpu_capabilities
00000001e3447be8 (__DATA,__bss) non-external __gethostuuid_callback
0000000180422460 (__TEXT,__text) external __getprivatesystemidentifier
000000018042f364 (__TEXT,__text) external __host_page_size
0000000180413c04 (__TEXT,__text) external __init_cpu_capabilities
0000000180430508 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180431878 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180432520 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
000000018043175c (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00000001804323b0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
000000018040dcd0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
000000018043408c (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
000000018043317c (__TEXT,__text) external __kernelrpc_mach_port_construct
000000018040dd24 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180431ae8 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
000000018040dcdc (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00000001804319cc (__TEXT,__text) external __kernelrpc_mach_port_destroy
00000001804332e8 (__TEXT,__text) external __kernelrpc_mach_port_destruct
000000018040dd30 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180432b10 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180432ef4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
000000018040dd18 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180418074 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180418a64 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
000000018040ddd8 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00000001804132c4 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180411270 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180433eb4 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180419e4c (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00000001804327c0 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180433404 (__TEXT,__text) external __kernelrpc_mach_port_guard
000000018040dde4 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00000001804338e4 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180432dd8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
000000018040dd0c (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
000000018043216c (__TEXT,__text) external __kernelrpc_mach_port_insert_right
000000018040dd00 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180433d60 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180432c74 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180433010 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180433b24 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180431c04 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
000000018040dce8 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180432050 (__TEXT,__text) external __kernelrpc_mach_port_move_member
000000018040dcf4 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180431480 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180431d20 (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180431640 (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180411dbc (__TEXT,__text) external __kernelrpc_mach_port_request_notification
000000018040ded4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00000001804107ac (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180419d2c (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180431f34 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180432294 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180433640 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180432914 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180433790 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180433a04 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180416d60 (__TEXT,__text) external __kernelrpc_mach_port_type
000000018040dec8 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180433524 (__TEXT,__text) external __kernelrpc_mach_port_unguard
000000018040ddf0 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180438394 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180438268 (__TEXT,__text) external __kernelrpc_mach_ports_register3
000000018043be44 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180434204 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
000000018040dc88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
000000018043435c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
000000018040dca0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
000000018040f1c0 (__TEXT,__text) external __kernelrpc_mach_vm_map
000000018040dcc4 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180434478 (__TEXT,__text) external __kernelrpc_mach_vm_protect
000000018040dcb8 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
000000018043531c (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
000000018040dc94 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001804346b8 (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180434e90 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001804357b0 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001804406e8 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001804326a4 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180413018 (__TEXT,__text) external __kernelrpc_thread_policy
0000000180414194 (__TEXT,__text) external __kernelrpc_thread_policy_set
000000018043e494 (__TEXT,__text) external __kernelrpc_thread_set_policy
000000018041a0b0 (__TEXT,__text) external __kernelrpc_vm_map
000000018043facc (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001804175e0 (__TEXT,__text) external __kernelrpc_vm_read
000000018041039c (__TEXT,__text) external __kernelrpc_vm_remap
000000018043fc20 (__TEXT,__text) external __kernelrpc_vm_remap_new
000000018041d6a0 (__TEXT,__text) non-external __libkernel_bzero
00000001e556dea0 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001e6428590 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
000000018041d734 (__TEXT,__text) non-external __libkernel_memmove
000000018041d6ac (__TEXT,__text) non-external __libkernel_memset
000000018041d668 (__TEXT,__text) non-external __libkernel_strchr
0000000180413c1c (__TEXT,__text) non-external __libkernel_strcmp
000000018041db04 (__TEXT,__text) non-external __libkernel_strcpy
00000001e556de90 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000018041e3d0 (__TEXT,__text) non-external __libkernel_strlcpy
000000018041d434 (__TEXT,__text) non-external __libkernel_strlen
00000001e556de98 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001804418a0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000018041fa98 (__TEXT,__text) non-external __mach_continuous_time
00000001df92c820 (__DATA_CONST,__const) external __mach_errors
000000018041fff4 (__TEXT,__text) external __mach_fork_child
0000000180420a68 (__TEXT,__text) external __mach_snprintf
00000001804208f0 (__TEXT,__text) external __mach_vsnprintf
00000001e556df18 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001e3447c34 (__DATA,__common) external __os_xbs_chrooted
000000018041493c (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018041db4c (__TEXT,__text) non-external __posix_spawn_with_filter
0000000180422464 (__TEXT,__text) external __register_gethostuuid_callback
000000018041d84c (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000018041d8f0 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001e556deb4 (__DATA_DIRTY,__bss) non-external __task_reply_port
000000018041d33c (__TEXT,__text) external __thread_set_tsd_base
0000000180440dd8 (__TEXT,__text) non-external _abort
0000000180440dd8 (__TEXT,__text) non-external _abort.561
0000000180440dd8 (__TEXT,__text) non-external _abort.563
0000000180440dd8 (__TEXT,__text) non-external _abort.580
0000000180440ea8 (__TEXT,__text) external _abort_with_payload
0000000180440e1c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180440dfc (__TEXT,__text) external _abort_with_reason
00000001804166dc (__TEXT,__text) external _accept
000000018041ab70 (__TEXT,__text) external _accept$NOCANCEL
000000018040e818 (__TEXT,__text) external _access
000000018041ab9c (__TEXT,__text) external _accessx_np
000000018041bd94 (__TEXT,__text) external _acct
000000018043ce70 (__TEXT,__text) external _act_get_state
000000018043d0b8 (__TEXT,__text) external _act_set_state
000000018041bdc0 (__TEXT,__text) external _adjtime
000000018041bdec (__TEXT,__text) external _aio_cancel
000000018041be18 (__TEXT,__text) external _aio_error
000000018041be44 (__TEXT,__text) external _aio_fsync
000000018041be70 (__TEXT,__text) external _aio_read
000000018041be9c (__TEXT,__text) external _aio_return
000000018041bec8 (__TEXT,__text) external _aio_suspend
000000018041abc8 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018041bef4 (__TEXT,__text) external _aio_write
000000018041bf20 (__TEXT,__text) external _audit
000000018041980c (__TEXT,__text) external _audit_session_join
00000001804195f8 (__TEXT,__text) external _audit_session_port
000000018041202c (__TEXT,__text) external _audit_session_self
000000018041bf4c (__TEXT,__text) external _auditctl
00000001804177c0 (__TEXT,__text) external _auditon
0000000180415b38 (__TEXT,__text) external _bind
00000001e556dedc (__DATA_DIRTY,__common) external _bootstrap_port
000000018041d424 (__TEXT,__text) non-external _bzero
000000018040f668 (__TEXT,__text) external _cerror
000000018040e7ac (__TEXT,__text) external _cerror_nocancel
0000000180411f68 (__TEXT,__text) external _change_fdguard_np
000000018040f7e8 (__TEXT,__text) external _chdir
0000000180416048 (__TEXT,__text) external _chflags
00000001804119dc (__TEXT,__text) external _chmod
0000000180415b0c (__TEXT,__text) external _chown
000000018041bf78 (__TEXT,__text) external _chroot
000000018042c078 (__TEXT,__text) external _clock_alarm
000000018042be48 (__TEXT,__text) external _clock_alarm_reply
000000018042beb0 (__TEXT,__text) external _clock_get_attributes
00000001804134cc (__TEXT,__text) external _clock_get_time
000000018042bcf4 (__TEXT,__text) external _clock_set_attributes
000000018042bbdc (__TEXT,__text) external _clock_set_time
000000018041a00c (__TEXT,__text) external _clock_sleep
000000018040dea4 (__TEXT,__text) external _clock_sleep_trap
0000000180417f18 (__TEXT,__text) external _clonefile
0000000180412ccc (__TEXT,__text) external _clonefileat
000000018040e97c (__TEXT,__text) external _close
000000018040f610 (__TEXT,__text) external _close$NOCANCEL
00000001804282b8 (__TEXT,__text) external _coalition_create
0000000180428360 (__TEXT,__text) external _coalition_info_debug_info
0000000180428328 (__TEXT,__text) external _coalition_info_resource_usage
00000001804283d0 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180428398 (__TEXT,__text) external _coalition_info_set_name
000000018042840c (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
000000018041bfa4 (__TEXT,__text) external _coalition_policy_get
000000018041bfd0 (__TEXT,__text) external _coalition_policy_set
00000001804282f8 (__TEXT,__text) external _coalition_reap
00000001804282c8 (__TEXT,__text) external _coalition_terminate
00000001804122f8 (__TEXT,__text) external _connect
0000000180412160 (__TEXT,__text) external _connect$NOCANCEL
000000018041237c (__TEXT,__text) external _connectx
000000018040f968 (__TEXT,__text) external _csops
000000018040e780 (__TEXT,__text) external _csops_audittoken
000000018040e870 (__TEXT,__text) external _csr_check
0000000180416a70 (__TEXT,__text) external _csr_get_active_config
000000018040df40 (__TEXT,__text) external _debug_control_port_for_pid
00000001804285f8 (__TEXT,__text) external _debug_syscall_reject
00000001804284ec (__TEXT,__text) external _debug_syscall_reject_config
00000001e3447b88 (__DATA,__data) external _denap_boost_assertion_token
000000018041bffc (__TEXT,__text) external _disconnectx
00000001804146fc (__TEXT,__text) non-external _do_compat
000000018041242c (__TEXT,__text) external _dup
00000001804167cc (__TEXT,__text) external _dup2
00000001df92bcc0 (__DATA_CONST,__const) non-external _err_codes_auth
