00007ff90daa9d86 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90daaacc8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff90da94335 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00007ff90daaab3c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00007ff90daaabd5 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00007ff90daaac6e (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00007ff90da93e2c (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff90daaab24 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00007ff90da94186 (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00007ff90daa22d7 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff90da9c840 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff90da9257a (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff90da9bc83 (__TEXT,__text) non-external +[SPLog downloads]
00007ff90daac27e (__TEXT,__text) non-external +[SPLog downloads].cold.1
00007ff90da9baff (__TEXT,__text) non-external +[SPLog exec]
00007ff90daac21e (__TEXT,__text) non-external +[SPLog exec].cold.1
00007ff90da9be30 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff90da9ba3d (__TEXT,__text) non-external +[SPLog generic]
00007ff90daac1ee (__TEXT,__text) non-external +[SPLog generic].cold.1
00007ff90da9ba9e (__TEXT,__text) non-external +[SPLog kext]
00007ff90daac206 (__TEXT,__text) non-external +[SPLog kext].cold.1
00007ff90da9bb60 (__TEXT,__text) non-external +[SPLog measurements]
00007ff90daac236 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00007ff90da9bc22 (__TEXT,__text) non-external +[SPLog sampling]
00007ff90daac266 (__TEXT,__text) non-external +[SPLog sampling].cold.1
00007ff90da9be24 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff90da9bbc1 (__TEXT,__text) non-external +[SPLog signposts]
00007ff90daac24e (__TEXT,__text) non-external +[SPLog signposts].cold.1
00007ff90da9bce4 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff90daac296 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00007ff90daa57a8 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff90daa4fd0 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff90daa4137 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff90daacfb1 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff90daa3f73 (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff90daa3f55 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff90daa45bb (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff90daa40f4 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff90daa3f91 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff90daa850e (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff90da91c88 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00007ff90da93d2b (__TEXT,__text) non-external +[SPScriptScanEvaluation supportsSecureCoding]
00007ff90da9377a (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff90da936a0 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff90da93560 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff90da933a5 (__TEXT,__text) non-external -[AKELData init]
00007ff90da93741 (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff90da93667 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff90da9314b (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff90da93651 (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff90daaa1e7 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff90daaa15f (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff90daaa20d (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff90daaa1f9 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff90daaa1b1 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff90daaa203 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff90da9a074 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff90da99770 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff90daabdfd (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff90da99c82 (__TEXT,__text) non-external -[BundleData doReload]
00007ff90da9a030 (__TEXT,__text) non-external -[BundleData forceReload]
00007ff90da9980b (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff90da99762 (__TEXT,__text) non-external -[BundleData init]
00007ff90da9a04c (__TEXT,__text) non-external -[BundleData isSigned]
00007ff90da99cbe (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff90da99fce (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff90da99977 (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff90daabe5b (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff90daabe8f (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff90da9a06a (__TEXT,__text) non-external -[BundleData timestamp]
00007ff90da9a042 (__TEXT,__text) non-external -[BundleData url]
00007ff90da9a060 (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff90da9a056 (__TEXT,__text) non-external -[BundleData version]
00007ff90daa9b4b (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff90daa9b06 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff90daa9a72 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff90daa9b19 (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff90daa99c1 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff90daa9b10 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff90daa9b23 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff90daa8f90 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff90da94fe1 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff90da94f69 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff90da94f37 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff90da94ed3 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff90da94f05 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff90da94faf (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff90da94f73 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff90da94f41 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff90da94edd (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff90da94f0f (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff90da94fb9 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff90da94fa5 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff90da94f9b (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff90daa83e1 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff90daa7e13 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00007ff90daa823c (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff90daa7026 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff90daa70d9 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff90daa749f (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff90daa7560 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff90daa73b3 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff90daa826e (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff90daa77e7 (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00007ff90daa809a (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00007ff90daad2e9 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00007ff90daa664c (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff90daa7ae2 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff90daa7321 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff90daa8250 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff90daa7d8c (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00007ff90daa7d2c (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff90daa71df (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff90daa66b5 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff90daad03f (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff90daad0c8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff90daad143 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff90daad176 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff90daad1a9 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff90daad224 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff90daa663e (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff90daa8281 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff90daa812a (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00007ff90daa828e (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00007ff90daa82e6 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff90daa8352 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff90daa78f6 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff90daa82c0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff90daa77a2 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff90daa82cd (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff90daa786d (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff90daa6f7f (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff90daa8264 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff90daa8348 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff90daa8246 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff90daa821e (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff90daa8232 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff90daa8324 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff90daa78b2 (__TEXT,__text) non-external -[PolicyScanTarget quarantineFlags]
00007ff90daa79ca (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff90daa7b72 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff90daa8317 (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00007ff90daa8278 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff90daa833c (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00007ff90daa830b (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00007ff90daa82ff (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff90daa829b (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00007ff90daa82f3 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff90daa835f (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff90daa82da (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff90daa8330 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff90daa8378 (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff90daa82b4 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff90daa83b3 (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff90daa76e1 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff90daa72e4 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff90daa720c (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff90daa7620 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff90daa7bae (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff90daa836b (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff90daa82a7 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff90daa8214 (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff90daa83a6 (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff90daa825a (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff90daa8228 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff90da91868 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff90da912e1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff90da91836 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff90da91804 (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff90da91552 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff90da91473 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff90da9170a (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff90da9136a (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff90da9173c (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff90da91840 (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff90da9180e (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff90da91714 (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff90da91746 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff90da917dc (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff90da917aa (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff90da916e2 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff90da91778 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff90da917d2 (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff90da917a0 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff90da916d8 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff90da9176e (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff90daaa137 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00007ff90daaa022 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00007ff90daa9f51 (__TEXT,__text) non-external -[SPBundleProtection init]
00007ff90daaa064 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00007ff90da951d6 (__TEXT,__text) non-external -[SPCodeEvaluationProxy .cxx_destruct]
00007ff90da950fb (__TEXT,__text) non-external -[SPCodeEvaluationProxy dealloc]
00007ff90da9502a (__TEXT,__text) non-external -[SPCodeEvaluationProxy init]
00007ff90da9513d (__TEXT,__text) non-external -[SPCodeEvaluationProxy showXProtectBlockedPrompt:forUser:error:]
00007ff90daaa9f0 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff90daaa980 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff90daaa856 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff90daaa785 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff90daaa898 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff90daaa956 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff90daaa9dd (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff90daaa9d2 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff90daaa8c4 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff90daaa9e5 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff90da9c5e9 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff90da9c5c1 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff90da9c5d5 (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff90da9c3b1 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff90da9c599 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff90da9c1a7 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff90da9be80 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90da9be72 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff90da9c5df (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff90da9c5a3 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff90da9c5cb (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff90da9c5ad (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff90da9c5b7 (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff90daa01ad (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff90da9ee47 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff90da9ed60 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperOverrideForPersistentIdentifier:error:]
00007ff90da9ec79 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff90da9f8e3 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff90da9ec14 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff90da9e957 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff90da9e6dd (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff90da9e867 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff90da9f022 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff90da9f4b6 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff90da9f79d (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff90da9f2b2 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff90da9e638 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff90da9f109 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff90da9f5a1 (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff90da9f828 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff90da9ec07 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff90da9f5fb (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff90da9e727 (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff90da9e71f (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff90da9ef2e (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff90da9f99e (__TEXT,__text) non-external -[SPExecutionPolicy setDownloadURL:andDataURL:forURL:]
00007ff90da9f587 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff90da9f36d (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff90da9f6e2 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff90da9e73d (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff90da9f1f0 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff90da9b6ca (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff90da9acd6 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff90daabeec (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff90daabf73 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff90daabffa (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff90daac093 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff90daac12c (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff90daac186 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff90daac1ba (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff90da9ba17 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff90da9b7be (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withShouldOverridePolicy:withPolicy:withProgressHandler:error:]
00007ff90da9e62a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject .cxx_destruct]
00007ff90da9e5be (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject doGatekeeperProgressUpdate:withTotal:]
00007ff90da9e55a (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject initWithParent:]
00007ff90da9e603 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject parent]
00007ff90da9e619 (__TEXT,__text) non-external -[SPExecutionPolicyExportedObject setParent:]
00007ff90da9ac8d (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
