0000000182bbf1d8 (__DATA,__data) external _NDR_record
0000000180a9cbc0 (__TEXT,__text) external ___sigreturn
0000000180a9cbec (__TEXT,__text) external ___sigsuspend
0000000180a9cc18 (__TEXT,__text) external ___sigsuspend_nocancel
0000000180a9cc44 (__TEXT,__text) external ___sigwait
0000000180a9cc70 (__TEXT,__text) external ___socketpair
0000000180a9cc9c (__TEXT,__text) external ___stack_snapshot_with_config
0000000180a9ccc8 (__TEXT,__text) external ___stat64_extended
0000000180a9ccf4 (__TEXT,__text) external ___stat_extended
0000000180aa6830 (__TEXT,__text) non-external ___statfs_ext_impl
0000000180a9cd20 (__TEXT,__text) external ___syscall
0000000182bbf908 (__DATA,__common) external ___syscall_logger
0000000180a9cd5c (__TEXT,__text) external ___sysctl
0000000180a9cd88 (__TEXT,__text) external ___sysctlbyname
0000000180a9cdb4 (__TEXT,__text) external ___telemetry
0000000180a9cde0 (__TEXT,__text) external ___terminate_with_payload
0000000180a9ce0c (__TEXT,__text) external ___thread_selfid
0000000180a9ce38 (__TEXT,__text) external ___thread_selfusage
0000000180a9ce64 (__TEXT,__text) external ___ulock_wait
0000000180a9ce90 (__TEXT,__text) external ___ulock_wait2
0000000180a9cebc (__TEXT,__text) external ___ulock_wake
0000000180a9cee8 (__TEXT,__text) external ___umask_extended
0000000180a9cf14 (__TEXT,__text) external ___unlink
0000000180a9cf40 (__TEXT,__text) external ___unlinkat
0000000180a9cf6c (__TEXT,__text) external ___vfork
0000000180a9cfdc (__TEXT,__text) external ___wait4
0000000180a9d008 (__TEXT,__text) external ___wait4_nocancel
0000000180a9d034 (__TEXT,__text) external ___waitid_nocancel
0000000180a9d060 (__TEXT,__text) external ___work_interval_ctl
0000000180a9d08c (__TEXT,__text) external ___workq_kernreturn
0000000180a9d0b8 (__TEXT,__text) external ___workq_open
0000000180a9d0e4 (__TEXT,__text) external ___write_nocancel
0000000180a9d110 (__TEXT,__text) external ___writev_nocancel
0000000182bbf2c0 (__DATA,__common) external __cpu_capabilities
0000000182bbf2c4 (__DATA,__common) external __cpu_has_altivec
0000000182bbf008 (__DATA,__data) external __current_pid
0000000182bbf228 (__DATA,__bss) non-external __dlsym
0000000180a9a594 (__TEXT,__text) external __exclaves_ctl_trap
0000000180a9aeac (__TEXT,__text) external __exit
0000000180a9a850 (__TEXT,__text) external __get_cpu_capabilities
0000000182bbf248 (__DATA,__bss) non-external __gethostuuid_callback
0000000180aa5d7c (__TEXT,__text) external __getprivatesystemidentifier
0000000180ab59ec (__TEXT,__text) external __host_page_size
0000000180aaf8cc (__TEXT,__text) external __init_cpu_capabilities
0000000180ab7280 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
0000000180ab8764 (__TEXT,__text) external __kernelrpc_mach_port_allocate
0000000180ab9d40 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
0000000180ab8648 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
0000000180ab9bd0 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
0000000180a9a384 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
0000000180abbb20 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
0000000180abac0c (__TEXT,__text) external __kernelrpc_mach_port_construct
0000000180a9a3d8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
0000000180ab89d4 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
0000000180a9a390 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
0000000180ab88b8 (__TEXT,__text) external __kernelrpc_mach_port_destroy
0000000180abad78 (__TEXT,__text) external __kernelrpc_mach_port_destruct
0000000180a9a3e4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
0000000180aba330 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
0000000180aba714 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
0000000180a9a3cc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
0000000180ab95e4 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
0000000180ab9878 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
0000000180a9a48c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
0000000180aba830 (__TEXT,__text) external __kernelrpc_mach_port_get_context
0000000180ab8af0 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
0000000180abb948 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
0000000180ab908c (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
0000000180ab9fe0 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
0000000180abae94 (__TEXT,__text) external __kernelrpc_mach_port_guard
0000000180a9a498 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
0000000180abb374 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
0000000180aba5f8 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
0000000180a9a3c0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
0000000180ab94bc (__TEXT,__text) external __kernelrpc_mach_port_insert_right
0000000180a9a3b4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
0000000180abb7f4 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
0000000180aba494 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
0000000180abaaa0 (__TEXT,__text) external __kernelrpc_mach_port_kobject
0000000180abb5b4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
0000000180ab8c40 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
0000000180a9a39c (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
0000000180ab9220 (__TEXT,__text) external __kernelrpc_mach_port_move_member
0000000180a9a3a8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
0000000180ab8218 (__TEXT,__text) external __kernelrpc_mach_port_names
0000000180ab8d5c (__TEXT,__text) external __kernelrpc_mach_port_peek
0000000180ab852c (__TEXT,__text) external __kernelrpc_mach_port_rename
0000000180ab933c (__TEXT,__text) external __kernelrpc_mach_port_request_notification
0000000180a9a588 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
0000000180ab9a68 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
0000000180aba984 (__TEXT,__text) external __kernelrpc_mach_port_set_context
0000000180ab8f70 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
0000000180ab975c (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
0000000180abb0d0 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
0000000180aba134 (__TEXT,__text) external __kernelrpc_mach_port_space_info
0000000180abb220 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
0000000180abb494 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
0000000180ab83d8 (__TEXT,__text) external __kernelrpc_mach_port_type
0000000180a9a57c (__TEXT,__text) external __kernelrpc_mach_port_type_trap
0000000180abafb4 (__TEXT,__text) external __kernelrpc_mach_port_unguard
0000000180a9a4a4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
0000000180ac0b70 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
0000000180ac0a44 (__TEXT,__text) external __kernelrpc_mach_ports_register3
0000000180ac54a8 (__TEXT,__text) external __kernelrpc_mach_task_is_self
0000000180abbc88 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
0000000180a9a33c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
0000000180abbde0 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
0000000180a9a354 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
0000000180abca28 (__TEXT,__text) external __kernelrpc_mach_vm_map
0000000180a9a378 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
0000000180abbefc (__TEXT,__text) external __kernelrpc_mach_vm_protect
0000000180a9a36c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
0000000180abd5e4 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
0000000180a9a348 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
0000000180abc13c (__TEXT,__text) external __kernelrpc_mach_vm_read
0000000180abcd0c (__TEXT,__text) external __kernelrpc_mach_vm_remap
0000000180abda7c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
0000000180abe284 (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
0000000180acbb48 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
0000000180ab9ec4 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180ac7db4 (__TEXT,__text) external __kernelrpc_thread_policy
0000000180ac7f24 (__TEXT,__text) external __kernelrpc_thread_policy_set
0000000180ac8854 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180ac9e70 (__TEXT,__text) external __kernelrpc_vm_map
0000000180acaa2c (__TEXT,__text) external __kernelrpc_vm_purgable_control
0000000180ac9584 (__TEXT,__text) external __kernelrpc_vm_read
0000000180aca154 (__TEXT,__text) external __kernelrpc_vm_remap
0000000180acab80 (__TEXT,__text) external __kernelrpc_vm_remap_new
0000000180a9fcac (__TEXT,__text) non-external __libkernel_bzero
0000000182bbf220 (__DATA,__bss) non-external __libkernel_functions
0000000182c4ecc8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
0000000180a9fe18 (__TEXT,__text) non-external __libkernel_memmove
0000000180a9fcb8 (__TEXT,__text) non-external __libkernel_memset
0000000180a9fc4c (__TEXT,__text) non-external __libkernel_strchr
0000000180a9fc84 (__TEXT,__text) non-external __libkernel_strcmp
0000000180a9ff30 (__TEXT,__text) non-external __libkernel_strcpy
0000000182bbf010 (__DATA,__data) non-external __libkernel_string_functions
0000000180a9ff78 (__TEXT,__text) non-external __libkernel_strlcpy
0000000180a9fa8c (__TEXT,__text) non-external __libkernel_strlen
0000000182bbf018 (__DATA,__data) non-external __libkernel_voucher_functions
0000000180accf90 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
0000000180aa15e0 (__TEXT,__text) non-external __mach_continuous_time
0000000180b949a8 (__DATA_CONST,__const) external __mach_errors
0000000180aa200c (__TEXT,__text) external __mach_fork_child
0000000180aa3884 (__TEXT,__text) external __mach_snprintf
0000000180aa3720 (__TEXT,__text) external __mach_vsnprintf
0000000182bbf2c8 (__DATA,__common) external __os_alloc_once_table
0000000180aa7b04 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
0000000180aa879c (__TEXT,__text) non-external __posix_spawnattr_get_posix_creds_info
0000000180aa5d80 (__TEXT,__text) external __register_gethostuuid_callback
0000000182bbf234 (__DATA,__bss) non-external __task_reply_port
0000000180a9f738 (__TEXT,__text) external __thread_set_tsd_base
0000000180acc498 (__TEXT,__text) non-external _abort
0000000180acc498 (__TEXT,__text) non-external _abort.391
0000000180acc498 (__TEXT,__text) non-external _abort.393
0000000180acc498 (__TEXT,__text) non-external _abort.404
0000000180acc568 (__TEXT,__text) external _abort_with_payload
0000000180acc4dc (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
0000000180acc4bc (__TEXT,__text) external _abort_with_reason
0000000180a9a984 (__TEXT,__text) external _accept
0000000180a9a9b0 (__TEXT,__text) external _accept$NOCANCEL
0000000180a9d13c (__TEXT,__text) external _access
0000000180a9a9dc (__TEXT,__text) external _accessx_np
0000000180a9d168 (__TEXT,__text) external _acct
0000000180ac64cc (__TEXT,__text) external _act_get_state
0000000180ac6714 (__TEXT,__text) external _act_set_state
0000000180a9d194 (__TEXT,__text) external _adjtime
0000000180a9d1c0 (__TEXT,__text) external _aio_cancel
0000000180a9d1ec (__TEXT,__text) external _aio_error
0000000180a9d218 (__TEXT,__text) external _aio_fsync
0000000180a9d244 (__TEXT,__text) external _aio_read
0000000180a9d270 (__TEXT,__text) external _aio_return
0000000180a9d29c (__TEXT,__text) external _aio_suspend
0000000180a9aa08 (__TEXT,__text) external _aio_suspend$NOCANCEL
0000000180a9d2c8 (__TEXT,__text) external _aio_write
0000000180a9d2f4 (__TEXT,__text) external _audit
0000000180a9d320 (__TEXT,__text) external _audit_session_join
0000000180a9d34c (__TEXT,__text) external _audit_session_port
0000000180a9d378 (__TEXT,__text) external _audit_session_self
0000000180a9d3a4 (__TEXT,__text) external _auditctl
0000000180a9d3d0 (__TEXT,__text) external _auditon
0000000180a9aa34 (__TEXT,__text) external _bind
0000000182bbf284 (__DATA,__common) external _bootstrap_port
0000000180a9f9dc (__TEXT,__text) non-external _bzero
0000000180aa3b50 (__TEXT,__text) external _cerror
0000000180aa3b2c (__TEXT,__text) external _cerror_nocancel
0000000180a9d3fc (__TEXT,__text) external _change_fdguard_np
0000000180a9d428 (__TEXT,__text) external _chdir
0000000180a9d454 (__TEXT,__text) external _chflags
0000000180aa6b44 (__TEXT,__text) external _chmod
0000000180a9d480 (__TEXT,__text) external _chown
0000000180a9d4ac (__TEXT,__text) external _chroot
0000000180ab2388 (__TEXT,__text) external _clock_alarm
0000000180ab200c (__TEXT,__text) external _clock_alarm_reply
0000000180ab21bc (__TEXT,__text) external _clock_get_attributes
0000000180ab2074 (__TEXT,__text) external _clock_get_time
0000000180ab1ebc (__TEXT,__text) external _clock_set_attributes
0000000180ab1da4 (__TEXT,__text) external _clock_set_time
0000000180aa1764 (__TEXT,__text) external _clock_sleep
0000000180a9a558 (__TEXT,__text) external _clock_sleep_trap
0000000180aa15bc (__TEXT,__text) external _clonefile
0000000180a9d4d8 (__TEXT,__text) external _clonefileat
0000000180a9d504 (__TEXT,__text) external _close
0000000180a9ac44 (__TEXT,__text) external _close$NOCANCEL
0000000180aacf6c (__TEXT,__text) external _coalition_create
0000000180aad014 (__TEXT,__text) external _coalition_info_debug_info
0000000180aacfdc (__TEXT,__text) external _coalition_info_resource_usage
0000000180aad084 (__TEXT,__text) external _coalition_info_set_efficiency
0000000180aad04c (__TEXT,__text) external _coalition_info_set_name
