                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffc135c15d8 (__TEXT,__text) external _apr__SHA256_Data
00007ffc135b4fbd (__TEXT,__text) external _apr_atomic_cas32
00007ffc135b4fd6 (__TEXT,__text) external _apr_atomic_casptr
00007ffc135b4fac (__TEXT,__text) external _apr_atomic_dec32
00007ffc135b4f9d (__TEXT,__text) external _apr_atomic_inc32
00007ffc135b4f70 (__TEXT,__text) external _apr_atomic_init
00007ffc135b4f78 (__TEXT,__text) external _apr_atomic_read32
00007ffc135b4f80 (__TEXT,__text) external _apr_atomic_set32
00007ffc135b4f94 (__TEXT,__text) external _apr_atomic_sub32
00007ffc135b4fc9 (__TEXT,__text) external _apr_atomic_xchg32
00007ffc135b4fe4 (__TEXT,__text) external _apr_atomic_xchgptr
00007ffc135ae3cc (__TEXT,__text) external _apr_collapse_spaces
00007ffc135ae104 (__TEXT,__text) external _apr_cpystrn
00007ffc135c1665 (__TEXT,__text) external _apr_crypto_sha256_new
00007ffc135c3517 (__TEXT,__text) external _apr_ctime
00007ffc135c4bb0 (__TEXT,__const) external _apr_day_snames
00007ffc135b54a4 (__TEXT,__text) external _apr_dir_close
00007ffc135b56ae (__TEXT,__text) external _apr_dir_make
00007ffc135b56df (__TEXT,__text) external _apr_dir_make_recursive
00007ffc135b82b6 (__TEXT,__text) external _apr_dir_open
00007ffc135b5403 (__TEXT,__text) external _apr_dir_open$INODE64
00007ffc135b8357 (__TEXT,__text) external _apr_dir_read
00007ffc135b54da (__TEXT,__text) external _apr_dir_read$INODE64
00007ffc135b57a9 (__TEXT,__text) external _apr_dir_remove
00007ffc135b8513 (__TEXT,__text) external _apr_dir_rewind
00007ffc135b569d (__TEXT,__text) external _apr_dir_rewind$INODE64
00007ffc135b515f (__TEXT,__text) external _apr_dso_error
00007ffc135b504a (__TEXT,__text) external _apr_dso_load
00007ffc135b5127 (__TEXT,__text) external _apr_dso_sym
00007ffc135b5110 (__TEXT,__text) external _apr_dso_unload
00007ffc135bad3e (__TEXT,__text) external _apr_env_delete
00007ffc135bacff (__TEXT,__text) external _apr_env_get
00007ffc135bad28 (__TEXT,__text) external _apr_env_set
00007ffc135adada (__TEXT,__text) external _apr_escape_echo
00007ffc135ad42d (__TEXT,__text) external _apr_escape_entity
00007ffc135add48 (__TEXT,__text) external _apr_escape_hex
00007ffc135ad099 (__TEXT,__text) external _apr_escape_path
00007ffc135acf24 (__TEXT,__text) external _apr_escape_path_segment
00007ffc135ac9ac (__TEXT,__text) external _apr_escape_shell
00007ffc135ad298 (__TEXT,__text) external _apr_escape_urlencoded
00007ffc135b53d1 (__TEXT,__text) external _apr_file_append
00007ffc135b63d4 (__TEXT,__text) external _apr_file_attrs_set
00007ffc135b5190 (__TEXT,__text) external _apr_file_buffer_set
00007ffc135b5219 (__TEXT,__text) external _apr_file_buffer_size_get
00007ffc135b6d0b (__TEXT,__text) external _apr_file_close
00007ffc135b5223 (__TEXT,__text) external _apr_file_copy
00007ffc135b58c4 (__TEXT,__text) external _apr_file_data_get
00007ffc135b58d1 (__TEXT,__text) external _apr_file_data_set
00007ffc135b7be1 (__TEXT,__text) external _apr_file_datasync
00007ffc135b58ea (__TEXT,__text) external _apr_file_dup
00007ffc135b5a95 (__TEXT,__text) external _apr_file_dup2
00007ffc135b6e2f (__TEXT,__text) external _apr_file_eof
00007ffc135b583d (__TEXT,__text) external _apr_file_flags_get
00007ffc135b7b3f (__TEXT,__text) external _apr_file_flush
00007ffc135b7964 (__TEXT,__text) external _apr_file_flush_locked
00007ffc135b7af2 (__TEXT,__text) external _apr_file_getc
00007ffc135b7c3f (__TEXT,__text) external _apr_file_gets
00007ffc135b8633 (__TEXT,__text) external _apr_file_info_get
00007ffc135b6320 (__TEXT,__text) external _apr_file_info_get$INODE64
00007ffc135b8524 (__TEXT,__text) external _apr_file_info_get_locked
00007ffc135b620f (__TEXT,__text) external _apr_file_info_get_locked$INODE64
00007ffc135b6fff (__TEXT,__text) external _apr_file_inherit_set
00007ffc135b7080 (__TEXT,__text) external _apr_file_inherit_unset
00007ffc135b710a (__TEXT,__text) external _apr_file_link
00007ffc135b65b2 (__TEXT,__text) external _apr_file_lock
00007ffc135b6925 (__TEXT,__text) external _apr_file_mktemp
00007ffc135b64e3 (__TEXT,__text) external _apr_file_mtime_set
00007ffc135b582e (__TEXT,__text) external _apr_file_name_get
00007ffc135b7523 (__TEXT,__text) external _apr_file_namedpipe_create
00007ffc135b6aa4 (__TEXT,__text) external _apr_file_open
00007ffc135b6e43 (__TEXT,__text) external _apr_file_open_flags_stderr
00007ffc135b6e8d (__TEXT,__text) external _apr_file_open_flags_stdin
00007ffc135b6e68 (__TEXT,__text) external _apr_file_open_flags_stdout
00007ffc135b6eb2 (__TEXT,__text) external _apr_file_open_stderr
00007ffc135b6f90 (__TEXT,__text) external _apr_file_open_stdin
00007ffc135b6f21 (__TEXT,__text) external _apr_file_open_stdout
00007ffc135b63a2 (__TEXT,__text) external _apr_file_perms_set
00007ffc135b734a (__TEXT,__text) external _apr_file_pipe_create
00007ffc135b74cb (__TEXT,__text) external _apr_file_pipe_create_ex
00007ffc135b71d4 (__TEXT,__text) external _apr_file_pipe_timeout_get
00007ffc135b7125 (__TEXT,__text) external _apr_file_pipe_timeout_set
00007ffc135b7101 (__TEXT,__text) external _apr_file_pool_get
00007ffc135b7dae (__TEXT,__text) external _apr_file_printf
00007ffc135b7ab8 (__TEXT,__text) external _apr_file_putc
00007ffc135b7b19 (__TEXT,__text) external _apr_file_puts
00007ffc135b7555 (__TEXT,__text) external _apr_file_read
00007ffc135b66c1 (__TEXT,__text) external _apr_file_read_full
00007ffc135b6d22 (__TEXT,__text) external _apr_file_remove
00007ffc135b6d3c (__TEXT,__text) external _apr_file_rename
00007ffc135b7f0e (__TEXT,__text) external _apr_file_seek
00007ffc135b5ab7 (__TEXT,__text) external _apr_file_setaside
00007ffc135b7b83 (__TEXT,__text) external _apr_file_sync
00007ffc135b8086 (__TEXT,__text) external _apr_file_trunc
00007ffc135b7ae3 (__TEXT,__text) external _apr_file_ungetc
00007ffc135b6653 (__TEXT,__text) external _apr_file_unlock
00007ffc135b77c1 (__TEXT,__text) external _apr_file_write
00007ffc135b6725 (__TEXT,__text) external _apr_file_write_full
00007ffc135b79e5 (__TEXT,__text) external _apr_file_writev
00007ffc135b6789 (__TEXT,__text) external _apr_file_writev_full
00007ffc135b6012 (__TEXT,__text) external _apr_filepath_encoding
00007ffc135b5bae (__TEXT,__text) external _apr_filepath_get
00007ffc135b6000 (__TEXT,__text) external _apr_filepath_list_merge
00007ffc135b60de (__TEXT,__text) external _apr_filepath_list_merge_impl
00007ffc135b5fee (__TEXT,__text) external _apr_filepath_list_split
00007ffc135b6020 (__TEXT,__text) external _apr_filepath_list_split_impl
00007ffc135b5c95 (__TEXT,__text) external _apr_filepath_merge
00007ffc135ae3a4 (__TEXT,__text) external _apr_filepath_name_get
00007ffc135b5c50 (__TEXT,__text) external _apr_filepath_root
00007ffc135b5c36 (__TEXT,__text) external _apr_filepath_set
00007ffc135ae443 (__TEXT,__text) external _apr_fnmatch
00007ffc135aec51 (__TEXT,__text) external _apr_fnmatch_test
00007ffc135bbbab (__TEXT,__text) external _apr_generate_random_bytes
00007ffc135bee3c (__TEXT,__text) external _apr_gethostname
00007ffc135bd3d0 (__TEXT,__text) external _apr_getnameinfo
00007ffc135bb1e4 (__TEXT,__text) external _apr_getopt
00007ffc135bb110 (__TEXT,__text) external _apr_getopt_init
00007ffc135bb3d1 (__TEXT,__text) external _apr_getopt_long
00007ffc135bd4f6 (__TEXT,__text) external _apr_getservbyname
00007ffc135c37e8 (__TEXT,__text) external _apr_gid_get
00007ffc135c375b (__TEXT,__text) external _apr_gid_name_get
00007ffc135b8813 (__TEXT,__text) external _apr_global_mutex_child_init
00007ffc135b872d (__TEXT,__text) external _apr_global_mutex_create
00007ffc135b88f5 (__TEXT,__text) external _apr_global_mutex_destroy
00007ffc135b8824 (__TEXT,__text) external _apr_global_mutex_lock
00007ffc135b890c (__TEXT,__text) external _apr_global_mutex_lockfile
00007ffc135b891a (__TEXT,__text) external _apr_global_mutex_name
00007ffc135b8928 (__TEXT,__text) external _apr_global_mutex_pool_get
00007ffc135b886a (__TEXT,__text) external _apr_global_mutex_trylock
00007ffc135b88b0 (__TEXT,__text) external _apr_global_mutex_unlock
00007ffc135b2362 (__TEXT,__text) external _apr_hash_clear
00007ffc135b20a4 (__TEXT,__text) external _apr_hash_copy
00007ffc135b2359 (__TEXT,__text) external _apr_hash_count
00007ffc135b2645 (__TEXT,__text) external _apr_hash_do
00007ffc135b1fa5 (__TEXT,__text) external _apr_hash_first
00007ffc135b2176 (__TEXT,__text) external _apr_hash_get
00007ffc135b1e97 (__TEXT,__text) external _apr_hash_make
00007ffc135b1f45 (__TEXT,__text) external _apr_hash_make_custom
00007ffc135b23c9 (__TEXT,__text) external _apr_hash_merge
00007ffc135b1f5e (__TEXT,__text) external _apr_hash_next
00007ffc135b23ba (__TEXT,__text) external _apr_hash_overlay
00007ffc135b26d0 (__TEXT,__text) external _apr_hash_pool_get
00007ffc135b2294 (__TEXT,__text) external _apr_hash_set
00007ffc135b1fe2 (__TEXT,__text) external _apr_hash_this
00007ffc135b2018 (__TEXT,__text) external _apr_hash_this_key
00007ffc135b2026 (__TEXT,__text) external _apr_hash_this_key_len
00007ffc135b2034 (__TEXT,__text) external _apr_hash_this_val
00007ffc135b2042 (__TEXT,__text) external _apr_hashfunc_default
00007ffc135bbf0e (__TEXT,__text) external _apr_inet_ntop
00007ffc135bc218 (__TEXT,__text) external _apr_inet_pton
00007ffc135bbc5e (__TEXT,__text) external _apr_initialize
00007ffc135bd66c (__TEXT,__text) external _apr_ipsubnet_create
00007ffc135bd991 (__TEXT,__text) external _apr_ipsubnet_test
00007ffc135b340b (__TEXT,__text) external _apr_is_empty_array
00007ffc135b3872 (__TEXT,__text) external _apr_is_empty_table
00007ffc135b1967 (__TEXT,__text) external _apr_itoa
00007ffc135b19c7 (__TEXT,__text) external _apr_ltoa
00007ffc135aeca8 (__TEXT,__text) external _apr_match_glob
00007ffc135bc683 (__TEXT,__text) external _apr_mcast_hops
00007ffc135bc724 (__TEXT,__text) external _apr_mcast_interface
00007ffc135bc587 (__TEXT,__text) external _apr_mcast_join
00007ffc135bc668 (__TEXT,__text) external _apr_mcast_leave
00007ffc135bc710 (__TEXT,__text) external _apr_mcast_loopback
00007ffc135bbd2d (__TEXT,__text) external _apr_mmap_create
00007ffc135bbef7 (__TEXT,__text) external _apr_mmap_delete
00007ffc135bbe87 (__TEXT,__text) external _apr_mmap_dup
00007ffc135bbd0e (__TEXT,__text) external _apr_mmap_offset
00007ffc135c4b80 (__TEXT,__const) external _apr_month_snames
00007ffc135b1a39 (__TEXT,__text) external _apr_off_t_toa
00007ffc135bacb9 (__TEXT,__text) external _apr_os_default_encoding
00007ffc135b57c3 (__TEXT,__text) external _apr_os_dir_get
00007ffc135b57dd (__TEXT,__text) external _apr_os_dir_put
00007ffc135b503b (__TEXT,__text) external _apr_os_dso_handle_get
00007ffc135b4ff3 (__TEXT,__text) external _apr_os_dso_handle_put
00007ffc135c325a (__TEXT,__text) external _apr_os_exp_time_get
00007ffc135c329e (__TEXT,__text) external _apr_os_exp_time_put
00007ffc135b6d56 (__TEXT,__text) external _apr_os_file_get
00007ffc135b6d63 (__TEXT,__text) external _apr_os_file_put
00007ffc135b88df (__TEXT,__text) external _apr_os_global_mutex_get
00007ffc135c3220 (__TEXT,__text) external _apr_os_imp_time_get
00007ffc135c3282 (__TEXT,__text) external _apr_os_imp_time_put
00007ffc135bacc6 (__TEXT,__text) external _apr_os_locale_encoding
00007ffc135b72b5 (__TEXT,__text) external _apr_os_pipe_put
00007ffc135b71ee (__TEXT,__text) external _apr_os_pipe_put_ex
00007ffc135b8ad9 (__TEXT,__text) external _apr_os_proc_mutex_get
00007ffc135b8af6 (__TEXT,__text) external _apr_os_proc_mutex_put
00007ffc135c1c0b (__TEXT,__text) external _apr_os_shm_get
00007ffc135c1c16 (__TEXT,__text) external _apr_os_shm_put
00007ffc135be56b (__TEXT,__text) external _apr_os_sock_get
00007ffc135be578 (__TEXT,__text) external _apr_os_sock_make
00007ffc135be676 (__TEXT,__text) external _apr_os_sock_put
00007ffc135c2dd0 (__TEXT,__text) external _apr_os_thread_current
00007ffc135c2dda (__TEXT,__text) external _apr_os_thread_equal
00007ffc135c2e63 (__TEXT,__text) external _apr_os_thread_get
00007ffc135c2e72 (__TEXT,__text) external _apr_os_thread_put
00007ffc135c2fad (__TEXT,__text) external _apr_os_threadkey_get
00007ffc135c2fbc (__TEXT,__text) external _apr_os_threadkey_put
00007ffc135bbb5c (__TEXT,__text) external _apr_os_uuid_get
00007ffc135b9f0b (__TEXT,__text) external _apr_palloc
00007ffc135bac73 (__TEXT,__text) external _apr_palloc_debug
00007ffc135bd111 (__TEXT,__text) external _apr_parse_addr_port
00007ffc135ae099 (__TEXT,__text) external _apr_password_get
00007ffc135ba024 (__TEXT,__text) external _apr_pcalloc
00007ffc135bac7d (__TEXT,__text) external _apr_pcalloc_debug
00007ffc135adce4 (__TEXT,__text) external _apr_pescape_echo
00007ffc135ad699 (__TEXT,__text) external _apr_pescape_entity
00007ffc135addcc (__TEXT,__text) external _apr_pescape_hex
00007ffc135ad234 (__TEXT,__text) external _apr_pescape_path
00007ffc135ad040 (__TEXT,__text) external _apr_pescape_path_segment
00007ffc135acaa5 (__TEXT,__text) external _apr_pescape_shell
00007ffc135ad3d4 (__TEXT,__text) external _apr_pescape_urlencoded
00007ffc135b15d5 (__TEXT,__text) external _apr_pmemdup
00007ffc135bf7c4 (__TEXT,__text) external _apr_poll
00007ffc135c018d (__TEXT,__text) external _apr_poll_method_defname
00007ffc135bfe4f (__TEXT,__text) external _apr_pollcb_add
00007ffc135bfe42 (__TEXT,__text) external _apr_pollcb_create
00007ffc135bfd43 (__TEXT,__text) external _apr_pollcb_create_ex
00007ffc135bfe6d (__TEXT,__text) external _apr_pollcb_poll
00007ffc4182c830 (__DATA,__data) external _apr_pollcb_provider_kqueue
00007ffc4182c898 (__DATA,__data) external _apr_pollcb_provider_poll
00007ffc135bfe5e (__TEXT,__text) external _apr_pollcb_remove
00007ffc135c0208 (__TEXT,__text) external _apr_pollset_add
00007ffc135c01af (__TEXT,__text) external _apr_pollset_create
00007ffc135bfef5 (__TEXT,__text) external _apr_pollset_create_ex
00007ffc135c01bc (__TEXT,__text) external _apr_pollset_destroy
00007ffc135bfe7c (__TEXT,__text) external _apr_pollset_drain_wakeup_pipe
00007ffc135c017f (__TEXT,__text) external _apr_pollset_method_name
00007ffc135c0226 (__TEXT,__text) external _apr_pollset_poll
00007ffc4182c800 (__DATA,__data) external _apr_pollset_provider_kqueue
00007ffc4182c868 (__DATA,__data) external _apr_pollset_provider_poll
00007ffc4182c8d0 (__DATA,__data) external _apr_pollset_provider_select
00007ffc135c0217 (__TEXT,__text) external _apr_pollset_remove
00007ffc135c01e8 (__TEXT,__text) external _apr_pollset_wakeup
00007ffc135ba8c1 (__TEXT,__text) external _apr_pool_abort_get
00007ffc135ba8b7 (__TEXT,__text) external _apr_pool_abort_set
00007ffc135ba8d4 (__TEXT,__text) external _apr_pool_allocator_get
00007ffc135bab96 (__TEXT,__text) external _apr_pool_child_cleanup_set
00007ffc135babdd (__TEXT,__text) external _apr_pool_cleanup_for_exec
00007ffc135bab17 (__TEXT,__text) external _apr_pool_cleanup_kill
00007ffc135bac32 (__TEXT,__text) external _apr_pool_cleanup_null
00007ffc135ba9b2 (__TEXT,__text) external _apr_pool_cleanup_register
00007ffc135babbf (__TEXT,__text) external _apr_pool_cleanup_run
00007ffc135ba04e (__TEXT,__text) external _apr_pool_clear
00007ffc135bac87 (__TEXT,__text) external _apr_pool_clear_debug
00007ffc135ba301 (__TEXT,__text) external _apr_pool_create_core_ex
00007ffc135baca5 (__TEXT,__text) external _apr_pool_create_core_ex_debug
00007ffc135b9c1f (__TEXT,__text) external _apr_pool_create_ex
00007ffc135bac9b (__TEXT,__text) external _apr_pool_create_ex_debug
00007ffc135ba30b (__TEXT,__text) external _apr_pool_create_unmanaged_ex
00007ffc135bacaf (__TEXT,__text) external _apr_pool_create_unmanaged_ex_debug
00007ffc135b9d77 (__TEXT,__text) external _apr_pool_destroy
00007ffc135bac91 (__TEXT,__text) external _apr_pool_destroy_debug
00007ffc135b9aec (__TEXT,__text) external _apr_pool_initialize
00007ffc135ba8de (__TEXT,__text) external _apr_pool_is_ancestor
00007ffc135bac3a (__TEXT,__text) external _apr_pool_note_subprocess
00007ffc135ba8cb (__TEXT,__text) external _apr_pool_parent_get
00007ffc135baac2 (__TEXT,__text) external _apr_pool_pre_cleanup_register
00007ffc135b9d37 (__TEXT,__text) external _apr_pool_tag
00007ffc135b9d41 (__TEXT,__text) external _apr_pool_terminate
00007ffc135baa94 (__TEXT,__text) external _apr_pool_userdata_get
00007ffc135ba8ff (__TEXT,__text) external _apr_pool_userdata_set
00007ffc135baa0d (__TEXT,__text) external _apr_pool_userdata_setn
00007ffc135c21c9 (__TEXT,__text) external _apr_proc_create
00007ffc135c29c0 (__TEXT,__text) external _apr_proc_detach
00007ffc135c20f0 (__TEXT,__text) external _apr_proc_fork
00007ffc135c2a91 (__TEXT,__text) external _apr_proc_kill
00007ffc135b8a67 (__TEXT,__text) external _apr_proc_mutex_child_init
00007ffc135b8948 (__TEXT,__text) external _apr_proc_mutex_cleanup
00007ffc135b89de (__TEXT,__text) external _apr_proc_mutex_create
00007ffc135b89c3 (__TEXT,__text) external _apr_proc_mutex_defname
00007ffc135b8931 (__TEXT,__text) external _apr_proc_mutex_destroy
00007ffc135b8a82 (__TEXT,__text) external _apr_proc_mutex_lock
00007ffc135b8aa6 (__TEXT,__text) external _apr_proc_mutex_lockfile
00007ffc135b89d0 (__TEXT,__text) external _apr_proc_mutex_name
00007ffc135b8ad0 (__TEXT,__text) external _apr_proc_mutex_pool_get
00007ffc135b8a8e (__TEXT,__text) external _apr_proc_mutex_trylock
00007ffc135b8954 (__TEXT,__text) external _apr_proc_mutex_unix_setup_lock
00007ffc135b8a9a (__TEXT,__text) external _apr_proc_mutex_unlock
00007ffc135bba73 (__TEXT,__text) external _apr_proc_other_child_alert
00007ffc135bbab6 (__TEXT,__text) external _apr_proc_other_child_refresh
00007ffc135bbb2f (__TEXT,__text) external _apr_proc_other_child_refresh_all
00007ffc135bb912 (__TEXT,__text) external _apr_proc_other_child_register
00007ffc135bb9ed (__TEXT,__text) external _apr_proc_other_child_unregister
00007ffc135c271c (__TEXT,__text) external _apr_proc_spawn
00007ffc135c28c1 (__TEXT,__text) external _apr_proc_wait
00007ffc135c28b1 (__TEXT,__text) external _apr_proc_wait_all_procs
00007ffc135c2152 (__TEXT,__text) external _apr_procattr_addrspace_set
00007ffc135c1fd3 (__TEXT,__text) external _apr_procattr_child_err_set
00007ffc135c213b (__TEXT,__text) external _apr_procattr_child_errfn_set
00007ffc135c1e17 (__TEXT,__text) external _apr_procattr_child_in_set
00007ffc135c1ef5 (__TEXT,__text) external _apr_procattr_child_out_set
00007ffc135c20da (__TEXT,__text) external _apr_procattr_cmdtype_set
00007ffc135c1cb4 (__TEXT,__text) external _apr_procattr_create
00007ffc135c20e5 (__TEXT,__text) external _apr_procattr_detach_set
00007ffc135c20b1 (__TEXT,__text) external _apr_procattr_dir_set
00007ffc135c2147 (__TEXT,__text) external _apr_procattr_error_check_set
00007ffc135c21a0 (__TEXT,__text) external _apr_procattr_group_set
00007ffc135c1d14 (__TEXT,__text) external _apr_procattr_io_set
00007ffc135c2975 (__TEXT,__text) external _apr_procattr_limit_set
00007ffc135c215a (__TEXT,__text) external _apr_procattr_user_set
00007ffc135ba81d (__TEXT,__text) external _apr_psprintf
00007ffc135b16ab (__TEXT,__text) external _apr_pstrcat
00007ffc135b184e (__TEXT,__text) external _apr_pstrcatv
00007ffc135b158e (__TEXT,__text) external _apr_pstrdup
00007ffc135b1666 (__TEXT,__text) external _apr_pstrmemdup
00007ffc135b1604 (__TEXT,__text) external _apr_pstrndup
00007ffc135ada81 (__TEXT,__text) external _apr_punescape_entity
00007ffc135ae02a (__TEXT,__text) external _apr_punescape_hex
00007ffc135ace87 (__TEXT,__text) external _apr_punescape_url
00007ffc135ba423 (__TEXT,__text) external _apr_pvsprintf
00007ffc135c0c75 (__TEXT,__text) external _apr_random_add_entropy
00007ffc135c0bad (__TEXT,__text) external _apr_random_after_fork
00007ffc135c0fe4 (__TEXT,__text) external _apr_random_barrier
00007ffc135c0a1c (__TEXT,__text) external _apr_random_init
00007ffc135c0fcc (__TEXT,__text) external _apr_random_insecure_bytes
00007ffc135c1008 (__TEXT,__text) external _apr_random_insecure_ready
00007ffc135c0ede (__TEXT,__text) external _apr_random_secure_bytes
00007ffc135c0ff4 (__TEXT,__text) external _apr_random_secure_ready
00007ffc135c0c1c (__TEXT,__text) external _apr_random_standard_new
00007ffc135c331c (__TEXT,__text) external _apr_rfc822_date
00007ffc135c2b86 (__TEXT,__text) external _apr_setup_signal_thread
00007ffc135c1a67 (__TEXT,__text) external _apr_shm_attach
00007ffc135c1bb8 (__TEXT,__text) external _apr_shm_attach_ex
00007ffc135c1bee (__TEXT,__text) external _apr_shm_baseaddr_get
00007ffc135c16ed (__TEXT,__text) external _apr_shm_create
00007ffc135c19a9 (__TEXT,__text) external _apr_shm_create_ex
00007ffc135c1a50 (__TEXT,__text) external _apr_shm_destroy
00007ffc135c1bc2 (__TEXT,__text) external _apr_shm_detach
00007ffc135c1c02 (__TEXT,__text) external _apr_shm_pool_get
00007ffc135c19b3 (__TEXT,__text) external _apr_shm_remove
00007ffc135c1bf8 (__TEXT,__text) external _apr_shm_size_get
00007ffc135c2aae (__TEXT,__text) external _apr_signal
00007ffc135c2bb8 (__TEXT,__text) external _apr_signal_block
00007ffc135c2b29 (__TEXT,__text) external _apr_signal_description_get
00007ffc135c2b23 (__TEXT,__text) external _apr_signal_init
00007ffc135c2b48 (__TEXT,__text) external _apr_signal_thread
00007ffc135c2bf6 (__TEXT,__text) external _apr_signal_unblock
00007ffc135b29a9 (__TEXT,__text) external _apr_skiplist_add_index
00007ffc135b26d9 (__TEXT,__text) external _apr_skiplist_alloc
00007ffc135b32b8 (__TEXT,__text) external _apr_skiplist_destroy
00007ffc135b2ab8 (__TEXT,__text) external _apr_skiplist_find
00007ffc135b2b0a (__TEXT,__text) external _apr_skiplist_find_compare
00007ffc135b27f3 (__TEXT,__text) external _apr_skiplist_free
00007ffc135b2ad2 (__TEXT,__text) external _apr_skiplist_getlist
00007ffc135b284f (__TEXT,__text) external _apr_skiplist_init
00007ffc135b2ac5 (__TEXT,__text) external _apr_skiplist_insert
00007ffc135b2c31 (__TEXT,__text) external _apr_skiplist_insert_compare
00007ffc135b3361 (__TEXT,__text) external _apr_skiplist_merge
00007ffc135b2ae9 (__TEXT,__text) external _apr_skiplist_next
00007ffc135b3299 (__TEXT,__text) external _apr_skiplist_peek
00007ffc135b3268 (__TEXT,__text) external _apr_skiplist_pop
00007ffc135b2c10 (__TEXT,__text) external _apr_skiplist_previous
00007ffc135b31cf (__TEXT,__text) external _apr_skiplist_remove
00007ffc135b31dd (__TEXT,__text) external _apr_skiplist_remove_all
00007ffc135b3023 (__TEXT,__text) external _apr_skiplist_remove_compare
00007ffc135b295a (__TEXT,__text) external _apr_skiplist_set_compare
00007ffc135c32c4 (__TEXT,__text) external _apr_sleep
00007ffc135b11e0 (__TEXT,__text) external _apr_snprintf
00007ffc135bd560 (__TEXT,__text) external _apr_sockaddr_equal
00007ffc135bd32a (__TEXT,__text) external _apr_sockaddr_info_get
00007ffc135bcfa8 (__TEXT,__text) external _apr_sockaddr_ip_get
00007ffc135bcf24 (__TEXT,__text) external _apr_sockaddr_ip_getbuf
00007ffc135bd60e (__TEXT,__text) external _apr_sockaddr_is_wildcard
00007ffc135bcfd7 (__TEXT,__text) external _apr_sockaddr_vars_set
00007ffc135be086 (__TEXT,__text) external _apr_socket_accept
00007ffc135bd034 (__TEXT,__text) external _apr_socket_addr_get
00007ffc135bedf5 (__TEXT,__text) external _apr_socket_atmark
00007ffc135bdc7a (__TEXT,__text) external _apr_socket_atreadeof
00007ffc135be023 (__TEXT,__text) external _apr_socket_bind
