0000000205b9c778 (__DATA,__bss) non-external _A
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00000001ff32f3b4 (__TEXT,__text) external __ext_scan_at
00000001ff331504 (__TEXT,__text) external __scan_at
00000001ff338b08 (__TEXT,__text) external __scan_atx_heading_start
00000001ff344713 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00000001ff332c6c (__TEXT,__text) external __scan_autolink_email
00000001ff343b13 (__TEXT,__const) non-external __scan_autolink_email.yybm
00000001ff332054 (__TEXT,__text) external __scan_autolink_uri
00000001ff343a13 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00000001ff339174 (__TEXT,__text) external __scan_close_code_fence
00000001ff344a13 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00000001ff339d88 (__TEXT,__text) external __scan_dangerous_url
00000001ff3392cc (__TEXT,__text) external __scan_entity
00000001ff33a09c (__TEXT,__text) external __scan_footnote_definition
00000001ff344b13 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00000001ff336ae8 (__TEXT,__text) external __scan_html_block_end_1
00000001ff344013 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00000001ff3372d4 (__TEXT,__text) external __scan_html_block_end_2
00000001ff344113 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00000001ff337744 (__TEXT,__text) external __scan_html_block_end_3
00000001ff344213 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00000001ff337b58 (__TEXT,__text) external __scan_html_block_end_4
00000001ff344313 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00000001ff337eb8 (__TEXT,__text) external __scan_html_block_end_5
00000001ff344413 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00000001ff322550 (__TEXT,__text) external __scan_html_block_start
00000001ff320d24 (__TEXT,__text) external __scan_html_block_start_7
00000001ff343f13 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00000001ff3356dc (__TEXT,__text) external __scan_html_tag
00000001ff343c13 (__TEXT,__const) non-external __scan_html_tag.yybm
00000001ff336518 (__TEXT,__text) external __scan_liberal_html_tag
00000001ff343e13 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00000001ff338328 (__TEXT,__text) external __scan_link_title
00000001ff344513 (__TEXT,__const) non-external __scan_link_title.yybm
00000001ff338dd0 (__TEXT,__text) external __scan_open_code_fence
00000001ff344913 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00000001ff331564 (__TEXT,__text) external __scan_scheme
00000001ff338c40 (__TEXT,__text) external __scan_setext_heading_line
00000001ff344813 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00000001ff338acc (__TEXT,__text) external __scan_spacechars
00000001ff344613 (__TEXT,__const) non-external __scan_spacechars.yybm
00000001ff32f60c (__TEXT,__text) external __scan_table_cell
00000001ff343713 (__TEXT,__const) non-external __scan_table_cell.yybm
00000001ff32f914 (__TEXT,__text) external __scan_table_cell_end
00000001ff32f950 (__TEXT,__text) external __scan_table_row_end
00000001ff343813 (__TEXT,__const) non-external __scan_table_row_end.yybm
00000001ff32f40c (__TEXT,__text) external __scan_table_start
00000001ff343613 (__TEXT,__const) non-external __scan_table_start.yybm
00000001ff32fa04 (__TEXT,__text) external __scan_tasklist
00000001ff343913 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00000001ff322330 (__TEXT,__text) non-external _add_child
00000001ff3427e8 (__TEXT,__text) non-external _add_child.cold.1
00000001ff33cc8c (__TEXT,__text) non-external _add_line
00000001ff34286c (__TEXT,__text) non-external _add_line.cold.1
00000001ff33f48c (__TEXT,__text) non-external _adjust_subj_node_newlines
00000001ff341fe8 (__TEXT,__text) non-external _alloc_arena_chunk
00000001ff342178 (__TEXT,__text) non-external _arena_calloc
00000001ff3422bc (__TEXT,__text) non-external _arena_free
0000000205b9c738 (__DATA,__bss) non-external _arena_lock
0000000205b9c620 (__DATA,__data) non-external _arena_once
00000001ff342260 (__TEXT,__text) non-external _arena_realloc
00000001ff32ea88 (__TEXT,__text) non-external _autolink_delim
00000002020f4aa0 (__DATA_CONST,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001ff32dce8 (__TEXT,__text) non-external _can_contain
00000001ff32ffa8 (__TEXT,__text) non-external _can_contain
00000001ff340acc (__TEXT,__text) non-external _can_contain
00000001ff32e98c (__TEXT,__text) non-external _check_domain
00000001ff33f750 (__TEXT,__text) non-external _chunk_clone
00000001ff34204c (__TEXT,__text) external _cmark_arena_pop
00000001ff341f6c (__TEXT,__text) external _cmark_arena_push
00000001ff3420e8 (__TEXT,__text) external _cmark_arena_reset
00000001ff33e574 (__TEXT,__text) external _cmark_clean_attributes
00000001ff33e4bc (__TEXT,__text) external _cmark_clean_title
00000001ff33e3d4 (__TEXT,__text) external _cmark_clean_url
00000001ff342898 (__TEXT,__text) non-external _cmark_clean_url.cold.1
00000001ff3428c4 (__TEXT,__text) non-external _cmark_clean_url.cold.2
00000001ff3303c0 (__TEXT,__text) external _cmark_consolidate_text_nodes
00000001ff343513 (__TEXT,__const) non-external _cmark_ctype_class
00000002020ec5d0 (__DATA_CONST,__const) non-external _cmark_entities
00000001ff32ed28 (__TEXT,__text) external _cmark_find_syntax_extension
00000001ff33a220 (__TEXT,__text) external _cmark_footnote_create
00000001ff3425d0 (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00000001ff33a2a0 (__TEXT,__text) external _cmark_footnote_map_new
00000001ff3422c0 (__TEXT,__text) external _cmark_get_arena_mem_allocator
00000001ff32c9d0 (__TEXT,__text) external _cmark_get_default_mem_allocator
00000001ff321c58 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00000001ff341a30 (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00000001ff341a08 (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00000001ff341b04 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00000001ff32da40 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00000001ff341a88 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00000001ff341a58 (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00000001ff341b30 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00000001ff32d9e8 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00000001ff33f3fc (__TEXT,__text) external _cmark_inline_parser_advance_offset
00000001ff320d1c (__TEXT,__text) external _cmark_inline_parser_get_chunk
00000001ff33f41c (__TEXT,__text) external _cmark_inline_parser_get_column
00000001ff33f47c (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00000001ff33f484 (__TEXT,__text) external _cmark_inline_parser_get_line
00000001ff33f40c (__TEXT,__text) external _cmark_inline_parser_get_offset
00000001ff322518 (__TEXT,__text) external _cmark_inline_parser_in_bracket
00000001ff33f0c8 (__TEXT,__text) external _cmark_inline_parser_is_eof
00000001ff33f0bc (__TEXT,__text) external _cmark_inline_parser_peek_at
00000001ff33f084 (__TEXT,__text) external _cmark_inline_parser_peek_char
00000001ff342f60 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00000001ff33f1a4 (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00000001ff33f228 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00000001ff33f22c (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00000001ff342fb0 (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00000001ff33f414 (__TEXT,__text) external _cmark_inline_parser_set_offset
00000001ff33f0dc (__TEXT,__text) external _cmark_inline_parser_take_while
00000001ff342f88 (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00000001ff33e578 (__TEXT,__text) external _cmark_inlines_add_special_character
00000001ff33e598 (__TEXT,__text) external _cmark_inlines_remove_special_character
00000001ff3245e0 (__TEXT,__text) external _cmark_isalnum
00000001ff32d9cc (__TEXT,__text) external _cmark_isalpha
00000001ff32d9b0 (__TEXT,__text) external _cmark_isdigit
00000001ff32d994 (__TEXT,__text) external _cmark_ispunct
00000001ff32d978 (__TEXT,__text) external _cmark_isspace
00000001ff330398 (__TEXT,__text) external _cmark_iter_free
00000001ff3303b0 (__TEXT,__text) external _cmark_iter_get_event_type
00000001ff31eaf0 (__TEXT,__text) external _cmark_iter_get_node
00000001ff3303b8 (__TEXT,__text) external _cmark_iter_get_root
00000001ff330344 (__TEXT,__text) external _cmark_iter_new
00000001ff323ee8 (__TEXT,__text) external _cmark_iter_next
00000001ff342578 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00000001ff3303a4 (__TEXT,__text) external _cmark_iter_reset
00000001ff32ec94 (__TEXT,__text) external _cmark_list_syntax_extensions
00000001ff3224bc (__TEXT,__text) external _cmark_llist_append
00000001ff321b5c (__TEXT,__text) external _cmark_llist_free
00000001ff3314a8 (__TEXT,__text) external _cmark_llist_free_full
00000001ff33af64 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00000001ff33a504 (__TEXT,__text) external _cmark_map_free
00000001ff33a394 (__TEXT,__text) external _cmark_map_lookup
00000001ff324018 (__TEXT,__text) external _cmark_map_new
00000001ff32c9dc (__TEXT,__text) external _cmark_markdown_to_html
00000001ff324114 (__TEXT,__text) external _cmark_node_append_child
00000001ff322108 (__TEXT,__text) external _cmark_node_can_contain_type
00000001ff33e21c (__TEXT,__text) external _cmark_node_check
00000001ff33d238 (__TEXT,__text) external _cmark_node_first_child
00000001ff324600 (__TEXT,__text) external _cmark_node_free
00000001ff33dbb0 (__TEXT,__text) external _cmark_node_get_attributes
00000001ff33d3a8 (__TEXT,__text) external _cmark_node_get_backtick_count
00000001ff33e054 (__TEXT,__text) external _cmark_node_get_end_column
00000001ff33e048 (__TEXT,__text) external _cmark_node_get_end_line
00000001ff33d6e8 (__TEXT,__text) external _cmark_node_get_fence_info
00000001ff33d854 (__TEXT,__text) external _cmark_node_get_fenced
00000001ff33d528 (__TEXT,__text) external _cmark_node_get_heading_level
00000001ff33d5e4 (__TEXT,__text) external _cmark_node_get_list_delim
00000001ff33d63c (__TEXT,__text) external _cmark_node_get_list_start
00000001ff33d694 (__TEXT,__text) external _cmark_node_get_list_tight
00000001ff33d58c (__TEXT,__text) external _cmark_node_get_list_type
00000001ff33d27c (__TEXT,__text) external _cmark_node_get_literal
00000001ff33dd1c (__TEXT,__text) external _cmark_node_get_on_enter
00000001ff33de98 (__TEXT,__text) external _cmark_node_get_on_exit
00000001ff33e03c (__TEXT,__text) external _cmark_node_get_start_column
00000001ff33e030 (__TEXT,__text) external _cmark_node_get_start_line
00000001ff33d504 (__TEXT,__text) external _cmark_node_get_string_content
00000001ff33e014 (__TEXT,__text) external _cmark_node_get_syntax_extension
00000001ff33da3c (__TEXT,__text) external _cmark_node_get_title
00000001ff323fc0 (__TEXT,__text) external _cmark_node_get_type
00000001ff33d018 (__TEXT,__text) external _cmark_node_get_type_string
00000001ff33d8c8 (__TEXT,__text) external _cmark_node_get_url
00000001ff33d250 (__TEXT,__text) external _cmark_node_get_user_data
00000001ff33e108 (__TEXT,__text) external _cmark_node_insert_after
00000001ff33e08c (__TEXT,__text) external _cmark_node_insert_before
00000001ff33d244 (__TEXT,__text) external _cmark_node_last_child
00000001ff33ce4c (__TEXT,__text) external _cmark_node_new
00000001ff33ce34 (__TEXT,__text) external _cmark_node_new_with_ext
00000001ff33ce44 (__TEXT,__text) external _cmark_node_new_with_mem
00000001ff33cd74 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00000001ff33d214 (__TEXT,__text) external _cmark_node_next
00000001ff33053c (__TEXT,__text) external _cmark_node_own
00000001ff33d22c (__TEXT,__text) external _cmark_node_parent
00000001ff33e1c0 (__TEXT,__text) external _cmark_node_prepend_child
00000001ff33d220 (__TEXT,__text) external _cmark_node_previous
00000001ff33e184 (__TEXT,__text) external _cmark_node_replace
00000001ff33dc50 (__TEXT,__text) external _cmark_node_set_attributes
00000001ff33d788 (__TEXT,__text) external _cmark_node_set_fence_info
00000001ff33d890 (__TEXT,__text) external _cmark_node_set_fenced
00000001ff33d54c (__TEXT,__text) external _cmark_node_set_heading_level
00000001ff33d608 (__TEXT,__text) external _cmark_node_set_list_delim
00000001ff33d660 (__TEXT,__text) external _cmark_node_set_list_start
00000001ff33d6b8 (__TEXT,__text) external _cmark_node_set_list_tight
00000001ff33d5b0 (__TEXT,__text) external _cmark_node_set_list_type
00000001ff33d3b0 (__TEXT,__text) external _cmark_node_set_literal
00000001ff33ddc4 (__TEXT,__text) external _cmark_node_set_on_enter
00000001ff33df40 (__TEXT,__text) external _cmark_node_set_on_exit
00000001ff33d50c (__TEXT,__text) external _cmark_node_set_string_content
00000001ff33e020 (__TEXT,__text) external _cmark_node_set_syntax_extension
00000001ff33dae0 (__TEXT,__text) external _cmark_node_set_title
00000001ff33ce5c (__TEXT,__text) external _cmark_node_set_type
00000001ff33d96c (__TEXT,__text) external _cmark_node_set_url
00000001ff33d25c (__TEXT,__text) external _cmark_node_set_user_data
00000001ff33d26c (__TEXT,__text) external _cmark_node_set_user_data_free_func
00000001ff33e060 (__TEXT,__text) external _cmark_node_unlink
00000001ff33f434 (__TEXT,__text) external _cmark_node_unput
00000001ff33b2ac (__TEXT,__text) external _cmark_parse_document
00000001ff33afe4 (__TEXT,__text) external _cmark_parse_file
00000001ff31eeec (__TEXT,__text) external _cmark_parse_inlines
00000001ff3428f0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00000001ff342a58 (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00000001ff342a80 (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00000001ff342aa8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00000001ff342ad0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00000001ff342af8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00000001ff342b20 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00000001ff342b48 (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00000001ff342b70 (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00000001ff342b98 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00000001ff342bc0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00000001ff342918 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00000001ff342940 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00000001ff342968 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00000001ff342990 (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00000001ff3429b8 (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00000001ff3429e0 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00000001ff342a08 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00000001ff342a30 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00000001ff33ee48 (__TEXT,__text) external _cmark_parse_reference_attributes_inline
00000001ff342e98 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00000001ff342ec0 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00000001ff342ee8 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00000001ff342f10 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00000001ff342f38 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00000001ff33e67c (__TEXT,__text) external _cmark_parse_reference_inline
00000001ff342c14 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00000001ff342c3c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00000001ff342c64 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00000001ff342c8c (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00000001ff342cb4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00000001ff342cdc (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00000001ff342d04 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00000001ff33c5e4 (__TEXT,__text) external _cmark_parser_add_child
00000001ff33c5e8 (__TEXT,__text) external _cmark_parser_advance_offset
00000001ff324054 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00000001ff33af14 (__TEXT,__text) non-external _cmark_parser_dispose
00000001ff33b314 (__TEXT,__text) external _cmark_parser_feed
00000001ff33b31c (__TEXT,__text) external _cmark_parser_feed_reentrant
00000001ff324170 (__TEXT,__text) external _cmark_parser_finish
00000001ff32207c (__TEXT,__text) external _cmark_parser_free
00000001ff33c5ac (__TEXT,__text) external _cmark_parser_get_column
00000001ff33c5b4 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00000001ff33c5bc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00000001ff33c5c4 (__TEXT,__text) external _cmark_parser_get_indent
00000001ff33c5dc (__TEXT,__text) external _cmark_parser_get_last_line_length
00000001ff33c59c (__TEXT,__text) external _cmark_parser_get_line_number
00000001ff33c5a4 (__TEXT,__text) external _cmark_parser_get_offset
00000001ff33c6f8 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00000001ff33c5d4 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00000001ff33c5cc (__TEXT,__text) external _cmark_parser_is_blank
00000001ff31eae4 (__TEXT,__text) external _cmark_parser_new
00000001ff31ea78 (__TEXT,__text) external _cmark_parser_new_with_mem
00000001ff3221dc (__TEXT,__text) non-external _cmark_parser_reset
00000001ff33c6f0 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00000001ff32fdd8 (__TEXT,__text) external _cmark_plugin_free
00000001ff3238d8 (__TEXT,__text) external _cmark_plugin_new
00000001ff32fd9c (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00000001ff32fe34 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00000001ff33ace8 (__TEXT,__text) external _cmark_reference_create
00000001ff3426b4 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00000001ff33ada4 (__TEXT,__text) external _cmark_reference_create_attributes
00000001ff3426e0 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00000001ff33ae54 (__TEXT,__text) external _cmark_reference_map_new
00000001ff323800 (__TEXT,__text) external _cmark_register_plugin
00000001ff32ec0c (__TEXT,__text) external _cmark_release_plugins
00000001ff32ee44 (__TEXT,__text) external _cmark_render
00000001ff32edc4 (__TEXT,__text) external _cmark_render_ascii
00000001ff32ee08 (__TEXT,__text) external _cmark_render_code_point
00000001ff32b5f0 (__TEXT,__text) external _cmark_render_commonmark
00000001ff32b62c (__TEXT,__text) external _cmark_render_commonmark_with_mem
00000001ff32ca20 (__TEXT,__text) external _cmark_render_html
00000001ff32ca28 (__TEXT,__text) external _cmark_render_html_with_mem
00000001ff3424f4 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00000001ff3307a8 (__TEXT,__text) external _cmark_render_latex
00000001ff3307dc (__TEXT,__text) external _cmark_render_latex_with_mem
00000001ff32df5c (__TEXT,__text) external _cmark_render_man
00000001ff32df90 (__TEXT,__text) external _cmark_render_man_with_mem
00000001ff3402b8 (__TEXT,__text) external _cmark_render_plaintext
00000001ff3402f4 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00000001ff33f7d4 (__TEXT,__text) external _cmark_render_xml
00000001ff33f7dc (__TEXT,__text) external _cmark_render_xml_with_mem
00000001ff322410 (__TEXT,__text) external _cmark_set_default_skip_chars
0000000205b9c638 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00000001ff31ea14 (__TEXT,__text) external _cmark_set_default_special_chars
0000000205b9c520 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
0000000205b9c630 (__DATA,__common) external _cmark_strbuf__initbuf
00000001ff33a63c (__TEXT,__text) external _cmark_strbuf_clear
00000001ff33a924 (__TEXT,__text) external _cmark_strbuf_cmp
00000001ff33a85c (__TEXT,__text) external _cmark_strbuf_copy_cstr
00000001ff342688 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00000001ff33a8f0 (__TEXT,__text) external _cmark_strbuf_detach
00000001ff33aa48 (__TEXT,__text) external _cmark_strbuf_drop
00000001ff323fcc (__TEXT,__text) external _cmark_strbuf_free
00000001ff33a5b8 (__TEXT,__text) external _cmark_strbuf_grow
00000001ff342628 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00000001ff342654 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00000001ff322474 (__TEXT,__text) external _cmark_strbuf_init
00000001ff33a634 (__TEXT,__text) external _cmark_strbuf_len
00000001ff33ab94 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00000001ff33a7a0 (__TEXT,__text) external _cmark_strbuf_put
00000001ff33a750 (__TEXT,__text) external _cmark_strbuf_putc
00000001ff33a814 (__TEXT,__text) external _cmark_strbuf_puts
00000001ff33aab0 (__TEXT,__text) external _cmark_strbuf_rtrim
00000001ff33a658 (__TEXT,__text) external _cmark_strbuf_set
00000001ff33a6fc (__TEXT,__text) external _cmark_strbuf_sets
00000001ff33a988 (__TEXT,__text) external _cmark_strbuf_strchr
00000001ff33a9e0 (__TEXT,__text) external _cmark_strbuf_strrchr
00000001ff33a8c4 (__TEXT,__text) external _cmark_strbuf_swap
00000001ff33ab0c (__TEXT,__text) external _cmark_strbuf_trim
00000001ff33aa28 (__TEXT,__text) external _cmark_strbuf_truncate
00000001ff33ac44 (__TEXT,__text) external _cmark_strbuf_unescape
00000001ff32e718 (__TEXT,__text) external _cmark_syntax_extension_add_node
00000001ff34254c (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00000001ff32e640 (__TEXT,__text) external _cmark_syntax_extension_free
00000001ff32e7f4 (__TEXT,__text) external _cmark_syntax_extension_get_private
00000001ff32e6ac (__TEXT,__text) external _cmark_syntax_extension_new
00000001ff32e798 (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00000001ff32e80c (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00000001ff32e7a8 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00000001ff32e7a0 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00000001ff32e760 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00000001ff32e790 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00000001ff32e7d8 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00000001ff32e7d0 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00000001ff32e780 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00000001ff32e7b8 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00000001ff32e7c8 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00000001ff321bdc (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00000001ff32e778 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00000001ff32e7fc (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00000001ff32e804 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00000001ff32e770 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00000001ff32e7b0 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00000001ff32e7e0 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00000001ff32e7e8 (__TEXT,__text) external _cmark_syntax_extension_set_private
00000001ff32e788 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00000001ff32e7c0 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00000001ff324b48 (__TEXT,__text) external _cmark_utf8proc_case_fold
00000001ff3246a4 (__TEXT,__text) external _cmark_utf8proc_check
00000001ff324a10 (__TEXT,__text) external _cmark_utf8proc_encode_char
00000001ff34243c (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00000001ff32ac94 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00000001ff32ac18 (__TEXT,__text) external _cmark_utf8proc_is_space
00000001ff3248c0 (__TEXT,__text) external _cmark_utf8proc_iterate
00000001ff32c99c (__TEXT,__text) external _cmark_version
00000001ff32c9a4 (__TEXT,__text) external _cmark_version_string
00000001ff32dcfc (__TEXT,__text) non-external _commonmark_render
00000001ff32ffd0 (__TEXT,__text) non-external _commonmark_render
00000001ff340b90 (__TEXT,__text) non-external _commonmark_render
00000001ff343030 (__TEXT,__text) non-external _commonmark_render.cold.1
00000001ff340b78 (__TEXT,__text) non-external _contains_inlines
