000000018a97e340 (__TEXT,__const) non-external _KW_ANY
000000018a970a08 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018a970fb4 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018a970a20 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018a970fcc (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018a970460 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018a9711d8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018a970b4c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018a971088 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018a96e198 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018a96e310 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018a970458 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018a970410 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018a970354 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018a9702b0 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018a968af8 (__TEXT,__text) non-external _accountingDiffTolerated
000000018a97d408 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018a96a750 (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018a97d434 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018a96a794 (__TEXT,__text) non-external _accountingReportStats
000000018a96cd44 (__TEXT,__text) non-external _addBinding
000000018a97e12b (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018a97e150 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018a96d05c (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001ef4b9730 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001ef4ba040 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018a9790d8 (__TEXT,__text) non-external _ascii_toUtf8
000000018a96e9b8 (__TEXT,__text) non-external _attlist0
000000018a96f398 (__TEXT,__text) non-external _attlist1
000000018a96f43c (__TEXT,__text) non-external _attlist2
00000001e5f91aa0 (__DATA_CONST,__const) non-external _attlist2.types
000000018a96f6f8 (__TEXT,__text) non-external _attlist3
000000018a96f894 (__TEXT,__text) non-external _attlist4
000000018a96f6a0 (__TEXT,__text) non-external _attlist5
000000018a96f7c4 (__TEXT,__text) non-external _attlist6
000000018a96f824 (__TEXT,__text) non-external _attlist7
000000018a96f55c (__TEXT,__text) non-external _attlist8
000000018a96f764 (__TEXT,__text) non-external _attlist9
000000018a97b3dc (__TEXT,__text) non-external _big2_attributeValueTok
000000018a97af80 (__TEXT,__text) non-external _big2_cdataSectionTok
000000018a97bbec (__TEXT,__text) non-external _big2_charRefNumber
000000018a97cbf4 (__TEXT,__text) non-external _big2_checkPiTarget
000000018a979cc8 (__TEXT,__text) non-external _big2_contentTok
00000001ef4b9390 (__AUTH_CONST,__const) non-external _big2_encoding
00000001ef4b9ca0 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018a97b544 (__TEXT,__text) non-external _big2_entityValueTok
000000018a97b7f0 (__TEXT,__text) non-external _big2_getAtts
000000018a97b214 (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018a97bf14 (__TEXT,__text) non-external _big2_isPublicId
000000018a97b710 (__TEXT,__text) non-external _big2_nameLength
000000018a97b6c4 (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018a97bcc4 (__TEXT,__text) non-external _big2_predefinedEntityName
000000018a979124 (__TEXT,__text) non-external _big2_prologTok
000000018a97ea83 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018a97ca54 (__TEXT,__text) non-external _big2_scanComment
000000018a97c1f4 (__TEXT,__text) non-external _big2_scanLit
000000018a97c79c (__TEXT,__text) non-external _big2_scanPercent
000000018a97c370 (__TEXT,__text) non-external _big2_scanPi
000000018a97cc90 (__TEXT,__text) non-external _big2_scanRef
000000018a97b7ac (__TEXT,__text) non-external _big2_skipS
000000018a97c15c (__TEXT,__text) non-external _big2_toUtf16
000000018a97bfc8 (__TEXT,__text) non-external _big2_toUtf8
000000018a97be18 (__TEXT,__text) non-external _big2_updatePosition
000000018a96d7fc (__TEXT,__text) non-external _build_node
                 (undefined) external _bzero (from libSystem)
000000018a96cb44 (__TEXT,__text) non-external _cdataSectionProcessor
000000018a9706f4 (__TEXT,__text) non-external _checkCharRefNumber
000000018a96efe8 (__TEXT,__text) non-external _condSect0
000000018a96f0cc (__TEXT,__text) non-external _condSect1
000000018a96f13c (__TEXT,__text) non-external _condSect2
000000018a969474 (__TEXT,__text) non-external _contentProcessor
000000018a96dfd4 (__TEXT,__text) non-external _copyEntityTable
000000018a9655e4 (__TEXT,__text) non-external _copyString
000000018a96ee68 (__TEXT,__text) non-external _declClose
000000018a969808 (__TEXT,__text) non-external _defineAttribute
000000018a96c860 (__TEXT,__text) non-external _doCdataSection
000000018a96ab3c (__TEXT,__text) non-external _doContent
000000018a969fec (__TEXT,__text) non-external _doIgnoreSection
000000018a970ba8 (__TEXT,__text) non-external _doParseXmlDecl
000000018a96731c (__TEXT,__text) non-external _doProlog
000000018a97e23a (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018a97e257 (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018a97e250 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018a97e240 (__TEXT,__const) non-external _doProlog.atypeID
000000018a97e243 (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018a97e249 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018a97e260 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018a97e268 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018a97d3dc (__TEXT,__text) non-external _doProlog.cold.1
000000018a97e020 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018a97e022 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018a97e016 (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018a96e450 (__TEXT,__text) non-external _doctype0
000000018a96e4c0 (__TEXT,__text) non-external _doctype1
000000018a96e8e0 (__TEXT,__text) non-external _doctype2
000000018a96e880 (__TEXT,__text) non-external _doctype3
000000018a970230 (__TEXT,__text) non-external _doctype4
000000018a96eae8 (__TEXT,__text) non-external _doctype5
000000018a96ea20 (__TEXT,__text) non-external _element0
000000018a96f904 (__TEXT,__text) non-external _element1
000000018a96fa24 (__TEXT,__text) non-external _element2
000000018a96fbb0 (__TEXT,__text) non-external _element3
000000018a96ff04 (__TEXT,__text) non-external _element4
000000018a96ff6c (__TEXT,__text) non-external _element5
000000018a96fc60 (__TEXT,__text) non-external _element6
000000018a96fd80 (__TEXT,__text) non-external _element7
00000001e5f91b10 (__DATA_CONST,__const) non-external _encodings
00000001e5f91b48 (__DATA_CONST,__const) non-external _encodingsNS
000000018a96e940 (__TEXT,__text) non-external _entity0
000000018a96eb48 (__TEXT,__text) non-external _entity1
000000018a96eedc (__TEXT,__text) non-external _entity10
000000018a96eba8 (__TEXT,__text) non-external _entity2
000000018a96f1fc (__TEXT,__text) non-external _entity3
000000018a96f19c (__TEXT,__text) non-external _entity4
000000018a96f25c (__TEXT,__text) non-external _entity5
000000018a96f330 (__TEXT,__text) non-external _entity6
000000018a96eca8 (__TEXT,__text) non-external _entity7
000000018a96ee08 (__TEXT,__text) non-external _entity8
000000018a96eda8 (__TEXT,__text) non-external _entity9
000000018a96a508 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018a96d758 (__TEXT,__text) non-external _entityTrackingReportStats
000000018a97d460 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018a96dba0 (__TEXT,__text) non-external _entityValueInitProcessor
000000018a96dea0 (__TEXT,__text) non-external _entityValueProcessor
000000018a96c65c (__TEXT,__text) non-external _epilogProcessor
000000018a96e4b8 (__TEXT,__text) non-external _error
000000018a966744 (__TEXT,__text) non-external _errorProcessor
000000018a96cff8 (__TEXT,__text) non-external _externalEntityContentProcessor
000000018a96602c (__TEXT,__text) non-external _externalEntityInitProcessor
000000018a96d974 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018a96da90 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018a9660a8 (__TEXT,__text) non-external _externalParEntInitProcessor
000000018a96dd6c (__TEXT,__text) non-external _externalParEntProcessor
000000018a96e328 (__TEXT,__text) non-external _externalSubset0
000000018a96ef58 (__TEXT,__text) non-external _externalSubset1
000000018a970ec0 (__TEXT,__text) non-external _findEncoding
000000018a9710e4 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018a96c5f8 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018a969568 (__TEXT,__text) non-external _getAttributeId
000000018a9670a4 (__TEXT,__text) non-external _getDebugLevel
000000018a9694d8 (__TEXT,__text) non-external _getElementType
000000018a970a9c (__TEXT,__text) non-external _getEncodingIndex
00000001e5f91ae0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018a96721c (__TEXT,__text) non-external _handleUnknownEncoding
000000018a96a80c (__TEXT,__text) non-external _hash
000000018a96df68 (__TEXT,__text) non-external _hashTableDestroy
000000018a96a190 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018a97e271 (__TEXT,__const) non-external _implicitContext
000000018a978ee8 (__TEXT,__text) non-external _initScan
000000018a970b20 (__TEXT,__text) non-external _initScanContent
000000018a971068 (__TEXT,__text) non-external _initScanContentNS
000000018a970b00 (__TEXT,__text) non-external _initScanProlog
000000018a971048 (__TEXT,__text) non-external _initScanPrologNS
000000018a970b40 (__TEXT,__text) non-external _initUpdatePosition
000000018a96711c (__TEXT,__text) non-external _initializeEncoding
000000018a96d538 (__TEXT,__text) non-external _internalEntityProcessor
000000018a96e5e0 (__TEXT,__text) non-external _internalSubset
00000001ef4b8c50 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001ef4b8ff0 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001ef4b8a80 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001ef4b8e20 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018a974e14 (__TEXT,__text) non-external _isNever
00000001ef4b88b0 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001ef4b9900 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018a973d6c (__TEXT,__text) non-external _latin1_toUtf16
000000018a973cd4 (__TEXT,__text) non-external _latin1_toUtf8
000000018a97725c (__TEXT,__text) non-external _little2_attributeValueTok
000000018a976e00 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018a977a78 (__TEXT,__text) non-external _little2_charRefNumber
000000018a978a7c (__TEXT,__text) non-external _little2_checkPiTarget
000000018a975b78 (__TEXT,__text) non-external _little2_contentTok
00000001ef4b9560 (__AUTH_CONST,__const) non-external _little2_encoding
00000001ef4b9e70 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018a9773c4 (__TEXT,__text) non-external _little2_entityValueTok
000000018a97767c (__TEXT,__text) non-external _little2_getAtts
000000018a977094 (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018a977da0 (__TEXT,__text) non-external _little2_isPublicId
000000018a977590 (__TEXT,__text) non-external _little2_nameLength
000000018a977544 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018a977b50 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018a974ffc (__TEXT,__text) non-external _little2_prologTok
000000018a9788dc (__TEXT,__text) non-external _little2_scanComment
000000018a978078 (__TEXT,__text) non-external _little2_scanLit
000000018a978620 (__TEXT,__text) non-external _little2_scanPercent
000000018a9781f4 (__TEXT,__text) non-external _little2_scanPi
000000018a978b18 (__TEXT,__text) non-external _little2_scanRef
000000018a97762c (__TEXT,__text) non-external _little2_skipS
000000018a977fe8 (__TEXT,__text) non-external _little2_toUtf16
000000018a977e54 (__TEXT,__text) non-external _little2_toUtf8
000000018a977ca4 (__TEXT,__text) non-external _little2_updatePosition
000000018a9690a0 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018a97e950 (__TEXT,__const) non-external _namePages
000000018a97e350 (__TEXT,__const) non-external _namingBitmap
000000018a96a240 (__TEXT,__text) non-external _nextScaffoldPart
000000018a97e850 (__TEXT,__const) non-external _nmstrtPages
000000018a9732d8 (__TEXT,__text) non-external _normal_attributeValueTok
000000018a972e54 (__TEXT,__text) non-external _normal_cdataSectionTok
000000018a973980 (__TEXT,__text) non-external _normal_charRefNumber
000000018a9747bc (__TEXT,__text) non-external _normal_checkPiTarget
000000018a971d64 (__TEXT,__text) non-external _normal_contentTok
000000018a973440 (__TEXT,__text) non-external _normal_entityValueTok
000000018a973668 (__TEXT,__text) non-external _normal_getAtts
000000018a973104 (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018a973c28 (__TEXT,__text) non-external _normal_isPublicId
000000018a9735e0 (__TEXT,__text) non-external _normal_nameLength
000000018a97359c (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018a973a54 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018a9711fc (__TEXT,__text) non-external _normal_prologTok
000000018a974600 (__TEXT,__text) non-external _normal_scanComment
000000018a973dc4 (__TEXT,__text) non-external _normal_scanLit
000000018a974354 (__TEXT,__text) non-external _normal_scanPercent
000000018a973f74 (__TEXT,__text) non-external _normal_scanPi
000000018a974840 (__TEXT,__text) non-external _normal_scanRef
000000018a97362c (__TEXT,__text) non-external _normal_skipS
000000018a973b3c (__TEXT,__text) non-external _normal_updatePosition
000000018a96d918 (__TEXT,__text) non-external _normalizeLines
000000018a9693e4 (__TEXT,__text) non-external _normalizePublicId
000000018a96ea88 (__TEXT,__text) non-external _notation0
000000018a96ffec (__TEXT,__text) non-external _notation1
000000018a97012c (__TEXT,__text) non-external _notation2
000000018a9700c4 (__TEXT,__text) non-external _notation3
000000018a97018c (__TEXT,__text) non-external _notation4
000000018a97d000 (__TEXT,__text) non-external _parsePseudoAttribute
000000018a964e2c (__TEXT,__text) non-external _parserCreate
000000018a96543c (__TEXT,__text) non-external _parserInit
000000018a969784 (__TEXT,__text) non-external _poolAppend
000000018a9662a8 (__TEXT,__text) non-external _poolCopyString
000000018a966178 (__TEXT,__text) non-external _poolDestroy
000000018a969924 (__TEXT,__text) non-external _poolGrow
000000018a969044 (__TEXT,__text) non-external _poolStoreString
000000018a96a348 (__TEXT,__text) non-external _processInternalEntity
000000018a968d2c (__TEXT,__text) non-external _processXmlDecl
000000018a96e1bc (__TEXT,__text) non-external _prolog0
000000018a96e34c (__TEXT,__text) non-external _prolog1
000000018a96e7c8 (__TEXT,__text) non-external _prolog2
000000018a967028 (__TEXT,__text) non-external _prologInitProcessor
000000018a967194 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018a96a688 (__TEXT,__text) non-external _reportComment
000000018a966e64 (__TEXT,__text) non-external _reportDefault
000000018a96a554 (__TEXT,__text) non-external _reportProcessingInstruction
000000018a965b60 (__TEXT,__text) non-external _setContext
000000018a96cc40 (__TEXT,__text) non-external _setElementTypePrefix
000000018a96a9e4 (__TEXT,__text) non-external _sip24_final
000000018a96a8f8 (__TEXT,__text) non-external _sip24_update
000000018a96aaf0 (__TEXT,__text) non-external _sip_round
000000018a9666a0 (__TEXT,__text) non-external _startParsing
000000018a969ad8 (__TEXT,__text) non-external _storeAttributeValue
000000018a96bb98 (__TEXT,__text) non-external _storeAtts
000000018a969b64 (__TEXT,__text) non-external _storeEntityValue
000000018a96bac8 (__TEXT,__text) non-external _storeRawNames
000000018a978e90 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018a966ffc (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018a967008 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018a970808 (__TEXT,__text) non-external _unknown_isInvalid
000000018a970740 (__TEXT,__text) non-external _unknown_isName
000000018a9707a4 (__TEXT,__text) non-external _unknown_isNmstrt
000000018a97093c (__TEXT,__text) non-external _unknown_toUtf16
000000018a97083c (__TEXT,__text) non-external _unknown_toUtf8
000000018a967014 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001ef4b91c0 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001ef4b9ad0 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018a974eb0 (__TEXT,__text) non-external _utf8_isInvalid2
000000018a974ee4 (__TEXT,__text) non-external _utf8_isInvalid3
000000018a974f7c (__TEXT,__text) non-external _utf8_isInvalid4
000000018a974d80 (__TEXT,__text) non-external _utf8_isName2
000000018a974dc4 (__TEXT,__text) non-external _utf8_isName3
000000018a974e1c (__TEXT,__text) non-external _utf8_isNmstrt2
000000018a974e60 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018a974c38 (__TEXT,__text) non-external _utf8_toUtf16
000000018a974b7c (__TEXT,__text) non-external _utf8_toUtf8
