0000000293e69c90 (__DATA,__data) non-external _.compoundliteral
0000000225702210 (__TEXT,__text) non-external (was a private external) _HashTableAdd
000000022570216c (__TEXT,__text) non-external (was a private external) _HashTableFree
000000022570234c (__TEXT,__text) non-external (was a private external) _HashTableGet
0000000225702108 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000002256b5c34 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000002256b6168 (__TEXT,__text) non-external (was a private external) _InitCPP
000000022569e9f4 (__TEXT,__text) non-external (was a private external) _InitReg
00000002256b8d90 (__TEXT,__text) non-external (was a private external) _InitScanner
00000002257040a4 (__TEXT,__text) non-external (was a private external) _InstructionAdd
0000000225704958 (__TEXT,__text) non-external (was a private external) _InstructionFree
000000022570418c (__TEXT,__text) non-external _InstructionInitSourcesTargets
0000000225707388 (__TEXT,__text) non-external _IsBadUsage
000000022569fcf4 (__TEXT,__text) non-external (was a private external) _Load
00000002256b5920 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000002256b5a00 (__TEXT,__text) non-external _LookUpAddStringHash
00000002256bade0 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000002256bae54 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000002256b7d90 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000002256bb72c (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000002256bac48 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000002256baeb0 (__TEXT,__text) non-external (was a private external) _NewTokenStream
000000028f3b48f8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
000000028f3b4598 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
000000028f3b4b18 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
000000028f3b4c58 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
000000028f3b4758 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
000000028f3b4858 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
000000028f3b4d58 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
000000028f3b48c8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000002255f35b8 (__TEXT,__text) external _PPParserAttachLLVMIR
00000002255f3324 (__TEXT,__text) external _PPParserAttachStream
00000002255f3174 (__TEXT,__text) external _PPParserAttachString
00000002255fbdac (__TEXT,__text) external _PPParserBuildErrorString
00000002255f3088 (__TEXT,__text) external _PPParserCreate
00000002255f3d2c (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000002255faaa8 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000002255f324c (__TEXT,__text) external _PPParserFree
00000002255f39e0 (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000002255fcdc4 (__TEXT,__text) external _PPParserGetErrorString
00000002255fcdd4 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000002255f3d80 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000002255fcda0 (__TEXT,__text) external _PPParserGetLimits
00000002255fcdbc (__TEXT,__text) external _PPParserGetOptions
00000002255f3aec (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000002255f3e54 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000002255fcdcc (__TEXT,__text) external _PPParserGetStream
00000002255f2178 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000002255f21c0 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000002255f2290 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000002255f220c (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000002255fbed4 (__TEXT,__text) non-external _PPParserInherit
00000002255f3104 (__TEXT,__text) external _PPParserInit
00000002255fcefc (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000002255f32c8 (__TEXT,__text) non-external _PPParserLabelsFree
00000002255f1d4c (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000002255f1d7c (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000002255f1f14 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000002255f202c (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000002255f1ea0 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000002255f1e58 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000002255f1f90 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000002255fce88 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000002255fae6c (__TEXT,__text) external _PPParserParse
00000002255f4d6c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000002255f8ad8 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000002255f9f0c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000002255fa8c4 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000002255f4764 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000002255f7234 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000002255f7d28 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000002255f460c (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000002255f8c70 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000002255f4858 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000002255f9008 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000002255f8590 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000002255fccd4 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000002255f4ae0 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000002255f8964 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000002255fa610 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000002255f9ff8 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000002255fc03c (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000002255f3f90 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000002255f7e8c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000002255f843c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000002255f56d0 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000002255f7088 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000002255f4980 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000002255f874c (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000002255f93cc (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000002255fc138 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000002255f98c8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000002255f9710 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000002255f54d4 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000002255f9bd8 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000002255fbf20 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000002255f2454 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000002255f3a6c (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000002255f3ca4 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000002255f2efc (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000002255f22d0 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000002255f2e4c (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000002255f2ff8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000002255f3040 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000002255f2f58 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000002255fcda8 (__TEXT,__text) external _PPParserSetLimits
00000002255fcd98 (__TEXT,__text) external _PPParserSetPrefs
00000002255f3108 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000002255f4ef8 (__TEXT,__text) non-external _PPParserValidateName
00000002256fb2d0 (__TEXT,__text) external _PPStreamAddAddressUsage
00000002256fb42c (__TEXT,__text) external _PPStreamAddAttribBinding
00000002256fb984 (__TEXT,__text) external _PPStreamAddConstant
00000002256fb87c (__TEXT,__text) external _PPStreamAddLabel
00000002256fb588 (__TEXT,__text) external _PPStreamAddOperation
00000002256fba84 (__TEXT,__text) external _PPStreamAddOption
00000002256fb4a0 (__TEXT,__text) external _PPStreamAddOutputBinding
00000002256fb344 (__TEXT,__text) external _PPStreamAddParamBinding
00000002256fb3b8 (__TEXT,__text) external _PPStreamAddParamBindingArray
00000002256fba10 (__TEXT,__text) external _PPStreamAddRasterOp
00000002256fb020 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000002256fb090 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000002256fb1e0 (__TEXT,__text) external _PPStreamAddTempUsage
00000002256fb254 (__TEXT,__text) external _PPStreamAddTempUsageArray
00000002256fb514 (__TEXT,__text) external _PPStreamAddTexImage
00000002256fc4c8 (__TEXT,__text) external _PPStreamAttachStream
00000002256fa6f8 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000002256fccc4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000002256fa7e0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000002256fb1b0 (__TEXT,__text) non-external _PPStreamChunkCreate
00000002256fa720 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000002256fa9e4 (__TEXT,__text) external _PPStreamChunkListAddChunk
00000002256fad20 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000002256fad9c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000002256fa89c (__TEXT,__text) external _PPStreamChunkListCreate
00000002256fa8cc (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000002256faa1c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000002256fae10 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000002256fac30 (__TEXT,__text) external _PPStreamChunkListGetStream
00000002256faae0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000002256faa7c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000002256fab34 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000002256fab8c (__TEXT,__text) external _PPStreamChunkListSort
00000002256fcb8c (__TEXT,__text) external _PPStreamCompare
00000002256faf3c (__TEXT,__text) external _PPStreamCreate
00000002256fb104 (__TEXT,__text) external _PPStreamFree
00000002256fbaf4 (__TEXT,__text) external _PPStreamGetStream
00000002256fc498 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000002256fb788 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000002256fb670 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000002256fa70c (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000002256fcd80 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000002256fa6e4 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000002256fb92c (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000002256fd3d8 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000002256fd2bc (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000002255fdfc4 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000002255feb5c (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000002256fc378 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000002256fbe6c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000002255fecfc (__TEXT,__text) external _PPStreamTokenAddTexImages
00000002255fec64 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000002256fc46c (__TEXT,__text) external _PPStreamTokenAlloc
00000002255ff0b4 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000002255ff49c (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000002255ff2e8 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000002255ff3e0 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000002256fc494 (__TEXT,__text) external _PPStreamTokenFree
00000002255fdf84 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000002255fdf20 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000002257269b8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
0000000225726a78 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
0000000225726b48 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
000000028f3b5120 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000002255ff56c (__TEXT,__text) external _PPStreamTokenValidateOptions
000000028f3b5e58 (__DATA_CONST,__const) non-external _PROMOTIONS
0000000225727c2c (__TEXT,__const) non-external _PROMOTIONS_110
0000000225727c30 (__TEXT,__const) non-external _PROMOTIONS_120
0000000225727c68 (__TEXT,__const) non-external _PROMOTIONS_400
0000000225727c40 (__TEXT,__const) non-external _PROMOTIONS_FP64
0000000225705590 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000002257054e8 (__TEXT,__text) non-external (was a private external) _ProgramNew
00000002256bb7ec (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000002256bb184 (__TEXT,__text) non-external (was a private external) _ReadToken
000000022570d1dc (__TEXT,__text) non-external _RecordFunctionCall
00000002256bb00c (__TEXT,__text) non-external (was a private external) _RecordToken
0000000225703fb0 (__TEXT,__text) non-external (was a private external) _RegisterAdd
0000000225703eec (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
0000000225702af0 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
0000000225702a64 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
0000000225704ba0 (__TEXT,__text) non-external (was a private external) _Registerify
0000000225703c80 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
0000000225704d3c (__TEXT,__text) non-external (was a private external) _RegistersFree
0000000225704b40 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000002257027e8 (__TEXT,__text) non-external (was a private external) _RegistersMerge
0000000225702b6c (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
0000000225702bfc (__TEXT,__text) non-external (was a private external) _RegistersReplace
0000000225709a9c (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000002255fce3c (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000002256bb170 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000002256b9f44 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000002256ba158 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000002256b8e40 (__TEXT,__text) non-external (was a private external) _ScanFromString
00000002256ba35c (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
000000022569fc18 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000002256abfec (__TEXT,__text) external _ShAttributeBindingRequest
00000002256abf3c (__TEXT,__text) external _ShCleanup
00000002256ab9a4 (__TEXT,__text) external _ShCompile
00000002256ab5bc (__TEXT,__text) external _ShConstructCompiler
00000002256ab650 (__TEXT,__text) external _ShConstructLinker
00000002256ab718 (__TEXT,__text) external _ShDestruct
00000002256ab99c (__TEXT,__text) external _ShFinalize
00000002256ad0ac (__TEXT,__text) external _ShFragDataBindingRequest
00000002256ac830 (__TEXT,__text) external _ShGetActiveAttrib
00000002256ac4cc (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000002256ac4b4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000002256ac474 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000002256ae104 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000002256ae6d4 (__TEXT,__text) external _ShGetActiveSubroutineName
00000002256ae628 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000002256ae4cc (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000002256adf60 (__TEXT,__text) external _ShGetActiveUniform
00000002256ad80c (__TEXT,__text) external _ShGetActiveUniformBlockName
00000002256ad59c (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000002256ada38 (__TEXT,__text) external _ShGetActiveUniformIndex
00000002256adcb0 (__TEXT,__text) external _ShGetActiveUniformName
00000002256ac9b4 (__TEXT,__text) external _ShGetAttribLocation
00000002256ac730 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000002256ae778 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000002256ae790 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000002256aca64 (__TEXT,__text) external _ShGetContextStateUniforms
00000002256ad250 (__TEXT,__text) external _ShGetFragDataLocation
00000002256abf4c (__TEXT,__text) external _ShGetInfoLog
00000002256ae7a8 (__TEXT,__text) external _ShGetInteger
00000002256acd24 (__TEXT,__text) external _ShGetLinkerPPStream
00000002256ae200 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000002256ae268 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000002256ad45c (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000002256ade78 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000002256ac7ac (__TEXT,__text) external _ShGetMaxAttributeLength
00000002256acfa0 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000002256ac18c (__TEXT,__text) external _ShGetNumActiveAttributes
00000002256ad9b4 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000002256ae1f0 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000002256ae16c (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00000002256ae144 (__TEXT,__text) external _ShGetNumActiveSubroutines
00000002256ad3ac (__TEXT,__text) external _ShGetNumActiveUniformBlocks
00000002256add9c (__TEXT,__text) external _ShGetNumActiveUniforms
00000002256ad09c (__TEXT,__text) external _ShGetNumActiveVaryingsComponents
00000002256ac48c (__TEXT,__text) external _ShGetNumBindableUniformBuffers
00000002256acd04 (__TEXT,__text) external _ShGetPPStreamManager
00000002256acd14 (__TEXT,__text) external _ShGetShaderByteCode
00000002256ae41c (__TEXT,__text) external _ShGetSubroutineIndex
00000002256ae2ec (__TEXT,__text) external _ShGetSubroutineUniformLocation
00000002256ad004 (__TEXT,__text) external _ShGetTransformFeedbackVarying
00000002256ad4e4 (__TEXT,__text) external _ShGetUniformBlockIndex
00000002256ad8c0 (__TEXT,__text) external _ShGetUniformIndex
00000002256aca74 (__TEXT,__text) external _ShGetUniformLocation
00000002256ac7a4 (__TEXT,__text) external _ShGetUniformPartitionInfo
00000002256ab588 (__TEXT,__text) external _ShInitialize
00000002256aeb24 (__TEXT,__text) external _ShInitializeLibrary
00000002256abac8 (__TEXT,__text) external _ShLink
