000000018bb1e348 (__TEXT,__const) non-external _KW_ANY
000000018bb067f4 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018bb0677c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018bb065c4 (__TEXT,__text) external _XML_SetUserData
000000018bb06828 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018bb06e84 (__TEXT,__text) external _XML_StopParser
000000018bb06568 (__TEXT,__text) external _XML_UseForeignDTD
000000018bb0655c (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018bb10c54 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018bb111dc (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018bb10c48 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018bb111d0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018bb10c60 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018bb111e8 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018bb106a4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018bb113f4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018bb10d8c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018bb112a4 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018bb0e474 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018bb0e5b4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018bb1069c (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018bb1064c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018bb10590 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018bb104e4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018bb08e74 (__TEXT,__text) non-external _accountingDiffTolerated
000000018bb1d488 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018bb0aa9c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018bb1d4b4 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018bb0aae0 (__TEXT,__text) non-external _accountingReportStats
000000018bb0d078 (__TEXT,__text) non-external _addBinding
000000018bb1e132 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018bb1e157 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018bb0d380 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001dabaf160 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001dabafa70 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018bb191c8 (__TEXT,__text) non-external _ascii_toUtf8
000000018bb0ec48 (__TEXT,__text) non-external _attlist0
000000018bb0f60c (__TEXT,__text) non-external _attlist1
000000018bb0f6b0 (__TEXT,__text) non-external _attlist2
00000001d2036958 (__DATA_CONST,__const) non-external _attlist2.types
000000018bb0f960 (__TEXT,__text) non-external _attlist3
000000018bb0faf8 (__TEXT,__text) non-external _attlist4
000000018bb0f90c (__TEXT,__text) non-external _attlist5
000000018bb0fa28 (__TEXT,__text) non-external _attlist6
000000018bb0fa88 (__TEXT,__text) non-external _attlist7
000000018bb0f7d0 (__TEXT,__text) non-external _attlist8
000000018bb0f9c8 (__TEXT,__text) non-external _attlist9
000000018bb1b474 (__TEXT,__text) non-external _big2_attributeValueTok
000000018bb1b00c (__TEXT,__text) non-external _big2_cdataSectionTok
000000018bb1bcac (__TEXT,__text) non-external _big2_charRefNumber
000000018bb1cca8 (__TEXT,__text) non-external _big2_checkPiTarget
000000018bb19da4 (__TEXT,__text) non-external _big2_contentTok
00000001dabaedc0 (__AUTH_CONST,__const) non-external _big2_encoding
00000001dabaf6d0 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018bb1b5dc (__TEXT,__text) non-external _big2_entityValueTok
000000018bb1b88c (__TEXT,__text) non-external _big2_getAtts
000000018bb1b2a8 (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018bb1bfdc (__TEXT,__text) non-external _big2_isPublicId
000000018bb1b7a8 (__TEXT,__text) non-external _big2_nameLength
000000018bb1b75c (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018bb1bd8c (__TEXT,__text) non-external _big2_predefinedEntityName
000000018bb19214 (__TEXT,__text) non-external _big2_prologTok
000000018bb1ea8b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018bb1cb10 (__TEXT,__text) non-external _big2_scanComment
000000018bb1c2b8 (__TEXT,__text) non-external _big2_scanLit
000000018bb1c894 (__TEXT,__text) non-external _big2_scanPercent
000000018bb1c430 (__TEXT,__text) non-external _big2_scanPi
000000018bb1cd44 (__TEXT,__text) non-external _big2_scanRef
000000018bb1b848 (__TEXT,__text) non-external _big2_skipS
000000018bb1c224 (__TEXT,__text) non-external _big2_toUtf16
000000018bb1c090 (__TEXT,__text) non-external _big2_toUtf8
000000018bb1bee0 (__TEXT,__text) non-external _big2_updatePosition
000000018bb0dae4 (__TEXT,__text) non-external _build_node
                 (undefined) external _bzero (from libSystem)
000000018bb0ce80 (__TEXT,__text) non-external _cdataSectionProcessor
000000018bb10938 (__TEXT,__text) non-external _checkCharRefNumber
000000018bb0f268 (__TEXT,__text) non-external _condSect0
000000018bb0f340 (__TEXT,__text) non-external _condSect1
000000018bb0f3b0 (__TEXT,__text) non-external _condSect2
000000018bb097d0 (__TEXT,__text) non-external _contentProcessor
000000018bb0e2b8 (__TEXT,__text) non-external _copyEntityTable
000000018bb05938 (__TEXT,__text) non-external _copyString
000000018bb0f0e8 (__TEXT,__text) non-external _declClose
000000018bb09b60 (__TEXT,__text) non-external _defineAttribute
000000018bb0cb9c (__TEXT,__text) non-external _doCdataSection
000000018bb0ae90 (__TEXT,__text) non-external _doContent
000000018bb0a350 (__TEXT,__text) non-external _doIgnoreSection
000000018bb10de8 (__TEXT,__text) non-external _doParseXmlDecl
000000018bb076bc (__TEXT,__text) non-external _doProlog
000000018bb1e242 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018bb1e25f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018bb1e258 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018bb1e248 (__TEXT,__const) non-external _doProlog.atypeID
000000018bb1e24b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018bb1e251 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018bb1e268 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018bb1e270 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018bb1d45c (__TEXT,__text) non-external _doProlog.cold.1
000000018bb1e027 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018bb1e029 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018bb1e01d (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018bb0e6f4 (__TEXT,__text) non-external _doctype0
000000018bb0e760 (__TEXT,__text) non-external _doctype1
000000018bb0eb78 (__TEXT,__text) non-external _doctype2
000000018bb0eb18 (__TEXT,__text) non-external _doctype3
000000018bb10468 (__TEXT,__text) non-external _doctype4
000000018bb0ed68 (__TEXT,__text) non-external _doctype5
000000018bb0ecac (__TEXT,__text) non-external _element0
000000018bb0fb68 (__TEXT,__text) non-external _element1
000000018bb0fc88 (__TEXT,__text) non-external _element2
000000018bb0fdec (__TEXT,__text) non-external _element3
000000018bb10140 (__TEXT,__text) non-external _element4
000000018bb101a4 (__TEXT,__text) non-external _element5
000000018bb0fe9c (__TEXT,__text) non-external _element6
000000018bb0ffbc (__TEXT,__text) non-external _element7
00000001d20369c8 (__DATA_CONST,__const) non-external _encodings
00000001d2036a00 (__DATA_CONST,__const) non-external _encodingsNS
000000018bb0ebd8 (__TEXT,__text) non-external _entity0
000000018bb0edc8 (__TEXT,__text) non-external _entity1
000000018bb0f15c (__TEXT,__text) non-external _entity10
000000018bb0ee28 (__TEXT,__text) non-external _entity2
000000018bb0f470 (__TEXT,__text) non-external _entity3
000000018bb0f410 (__TEXT,__text) non-external _entity4
000000018bb0f4d0 (__TEXT,__text) non-external _entity5
000000018bb0f5a4 (__TEXT,__text) non-external _entity6
000000018bb0ef28 (__TEXT,__text) non-external _entity7
000000018bb0f088 (__TEXT,__text) non-external _entity8
000000018bb0f028 (__TEXT,__text) non-external _entity9
000000018bb0a868 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018bb0da40 (__TEXT,__text) non-external _entityTrackingReportStats
000000018bb1d4e0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018bb0de88 (__TEXT,__text) non-external _entityValueInitProcessor
000000018bb0e184 (__TEXT,__text) non-external _entityValueProcessor
000000018bb0c998 (__TEXT,__text) non-external _epilogProcessor
000000018bb0e758 (__TEXT,__text) non-external _error
000000018bb06acc (__TEXT,__text) non-external _errorProcessor
000000018bb0d31c (__TEXT,__text) non-external _externalEntityContentProcessor
000000018bb063b0 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018bb0dc5c (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018bb0dd78 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018bb0642c (__TEXT,__text) non-external _externalParEntInitProcessor
000000018bb0e04c (__TEXT,__text) non-external _externalParEntProcessor
000000018bb0e5cc (__TEXT,__text) non-external _externalSubset0
000000018bb0f1d8 (__TEXT,__text) non-external _externalSubset1
000000018bb110dc (__TEXT,__text) non-external _findEncoding
000000018bb11300 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018bb0c938 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018bb098c4 (__TEXT,__text) non-external _getAttributeId
000000018bb0742c (__TEXT,__text) non-external _getDebugLevel
000000018bb09834 (__TEXT,__text) non-external _getElementType
000000018bb10cdc (__TEXT,__text) non-external _getEncodingIndex
00000001d2036998 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018bb075b0 (__TEXT,__text) non-external _handleUnknownEncoding
000000018bb0ab58 (__TEXT,__text) non-external _hash
000000018bb0e24c (__TEXT,__text) non-external _hashTableDestroy
000000018bb0a4f4 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018bb1e279 (__TEXT,__const) non-external _implicitContext
000000018bb18fdc (__TEXT,__text) non-external _initScan
000000018bb10d60 (__TEXT,__text) non-external _initScanContent
000000018bb11284 (__TEXT,__text) non-external _initScanContentNS
000000018bb10d40 (__TEXT,__text) non-external _initScanProlog
000000018bb11264 (__TEXT,__text) non-external _initScanPrologNS
000000018bb10d80 (__TEXT,__text) non-external _initUpdatePosition
000000018bb074a4 (__TEXT,__text) non-external _initializeEncoding
000000018bb0d820 (__TEXT,__text) non-external _internalEntityProcessor
000000018bb0e878 (__TEXT,__text) non-external _internalSubset
00000001dabae680 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001dabaea20 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001dabae4b0 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001dabae850 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018bb14f9c (__TEXT,__text) non-external _isNever
00000001dabae2e0 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001dabaf330 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018bb13fdc (__TEXT,__text) non-external _latin1_toUtf16
000000018bb13f44 (__TEXT,__text) non-external _latin1_toUtf8
000000018bb17378 (__TEXT,__text) non-external _little2_attributeValueTok
000000018bb16f10 (__TEXT,__text) non-external _little2_cdataSectionTok
000000018bb17bbc (__TEXT,__text) non-external _little2_charRefNumber
000000018bb18ba8 (__TEXT,__text) non-external _little2_checkPiTarget
000000018bb15d04 (__TEXT,__text) non-external _little2_contentTok
00000001dabaef90 (__AUTH_CONST,__const) non-external _little2_encoding
00000001dabaf8a0 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018bb174e0 (__TEXT,__text) non-external _little2_entityValueTok
000000018bb1779c (__TEXT,__text) non-external _little2_getAtts
000000018bb171ac (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018bb17ee8 (__TEXT,__text) non-external _little2_isPublicId
000000018bb176ac (__TEXT,__text) non-external _little2_nameLength
000000018bb17660 (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018bb17c98 (__TEXT,__text) non-external _little2_predefinedEntityName
000000018bb15174 (__TEXT,__text) non-external _little2_prologTok
000000018bb18a10 (__TEXT,__text) non-external _little2_scanComment
000000018bb181bc (__TEXT,__text) non-external _little2_scanLit
000000018bb18790 (__TEXT,__text) non-external _little2_scanPercent
000000018bb18334 (__TEXT,__text) non-external _little2_scanPi
000000018bb18c44 (__TEXT,__text) non-external _little2_scanRef
000000018bb1774c (__TEXT,__text) non-external _little2_skipS
000000018bb18130 (__TEXT,__text) non-external _little2_toUtf16
000000018bb17f9c (__TEXT,__text) non-external _little2_toUtf8
000000018bb17dec (__TEXT,__text) non-external _little2_updatePosition
000000018bb0941c (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018bb1e958 (__TEXT,__const) non-external _namePages
000000018bb1e358 (__TEXT,__const) non-external _namingBitmap
000000018bb0a5a4 (__TEXT,__text) non-external _nextScaffoldPart
000000018bb1e858 (__TEXT,__const) non-external _nmstrtPages
000000018bb13524 (__TEXT,__text) non-external _normal_attributeValueTok
000000018bb13090 (__TEXT,__text) non-external _normal_cdataSectionTok
000000018bb13be8 (__TEXT,__text) non-external _normal_charRefNumber
000000018bb149b8 (__TEXT,__text) non-external _normal_checkPiTarget
000000018bb11f78 (__TEXT,__text) non-external _normal_contentTok
000000018bb1368c (__TEXT,__text) non-external _normal_entityValueTok
000000018bb138b4 (__TEXT,__text) non-external _normal_getAtts
000000018bb1334c (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018bb13e98 (__TEXT,__text) non-external _normal_isPublicId
000000018bb1382c (__TEXT,__text) non-external _normal_nameLength
000000018bb137e8 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018bb13cc4 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018bb11418 (__TEXT,__text) non-external _normal_prologTok
000000018bb1480c (__TEXT,__text) non-external _normal_scanComment
000000018bb14030 (__TEXT,__text) non-external _normal_scanLit
000000018bb145c4 (__TEXT,__text) non-external _normal_scanPercent
000000018bb141e0 (__TEXT,__text) non-external _normal_scanPi
000000018bb14a3c (__TEXT,__text) non-external _normal_scanRef
000000018bb13878 (__TEXT,__text) non-external _normal_skipS
000000018bb13dac (__TEXT,__text) non-external _normal_updatePosition
000000018bb0dc00 (__TEXT,__text) non-external _normalizeLines
000000018bb09748 (__TEXT,__text) non-external _normalizePublicId
000000018bb0ed10 (__TEXT,__text) non-external _notation0
000000018bb10224 (__TEXT,__text) non-external _notation1
000000018bb10364 (__TEXT,__text) non-external _notation2
000000018bb102fc (__TEXT,__text) non-external _notation3
000000018bb103c4 (__TEXT,__text) non-external _notation4
000000018bb1d080 (__TEXT,__text) non-external _parsePseudoAttribute
000000018bb05184 (__TEXT,__text) non-external _parserCreate
000000018bb05790 (__TEXT,__text) non-external _parserInit
000000018bb09adc (__TEXT,__text) non-external _poolAppend
000000018bb0662c (__TEXT,__text) non-external _poolCopyString
000000018bb064fc (__TEXT,__text) non-external _poolDestroy
000000018bb09c7c (__TEXT,__text) non-external _poolGrow
000000018bb093c0 (__TEXT,__text) non-external _poolStoreString
000000018bb0a6ac (__TEXT,__text) non-external _processInternalEntity
000000018bb090a4 (__TEXT,__text) non-external _processXmlDecl
000000018bb0e498 (__TEXT,__text) non-external _prolog0
000000018bb0e5f0 (__TEXT,__text) non-external _prolog1
000000018bb0ea60 (__TEXT,__text) non-external _prolog2
000000018bb073b0 (__TEXT,__text) non-external _prologInitProcessor
000000018bb07528 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018bb0a9e4 (__TEXT,__text) non-external _reportComment
000000018bb071ec (__TEXT,__text) non-external _reportDefault
000000018bb0a8b4 (__TEXT,__text) non-external _reportProcessingInstruction
000000018bb05ee0 (__TEXT,__text) non-external _setContext
000000018bb0cf7c (__TEXT,__text) non-external _setElementTypePrefix
000000018bb0ad38 (__TEXT,__text) non-external _sip24_final
000000018bb0ac48 (__TEXT,__text) non-external _sip24_update
000000018bb0ae44 (__TEXT,__text) non-external _sip_round
000000018bb06a24 (__TEXT,__text) non-external _startParsing
000000018bb09e38 (__TEXT,__text) non-external _storeAttributeValue
000000018bb0bf10 (__TEXT,__text) non-external _storeAtts
000000018bb09ec8 (__TEXT,__text) non-external _storeEntityValue
000000018bb0be40 (__TEXT,__text) non-external _storeRawNames
000000018bb18f84 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018bb07384 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018bb07390 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018bb10a4c (__TEXT,__text) non-external _unknown_isInvalid
000000018bb10984 (__TEXT,__text) non-external _unknown_isName
000000018bb109e8 (__TEXT,__text) non-external _unknown_isNmstrt
000000018bb10b80 (__TEXT,__text) non-external _unknown_toUtf16
000000018bb10a80 (__TEXT,__text) non-external _unknown_toUtf8
000000018bb0739c (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001dabaebf0 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001dabaf500 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018bb15038 (__TEXT,__text) non-external _utf8_isInvalid2
000000018bb1506c (__TEXT,__text) non-external _utf8_isInvalid3
000000018bb150f8 (__TEXT,__text) non-external _utf8_isInvalid4
000000018bb14f08 (__TEXT,__text) non-external _utf8_isName2
000000018bb14f4c (__TEXT,__text) non-external _utf8_isName3
000000018bb14fa4 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018bb14fe8 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018bb14dc0 (__TEXT,__text) non-external _utf8_toUtf16
000000018bb14d10 (__TEXT,__text) non-external _utf8_toUtf8
