000000020c795b4c (__TEXT,__text) non-external _Done_iODBC
000000020c789ecc (__TEXT,__text) external _SQLColumnPrivilegesA
000000020c78a0b0 (__TEXT,__text) external _SQLColumnPrivilegesW
000000020c789a54 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000020c78a528 (__TEXT,__text) external _SQLColumns
000000020c78a70c (__TEXT,__text) external _SQLColumnsA
000000020c78a8f0 (__TEXT,__text) external _SQLColumnsW
000000020c78a294 (__TEXT,__text) non-external _SQLColumns_Internal
000000020c78e1bc (__TEXT,__text) external _SQLConnect
000000020c78e948 (__TEXT,__text) external _SQLConnectA
000000020c78eaa8 (__TEXT,__text) external _SQLConnectW
000000020c78e31c (__TEXT,__text) non-external _SQLConnect_Internal
000000020c7b447c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000020c7a42dc (__TEXT,__text) external _SQLCopyDesc
000000020c79a008 (__TEXT,__text) external _SQLDataSources
000000020c79a150 (__TEXT,__text) external _SQLDataSourcesA
000000020c79a298 (__TEXT,__text) external _SQLDataSourcesW
000000020c799bac (__TEXT,__text) non-external _SQLDataSources_Internal
000000021b0d3e18 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000021b0d3e38 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000021b0d3e40 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000020c79e6d4 (__TEXT,__text) external _SQLDescribeCol
000000020c79e8c8 (__TEXT,__text) external _SQLDescribeColA
000000020c79eabc (__TEXT,__text) external _SQLDescribeColW
000000020c79e420 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000020c792e88 (__TEXT,__text) external _SQLDescribeParam
000000020c791168 (__TEXT,__text) external _SQLDisconnect
000000020c7903f8 (__TEXT,__text) external _SQLDriverConnect
000000020c790574 (__TEXT,__text) external _SQLDriverConnectA
000000020c7906f0 (__TEXT,__text) external _SQLDriverConnectW
000000020c78ec08 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000020c7b44a8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000020c7b44d4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000020c79a89c (__TEXT,__text) external _SQLDrivers
000000020c79a9e4 (__TEXT,__text) external _SQLDriversA
000000020c79ab2c (__TEXT,__text) external _SQLDriversW
000000020c79a4b8 (__TEXT,__text) non-external _SQLDrivers_Internal
000000021b0d3e1c (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000021b0d3e48 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000021b0d3e50 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000020c7a5018 (__TEXT,__text) external _SQLEndTran
000000020c7962cc (__TEXT,__text) external _SQLError
000000020c7963f4 (__TEXT,__text) external _SQLErrorA
000000020c79651c (__TEXT,__text) external _SQLErrorW
000000020c792390 (__TEXT,__text) external _SQLExecDirect
000000020c7924e0 (__TEXT,__text) external _SQLExecDirectA
000000020c792630 (__TEXT,__text) external _SQLExecDirectW
000000020c792134 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000020c791e6c (__TEXT,__text) external _SQLExecute
000000020c793578 (__TEXT,__text) external _SQLExtendedFetch
000000020c7932c0 (__TEXT,__text) external _SQLFetch
000000020c7a52c8 (__TEXT,__text) external _SQLFetchScroll
000000020c793104 (__TEXT,__text) non-external _SQLFetch_Internal
000000020c78ae28 (__TEXT,__text) external _SQLForeignKeys
000000020c78b0e4 (__TEXT,__text) external _SQLForeignKeysA
000000020c78b3a0 (__TEXT,__text) external _SQLForeignKeysW
000000020c78aad4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000020c79423c (__TEXT,__text) external _SQLFreeConnect
000000020c79418c (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000020c795aa0 (__TEXT,__text) external _SQLFreeEnv
000000020c795a14 (__TEXT,__text) non-external _SQLFreeEnv_Internal
000000020c79fb14 (__TEXT,__text) external _SQLFreeHandle
000000020c798a08 (__TEXT,__text) external _SQLFreeStmt
000000020c798800 (__TEXT,__text) non-external _SQLFreeStmt_Internal
000000020c7b107c (__TEXT,__text) non-external _SQLGetConfigMode
000000020c7a2438 (__TEXT,__text) external _SQLGetConnectAttr
000000020c7a28e8 (__TEXT,__text) external _SQLGetConnectAttrA
000000020c7a2a3c (__TEXT,__text) external _SQLGetConnectAttrW
000000020c7a258c (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
000000020c795050 (__TEXT,__text) external _SQLGetConnectOption
000000020c79517c (__TEXT,__text) external _SQLGetConnectOptionA
000000020c7952a8 (__TEXT,__text) external _SQLGetConnectOptionW
000000020c79daf0 (__TEXT,__text) external _SQLGetCursorName
000000020c79dc58 (__TEXT,__text) external _SQLGetCursorNameA
000000020c79ddc0 (__TEXT,__text) external _SQLGetCursorNameW
000000020c79d8fc (__TEXT,__text) non-external _SQLGetCursorName_Internal
000000020c7936fc (__TEXT,__text) external _SQLGetData
000000020c7a2dfc (__TEXT,__text) external _SQLGetDescField
000000020c7a2f70 (__TEXT,__text) external _SQLGetDescFieldA
000000020c7a30e4 (__TEXT,__text) external _SQLGetDescFieldW
000000020c7a2b90 (__TEXT,__text) non-external _SQLGetDescField_Internal
000000020c7a3a00 (__TEXT,__text) external _SQLGetDescRec
000000020c7a3c34 (__TEXT,__text) external _SQLGetDescRecA
000000020c7a3e68 (__TEXT,__text) external _SQLGetDescRecW
000000020c7a3808 (__TEXT,__text) non-external _SQLGetDescRec_Internal
000000020c797de0 (__TEXT,__text) external _SQLGetDiagField
000000020c797eec (__TEXT,__text) external _SQLGetDiagFieldA
000000020c797ff8 (__TEXT,__text) external _SQLGetDiagFieldW
000000020c796f84 (__TEXT,__text) non-external _SQLGetDiagField_Internal
000000020c796c24 (__TEXT,__text) external _SQLGetDiagRec
000000020c796d44 (__TEXT,__text) external _SQLGetDiagRecA
000000020c796e64 (__TEXT,__text) external _SQLGetDiagRecW
000000020c796644 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
000000020c7a0254 (__TEXT,__text) external _SQLGetEnvAttr
000000020c79b74c (__TEXT,__text) external _SQLGetFunctions
000000020c79b350 (__TEXT,__text) external _SQLGetInfo
000000020c79b4a4 (__TEXT,__text) external _SQLGetInfoA
000000020c79b5f8 (__TEXT,__text) external _SQLGetInfoW
000000020c79ad4c (__TEXT,__text) non-external _SQLGetInfo_Internal
000000020c7b3ef0 (__TEXT,__text) non-external _SQLGetKeywordValue
000000020c7b3f3c (__TEXT,__text) non-external _SQLGetKeywordValueW
000000020c7b3a34 (__TEXT,__text) non-external _SQLGetPrivateProfileString
000000020c7b3c34 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
000000020c7a0acc (__TEXT,__text) external _SQLGetStmtAttr
000000020c7a0c44 (__TEXT,__text) external _SQLGetStmtAttrA
000000020c7a0dbc (__TEXT,__text) external _SQLGetStmtAttrW
000000020c7a0438 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
000000020c799250 (__TEXT,__text) external _SQLGetStmtOption
000000020c79939c (__TEXT,__text) external _SQLGetStmtOptionA
000000020c799070 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
000000020c787ce8 (__TEXT,__text) external _SQLGetTypeInfo
000000020c787e28 (__TEXT,__text) external _SQLGetTypeInfoA
000000020c787f68 (__TEXT,__text) external _SQLGetTypeInfoW
000000020c787b28 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
000000020c793a74 (__TEXT,__text) external _SQLMoreResults
000000020c791564 (__TEXT,__text) external _SQLNativeSql
000000020c7916d0 (__TEXT,__text) external _SQLNativeSqlA
000000020c79183c (__TEXT,__text) external _SQLNativeSqlW
000000020c7912f0 (__TEXT,__text) non-external _SQLNativeSql_Internal
000000020c792c80 (__TEXT,__text) external _SQLNumParams
000000020c79e20c (__TEXT,__text) external _SQLNumResultCols
000000020c7929f8 (__TEXT,__text) external _SQLParamData
000000020c79ce54 (__TEXT,__text) external _SQLParamOptions
000000020c79c0c0 (__TEXT,__text) external _SQLPrepare
000000020c79c210 (__TEXT,__text) external _SQLPrepareA
000000020c79c360 (__TEXT,__text) external _SQLPrepareW
000000020c79beac (__TEXT,__text) non-external _SQLPrepare_Internal
000000020c78b88c (__TEXT,__text) external _SQLPrimaryKeys
000000020c78ba34 (__TEXT,__text) external _SQLPrimaryKeysA
000000020c78bbdc (__TEXT,__text) external _SQLPrimaryKeysW
000000020c78b65c (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
000000020c78c018 (__TEXT,__text) external _SQLProcedureColumns
000000020c78c1fc (__TEXT,__text) external _SQLProcedureColumnsA
000000020c78c3e0 (__TEXT,__text) external _SQLProcedureColumnsW
000000020c78bd84 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
000000020c78c7f4 (__TEXT,__text) external _SQLProcedures
000000020c78c99c (__TEXT,__text) external _SQLProceduresA
000000020c78cb44 (__TEXT,__text) external _SQLProceduresW
000000020c78c5c4 (__TEXT,__text) non-external _SQLProcedures_Internal
000000020c792780 (__TEXT,__text) external _SQLPutData
000000020c7b0770 (__TEXT,__text) non-external _SQLReadFileDSN
000000020c7b08f8 (__TEXT,__text) non-external _SQLReadFileDSNW
000000020c79df28 (__TEXT,__text) external _SQLRowCount
000000020c7b3f88 (__TEXT,__text) non-external _SQLSetConfigMode
000000020c7a1e44 (__TEXT,__text) external _SQLSetConnectAttr
000000020c7a21b0 (__TEXT,__text) external _SQLSetConnectAttrA
000000020c7a22f4 (__TEXT,__text) external _SQLSetConnectAttrW
000000020c7a1f88 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
000000020c7948dc (__TEXT,__text) external _SQLSetConnectOption
000000020c794a08 (__TEXT,__text) external _SQLSetConnectOptionA
000000020c794b34 (__TEXT,__text) external _SQLSetConnectOptionW
000000020c79c664 (__TEXT,__text) external _SQLSetCursorName
000000020c79c7b4 (__TEXT,__text) external _SQLSetCursorNameA
000000020c79c904 (__TEXT,__text) external _SQLSetCursorNameW
000000020c79c4b0 (__TEXT,__text) non-external _SQLSetCursorName_Internal
000000020c7a33f4 (__TEXT,__text) external _SQLSetDescField
000000020c7a3550 (__TEXT,__text) external _SQLSetDescFieldA
000000020c7a36ac (__TEXT,__text) external _SQLSetDescFieldW
000000020c7a3258 (__TEXT,__text) non-external _SQLSetDescField_Internal
000000020c7a409c (__TEXT,__text) external _SQLSetDescRec
000000020c7a0040 (__TEXT,__text) external _SQLSetEnvAttr
000000020c7a0160 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
000000020c7b4438 (__TEXT,__text) non-external _SQLSetKeywordValue
000000020c7b4444 (__TEXT,__text) non-external _SQLSetKeywordValueW
000000020c79d568 (__TEXT,__text) external _SQLSetParam
000000020c793e74 (__TEXT,__text) external _SQLSetPos
000000020c79d104 (__TEXT,__text) external _SQLSetScrollOptions
000000020c7a1a0c (__TEXT,__text) external _SQLSetStmtAttr
000000020c7a1b74 (__TEXT,__text) external _SQLSetStmtAttrA
000000020c7a1cdc (__TEXT,__text) external _SQLSetStmtAttrW
000000020c7a0f34 (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
000000020c798b54 (__TEXT,__text) external _SQLSetStmtOption
000000020c798f24 (__TEXT,__text) external _SQLSetStmtOptionA
000000020c798ca0 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
000000020c788338 (__TEXT,__text) external _SQLSpecialColumns
000000020c788578 (__TEXT,__text) external _SQLSpecialColumnsA
000000020c7887b8 (__TEXT,__text) external _SQLSpecialColumnsW
000000020c7880a8 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
000000020c788c68 (__TEXT,__text) external _SQLStatistics
000000020c788e4c (__TEXT,__text) external _SQLStatisticsA
000000020c789030 (__TEXT,__text) external _SQLStatisticsW
000000020c7889f8 (__TEXT,__text) non-external _SQLStatistics_Internal
000000020c78cf1c (__TEXT,__text) external _SQLTablePrivileges
000000020c78d0c4 (__TEXT,__text) external _SQLTablePrivilegesA
000000020c78d26c (__TEXT,__text) external _SQLTablePrivilegesW
000000020c78ccec (__TEXT,__text) non-external _SQLTablePrivileges_Internal
000000020c7894a8 (__TEXT,__text) external _SQLTables
000000020c78968c (__TEXT,__text) external _SQLTablesA
000000020c789870 (__TEXT,__text) external _SQLTablesW
000000020c789214 (__TEXT,__text) non-external _SQLTables_Internal
000000020c7956e0 (__TEXT,__text) external _SQLTransact
000000020c7953d4 (__TEXT,__text) non-external _SQLTransact_Internal
000000020c7b1188 (__TEXT,__text) non-external _SQLValidDSN
000000020c7b1210 (__TEXT,__text) non-external _SQLValidDSNW
000000020c7b0534 (__TEXT,__text) non-external _SQLWriteFileDSN
000000020c7b05f0 (__TEXT,__text) non-external _SQLWriteFileDSNW
000000020c7b4120 (__TEXT,__text) non-external _SQLWritePrivateProfileString
000000020c7b42b8 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
000000020c799f9c (__TEXT,__text) non-external _SectSorter
000000020c7b10d0 (__TEXT,__text) non-external _ValidDSN
000000020c7b1130 (__TEXT,__text) non-external _ValidDSNW
000000020c7b3fe8 (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000020c79ff00 (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
000000020c7b2364 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000021b0d3e88 (__DATA,__common) non-external __iodbc_env_counter
000000020c7b0ab0 (__TEXT,__text) non-external __iodbcadm_getinifile
000000020c79997c (__TEXT,__text) non-external __iodbcdm_BindColumn
000000020c799a7c (__TEXT,__text) non-external __iodbcdm_ConvBindData
000000020c7933f4 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
000000020c7987ac (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
000000020c794c60 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
000000020c79e0e4 (__TEXT,__text) non-external __iodbcdm_NumResultCols
000000020c7989cc (__TEXT,__text) non-external __iodbcdm_RemoveBind
000000020c794324 (__TEXT,__text) non-external __iodbcdm_SetConnectOption
000000020c78d660 (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
000000020c793d10 (__TEXT,__text) non-external __iodbcdm_SetPos
000000020c799a14 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
000000020c7996f8 (__TEXT,__text) non-external __iodbcdm_alloc_param
000000021b0d3e90 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
000000020c799b44 (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
000000020c787c10 (__TEXT,__text) non-external __iodbcdm_cata_state_ok
000000020c787c84 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
000000020c7b2a28 (__TEXT,__text) non-external __iodbcdm_cfg_commit
000000020c7b1cb8 (__TEXT,__text) non-external __iodbcdm_cfg_done
000000020c7b2508 (__TEXT,__text) non-external __iodbcdm_cfg_find
000000020c7b2194 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
000000020c7b1c0c (__TEXT,__text) non-external __iodbcdm_cfg_init
000000020c79bc68 (__TEXT,__text) non-external __iodbcdm_cfg_init_str
000000020c7b2ca8 (__TEXT,__text) non-external __iodbcdm_cfg_next_section
000000020c7b243c (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
000000020c79bcec (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
000000020c79bb38 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
000000020c7b1cfc (__TEXT,__text) non-external __iodbcdm_cfg_refresh
000000020c7b2410 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
000000020c7900a8 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
000000020c7b2cf0 (__TEXT,__text) non-external __iodbcdm_cfg_search_init
000000020c7b2274 (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
000000020c79bd64 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
000000020c7b25fc (__TEXT,__text) non-external __iodbcdm_cfg_write
000000020c7b0d04 (__TEXT,__text) non-external __iodbcdm_check_for_string
000000020c78fe48 (__TEXT,__text) non-external __iodbcdm_con_settracing
000000020c79979c (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
000000020c79988c (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
000000020c78ff6c (__TEXT,__text) non-external __iodbcdm_dbcdelayset
000000020c791d54 (__TEXT,__text) non-external __iodbcdm_dllclose
000000020c791dc4 (__TEXT,__text) non-external __iodbcdm_dllerror
000000020c791c9c (__TEXT,__text) non-external __iodbcdm_dllopen
000000020c791c98 (__TEXT,__text) non-external __iodbcdm_dllproc
000000020c791df8 (__TEXT,__text) non-external __iodbcdm_do_cursoropen
000000020c78d8cc (__TEXT,__text) non-external __iodbcdm_driverload
000000020c78df24 (__TEXT,__text) non-external __iodbcdm_driverunload
000000020c7986ac (__TEXT,__text) non-external __iodbcdm_dropstmt
000000020c794860 (__TEXT,__text) non-external __iodbcdm_drvopt_store
000000020c78d480 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
000000020c795b50 (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
000000020c791b4c (__TEXT,__text) non-external __iodbcdm_getInfo_init
000000020c7b0ddc (__TEXT,__text) non-external __iodbcdm_getdsnfile
000000020c791c38 (__TEXT,__text) non-external __iodbcdm_getproc
000000021b0d3e30 (__DATA,__bss) non-external __iodbcdm_initialized
000000020c7b2f08 (__TEXT,__text) non-external __iodbcdm_list_entries
000000020c7b2e3c (__TEXT,__text) non-external __iodbcdm_list_sections
000000020c79e3b4 (__TEXT,__text) non-external __iodbcdm_map_c_type
000000020c79e348 (__TEXT,__text) non-external __iodbcdm_map_sql_type
000000020c7919a8 (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
000000020c78d414 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
000000020c7b4450 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
000000020c78fc0c (__TEXT,__text) non-external __iodbcdm_pool_get_conn
000000020c7902e8 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
000000020c78d54c (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
000000020c79022c (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
000000020c795b80 (__TEXT,__text) non-external __iodbcdm_pushsqlerr
000000020c7b0d68 (__TEXT,__text) non-external __iodbcdm_remove_quotes
000000020c791dc8 (__TEXT,__text) non-external __iodbcdm_safe_unload
000000020c795bf8 (__TEXT,__text) non-external __iodbcdm_sqlerror
000000020c7b0fe0 (__TEXT,__text) non-external __iodbcdm_strlcat
000000020c7b0f84 (__TEXT,__text) non-external __iodbcdm_strlcpy
000000020c7954d4 (__TEXT,__text) non-external __iodbcdm_transact
0000000217bd6728 (__DATA_CONST,__const) non-external __mask_CONVERT
0000000217bd7300 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
0000000217bd73a8 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
0000000217bd67e8 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
0000000217bd6878 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
0000000217bd6eb0 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
0000000217bd6ee8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
0000000217bd6be8 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
0000000217bd6f38 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
0000000217bd6f50 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
0000000217bd6f70 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
0000000217bd6c90 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
0000000217bd6f98 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
0000000217bd6fb0 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
0000000217bd6700 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
0000000217bd6710 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
0000000217bd6bc0 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
0000000217bd6fe0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
0000000217bd7028 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
0000000217bd7048 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
0000000217bd7058 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
0000000217bd70a8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
0000000217bd70c8 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
0000000217bd7140 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
0000000217bd7150 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
0000000217bd7178 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
0000000217bd7190 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
0000000217bd7210 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
0000000217bd7240 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
0000000217bd7250 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
0000000217bd7260 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
0000000217bd7270 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
0000000217bd7290 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
0000000217bd72b0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
0000000217bd72d0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
0000000217bd72e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
0000000217bd7228 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
0000000217bd6830 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
0000000217bd6d18 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
0000000217bd6cd0 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
0000000217bd6cf8 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
0000000217bd7438 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
0000000217bd7450 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
0000000217bd7510 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
0000000217bd6d30 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
0000000217bd6bd8 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
0000000217bd6d50 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
0000000217bd68a0 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
0000000217bd6968 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
0000000217bd7530 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
0000000217bd6980 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
0000000217bd6990 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
0000000217bd6d68 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
0000000217bd7550 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
0000000217bd7568 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
0000000217bd6dd8 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
0000000217bd6da8 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
0000000217bd7588 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
0000000217bd69a8 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
0000000217bd69d0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
0000000217bd75e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
0000000217bd7600 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
0000000217bd7628 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
0000000217bd7650 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
0000000217bd76c0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
0000000217bd76f8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
0000000217bd7770 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
0000000217bd77c8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
0000000217bd7848 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
