00000001d0fdc100 (__TEXT,__text) non-external +[NFPromise new]
00000001d0fda0cc (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001d0fda2e0 (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001d0fd9eac (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001d0fd9970 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001d0fd9e9c (__TEXT,__text) non-external -[NFEventManager events]
00000001d0fd92d4 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001d0fe14b8 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001d0fd9cd8 (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001d0fd9ad0 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001d0fd9250 (__TEXT,__text) non-external -[NFEventManager init]
00000001d0fd94c0 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001d0fe1630 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001d0fd981c (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001d0fe1864 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001d0fd9760 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001d0fe17a8 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001d0fd9370 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001d0fe1574 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001d0fd9610 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001d0fe16ec (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001d0fd9ea4 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001d0fda008 (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001d0fd9ff0 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001d0fd9fe8 (__TEXT,__text) non-external -[NFEventTrigger events]
00000001d0fda000 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001d0fd9ff8 (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001d0fd9ef0 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001d0fd9fe0 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001d0fdb8d8 (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001d0fdb8c8 (__TEXT,__text) non-external -[NFLazy constructor]
00000001d0fdb6fc (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001d0fdb8d0 (__TEXT,__text) non-external -[NFLazy lock]
00000001d0fdb854 (__TEXT,__text) non-external -[NFLazy reset]
00000001d0fdb79c (__TEXT,__text) non-external -[NFLazy value]
00000001d0fe0fd0 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001d0fe08b0 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001d0fe0fac (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001d0fe0a88 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001d0fe0fb4 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001d0fe08ac (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001d0fe0e3c (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001d0fe07b0 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001d0fe07b8 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:options:]
00000001d0fe0fbc (__TEXT,__text) non-external -[NFMultiDelegate lock]
00000001d0fe0c94 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001d0fe0938 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001d0fe09c0 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001d0fe0b1c (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001d0fe0fc4 (__TEXT,__text) non-external -[NFMultiDelegate setLock:]
00000001d0fdf15c (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001d0fdf0bc (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001d0fdf0b4 (__TEXT,__text) non-external -[NFMutexLock init]
00000001d0fdf20c (__TEXT,__text) non-external -[NFMutexLock lock]
00000001d0fdf1a8 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001d0fdf214 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001d0fd9200 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001d0fd905c (__TEXT,__text) non-external -[NFPendingPromise init]
00000001d0fd91cc (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001d0fd91f0 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001d0fd91e0 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001d0fd91d4 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001d0fd91f8 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001d0fd91e8 (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001d0fdd628 (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001d0fdc220 (__TEXT,__text) non-external -[NFPromise always:]
00000001d0fdc8b8 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001d0fdc1b4 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001d0fdd4a8 (__TEXT,__text) non-external -[NFPromise delayOn]
00000001d0fdd38c (__TEXT,__text) non-external -[NFPromise delay]
00000001d0fdc210 (__TEXT,__text) non-external -[NFPromise error:]
00000001d0fdc82c (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001d0fdcde4 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001d0fdcce4 (__TEXT,__text) non-external -[NFPromise error]
00000001d0fdc12c (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001d0fdbe6c (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001d0fdc078 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001d0fdbd18 (__TEXT,__text) non-external -[NFPromise init]
00000001d0fdcb90 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001d0fdca4c (__TEXT,__text) non-external -[NFPromise pipe]
00000001d0fdd140 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001d0fdce70 (__TEXT,__text) non-external -[NFPromise resolve]
00000001d0fdd614 (__TEXT,__text) non-external -[NFPromise seal]
00000001d0fdd61c (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001d0fdc200 (__TEXT,__text) non-external -[NFPromise then:]
00000001d0fdc230 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001d0fdc9c0 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001d0fdc938 (__TEXT,__text) non-external -[NFPromise then]
00000001d0fdf678 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001d0fdf6ec (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001d0fdea24 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001d0fde4d8 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001d0fde0fc (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001d0fe1b78 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001d0fe1c40 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001d0fde9e4 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001d0fdea08 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001d0fde078 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001d0fddff4 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001d0fddf6c (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001d0fdea1c (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001d0fde640 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001d0fde1dc (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001d0fde1d0 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001d0fde1ec (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001d0fde784 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001d0fe1d08 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001d0fde9ec (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001d0fdea10 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001d0fdea00 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001d0fde9d8 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001d0fde9f8 (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001d0fde9d0 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001d0fdf064 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001d0fdee94 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001d0fded8c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001d0fdf050 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001d0fdf018 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001d0fded40 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001d0fdeb88 (__TEXT,__text) non-external -[NFReachability init]
00000001d0fdf03c (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001d0fdf028 (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001d0fdf058 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001d0fdf020 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001d0fdf044 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001d0fdf030 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001d0fdb5f0 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001d0fda868 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001d0fda7f8 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001d0fdaaa0 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001d0fe19e8 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001d0fda994 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001d0fe1920 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001d0fda938 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001d0fda8c4 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001d0fda70c (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001d0fda670 (__TEXT,__text) non-external -[NFStateMachine description]
00000001d0fdb5b8 (__TEXT,__text) non-external -[NFStateMachine events]
00000001d0fdabac (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001d0fda538 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001d0fdb5cc (__TEXT,__text) non-external -[NFStateMachine lock]
00000001d0fdb56c (__TEXT,__text) non-external -[NFStateMachine owner]
00000001d0fdb5c0 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001d0fdb5d4 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001d0fdb598 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001d0fdb560 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001d0fdb5ac (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001d0fdb550 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001d0fdb5e8 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001d0fdb558 (__TEXT,__text) non-external -[NFStateMachine state]
00000001d0fdb5a4 (__TEXT,__text) non-external -[NFStateMachine states]
00000001d0fdb5e0 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001d0fdb548 (__TEXT,__text) non-external -[NFStateMachine status]
00000001d0fdf61c (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001d0fdf408 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001d0fdf5f8 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001d0fdf60c (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001d0fdf4f8 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001d0fdf2f0 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001d0fdf21c (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001d0fdf330 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001d0fdf5d4 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001d0fdf4d0 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001d0fdf600 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001d0fdf614 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001d0fdf5dc (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001d0fdf5ec (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001d0fdf5e4 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001d0fe037c (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001d0fe032c (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001d0fe01d0 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001d0fe036c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001d0fe035c (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001d0fe00b8 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001d0fe003c (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001d0fe00f8 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001d0fe031c (__TEXT,__text) non-external -[NFStateMachineState name]
00000001d0fe0254 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001d0fe02f4 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001d0fe02a4 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001d0fe02cc (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001d0fe027c (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001d0fe0334 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001d0fe0374 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001d0fe0364 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001d0fe0324 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001d0fe0354 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001d0fe0344 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001d0fe034c (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001d0fe033c (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001d0fe03f0 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001d0fe06d4 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001d0fe05f8 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001d0fe054c (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001d0fe04a0 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001d0fd8ff4 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001d0fd8fe0 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001d0fd8ea8 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001d0fd8fa4 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001d0fd8fb8 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001d0fd8d84 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001d0fd8fe8 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001d0fd8fac (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001d0fd8fc0 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001d0fd8f98 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001d0fd8fd4 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001d0fd8f90 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001d0fd8fcc (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001d0fd8d74 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001d0fd8d7c (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001d0fd8c98 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001d0fd8cf4 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001d0fd8d5c (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001d0fd8cfc (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001d0fd8d6c (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001d0fdd644 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001d0fda4c8 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001d0fdba3c (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001d0fddccc (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001d0fdddcc (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001d0fdb654 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001d0fe1248 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00000001d0fe1190 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001d0fe3bac (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001d0fe3c08 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001d0fe3c24 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001d0fda23c (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001d0fe1464 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001e9134160 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001e9134168 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001d0fe1278 (__TEXT,__text) external _NFDeviceIsA7
00000001d0fe1280 (__TEXT,__text) external _NFDeviceIsA8
00000001d0fe13c0 (__TEXT,__text) external _NFDeviceModelString
00000001d0fe138c (__TEXT,__text) external _NFDeviceOSVersion
00000001d0fe1288 (__TEXT,__text) external _NFDevicePlatform
00000001ea1ac080 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001ea1ac078 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001d0fe1380 (__TEXT,__text) external _NFGeneralDeviceString
00000001d0fd8b90 (__TEXT,__text) external _NFInternalBuild
00000001e9134158 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00000001ea1ac038 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001d0fdea80 (__TEXT,__text) external _NFLockSync
00000001d0fddea0 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001d0fd8bfc (__TEXT,__text) external _NFSeedBuild
00000001e556f5f0 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001d0fd8c04 (__TEXT,__text) external _NFStoreDemoMode
00000001ea1ac040 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001e9134159 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
00000001d0fe13f4 (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001d0fe2ef8 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001d0fe2eb8 (__TEXT,__const) external _NewsFoundationVersionString
00000001eaa21920 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001ea1abd68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001ea1abd90 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001ea1abe08 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001ea1abfe8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001ea1abf98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001eaa218a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001ea1abe58 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001ea1abef8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001ea1abf48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001eaa21948 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001eaa21998 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001eaa219e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001eaa21858 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001ea1abd18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001ea1abed0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001e9133eb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001e9133ebc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001e9133ed0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001e9133ecc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001e9133ec4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001e9133ec0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001e9133ec8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001e9133ef4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001e9133ef8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001e9133ef0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001e9133f50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
