00007ff841aeddd0 (__DATA,__data) external _NDR_record
00007ff8004067b8 (__TEXT,__text) external ___copyfile
00007ff8004067d0 (__TEXT,__text) external ___crossarch_trap
00007ff8003fc8a0 (__TEXT,__text) external ___csrctl
00007ff80040e00f (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8004067e8 (__TEXT,__text) external ___debug_syscall_reject
00007ff800406800 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800406050 (__TEXT,__text) external ___delete
00007ff8003fe4ac (__TEXT,__text) external ___disable_threadsignal
00007ff8003fc808 (__TEXT,__text) external ___error
00007ff800406818 (__TEXT,__text) external ___execve
00007ff800401eb4 (__TEXT,__text) external ___exit
00007ff8003ff980 (__TEXT,__text) external ___fchmod
00007ff80040083c (__TEXT,__text) external ___fchmod_extended
00007ff8003fcab4 (__TEXT,__text) external ___fcntl
00007ff8003ff5c4 (__TEXT,__text) external ___fcntl_nocancel
00007ff80040219c (__TEXT,__text) external ___fork
00007ff800406830 (__TEXT,__text) external ___fs_snapshot
00007ff800400824 (__TEXT,__text) external ___fstat64_extended
00007ff800406848 (__TEXT,__text) external ___fstat_extended
00007ff800406860 (__TEXT,__text) external ___fsync_nocancel
00007ff8004039cd (__TEXT,__text) external ___get_remove_counter
00007ff8003fc820 (__TEXT,__text) external ___getattrlist
00007ff8003fd794 (__TEXT,__text) external ___getdirentries64
00007ff8004006d8 (__TEXT,__text) external ___gethostuuid
00007ff800405b34 (__TEXT,__text) external ___getlogin
00007ff8003ff870 (__TEXT,__text) external ___getpeername
00007ff8003fc45c (__TEXT,__text) external ___getpid
00007ff8003fdcac (__TEXT,__text) external ___getrlimit
00007ff800406878 (__TEXT,__text) external ___getsgroups
00007ff80040223c (__TEXT,__text) external ___getsockname
00007ff8003fd6a0 (__TEXT,__text) external ___gettid
00007ff8003ff0d5 (__TEXT,__text) external ___gettimeofday
00007ff8003ff0c0 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800406890 (__TEXT,__text) external ___getwgroups
00007ff8004068a8 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8003fed08 (__TEXT,__text) external ___guarded_open_np
00007ff8004068c0 (__TEXT,__text) external ___identitysvc
00007ff8003feee8 (__TEXT,__text) external ___inc_remove_counter
00007ff800405b1c (__TEXT,__text) external ___initgroups
00007ff8003ff754 (__TEXT,__text) external ___ioctl
00007ff8003ff9e0 (__TEXT,__text) external ___iopolicysys
00007ff8004068d8 (__TEXT,__text) external ___kdebug_trace
00007ff8003fe338 (__TEXT,__text) external ___kdebug_trace64
00007ff8004068f0 (__TEXT,__text) external ___kdebug_trace_string
00007ff80040090c (__TEXT,__text) external ___kdebug_typefilter
00007ff800425938 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800425900 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8004028e0 (__TEXT,__text) external ___kill
00007ff8004010a0 (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff80040089c (__TEXT,__text) external ___lchown
00007ff800400923 (__TEXT,__text) external ___libkernel_init
00007ff800407d9d (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800407ced (__TEXT,__text) external ___libkernel_init_late
00007ff800400b63 (__TEXT,__text) external ___libkernel_platform_init
00007ff8003fc44f (__TEXT,__text) external ___libkernel_voucher_init
00007ff800402e24 (__TEXT,__text) external ___listen
00007ff800406908 (__TEXT,__text) external ___log_data
00007ff8003fd520 (__TEXT,__text) external ___lseek
00007ff800400720 (__TEXT,__text) external ___lstat64_extended
00007ff800406920 (__TEXT,__text) external ___lstat_extended
00007ff800406938 (__TEXT,__text) external ___mac_execve
00007ff800406950 (__TEXT,__text) external ___mac_get_fd
00007ff800406968 (__TEXT,__text) external ___mac_get_file
00007ff800406980 (__TEXT,__text) external ___mac_get_link
00007ff800406998 (__TEXT,__text) external ___mac_get_mount
00007ff8004069b0 (__TEXT,__text) external ___mac_get_pid
00007ff8004069c8 (__TEXT,__text) external ___mac_get_proc
00007ff8004069e0 (__TEXT,__text) external ___mac_getfsstat
00007ff8004069f8 (__TEXT,__text) external ___mac_mount
00007ff800406a10 (__TEXT,__text) external ___mac_set_fd
00007ff800406a28 (__TEXT,__text) external ___mac_set_file
00007ff800406a40 (__TEXT,__text) external ___mac_set_link
00007ff800402ddc (__TEXT,__text) external ___mac_set_proc
00007ff8003fd5b8 (__TEXT,__text) external ___mac_syscall
00007ff800406a58 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800406a70 (__TEXT,__text) external ___mach_eventlink_signal
00007ff800406a88 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800406aa0 (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800406ab8 (__TEXT,__text) external ___map_with_linking_np
00007ff800406ad0 (__TEXT,__text) external ___memorystatus_available_memory
00007ff800406ae8 (__TEXT,__text) external ___microstackshot
00007ff800406b00 (__TEXT,__text) external ___mkdir_extended
00007ff800406b18 (__TEXT,__text) external ___mkfifo_extended
00007ff8003fcbac (__TEXT,__text) external ___mmap
00007ff8003ff0a8 (__TEXT,__text) external ___mprotect
00007ff800406b30 (__TEXT,__text) external ___msgctl
00007ff800406b48 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800406b60 (__TEXT,__text) external ___msgsnd_nocancel
00007ff800406b78 (__TEXT,__text) external ___msgsys
00007ff800401054 (__TEXT,__text) external ___msync
00007ff800406b90 (__TEXT,__text) external ___msync_nocancel
00007ff8003fedf4 (__TEXT,__text) external ___munmap
00007ff800406ba8 (__TEXT,__text) external ___nexus_create
00007ff800406bc0 (__TEXT,__text) external ___nexus_deregister
00007ff800406bd8 (__TEXT,__text) external ___nexus_destroy
00007ff800406bf0 (__TEXT,__text) external ___nexus_get_opt
00007ff800406c08 (__TEXT,__text) external ___nexus_open
00007ff800406c20 (__TEXT,__text) external ___nexus_register
00007ff800406c38 (__TEXT,__text) external ___nexus_set_opt
00007ff8003fc850 (__TEXT,__text) external ___open
00007ff80040080c (__TEXT,__text) external ___open_dprotected_np
00007ff800406008 (__TEXT,__text) external ___open_extended
00007ff8003fcafc (__TEXT,__text) external ___open_nocancel
00007ff8003fd4dc (__TEXT,__text) external ___openat
00007ff800406c50 (__TEXT,__text) external ___openat_dprotected_np
00007ff8004008cc (__TEXT,__text) external ___openat_nocancel
00007ff841aede98 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800412378 (__TEXT,__text) external ___os_nexus_flow_add
00007ff8004123e1 (__TEXT,__text) external ___os_nexus_flow_del
00007ff800412503 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff8004121fd (__TEXT,__text) external ___os_nexus_ifattach
00007ff8004122e3 (__TEXT,__text) external ___os_nexus_ifdetach
00007ff8003ff178 (__TEXT,__text) external ___persona
00007ff80040106c (__TEXT,__text) external ___pipe
00007ff800406c68 (__TEXT,__text) external ___poll_nocancel
00007ff800401c14 (__TEXT,__text) external ___posix_spawn
00007ff800406c80 (__TEXT,__text) external ___pread_nocancel
00007ff800406c98 (__TEXT,__text) external ___preadv_nocancel
00007ff8003fd118 (__TEXT,__text) external ___proc_info
00007ff800406cb0 (__TEXT,__text) external ___proc_info_extended_id
00007ff8004022a0 (__TEXT,__text) external ___process_policy
00007ff800400ea4 (__TEXT,__text) external ___pselect
00007ff800406cc8 (__TEXT,__text) external ___pselect_nocancel
00007ff8003fec48 (__TEXT,__text) external ___psynch_cvbroad
00007ff8003ff118 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff8003ffd04 (__TEXT,__text) external ___psynch_cvsignal
00007ff8003fec30 (__TEXT,__text) external ___psynch_cvwait
00007ff8003fe4dc (__TEXT,__text) external ___psynch_mutexdrop
00007ff8003fe3a8 (__TEXT,__text) external ___psynch_mutexwait
00007ff800406ce0 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800406cf8 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff8004003a0 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800400388 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800406d10 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800406d28 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800400370 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800406d40 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800405d7c (__TEXT,__text) external ___pthread_canceled
00007ff800401914 (__TEXT,__text) external ___pthread_chdir
00007ff8004018fc (__TEXT,__text) external ___pthread_fchdir
00007ff800402dac (__TEXT,__text) external ___pthread_kill
00007ff800406d58 (__TEXT,__text) external ___pthread_markcancel
00007ff800401e58 (__TEXT,__text) external ___pthread_sigmask
00007ff8004031a4 (__TEXT,__text) external ___ptrace
00007ff800406d70 (__TEXT,__text) external ___pwrite_nocancel
00007ff800406d88 (__TEXT,__text) external ___pwritev_nocancel
00007ff8003fd974 (__TEXT,__text) external ___read_nocancel
00007ff800406da0 (__TEXT,__text) external ___readv_nocancel
00007ff800406db8 (__TEXT,__text) external ___reboot
00007ff800406dd0 (__TEXT,__text) external ___record_system_event
00007ff8003ff79c (__TEXT,__text) external ___recvfrom
00007ff8003ff66c (__TEXT,__text) external ___recvfrom_nocancel
00007ff8003ffab4 (__TEXT,__text) external ___recvmsg
00007ff800406de8 (__TEXT,__text) external ___recvmsg_nocancel
00007ff84380eac0 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff8003feed0 (__TEXT,__text) external ___rename
00007ff800406e00 (__TEXT,__text) external ___renameat
00007ff800406e18 (__TEXT,__text) external ___renameatx_np
00007ff8003fef08 (__TEXT,__text) external ___rmdir
00007ff800406938 (__TEXT,__text) external ___sandbox_me
00007ff8004069f8 (__TEXT,__text) external ___sandbox_mm
00007ff8003fd5b8 (__TEXT,__text) external ___sandbox_ms
00007ff800402ddc (__TEXT,__text) external ___sandbox_msp
00007ff800404f28 (__TEXT,__text) external ___select
00007ff8003ff654 (__TEXT,__text) external ___select_nocancel
00007ff800403bac (__TEXT,__text) external ___sem_open
00007ff800406e30 (__TEXT,__text) external ___sem_wait_nocancel
00007ff800406e48 (__TEXT,__text) external ___semctl
00007ff800406e60 (__TEXT,__text) external ___semsys
00007ff8003feafc (__TEXT,__text) external ___semwait_signal
00007ff800401e70 (__TEXT,__text) external ___semwait_signal_nocancel
00007ff8004008e4 (__TEXT,__text) external ___sendmsg
00007ff8003ff69c (__TEXT,__text) external ___sendmsg_nocancel
00007ff8003ff784 (__TEXT,__text) external ___sendto
00007ff8003ff60c (__TEXT,__text) external ___sendto_nocancel
00007ff8003febe8 (__TEXT,__text) external ___setattrlist
00007ff800405b04 (__TEXT,__text) external ___setlogin
00007ff80040296c (__TEXT,__text) external ___setpriority
00007ff800406e78 (__TEXT,__text) external ___setregid
00007ff800406e90 (__TEXT,__text) external ___setreuid
00007ff8003fe3c8 (__TEXT,__text) external ___setrlimit
00007ff800406ea8 (__TEXT,__text) external ___setsgroups
00007ff8004039d8 (__TEXT,__text) external ___settid
00007ff800406ec0 (__TEXT,__text) external ___settid_with_pid
00007ff800406ed8 (__TEXT,__text) external ___settimeofday
00007ff800406ef0 (__TEXT,__text) external ___setwgroups
00007ff800403c04 (__TEXT,__text) external ___sfi_ctl
00007ff800406f08 (__TEXT,__text) external ___sfi_pidctl
00007ff800406f20 (__TEXT,__text) external ___shared_region_check_np
00007ff800406f38 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff8003fd4ac (__TEXT,__text) external ___shm_open
00007ff800406f50 (__TEXT,__text) external ___shmctl
00007ff800406f68 (__TEXT,__text) external ___shmsys
00007ff8004010b8 (__TEXT,__text) external ___sigaction
00007ff8003feba0 (__TEXT,__text) external ___sigaltstack
00007ff8004056ec (__TEXT,__text) external ___sigreturn
00007ff800406f80 (__TEXT,__text) external ___sigsuspend
00007ff800401e9c (__TEXT,__text) external ___sigsuspend_nocancel
00007ff80040571c (__TEXT,__text) external ___sigwait
00007ff8003ff684 (__TEXT,__text) external ___socketpair
00007ff800406f98 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff8004006f0 (__TEXT,__text) external ___stat64_extended
00007ff800406fb0 (__TEXT,__text) external ___stat_extended
00007ff8003fdcdc (__TEXT,__text) external ___syscall
00007ff841aede60 (__DATA,__common) external ___syscall_logger
00007ff8003fd3f4 (__TEXT,__text) external ___sysctl
00007ff8003fd55c (__TEXT,__text) external ___sysctlbyname
00007ff800406fc8 (__TEXT,__text) external ___telemetry
00007ff800404804 (__TEXT,__text) external ___terminate_with_payload
00007ff8003fd824 (__TEXT,__text) external ___thread_selfid
00007ff800406fe0 (__TEXT,__text) external ___thread_selfusage
00007ff8003fd83c (__TEXT,__text) external ___ulock_wait
00007ff800406ff8 (__TEXT,__text) external ___ulock_wait2
00007ff8003fd8c0 (__TEXT,__text) external ___ulock_wake
00007ff800407010 (__TEXT,__text) external ___umask_extended
00007ff8003ff1a4 (__TEXT,__text) external ___unlink
00007ff800403eb0 (__TEXT,__text) external ___unlinkat
00007ff800407028 (__TEXT,__text) external ___vfork
00007ff800401e0c (__TEXT,__text) external ___wait4
00007ff800405ff0 (__TEXT,__text) external ___wait4_nocancel
00007ff800407080 (__TEXT,__text) external ___waitid_nocancel
00007ff80040330c (__TEXT,__text) external ___work_interval_ctl
00007ff8003fd7ac (__TEXT,__text) external ___workq_kernreturn
00007ff8003fd7c4 (__TEXT,__text) external ___workq_open
00007ff8003ff130 (__TEXT,__text) external ___write_nocancel
00007ff800407098 (__TEXT,__text) external ___writev_nocancel
00007ff841aede58 (__DATA,__common) external __cpu_capabilities
00007ff841aede54 (__DATA,__common) external __cpu_has_altivec
00007ff84380e3d0 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff84380ea98 (__DATA_DIRTY,__bss) non-external __dlsym
00007ff8003fc138 (__TEXT,__text) external __exclaves_ctl_trap
00007ff8004089a5 (__TEXT,__text) non-external __execve_with_filter
00007ff800401eb4 (__TEXT,__text) external __exit
00007ff800400b38 (__TEXT,__text) external __get_cpu_capabilities
00007ff841aede80 (__DATA,__bss) non-external __gethostuuid_callback
00007ff80040c2a1 (__TEXT,__text) external __getprivatesystemidentifier
00007ff800416f8e (__TEXT,__text) external __host_page_size
00007ff800400b26 (__TEXT,__text) external __init_cpu_capabilities
00007ff800417d16 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800418d8b (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800419848 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800418ca3 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff80041970b (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff8003fbf28 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff80041aef5 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff80041a2ab (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff8003fbf7c (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800418f90 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff8003fbf34 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800418eac (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff80041a3e7 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff8003fbf88 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800419d3a (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff80041a08a (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff8003fbf70 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800404311 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800404b50 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff8003fc030 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff8004003f2 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff8003fe9d4 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff80041ad98 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800405c3f (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800419a7e (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff80041a4d3 (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff8003fc03c (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff80041a8dc (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800419fa2 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff8003fbf64 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800419525 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff8003fbf58 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff80041ac71 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800419e6e (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff80041a175 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff80041aab4 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800419075 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff8003fbf40 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff80041943a (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff8003fbf4c (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800418a6a (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800419161 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800418bbb (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8003ff1d2 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff8003fc12c (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff8003fe18a (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800405b51 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff80041934f (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800419620 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff80041a6a7 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800419b9f (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff80041a7bb (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff80041a9c8 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff8004033b2 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff8003fc120 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff80041a5bf (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff8003fc048 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff80041e7a0 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff80041e6ab (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff8004217be (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff80041b02a (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff8003fbee0 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff80041b158 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff8003fbef8 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff8003fd12d (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff8003fbf1c (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff80041b240 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff8003fbf10 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff80041bedf (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff8003fbeec (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff80041b41c (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff80041bae1 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff80041c30e (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff8004251dd (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff80041999a (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff8004001cc (__TEXT,__text) external __kernelrpc_thread_policy
00007ff800400f2a (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800423582 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff800405e2a (__TEXT,__text) external __kernelrpc_vm_map
00007ff8004247a8 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800403a6d (__TEXT,__text) external __kernelrpc_vm_read
00007ff8003fde36 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff8004248d3 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800407de7 (__TEXT,__text) non-external __libkernel_bzero
00007ff84380ea90 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00007ff84002fa30 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800407e70 (__TEXT,__text) non-external __libkernel_memmove
00007ff800407df1 (__TEXT,__text) non-external __libkernel_memset
00007ff800407dc6 (__TEXT,__text) non-external __libkernel_strchr
00007ff800400b48 (__TEXT,__text) non-external __libkernel_strcmp
00007ff800408206 (__TEXT,__text) non-external __libkernel_strcpy
00007ff84380e3e0 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff800408af7 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800407bfb (__TEXT,__text) non-external __libkernel_strlen
00007ff84380e3e8 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff8004258d0 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800409e77 (__TEXT,__text) non-external __mach_continuous_time
00007ff840031410 (__DATA_CONST,__const) external __mach_errors
00007ff80040a339 (__TEXT,__text) external __mach_fork_child
00007ff80040aede (__TEXT,__text) external __mach_snprintf
00007ff80040ad5c (__TEXT,__text) external __mach_vsnprintf
00007ff84380e440 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff841aede44 (__DATA,__common) external __os_xbs_chrooted
00007ff8004014ac (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff80040822e (__TEXT,__text) non-external __posix_spawn_with_filter
00007ff80040c2a6 (__TEXT,__text) external __register_gethostuuid_callback
00007ff800407fb9 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00007ff800408035 (__TEXT,__text) non-external __system_version_compat_open_shim
00007ff84380eaa8 (__DATA_DIRTY,__bss) non-external __task_reply_port
00007ff800407bd0 (__TEXT,__text) external __thread_set_tsd_base
00007ff80042573c (__TEXT,__text) non-external _abort
00007ff800425760 (__TEXT,__text) non-external _abort.561
00007ff800425784 (__TEXT,__text) non-external _abort.563
00007ff8004257a5 (__TEXT,__text) non-external _abort.586
00007ff800425857 (__TEXT,__text) external _abort_with_payload
00007ff8004257dc (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff8004257c9 (__TEXT,__text) external _abort_with_reason
00007ff800402e3c (__TEXT,__text) external _accept
00007ff8004066b0 (__TEXT,__text) external _accept$NOCANCEL
00007ff8003fc838 (__TEXT,__text) external _access
00007ff8004066c8 (__TEXT,__text) external _accessx_np
00007ff8004070b0 (__TEXT,__text) external _acct
00007ff8004223dc (__TEXT,__text) external _act_get_state
00007ff8004225b2 (__TEXT,__text) external _act_set_state
00007ff8004070c8 (__TEXT,__text) external _adjtime
00007ff8004070e0 (__TEXT,__text) external _aio_cancel
00007ff8004070f8 (__TEXT,__text) external _aio_error
00007ff800407110 (__TEXT,__text) external _aio_fsync
00007ff800407128 (__TEXT,__text) external _aio_read
00007ff800407140 (__TEXT,__text) external _aio_return
00007ff800407158 (__TEXT,__text) external _aio_suspend
00007ff8004066e0 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800407170 (__TEXT,__text) external _aio_write
00007ff800407188 (__TEXT,__text) external _audit
00007ff800405704 (__TEXT,__text) external _audit_session_join
00007ff80040559c (__TEXT,__text) external _audit_session_port
00007ff8003ff398 (__TEXT,__text) external _audit_session_self
00007ff8004071a0 (__TEXT,__text) external _auditctl
00007ff800403bdc (__TEXT,__text) external _auditon
00007ff800402334 (__TEXT,__text) external _bind
00007ff84380e3fc (__DATA_DIRTY,__common) external _bootstrap_port
00007ff8003fd4f1 (__TEXT,__text) external _cerror
00007ff8003fc7e0 (__TEXT,__text) external _cerror_nocancel
00007ff8003ff324 (__TEXT,__text) external _change_fdguard_np
00007ff8003fd5d0 (__TEXT,__text) external _chdir
00007ff8004028f8 (__TEXT,__text) external _chflags
00007ff8003fef1e (__TEXT,__text) external _chmod
00007ff80040231c (__TEXT,__text) external _chown
00007ff8004071b8 (__TEXT,__text) external _chroot
00007ff800414553 (__TEXT,__text) external _clock_alarm
00007ff80041436b (__TEXT,__text) external _clock_alarm_reply
00007ff8004143ce (__TEXT,__text) external _clock_get_attributes
00007ff80040057a (__TEXT,__text) external _clock_get_time
00007ff800414243 (__TEXT,__text) external _clock_set_attributes
00007ff80041415f (__TEXT,__text) external _clock_set_time
00007ff800405d93 (__TEXT,__text) external _clock_sleep
00007ff8003fc0fc (__TEXT,__text) external _clock_sleep_trap
00007ff8004041b3 (__TEXT,__text) external _clonefile
00007ff8003fff5c (__TEXT,__text) external _clonefileat
00007ff8003fcacc (__TEXT,__text) external _close
00007ff8003fd4c4 (__TEXT,__text) external _close$NOCANCEL
00007ff800411031 (__TEXT,__text) external _coalition_create
00007ff8004110ae (__TEXT,__text) external _coalition_info_debug_info
00007ff800411082 (__TEXT,__text) external _coalition_info_resource_usage
00007ff800411106 (__TEXT,__text) external _coalition_info_set_efficiency
