                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000025ffd7d64 (__TEXT,__text) external __crypt_blowfish_rn
000000025ffd2930 (__TEXT,__text) external _apr_brigade_create
000000025ffd28cc (__TEXT,__text) external _apr_brigade_destroy
000000025ffd2c7c (__TEXT,__text) external _apr_brigade_flatten
000000025ffd37cc (__TEXT,__text) external _apr_brigade_insert_file
000000025ffd2bc8 (__TEXT,__text) external _apr_brigade_length
000000025ffd2aac (__TEXT,__text) external _apr_brigade_partition
000000025ffd2d54 (__TEXT,__text) external _apr_brigade_pflatten
000000025ffd366c (__TEXT,__text) external _apr_brigade_printf
000000025ffd35b4 (__TEXT,__text) external _apr_brigade_putc
000000025ffd35e0 (__TEXT,__text) external _apr_brigade_puts
000000025ffd3640 (__TEXT,__text) external _apr_brigade_putstrs
000000025ffd2aa4 (__TEXT,__text) external _apr_brigade_split
000000025ffd29ac (__TEXT,__text) external _apr_brigade_split_ex
000000025ffd2dd0 (__TEXT,__text) external _apr_brigade_split_line
000000025ffd3114 (__TEXT,__text) external _apr_brigade_to_iovec
000000025ffd3698 (__TEXT,__text) external _apr_brigade_vprintf
000000025ffd31c0 (__TEXT,__text) external _apr_brigade_vputstrs
000000025ffd2f60 (__TEXT,__text) external _apr_brigade_write
000000025ffd32bc (__TEXT,__text) external _apr_brigade_writev
000000025ffd39a0 (__TEXT,__text) external _apr_bucket_alloc
000000025ffd3854 (__TEXT,__text) external _apr_bucket_alloc_create
000000025ffd38dc (__TEXT,__text) external _apr_bucket_alloc_create_ex
000000025ffd3948 (__TEXT,__text) external _apr_bucket_alloc_destroy
000000025ffd3844 (__TEXT,__text) external _apr_bucket_copy_notimpl
000000025ffd3850 (__TEXT,__text) external _apr_bucket_destroy_noop
000000025ffd3a98 (__TEXT,__text) external _apr_bucket_eos_create
000000025ffd3a84 (__TEXT,__text) external _apr_bucket_eos_make
000000025ffd3b74 (__TEXT,__text) external _apr_bucket_file_create
000000025ffd3c14 (__TEXT,__text) external _apr_bucket_file_enable_mmap
000000025ffd3afc (__TEXT,__text) external _apr_bucket_file_make
000000025ffd3f74 (__TEXT,__text) external _apr_bucket_flush_create
000000025ffd3f60 (__TEXT,__text) external _apr_bucket_flush_make
000000025ffd3a54 (__TEXT,__text) external _apr_bucket_free
000000025ffd4098 (__TEXT,__text) external _apr_bucket_heap_create
000000025ffd3fd8 (__TEXT,__text) external _apr_bucket_heap_make
000000025ffd4a10 (__TEXT,__text) external _apr_bucket_immortal_create
000000025ffd49fc (__TEXT,__text) external _apr_bucket_immortal_make
000000025ffd4228 (__TEXT,__text) external _apr_bucket_mmap_create
000000025ffd4180 (__TEXT,__text) external _apr_bucket_mmap_make
000000025ffd4428 (__TEXT,__text) external _apr_bucket_pipe_create
000000025ffd4410 (__TEXT,__text) external _apr_bucket_pipe_make
000000025ffd472c (__TEXT,__text) external _apr_bucket_pool_create
000000025ffd4628 (__TEXT,__text) external _apr_bucket_pool_make
000000025ffd3824 (__TEXT,__text) external _apr_bucket_setaside_noop
000000025ffd382c (__TEXT,__text) external _apr_bucket_setaside_notimpl
000000025ffd48b0 (__TEXT,__text) external _apr_bucket_shared_copy
000000025ffd48e4 (__TEXT,__text) external _apr_bucket_shared_destroy
000000025ffd48f8 (__TEXT,__text) external _apr_bucket_shared_make
000000025ffd487c (__TEXT,__text) external _apr_bucket_shared_split
000000025ffd490c (__TEXT,__text) external _apr_bucket_simple_copy
000000025ffd4964 (__TEXT,__text) external _apr_bucket_simple_split
000000025ffd4b54 (__TEXT,__text) external _apr_bucket_socket_create
000000025ffd4b3c (__TEXT,__text) external _apr_bucket_socket_make
000000025ffd3838 (__TEXT,__text) external _apr_bucket_split_notimpl
000000025ffd4a88 (__TEXT,__text) external _apr_bucket_transient_create
000000025ffd4a74 (__TEXT,__text) external _apr_bucket_transient_make
000000027c22b3f0 (__AUTH_CONST,__const) external _apr_bucket_type_eos
000000027c22b428 (__AUTH_CONST,__const) external _apr_bucket_type_file
000000027c22b460 (__AUTH_CONST,__const) external _apr_bucket_type_flush
000000027c22b498 (__AUTH_CONST,__const) external _apr_bucket_type_heap
000000027c22b578 (__AUTH_CONST,__const) external _apr_bucket_type_immortal
000000027c22b4d0 (__AUTH_CONST,__const) external _apr_bucket_type_mmap
000000027c22b508 (__AUTH_CONST,__const) external _apr_bucket_type_pipe
000000027c22b540 (__AUTH_CONST,__const) external _apr_bucket_type_pool
000000027c22b5e8 (__AUTH_CONST,__const) external _apr_bucket_type_socket
000000027c22b5b0 (__AUTH_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00000002774ec550 (__DATA,__common) external _apr_current_hooking_module
000000025ffe00f8 (__TEXT,__text) external _apr_date_checkmask
000000025ffe0244 (__TEXT,__text) external _apr_date_parse_http
000000025ffe0604 (__TEXT,__text) external _apr_date_parse_rfc
000000025ffda868 (__TEXT,__text) external _apr_dbd_check_conn
000000025ffda888 (__TEXT,__text) external _apr_dbd_close
000000025ffdb038 (__TEXT,__text) external _apr_dbd_datum_get
000000025ffda878 (__TEXT,__text) external _apr_dbd_error
000000025ffdaa1c (__TEXT,__text) external _apr_dbd_escape
000000025ffda780 (__TEXT,__text) external _apr_dbd_get_driver
000000025ffda9fc (__TEXT,__text) external _apr_dbd_get_entry
000000025ffdaa0c (__TEXT,__text) external _apr_dbd_get_name
000000025ffda9e4 (__TEXT,__text) external _apr_dbd_get_row
000000025ffda65c (__TEXT,__text) external _apr_dbd_init
000000025ffda644 (__TEXT,__text) external _apr_dbd_mutex_lock
000000025ffda650 (__TEXT,__text) external _apr_dbd_mutex_unlock
000000025ffda974 (__TEXT,__text) external _apr_dbd_name
000000025ffda97c (__TEXT,__text) external _apr_dbd_native_handle
000000025ffda9cc (__TEXT,__text) external _apr_dbd_num_cols
000000025ffda9d8 (__TEXT,__text) external _apr_dbd_num_tuples
000000025ffda894 (__TEXT,__text) external _apr_dbd_open
000000025ffda7c4 (__TEXT,__text) external _apr_dbd_open_ex
000000025ffdaf70 (__TEXT,__text) external _apr_dbd_pbquery
000000025ffdaf8c (__TEXT,__text) external _apr_dbd_pbselect
000000025ffdaea8 (__TEXT,__text) external _apr_dbd_pquery
000000025ffdaa30 (__TEXT,__text) external _apr_dbd_prepare
000000025ffdaec4 (__TEXT,__text) external _apr_dbd_pselect
000000025ffdafac (__TEXT,__text) external _apr_dbd_pvbquery
000000025ffdaff0 (__TEXT,__text) external _apr_dbd_pvbselect
000000025ffdaee4 (__TEXT,__text) external _apr_dbd_pvquery
000000025ffdaf28 (__TEXT,__text) external _apr_dbd_pvselect
000000025ffda99c (__TEXT,__text) external _apr_dbd_query
000000025ffda9b0 (__TEXT,__text) external _apr_dbd_select
000000025ffda988 (__TEXT,__text) external _apr_dbd_set_dbname
000000027c22b678 (__AUTH_CONST,__const) external _apr_dbd_sqlite3_driver
000000025ffda90c (__TEXT,__text) external _apr_dbd_transaction_end
000000025ffda958 (__TEXT,__text) external _apr_dbd_transaction_mode_get
000000025ffda964 (__TEXT,__text) external _apr_dbd_transaction_mode_set
000000025ffda89c (__TEXT,__text) external _apr_dbd_transaction_start
000000025ffdb218 (__TEXT,__text) external _apr_dbm_close
000000025ffdb23c (__TEXT,__text) external _apr_dbm_delete
000000025ffdb248 (__TEXT,__text) external _apr_dbm_exists
000000025ffdb224 (__TEXT,__text) external _apr_dbm_fetch
000000025ffdb254 (__TEXT,__text) external _apr_dbm_firstkey
000000025ffdb26c (__TEXT,__text) external _apr_dbm_freedatum
000000025ffdb33c (__TEXT,__text) external _apr_dbm_get_usednames
000000025ffdb2c4 (__TEXT,__text) external _apr_dbm_get_usednames_ex
000000025ffdb278 (__TEXT,__text) external _apr_dbm_geterror
000000025ffdb260 (__TEXT,__text) external _apr_dbm_nextkey
000000025ffdb174 (__TEXT,__text) external _apr_dbm_open
000000025ffdb050 (__TEXT,__text) external _apr_dbm_open_ex
000000025ffdb230 (__TEXT,__text) external _apr_dbm_store
000000027c22b620 (__AUTH_CONST,__const) external _apr_dbm_type_sdbm
00000002774ec548 (__DATA,__common) external _apr_debug_module_hooks
000000025ffdd480 (__TEXT,__text) external _apr_dynamic_fn_register
000000025ffdd424 (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00000002774ec540 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00000002774ec538 (__DATA,__common) external _apr_hook_debug_current
00000002774ec530 (__DATA,__common) external _apr_hook_debug_enabled
000000025ffdd19c (__TEXT,__text) external _apr_hook_debug_show
000000025ffdd148 (__TEXT,__text) external _apr_hook_deregister_all
00000002774ec528 (__DATA,__common) external _apr_hook_global_pool
000000025ffdcc5c (__TEXT,__text) external _apr_hook_sort_all
000000025ffdcc04 (__TEXT,__text) external _apr_hook_sort_register
000000025ffe6f78 (__TEXT,__text) external _apr_ldap_get_option
000000025ffe6f38 (__TEXT,__text) external _apr_ldap_info
000000025ffe6e7c (__TEXT,__text) external _apr_ldap_init
000000025ffdd504 (__TEXT,__text) external _apr_ldap_is_ldap_url
000000025ffdd670 (__TEXT,__text) external _apr_ldap_is_ldapi_url
000000025ffdd620 (__TEXT,__text) external _apr_ldap_is_ldaps_url
000000025ffe7340 (__TEXT,__text) external _apr_ldap_rebind_add
000000025ffe72ac (__TEXT,__text) external _apr_ldap_rebind_init
000000025ffe7434 (__TEXT,__text) external _apr_ldap_rebind_remove
000000025ffe7008 (__TEXT,__text) external _apr_ldap_set_option
000000025ffe6e74 (__TEXT,__text) external _apr_ldap_ssl_deinit
000000025ffe6da8 (__TEXT,__text) external _apr_ldap_ssl_init
000000025ffddd70 (__TEXT,__text) external _apr_ldap_url_parse
000000025ffdd6c0 (__TEXT,__text) external _apr_ldap_url_parse_ext
000000025ffd5690 (__TEXT,__text) external _apr_md4
000000025ffd55a4 (__TEXT,__text) external _apr_md4_final
000000025ffd4d3c (__TEXT,__text) external _apr_md4_init
000000025ffd4d58 (__TEXT,__text) external _apr_md4_set_xlate
000000025ffd4db0 (__TEXT,__text) external _apr_md4_update
000000025ffd5a4c (__TEXT,__text) external _apr_md5
000000025ffd5ad8 (__TEXT,__text) external _apr_md5_encode
000000025ffd5958 (__TEXT,__text) external _apr_md5_final
000000025ffd5718 (__TEXT,__text) external _apr_md5_init
000000025ffd5734 (__TEXT,__text) external _apr_md5_set_xlate
000000025ffd578c (__TEXT,__text) external _apr_md5_update
000000025ffde6f0 (__TEXT,__text) external _apr_memcache_add
000000025ffdf118 (__TEXT,__text) external _apr_memcache_add_multget_key
000000025ffdddc4 (__TEXT,__text) external _apr_memcache_add_server
000000025ffde380 (__TEXT,__text) external _apr_memcache_create
000000025ffdefb4 (__TEXT,__text) external _apr_memcache_decr
000000025ffdebb0 (__TEXT,__text) external _apr_memcache_delete
000000025ffde048 (__TEXT,__text) external _apr_memcache_disable_server
000000025ffde034 (__TEXT,__text) external _apr_memcache_enable_server
000000025ffddfc0 (__TEXT,__text) external _apr_memcache_find_server
000000025ffdddfc (__TEXT,__text) external _apr_memcache_find_server_hash
000000025ffdde18 (__TEXT,__text) external _apr_memcache_find_server_hash_default
000000025ffde738 (__TEXT,__text) external _apr_memcache_getp
000000025ffde478 (__TEXT,__text) external _apr_memcache_hash
000000025ffde3ec (__TEXT,__text) external _apr_memcache_hash_crc32
000000025ffde430 (__TEXT,__text) external _apr_memcache_hash_default
000000025ffded98 (__TEXT,__text) external _apr_memcache_incr
000000025ffdf1cc (__TEXT,__text) external _apr_memcache_multgetp
000000025ffde714 (__TEXT,__text) external _apr_memcache_replace
000000025ffde08c (__TEXT,__text) external _apr_memcache_server_create
000000025ffde4d0 (__TEXT,__text) external _apr_memcache_set
000000025ffdfa54 (__TEXT,__text) external _apr_memcache_stats
000000025ffdefcc (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
000000025ffdd300 (__TEXT,__text) external _apr_optional_hook_add
000000025ffdd2b0 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
000000025ffd6af0 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
000000025ffdb3cc (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
000000025ffe0e48 (__TEXT,__text) external _apr_queue_create
000000025ffe1394 (__TEXT,__text) external _apr_queue_interrupt_all
000000025ffe1184 (__TEXT,__text) external _apr_queue_pop
000000025ffe0f68 (__TEXT,__text) external _apr_queue_push
000000025ffe117c (__TEXT,__text) external _apr_queue_size
000000025ffe13f0 (__TEXT,__text) external _apr_queue_term
000000025ffe12b4 (__TEXT,__text) external _apr_queue_trypop
000000025ffe10a0 (__TEXT,__text) external _apr_queue_trypush
000000025ffe1860 (__TEXT,__text) external _apr_reslist_acquire
000000025ffe1b18 (__TEXT,__text) external _apr_reslist_acquired_count
000000025ffe1bb4 (__TEXT,__text) external _apr_reslist_cleanup_order_set
000000025ffe15f0 (__TEXT,__text) external _apr_reslist_create
000000025ffe1844 (__TEXT,__text) external _apr_reslist_destroy
000000025ffe1b54 (__TEXT,__text) external _apr_reslist_invalidate
000000025ffe1450 (__TEXT,__text) external _apr_reslist_maintain
000000025ffe1a20 (__TEXT,__text) external _apr_reslist_release
000000025ffe1b10 (__TEXT,__text) external _apr_reslist_timeout_set
000000025ffe25ec (__TEXT,__text) external _apr_rmm_addr_get
000000025ffe1fe8 (__TEXT,__text) external _apr_rmm_attach
000000025ffe23f0 (__TEXT,__text) external _apr_rmm_calloc
000000025ffe1e60 (__TEXT,__text) external _apr_rmm_destroy
000000025ffe2074 (__TEXT,__text) external _apr_rmm_detach
000000025ffe25f8 (__TEXT,__text) external _apr_rmm_free
000000025ffe1c64 (__TEXT,__text) external _apr_rmm_init
000000025ffe207c (__TEXT,__text) external _apr_rmm_malloc
000000025ffe25e0 (__TEXT,__text) external _apr_rmm_offset_get
000000025ffe27f8 (__TEXT,__text) external _apr_rmm_overhead_get
000000025ffe251c (__TEXT,__text) external _apr_rmm_realloc
000000025ffdb968 (__TEXT,__text) external _apr_sdbm_close
000000025ffdbbfc (__TEXT,__text) external _apr_sdbm_delete
000000025ffdb9d4 (__TEXT,__text) external _apr_sdbm_fetch
000000025ffdc098 (__TEXT,__text) external _apr_sdbm_firstkey
000000025ffdc320 (__TEXT,__text) external _apr_sdbm_lock
000000025ffdc18c (__TEXT,__text) external _apr_sdbm_nextkey
000000025ffdb790 (__TEXT,__text) external _apr_sdbm_open
000000025ffdbcc4 (__TEXT,__text) external _apr_sdbm_rdonly
000000025ffdbd2c (__TEXT,__text) external _apr_sdbm_store
000000025ffdc438 (__TEXT,__text) external _apr_sdbm_unlock
000000025ffd7c40 (__TEXT,__text) external _apr_sha1_base64
000000025ffd7b48 (__TEXT,__text) external _apr_sha1_final
000000025ffd6d18 (__TEXT,__text) external _apr_sha1_init
000000025ffd7b44 (__TEXT,__text) external _apr_sha1_update
000000025ffd6d3c (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
000000025ffe38cc (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
000000025ffe4f9c (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
000000025ffe33b4 (__TEXT,__text) external _apr_thread_pool_busy_count
000000025ffe2808 (__TEXT,__text) external _apr_thread_pool_create
000000025ffe2dec (__TEXT,__text) external _apr_thread_pool_destroy
000000025ffe33c4 (__TEXT,__text) external _apr_thread_pool_idle_count
000000025ffe33ec (__TEXT,__text) external _apr_thread_pool_idle_max_get
000000025ffe33fc (__TEXT,__text) external _apr_thread_pool_idle_max_set
000000025ffe33f4 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
000000025ffe34cc (__TEXT,__text) external _apr_thread_pool_idle_wait_set
000000025ffe2e0c (__TEXT,__text) external _apr_thread_pool_push
000000025ffe3084 (__TEXT,__text) external _apr_thread_pool_schedule
000000025ffe33a4 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
000000025ffe3588 (__TEXT,__text) external _apr_thread_pool_task_owner_get
000000025ffe31dc (__TEXT,__text) external _apr_thread_pool_tasks_cancel
000000025ffe339c (__TEXT,__text) external _apr_thread_pool_tasks_count
000000025ffe33d4 (__TEXT,__text) external _apr_thread_pool_tasks_high_count
000000025ffe33cc (__TEXT,__text) external _apr_thread_pool_tasks_run_count
000000025ffe34dc (__TEXT,__text) external _apr_thread_pool_thread_max_get
000000025ffe34e4 (__TEXT,__text) external _apr_thread_pool_thread_max_set
000000025ffe33ac (__TEXT,__text) external _apr_thread_pool_threads_count
000000025ffe33dc (__TEXT,__text) external _apr_thread_pool_threads_high_count
000000025ffe33e4 (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
000000025ffe3570 (__TEXT,__text) external _apr_thread_pool_threshold_get
000000025ffe3578 (__TEXT,__text) external _apr_thread_pool_threshold_set
000000025ffe31d0 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
000000025ffe3e00 (__TEXT,__text) external _apr_uri_parse
000000025ffe4214 (__TEXT,__text) external _apr_uri_parse_hostinfo
000000025ffe3b5c (__TEXT,__text) external _apr_uri_port_of_scheme
000000025ffe3bb4 (__TEXT,__text) external _apr_uri_unparse
000000025ffda314 (__TEXT,__text) external _apr_uuid_format
000000025ffda1a0 (__TEXT,__text) external _apr_uuid_get
000000025ffda39c (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
000000025ffe471c (__TEXT,__text) external _apr_xlate_close
000000025ffe4624 (__TEXT,__text) external _apr_xlate_conv_buffer
000000025ffe4704 (__TEXT,__text) external _apr_xlate_conv_byte
000000025ffe431c (__TEXT,__text) external _apr_xlate_open
000000025ffe460c (__TEXT,__text) external _apr_xlate_sb_get
000000025ffe59a0 (__TEXT,__text) external _apr_xml_empty_elem
000000025ffe486c (__TEXT,__text) external _apr_xml_insert_uri
000000025ffe4edc (__TEXT,__text) external _apr_xml_parse_file
000000025ffe4738 (__TEXT,__text) external _apr_xml_parser_create
000000025ffe4d88 (__TEXT,__text) external _apr_xml_parser_done
000000025ffe4d20 (__TEXT,__text) external _apr_xml_parser_feed
000000025ffe4e04 (__TEXT,__text) external _apr_xml_parser_geterror
000000025ffe5118 (__TEXT,__text) external _apr_xml_quote_elem
000000025ffe4ff4 (__TEXT,__text) external _apr_xml_quote_string
000000025ffe51cc (__TEXT,__text) external _apr_xml_to_text
000000025ffdc8c0 (__TEXT,__text) external _apu__sdbm_chkpage
000000025ffdc6d0 (__TEXT,__text) external _apu__sdbm_delpair
000000025ffdc640 (__TEXT,__text) external _apu__sdbm_duppair
000000025ffdc474 (__TEXT,__text) external _apu__sdbm_fitpair
000000025ffdc680 (__TEXT,__text) external _apu__sdbm_getnkey
000000025ffdc534 (__TEXT,__text) external _apu__sdbm_getpair
000000025ffdc264 (__TEXT,__text) external _apu__sdbm_hash
000000025ffea2f0 (__TEXT,__const) external _apu__sdbm_nullitem
000000025ffdc4a4 (__TEXT,__text) external _apu__sdbm_putpair
000000025ffdc7a8 (__TEXT,__text) external _apu__sdbm_splpage
000000025ffe38b0 (__TEXT,__text) external _apu_version
000000025ffe38c0 (__TEXT,__text) external _apu_version_string
                 (undefined) external _atof (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _atol (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _crypt (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _iconv (from libiconv)
                 (undefined) external _iconv_close (from libiconv)
                 (undefined) external _iconv_open (from libiconv)
                 (undefined) external _ldap_bind_s (from LDAP)
                 (undefined) external _ldap_err2string (from LDAP)
                 (undefined) external _ldap_get_option (from LDAP)
