00007ffa1a9546eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa1a954479 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa1a954669 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa1a95430e (__TEXT,__text) non-external -[NFPromise init]
00007ffa1a95507f (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa1a954f7d (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa1a9554ed (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa1a9552b2 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa1a9558c7 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa1a9558d1 (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa1a9547c9 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa1a95481d (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa1a954f13 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa1a954eac (__TEXT,__text) non-external -[NFPromise then]
00007ffa1a9577ac (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00007ffa1a95780b (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00007ffa1a956c58 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa1a95660f (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa1a956273 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa1a959d11 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa1a959df2 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa1a956c04 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa1a956c33 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa1a956200 (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa1a95618d (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa1a956110 (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa1a956c4e (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa1a956736 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa1a956386 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa1a95636f (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa1a9563a3 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa1a95689e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa1a959ed3 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa1a956c0e (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa1a956c3d (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa1a956c29 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa1a956bf3 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa1a956c1f (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa1a956be9 (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa1a9571e7 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa1a957032 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa1a956f39 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa1a9571cc (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa1a957182 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa1a956eff (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa1a956d54 (__TEXT,__text) non-external -[NFReachability init]
00007ffa1a9571b1 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa1a957196 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa1a9571d6 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa1a95718c (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa1a9571bb (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa1a9571a0 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa1a953c87 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa1a952d22 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa1a952ca4 (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa1a952f69 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa1a959b1f (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa1a952e3c (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa1a959a3e (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa1a952dee (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa1a952d70 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa1a952bb6 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa1a952b18 (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa1a953c3d (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa1a953096 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa1a9529cd (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa1a953c58 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa1a953bfb (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa1a953c47 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa1a953c62 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa1a953c11 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa1a953bea (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa1a953c2c (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa1a953bd6 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa1a953c7d (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa1a953be0 (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa1a953c22 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa1a953c73 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa1a953bcc (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa1a95776e (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa1a957540 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa1a95773a (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa1a957755 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa1a957629 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa1a95741f (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa1a957367 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa1a957463 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa1a957706 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa1a957609 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa1a957744 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa1a95775f (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa1a957710 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa1a957729 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa1a95771f (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa1a958345 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa1a9582c8 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa1a95819e (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa1a95832c (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa1a958313 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa1a95807d (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa1a958012 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa1a9580c1 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa1a9582af (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa1a95820f (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa1a95828f (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa1a95824f (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa1a95826f (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa1a95822f (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa1a9582d2 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa1a958336 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa1a95831d (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa1a9582b9 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa1a958304 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa1a9582eb (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa1a9582fa (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa1a9582e1 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa1a958399 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa1a958679 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa1a95859c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa1a9584f4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa1a95844c (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa1a95126b (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa1a951250 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa1a9510fb (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa1a9511ff (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa1a95121a (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa1a950ff7 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa1a95125a (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa1a951209 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa1a951224 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa1a9511ee (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa1a95123f (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa1a9511e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa1a951235 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa1a950fdb (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00007ffa1a950fe9 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00007ffa1a950f07 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa1a950f50 (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa1a950fbc (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa1a950f64 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa1a950fcd (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa1a9558fd (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa1a952955 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa1a9540cf (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa1a955e9a (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa1a955f93 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa1a953cce (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa1a9592d1 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGPointValue]
00007ffa1a95923f (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa1a95bc04 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa1a95bc60 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00007ffa1a95bc7c (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa1a9526e8 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa1a95949d (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa1a959fe4 (__TEXT,__text) non-external _NFDeviceHasExtendedColorDisplay.cold.1
00007ffa43009090 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa43009088 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa1a95934a (__TEXT,__text) external _NFDeviceIsA7
00007ffa1a959352 (__TEXT,__text) external _NFDeviceIsA8
00007ffa1a959434 (__TEXT,__text) external _NFDeviceModelString
00007ffa1a959419 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa1a95935a (__TEXT,__text) external _NFDevicePlatform
00007ffa1a959fcc (__TEXT,__text) non-external _NFDevicePlatform.cold.1
00007ffa43009080 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa43009078 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa1a95940c (__TEXT,__text) external _NFGeneralDeviceString
00007ffa1a950e70 (__TEXT,__text) external _NFInternalBuild
00007ffa1a9594c8 (__TEXT,__text) non-external _NFInternalBuild.cold.1
00007ffa430090a0 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00007ffa43009098 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa1a956c96 (__TEXT,__text) external _NFLockSync
00007ffa1a95605d (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa1a950ea6 (__TEXT,__text) external _NFSeedBuild
00007ffa423d0178 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa1a950eae (__TEXT,__text) external _NFStoreDemoMode
00007ffa1a9594e0 (__TEXT,__text) non-external _NFStoreDemoMode.cold.1
00007ffa43009070 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa430090a1 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
00007ffa1a95944f (__TEXT,__text) external _NFSystemName
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa1a95af50 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa1a95af10 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa43008fc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa43008f28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa43008f00 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa43008ed8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa43008ff0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa43008eb0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa43008f50 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa43008e88 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa43008e60 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa43008e38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa43008e10 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa43008de8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa43008dc0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa43008d98 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa43008d70 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa43008d48 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa4418d0a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa4418d0a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa4418d0d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa4418d0c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa4418d0b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
